
4차 산업혁명과 적정기술,"2016년 1월 스위스의 조그만 휴양도시인 다보스에서 ‘제4차 산업혁명’이란 주제로 세계경제포럼(일명 다보스포럼)이 개최되었고, 그해 4월에는 한국의 이세돌 9단이 구글의 인공지능 컴퓨터인 ‘알파고’와 가진 바둑 대국에서 1승 4패로 패하였다. 이후 한국에서는 인공지능으로 대표되는 ‘4차 산업혁명’이 핫이슈로 부상하였으며, 현재 이에 대한 논의가 활발하게 진행되고 있다. 본 글에서는 빠르게 도래하고 있는 4차 산업혁명 시대에 ‘인간중심의 기술’인 ‘적정기술’은 어떤 의미를 지닐 것인지에 대해서 간단히 살펴보도록 하겠다.",홍성욱,2017,https://www.riss.kr/link?id=A103217168
적정기술과 과학교육,"대입 수학능력시험에 적정기술 관련 문제가 출제되고 전국 청소년 과학탐구대회의 주제로 적정기술이 제시되면서 적정기술에 대한 인식이 일반인과 대학생을 넘어 청소년들에게까지 확산되고 있다. 2009 개정교육과정에 따른 교과교육과정에서 과학과 교육과정은 ‘과학을 기술, 공학, 예술, 수학 등 다른 교과와 관련지어 통합적이고 창의적으로 사고할 수 있는 능력을 신장’하는 것을 목표로 하며, 교수학습방법으로 ‘기술, 공학, 예술, 수학 등 다른 교과와 관련지어 통합된 내용을 적절한 수준으로 도입하여 지도’할 것을 제시하고 있는데, 창의적 과학기술인재대국을 목표로 한 교육의 방법으로 최근 우리나라 과학교육에는 융합인재교육(STEAM)을 통한 교육활동이 주된 흐름으로 자리 잡고 있다. 융합인재교육(STEAM)이란 흥미와 이해를 높이고, 과학기술 기반의 융합적 사고(STEAM Literacy)와 문제 해결력을 배양하는 교육으로 우리 사회의 문제들을 해결하기 위해 융합적 사고를 필요로 하는데, 과학을 비롯한 다양한 분야에 종사하는 사람들이 협력하여 진행되는 적정기술은 STEAM 교육의 목표와 정확히 부합된다고 볼 수 있다. 이에 2012년부터 대전 지역의 과학교사들이 모인 적정기술교사연구회는 적정기술을 과학교육에 도입하여 학생들을 위한 STEAM 교육프로그램을 개발하여 활동하기 시작했으며, 학생 지도에 적용하여 그 교육적 효과를 분석하고 있다. 이러한 활동 속에서 적정기술은 초기의 과학 교과에 연계하여 활용하는 단순한 소재의 단계를 넘어서, 발상 과정에서의 디자인적 사고 및 인간중심적 사고와 같은 방법론을 도입함으로써 학생들의 창의적 태도를 보다 효과적으로 끌어낼 수 있도록 시도되고 있으며, 향후 교사연구회는 이러한 창의적인 사고들을 학생들의 창조적인 실천 활동으로 구현될 수 있도록 지속적인 활동을 펼쳐 나갈 계획이다.",염주연,2015,https://www.riss.kr/link?id=A100543442
메타버스란 무엇인가,"최근 ‘메타버스’에 대한 대중의 관심이 가히 폭발적이다. ‘메타버스’란 용어가 처음 등장한 것은 지금부터 30년전인 1992년 닐 스티븐슨이 쓴 소설 <스노크래시>에서다. 한국에서는 최근 들어서야 ‘메타버스’에 대한 인지도가 크게 증가하였지만, 외국에서는 그 동안 ‘메타버스’에 대한 연구가 꾸준히 있어 왔다. 하지만 코로나 사태 이후 그 관심도가 크게 증가되었다는 점에서는 한국과 동일하다. 본 글에서는 메타버스의 정의 및 유형, 메타버스의 역사 및 사례 등에 대해서 간단하게 살펴보았다.",홍성욱,2023,https://www.riss.kr/link?id=A108389662
지속가능을 위한 공간 업사이클링,"디자인 분야는 상위 10%를 위한 디자인이 주류가 되어 왔다. 이로 인해 환경 문제와 인 간소외 문제가 초래되었고 디자이너는 더 이상 사회 문제를 간과할 수 없게 되었다. 디자 이너는 사회적, 도덕적 책임감을 의식하고 ‘지속가능한 디자인’으로 삶의 질을 향상시킬 수 있는 변화된 가치체계가 필요하다. 이에 본 연구자는 환경적, 윤리적 측면을 강조하고 지속가능한 디자인을 실천할 수 있는 대안적 사고체계로써 ‘공간 업사이클링’을 제시하 였다. 공간 업사이클링은 활용성이 낮아진 공간에 가치를 부여하여 새로운 공간으로 재 탄생시키는 것을 의미한다. 공간 계획 시 기존 공간의 가치를 발견하여 보존 및 활용의 측 면을 강조하여 디자인한 경우와 공간 구현 시 직접적인 재료가 되는 마감재를 활용하는 경우로 사례를 고찰하였다. 사례를 통해 본 공간은 기존의 본 모습에 디자인을 더해 새로 운 기능과 아름다움이 있는 장소로 재탄생되었고, 지역의 문화 및 역사적 가치를 보존하 며 시대의 흐름에 부합하는 디자인으로 정체성을 나타내었다. 또한 비용절감 및 효용에 의한 경제성을 기대할 수 있었으며, 환경적 측면에서는 자원의 활용과 공간 수명의 연장 을 통해 환경보전에 힘쓰고 있었다. 이처럼 공간 업사이클링은 기능적·사회적·경제적·환 경적인 측면을 모두 고려한 지속가능성을 추구하여 대안적 가치 체계로써의 충분한 가능 성을 나타낸다. 이에 공간 업사이클링의 지속가능성으로 우리를 둘러싼 환경의 긍정적 변화에 기여할 수 있기를 기대해 본다.",김지현,2020,https://www.riss.kr/link?id=A106921515
인도네시아의 적정기술,"최근 적정기술에 대한 국내 관심이 고조되고 있다. 이는 그동안 적정기술의 보급 및 확산을 통하여 소외된 계층을 돕고자 하는 대학, 기업 및 NGO 등을 포함한 인도적 지원단체들의 헌신적인 활약과 정부 및 관련단체의 재정적 지원에 따른 결과이다. 특히 적정기술을 주도하는 과학 기술자들은 최대한 해당지역의 재료 및 물자를 이용하여 현지인들이 직접 제조, 활용할 수 있는 간단한 장비나 기술을 지원하여 생활의 편의를 도모하고 삶의 질 향상에 기여 할 수 있도록 적극 노력하고 있다. 그동안 우리나라는 일부 대학을 중심으로 젊은 세대들에게 적정기술을 체계적으로 교육하고 현지 체험활동을 통하여 현지인들과 함께 개발한 기술을 적용함으로써 자부심과 보람을 느끼게 하는 한편, 나아가 지속 가능한 소규모 경제활동을 할 수 있도록 지원하고 있다. 향후에도 우리가 개발한 적정기술이 개발도상국에 많이 보급되어 활용케 하는 한편, 그들의 전통기술과 융합하여 고용을 창출하고 지속적인 경제활동이 이루어질 수 있도록 꾸준히 지원해야 한다.",이종철,2020,https://www.riss.kr/link?id=A106520005
"우리가 사는 세상의 전환, 2030년까지의 적정기술 발전 의제","2015년 9월 25일 발표된 SDGs는 2030년까지 인간과 지구의 번영을 위한 행동 계획으로 17개의 주요목표와 169개의 세부목표들이 상세하게 기술되어 있다. SDGs에서 말하는 지속가능한 발전의 전제는 절대빈곤을 포함하여 모든 차원에서 모든 형태의 빈곤을 퇴치하는 것을 강조하고 있는데, 이는 적정기술이 가진 현장 중심적 접근과 깊은 연관성을 가지고 지역의 경제를 활성화하기 위한 방안을 모색하게 만든다.
지속가능한 발전이 처음 국제사회에서 논의된 것은 1973년 유엔의 ‘국제자연보존연맹’회의를 통해서였다. 그러나 이는 1960년말에서 1970년대 초 서구에서 구체화되었던 환경주의 운동에서 그 뿌리를 찾을 수 있다. 당시 획기적인 살충제로 알려진 DDT의 폐해를 파해친 레이첼 카슨의 <침묵의 봄> 등이 대표적으로 발간되면서 다양한 환경주의 담론이 형성되었는데, 적정기술의 개념을 처음 소개했던 슈마허의 <작은 것이 아름답다> 역시 그러한 환경주의 맥락에서 출발했다는 점에서 지속가능성이 가진 환경주의적 관점은 태생 배경이 적정기술의 시작점이 유사하는 것에서 큰 시사점을 찾을 수 있다.
적정기술을 좁은 의미로 본다면 SDGs를 이루기 위한 다양한 수단 중에 하나일 뿐이다. 실제로 169개의 세부목표 중에서 적정기술이 구체적으로 언급된 항목은 1.4번 ‘취약계층의 경제적 자원에 대한 동등한 권리‘부분이 유일하다. 그러나 적정기술을 기술의 하위 방법론으로 보지 않고 ’적정‘한 수단에 중요성을 두고 유사한 영역인 신재생, 재활용 및 재사용, 지속가능성, 자연보호, 친환경 등의 키워드가 기술이라는 용어과 함께 사용되거나 잠재적으로 기술적 의미를 포괄하고 있는 경우 개연성 있는 목표로 설정해서 정리하면, 17개의 목표 중 5가지는 강한 연계성을 가지고 있었고, 2가지는 보통, 6가지는 약한 연계성을 가진 것을 알 수 있었다.",하재웅,2016,https://www.riss.kr/link?id=A101896348
에너지 전환을 꿈꾸는 국내 적정기술의 주요 흐름,"지금 한국 사회에서는 적정기술이라는 이름으로 보다 살만한 사회로 전환하기 위한 움직
임이 꿈틀대고 있다. 그 역량은 아직 작지만 에너지, 농업, 주거, 교육, 도시생활 등 다양한
영역에서 잊혀진 기술을 다시 불러들이며 또 다른 Maker 문화와 전환의 씨앗을 하나하나
퍼트리고 있다. 사실 사회 모든 영역에서 나타나고 있는 삐걱거림이 어제 오늘의 일은 아
니지만 더 이상 이대로의 사회시스템, 특히 화석연료와 핵발전 기반의 에너지 시스템으로
는 개인의 삶은 물론 사회의 지속성을 유지하기 어렵다는 인식이 이러한 흐름의 밑바탕에
깔려 있다.
이 흐름의 뿌리는 2006년 경남 산청에 세워진 대안기술센터로 볼 수 있으며, 방방골골
숨어있는 사람들의 감수성을 자극하며 기술적 진화의 장을 열어나갔다. 그로부터 10년이
지난 지금, 하루에 한 번꼴로 어디엔가 적정기술 현수막이 걸리고 있듯이 몰라보게 달라진
지평과 기술적 역량은 또 다른 10년을 기약하고 있다. 이들을 어떻게 불러야 할지 규정하
기 어렵지만 활동의 내용과 규모 면에서 적정기술계의 NGO라 해도 무방하리라 본다. 그런
의미에서 그동안 성장한 국내 적정기술 단체들의 현황을 살펴보는 것은 중요한 의미를 갖
는다.",안병일,2017,https://www.riss.kr/link?id=A102378338
지구온난화에 의한 북서태평양 및 한반도 근해의 해수면 상승,"지구온난화로 인한 북서태평양 및 한반도 근해의 미래 해수면 상승을 IPCC AR4 기후 예측모델들의 결과를 이용하여 조사하였다. 본 연구에서는 대부분의 기후모델에서 제시하지 않은 지역적인 열팽창에 의한 해수면 상승을 3차원 수온과 염분 자료를 이용한 역학고도의 계산을 통해 분석하였다. 해수면 자료의 분석결과, 열팽창을 고려한 북서태평양 및 한반도 근해의 해수면 상승률은 전 지구 평균보다 최대 두 배까지 높게 나타났다. 특히, 쿠로시오 확장지역에서 가장 높은 해수면 상승 경향을 보였다. 열팽창을 고려한 A1B 시나리오에 의한 MPI_ECHAM5와 GFDL<sub>c</sub>M2.1 모델 결과에서는 향후 100년 동안 북서태평양에서 각각 24 cm와 28 cm 그리고 한반도 근해에서 27 cm와 31 cm의 해수면이 상승하는 것으로 예측되었다. 통계분석 결과, 이러한 해수면 상승은 겨울철 시베리아 고기압의 약화와 북서태평양 해역의 기압장 변화 그리고 이로 인한 바람장 및 해류의 변화로 발생한 수온변화가 그 원인으로 분석된다. 특히, 쿠로시오 확장지역의 북상에 따른 수온 변화가 북서태평양에서 가장 큰 해수면 상승을 유발한 것으로 사료된다.","오상명(Oh, Sang-Myeong)",2011,https://www.riss.kr/link?id=A101988202
서울시 전기차 충전수요를 고려한 급속충전소의 최적입지 선정 연구,"최근 다양한 전기차 판매와 향상된 서비스는 전기차 이용량을 급격히 증가시켰고, 이에 따 라 전기차 충전수요가 증가하고 있다. 하지만 전기차 충전소는 부족하고 충전서비스가 필요한 위치와 설치·운영되고 있는 충전소의 위치에 차이가 있어 충전서비스의 효율성이 낮은 실정이 다. 이에 본 연구에서는 이용자의 충전수요를 고려한 전기차 급속충전소의 최적입지를 선정하 는 방법을 개발하였다. 충전수요를 고려할 수 있는 변수를 도출하고 데이터를 수집하였으며, AHP설문을 통해 각 변수의 가중치를 구하여 셀(cell)별로 가중평균된 입지잠재력점수를 산정 하여 서울시 전역의 전기차 충전수요를 고려한 충전소의 최적입지를 도출하였다.",김지규,2022,https://www.riss.kr/link?id=A108406982
전환의 시대 적정기술의 역할,"지난 250여년이라는 기간은 근대의 과학기술이 인류 문명을 급속히 발전시킨 시기였다. 수십만 년 혹은 그 이상으로도 알려진 인류역사에 비교했을 때, 극히 짧은 순간에 불과한 이 기간 동안 과학기술이 인류의 생활양식과 삶의 질에 끼친 영향은 실로 엄청나다. 이렇게 막대한 영향력을 가질 수 있었던 것은, 과학이 기술과 결합하여 생활의 편익을 좌우하는 결과물을 만드는데 기여했기 때문이다. 산업혁명이 일어나기 전까지 과학은 자연현상을 탐구하고 이해하기 위한 기초학문의 역할에 머물렀었다. 이와는 달리 기술은, 과학과는 다른 영역에서 생활이나 소규모 가내수공업 등에 직간접적으로 필요한 ‘도구와 기법’을 제시하는 영역에 국한되었다. 기초과학이 르네상스 시대를 거치면서 눈부시게 발달한 결과, 단지 자연현상의 이해에 그치지 않고 에너지원과 동력장치, 원료물질의 가공과 제어 등의 분야에서 기술과 연결되면서 산업에 응용되기 시작했다. 18세기 말부터 영국과 프랑스 등 산업혁명의 물결을 먼저 탄 나라들에서 대규모 공장체계가 들어서고 산업의 규모가 커지게 되는 등 인류의 문명은 이전과는 급속히 양상을 달리하게 되었다. 그러나 변혁이 진행되는 동안 지구환경과 생태계를 중심으로 전혀 예상치 못한 부작용이 초래되어 왔음을 인류는 감지하기 시작했다. 그럼에도 이 속도는 매우 느려서 온 인류가 동시대적으로 깨닫게 되기를 기대할 수는 없을 것이다. 본 논문에서는 적정기술이 제안된 배경에 대해 살펴보고 우리 사회에서 적정기술의 역할이 무엇이고 어떻게 구현되고 있는 지를 살펴보고자 한다. 이를 통해 향후 지속가능한 미래를 추구하고 만들어나가기 위해 적정기술을 어느 분야에 어떻게 활용할 것인지를 제시하고자 한다.",강신호,2020,https://www.riss.kr/link?id=A106520004
