
신재생에너지와 지속가능발전,"경제적 측면에서 본다면 에너지는 생산과 소비에서 매우 큰 비중을 차지함과 동시에 다른 유형의 상품과 대체 가능성이 높지 않다는 점에 그 중요성이 있다. 에너지시장에 대한 정부개입의 필요성은 자원의 고갈전망이 제시되고 두 차례 석유위기가 발발한 1970년대부터 등장하기 시작하였다. 이러한 일련의 인식변화는 에너지부문에 대해 다양한 형태의 정부개입이 시작되는 계기가 되었다. 에너지시스템에서 발견되는 이러한 일련의 시장실패는 정부개입의 정당성을 확고하게 하는 동시에 정책 운영 자체를 복잡하고 어렵하게 하는 요인이 되고 있다. 에너지정책의 운용이 어려운 이유는 에너지부문에서 발생하는 외부효과가 한 종류가 아니라는 점이다. 신재생에너지의 장점과 매력은 이처럼 복잡한 시장실패를 근본적으로 해결할 수 있다는 잠재력에 있다. 하지만 개발노력이 본격화 된지 30년이 넘었음에도 불구하고 2001년 현재 신재생에너지가 IEA 국가의 TPES에서 차지하는 비중은 5.53%에 불과하다. 다양한 장점에도 불구하고 신재생에너지 기술의 개발과 보급이 저조한 가장 큰 이유는 현재의 에너지시장 상황에서 기술의 경제성이 확보되지 않기 때문이다. 신재생에너지의 장점에 대한 강조와 개발의 필요성은 더 이상 정책의 핵심주제가 아니다. 현 시점에서 정책운영의 가장 큰 이슈는 기술개발과 보급에 대한 중장기적인 전략의 수립, 이른바 '정책의 효율성' 이다. 본 논문은 신재생에너지의 이용 전반에 걸쳐 등장하는 다양한 지속가능성 이슈를 살펴보고 국내 여건에 부합하는 기술개발 및 보급방안을 제시하고자 한다.","김호석(Kim, Ho-Seok)",2007,https://www.riss.kr/link?id=A107682235
국내 신재생에너지 사업의 지역별 특성 고찰,"정부는 국가에너지 기본계획을 통하여 2030년까지 1차 에너지에 대해 신재생에너지 비중을 11%까지 확대하겠다는 목표를 설정하였다. 이에 대한 일환으로 신재생에너지 지방보급 사업 등 지역 별로 신재생에너지에 관한 투자 및 보급이 활발하게 진행되고 있는 상황이다. 더불어, 각 지방자치단체에서도 지역에 맞는 신재생에너지 계획을 수립하여 신재생에너지를 보급하고자 노력하고 있다. 신재생에너지 사업은 지역의 경제발전과 밀접한 연관을 가지고 있기 때문에 그 중요성이 더욱 부각되고 있는 실정이다. 본 연구에서는 우리나라 각 지역별 신재생에너지 계획안을 검토하여 어떠한 에너지원에 중점을 두고 사업을 추진하고 있는지 그 현황을 파악하고자 한다. 또한 이들 지역의 신재생에너지 계획안이 해당 지역의 신재생에너지 잠재량과 같은 지역의 특성을 잘 반영하고 있는지, 해당 지역의 신재생에너지 현황은 어떠한지 에너지기술연구원과 에너지관리공단의 관련 자료를 참고하여 검토할 것이다. 이를 통해 궁극적으로 각 지역의 신재생에너지 계획이 해당 지역이 보유하고 있는 자원(자연자원, 인력자원, 경제적 재원 등)을 효율적으로 활용하고 있는지 분석하고자 한다. 본 연구의 결과는 기존의 지역별 신재생에너지 계획을 평가하는데 사용될 수 있으며, 향후 지역 및 국가단위의 에너지 계획 수립에 참고자료로 활용될 수 있을 것이다.","신영은(Shin, Youngeun)",2011,https://www.riss.kr/link?id=A107682581
반도체 장비 학술 심포지움,"반도체 기술은 칩 생산을 위한 기술 뿐만 아니고 한나라의 정보, 전자, 재료 그리고 기초 학문 분야의 경쟁력을 결정하는 기술로 인식되고 있다. 이 분야에 많은 투자를 이미 행한 우리나라로서 반도체 기술이 지속적으로 경쟁력을 가지게 하는 것은 국가 경쟁력과 직결된 중요한 국가 정책 방향이 되어야 한다.
특히 금년과 같이 기억 소자에 과도한 비중을 두고 있다가 수출에 어려움에 겪은 것을 교훈삼아 국내 반도체 기술 경쟁력 향상을 위한 방안을 검토하고자 한다.
대학의 인력을 경쟁력있게 양성하기 위한 방안, 3D 업종으로 인식되는 현상을 바로잡아 반도체 분야에 인재가 집중될 수 있게 하는 방안, 그리고 시스템 산업과 연계 방안등에 대해서 논의한다.
외국의 실례와 대학, 연구소, 기업 협력 및 분담 방안, 그리고 차세대 반도체 기반 기술 프로젝트 후에 정부에서 지원해야 하는 방법 등에 대해서 의견을 나누고자 한다.",반도체 제조장비국산화 연구센터,1996,https://www.riss.kr/link?id=A2093218
주요 국가의 신재생에너지 분야 인력수요 전망체계,"신 재생에너지 산업의 확대를 뒷받침하고 산업의 지속적인 성장을 달성하기 위해서는 지속적인 인력의 공급이 무엇보다 중요하다. 뿐만 아니라 신 재생에너지는 기존 에너지원과 다르게 자국 내에서 생산 및 소비가 함께 이루어진다. 따라서 신 재생에너지의 확대는 국가의 일자리 창출과 직접적으로 연관된다. 하지만 지금까지 국내에서는 신재생에너지 인력수요 전망을 위한 방법론 연구가 충분히 이루어 지고 있지 않은 실정이다. 이에 본 연구에서는 인력수요 전망을 위한 연구를 실시한 호주와 미국 사례를 고찰하여, 국내 신 재생에너지 인력수요 전망을 위한 고려요인 및 전망 방법론 연구를 실시하였다. 연구결과 미국은 기존화석에너지와의 인력수요 차이를 고찰하는데 초점을 맞추어 분석을 실시하였다. 또한 호주는 시나리오 기법을 통하여 미래 신재생에너지 보급상황에 따라 달라 질 수 있는 인력의 수요를 예측 하였다. 두 국가의 경우 신 재생에너지 부문의 인력수요가 급격하게 증가할 것으로 보고 있다. 호주의 경우 2008년 기준으로 10천명이던 신 재생에너지 인력수요가 2020년 24천명~30천명으로 증가할 것으로 예상(연평균 16.7% 증가)하고 있다. 미국에서는 2007년 500천명의 신 재생에너지 산업 인력이 재직 중이며, 신 재생에너지 확대와 함께 2030년에는 7,300천명의 인력수요가 있을 것으로 분석하고 있다. 신재생에너지 인력수요에 대한 연구를 실시한 사례를 살펴보면 국가는 목적에 부합하는 기준을 바탕으로 연구를 수행하여 있음을 알 수 있다. 따라서 우리나라도 향후 신재생에너지 인력 증가에 대비하여 관련 인력양성 정책을 올바르게 세우기 위해서는 관련 연구가 뒷받침 되어야 할 것으로 사료된다. 해외 사례 고찰 내용을 바탕으로 향후 국내 신 재생에너지 인력 수요 예측 시 고려해야 할 요인들을 다음과 같이 정리할 수 있다. 먼저 인력수요의 예측을 위해서는 현실적인 신 재생에너지 성장 시나리오의 설정이 요구된다. 미국의 사례와 같이 신 재생에너지와 재생에너지의 인력수요 차이를 비교하는 것도 신 재생에너지 인력수요를 정량화 하는데 큰 도움이 될 수 있다. 또한 인력의 범위를 직종별, 학력별로 구체화 하려는 노력이 필요할 것이다. 마지막으로 신재생 인력수요 전망을 바탕으로 효과적인 인력양성 프로그램을 구체화 해야 할 것이다.","이유아(Lee, Youah)",2011,https://www.riss.kr/link?id=A107682580
3. 반도체 장비 통신기술 및 개발 S/W,"본 과제는 산업체에서 사용되고 있는 다양한 반도체 제조장비들을 대상으로 원격감시, 모니터링, 데이터전송 및 제어를 위한 통신 핵심 기술을 조사하고 향후 이 기술을 국산화함으로써 얻을 수 있는 경제적인 이득을 평가하고 개발 방향을 설정하기 위하여 진행되었다.
여러 가지 반도체 제조 장비는 그 목적과 기능에 따라 다양한 방법으로 모니터링하고 제어하지만 모든 제어 및 감시 시스템의 핵심적인 기능은 데이터 전송, 수집 및 데이터베이스화, 화면 표시 등의 사용자 인터페이스 부분으로 나눌 수 있고 이와 같은 기능의 구현은 각 모듈간의 통신에 의하여 이루어진다.
이미 반도체 제조장비를 제어 감시하기 위한 방법으로 SECS라는 통신 규약이 발표되어 장비 개발에 사용되고 있지만 장비나 운영체제 환경에 따라 사용하는 방법이 다르기 때문에 본 조사를 통하여 장비별로 SECS의 이용 현황 및 개선 방법 등을 조사하여 상업화 가능성 및 개별 목표등에 대하여 검토한다.",한광록,1998,https://www.riss.kr/link?id=A2093226
환경보호를 위한 한국형 신재생에너지 개발전략에 관한 연구,,박영종(Young-Jong Park),2015,https://www.riss.kr/link?id=A101719616
국내 신재생에너지기술개발 현황 및 정책동향,"최근 전세계적으로 신재생에너지에 대한 관심과 투자가 증폭되고 있으며, 우리나라에서도 그 간의 지속적인 연구개발 지원에 힘입어 국산기술 확보 및 산업화가 점차적으로 이루어지고 있는 것으로 분석되고 있다. 더욱이 신정부에서는 국정지표인 녹생성장의 실현방안으로 신재생에너지에 대한 지원을 대폭 확대하고 있어 관련 기술개발 투자도 지속적으로 확대될 것으로 보인다. 본 고에서는 이러한 국내 신재생에너지 기술개발 관련 정책 및 기술개발 동향에 대하여 알아보고, 특히 급속한 성장세 속에 2008년 전세계 태양전지생산량이 7.9GW1) 에 달한 태양광 분야는 우리나라가 강점을 갖고 있는 반도체, LCD 기술과 유사하여 국내의 축적된 기술과 인프라를 활용할 경우 조기에 세계수준의 기술력을 확보할 것으로 기대되고 있으며, 정부에서는 태양광 분야를 수출전략산업화 하기위해 집중적인 투자에 나서고 있다. 이러한 상황에서 그간의 기술개발 현황, 실적 및 향후 전망 등에 대하여 살펴보고자 한다.","이창구(Lee, Chang-Koo)",2009,https://www.riss.kr/link?id=A107683287
NiFe2O4 금속산화물의 열화학싸이클에 의한 물분해 수소생산기술,"금속산화물의 열화학싸이클에 의한 수소생산 소재중 안정성이 우수하고 물분해 수소생산능이 비교적 우수한 NiFe2O4를 합성하여 열화학수소생산공정 적용시 최적화의 조건에 대하여 검토하였다1). 합성한 NiFe2O4는 격자상수가 8.34 Å이었고, 뫼스바우어에 의해 구조는 Ni이 페라이트 구조인 AB2O의 B위치에 주로 위치하는, A 및 B의 상대적 흡수강도가 57.9:42.1인 역스피넬구조를 보이고 있다. 이러한 구조의 NiFe2O4의 열적환원은 610 oC부터 시작하여 1200 oC에 이르는 동안 약 1.1 wt%의 무게감소가 관찰된다. 물에 의한 산화과정에서 수소가 발생하게 되는데, 1200 oC이하의 환원온도에서 가능한 수소생산량은 약 0.45 cm3/gcycle 이었다. 산화환원의 반복과정에서 NiFe2O4의 XRD에 의한 구조변화는 관찰되지 않아 매우 안정한 구조를 갖는다는 것을 보여주었다. 수소생산을 위한 무게당 싸이클당 수소생산양은 산화환원과정의 온도범위가 가장 중요하였고 물의 접촉시간은 중요한 요소가 되지 않았다. 열적 환원과정에서 많은 양의 수소생산성능을 보이기 위해서는 1200 oC이상의 고온을 필요로 하는 것을 보여주었다.",한상범,2008,https://www.riss.kr/link?id=A104390794
미세중력 모사 환경 하에서 중간엽 줄기세포 증식에 관한 실험적 연구,"중력의 방향을 분산시키는 RPM(Random Positioning Machine)과 bio-printing 된 3D scaffold를 이용하여, 우주의 미세중력을 모사한 환경하에서 중간엽 줄기세포(MSC: Mesenchymal Stem Cells)의 3차원 증식실험을 수행하고, 중력장에서 배양한 동일한 대조군 실험 결과와 정량적으로 비교 및 분석하였다. 자체제작한 RPM 배양기와 3D scaffold의 신뢰성과 안정성도 선행 실험을 통하여 검증하였다. RPM 배양기의 증식 세포는 중력장 하에서 배양된 대조군에 비하여 3차원적 증식이 뚜렷이 발현되었음을 SEM 사진을 통하여 확인하였다. RPM 회전에 따른 세포 안착의 불안정성 때문에 초기 생착률이 낮지만 3차원 배양에 따른 증식률 증가로 인하여 day 4.5에서 증식 세포 수의 역전이 발생하고, 결과적으로 RPM 작동 하에서 증식이 더 활발함을 정량적으로 확인하였다. 이와 같은 연구 결과로부터 RPM에 의한 미세중력 모사 환경이 MSC 증식에 긍정적인 역할을 함을 알 수 있다.",김희락(Hee Rak Kim),2020,https://www.riss.kr/link?id=A106516273
신재생에너지 전력에 대한 소비자 선호의 지역별 차이 연구,"우리나라는 2012년부터 신재생에너지 공급의무화제도(Renewable Portfolio Standards, RPS)의 도입을 확정하였다(지식경제부 고시 제2010-244호). RPS 제도는 기존의 발전사업자에게 총 발전량 중 일정량 이상을 신재생에너지 전력으로 공급토록 의무화하는 제도이다. RPS의 도입을 통해 일차적으로 신재생에너지의 보급 확대를 도모할 수 있으며, 부차적으로 신재생에너지 공급확대의 비용의 소비자 귀착을 기대할 수 있다. 본 연구는 RPS 제도로 인한 신재생에너지 보급확대의 비용이 소비자에게 전가된다는 가정 하에, 조건부가치평가법(Contingent valuation)을 적용하여 신재생에너지 전력에 대한 지불의사액(Willingness to pay)을 분석하였다. 본 연구의 주된 목적은 신재생에너지 전력에 대한 지불의사액을 분석하는 데 있어 지역별로 어떠한 차이가 나타나는지 알아보는 데 있다. 이에, 서울, 울산, 강원도, 전라남도의 4개 지역을 설문대상 지역으로 선정하였다. 서울은 신재생에너지를 포함한 에너지 관련 시설에 대한 경험이 거의 없는 비교군에 해당하며, 강원도와 전라남도는 신재생에너지의 이용이 활발한 지역을 대표하는 대조군에 해당된다. 울산은 신재생에너지 이용이 활발하지는 않으나 굴지의 산업단지가 입지한 지역으로, 대형 에너지 관련 시설에 대해 특수한 선호를 보일 것이라 추측되어 대조군으로 선정하였다. 본 연구에서는 이 4개 지역의 주민들을 대상으로 조건부가치평가법을 적용한 설문조사를 시행하여 신재생에너지 전력에 대한 지불의사액을 도출한 후, 이를 비교 분석하였다. 본 연구결과를 통해 신재생에너지에 관련된 경험이 선호에 어떠한 영향을 미치는지 파악할 수 있으며, 도출된 신재생에너지 전력에 대한 지불의사액은 향후 RPS 정책 도입시 전기요금 산정 관련 논의의 참고자료로 활용될 수 있을 것으로 기대된다.","김지효(Kim, Jihyo)",2011,https://www.riss.kr/link?id=A107682571
층간소음 관리시스템이 민원저감과 아파트 가격에 미치는 영향,"본 연구는 현재 사회문제화 되고 있는 층간소음 피해 실태조사·분석을 통하여 적용 가능한 층간소음 분쟁의 예방을 위한 효율적인 관리시스템을 개발 적용하였다. 설문조사 분석결과, 층간소음의 주요 발생 원인으로 아이들 뛰는 소음과 어른 걷는 소음이 55% ∼ 75%로 가장 심각한 소음원으로 나타났으며, 소음 피해시간대는 저녁(18시∼22시) 시간대는 50% ∼ 65%로 가장 높게 나타났으며, 야간(22시∼ 06시) 시간대는 26% ∼ 45%범위에 있는 것으로 분석되었다. 층간소음관리시스템 적용 전·후의 민원저감효과 분석결과, 전라도 광주는 100%, 대구시는 87.5%, 서울의 경우는 83%, 경기도는 71% 순으로 나타나, 평균 약 85% 이상의 민원 저감효과가 있는 것으로 나타났다. 층간소음관리시스템 적용 전·후의 아파트 가격 변화 분석결과, 적용된 아파트의 경우는 평균 17.23백 만원 상승한 반면, 미적용된 아파트는 0.55백만원 하락한 것으로 평가되었다.",차상곤(SangGon Cha),2014,https://www.riss.kr/link?id=A108303600
탄소화합물/Polymer Binder 복합체를 이용한 기체확산층 제조 및 성능 평가,"고분자전해질 연료전지 (PEMFC)의 가격 결정 요인 중 막 전극 접합체 (MEA)가 차지하는 비중은 약 45%정도이며, 이것을 구성하는 주요 부품인 기체 확산층 (GDL)은 carbon paper나 carbon cloth 형태가 사용되고 있다. 그렇지만 GDL을 제조하는 공정은 매우 복잡하고, 그 가격이 너무 높은 단점이 있다. 본 연구에서는 카본블랙, 흑연 등의 탄소화합물과 polymer binder를 이용하여 단순화된 공정으로 GDL을 제조하였다. 또한, GDL의 물리적 특성이 전극 성능에 미치는 영향을 분석하기 위하여 표면 morphology, 접촉각 및 표면에너지, 전기전도도, 기체투과도, porosity, pore distrivution 등을 측정하였고, 각각의 GDL 표면에 동량의 Pt 촉매를 도포하여 MEA를 제작한 후 그 성능을 평가하였다.","이지정(Lee, J.J.)",2011,https://www.riss.kr/link?id=A107682654
한국형 지열발전 기술 분석,"지열은 날씨와 기온 등에 영향을 받지 않고 연중 가동할 수 있어 기저부하를 담담할 수 있는 유일한 신재생에너지 자원이므로 이에 대한 기술개발이 시급하다. 우리나라는 비화산지대이며 지중 온도가 가장 높은 지역의 5km에서 약 170?C 내외이므로 외국에 비해 지온경사도가 크지 않은 편이다. 그리고 3km 이상에서는 지하대수층이 거의 존재하지 않기 때문에 지열발전을 위해서는 EGS 기법을 도입할 수 밖에 없는 실정이다. 그리고 지열수를 확보할 수 있는 온도범위가 약 100{sim}150?C 정도이므로 이에 적합한 지열발전 플랜트를 선정할 필요가 있다. 일반적으로 지열발전에 적용되는 플랜트는 건증기 지열발전, 플래쉬증기 지열발전, 바이너리 사이클 지열발전으로 분류할 수가 있으나 국내 여건에 맞는 방식으로서 바이너리 사이클 발전으로서 ORC 플랜트 또는 Kalina 사이클 플랜트가 적합하므로 이에 대한 기술 개발이 적극적으로 이루어져야 한다. 따라서 국내 지열발전의 기술개발에 있어서 핵심요소는 심부천공 및 EGS를 위한 인공파쇄기술과 지상 플랜트로서 저온지열 발전 플랜트의 기술확보가 필요한 실정이다. 이와 같은 기술개발이 완성되면 발전 뿐만아니라 집단지역난방, 온실 및 양어장 등에도 열공급이 가능한 열병합발전이 가능하게 될 것이다. 또한, EGS 기술로서 상업적 성공을 이룬 것은 세계적으로 2~3개 사례에 불과한 신기술로서, EGS 기술의 국내 조기 실현으로 기술 선점 및 해외 수출을 모색할 필요가 있다. 그리고 심부 지열자원은 국내 어디에나 부존하는 ubiquitous 자원이며 이산화탄소 배출이 전무한 청정 국산 에너지 자원이나, 이의 개발에는 높은 초기 투자비와 risk를 요하므로 민간 업체의 투자가 제약을 받는다. 따라서 정부의 적극적인 지원하에 산.학.연 중심으로 시범보급이 우선 이루어진 후 민간의 자발적 투자를 통한 지열 개발을 유도할 필요가 있다.","장기창(Chang, Ki-Chang)",2009,https://www.riss.kr/link?id=A107683156
RPS 도입 하의 신재생에너지 지불의사 연구,"본 연구는 2012년 시행할 예정인 신재생에너지 공급의무화제도(RPS) 하에서 신재생에너지 전력에 대한 추가비용 발생 시 국민들이 RPS 제도의 목표 및 형태에 대하여 어떤 선호를 가지고 있으며, RPS 제도에 대한 소비자들의 만족도를 높이기 위한 개선점이 있는지 알아보고자 수행되었다. 이에 소비자 선호를 조사하는 대표적인 연구방법론인 조건부가치평가법(CVM)을 활용하여, RPS 제도 하에서 발생 가능한 소비자 선호, 구성요소 합산효과 및 지역별 선호의 차이의 3개 주제에 대한 연구를 3차례 설문을 통해 수행하였다. 해당 연구의 주요 내용을 요약하면 다음과 같다. 첫째, 우리나라 국민들의 신재생에너지 전력에 대한 WTP는 가구당 1,456~1,560원/월 수준으로 이는 우리나라 가구당 월 평균 전기요금의 약 3.7~3.5% 수준에 해당한다. 이를 토대로 추산한 신재생에너지 전력 이용에 대한 국민들의 편익은 2011년 신재생에너지 보급 관련 예산의 42.4% 정도인 것으로 나타났다. 둘째, 국민들은 에너지원의 선택에 대한 비용 차이가 있을 시에는 개별 신재생에너지원을 대체재(substitutes)로 인식하였다. 그러나 에너지원의 선택에 대한 비용 차이가 없는 경우에는 특정 신재생에너지원에 대한 선호를 보이며, 특히 태양광에 대한 선호도가 가장 높게 도출되었다. 셋째, 소비자들의 선호도에 따른 재생에너지 포트폴리오를 적용한 결과, 우리나라 국민들은 연 2,618~2,806 GWh 규모의 신재생에너지 전력을 생산하는데 소요되는 추가비용을 지불할 의사가 있는 것으로 분석되었다. 이는 2010년도 우리나라 전체 전력 수요의 0.62~0.66% 정도로 RPS에서 목표로 하는 의무비율을 이행하기에는 부족한 것으로 보인다. 넷째, 신재생에너지 전력에 대한 선호는 지역별로 다르게 나타났다. 이는 지역 간 저항응답의 비율, 재생에너지 시설 인근 경험 및 재생에너지 시설 입지에 대한 찬반의사 등의 지역별 차이에서 기인하는 것으로 분석되었다.","김지효(Kim, Jihyo)",2011,https://www.riss.kr/link?id=A107683435
신재생에너지의 확산이 대기오염 배출 저감에 미치는 영향 분석,,배정환(Jeong Hwan Bae),2020,https://www.riss.kr/link?id=A107054852
