
국내산 수산물 내 자연 및 인공방사능 축적 연구 현황 및 향후 연구 방향,"2011년 동일본대지진에 의해 발생한 후쿠시마 원자력 발전소 사고와 최근 국내 지진 발생 빈도의 증가는 원자력 발전소의 지진 안전성에 대한 불안감을 야기하였다. 더불어 최근(2021년) 일본 동경전력은 후쿠시마 원전 오염수의 태평양 방류를 결정하였으며, 이로 인해 국내외 수산물을 통한 방사능 오염 가능성이 높아지면서 국민들의 우려가 급증하고 있다. 후쿠시마 원전사고 이후 해양으로의 인공방사능 유입에 관한 연구는 국제적으로 많이 이루어졌으나, 한국인의 주요 식재료인 동아시아 연근해의 수산물에서 인공방사능의 분포 현황 및 축적에 대한 연구는 상대적으로 부족한 실정이다. 따라서 이 논문에서는 후쿠시마 원전사고 이후, 국내산 수산물에서의 원전 기원 인공방사능(예, <sup>137</sup>Cs, <sup>239+240</sup>Pu, <sup>90</sup>Sr 등)의 분포 특성과 관련한 최근 연구 사례들을 소개하고자 한다. 또한, 후쿠시마 원전오염수의 방류와 더불어 2030년까지 계획된 중국의 신규 원전 시설로 인한 향후 한반도 주변해역의 방사능 유출 영향에 대한 대비 및 사전 연구가 필요한 시점이기에 향후 연구 방향들을 제안하고자 한다.",이희수,2021,https://www.riss.kr/link?id=A107861975
지구 온난화에 따른 해양환경 변화와 대책,"최근 지구온난화로 인해 해수면이 상승하고 해양 생태계가 큰 변화를 보이는 것으로 보고되고 있다. 한반도 주변 해역에서도 수온과 해수면이 상승하고 있다고 보고되고 있다. 뿐만 아니라 가시파래, 불가사리, 해파리 등이 대량 발생하고, 바다 사막화가 증가되는 등 해수면 상승과 해양생태계의 변화로 어민 경제에 심각한 영향을 끼치고 있다. 본 연구에서는 지구 온난화의 원인과 그 메카니즘을 소개하고, 지구 온난화가 해양환경 변화와 해양 생태계에 미치는 영향과 그 대책에 관하여 보고하고자 하였다.",김도희,2010,https://www.riss.kr/link?id=A103618064
해양오염방지를 위한 각종 국제협약의 국내 수용 현황,"해양오염방지협약(MARPOL 73/78)을 수용하기 위하여 제정 개정되어 은 해양오염방지법을 비롯하여 환경관련 국내법들을 살펴보고, 해양오염방지를 위하여 채택된 각종 국제협약들의 주요 내용을 국내법에 어떻게 수용하고 있는지를 검토하였다. 그리고 해양오염방지와 관련된 현행 국제협약의 내용 중에서 아직까지 국내법에 수용되지 않은 부분을 해양오염방지법에 수용하는 방안을 제시하였다. 최근에 선박대기오염방지규칙을 MARPOL 73/78의 부속서VI으로 채택함에 따라 국내에서는 대기환경보전법보다는 해양오염방지법에 이를 수용하였다. 72런던협약 및 96의정서(LC 72/96)의 주요내용을 해양오염방지법에 수용하고 있으나 72런던협약 부속서II의 특별주의물질, 부속서III의 해양투기허가증 발급기준 및 96의정서 부속서 I의 투기 가능물질에 관한 일부 내용이 수용되지 않고 있다. 기름오염대비대응협력협약(OPRC 90)의 주요내용은 해양오염방지법에 수용되어 있으나 항만 및 기름 취급시설 기름오염비상계획서와 국가긴급계획이 해양오염방지법에 수용되어 있지 않다. 유성혼합물이 선내에 잔류하는 해철용 유조선(폐선)을 개도국이나 후진국으로 이동하는 것을 방지하기 위하여 유해화학물질의 국가간 이동을 규제하고 금지하는 바젤협약의 관련 내용(폐유)을 해양오염방지법으로 수용하는 것이 바람직하다. 선박의 유해한 방오시스템 통제를 위한 국제협약을 유해화학물질관리법으로 수용하기 보다는 해양오염방지법으로 수용하여야 할 것이다. 국내에서 유기주석화합물(TBT)을 함유한 선박방오도료를 취급제한 금지물질로 분류함으로써 방오도료 국제협약을 국내의 유해화학물질관리법에 수용하고 있으나 방오도료 국제협약을 해양오염방지법으로 수용하는 것이 더 합리적일 것이다. 밸러스트수 국제협약을 수용하는 국내법이 없는 실정이므로 이 협약을 해양오염방지법으로 수용하거나 새로운 법을 제정하여 수용하여야 할 것이다.알고리즘을 제안하였다. 시그널링 트래픽은 history cache가 성공시 약 48%의 traffic이 감소되었고 history cache 실패시 약 기존 핸드오버 보다 약 6%의 traffic이 증가되었다.구들에 비해 월등히 좋은 결과를 나타내었다(p<0.05). 이 시험에서는 첫 번째 시험에서 보이지 않았던, 생체중에 대한 복강 지방 비율이 현저하게 감소한 것으로 나타났다(p<0.05). 본 실험 결과 육계사료에 희토의 첨가는 육계의 성장을 촉진하였으며, 사료 요구율 개선하였다. 이외에도 복강지방이 낮아지는 경향을 보였지만 일관성이 없었으므로 추후의 연구가 필요하다.향은 앞으로 좀더 연구가 필요하다.로 생각되며, 이에 따른 적극적인 anti-reflux 수술에 대한 고려도 필요할 것으로 생각된다.$14.7{\pm}2.7$ mL로 각 군 간에 통계적인 유의성이 있었다(p<0.05). 혈청내 칼륨 농도는 I군에서 II군에 비해 소생술 후 의의 있게 높았으며(p<0.05), 포도당 농도는 II단계의 I군에서 타군과 비교하여 현저히 낮았다(p<0.05). IL-8은 I 군 $1,834{\pm}437$ pg/mL, II 군 $1,006{\pm}532$ pg/mL, III군 $764{\pm}302$ pg/mL로 I 군에서 II 및 III군과 비교하여 통계적으로 유의하게 높았으며(p<0.05), 폐조직의 조직검사를 통해 평가한 염증세포 분포 점수에서 III 군이 $1.6{\pm}0.6$으로 I 군 $2.8{\pm}1.2$에 비해 통계적으로 유의하게 낮았다(p<0.05). 결론: 압력 조절형 출혈성 쇼크 모델에서 시행한 저체온법은 정상체온을",김광수,2006,https://www.riss.kr/link?id=A103023555
해수면 상승이 유엔해양법협약 적용에 미치는 영향 분석,"기후변화로 인하여 해수면 상승이 발생하고 있고, 그로 인한 악영향에 대해 연안국을 비롯한 국제사회의 우려가 커지고 있다. 해수면 상승으로 해안선이 후퇴하고 섬등 해양지형물이 수몰되는 경우 그러한 해안선을 기점으로 설정된 연안국 관할해역 외측한계의 변경 가능성, 기존 해양경계획정조약의 개정 필요성, 섬 또는 암석이 암석 또는 수중암초로 변경됨에 따른 법적 지위의 변화 등 많은 국제해양법적 쟁점을 발생시키고 있다. 이 논문에서는 해수면 상승이 국제해양법에 미치는 효과에 한정하여, 쟁점별로 소도서개발도상국, 세계국제법학회, 유엔 국제법위원회의 주장을 검토하고 유엔해양법협약의 해석론적 측면에서 해결방안을 제시하였다.",이용희,2023,https://www.riss.kr/link?id=A108572565
해양 플라스틱 쓰레기에 의한 부유물 감김 해양사고 저감 정책방안 연구 - 법제도 측면 개선 중심으로 -,"우리나라에서 발생한 최근 10년간의 해양사고를 살펴보면 다른 종류의 사고에 비하여 해양 부유물에 의한 해양사고가 뚜렷하 게 증가하고 있는 것을 알 수 있다. 본 연구에서는 연간 발생한 해양사고에 대한 중앙해양안전심판원과 해양경찰청의 통계연보를 분석하 고 비교 검토해보았다. 두 기관의 통계는 일부 상이한 부분이 있었지만 전체 해양사고 통계 중 부유물 해양사고의 수치는 지속적으로 증 가하고 있었고 어선과 비어선으로 나누었을 때 어선에서 특히 많이 발생하고 있다는 것을 알 수 있었다. 또한 부유물 감김 해양사고의 원 인이 되는 주된 부유물질은 어망, 어구, 밧줄류에 기인한 비율이 압도적으로 많았다. 해양 플라스틱과 관련된 국내외 정책들을 들여다보 면 대부분 해양오염 자체를 예방하고 해양쓰레기를 회수하는데 집중하여 해양환경적인 문제로 인식하고 있는 것이 대부분이다. 또한 해 양환경 및 해양 쓰레기와 관련된 대표적인 법인 「해양환경관리법」과 「해양폐기물 및 해양오염퇴적물 관리법」을 살펴보면 해양쓰레 기를 해양폐기물의 한 종류로써 인식하고 있으며 폐기물의 종류와 정의는 다루되, 해양쓰레기에 관한 정의는 찾아보기 어려웠다. 따라서 본 연구에서는 선박의 운항에 영향을 미칠 수 있는 해양 플라스틱 쓰레기 규제와 관련된 법제도를 살펴보고 개선방안을 제시해 보고자 하였다. 그리고 선박의 안전한 항행과 운항에 적합한 해양 쓰레기에 관한 정의가 부재하기에 이에 맞는 해양쓰레기의 범위를 제 안하여 그 개념을 명확히 해보고자 하였다.",이혜진,2021,https://www.riss.kr/link?id=A107992229
딥러닝 기법을 활용한 컨테이너선 운임 예측 모델,"해운 시황을 예측하는 것은 중요한 문제이다. 투자 방식의 결정, 선대 편성 방법, 운임 등을 결정하기 위한 판단 근거가 되며 이는 기업의 이익과 생존에 큰 영향을 미치기 때문이다. 이를 위해 본 연구에서는 기계학습 모델인 장단기 메모리 및 간소화된 장단기 메모리 구조의 Gated Recurrent Units를 활용하여 컨테이너선의 해상운임 예측 모델을 제안한다. 운임 예측 대상은 중국 컨테이너 운임지수(CCFI)이며, 2003년 3월부터 2020년 5월까지의 CCFI 데이터를 학습에 사용하였다. 각 모델에 따라 2020년 6월 이후의 CCFI를 예측한 후 실제 CCFI와 비교, 분석하였다. 실험 모델은 하이퍼 파라메터의 설정에 따라 총 6개의 모델을 설계하였다. 또한 전통적인 분석 방법과의 성능을 비교하기 위해 ARIMA 모델도 실험에 추가하였다. 최적 모델은 두 가지 방법에 따라 선정하였다. 첫 번째 방법으로 각 모델을 10회 반복 실험하여 얻은 RMSE의 평균값이 가장 작은 모델을 선정하는 것이다. 두 번째 방법으로는 모든 실험에서 가장 낮은 RMSE를 기록한 모델을 선정하는 것이다. 실험 결과 전통적 시계열 예측모델인 ARIMA 모델과 비교하여 딥러닝 모델의 정확도를 입증하였으며, 정확한 예측모델을 통해 운임 변동의 위험관리 능력을 제고시키는데 기여했다. 반면 코로나19와 같은 외부 효과에 따른 운임의 급격한 변화상황이 발생한 경우, 예측모델의 정확도가 감소하는 한계점을 나타냈다. 제안된 모델 중 GRU1 모델이 두 가지 평가 방법 모두에서 가장 낮은 RMSE(69.55, 49.35)를 기록하며 최적 모델로 선정되었다.",김동균,2021,https://www.riss.kr/link?id=A107861950
선박추진기용 로프절단장치의 구조 안정성 및 효용성에 관한 연구,"본 연구에서는 상용화된 로프절단장치 타입 중 국내에 가장 많이 도입되어있는 Scissor type을 대상으로 유한요소해석을 수행하여 다양한 로프 걸림 상황에서 안정성이 확보되는 적합한 구조 형태를 평가하였으며, 수조 실험 및 실선 실험을 통해 효용성을 검증하였다. 연구 결과, 로프 걸림에 의하여 프로펠러축이 회전하지 않을 경우 엔진에서 발생하는 지속적인 토크로 인하여 로프절단장치에 비틀림이 발생하고 유한요소 해석상 자유도가 구속되어 있지 않은 하부의 블레이드에서 가장 높은 변형이 발생하는 것을 확인하였다. 블레이드의 두께가 증가할수록 최대변형량은 줄어들고 최대응력은 낮아져 안전율이 증가하는 결과가 나타났으며, 동일한 블레이드 두께에서 토크의 변화량이 최대응력과 최대변형량에 미치는 영향은 로프절단장치의 외력이 미치는 위치와 무관하며 정비례하게 감소하는 것으로 나타났다. 해석 결과를 토대로 실시한 수조실험 및 실선실험 결과, 모든 조건과 환경에서 로프 및 어망이 원활하게 제거되는 것을 확인하였다.",김준수,2021,https://www.riss.kr/link?id=A107813099
해수이차전지의 사용 환경에 따른 특성 및 내부 저항 분석,"해수이차전지는 해수를 양극으로 사용하는 차세대 이차전지이다, 해양 자원을 사용하여 가격 경쟁력과 높은 친환경성, 그리고 해양 애플리케이션에 적합한 구조를 가진다. 이러한 장점을 기반으로 지속적 연구개발을 통해 자연 해수 노출을 가정한 파우치 타입 및 각형 타입이 개발되어 왔다. 그러나 이차전지는 전기적 특성상 사용 환경에 따라 용량 및 내부 임피던스가 달라진다. 이러한 특성은 전지의 수명 예측에 활용될 뿐만 아니라 활용하고자 하는 상황에 맞는 용량과 출력에 직접적인 영향을 미친다. 따라서 본 논문에서는 해수이차전지의 사용 환경에 따른 용량 측정과 SoC-OCV 측정 방법을 통한 내부 저항을 분석하고자 한다.",강승표,2023,https://www.riss.kr/link?id=A108572564
로터세일의 배열 형태가 양력 형성에 미치는 영향에 관한 수치해석적 연구,"최근 국제해사기구(IMO)를 비롯한 국제사회에서 선박의 대기오염 배출 규제를 강화하고 있으며, 배기가스 배출을 줄이기 위한 친환경 선박 개발이 활발하게 이루어지고 있다. 그중에서도 풍력 보조 선박추진 시스템 중 하나인 로터 세일(Rotor Sail,RS)이 다시금 주목받고 있다. RS는 선박 데크에 설치되는 원통형 실린더 장치로 마그누스 효과를 사용하여 유체 동역학적 양력을 생성하는 장치이다. 이는 차세대 친환경 보조 추진 기술 중 하나이며, RS 적용 선박을 개발한 Enercon 社에서는 약 30% 이상의 연료 절감이 가능하다고 발표했다. 본 연구에서는 다중 RS를 선박에 설치할 경우 RS 간격 및 배열 형태와 같은 최적의 설치 조건을 선정하고자 하였으며, RS 배열에 따른 유동특성을 확인하기 위하여 AR(Aspect Ratio)=5.1, SR(Spin Ratio)=1.0 및 로터세일 지름과 엔드 플레이트 지름 비()=2.0로 고정하고 자유 유속 U=5m/s로 풍향은 +y축 단방향에 대한 조건만 고려하였다. 배열 조건은 횡방향 거리는 +x축 방향으로 3D~ 15D까지 3D 간격으로 총 5가지 조건을, 종방향 거리는 +y축 방향으로 5D~25D까지 5D 간격으로 총 5가지 조건을 설정하였으며, 사각 형태(□)와 마름모 형태(◇) 배열에 따른 양력계수(), 항력계수()와 공기역학적 효율(/)을 비교하였다. 결과적으로 종방향 간격에 따른 RS의 영향은 크게 차이가 없었으나, 횡방향 간격에 따른 RS 유동특성의 경우 두 RS가 바람 방향에 거의 일치할 때 RS의 상호작용 효과가 가장 크게 나타났다. 배열에 따른 RS 유동특성의 경우, 전방(0°) 방향에서 바람이 불 때 마름모 형태(◇) 배열이 RS간의 후류 영향을 가장 덜 받는 것으로 나타났다.",김정은,2023,https://www.riss.kr/link?id=A108572567
부산 마린시티 해안의 복합재난 위험성 평가,"기후변화로 인해 해수면상승, 태풍, 집중강우 등 두 가지 이상의 복합적인 원인으로 발생하는 복합재난 위험이 증가하고 있는 실정이다. 본 연구의 대상지역인 부산 마린시티는 과거 수영만 매립지에 조성된 주거지 중심의 신도시로서, 최근 태풍과 해일 및 월파의 복합 원인으로 대규모 침수피해가 발생한 바 있다. 이와 같은 복합재난에 대비하기 위해서는 위험성 평가를 통해 재난 대비에 대한 우선 순위를 정하고 이에 따른 대비책을 세울 필요가 있다. 본 연구에서는 위험성 평가를 위해 평가프레임을 수립하고, 침수예측 자료와 국가공인 사회경제적 위험요소 자료를 수집하였다. 사회경제적 위험요소는 인구, 지하시설, 건물, 인도, 도로의 5가지로서, 최대 침수심에 대한 각 요소의 절대기준을 마련하여 평가하였다. 그리고 요소별 가중치 설정을 위하여 전문가 설문을 적용하였다. 평가결과는 관심, 주의, 경계, 위험 4단계로써, 2100년의 해수면상승과 재현주기 100년 빈도의 폭풍해일 및 확률강우를 가지는 시나리오에서 관심등급 43 %, 주의등급 24 %, 경계등급 21 %, 위험등급 11 %로 각각 나타났다. 각 등급은 색상별로 구분하여 복합재난 위험지도를 작성하였다.",황순미,2020,https://www.riss.kr/link?id=A107051345
