
"인공지능의 역사, 분류 그리고 발전 방향에 관한 연구","인공지능은 오랜 역사가 있으며, 이미지 인식이나 자동번역 분야를 포함한 여러 분야에서 활용되고 있다. 그래서 처음 인공지능을 접하는 경우에 많은 용어와 개념, 기술 때문에 연구의 방향 설정이나 수행에 어려움을 겪는 경우가 많다. 이번 연구는 이러한 어려움을 겪는 연구자들에게 도움이 될 수 있도록 인공지능에 관련된 중요 개념을 정리하고, 지난 60년의 발전 과정을 요약한다. 이를 통하여 방대한 인공지능 기술 활용의 기초를 확립하고 올바른 연구의 방향성을 수립할 수 있다.",조민호(Min-Ho Cho),2021,https://www.riss.kr/link?id=A107379563
팝콘브레인 현상에 대한 지각예술작용 집단상담 프로그램 개발에 관한 연구,"본 논문은 팝콘브레인 현상을 중심으로 지각예술작용 집단상담 프로그램 개발을 통한 이중감각 치료 기법 여부에 역점을 두고 서술하게 되었다. 지각예술작용 집단상담 프로그램은 디지털기기 중독에 의해 발생되는 뇌의 문제를 후각, 촉각, 시각 등 뇌의 이중감각 활성화를 통해 변화에 대한 내적동기를 부여하고 성취감과 소속감을 느낄 수 있는 자발적 관계욕구 해소에 그 근간을 둔 프로그램이다. 이중감각 표현 방식은 인지행동상담 기법과 집단미술치료기법을 절충하여 디지털기기중독의 대안을 찾게 되었다. 인지행동상담 기법과 집단미술치료기법의 융합방식은 팝콘브레인의 주요 원인인 디지털기기에 의한 무감각하고 무기력해진 뇌에 체험을 통한 ""생각${\rightarrow}$감정${\rightarrow}$행동""에 초점을 두어 변화를 구조적 표현방식으로 유지시켜 나가는 환경을 제공하게 된다. 이러한 환경 제공을 위해 지각예술작용 집단상담 프로그램을 보다 더 체계적으로 수립하고 전략적으로 활용하여 치유목적으로 실행할 수 있는 여건을 모색할 수 있다. 또한 지각예술작용 집단상담 프로그램을 통해 자기치료를 유도하여 관계욕구를 해소할 수 있는 근본을 마련하게 된다.",장승영,2013,https://www.riss.kr/link?id=A103666738
노인무임승차 첨두시 요금부과에 따른 수입금 변화 : 수도권 스마트카드자료를 이용하여,"본 연구는 수도권 지하철의 노인무임승차에 대하여 오전 및 오후 첨두시간대에 요금을 부 과하는 상황을 전제로 지하철 운송기관의 수입금 변화를 추정한다. 스마트카드자료는 노인무 임통행에 대하여 요금관 관련된 자료를 생산하지 않고 있다. 따라서 스마트카드자료를 이용해 서 노인승객의 요금을 추정하고 운송기관에 수입금으로 배분하는 별도의 방법론에 대한 검토 가 요구된다. 본 연구는 노인통행은 출발시간을 기점으로 최소시간경로를 선택하는 가정을 반 영하는 동시적 동적통행배정모형을 구축하여 통행경로를 선정하고 이를 기반으로 노인에게 부과되는 거리비례요금과 민자기관의 별도 및 독립요금을 추정하고 운영기관의 수입금으로 배분하는 모형과 방법론을 구축하고 시연한다. 2019년 및 2020년 COVID-19 전후를 대상으로 사례연구를 시행한 결과 서울교통공사의 무임손실을 연간 3600억원에서 오전첨두(07:00-08:59) 에는 6~8% 수준, 오후첨두(18:00-19:59)에는 13~16% 까지 절감될 것으로 분석된다.",신성일,2023,https://www.riss.kr/link?id=A108561043
자율주행자동차 기술 동향에 관한 연구,본문참고,"최원석, 최성곤",2021,https://www.riss.kr/link?id=A107775018
마이크로 멀티니들을 이용한 고주파 피부미용 의료기기를 위한 출력 장치 개발,"고령사회의 진입과 인간의 평균 수명이 연장되고, 여성의 사회적 진출 및 남성들의 외모에 대한 관심증가, 미디어 매체를 통한 K-문화가 전 세계적으로 관심을 받으면서 자연스럽게 관심은 K-Bueaty에 집중되고 있다. 최근, 의료관광 분야의 점유를 보면 성형 및 피부과와 같은 피부미용 의료관광의 경우 중국, 일본 등 아시아뿐만 아니라 북미, 유럽 등에서 인기를 누리고 있다. 사람의 노화를 가장 먼저 외면적으로 확인할 수 있는 부위는 바로 얼굴의 피부 주름이다. 깨끗하고 주름이 없으면서 탄력성 있는 건강한 피부는 대부분의 사람들이 원하는 바람이다. 대표적으로 집속형초음파자극(HIFU:High Intensity Focused Ultrasound)와 저주파, 고주파(RF:Radio Frequency), 미세전류를 이용한 갈바닉 테라피, 급속 냉각을 이용한 크라이오 테라피 등 피부의 컨디션과 상태에 따라 관리하는 방식이 달라지며, 같은 기전을 이용한 의료기기 및 피부미용 기기의 시술 역시 출력 및 자극 부위 등에 따라 시술의 효과가 차이가 난다. 본 연구는 수많은 피부미용 의료기기 및 미용기기 중 마이크로니들을 이용한 침습형 고주파 피부 의료기기를 개발하고자 국제규격인 IEC 60601-2(의료기기개별기준규격)및 MFDS(Ministry of Food and Drug Safety : 식품의약품안전처)에서 고시한 고주파 자극기 기준 규격을 준수한 고주파 출력 장치를 설계 및 개발하였다. 회로 설계는 Class-A Topology를 이용한 증폭장치(AMP:Amplifier)와 Half-Bridge Topology를 이용한 전원장치로 이루어져 있다. 개발된 고주파 출력 장치를 측정한 결과 평균 63.86%의 효율을 얻었으며, 최대출력은 116.7W, 50.67dBm으로 측정되었다.",김준태(Jun-tae Kim),2021,https://www.riss.kr/link?id=A107894668
메타버스 서비스 확대를 위한 인공지능 기술의 활용,"메타버스 산업이 발전하려면 메타버스의 지향점처럼 디지털 공간에서 편리하게 사회 · 경제 · 문화 활동을 하며 자유롭게 가치를 창출하고 공유 · 거래할 수 있는 환경이 마련되어야 한다. 인공지능(AI) 기술은 메타버스 서비스에 대한 다양한 아이디어들을 실현하고 개선하는데 도움이 될 것이다. 본고에서는 확장현실(XR) 관련 기술 현황, 메타버스 플랫폼 관련 이슈 등을 통해 메타버스 산업 동향을 살펴보고 메타버스 서비스가 갖는 특징에 대해서도 알아본다. 그리고, 메타버스에서의 AI 기술의 필요성에 대해 고민해보고 메타버스 서비스 확대를 위한 AI 기술 활용과 서비스 이슈들에 대해서도 고찰해본다.",방준성,2022,https://www.riss.kr/link?id=A108018851
동적 토픽 모델링과 감성 분석을 활용한 전동킥보드에 대한 사회적 동향 분석,"마이크로 모빌리티 중 하나인 전동킥보드의 이용은 세계적으로 급격히 성장하고 있는 추세이다. 국내에서는 2018년 서울에서 서비스를 시작한 킥고잉을 비롯하여 서울을 포함한 일부 대도시에서 공유킥보드 서비스를 제공하는 업체가 생기면서 전동킥보드의 이용이 크게 증가했다. 하지만, 전동킥보드의 이용은 여전히 주차, 안전에 대한 문제로 인해 논란의 대상이 되고 있다. 이동수단에 대한 인식은 사용자들이 어떤 이동수단을 선택할지에도 영향을 끼치므로 전동킥보드 이용 및 공유킥보드 서비스 활성화를 위해서는 관련 이슈와 그에 대한 대중의 인식을 파악할 필요가 있다. 이에 본 연구에서는 전동킥보드 관련 이슈에 대한 사회적 동향을 파악하는 것을 목표로 시간에 따른 이슈의 변동성을 고려해 동적 토픽 모델링과 감성 분석을 활용하여 2014년에서 2020년까지의 전동킥보드 관련 뉴스 기사를 분석하였다. 토픽 모델링을 통해 마이크로 모빌리티 기술, 공유킥보드 서비스, 킥보드 관련 규제 관련 토픽을 도출하였으며, 공유킥보드 서비스 증가와 함께 안전에 대한 이슈가 크게 불거지면서 킥보드에 대한 규제 관련 토픽의 비중이 최근 들어 크게 증가함을 확인했다. 그뿐만 아니라 감성 분석을 통해 킥보드 관련 뉴스에 주로 등장하는 긍정어는 신속, 즐기다, 손쉽다, 편리 등이 있고 부정어는 위협, 불법, 침해 등으로 나타나 킥보드나 공유킥보드 서비스의 편의성에는 만족하지만, 마이크로 모빌리티 서비스에서 안전, 주차 등의 문제는 여전히 해결해야하는 이슈임을 알 수 있었다. 결론적으로, 본 연구를 통해 전동킥보드에 대한 이슈와 그에 대한 관심과 사회적 감성의 변화를 확인하고 어떤 이슈에 대한 대응이 필요한지 파악할 수 있었다. 이 연구의 분석의 틀은 향후 다양한 사회 현안에 대한 사회적 동향을 파악하고 그에 대한 대응 방안을 마련하는데 활용할 수 있을 것으로 기대된다.",김경옥 ( Kyoungok Kim ),2023,https://www.riss.kr/link?id=A108512624
아두이노-안드로이드를 활용한 실내 자동화 환기 시스템에 관한 구현,"환기 시스템은 자연환기와 기계환기가 있는데, 기계환기는 필터의 주기적인 교체와 초기 구매 시 발생하는 고비용으로 사용자에게 부담이 되고, 공기청정기와 같은 실내 기계환기장치로만 환기 할 경우 실내에 고농도 이산화탄소, 병원균, 유기화합물 등의 배출이 원활하지 않다. 따라서 본 논문에서는 아두이노 센서들을 이용한 실내 공기오염에 영향을 끼치는 일산화탄소와, 이산화탄소, 미세먼지의 기준치로 유해 구간을 설정, 저비용으로 스마트 자연환기 환경을 구성한다.",김병찬(Byoungchan Kim),2022,https://www.riss.kr/link?id=A108072929
딥러닝의 변수 중요도를 이용한 인공지능 기술 분석,인공지능 기술은 빠른 속도로 발전하고 있다. 특히 인공지능 개발을 이끌고 있는 많은 세부기술 간의 관계를 파악하는 것은 인공지능 기술을 이해하는데 중요하다. 본 연구에서는 이와 같은 인공지능의 기술 분석을 위하여 딥러닝을 적용한다. 최근 전통적인 통계학 및 머신러닝 기법에 비해 딥러닝의 예측 성능이 더 우수함을 보여주는 다양한 연구결과가 발표되고 있다. 하지만 최종 예측과 함께 예측에 사용된 입력변수들의 상대적인 중요도를 파악하는 것은 기존의 통계적 기법에 비해 딥러닝이 가지고 있는 어려움 중 하나이다. 예측모형에서 입력변수가 출력변수에 어떤 형태로 영향을 주는지 확인하려는 연구는 여러 분야에서 이루어지고 있다. 선형회귀분석은 입력변수의 중요도를 확인하기 위하여 표준화 회귀계수를 이용한다. 본 논문에서는 가중치 분석을 통하여 딥러닝의 입력변수 중요도를 계산하여 인공지능 기술에 영향을 미치는 세부기술에 대한 기술 분석을 수행한다. 제안 방법의 타당성을 보이기 위하여 인공지능 기술관련 특허문서를 수집하고 분석하여 인공지능 세부기술간 기술 연관성을 확인한다.,김승환(Seungwhan Kim),2019,https://www.riss.kr/link?id=A106049258
공유 전동킥보드 이용 특성 및 영향요인에 관한 연구,"공유 전동킥보드는 기존 'station 기반의 공유 교통서비스에 비해 편리한 dockless 방식으로 제공되어 이용이 급격하게 증가하고 있다. 이에 따라 교통사고, 보행환경 저해 등 새로운 도시 문제가 발생하고 있다. 본 연구에서는 서울시를 대상으로 최근 급격하게 성장하고 있는 공유 전동킥보드의 이용 특성을 분석하고, 음이항 회귀모형을 통해 서울시 집계구 단위의 공유 전 동킥보드 이용수요에 영향을 미치는 요인에 대하여 규명하였다. 이용특성 분석결과 평균 이용 거리는 1.5km, 이용시간은 9.4분, 이동속도는 10.3km/h로 나타났다. 공유 전동킥보드의 이용수 요에 대한 영향요인을 살펴보면, 인구지표, 교통시설지표, 토지이용지표, 기상지표가 통계적으 로 유의하게 영향을 미치는 것으로 분석되었다. 본 연구의 결과는 향후 공유 전동킥보드의 이 용수요가 많은 지역에 대한 효율적인 운영 및 이용 활성화를 위한 교통정책 수립의 기초자료 로 활용될 수 있을 것으로 기대된다.",김수재,2021,https://www.riss.kr/link?id=A107294215
