
양자컴퓨터와 양자정보기술,"다양한 분야의 기술이 고도화되면서 양자역학을 실제 활용할 수 있는 양자기술이 21세기 들어와 비약적으로 발전하고 있다. 특히 정보처리분야에서 관심이 높으며, 이러한 분야를 양자정보기술이라고 한다. 본고에서는 양자정보기술의 핵심인 양자컴퓨터의 현황과 발전동향을 살펴보기로 한다.","정연욱(Chong, Yonuk)",2022,https://www.riss.kr/link?id=A108483741
전기자동차 충전기 기술동향 및 개발사례 소개,"전기자동차는 온실가스 감축을 위한 정부의 보급 정책, 정숙성, 높은 가속성능, 고유가에 따른 유지비 절약 등의 장점으로 인해 보급이 가속화되어 가고 있다. 그러나 제한된 주행거리와 상당히 긴 배터리 충전시간이 큰 단점으로 지적받고 있다. 이러한 단점 극복을 위해 1세대 양산 전기차에서 2세대, 3세대로 진화하면서, 배터리 가격의 가파른 하락과 에너지 밀도 증대에 따라 배터리 용량을 키워왔고, 이에 따라 1회 충전 주행거리가 대폭 향상된 전기자동차의 출시가 점차 증가하고 있다. 따라서 충전시간 단축과 배터리 용량 증대에 대한 요구가 동시에 확대되고 있는 만큼, 본 기고에서는 전기자동차의 탑재형 완속충전기와 고속 급속충전기의 개발 사례들을 통해 앞으로의 전기자동차용 충전기 기술의 방향성을 제시한다.","박준성(Park, Jun-Sung)",2023,https://www.riss.kr/link?id=A108483721
"지구온난화로 인한 해수면 상승의 위기, 대안 정책과 탄소배출 저감을 위한 전기자동차 정책 등","본 원고에서는 지구온난화로 인한 해수면 상승의 위기 및 대안정책을 살펴보고, 탄소배출 저감을 위한 가장 현실적이고 강력한 정책인 전기자동차 정책 등의 필요성에 대해서 논의하겠다.",배진용(Jin-Yong Bae),2021,https://www.riss.kr/link?id=A107901643
전기자동차의 폐배터리의 Re-Use 및 Re-Cycling 산업소개,"본 원고에서는 리튬이온 배터리의 구조와 원리, 전기자동차 확대에 따른 폐배터리 발생량 및 폐배터리 관리 및 법안을 검토하고, 폐배터리의 Re-Use 및 Re-Cycling 사례를 살펴보겠다.",손호인(Ho-In Son),2021,https://www.riss.kr/link?id=A107901640
전기자동차용 전력반도체 기술동향,"전기자동차의 대중화와 함께 차세대 와이드밴드갭 전력반도체의 수요도 급증하고 있다. 전력반도체는 에피성장기술, 소자설계 및 공정, 패키지, 모듈 등의 다양한 분야의 융·복합적인 연구개발이 필요하여 국산화에 어려움을 겪고 있으며 전량 수입에 의존하고 있는 실정이다. 전기자동차에서 전력반도체의 활용과 차세대 전력반도체의 국·내외 최신 기술동향을 소개하고 시장현황 및 전망을 살펴봄으로써 전기자동차용 차세대 전력반도체의 국산화를 성공하기 위한 전략을 모색해본다.","석오균(Seok, Ogyun)",2022,https://www.riss.kr/link?id=A108483735
실제 전기자동차 사용 패턴 분석을 통한 충전 인프라 보급 방향과 확산 전략에 대한 고찰,"본 논문에서는 각종 환경문제의 무분별한 확산을 방지하는데 기여하고, 인류와 산업이 상생할 수 있는 지구 환경을 만들기 위한 여러 가지 노력 중 하나인 전기자동차 산업이 성공적으로 안착하기 위한 방안들에 대해 논의하고자 한다. 최근, 전 세계적으로 진행되고 있는 자동차 동력원의 변화(즉, 내연기관을 기반으로 하는 기존 자동차 형태에서 전기모터와 배터리 팩을 기반으로 하는 전기자동차로의 패러다임 변화)는 기존의 주유 시설과는 다른 전기 충전 인프라의 구축을 요구하고 있다. 다만, 아직까지는 충전 인프라 구축에 대한 경험이 부족하고, 전기자동차의 충전 패턴 등에 대해 연구가 부족하여, 효율적인 충전 인프라의 구축과 그 운영방안에 대해 적절한 전략이 부재한 상황이다. 따라서 본 연구에서는 제반 충전 인프라의 효율적 구축과 정착 그리고 보다 현실적인 충전 인프라의 운영 방안 모색을 통하여, 전기자동차 충전 인프라의 자생적 확산 방향에 대해 논의하였다. 그 연구의 기반으로는 PHEV와 BEV를 포함한 실제 전기자동차 사용자들의 충전 인프라 이용사례와 패턴을 분석하였다. 또한, 전기자동차의 지속적 보급과 확산, 그리고 함께 준비되고 마련되어야 할 효용성 높은 충전 인프라 구축과 더불어 점진적이고 궁극적으로 나아가야 할 전기자동차 충전 인프라 산업의 비전과 방향성을 고찰하였다.",최영석(Youngsuk Choi),2019,https://www.riss.kr/link?id=A107274611
PPG 2차 미분을 이용한 정상인과 당뇨병 환자 간의 왼손과 오른손 말초혈관 탄성도 차이 비교,"우리나라의 당뇨병 유병률은 경제발전과 식생활의 급속한 서구화로 빠른 속도로 증가하고 있다. 특히 당뇨병은 유병기간이 길수록 여러 합병증을 초래하는데 그 중 하나가 혈관경화증이다. 혈관 경화증은 신채 부위별로 그 진행 속도가 다르다. 광혈류측정법(PPG, photoplethysmogram)은 간편한 혈류량 측정방법으로 PPG 2차 미분 방법을 이용해서 혈관의 경화 도를 진단할 수 있다. 이러한 PPG 2차 미분방법을 이용하여 당뇨병환자의 왼손과 오른손의 말초혈관 탄성도 차이를 정상인과 비교해 보았다. 실험결과 당뇨병환자와 정상인의 양 손가락 말초혈관 탄성도의 유의한 차이를 확인 할 수 없었다.",이탁형(Tak Hyung Lee),2008,https://www.riss.kr/link?id=A77031491
전기자동차 자율주행 기술동향,"최근 4차 산업 혁명에서 자동차의 자율 주행 기술은 미래 사회에 큰 영향을 미칠 것으로 예상된다. 또한 IT 기술의 중요성이 급격히 높아짐에 따라 많은 기업들이 전기 자동차 분야의 융합에 대한 연구를 진행하고 있으며, 자율의 역사와 동향을 파악하고 미래의 자율 주행 기술에 대한 전망을 알아본다.",이상민(Sang-Min Lee),2020,https://www.riss.kr/link?id=A106831223
초고속 영구자석 동기모터의 손실 분석을 통한 사이즈 설계,"본 논문에서는 유한요소해석을 통해 초고속 PMSM(Permanent Magnet Synchronous Motor)의 사이즈에 따른 손실을 분석하고 최적의 효율을 가지는 사이즈를 결정한다. 통자석 타입의 회전자를 사용하여 동일한 체적 조건에서 회전자 외경과 적층 길이의 비에 따라서 비전기장하와 비자기장하의 비율이 달라진다. 따라서 회전자 외경과 적층 길이 비에 따른 고정자 코어의 철손, 회전자의 영구자석과 Can의 와전류손, 코일의 동손에 대한 해석을 진행하여 최적의 효율을 가지는 모터의 사이즈를 결정한다.",양혜원(Hye-Won Yang),2021,https://www.riss.kr/link?id=A107872927
압력센서를 이용한 족저압 측정 및 자세 분석에 관한 연구,"본 연구에서는 압력센서를 이용하여 양 발바닥에 가해지는 압력을 비교하며, 또한 골반이나 허리뒤틀림에 인한 불안정한 자세를 가지는 척추측만증 환자와 일반인을 비교하는 실험을 진행하였다. 실험에서는 동작범위가 넓은 압력센서를 사용하였으며, 양 발에서 측정된 압력값을 블루투스를 이용하여 전송하였다. 전송된 데이터는 핸드폰이나 다른 모니터에서 확인 가능하게 하였다. 본 연구에서는 척추측만증 환자들이 병원에서 X-ray나 MRI 검사를 통하여 척추측만증을 검사하는 기존의 방식에 비교하여, 간편하고 언제 어디에서나 장소와 시간에 구애를 받지 않고 측정할 수 있는 장비개발의 가능성을 검토하고자 한다. 또한 3축 가속도센서로 허리 뒤틀림을 측정하는 기존의 논문에 비교하여 측정잡음을 감소시켜 시스템의 성능을 향상시키고 사용성이 높으며, 또한 작업의 수행시간을 단축할 수 있다고 생각한다.",홍주희(Ju-Hee Hong),2015,https://www.riss.kr/link?id=A100323839
