
우리나라의 일회용 플라스틱 사용량 산정연구 일회용 컵과 비닐봉투를 중심으로,"‘일회용 플라스틱(single use plastics)’이란 재사용이 불가능하고 한번 사용 후 폐기되는 플라스틱을 말한다. 한번 쓰고 버려지는 일회용의 특성상 소비 후 빠르게 폐기되며 생활에 편리함을 주기 때문에 더욱 쉽게 소비되고 쉽게 버려지게 된다. 미세 플라스틱을 포함하여 플라스틱 폐기물로 인한 해양오염은 전 세계적으로 심각한 문제로 대두되면서 플라스틱 사용을 규제하는 나라들이 급증하고 있으며 이러한 추세를 따라 국내에서도 매장 내 일회용 플라스틱 사용 금지, 비닐봉투 무상제공금지 등 일회용 플라스틱의 사용을 억제하는 제도를 운영하는 등 플라스틱 사용을 단계적으로 규제하고자 노력하고 있다.
본 연구에서는 적절한 플라스틱 폐기물 관리와 정책 수립을 위해서 문제가 되는 플라스틱의 생산, 소비, 폐기량에 대한 신뢰할 만한 통계자료가 필요하다고 판단한 바, 가장 문제가 된다고 예상되는 일회용 플라스틱 품목들 중 네 가지 품목(PET병, 플라스틱 컵, 비닐봉투, 음식 배달용 플라스틱)을 선정하여 생산, 소비량을 추정하였다. 연구 방법으로는 선행연구들을 참고하여 국내 플라스틱 제품 생산량, 자발적 협약체결 업체들의 시장점유율 및 사용량 통계자료와 설문조사 결과 등을 기초자료로 활용하여 인구 5100만명 기준 1인당 연간 일회용품 사용량을 계산하고 이를 알기 쉽게 표현하기 위하여 플라스틱 발자국(Single-use plastic footprint)로 나타내었다. 연구 결과, 1인당 연간 일회용 플라스틱 소비량은 PET병 100개, 플라스틱 컵 92개, 일회용 비닐봉투 470개, 음식 배달용 용기 98개 등 총 합계 760개로 나타났으며 이는 연간 전체 플라스틱 소비량으로 나타냈을 때 36만 톤에 해당하는 양이다.",김홍경 ( Hongkyoung Kim ),2019,https://www.riss.kr/link?id=A106498271
이산화탄소 증가로 인한 해수 산성화가 해양생물에 미치는 영향평가 및 생태영향기준 도출,,김병모(Byeong-Mo Gim),2014,https://www.riss.kr/link?id=A100003267
폐의약품 배출실태와 저감에 관한 연구,"본 연구는 대전시 약국 30개 사업장과 일반가정(시민) 270개소에서 폐의약품 처리실태에 관한 설문조사를 수행 및 분석하여 지자체입장에서의 저감방향을 제시하였다. 그 결과, 먼저, 약국내 수거함 비치장소는 조제실 혹은 창고라는 응답이 약 60%로 높게 나타났으며, 수거함 자체가 없다는 약사들의 응답도 약 30%로 나타났다. 약사들은 시민들이 약국내 수거함을 대부분 이용하지 않는다고 응답하였으며, 폐의약품을 약국으로 가져오는 형태는 약봉투 그대로(80%) 가져오는 경향이 높다고 응답하였다. 또한 약사들은 과거와 비교하여 폐의약품의 수거되는 양은 비교적 증가하고 있다고 보고 있었다. 약사들은 약국내 폐의약품 수거에 관한 홍보나 포스터를 부착한다가 56%, 부착하지 않는다가 43%로 응답하였으며, 홍보나 포스터 부착장소로는 약국내의 벽이나 카운터가 전체의 90%로 나타났다. 한편, 폐의약품의 수거상의 문제점은 크게 없지만 수거된 의약품의 보관상 청결 문제와 바쁜업무로 인한 부담 등이 있는 것으로 나타났다. 더불어 약사들은 폐의약품의 수거과정 개선사항으로 시민대상의 적극적 홍보가 가장 필요하다고 응답하였다.
다음으로, 시민대상의 폐의약품 배출특성 조사에서는 의약품 구입빈도와 구입량은 응답자 60.3%가 월 1번정도 구입, 약을 구입시 2-3일분 정도를 구입한다는 응답이 절반가량으로 나타났다. 의약품 구입후 남은 약을 보관하는 이유로서는 다음에 또 복용겠다는 응답자 절반으로 나타났다. 의약품 구입후 남은 약을 처리할 경우 어떻게 하는가에 대한 답변으로 종량제봉투에 버린다가 응답자 절반이상(57%)이 응답하였다. 시민들은 의약품이 남을 경우 약국에 가져간다가 23%, 집에 계속 보관한다가 7%의 순으로 나타났다. 응답자 약 절반은 약국에서 폐의약품을 수거하고 있는 사실을 모르고 있는 것으로 나타났다.
한편, 폐의약품처리에 대한 방향으로는 지자체에서는 관련조례 제정 및 보완이 필요하고, 약국의 역할은 그저 시민들이 가져오는 폐의약품의 보관에만 그치지 말고, 자발적으로 폐의약품을 가져오는 시민들에 대하여 폐의약품보관함 위치 및 의료약품에 대한 위험성 등에 대한 알림역할도 필요하다. 폐의약품 저감을 위한 공동주택(APT)의 배출과 수거시스템 개선이 필요하다. 예컨대, 단지별로 혹은 동별로 폐기물을 보관하는 곳이 있다. 프라스틱, 종이류, 비닐류, 폐형광등 등의 가정계에서 배출되는 폐기물을 성상(종류)별로 임시 보관한다. 여기에 폐건전지 수거함과 같이 폐의약품 보관/수거함을 두면, 가정에서 일정량 혹은 정기적으로 배출가능하게 된다. 또한 가정에서의 의약품은 알약과 가루약, 시럽 등의 물약, 그리고 튜브용기의 연고 등 기타의약품으로 구분하고 보관하고, 폐의약품으로 발생할 경우 약국 등에 가져다 줄 때 용이하다.",정환도 ( Hoando Jong ),2021,https://www.riss.kr/link?id=A107746818
석유계 플라스틱 사용 저감을 위한 화이트바이오 산업 활성화 방안 연구,"1930년부터 도입된 플라스틱은 분해 기간이 길고 잘 썩지 않는다는 환경적 특성으로 가끔 사회 문제를 발생시키고 결국 맹독성의 다이옥신 검출, 유명한 플라스틱 오염 문제이었던 미세 플라스틱의 해양 오염 실태뿐만 아니라 최근 이슈가 되고 있는 매립을 통한 토양 미생물 영향 등과 같은 심각한 환경 오염의 원인으로 대두되고 있다. 석유계 플라스틱 매립시 토양오염을 저감하기 위한 유일한 방안으로 화이트바이오 산업의 육성하는 것이다. 석유계 플라스틱은 온실가스인 이산화탄소 분해되어도 미세 입자가 남아 미세 플라스틱 문제 유발하지만 화이트바이오 산업 핵심인 바이오 플라스틱은 생산 과정에서 이산화탄소 배출량도 비교적 적지만, 원료인 식물 등 바이오매스가 이산화탄소를 흡수하여 탄소 중립적이고 6개월에서 1년 사이에 완전분해된다. 따라서, 본 연구에서는 토양 내 미치는 오염을 저감하기 위한 화이트바이오 산업을 활성화하는 방안을 기존 폐플라스틱 발생 및 처리현황과 바이오 플라스틱 생산현황과 비교하여 제시하였다. 연구 결과, 우리나라의 폐플라스틱 발생량은 생활계폐기물 기준으로 2017년 대비 2018년에 8.9% 증가되었다. 2018년 폐플라스틱 발생량 중 재활용 40%, 소각 45%, 매립 15%였다. 2018년 폐플라스틱 매립량은 934톤으로 2017년 대비 4% 증가되었다. 한편, 전세계 바이오 플라스틱의 연간 생산량은 2017년 약 36만 톤으로 아직까지 재활용 포함한 전체 플라스틱 시장에서 차지하는 비중은 0.3%로 미미한 수준이나, 바이오플라스틱은 2020년에는 345만 톤에 육박하였다. 국내에서도 향후 5,000톤 생산계획이 있다. 따라서, 폐플라스틱 매립량과 바이오플라스틱의 생산현황을 비교하여 볼 때, 바이오 플라스틱을 활성화하게 되면, 폐플라스틱 매립량은 저감되어 토양오염을 저감할 수 있을 것이다.",이서율 ( Seo-yul Lee ),2021,https://www.riss.kr/link?id=A107746819
"실리콘 태양전지 고효율화 소재, 기술 동향 및 향후 전망","실리콘(결정질, 비정질)을 기반으로 하는 태양전지는 현재 태양전지 시장의 약 95% 이상을 차지하고 있다. 양자점 태양전지나 나노 태양전지와 같은 차세대 태양전지 기술들이 개발되고 있으나 향후에도 태양전지 시장에서 실리콘 기반의 태양전지가 차지하는 비율은 과반을 상회할 것으로 예상된다. 본 논문에서는 실리콘 기판을 기반으로 하는 태양전지의 현황과 고효율화 기술 동향 및 향후 전망에 대해 논하려고 한다.",안시현,2015,https://www.riss.kr/link?id=A101168269
대도시 도로변 쓰레기 배출특성에 관한 연구,"이번 연구는 대도시 시내버스 정류장에 대한 쓰레기 발생 특성 혹은 무단으로 버려지는 쓰레기에 대한 모니터링과 관련한 연구는 아직 미비하다는 판단에서 시작되었다. 또한 도로변 쓰레기통의 설치 유무에 따라 쓰레기 발생량 및 배출특성은 다를 것이다. 외국뿐 아니라 우리나라 대도시에서는 도로변 쓰레기통이 있는 도시와 없는 도시로 구분된다. 이에, 이번 연구에서는 대도시/버스정류장/쓰레기통/무탄투척쓰레기/공간적특성이라는 핵심어에서 시작하고, 대전시 시내버스 정류장에 대한 무단으로 버려지는 쓰레기에 대하여 모니터링하였다.
그 결과, 유동인구가 비교적 많고 젊은이가 많이 모여드는 쇼핑가 지역인 의능정이거리와 롯데백화점 등의 버스정류장에서는 1일 연속조사 및 주1회 조사에서 1회용 종이컵 및 플라스틱컵, 그리고 생수병 등이 특별하게 많이 배출되지는 않는 것으로 모니터링 되었다. 대학교 및 중고등학교의 버스정류장에서는 유동인구 및 활발한 대학교 앞 상가건물 등의 공간적 특성을 고려하여도 1회성 쓰레기 발생빈도는 낮은 것으로 모니터링 되었다. 주택가 및 공원녹지, 그리고 관공서가 있는 버스정류장에서도 무단으로 배출되는 1회용 종이컵과 플라스틱컵, 생수병 등의 발생빈도도 낮은 것으로 모니터링 되었다. 결국, 버스정류장에서 버려지는 가능성이 높을 것으로 생각되는 종이컵과 생수병 등의 재활용가능쓰레기는 장소와 주변 환경과 특성 등에 크게 상관없이 발생빈도는 비교적 낮은 것으로 나타났다. 그러나, 버스정류장 쓰레기통의 유무에 따라 대형 비종량비닐봉투 등은 무단투척되는 배출특성이 있는 것으로 모니터링 되었다.
이번 연구를 통하여 버스정류장의 공간적 특성과 주변환경 등은 무단투척쓰레기의 발생량과는 많은 상관 없는 것으로 나타났다. 그러나, 버스정류장에 설치되어 있는 쓰레기통의 유무는 무단투척되는 쓰레기 발생량과는 상관이 있는 것으로 나타났다.
한편, 버스정류장에 대한 시민들의 편의성을 고려한다면 버스정류장내에 새로운 형식의 1회용 쓰레기에 대한 재활용쓰레기통 설치도 필요하지만, 도로변 특성과 주변 환경과의 사회적 특성 등을 고려한 장기적인 모니터링이 필요하다.
따라서, 대전시내 버스정류장에 무단투척 되는 쓰레기에 대하여 매년 조사 혹은 경년조사 등 장기적 모니터링 연구를 통하여 기초자료 축적 및 도로변 환경변화에 따른 쓰레기통 설치에 대한 연구조사가 필요하다.",정환도 ( Hoando Jong ),2021,https://www.riss.kr/link?id=A107746836
RE100 캠페인의 현황과 탄소배출권을 연계한 이행 방안,"최근 주요 기업들을 대상으로 전력 사용을 100% 재생에너지로 전환하자는 RE100 캠페인이 국내외에서 뜨거운 관심을 받고 있다. 2019년 12월 기준으로는 Apple, BMW Group 등 전 세계 211개 기업이 RE100 캠페인에 참여한 것으로 알려져 있다. RE100이 확산됨에 따라 해외 RE100 기업이 국내 협력기업에게도 재생에너지 사용을 요청하는 사례가 발생하고 있는데, 국내는 RE100 도입을 위한 전력거래제도가 마련되지 않았고, 재생에너지 발전원가가 높아 당장의 RE100 이행은 어려운 상황이다. 이에 따라, 장차 RE100이 국내 기업에 무역장벽으로 작용할 가능성이 제기되고 있어 본고에서는 RE100의 현황과 RE100 도입 비용을 낮추는 방안으로써 RE100과 탄소배출권의 연계에 대해 논의하고자 한다. 이를 통해 탄소배출권과 연계한 RE100 이행이 가능해지는 경우, 국내 재생에너지 보급 확대 및 국가 탄소배출 감축계획 이행에 기여할 수 있을 것으로 예상된다.",문필준,2020,https://www.riss.kr/link?id=A107090844
기후변화 기인의 해수면 상승으로 인한 우리나라 연안지역의 위험성 평가,"기후 변화의 영향은 최근 몇 년 동안 급격하게 증가하면서 세계의 모든 지역에 지속적으로 영향을 미치고 있다. 기후 변화의 심각성에도 불구하고, 현재의 실질적인 대응은 실제 위험을 해결하려는 정치적 의지의 부족으로 인해 여전히 불충분하다. 본 연구는 고도 및 해수면 상승 예상 자료를 활용하여 우리나라 해안선의 기후변화 위험도를 평가하고, 침수지역을 파악하며, 피해인구를 예측하였다. 또한 본 연구는 앞서 언급한 침수지역을 기준으로 개발지역 및 농촌지역의 피해와 사회간접자본의 피해를 각각 분석하였다. 우리나라 해안은 인구밀집지역, 도시화지역, 농경지 등에서 기후변화로 인한 해수면 상승에 더욱 취약하다는 연구결과가 나왔다. 이 지역들의 대부분은 해안 주변에 위치해 있기 때문에 해안 도로망이 잠재적인 홍수에 더욱 취약하다. 또한 우리나라 행정구역 내 기초자치단체 단위 중 48.9%가 해수면 상승에 따른 침수 피해를 입을 수 있다는 전망이 나왔다. 이러한 연구결과를 바탕으로 해안가 기후변화 영향에 대응하기 위해 인구밀집지역으로의 주거이동을 줄이고 도로망을 확충하여 고유한 지방자치단체의 실정에 맞는 적응방안을 제시하였다. 이 연구결과는 추가적인 기후변화위험에 대한 연구, 인간의 생활환경과 자연생태계를 연계한 최적대응 연구 등 더욱 복합적인 위험평가 연구를 위한 기초연구에 기여할 것으로 기대된다.",이수아,2023,https://www.riss.kr/link?id=A108594218
미세기포와 용존공기부상 반응조를 이용한 산업폐수 내 미세플라스틱 제거,"최근 환경적 문제가 대두되면서 활발하게 진행 되고 있는 대부분의 미세플라스틱에 대한 연구는 해양에서의 미세플라스틱과 관련된 연구가 대부분이며 하·폐수 처리장에서 처리되지 않고 방류된 미세플라스틱에 대한 연구는 미비한 실정이다. 최근 연구에 따르면 하·폐수 처리장에서 미세플라스틱을 제대로 처리하지 못하고 있으며 처리수가 방류된 하천에서 더 다량의 미세플라스틱이 검출되었다는 연구 결과가 있다. 하천에 방류된 미세플라스틱은 해양으로 유입될 수 있으며 이는 근본적인 미세플라스틱 문제 해결을 위해서는 하·폐수 처리장에서의 미세플라스틱 제거가 이루어져야 한다는 것을 의미한다. 본 연구에서는 산업폐수 내 미세플라스틱 제거에 대하여 연구하였으며 미세플라스틱 제거를 위해 미세기포와 용존공기부상(DAF) 기술을 적용하였다. 실험에 사용된 폐수로는 세탁공장에서 발생한 세탁폐수를 사용하였다. DAF 1ton/h 반응조에 주입할 응집제의 종류와 주입량을 산정하기 위하여 폴리염화알루미늄, 황산알루미늄, 염화제1철, 고분자응집제를 사용하여 세탁폐수에 대해 Jar-test 실험을 진행하여 탁도와 TSS를 측정하였으며 폴리염화알루미늄과 고분자 응집제를 병합 주입하는 것이 최적으로 도출되었다. DAF 반응조에 응집제를 주입하여 생성된 Floc은 미세기포를 이용하여 부상 처리하였다. 원폐수와 처리수 내 미세플라스틱의 분석은 탁도 및 TSS측정, FT-IR과 Raman분광기를 통하여 정성·정량 분석을 진행하였다. 탁도와 TSS값을 분석한 결과 원폐수 대비 처리수의 제거율은 각각 80.9%, 80.4%를 나타내었으며 FT-IR을 통해 미세플라스틱 제거율을 판단한 결과 67.9%를 나타내었다. TSS값으로 측정한 미세플라스틱 제거율과 FT-IR을 이용하여 측정한 미세플라스틱의 제거율이 상이한 이유는 TSS 측정에 사용되는 GF/C 필터로 측정할 수 있는 0.45㎛의 공극 이하의 미세플라스틱들이 폐수 내 존재하여 TSS값에 측정되지 않았다고 판단할 수 있다.",김도균 ( Dokyun Kim ),2021,https://www.riss.kr/link?id=A107746889
페로브스카이트 기반 탠덤태양전지 연구 동향,"페로브스카이트 태양전지는 지난 5년간 광전변환효율이 약 10%에서 22%로 증가하는 급속한 발전으로 주목 받고 있으며, 현재 대면적 공정개발 및 안정성 향상 등의 상용화 기반기술에 대한 연구개발 역시 활발히 진행되고 있다. 이와 동시에, 페로브스카이트는 실리콘 태양전지(1.1eV), CIGS 태양전지(1.1~1.2 eV)와 비교하여 상대적으로 높은 밴드갭에너지(＞1.5eV)를 가지고, 할라이드 물질 조성 제어를 통해 쉽게 밴드갭에너지를 조절할 수 있으며, 저온 용액 공정이 가능한 특성에 기인하여 페로브스카이트 태양전지를 상부셀로 이용한 탠덤 태양전지에 대한 다양한 시도가 이루어 지고 있다. 페로브스카이트의 흡광계수, 반사율 등 광학적 특성에서 기인하는 요소들을 고려하면 직렬 형태의 이중접합에서 최대 32%의 광전 변환효율 얻을 수 있을 것으로 예측된다. 따라서 본 원고에서는 페로브스카이트, 실리콘 및 Cu(In, Ga) (S, Se)2 (CIGS) 같은 다양한 태양전지와 함께 페로브스카이트 태양전지를 활용하는 탠덤태양전지의 현재 연구 동향을 논의하고자 한다.",박민아,2017,https://www.riss.kr/link?id=A103230964
