
물 시료의 최소검출가능 농도 분석과 유효선량 평가,"2011년 3월 일본 앞바다의 쓰나미 피해로 인하여 후쿠시마 원전 사고로 바다에 스며든 방사능 물질은 태평양까지 흘러 바다 생물에 오염을 일으켰다. 물 시료를 채취하여 전처리하였다. 방사성 물질의 방출에 의한 원전부지 주변 지역과의 비교평가를 위해 긴급보호 조치계획구역(20 ~ 30 km) 떨어진 지역으로 기상상태, 인구분포 등을 고려하여 비교지점으로 선정하였다. 또한 원전주변 주민들이 받게 되는 최소검출방사능을 분석하고 유효선량을 평가하고자 한다. 물 시료의 삼중수소 방사능 분석결과 대부분 시료에서 불검출로 나타났으며, 일반인에 대한 연간 법적 기준치 1 mSv의 0.0014 % ~ 0.777 % 로 인체에 미치는 영향은 거의 없는 것을 알 수 있다. 따라서 원전부지 주변의 물 시료 측정과 분석을 통해 방사능 방출로 인한 주변주민, 그리고 일반대중의 피폭상황 등 불안감해소에 도움이 될 것으로 사료된다.",장은성(Eun-sung Jang),2020,https://www.riss.kr/link?id=A107215849
척추 측만증에 대한 필라테스 효과,"본 연구의 목적은 필라테스 운동이 척추 측만증 환자의 요추 Cobb's angle에 어떠한 영향을 미치는지의 효과를 알아보는데 있다. 이 운동의 효과를 검증하기 위하여 필라테스 자세교정운동(PCE), 척추스트레칭운동(SSE), 근육강화운동(MSE)등을 시행하였다. 자세교정운동은 불균형한 근육에너지를 바로잡아주며 척추스트레칭 운동은 척추주변의 과 긴장된 근육을 이완시키고 근육강화운동은 주동근과 길항근의 균형을 잡아주어 척추 주변 근육의 탄력성과 유연성을 회복시켜주게 된다. 연구방법은 필라테스 적용 전과 적용 후의 X-ray 촬영에 의한 요추의 Cobb's angle을 측정하여 검증하였다. X-ray 촬영을 통한 Cobb's angle 실험 전 후의 결과는 필라테스 실시 후 약 5도 정도에서 통계적으로 유의하게 감소하였다(p=0.005). 따라서 필라테스 운동이 척추 측만증에 완화에 도움이 되는 것으로 나타났다.","서준환,홍성균",2014,https://www.riss.kr/link?id=A100389215
삼중수소의 생물학적 특성,"삼중수소는 베타선을 방출하는 수소동위원소의 하나이다. 대기 중에서 중성자와 질소가 반응하여 만들어지기도 하며 태양섬광이나 별에서 직접 방출되기도 한다. 또한 중수로에서 생성되어 환경으로 방출될 가능성도 배제할 수 없다. 환경의 삼중수소가 유기물질과 결합한 형태인 OBT는 삼중수소수에 비해 생물 체내에 오래 머물기 때문에 보다 많은 피폭을 유발하게 되므로 생물 체내에서의 OBT 생성 및 이동은 중요한 의미를 가진다. 음식물을 통한 OBT의 체내 이입과 관련하여 식물 광합성 과정에서 잎에서 생성된 OBT가 가식부로 이행되는 과정 또한 중요하게 여겨진다. 동물 실험결과에 따르면 OBT의 섭취로 인한 피폭선량이 기체상 또는 액체상의 삼중수소수에 비해 크다고 밝혀져 있다. 삼중수소의 상대생물효과비 (RBE)는 250 kVp X-선에 대해 1.4, 감마선에 대해서는 2.2인 것으로 밝혀졌다. 천연 방사성 동위원소로부터 받는 선량, 그리고 방사선의 의료적 이용이나 비행 등의 인적 행위로부터 받는 피폭선량에 비하면 환경 중 삼중수소로부터 받는 선량은 지극히 낮은 수준이다. 한편, 캐나다의 음용수 수질기준은 삼중수소 농도를 리터당 7,000 Bq 이하로 제한하고 있는데 매일 2 리터의 음용수를 마시는 경우 연간 피폭선량은 0.1 mSv 이하가 된다.",김진규,2016,https://www.riss.kr/link?id=A101858623
종합병원 의료종사자의 병원감염관리 인지도 및 실천도 연구,"본 연구는 부산 시내에 있는 종합병원에 근무하는 종사자들을 대상으로 병원감염관리에 대한 인지도 및 실천도에 대해 파악하여 병원감염관리 방안 및 교육 등에 대한 기초자료를 제공하고자 설문조사를 실시하고 이를 분석하였다. 일반적인 변수의 차이를 보기 위한 t-test 및 일원분산분석(one way ANOVA)을 실시한 결과 대체적으로 개인 위생관리에 대한 인지도와 실천도가 낮게 나타났고, 장비 위생관리의 인지도와 실천도는 높게 나타났다. 남성의 개인위생관리를 제외한 전 영역에서 인지도가 실천도보다 높게 나타나 병염감염관리의 인지도에 비해 실천도는 부족하다는 것을 확인하였다. Pearson 상관분석을 통한 결과로는 감염관리에 관한 인지도가 높은 사람이 실천도도 높은 결과를 나타내 병원 종사자들의 감염관리에 대한 인지도를 높이는 것이 병원감염예방에 효과적인 것으로 생각되었다. 따라서 병원감염관리에 대하여 지속적인 교육으로 종사자들의 감염관리에 대한 인지도를 상승시키고, 이를 실천하기 위한 병원 종사자들의 노력도 필요한 것으로 사료된다.",강연희(Yeon-Hee Kang),2021,https://www.riss.kr/link?id=A107780665
유아 발전체의 뼈에 대한 합성 전후축방향 엑스선촬영법 연구,"본 연구는 유아 발의 합성 전후축방향 엑스선 촬영에서 발전체가 다리와 겹침 없이 균일한 농도와 선예한 영상을 평가하기 위하여 Receiver Operating Characteristic 와 Signal to Noise Ratio 분석 결과 Cronbach Alpha 값이 0.813로 유의하게 높았으며 신호대잡음비(SNR)의 연구에서는 발허리뼈에서 발꿈치뼈를 향하여 엑스선관을 10° 기울여 검사 시 5.948 높게 나타났으며, 발꿈치뼈에서 발허리뼈를 향하여 엑스선관을 20° 기울여 검사 시 6.957으로 가장 높았다. 또한, 주관적평가에서는 발허리뼈에서 발꿈치뼈로 10° 기울려 검사 시 18점으로 높은 점수를 얻었으며, 발꿈치뼈에서 발허리쪽뼈을 향하여 엑스선관을 20° 기울여 검사 시 18점을 얻었다. 본 연구의 결과 유아 발 합성 전후축방향 검사 시 엑스선관을 발허리뼈 뒤쪽으로 10° 기울였을 경우와 발꿈치뼈에서 전방으로 20° 기울였을 때 균일한 농도와 선예한 영상을 얻을 수 있다.",박윤(Yun Park),2021,https://www.riss.kr/link?id=A107973607
진단용 엑스선 장치의 안전관리 검사에 관한 연구,"본 연구는 병원 및 대학교 등에 설치된 X선 발생장치를 대상으로 진단용 방사선 발생장치의 품질관리 항목을 적용하여 성능 비교를 하여 주기적인 성능관리의 중요성을 인식시켜 성능유지 및 관리에 도움을 주고자 한다. 우선 재현성 및 직선성 실험결과 모든 실험조건에서 합격기준에 부합되었으며 주기적인 정도 관리가 부족한 GX-650장치의 경우 재현성 평가의 백분율 오차가 높았으며 직선성 평가에서는 관전압을 100 kVp로 설정 시 0.105로 백분율 오차에서 벗어나게 측정되었다. 또한 관전압 및 관전류의 정확도 평가 결과 상대적으로 X선 발생횟수가 낮은 장치에서 백분율 오차가 낮은 것을 알 수 있었다. 반가층 실험은 모든 장치에서 관전압 별 반가층 기준에 모두 포함되었다. 따라서 병원용, 실습용 구분보다는 모든 장치의 정도관리의 중요성을 인식하고 적극적으로 장치의 성능관리를 시행하여 장치를 유지 관리해야 할 것이며 특수의료장비처럼 짧은 주기의 정도관리 제도를 마련해야 할 것으로 사료된다.",이후민 ( Hoo Min Lee ),2018,https://www.riss.kr/link?id=A106098411
삼중수소 피폭방사선량 평가의 경향과 이슈에 대한 고찰,,김희근,2011,https://www.riss.kr/link?id=A82651365
국내 원전 삼중수소 방사능 배출 및 환경 거동에 대한 분석 및 고찰,,한상준,2015,https://www.riss.kr/link?id=A101719681
중수로원전 종사자의 삼중수소 체내섭취에 따른 인체대사모델과 유효반감기분석,,김희근,2009,https://www.riss.kr/link?id=A76497652
GC/MS를 이용한 DHOA의 방사선 분해생성물 분석,"방사성 액체폐기물에 함유되어 있는 우라늄의 추출제 또는 아미드 (amide) 화합물 추출제를 사용한 용매추출계에서 제 3상 생성 방지제로 사용되는 dihexyloctanamide(DHOA)을 합성하고, 이를 60Co 감마 방사선으로 조사시킬 때 생성된 방사선 분해생성물 (radiolysis product)을 정량 분석하였다. 방사선 조사된 DHOA에 대한 FT-IR 스펙트럼과 방사선 분해생성물에 대한 GC/MS 스펙트럼 그리고 GC/MS-SIM 방법으로 측정한 결과를 근거로 octanoic acid와 dihexylamine 2종의 방사선 분해생성물의 존재를 확인하였으며, 이들 2종 화합물의 표준시약과 tridecane을 내부표준물질(ISTD)로 사용하여 GC/MS-SIM 방법으로 정량 분석하였다. 방사선 분해생성물에 대한 총 이온 크로마토그램에서 나타난 머무름 거동, 분리도 및 해상도에서 정량 분석할 수 있는 결과를 얻었으며, 총 이온 크로마토그램에서 분리피크가 나타나는 시간은 octanoic acid는 8.65분, tridecane은 9.79분 그리고 dihexylamine은 10.27분 이었다. 그리고 DHOA의 방사선 흡수선량이 증가할수록 octanoic acid의 농도는 감소하였으며, dihexylamine의 농도는 증가하였다.",양한범,2009,https://www.riss.kr/link?id=A76381875
