
생활화학제품에 함유된 화학성분의 유해성 연구,"가습기 살균제 사고(‘11.4) 이후 물티슈, 문신용 염료 등 화학물질 함유제품 안전성 논란이 지속되었다. 이에 따라 화학물질 및 함유제품의 통합 안전관리를 위해 「화학물질등록 및 평가에 관한 법률」(화평법) 발효(‘15.1) 이후 화학물질 함유 제품인 생활화학제품 관리주체가 환경부로 이관되었다. 본 연구에서는 체계적인 위해 우려제품의 안전표시기준 제도 이행을 위한 대상 품목(방향제, 탈취제, 접착제, 코팅제, 세정제, 합성세제, 표백제, 섬유유연제) 내 함유 물질에 대한 독성정보를 수집하여 유해 여부를 확인하고자 하였다. 기존 연구 자료 및 국내 「품공법」, EUREACH 등 국내외에서 품목별로 규제되고 있는 물질을 바탕으로 총 1056물질을 8개 조사 대상 제품의 함유 가능한 유해화학물질목록 대상물질로 선정하였다. 노출 가능성 또는 독성 등급이 높은 물질임에도 불구하고 정량 정보 부재로 평가 할 수 없는 물질이 다수 존재하였다. 본 연구의 조사대상인 방향제 외 8종 생활화학제품은 대부분 흡입 및 경피 접촉에 의한 노출이 주 노출경로이므로 추가연구 필요하였다",김예림,2015,https://www.riss.kr/link?id=A106994399
유전자가위로 유전자 수술하기,"크리스퍼(CRISPR)라는 제3세대 유전자가위를 이용해 전 세계 의생명과학자들이 세상을 바꾸고 있다. 2013년 서울대 연구팀, 미국의 연구팀들이 독자적으로 크리스퍼 유전자가위를 이용한 유전자 교정 사례를 학술지에 처음 보고한 이후 이 기술을 이용한 수많은 논문들이 발표되고 있으며 그 성과들이 언론을 통해 보도되고 있다. 사이언스지는 이를 크리스퍼 혁명이라고 표현했다. 세균의 면역체계인 크리스퍼는 바이러스라는 나쁜 경험을 기억해 두었다가 이를 물리친다. 생명과학자들은 최근 이를 새로운 유전자가위로 개발하여 인간세포 및 동식물세포의 유전자를 마음대로 교정할 수 있게 되었다. 돌연변이가 일어난 유전자 부분을 수술하여 원상복구할 수도 있고 질병의 원인이 되는 유전자를 제거할 수도 있다. 의생명과학자들이 크리스퍼 유전자가위의 개발에 열광하여 다양한 목적으로 이 도구를 사용하게 되면서 이 새로운 혁명적 기술이 가져 올 인류의 미래에 대해 우려하는 목소리도 높아지고 있다. 이번 강연을 통해 크리스퍼 유전자가위를 통한 유전자 교정의 구체적 사례를 살펴보고 앞으로의 전망과 논란에 대해 소개하고자 한다.",김진수,2018,https://www.riss.kr/link?id=A105404394
플라스틱 분해 미생물 및 효소 관련 기술 동향,"전 세계적으로 플라스틱의 생산과 소비는 인구증가 및 경제활동의 증가로 인하여 사용되고 버려지는 플라스틱의 양은 매년 기하급수적으로 증가하고 있다. 소비하는 만큼 버려지는 플라스틱을 재활용하기 위한 다양한 방법이 존재하지만 현재까지 폐플라스틱의 처리방법의 경우 2차 오염물질을 방출하거나 플라스틱 생산보다 재활용에 더 많은 비용이 드는 문제들로 인해 현재까지 폐플라스틱의 재활용 비율은 매우 낮고 환경에 매립되는 양이 점차 늘어가고 있다. 이러한 플라스틱의 처리를 위하여 최근에는 미생물 혹은 미생물이 포함하고 있는 단백질/효소를 이용한 친환경적인 플라스틱의 해중합에 대해 많은 주목을 받고 있다. 더 나아가, 폐플라스틱을 미생물이 유일탄소원으로 사용하고, 에너지원으로 쓰이는 다양한 연구들을 통해 미생물/생촉매를 이용한 폐플라스틱 분해 및 대사회로를 접목한 플라스틱으로부터 고부가 물질로의 전환연구 등이 폐플라스틱 문제의 새로운 대안책으로 주목 받고 있다. 그러나 아직까지는 플라스틱의 견고한 물성 때문에 이를 분해하는 미생물 특히 효소 및 생화학기전에 대한 연구는 미비한 수준이다. 따라서 본 기고문에서는 현재까지 자연으로부터 분리한 미생물 및 효소를 이용한 폐플라스틱의 분해에 관련된 연구기술동향에 대해 소개하고자 한다.",서민주 ( Min-ju Seo ),2023,https://www.riss.kr/link?id=A108599827
미세플라스틱 현황과 인체에 미치는 영향,"미세플라스틱은 5 mm 이하의 작은 플라스틱 입자를 말하며, 그 축적에 따른 환경적 문제가 커지면서 현재 심각한 사회문제가 되고 있다. 미세플라스틱은 해양으로 유입되어 해양생물계의 내분비계 교란물질로 작용하며 생태계를 교란시키고 종국에는 먹이사슬의 끝인 인류에게 큰 위험으로 다가오고 있다. 미세플라스틱에 대한 사회적 이슈가 높아지고 있는 현 시점에서 이들 문제점을 제대로 인식하고 해결방안을 모색할 필요성이 있다. 본 총설에서는 미세플라스틱의 현황과 해양생태계와 인체에 미치는 영향 그리고 미세플라스틱 검출법과 제거를 위한 정책과 연구 동향에 대해서 논의하고자 한다.",류지현 ( Ji Hyun Ryu ),2019,https://www.riss.kr/link?id=A106182198
유기합성화학의 신약개발 응용 (LG생명과학 사례),"유기화학의 발전과 함께 탄생한 유기합성은 학문적으로 발전해 왔을 뿐만 아니라 산업에 응용되어 지대한 기여를 해 왔다. 유기합성은 특히 의약품, 정밀화학소재 등 다양한 새로운 유기물질을 발굴하는데 필수적인 바탕기술이다. 다양한 질병으로부터 인류를 구하기 위해 신약이 끊임없이 개발되어 왔고 의약 역사의 한 획을 그은 아스피린 발굴과 더불어 합성의약 개발은 의약품 산업의 중심 역할을 해 왔다. 20세기부터 수 많은 합성신약들이 개발되어 인류의 건강을 증진시킨 한편 이들 중 블록버스트들이 막대한 경제적 가치를 누렸다. 하지만 이들도 특허절벽을 맞이하면서 이제 대부분 제네릭 의약품이 그 가치를 공유하고 있고 또 새로운 블록버스트가 탄생하고 있다. 21세기에 출현한 다양한 항체신약의 성공과 이들이 최근 차지하는 최상위 시장수익 서열에도 불구하고, 전체 합성의약은 바이오의약품 전체 대비 여전히 3배 규모의 시장을 점유하고 있다. 유기합성이 기여하고 창출하는 의약품과 그 산업의 가치가 이렇듯, 여기 발표에서는 한국 최초 FDA 신약인 팩티브 등 LG생명과학에서 발굴한 합성신약 사례를 유기합성 스킴과 더불어 소개하고자 한다.",이구,2016,https://www.riss.kr/link?id=A103034093
인공지능과 화학 분야 응용 현황,"4차 산업혁명의 중요 요소로서 인공지능(AI, Artificial Intelligence)은 이미 산업뿐 아니라 인간의 삶 자체를 변화시키는 핵심 기술로 등장했으며, 기업과 국가 및 개인의 경쟁력을 좌우할 것으로 예상된다. 화학 및 소재 분야에서도 AI의 활용이 크게 증가하고 있다. 신물질·신소재의 설계나 개발, 공정의 최적화, 물성 분석 및 예측 등 여러 분야에서 적용이 확대되고, 관련 연구가 진행되고 있다. 현재 한국은 양적인 측면에서는 세계 7위 수준을 나타내고 있다. 정부출연(연)을 중심으로 화학·소재의 데이터베이스(DB)와 서비스 플랫폼을 구축하고, 다수의 주목되는 연구 성과를 내고 있다. 본 고에서는 AI의 개념과 중요성을 살펴보고, 공업화학 분야에서 AI를 적용한 현황을 조망하였다. 이를 바탕으로 관련 기술의 발전을 위한 연구와 정책 방향을 제언하고자 한다.",소대섭 ( Dae Sup So ),2022,https://www.riss.kr/link?id=A108320989
페로브스카이트 기반 태양전지의 발전과 연구 동향,"최근 페로브스카이트 기반의 태양전지는 급격한 성능 향상으로 실리콘 기반의 소자와 단 1%의 효율 차이를 보이며 발전하고 있다. 특히 페로브스카이트 소재를 활용한 적층형 태양전지 소자는 실리콘-페로브스카이트 적층의 경우 29.8%, 페로브스카이트-페로브스카이트 적층은 26.4%의 인증효율을 보고하며 단일 소재로 한계로 여겨지던 한계 효율 30%를 돌파할 수 있는 가능성을 보여주며 차세대 태양전지 소재로 각광받고 있다. 하지만 페로브스카이트 소재에 포함된 납 성분은 상용화에 걸림돌로 이를 해결하기 위해 납 성분의 격리, 수집 및 재활용 연구가 진행되고 있다. 본 논문에서는 페로브스카이트 태양전지의 상용화를 위한 다방면의 연구들을 소개하며 성능 향상을 위한 단일 소자 및 적층 소자 연구와 납 문제의 해결책을 제시한 연구들을 중심으로 최신 연구 동향에 대해서 다루고자 한다.",강석범 ( Seok Beom Kang ),2022,https://www.riss.kr/link?id=A108188392
불꽃놀이의 환경오염 측면에 관한 연구,"불꽃놀이는 한국명 연화(煙火), 중국명 폭죽(爆竹), 일본명 하나비(花火), 영어명 파이어웍스 디스플레이(Fireworks display)로 표기되며 화약류를 연소·폭발시켜서 빛, 소리, 열, 형태, 연기, 연막, 시간지연, 운동에너지 등을 조합하여 예술적인 감각을 연출시키는 공학으로써 공예술학으로 불리는 일종의 예술행위이다. 우리나라의 연화기술은 세계적으로 인정 받고 있다. 1980년대에 개발이 완료되었고, 1990년대에 완숙단계를 거쳐 향후 2010년 이후에는 환경안전을 고려한 최첨단 나노·생명공학으로 발전하여야 할 것이다. 본 논문은 2008년 부산불꽃축제를 중심으로 현황 및 발전방향과 개선안을 제시 하였으며 즐거운 불꽃축제 후의 환경 오염정도 조사와 대책마련, 저장소관리, 불발탄 및 폐기물처리, 시민의식의 향상 등 개선이 요망된다.",안명석 ( Myung Seog Ahn ),2008,https://www.riss.kr/link?id=A76592099
기능성 화장품 국내외 산업 동향 연구,"기능성 화장품이라 함은 피부미백, 주름개선, 자외선차단 등 특정한 기능을 가지고 피부에 효과를 주는 화장품을 말했다. 그런데 2017년 이후 기능성 화장품의 품목이 확대되었다. 대한민국의 기능성 화장품 산업은 미백, 주름, 자외선 차단 제품에 머물고 새로운 기능성 제품의 개발은 미비한 상태이다. 또한 코스메슈티컬과 메디컬 화장품을 비롯한 고기능성 화장품도 아직 정립되지 않은 상태이 다. 그리고 국외에 수출실적 순위는 프랑스가 가장 높았고 미국, 독일 순으로 나타났다. 프랑스는 화장품 산업 업계 1위 국가답게 바이오 공업과 기능성 소재에서 메커니즘 중심의 기능성 화장품을 강조하고 있고 미국은 럭셔리 프리미엄 제품에 수요도가 높았으며 독일은 바이오 하이테크 기술에 주목하고 있다. 이처럼 한국도 신흥 산업에 적용할 수 있는 기능성 화장품들의 새로운 소재들을 개발하고 정치와 경제가 뒷받침 되어 연구에 더 집중할 수 있는 환경이 갖춰져 다양한 기능성 화장품 산업 등을 발전 시켜 나아가야 할 것이다.",장민아(Min Ah Jang),2021,https://www.riss.kr/link?id=A107404703
미세플라스틱 문제 해결을 위한 친환경소재 연구동향,"미세플라스틱으로 인한 환경생태오염이 심화함에 따라, 기존 난분해성 플라스틱을 대체할 수 있는 친환경 소재에 관심이 높아지고 있다. 또한 석유 기반 자원의 고갈 및 이산화탄소 배출로 인한 온난화 환경문제 등으로 기존 석유계 플라스틱 소재를 대체 보완하는 친환경 천연소재 개발의 사회적 요구는 더욱 커지고 있다. 이에, 생분해가 가능한 천연자원으로부터 다양한 물리 화학적 엔지니어링 기능성을 추가하여 플라스틱의 환경문제를 극복하려는 시도들이 활발히 진행되고 있다. 본 기고에서는 나노셀룰로오스, 생분해성 고분자, 멜라닌 소재를 중심으로 친환경 기능성 천연소재의 최신 연구 동향을 소개하고, 이의 기존 합성 플라스틱 대체응용 방안의 가능성을 탐색한다.",문성민 ( Sung Min Moon ),2019,https://www.riss.kr/link?id=A106182200
