
프라스미드 DNA의 대량 분리법 연구 및 아가로스 겔 전기영동상의 고찰,A novel method for a large scale isolation of plasmid pBR322 from Escherichia coli HB101 has been developed. The plasmid has been characterized on agarose gel electrophoresis.,權戊植,1988,https://www.riss.kr/link?id=A19596376
동백나무 종자의 Camelliaside B 분석을 위한 HPLC-DAD 정량 분석법 개발 및 평가,"In this study, we attempted to establish a High-Performance Liquid Chromatography (HPLC) analysis method with Diode Array Detector (DAD) for standard quantification of camelliaside B, which are health functional food ingredient in seed of Camellia japonica. The major compounds of C. japonica seed were identified by MS/MS analysis, comparison retention time, and UV absorbance. HPLC method was validated by specificity, accuracy, precision and limit of quantification. The HPLC method showed that calibration curves for each of the three compounds have high linearity with a correlation coefficient (R2) of > 0.99%. The limits of detection (LOD) and limit of quantitation (LOQ) for camelliaside B were 0.084㎍/㎖ and 0.254㎍/㎖, respectively. Intra-day precision of camelliaside B was 0.09-0.16 RSD. The content of camelliaside B in C. japonica seed extract collected by region by standardized HPLC-DAD analysis varied from 0.279 to 2.05 mg/g. All tested parameters met the appropriate ranges designated in the guideline. Therefore, the HPLC-DAD method established in this study could provide the first step in developing health-related functional products or pharmaceuticals derived from camellia seed extract.",강주영,2022,https://www.riss.kr/link?id=A108400209
혈액암을 표적으로 한 키메라항원수용체-T 세포 (CAR-T) 치료법,"Immunotherapy has demonstrated significant potential for the treatment of patients with hematologic malignancies and solid tumors. Among the many immunotherapy treatments, chimeric antigen receptor-T cell (CAR-T) therapy is the most promising treatment. The CAR-T cell is an effector T cell that recognizes and eliminates specific cancer cells, independent of major histocompatibility complex molecules. Currently, CAR-T therapy has many successful clinical results for hematologic malignancies. However, CAR-T has side effects and limits on anti-cancer effectiveness and persistence. Thus, a new CAR-T model is being developed to improve these problems. Although the new CAR-T model still needs more clinical trials, recent clinical trials have reported improvements over traditional CAR-T.",박현모(Hyunmo Park),2020,https://www.riss.kr/link?id=A107089709
마이크로 바늘을 이용한 피부를 통한 약물전달의 향상,"Despite the advantages of drug delivery through the skin, such as easy accessibility, convenience, prolonged therapy, avoidance of the liver first-pass metabolism and a large surface area, transdermal drug delivery is only used with a small subset of drugs because most compounds cannot cross the skin at therapeutically useful rates. Recently, a new concept was introduced known as microneedles and could be pierced to effectively deliver drugs using microsized needles in a minimally invasive and painless manner. This review suggests that a biocompatible microneedle might be a suitable tool for transdermal drug delivery system of hydrophilic molecules with possible applications to macromolecules such as proteins and peptides.",손백락,2008,https://www.riss.kr/link?id=A76524995
배양육의 최신 연구 현황과 공학적 과제,"Meat is an essential source of animal protein thatcause many environmental, ethical and economical, and socialissues nowaday. Due to the growing population, there is a limitto how much protein (and/or amino acids) demand can beaccommodated by traditional livestock production methods,and there is increasing recognition that it is necessary to convertsome of the deficient protein demand into alternative livestockproducts. In this respect, research on large-scale cultured meator in-vitro meat that replace existing meat has been activelyconducted worldwide. However, there is still no active researchand/or debate in Korea concerning the engineering and socialmanner of cultured meat-related R&D. In this review, recentresearch trends related to cultured meat research, which is themost important axis of cellular agriculture, and propose afuture research area of cultured meat research especially inbiochemical engineering aspect.",최문희,2019,https://www.riss.kr/link?id=A106384537
"홍조류, 갈조류, 녹조류를 이용한 바이오에탄올 생산 및 폐 해조류 슬러리의 중금속 생물흡착","The seaweeds with high carbohydrate ratio Gelidium amansii, Saccharina japonica and Enteromorpha intestinalis were used as red, brown, and green seaweeds, respectively. Thermal acid hydrolysis, enzymatic saccharification and fermentation were carried out using those seaweeds to produce ethanol. The ethanol concentrations from red, brown and green seaweed were 14.8 g/L, 11.6 g/L and 9.9 g/L, respectively. After the production of ethanol, the seaweeds were reused to absorb heavy metal. The maximum biosorption ratio was Cu(II) (89.6%), Cr(III) (82.9%), Ni(II) (66.1%). Cu(II) had the highest affinity with 3 waste seaweeds. Red seaweed was verified the most effective substrates to both process.",선우인영(InYung Sunwoo),2014,https://www.riss.kr/link?id=A100422914
차광처리에 따른 후박나무 용기묘의 생리 및 생장 반응,"The purpose of this study was to evaluate the growth characteristics and physiological responses of Machilus thunbergii containerseedlings under full sunlight, 35%, 55%, and 75% shading levels. In shade treatments, indices indicating aboveground growth characteristicstended to be relatively high, whereas in full sunlight, root-related indicators such as root weight ratio and root growth tended to besignificantly higher. Furthermore, the low light compensation point and high apparent quantum yield in full sunlight indicate that M.
thunbergii already has shade tolerance, and it can be seen that the vitality of the photosynthetic apparatus is efficiently increased byreducing dark respiration and increasing PIABS and SFIABS in shade treatments exposed to a light-sufficient environment. Meanwhile,the full sunlight treatment showed an increase in the aboveground part ratio, a low T/R ratio, and the highest net photosynthetic rate,denoting that carbohydrates synthesized by photosynthesis increased the growth of both the aboveground and underground parts. Overall,container seedlings of M. thunbergii represented the best growth and physiological characteristics under full sunlight treatment.",송영근,2023,https://www.riss.kr/link?id=A108565736
차세대 감염병 백신,"Viral infectious diseases have been regarded as one of the greatest threats to global public health. The recent coronavirus disease 2019 (COVID-19) pandemic caused by the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is a stark reminder of the threat posed by emerging viral infections. Developing and producing appropriate and efficient vaccines and therapeutics are the only options to combat this pandemic. The COVID-19 pandemic has highlighted the need for novel vaccine platforms to control and prevent emerging viral diseases. Conventional vaccine platforms, including live-attenuated vaccine and inactivated vaccines, pose limitations in the speed of vaccine development, manufacturing capacity, and broad protection for emergency use. Interestingly, vaccination with the SARS-CoV-2 vaccine candidate based on the mRNA-lipid nanoparticle (LNP) platform protected against COVID-19, confirming that the nucleoside-modified candidate is a safe and effective alternative to conventional vaccines. Moreover, the prophylactic strategies against the COVID-19 pandemic have been mRNA nucleic acid-based vaccines and nanoparticle-based platforms, which are effective against SARS-CoV-2 and its variants. Overall, the novel vaccine platform has presented advantages compared with the traditional vaccine platform in the COVID-19 pandemic. This review explores the recent advancements in vaccine technologies and platforms, focusing on mRNA vaccines, digital vaccines, and nanoparticles while considering their advantages and possible drawbacks.",윤선우,2023,https://www.riss.kr/link?id=A108758323
중추신경계 질환의 진단과 치료를 위한 엑소좀의 활용,"Exosomes are a type of extracellular vesicle containing proteins and messenger and microRNAs; they are secreted by all cell types. Once released, exosomes are selectively taken up by other cells adjacent or at a distance, releasing their contents and reprogramming the target cells. Since exosomes are natural vesicles produced by cells as small sizes, it is generally accepted that exosomes have a non-toxic nature and non-immunogenic behaviors. Recently, exosomes have elicited scientific attention as drug delivery vehicles to the central nervous system. The central nervous system has a blood-brain barrier that makes it difficult for drugs to penetrate. Thus, the blood-brain barrier has been a major obstacle to the development of drugs for treating neurodegenerative diseases. However, accumulating evidence suggests that exosomes can cross the blood-brain barrier primarily through transcytosis. Consequently, exosomes are expected to become a new delivery vehicle that can cross the blood-brain barrier and deliver drugs into the brain parenchyma. In addition, since different types of exosomes are secreted depending on the cell type and disease state, exosomes can also be utilized as biomarkers for the diagnosis of diseases in the central nervous system. In this review, we summarized recent research trends on exosomes, including clinical trials as biomarkers and treatment options for diseases in the central nervous system.",박지아,2023,https://www.riss.kr/link?id=A108758324
암 치료를 위한 항체치료제에 대한 고찰: 면역항암제,"Recently, biopharmaceutical drugs take a big part in the pharmaceutical market with the development of genetic engineering. Therapeutic antibodies, one of the representative biopharmaceuticals, have strong therapeutic efficacy in various diseases such as autoimmune disease, rheumatism and cancer. Antibodies are widely used as targeted delivery systems, diagnostics and therapeutics because of their high specific recognition ability. In addition, the market for therapeutic antibodies is expanding further with the development of new biologic drugs such as biosimilar and biobetter. In particular, cancer immunotherapy has shown excellent efficacy for the treatment of cancer by regulating the immune response. In recent years, antibody-drug conjugates (ADCs), immune checkpoint inhibitors and therapeutic antibodies have been developed by many researchers and pharmaceutical companies and approved by U.S. food and drug administration as a potential strategy for the treatment of cancer. Although cancer immunotherapy has a strong therapeutic efficacy, there are still limitations to overcome such as for the treatment of solid tumor, immunogenicity and resistance. To solve these problems, new biomarkers, bispecific antibodies and combinatorial therapy with chemotherapy are being investigated. In this review, we describe the mechanism of immune response with respect to antibody therapeutics, characteristics of target cancers and discuss the potentials of cancer immunotherapy.",유한진(HanJin Yu),2020,https://www.riss.kr/link?id=A106948864
