
신종 마약류 증가에 따른 대응방안,"연구목적: 이 연구는 최근 급증하고 있는 신종 마약류에 대하여 살펴보고, 이를 근절할 수 있는 대응방 안을 제시하기 위한 목적의 연구이다. 연구방법: 연구의 목적을 달성하기 위하여 관련 분야의 선행연구 및 통계, 해외 자료 등을 이용하여 신종 마약류에 대한 문제점을 파악하고 대응방안을 제시하고자 한다. 연구결과: 과거에 비해 국내로 마약류 투약ㆍ유통ㆍ제조하는 마약류 범죄자의 적발 사례가 급격하게 증하고 있는 모습을 보이고 있다. 2021년 마약류 관련 통계자료를 살펴보면, 2021년에는 전년대비 감소 하는 모습을 보였으나, 적발되는 마약량은 세배 이상 증가한 모습을 보이고 있으며, 외국인 마약사범이 급벽하게 증가하고 있고, 마약류 사범의 연령대가 감소하는 우려스러운 모습을 보여주었다. 이러한 결 과는 신종 마약류 확산이 크게 영향을 끼치고 있는데, 특히 펜타닐과, 야바, 까뜨, 크라톰 등과 같은 신종 마약류의 확산과 새로운 향정신성의 의약품 및 대마관련 물품의 영향이라고 보여진다. 결론: 신종마약 류의 확산에 따라 임시마약류 지정방식을 간소화하고 외국인 마약사범의 단속을 확대하고, 관세청 및 식약청 등 관련 기관과의 협력을 강화함과 동시에 마약사범에 대한 강력한 처벌을 통하여 신종마약류 에 대한 대응을 강화하는 방안을 제안해 본다.",신재헌,2023,https://www.riss.kr/link?id=A108653758
자립준비청년을 위한 사회안전망의 방향성,연구목적 본 연구는 민법을 기준을 할 경우 ‘아동’인 반면 아동복지법을 기준으로 할 경우 ‘어른’이라고 하여 자립해서 생활할 것을 요구받는 자립준비청년들을 위해 시행되고 있는 사회안전망의 실태를 살펴보고 실질적인 사회안전망으로서의 역할을 담보하기 위해 필요한 방향성을 정리하는 것에 목적을 두고 있다. 연구방법 이 연구는 보건복지부를 주축으로 하여 지방자치단체의 협조를 받아 시행되고 자립준비청년의 자립을 지원하고 있는 다양한 정책들을 분석하여 효과와 한계를 검토하였다. 결과 본 연구의 결론은 자립준비청년의 자립 지원을 위한 다양한 제도를 시행한 결과 정책 효과가 있는 것으로 입증되고 있다. 그러나 이와 상반된 주장이 제시되기도 한다. 결론 청소년이 성인으로 성장하고 독립하기까지 단일하고 단순한 경로가 있는 것이 아니라 상당한 준비기간과 다양한 지원을 필요로 한다.,조성희,2023,https://www.riss.kr/link?id=A108486103
제천스포츠센터 화재백서의 개요 및 주요 문제점 분석,"2017년 12월 21일 15시 53분 충청북도 제천시 하소동 9층짜리 스포츠센터 주차장에 있는 천장에서 화재가 발생했다. 제천소방서 소속 출동대가 16시에 도착했으나, 1층의 차량과 LP가스통의 폭발 위험성 때문에 접근하지 못하다가 16시 30분에 내부로 진입하였다. 이 사고로 29명이 사망하고, 40여명이 부상을 입은 대형화재사례였다. 15시 53분에 신고를 받은 제천소방서는 16시에 현장에 도착해 16시 5분에 대응 1단계를, 17시 20분에 대응 2단계를 발령해 소방인력을 동원하였다. 소방청은 17시 9분에 중앙사고수습본부와 중앙긴급구조통제단을 가동했으며, 제천시는 17시 40분에 지역재난대책본부를 설치해 재난에 대응하였다. 행정안전부 장관은 17시 42분에 상황판단을 위한 회의를 진행한 다음 19시 40분에 사고 현장에 도착했으며, 20시 30분에 범정부현장대책지원단이 가동되었다. 본 화재사건의 주요 논점으로서 초기 대응 문제와 건축물의 문제 및 비상전원의 상실의 문제점 등 다양한 문제점이 주요 이슈가 되었다, 특히 건축물의 문제점으로 건물이 필로티 구조로 건축되어 1층 주차장에 화재가 발생하면 주입구로 탈출할 수 없어 인명구조가 힘들었다는 지적이 있다. 건물의 외장재를 드라이비트 재질로 하여 화재가 외벽의 스티로폼을 타고 급속도로 번졌다는 주장도 제기되었다. 또한 소방시설관리업체에서 진행한 소방안전점검에서 자동화재탐지설비가 제대로 작동하지 않았다는 지적이 있으며 스프링클러의 알람밸브가 잠겨 스프링클러가 작동하지 않았다. 또한 정전에 이은 비상전원 공급이 되지 않았고, 여성 사우나의 출입문이 제대로 작동하지 않았으며, 비상구가 창고로 이용되는 등 대피가 용이하지 않았다. 또한 이 건물은 7층짜리로 되어 있는 것을, 9층으로 테라스를 불법으로 증축한 것은 물론, 옥상 기계실을 주거용도로 불법으로 사용한 문제도 있다. 또한 비상발전기 미 작동으로 인한 비상전원 상실의 문제점도 큰 이슈가 되었다. 본 내용은 이러한 주요논점을 백서로 정리하고 그 주요 문제점 등에 대한 개선방안을 정리한 것이다.",권영진(Young-Jin Kwon),2022,https://www.riss.kr/link?id=A108161842
대학생의 중도탈락 현황 연구: P 대학 사례를 중심으로,"연구목적 본 연구는 P 대학의 중도탈락 현황을 분석하여 중도탈락율 예방을 위한 대학의 정책적 시사점을 제공하는데 주된 목적이 있다. 연구방법 이 연구는 2017년부터 2021년까지의 5년간 P 대학의 중도탈락자를 대상으로 분석하였다. 결과 본 연구의 결론은 다음과 같다. 첫째, P 대학의 중도탈락율은 9.1%로 전국 4년제 일반대학의 3년 평균인 5.3%보다 높은 것으로 나타났다. 둘째, 남학생의 중도탈락율이 60.1%, 여학생이 39.9%로 남학생의 비율이 높게 나타났다. 셋째, 중도탈락의 6가지 유형중 자퇴가 45.4%, 미복학제적이 24.0%로 높게 나타났다. 넷째, 자퇴를 선택한 학생들의 사유 가운데 편입학이 33.9%, 재수가 24.5%, 전공적성문제가 17.6%로 나타났다. 다섯째, P 대학의 중도탈락은 2학년이 35.3%, 3학년이 32.4%로 1학년보다 높게 나타났다. 여섯째, 중도탈락자 중 평균 평점이 3.0이상인 학생이 33.4%로 나타났다. 결론 분석된 중도탈락의 현황을 기반으로 중도탈락을 예방 및 중도탈락 의도 관리를 위한 대학의 정책적 방안 수립이 필요하다.",정선호 ( Jeong Seon-ho ),2021,https://www.riss.kr/link?id=A107983008
선진 재난안전의식의 활성화를 위한 방안 연구,"연구목적: 본 연구에서는 대형재난사고의 주요한 요인으로 지적되는 국민들의 재난안전의식을 활성화 시킬 수 있는 방안을 제시하고자 한다. 연구방법:본 연구에서는 재난관리 및 안전의식에 관한 이론적인 검토를 실시하고, 재난사고의 원인을 도출하기 위해 '재난관리평가 국민안전 체감도의식' 조사 결과 및 대형재난사고 사례들을 분석하여 선진 재난안전의식 활성화 방안을 제시하였다. 연구결과: 재난관리평가 국민안전 체감도 조사를 통해 재난관리 4단계 중 '대응'차원은 잘 수행되고 있으나, '복구'차원이 미흡한 국민들은 인식하고 있었고, 특히 '예방' 차원에서 재난안전에 대한 교육이 매우 부족하다고 느끼고 있었다. 국민 안전의식 조사를 통해서는 대피시설에 대한 인지 수준이 매우 낮았고, 감염병과 붕괴사고에 대한 정보가 부족한 것으로 나타났으며, 특히 일상생활에서의 안전수칙 준수에 대한 인식이 미흡한 것으로 드러났다. 대형재난사고(코로나19, 밀양세종병원 화재, 2004년 동해안 산불)에 대한 사례를 분석한 결과, 안전불감증과 같은 안전의식의 결여가 피해규모의 확대를 유발시킨 주요한 원인임을 도출하였다. 결론:재난사고를 예방·감소시킬 수 있는 가장 근본적인 요소는 선진 재난안전의식의 활성화이며, 이를 제고하기 위한 세 가지 방안을 제시하였다. 먼저, 안전교육 및 안전홍보 활동의 확대를 통한 안전문화운동의 확산이 필요하다. 두 번째로는 재난대응에 대한 실효성을 향상시키기 위해 일반인들을 대상으로 하는 재난대비훈련을 시행해야 한다. 마지막으로 안전에 대한 개개인의 인식 전환이 필요하다. 이러한 요소들이 체계적으로 이루어져야만 선진 재난안전의식이 제고될 수 있을 것이며, 궁극적으로 우리 사회의 재난사고들이 감소될 수 있을 것이다.",이종현,2021,https://www.riss.kr/link?id=A107879900
공인탐정제도 도입에 따른 주요 쟁점 논의,"연구목적: 이 연구는 탐정제도를 합법화하기 위하여 현재 대치 중인 문제에 대하여 살펴보고 해결방안 을 제시하기 위한 목적을 가진 연구이다. 연구방법: 이 연구의 목적을 달성하기 위하여 탐정분야의 선행 연구 및 통계자료 등을 분석하고 대치중인 문제에 대하여 논리적으로 해결방안을 제시하였다. 연구결 과: 신뢰를 해결하기 위해서 불법적인 수단을 가리지 않는 민간조사업체가 늘어나면서 이에 대해 관리· 감독하고 더불어 공권력의 공백을 보충해줄 공인탐정제도를 도입하고자 하는 시도가 생겨났다. 그러 나, 공인탐정제도의 입법공인탐정업의 성격상 변호사, 신용조사업 등 기존의 직역을 담보하는 근거법 률과의 상충문제와 공인탐정제도를 관리·감독하여야 하는 주무관청의 선정문제에서 경찰청과 법무부 가 대립하는 등 입법시도 중 여러 문제를 수반하면서 입법이 진전되지 않은 상태이다. 결론: 이에 본 연 구에서는 공인탐정 제도에 대해 그동안 국회에 제출되었던 공인탐정업 관련 법안에 대해 분석한 후 공 인탐정업의 업무범위, 관리·감독 주무관청 선정 등 주요쟁점에 대해 살펴보고 공인탐정제도의 성공적 안착을 위한 개선방안을 제시해보고자 한다.",이재민,2023,https://www.riss.kr/link?id=A108653756
사회적 취약계층을 고려한 재난방송문자 서비스 영향 요인 분석 - 고령자와 일반인 그룹의 비교분석을 중심으로,"연구목적: 본 연구는 사회적 취약계층을 고려한 재난문자방송 서비스의 개선에 초점을 맞추고, 특히 고 령자에게 필요한 서비스 요인을 일반인과 비교분석을 통하여도출하고자 하였다. 연구방법: 다중회귀 분석을 활용하였으며, 종속변수로 재난문자방송 서비스의 전반적인 만족도를 사용하였고, 독립변수로 각각의 서비스 요인들을 선정하여 2개 그룹을 비교분석하였다. 연구결과: 분석결과, 고령자와 일반인 두 그룹 모두 재난문자방송의 만족도에 가장 큰 영향을 미치는 서비스 요인은 신속한 전달인 것으로 나 타났다. 두 번째 요인으로는 고령자의 경우 충분한 내용 전달로 나타났으며, 일반인의 경우 시스템 품질 로 나타났다. 두 그룹 간의 분석결과를 종합하면, 고령자는 내용적인 측면을 좀 더 중요하게 생각하는 반면, 일반인은 시스템 품질, 송출기준 등과 같은 기능적인 측면을 중요시하는 것으로 나타났다. 결론: 고령자들은 신속한 전달과 함께 충분한 내용 전달을 중요시하고 있는데, 이는 고령자가 일반인에 비해 이해력과 사고력이 떨어지게 된다는 점에서 고령자 특성을 고려한 재난문자 송출이 필요하다.",박근오,2023,https://www.riss.kr/link?id=A108653769
의사소통에 있어서 말더듬화자의 불안의 의미 탐구,"연구목적 이 연구는 말더듬화자에게 내재하는 불안의 실체와, 불안을 느끼는 상황, 이러한 불안이 말더듬의 악화의 관련성을 연구함으로써 말더듬을 이해하고 치료 효과를 증진을 위한 함의를 얻는데 목적이 있다. 연구방법 선행연구 고찰을 통해 불안의 정체와 말더듬과의 관련성, 불안이 말더듬에 어떤 태도와 감정을 유발하는지, 실제생활에서 말더듬이 어떤 영향을 미치는지 연구하였다. 결과 본 연구의 결과는 첫째, 불안이 말더듬에 중요한 영향을 미치는 것으로 확인되었다. 둘째, 말더듬화자는 정상인과 같은 감정상태를 유지하고 있으며, 단지 말하는 상황에서만 불안감이 달라진다. 셋째, 말더듬이 악화됨에 따라 의사소통 상황에서 자기확신의 문제는 더욱 두드러지며, 사회적 상호작용에서 부정적 의사소통태도를 가지게 된다. 결론 말더듬 치료에서 불안이 중요하며 불안이 낮아지고 조절할 수 있게 됨에 따라 말더듬의 빈도도 감소하고 긍정적인 상황을 반복적으로 경험하게 되면 자아 및 의사소통 태도 또한 긍정적인 효과를 보일 것이다.",강민구,2022,https://www.riss.kr/link?id=A108264623
재난영화에 나타난 교훈,"재난은 예고 없이 우리의 사회와 인간에게 한 순간 막대한 피해를 주기 때문에 크든 작든 무조 건 일어나서는 안 된다. 따라서 예방이 가능한 재난은 줄이고, 재난이 일어난 경우에는 상황에 맞 는 매뉴얼에 따라 그 피해를 최소화 하는 것이 매우 중요하다. 본 연구에서는 최근의 재난영화를 통해 재난의 위험요소를 찾아내고, 재난 예방과 피해 최소화 방안 등의 교훈을 얻고자 하였다.",이선자,2018,https://www.riss.kr/link?id=A105869702
거실제연설비의 성능개선을 위한 화재 시 연기유동 분석에 관한 연구,"통계에 따른 화재발생 시 인명피해의 80%이상은 연기흡입으로 인한 질식으로 나타났다. 이에 대해 국내에서는 NFSC501과 NFSC501A를 통한 연기확산 제어 대책을 마련하고 있다. 하지만, 국내에서는 고층건축물에 대한 급기가압시스템의 기준인 NFSC 501A에 대한 연구는 지속적으로 진행되고 있지만, 거실제연설비에 대한 연구는 미비한 실정이다.1) 거실제연설비는 초기 화재 시 연기를 외부로 배출하여 연기층이 안전선 이하로 내려오지 않도록 하여 재실자의 대피 및 소방관의 소방활동을 도와주는 주요 설비이다. 이에 따라 화재의 특성을 고려한 거실제연설비의 성능개선은 매우 중요한 사항이다. 하지만 실제 거실제연설비의 기준인 NFSC 501에서는 거실의 면적과 수직거리의 기준으로 배출량을 산출하도록 규정되어 있어 실제 화재 시 연기배출에 대한 효용성이 부족하며2), 설계에 있어서도 많은 문제점이 나타나고 있다. 이에 따라 화재 시 발생되는 연기의 유동을 분석하여 적정한 배출량을 확보할 수 있는 방안이 필요할 것으로 판단된다. 따라서 본 연구에서는 각 국의 기준에서 제시하고 있는 화재의 발열속도를 산정하여 Zone model의 계산방식과 FDS를 통해 연기의 유동에 대해 분석하고자 한다. 또한 이를 NFSC501에서 제시하고 있는 거실제연설비의 배출량 기준에 대입하여 현재 거실제연설비의 배출량의 적정성 검토와 개선방안을 제시하고자 한다. 또한 향후 한국형 인명안전 기준의 개발을 위한 기초데이터로 활용하고자 한다.",김혜원(Hye won Kim),2021,https://www.riss.kr/link?id=A108049003
