
신규간호사의 이직의도에 영향을 미치는 요인,"본 연구는 신규간호사의 이직 의도에 미치는 영향요인을 확인하여 신규간호사의 인적자원의 유지관리 프로그램 개발의 기초자료를 활용하기 위해 시도되었다. 연구대상은 D시 종합병원에서 근무하는 신규간호사로 2016년 5월부터 2018년 4월까지 설문 조사를 통해 자료수집을 하였다. 연구목적에 자발적으로 동의한 232명의 설문지를 최종분석하였다. 수집된 자료는 IBM SPSS 21.0 프로그램을 이용하여 분석하였으며 기술통계, t-test, ANOVA, Scehffe test, Pearson’s correlation coefficient, 다중 회귀분석을 실시하였다. 신규간호사의 일반적 특성 중 업무량이 선도적 행위, 조직몰입, 사회적 지지, 이직 의도에서 유의한 차이가 있었다. 신규간호사의 조직몰입, 상사의 지지, 동료의 지지와 이직 의도가 음의 상관관계가 있었다. 신규간호사의 이직 의도에 영향을 미치는 요인은 조직몰입과 업무량으로 나타났고 이직 의도에 대한 설명력은 36.1%였다. 조직몰입이 높을수록 업무량이 적절할수록 이직 의도가 낮다는 것을 확인할 수 있었다. 따라서 신규간호사의 이직률을 감소시키기 위해서 업무분석을 통해 적절한 업무 배정이 필요하며 병원의 정책 수립 및 추진 시 신규간호사의 참여도를 높일 수 있는 다양한 중재 전략과 선도적 행위를 높일 수 있는 프로그램이 개발하는 것이 필요하다.",김지현(Ji-Hyun Kim),2020,https://www.riss.kr/link?id=A106884426
플라스틱 분해 미생물 및 효소 관련 기술 동향,"전 세계적으로 플라스틱의 생산과 소비는 인구증가 및 경제활동의 증가로 인하여 사용되고 버려지는 플라스틱의 양은 매년 기하급수적으로 증가하고 있다. 소비하는 만큼 버려지는 플라스틱을 재활용하기 위한 다양한 방법이 존재하지만 현재까지 폐플라스틱의 처리방법의 경우 2차 오염물질을 방출하거나 플라스틱 생산보다 재활용에 더 많은 비용이 드는 문제들로 인해 현재까지 폐플라스틱의 재활용 비율은 매우 낮고 환경에 매립되는 양이 점차 늘어가고 있다. 이러한 플라스틱의 처리를 위하여 최근에는 미생물 혹은 미생물이 포함하고 있는 단백질/효소를 이용한 친환경적인 플라스틱의 해중합에 대해 많은 주목을 받고 있다. 더 나아가, 폐플라스틱을 미생물이 유일탄소원으로 사용하고, 에너지원으로 쓰이는 다양한 연구들을 통해 미생물/생촉매를 이용한 폐플라스틱 분해 및 대사회로를 접목한 플라스틱으로부터 고부가 물질로의 전환연구 등이 폐플라스틱 문제의 새로운 대안책으로 주목 받고 있다. 그러나 아직까지는 플라스틱의 견고한 물성 때문에 이를 분해하는 미생물 특히 효소 및 생화학기전에 대한 연구는 미비한 수준이다. 따라서 본 기고문에서는 현재까지 자연으로부터 분리한 미생물 및 효소를 이용한 폐플라스틱의 분해에 관련된 연구기술동향에 대해 소개하고자 한다.",서민주 ( Min-ju Seo ),2023,https://www.riss.kr/link?id=A108599827
4차 산업혁명과 적정기술,"2016년 1월 스위스의 조그만 휴양도시인 다보스에서 ‘제4차 산업혁명’이란 주제로 세계경제포럼(일명 다보스포럼)이 개최되었고, 그해 4월에는 한국의 이세돌 9단이 구글의 인공지능 컴퓨터인 ‘알파고’와 가진 바둑 대국에서 1승 4패로 패하였다. 이후 한국에서는 인공지능으로 대표되는 ‘4차 산업혁명’이 핫이슈로 부상하였으며, 현재 이에 대한 논의가 활발하게 진행되고 있다. 본 글에서는 빠르게 도래하고 있는 4차 산업혁명 시대에 ‘인간중심의 기술’인 ‘적정기술’은 어떤 의미를 지닐 것인지에 대해서 간단히 살펴보도록 하겠다.",홍성욱,2017,https://www.riss.kr/link?id=A103217168
간호사의 태움 개념분석,"본 연구는 간호사의 태움 개념분석연구로 개념의 속성을 확인하고 명확한 개념 정의를 내리고자 시도되었다. Walker and Avant의 개념분석 방법을 사용하였다. 간호사의 태움의 속성은 조직문화, 피해자인 미숙한 신규 간호사, 가해자인 선임간호사, 가르침의 변질, 언어적, 신체적 폭력경험, 심리적, 신체적 증상으로 도출되었다. 간호사의 태움의 선행요인은 간호업무 과다, 높은 노동 강도, 직무 스트레스, 인력 부족, 열악한 근무 환경, 신규 간호사의 업무 능력이 기대에 미치지 못함, 조직의 위계질서, 힘의 불균형이었으며 결과는 신체적, 심리적 증상, 간호업무 효율 저하, 불신 증가, 이직의도 증가, 환자 간호의 질 하락으로 나타났다. 간호사의 태움의 선행요인을 해결하기 위해 활동 간호인력 확충을 위한 근로조건 개선, 사회적지지 프로그램 제공, 의사소통과 상호협력 관계를 지향하는 공동체 문화가 조성되어야 한다. 이후 간호사의 태움에 대한 더 많은 질적 연구와 태움의 속성이 잘 반영된 도구개발 연구, 태움 문화 개선을 위한 프로그램 개발 연구를 제언한다. 본 연구는 태움의 선행요인을 제시하여 해결방안을 제안함으로써 신규간호사 적응 프로그램을 위한 이론적 근거를 제공했다는 점에서 의의가 있다.",정선경(Sun-Kyung Jeong),2018,https://www.riss.kr/link?id=A105554315
노인요양기관의 욕창발생 위험요인과 욕창예방 관리: 혼합연구,"본 연구의 목적은 노인요양기관의 욕창발생 위험요인과 욕창예방 관리에 대한 내용을 비교. 분석하여 노인요양기관에 적합한 욕창예방 관리 방법을 위한 기초자료를 제공하고자 하였다. 본 연구는 체계적 문헌고찰과 포커스그룹 인터뷰를 활용한 혼합연구로 체계적 문헌고찰은 PRISMA(Preferred reporting items for systematic reviews) 지침에 따라 자료를 수집하고 분석하였으며, 포커스그룹 인터뷰는 노인요양기관에서 3년 이상 근무한 경력직 간호사를 대상으로 시행하였다. 쳬계적 문헌고찰은 2010년부터 2019년 6월까지 국내외에서 발표된 논문을 본 연구의 논문 선정기준에 따라 총 8편 논문이 선택하였다. 논문검색어는 ‘pressure ulcers’, ‘bedsore’, ‘decubitus ulcers’, ‘intervention’, ‘prevention’, ‘elderly’, ‘long term’ 단어를 조합하여 검색하였다. 포커스그룹 인터뷰는 노인요양기관에 3년 이상 근무한 간호사를 대상으로 반 구조화된 설문지를 통해 내용분석을 하였다. 연구결과 노인요양기관의 경우 특히 체위변경과 압력 감소 장치를 적용한 중재가 욕창 예방관리에 중요한 중재임이 확인되었고 기관마다 표준화된 욕창간호 관리프로토콜 및 프로그램의 활용이 필요하다고 제시되었다. 본 연구는 혼합연구방법을 통해 욕창 예방관리 방법을 통합적으로 제시하였으며 특히 다학제간 협력이 노인요양기관의 중요한 이슈임이 확인되었다.",윤혜선(Haesun Yun),2020,https://www.riss.kr/link?id=A106623544
"간호사들의 욕창예방에 대한 태도, 욕창예방실무지식, 욕창예방실무 미준수 위험, 수행도 간의 상관성","이 연구의 목적은 욕창예방에 대한 태도와 지식, 욕창예방실무의 미준수 위험과 욕창예방실무 수행도를 파악하고 변수들 간 상관성을 파악하기 위함이다. 4개의 병원에서 3개월 이상의 경력을 가지고 근무중인 397명의 간호사를 대상으로 욕창예방에 대한 태도, 욕창예방실무에 대한 지식과 지식에 대한 확실성, 욕창예방실무 수행도를 조사하였다. 욕창예방실무 지식과 지식에 대한 확실성 간의 차이값을 욕창예방실무의 미준수 위험으로 정의하여 변수로 활용하였다. 자료수집기간은 2017년 3월부터 6월까지 였다. 자료분석을 위해서는 서술적 통계, independent t-test, ANOVA, partial Pearson correlation을 활용하였다. 욕창예방실무지식의 정답율은 79% 이었고, 욕창예방실무수행도는 2.46±0.31점이었다. 욕창예방실무의 미준수 위험이 가장 높은 문항은 (실금기저귀는 실금피부염을 예방한다) 이었다. 욕창예방실무 미준수 위험은 욕창예방실무지식과 유의한 음의 상관관계(r=-.25, p＜.001)가 있었고, 욕창예방간호수행도와는 유의한 음의 상관성(r=-.13, p=.009)이 있었다. 욕창예방실무 수행을 향상시키기 위해서는 지속적인 교육과 욕창예방 실무가이드의 비치가 수행되어 욕창예방실무에 대한 지식과 확실성을 향상시켜야 할 것이다.",강명자(Myung Ja Kang),2018,https://www.riss.kr/link?id=A105609996
병원의 간호사이직률과 병원의 구조적 특성,"본 연구는 병원에 근무하는 간호사의 이직률과 병원의 구조적 특성 간 관련성을 확인하기 위하여 시행하였다. 자료는 한국보건산업진흥원에서 매년 조사하는 병원경영분석자료를 이용하였으며, 2008년에 전국에서 자기기입식으로 입력한 병원은 247개였다. 2008년 우리나라 간호사의 평균 이직률은 32.0%(공공병원 15.5%; 사립병원 35.3%)였으며, 민간병원, 300병상 이하 병원, 비도시 지역병원, 간호사평균급여가 2,000만원 미만인 병원, 100병상 당 간호사 수가 20명 미만 인 병원에서 높았다. 실제 이직률에 영향을 미치는 요인은 경영주체(공공 또는 사립), 병원 규모, 병원 소재지, 간호사의 평균 임금, 100병상당 간호사 수였다. 각 병원의 이직률과 총 병상 수(r=-0.322), 간호사 평균급여(r=-0.186), 100병상 당 간호사 수(r=-0.390)는 상관관계가 있었으나, 이직률에 설명력이 있는 변수는 경영주체의 공공성 여부, 총 병상 수, 100병상 당 간호사 수였다(R2=.257). 결론적으로 병원간호사의 이직률은 민간병원 근무자가, 총 병상수가 적을수록, 100병상 당 간호사 수가 적을수록 높았다. 간호이직 관련요인을 명확히 하기 위하여 개인요인, 사회요인과 병원요인을 동시에 분석하는 추가연구가 필요하다.","조혜경(Jo, Hye-Kyung)",2015,https://www.riss.kr/link?id=A103306672
신생아중환자실 간호사의 감염관리수행 영향요인,"신생아중환자실의 의료관련 감염은 고위험 신생아에게 가장 심각한 위협이 되고 있다. 이에 본 연구는 신생아중환자실 간호사의 감염관리수행에 영향을 미치는 요인을 파악하여 신생아 감염률을 감소시키고 신생아의 안전을 향상시키기 위한 감염관리 교육프로그램 개발에 기초자료를 제공하기 위한 목적으로 수행되었다. 자료수집은 2022년 1월 25일부터 2월 25일까지 D 광역시 3개의 종합병원에서 근무하고 있는 신생아중환자실 간호사 110명을 대상으로 실시하였고, 신생아 감염관리지식 측정도구, 표준주의지침 이행을 위한 안전 환경 측정도구, 감염관리 조직 문화 측정도구, 감염관리수행 측정도구로 구성된 설문지(총 119문항)를 이용하여 조사하였다. 연구결과, 신생아중환자실 간호사의 감염관리수행은 4점 만점에 3.79점이었고, 감염관리지식은 총 52점 만점에 47.20점으로 나타났다. 표준주의지침 이행을 위한 안전 환경은 총 7점 만점에 5.97점, 감염관리 조직문화는 7점 만점에 5.66점으로 나타났다. 대상자의 감염관리수행과 각 변수들 간의 상관관계를 분석한 결과 감염관리수행은 감염관리 조직문화 (r=.55, p <.001)와만 유의한 양의 상관관계를 나타냈다. 조직문화가 감염관리수행에 미치는 영향을 회귀분석한 결과, 회귀모형은 유의한 것으로 나타났으며(F=46.204, p <.001), 조직문화(β =.55, p <.001)는 감염관리수행에 유의한 영향을 미치는 변수로 나타났고 설명력은 29.3%였다. 신생아중환자실 간호사의 감염관리수행 향상을 위해서는 신생아 간호의 특수성과 현황을 반영하여 조직문화를 긍정적으로 개선하는 노력이 필요하며, 본 연구 결과를 바탕으로 신생아중환자실 간호사를 위한 감염관리 교육프로그램을 개발 및 적용할 것을 제안한다.",김지희(Ji Hee Kim),2023,https://www.riss.kr/link?id=A108562421
"중고거래 앱의 사용자 구조분석에 관한 연구 -중고나라, 번개장터, 당근마켓을 중심으로-","본 연구는 국내 중고거래 시장을 선도하고 있는 3개 중고거래 앱들을 대상으로 사용자와 사용성을 살펴보고, 3개 앱의 중고거래 단계별 만족도 및 페인포인트(Pain Point)를 비교·분석하고 각 앱별 특징을 정의, 최종적으로 중고거래 앱의 사용자 개선방안을 제안하고자 하였다. 대표적인 중고거래 앱인 중고나라, 번개장터, 당근마켓을 대상으로 선행연구 분석과 앱의 구조분석을 통하여 사용자 경험 과정을 시간의 흐름에 따라 사용자여정을 검색, 정보확인, 문의, 거래, 피드백등 5단계로 정의할 수 있었다. 각각의 앱 단계별사용자 만족도를 분석하기 위하여 해당 중고거래 앱을 사용하고 있는 사용자를 전 연령에서 각 앱별 100명을 대상으로 앱의 단계별 기능에 대한 설문조사를 진행하였다. 심층적 데이터를 얻기 위하여 위의 중고시장 앱을 한군데 이상 사용하여 C2C 거래를 해본 경험이 있는 사용자를 대상으로 사용자 경험을 조사하여 실증적 경험데이터를 수집하였으며 수집된 데이터를 바탕으로 이들 중고거래 앱의 단계별 페인포인트를 도출하였다. 당근마켓에 대한 만족도가 검색단계, 정보확인, 문의, 거래 및 피드백 단계에서 각각 평균과 표준편차 값이 3.9(±0.46), 3.9(±0.42), 3.9(±0.39), 3.7(±0.40), 4.0(±0.41)로 번개장터와 3.5(±0.45), 3.6(±0.42), 3.5(±0.44), 3.5(±0.42), 3.6(±0.41) 중고나라의 3.4(±0.45), 3.6(±0.43), 3.1(±0.41), 3.2(±0.43), 2.9(±0.51)에 비하여 높게 나타났다. 마지막으로는 위와 같은 조사를 통해 각 중고거래 앱의 특징과 단계별 사용자 피드백을 비교·분석하여 중고거래 앱의 단계별 개선방안을 종합적으로 파악하였다.",김성필(Sung Phil Kim),2021,https://www.riss.kr/link?id=A107797442
국내 위암 환자 간호중재 연구에 대한 통합적 문헌고찰,"본 연구의 목적은 국내에서 진행된 위암 환자에 대한 간호중재 연구의 특징을 파악하여 추후 위암 간호중재 연구에 대한 방향성을 제시하기 위함이다. 국내에서 위암 환자를 대상으로 진행된 중재연구 8편에 대한 통합적 문헌고찰을 한 결과, 비동등성 대조군 사전 사후 시차설계가 6편, 무작위 대조군 전후 실험설계가 2편이었다. 중재 내용은 질환과 관련된 정보제공이 대부분이었고, 영양교육, 운동요법, 마사지 및 정서적 지지가 시행되었다. 국내 위암 환자 간호중재 프로그램의 효과는 결과변수에 따라 다르게 나타났으며, 다양한 간호중재 효과를 명확하게 결론지을 수 있도록 중재 전략을 강화할 필요가 있다. 위암 환자를 위한 간호중재의 지속적인 효과를 확인하기 위해서는 다양한 전환의 시점에서 종단적인 연구가 필요하며, 신체적, 정서적, 사회적 영역을 포함한 중재내용을 개발하여 임상현장 및 지역사회에서 적용할 수 있는 통합적 프로그램 개발이 필요할 것이다.",임효남(HyoNam Lim),2022,https://www.riss.kr/link?id=A108328169
