
MBTI 성격유형에 따른 청소년의 또래 우정의 질 및 교사 친밀도,"The purpose of this study is to investigate how is the difference at the quality of friendship of age and the intimacy degree of student-teacher according to the teenagers' sex distinction, and also, how is the difference at the quality of friendship of age and the intimacy degree of teacher according to the functional, dispositional, and sixteen nature types by MBTI(Myers-Briggs Type Indicator) test. Moreover, it is to help teachers and advisers at school which teenagers spend a lot of time, at consultation office, and at other institutions recognize the difference according to the sex distinction and the nature type, and also to help them improve the relationship between teenagers and teachers.
The subject of this study were 560 students ( boys:308, girls:252) of academic high school located in Seoul and Busan.
As a study tool, the MBTI Questionnaire was used to inspect the nature type of teenagers, the Friendship Quality Questionnaire:FQQ which was made by Parker and Asher was used to measure the friendship of age, and the questionnaire for the inspection of intimacy degree of student-teacher was used.
For the collected data, the SAS pc program was conducted and according to the study problems, X2-test and the one-way ANOVA were carried out.
To see the general characteristics, the frequency and the percentage were used and to see the quality of friendship of age and the intimacy degree of teacher, the mean and standard deviation were used. And then, for the post-verification, the independent t-test was also carried out.
To see the quality of friendship of age according to the nature type of teenagers and to see the intimacy degree of teacher, the mean and the standard deviation were used, and then, the Duncan verification was conducted for the post verification.
To summarize the results according to the study problems are as follows;
First, there was a meaningful difference at the quality of friendship of age according to the sex distinction of teenagers (It I = 8.19, p＜.001). That is, girls recognized more highly the friendship of age than boys, and in the intimacy degree of teacher, there was no difference between boys and girls.
Second, there was no difference at the quality of friendship of age according to the functional nature type of teenagers, and also, there was no difference in the intimacy degree of teacher.
Third, at the quality of friendship of age according to the teenagers' nature, there appeared some differences between the SP(Sensible Perceiving)type and the NT(iNtuitional Thinking)type(F=2.97, P＜.05). And, in the intimacy degree of teacher, there appeared some differences between the SJ(Sensible Judging)type, the NT(iNtuitional Thinking)type, and the NF(iNtuitional Feeling)type and the SP(Sensible Perceiving)type(F=2.83, p＜.05).
Finally, at 16 Types according the MBTI test, there were some differences in the ESFJ group and the ISTP group recognizing the friendship of age (F=3.85, p＜.001), and there was no difference in the intimacy degree of teacher.",조혜영,2002,https://www.riss.kr/link?id=A30026969
콜버그의 인지적 도덕성 발달이론에 관한 연구,"This paper studied the Kohberg's cognitive moral development theory, I enterpreted the theory as the formalisn which resulted from his refuting relativism. Kohlberg bases his studies on the work of the Swiss psychologist Jean Piaget and the American philosolpher John Dewey.
Kohlberg takes the relatives as one of his two major apponents. His other oppenents are the authoritarians in moral education. What is most important philosophically about the universality of the moral stages is Kohlber's use of them to refute relativism. His work may be seen as a passonate and sustained attempt to avoid relativism in moral education. He often refers to his theory as methodological non-relativism.
According to his theory, the universal invariants are not taught, but are elicited through normal development. Therefore, the mode of moral learning is platonic : role playing and discussing through the moral dilemmas.
And then l interpreted the theory ass human activism. Kohlberg's theory contended that basic mental structure is the result of interaction between certain organismic structuring tendencies and the structure of the outside world, rather then reflecting either one directly. Therefore it is not guite right to say that the stages are simply drawn out of the child. Rather the human capacities and their tendencies are both realized aud modified by their application to and confrontation with the social and environmental conditions of the times. In this context, l interpreted the Kohlberg's theory as the human activism.",이경원,1995,https://www.riss.kr/link?id=A108547648
"영아의 기질, 어머니-자녀 간 애착, 비언어적 의사소통 능력 간의 관계","This research takes a comprehensive view of the relationships found among toddler temperament, the degree of mother-child attachment security and toddler nonverbal communication skills in an effort to determine if and how mother-child attachment security serves as mediator between toddlers` temperament and their nonverbal communication skills. Forty mother-child dyads participated in this study. Instruments used were The Early Childhood Behavior Questionnaire (ECBQ) to measure temperament, The Attachment Behavior Q-set for assessing mother-child attachment security and The Early Social Communication Scales (ESCS) for toddler nonverbal communication skills. Analyses results are as follows. 1) In the toddler temperament relationship to toddler nonverbal communication skills, a negative relation was found between the toddler negative affectivity and nonverbal communication skills and a positive relation was found between extraversion and effortful control; 2) regarding toddler temperament and the degree of the mother-child attachment security, toddler temperament negatively correlated with negative affectivity, positively correlated with effortful control, and did not correlate at all with extraversion; 3) a positive relation was found between the degree of mother-child attachment security and the toddler nonverbal communication skills (Initiating and responding to Joint Attention Behaviors/Initiating and responding to Behavioral Requests/Responding to Social Interaction Behaviors). Thus, 4) the mother-child attachment security served as mediator between temperament and nonverbal communication skills, and it was found that when the attachment to the mother was secure, the nonverbal communication skills of the toddler would also be good even if the toddler had a negative temperament. These results have strong implications for planning and conducting workshops and conferences aimed at assisting parents in developing strong secure attachments which would enable good nonverbal communication skills.",김선영 ( Sun Young Kim ),2014,https://www.riss.kr/link?id=A30001831
초등학생의 조기영어교육 실태 연구,"The purpose of this study is to analyze the present situation of English language education provided in early childhood and its effect. For this purpose, two research questions were specified as follows: 1) what is the current status of English language education provided in early childhood? And 2) what is the difference in English learning status between those who have received English language education provided in early childhood and those who have not? As a survey target, 639 students from the fifth through sixth grade, who are now provided with English language education by four elementary schools in Korea,\ participated in the present study. A questionnaire designed as a research tool consisted of 30 questions. The results are as follows: First, about 80 percent of elementary school children from the fifth through sixth grade are taught English language in their early childhood. Second, the experiences of early English language education before the third grade have positive effects on the children’s comprehension of English learning and the children’s positive perception of English; therefore, it has a positive effect on their academic achievement as well. Educational suggestion and implication are presented.","이서연(Lee, Seo Yeon)",2022,https://www.riss.kr/link?id=A107880685
지속가능발전지향 유아교사환경교육 프로그램 개발,"In keeping with its commitment to developing implementing education for sustainable development (ESD) beginning in early childhood, South Korea is also much concerned with developing teacher training programs that will enable teachers to develop, understand, and implement the required curricula. This study seeks to develop such a program for early childhood teachers. A draft program was developed on the basis of a review of the literature on early childhood environmental education and environmental teacher education programs and an analysis of early childhood teachers` recognition of the need for the environmental education program. The draft program was then used with 20 early childhood teachers, after which it was modified and adjusted to the final program which consists of educational goals, purposes, contents and teaching-learning methods. The purpose of this program is to enhance the early childhood teachers` knowledge, skills and attitudes toward ESD by showing how it can be integral to the philosophy behind Korea`s early childhood ecology program. The training program presented in this study especially emphasizes environmental sensitivity enhancement, curriculum development and administration. It also utilizes various teaching methodology including lectures, small group discussions, first hand experience, sharing, case application, and workshops, all designed to support and improve transformative reflective thinking and to inform and transform prevailing current practical knowledge.",서윤희 ( Yoon Hee Seo ),2014,https://www.riss.kr/link?id=A107087755
자녀가 지각한 부모의 양육태도와 아동의 외로움과의 관계,"The purpose of this study is to investigate the relationship between the parent's child-rearing attitudes which are perceived by child and his loneliness.
For this study, Asher and Wheeler's loneliness questionnaire translated by Jung, Young-in and Lee, Jong-seung and Oh, Sung-sim's parent's child-rearing attitudes questionnaire were administered. The parent's child-rearing attitudes were classified into 4 dimensions:love versus hostility, autonomy versus control, achievement versus non-achievement and rational versus irrational dimension.
The subjects of this study were 520 fifth-grade children in an elementary school located in kyonggi-do. The survey was conducted by self-reported questionnaire and 494 questionnaires were finally used for the data analysis.
The data were analyzed by SAS computer program. Pearson's Correlation coefficient, Multiple Regression analyses and one-way ANOVA with Duncan's Multiple Range test were performed. The results of this study can be summarized as follows
First, the loneliness of the child was related with father's child-rearing attitudes. Love versus hostility dimension of father's child-rearing attitudes was more related with loneliness than other dimensions.
Second, the loneliness of the child was related with mother's child-rearing attitudes. Achievement versus non-achievement dimension of mother's child-rearing attitudes was more related with loneliness than other dimensions.
Third, the level of the parent's child-rearing attitudes affected the loneliness of the child. The higher the level of both, father and mother's child-rearing attitudes was, the less the loneliness of the child was. The lower the level of both, father and mother's child-rearing attitudes was, the more the loneliness of the child was.",김광웅,2002,https://www.riss.kr/link?id=A2089192
유아의 스마트기기 이용과 발달 수준 및 공감 능력과의 관계 탐색,"The purpose of this study was to investigate the associations between the start time and frequency of use of smart devices and preschoolers’ developmental level and empathy as well as the differences of developmental level and empathy depending on parents’ media intervention. The participants in this study were 90 mothers of three-to five-year-old children enrolled in a daycare center and a kindergarten in Seoul and Kyung-gi-do. The mothers completed a questionnaire for demographic backgrounds, media usage, and K-CDI (2nd) and the Empathy Questionnaire. Data were analyzed using descriptive statistics, Cronbach’s α, correlation analyses, multiple regressions, and Mann-Whitney U tests. The findings were as follows. First, preschoolers began to use smart devices from 2-3 years old and used them 1-2 times a week. Second, the start time of the use of smart devices was positively related to preschoolers’ self-help behavior, fine motor skills, language, and over all developmental level. The frequency of use of smart devices was negatively related to preschoolers’ self-behavior and fine motor skills. The relationships between use frequency and empathy and between use frequency and attention to other’s feelings as a subscale of empathy were significantly negative. Third, depending on parents’ intervention in their children’s media use time, there were significant differences in preschoolers’ social development and language understanding development. Depending on parents’ intervention in program use, there were significant differences in social development, language understanding development, and empathy, especially attention to others’ feelings. These findings provided developmental tendency between the use of smart devices and preschoolers’ development and implications for the need for appropriate standards and guidance on the use of smart devices for the preschool period.",성지현 ( Jihyun Sung ),2015,https://www.riss.kr/link?id=A45000733
영유아의 도서접근법에 의한 사회성 발달 지도,"The purpose of this study was to provide the basic information for enhancing young children's social development by analyzing picture books.
The goals for the study of children's social development were in accordance with the principles set up by the ministry of education. They are as follows: ① daily habits ② control of the individual's thinking and behaviors ③ children's understanding of their families ④ children's understanding of group life ⑤ interests in social phenomena and environments.
This study was carried out by analyzing 241 picture books selected randomly at the market by researcher and assistants.
The results of the analysis were pertaining to the following four categories: suggested appropriate children's ages, the contents and aims of the books, the subjects of the picture books, and analysis of the pictures.",박선해,1996,https://www.riss.kr/link?id=A101005463
인공지능기술 활용 대화형 영어 학습 앱을 적용한 초등영어 말하기 수업 분석 : 학습자 몰입 및 수업에 대한 학생과 교사의 인식을 중심으로,"Developments in artificial intelligence such as natural language processing (NLP) and automatic speech recognition (ASR) are making it a viable option to incorporate AI-powered language learning applications into the classroom. Researchers and practitioners have started to experiment with a variety of speech technology for pedagogical use. However, little research has explored the benefits and limitations of applying the AI-based language applications to primary school English education settings. In this context, this research investigates students’ use of an artificial intelligence English conversational application with a specific focus on their engagement patterns. It also analyzes teachers’ and students’ perceptions of using the new technology in the classroom. Results suggest that the AI-enabled conversational application has potentials to enhance students’ engagement and extend their speaking time by boosting their curiosity, creating a sense of interacting with a human-like partner, and encouraging an active use of computer vision technology embedded in the application. To fully realize its pedagogical values, its limitations need to be addressed by improving the app features, tailoring its functionality to the students’ proficiency levels, and carefully integrating the application within the overall structure of the lesson.","김성우(Kim, Sungwoo)",2020,https://www.riss.kr/link?id=A108271195
"유아의 기질, 상호작용적 또래놀이와 아버지의 양육스트레스, 양육참여 간의 구조적 관계","The purpose of this study specified into following two folds: (1) to examine the structural relationships among a child’s temperament, interactive peer play, father’s parenting stress and his participation in child-care, and (2) to explore whether these structural relationships are influenced by a mother’s employment and the gender of the child. Using data from a survey of 1,525 children from the 4th year of Korean Children and Youth Panel Survey, a structural equation model was devised. Survey data revealed that a child’s temperament exerts a significant positive direct influence on interactive peer play and parenting stress mediates the relationships between a child’s temperament and interactive peer play. However, a father’s participation in child-care does not mediate the relationships between a child’s temperament and interactive peer play. Second, the structural relationships among a child’s temperament, interactive peer play, father’s parenting stress and participation in child-care do not present any differences with regard to mother’s employment and child’s gender. Theoretical and practical implications of these findings are discussed in detail.",연은모 ( Mo Yeon Eun ),2014,https://www.riss.kr/link?id=A107964768
