
유아교육연구의 새로운 동향,"본 연구는 유아교육분야의 질적연구가 여전히 실증주의의 인식론적 지배를 받아왔음에 문제를 제기하며, 새로운 동향인 후기질적연구(post-qualitative research)에 대한 사상적 기초와 방법론적 이론을 소개하는 것을 목적으로 하였다. 본 연구는 2017년부터 시작된 후기질적연구 사상에 대한 문헌강독과 연구자의 내부작용적 연구일지를 종합적으로 분석하고 정리하여 결과를 제시한 문헌연구이다. 연구내용은 첫째, 후기질적연구의 등장배경과 포스트철학에 대한 개관, 둘째, 후기질적연구 이해하기: St. Pierre를 중심으로, 셋째, 탐구(inquiry)로서의 후기질적연구방법론으로 구성되었다. 신물질주의, 포스트휴머니즘, Barad의 행위적 실재론과 Deleuze 철학을 사상적 기초로 하는 후기질적연구는 기존의 질적연구가 갖는 방법론적 재현주의의 한계를 극복하고 존재론적 전회를 시도한다. 따라서 연구자와 연구참여자에 대한 관계적 존재론으로의 관점전환과 결과분석시 해석에 대한 저항 등이 방법론적 특징이 된다. 즉, 기존의 질적연구의 특징인 재현과 반성을 넘어선다. 발현적 특성이 강한 유아교육현장은 리좀적이고 수행적 형태를 띄므로 실험적인 후기질적연구가 적합할 수 있다. 이는 천개의 작은 방법들(a thousand tiny methodologies, Lather, 2013:635)로 나타나 유아교육연구를 다채롭게 해줄 것이다. 후기질적연구를 통해 연구자가 자신의 문제의식과 사유과정, 이론, 개념, 물질과의 내부작용을 가치있게 여기며, 방법-기반(method-driven)이 아닌 탐구기반(inquiry-driven)으로 향하는 모험과 실험이 이어지기를 기대한다.",이연선(Younsun Lee),2023,https://www.riss.kr/link?id=A108301044
초등학교에서의 성공적인 장애아 통합교육을 위한 일반교사 교육의 방향,"특수아동을 일반아동과 같이 교육 시켜야 한다는 통합교육에 대한 주장과, 통합교육이 실제로 이루어지고 있는 정도는 날로 증가하고 있다. 하지만, 정작 특수아동이 통합된 학급을 담당할 예비 일반교사들을 대상으로 한 통합교육 준비는 매우 미흡한 실정이다. 본 연구의 목적은 특수아동 통합교육에 대한 일반교사와 특수교사들의 인식을 조사한 선행 연구를 분석하여, 특수아 통합교육에 대비한 일반교사 양성 방향을 제시하는 데 있었다. 문헌 종합과 내용 분석기법을 사용하여 선정 기준에 적합한 총 7편의 선행 조사 연구를 분석 대상으로 하였다. 분석 대상 선행 연구들에 따르면, 대부분의 조사 대상 교사들은 특수아 통합교육의 필요성, 긍정적인 효과 등에 대해서는 인식을 같이하면서도, 자신들의 통합교육 준비는 매우 미흡하다고 응답했다. 교사들은 또한 특수아 통합교육의 성공 요인으로 근무여건 개선이나 학급 규모 감소 등과 함께 특수교육에 대한 기본 교육과 특수아 체험을 통한 인식 변화를 지적하였다. 특히, 특수교사와 일반교사간 협력, 특수교육 및 특수아동에 대한 체험 등이 강조되었다. 끝으로 교사들의 인식에 근거하여 특수아 통합교육에 대비한 예비 일반교사교육 방향을 제시하였다.",이대식,2002,https://www.riss.kr/link?id=A108547648
"영유아교육에서 관찰과 기록의 차이 탐구 : 영유아 관찰, 레지오 에밀리아 교육의 기록, 개정 누리과정 놀이 관찰과 기록을 중심으로","본 연구는 그동안 영유아교육에서 이루어져 온 영유아 관찰, 레지오 교육의 기록작업과 2019 개정 누리과정의 놀이 관찰과 기록 간에 차이를 밝히는데 그 목적이 있다. 이에 따라 영유아 관찰, 레지오 에밀리아 교육의 기록작업, 2019 개정 누리과정의 놀이 관찰과 기록의 목적, 내용, 방법, 활용의 측면에서 비교하였다. 그 결과 영유아 관찰은 영유아의 발달을 선결정된 틀에 따라 그 상태를 설명하기 위해 객관적이고 형식적으로 기술하였다. 또한 영유아 관찰은 곧 영유아 평가로 여겨지며 영유아의 발달을 위해 교육 계획을 수립하기 위한 수단으로 사용되었다. 레지오 에밀리아 교육의 기록작업은 열린 마음으로 영유아의 학습 과정에 귀 기울이는 것으로서, 영유아의 사진, 글, 그림 등과 같은 다양한 언어를 사용하여 이미지화 하고, 영유아, 동료 교사, 부모와의 소통, 그리고 교사 성찰의 도구로 사용되었다. 마지막으로 2019 개정 누리과정의 놀이 관찰과 기록은 사건으로서 영유아의 놀이(배움)를 포착하고 의미 짓는다. 놀이 관찰과 기록의 행위주체성을 인정하며, 놀이 관찰과 기록이 교사에게 작용하여 영유아를 이해하고, 교육적 실천을 할 수 있는 교육과정 실행 그 자체로 바라보고 있다. 본 연구는 영유아 관찰, 레지오 에밀리아 교육의 기록작업, 2019 개정 누리과정의 놀이 관찰과 기록의 차이를 비교함으로써 놀이 관찰과 기록의 의미를 명확히 하였다는 것에 그 의의가 있다.",박보영(Boyoung Park),2021,https://www.riss.kr/link?id=A30001831
프로젝트 접근법과 레지오 에밀리아 접근법 비교,"본 연구의 목적은 최근 전 세계적으로 유아교육과정 분야에서 큰 반향을 불러일으키고 있는 프로젝트 접근법과 레지오 에밀리아 접근법을 비교해 보는데 있다. 이를 위해 두 접근법의 기본 성격과 두 접근법 모두에서 강조하고 있는 ‘프로젝트를 통한 학습 활동’ 에 대해 공통점과 차이점을 분석해 보았다.
그 결과, 두 접근법은 프로젝트를 통한 학습활동을 강조한다는 점에서 기본적인 공통점을 가지고 있지만 동일한 성격은 아니라는 사실을 알 수 있었다. 프로젝트 접근법이 프로젝트를 통한 학습내용 선정 및 교수ㆍ학습과정을 제시한 독특한 교육방법이라면, 레지오 에밀리아 접근법은 레지오 에밀리아시에서 실제로 이루어져 온 유아교육에 관한 철학적 가정에서부터 프로젝트 중심의 교육과정 운영, 학교조직 등에 이르기까지를 총괄하는 하나의 통합된 전체인 것이다. 다음으로 두 접근법에서 공통적으로 강조하는 프로젝트 학습활동에 대해 학습과정(학습자의 역할, 교사의 역할, 학습의 절차), 학습과제(범위, 구조), 학습환경(상황적 특성, 상호작용 특성, 역동적 특성), 적용환경(적용대상, 적용매체)의 특성으로 나누어 분석ㆍ비교해 본 결과 각 항목에서 부분적인 차이점을 발견할 수 있었다.
마지막으로 두 접근법의 공통점과 차이점에 대한 분석결과가 우리 나라 유아교육에 주는 의미와 시사점들을 추출해 보았다.",지옥정,1998,https://www.riss.kr/link?id=A107880685
국내 유엔아동권리협약의 연구동향 고찰 : 1990년대 이후 아동권리 연구의 총체적 분석,"연구목적: 본 연구는 1990년부터 2021년까지 32년 동안 발표된 유엔아동권리협약의 조항에 근거한 연구 동향을 살펴보고 향후 연구 방향성을 제시하는 것을 목적으로 한다.
방법: 분석기준은 유엔아동권리협약에 근거하였으며, 아동의 범위 및 내용을 벗어나거나중복된 연구를 제외하여 1990년부터 2021년까지 1,028편의 자료가 선별되었다. 선별된자료는 유엔아동권리협약을 참고하여 연구 수, 연구방법, 연구대상, 유엔아동권리협약 조항별, 생태체계로 구분하여 분석하였다.
결과: 첫째, 아동권리 관련 연구의 수는 1990년을 시작으로 2014년까지 약 1∼41편 이내로 매년 꾸준하게 발행되다가 2015년을 기점으로 2021년까지는 57∼95편의 양적인 성장을 보였다. 둘째, 연구방법에서는 문헌연구(51.2%), 양적연구(35.1%), 질적연구(9.2%), 혼합연구(4.5%) 순이었다. 셋째, 연구대상은 크게 성인과 아동으로 구분하였는데, 아동대상연구(81%)가 가장 많았다. 넷째, 유엔아동권리협약 조항은 19조 아동학대와 관련 있는폭력과 학대(24.4%)가 가장 높았으며, 다음으로 42조 아동권리 알리기(18.1%), 26조 사회보장제도(5.5%) 순이었다. 다섯째, 아동의 생태체계 중에서는 미시체계(47.6%) 연구가가장 많았으며, 다음으로 거시체계(44.3%), 중간체계(4.4%), 시간체계(2.6%), 외체계(1.2%) 순이었다.
결론: 본 연구에서는 약 30년간의 아동권리연구를 유엔아동권리협약 조항에 근거하여 아동을 둘러싼 생태체계관점에서의 재조명하였다는 것에 의의가 있으며, 본 연구결과를 토대로 연구의 방향성을 제언하였다",이춘영( Chun Young Lee),2022,https://www.riss.kr/link?id=A107087755
유치원교사의 유아인성교육에 대한 관점 및 실제,"본 연구는 유치원교사를 대상으로 유아인성교육에 대한 실천 사례와 유아인성교육에 대한 관점을 수집하여 유아인성교육의 현황을 파악하고 이를 토대로 유아인성교육에 대한 방향 및 지향점 모색에 도움을 주고자 한다. 이를 위하여 A 교육대학원에 재학 중인 유치원교사 90명을 대상으로 집단 및 개인 면담을 통해 유아인성교육 실천사례, 유아인성교육에 대한 관점 및 교육 실행에서의 어려움에 대한 자료를 수집하여 분석하였다. 연구 결과는 다음과 같다. 첫째, 유아인성교육 실천사례에 대한 분석 결과, 교육 내용으로는 대인관계에 관한 내용이 가장 많았고, 교육방법으로는 자원기반 활동이 가장 많았다. 둘째, 유치원교사들은 유아인성교육에 대해 배려공동체적 관점과 사회·정서적 관점을 가장 많이 가지고 있었다. 셋째, 유치원교사들은 유아인성교육 실행 시 인성교육이 가진 특수성, 가정과의 연계 및 유아의 발달적 특징으로 인한 어려움이 있다고 하였다. 결론적으로 유아인성교육이 인성함양이라는 교육의 목적을 달성하기 위해서는 교육현장에서 교사들이 인성교육의 방향과 정체성에 대해 깊이 있는 성찰을 통해 유아인성교육을 실행하는 것이 필요하며, 이를 위해 실천적 지식을 배양할 수 있는 교사교육과 함께 인성교육의 목적과 방향성에 대한 지속적 논의와 관심이 필요함을 제안하였다.","서현정(Seo, Hyunjung)",2021,https://www.riss.kr/link?id=A2089192
유아기질과 부모양육태도가 유아의 공격성에 미치는 영향,"본 연구는 유아의 개별적인 행동특성을 대표하는 개인적 변인인 기질과 유아의 사회적응에 직접적 영향을 주며, 가정환경의 핵심요소인 부모양육태도의 유아 공격성에 대한 영향력을 살펴봄으로써 유아의 공격성에 개인적?환경적 변인 간에 인과관계를 밝히기 위해 실시되었다. 연구대상은 경기도 N시 소재의 25개의 어린이집 교사 25명과 만3세 유아 259명, 부모 259명이다. 본 연구결과 첫째, 만 3세 유아의 공격성은 대물공격에서 가장 높은 점수를 나타내었으며, 부모의 양육태도는 수용양육이 가장 많은 것으로 나타났으며, 유아 기질의 경우 적응성이 가장 많은 것으로 나타났다. 둘째, 유아의 기질과 공격성과는 정적 상관관계가 있으며, 기질에 따라 공격성 유형에 차이가 있는 것으로 밝혀졌다. 또한 부모의 양육태도와 유아의 공격성은 높은 상관관계를 보였다. 셋째, 유아의 기질과 부모의 양육태도는 유아의 공격성 하위요인인 대인공격, 대물공격, 언어적 공격과 높은 상관관계가 있는 것으로 나타났다.",최지영 ( Ji Young Choi ),2010,https://www.riss.kr/link?id=A45000733
"지속가능발전교육에 대한 유아교사의 인식, 경험, 요구 질적 탐색","본 연구는 유아교사의 지속가능발전교육에 대한 인식과 유아교육기관에서의 지속가능발전교육 경험 및 요구를 살펴보는 데 목적이 있다. 이를 위하여 유아교사 10명과 개별 또는 집단으로 심층 면담을 진행하였다. 면담의 내용은 녹음 및 녹화 후 전사하여 질적 연구의 분석 과정을 거쳐 분석하였다. 연구 결과는 다음과 같다. 첫째, 유아교사들은 지속가능발전교육이 다음 세대가 지구에서 아름다운 환경을 누리며 행복하게 살아갈 수 있도록 하는 교육으로 반드시 필요하나 본인들의 앎이 얕은 수준에 있다고 인식하고 있었다. 둘째, 유아교사는 유아교육기관에서 일상생활 속에서 기본생활습관을 지도하며, 자연 속에서 놀이하는 시간을 통해, 다양한 지식을 전달하고 배울 수 있도록 하는 단위 활동을 통해, 가정 및 지역사회와 연계하는 활동을 통해 지속가능발전교육을 경험하고 있다고 하였다. 셋째, 유아교사는 지속가능발전교육을 실천하며 교사의 인식과 이해 부족, 개정 누리과정과의 연결에 대한 혼란, 학부모의 부정적인 인식과 사회적인 지원 부족으로 인한 어려움을 느끼고 있었다. 이에 유아교사는 체계적인 지속가능발전교육 프로그램과 교수 자료, 실질적인 내용의 교사 교육, 사회 전반적인 인식 전환 노력과 지원을 요구하고 있었다. 이러한 결과는 지속가능발전교육의 효과적인 실행과 유아교사의 전문성 향상을 위한 토대가 될 것이라 사료된다.",김은혜(Eun-Hye Kim),2023,https://www.riss.kr/link?id=A101005463
영유아기 가정폭력 노출과 아동기 학교폭력 피해의 관계 : 아동기 내재화 문제로 인한 공격행동의 종단적 매개효과,"연구목적: 영유아기 가정폭력 노출은 아동의 발달 전반에 걸쳐 부정적 영향을 미쳐 이후의 학교폭력 피해와도 밀접한 연관을 가진다. 이에 본 연구에서는 영유아기 가정폭력 노출과 아동기 학교폭력 피해의 관계에서 아동기 내재화 문제로 인한 공격행동의 종단적매개효과를 검증하고자 하였다.
방법: 이를 위해 육아정책연구소에서 수집하고 있는 '한국아동패널연구(Panel Study on Korean Children [PSKC])'의 1차년도부터 11차년도 데이터를 활용하여 총 1,315명에 대한 응답치를 바탕으로 분석을 실시하였다.
결과: 첫째, 영유아기 가정폭력 노출군은 전체의 3.8%였다. 둘째, 영유아기 가정폭력 노출은 내재화 문제와 공격행동 초기값을 순차적으로 예측하였으나 공격행동 변화율에는유의미한 영향이 없었다. 셋째, 영유아기 가정폭력 노출에 따른 아동기 내재화 문제는 공격행동의 초기값만을 매개로 학교폭력 피해를 유의미하게 예측하였다.
결론: 가정폭력에 노출된 영유아의 내재화 문제 및 공격행동 완화를 위한 조기 개입으로서 부모-자녀 상호작용치료를 제안하였다. 또한 영유아기 가정폭력 노출 예방을 위한 부모교육을 비롯한 지역사회 차원의 직·간접적 지원 확대를 제안하였다.",손수민( Su Min Son),2022,https://www.riss.kr/link?id=A108271195
「2019 개정 누리과정」의 성격과 그 실천을 위한 유아교사의 역량 탐색,"이 연구는 「2019 개정 누리과정」의 성격을 해석하고, 개정 누리과정을 성격을 구현하는데 필요한 교사의 역량을 탐색하는데 목적을 두었다. 연구자는 개정 누리과정이 추구하는 ‘유아중심’을 ‘유아의 교육과정’과 ‘유아를 위한 교육과정’의 의미로 풀이하였으며, ‘놀이중심’은 ‘놀이기반 교육과정’과 ‘놀이를 통한 배움’이라는 두 가지 의미로 해석하였다. 그리고 ‘교육공동체의 교육과정 참여’와 ‘자율적 교육과정 실천’의 의미를 담고 있는 것으로 ‘교육과정의 자율성’을 이해하였다. 이러한 해석에 기초하여 연구자는 개정 누리과정 실천을 위해 교사의 비판적 사유와 윤리적 실천 역량이 필요하다고 제안하였다. 교사는 교육과정의 권리와 힘에 대해 그리고 배움∼가르침의 관계에 대해 끊임없이 질문하고, 귀 기울이기와 회절하기의 윤리적 행위를 통해 유아중심, 놀이중심, 교육과정 자율성을 실천해야 함을 제시하면서, 교사교육의 현실에 관해 논의하였다.","이경화(Lee, Kyeonghwa)",2019,https://www.riss.kr/link?id=A107964768
