
"학교폭력의 실태, 원인 그리고 대처에 관한 연구","본 연구는 최근의 학교폭력에 대한 실태, 원인을 알아보고 이를 토대로 종합적이며 개괄적인 대처방안을 모색하고자 했다. 이를 위해 학교폭력에 관련된 최근의 연구결과와 관련부처 등에서 제시한 최근의 여러 자료들을 체계적으로 분석하였다. 그 분석결과를 가지고 학교폭력의 실태, 학교폭력의 원인, 학교폭력의 대처방안을 살펴보았다. 본 연구결과는 다음과 같다. 학교폭력은 점점 다양화되고 있다. 가해자의 연령이 점점 어려지고 있다. 여학생의 학교폭력이 증가하고 있다. 가해자와 피해자 구분이 불분명하다. 언어적 정서적 폭력이 증가하고 있다. 폭력의 지속성이 증가하고 있다. 학교폭력에 대한 인식과 대응 수준이 매우 낮다. 학교폭력은 청소년기의 일반적인 발달 심리적 특성과 가해자와 피해자 각각의 개인 심리적 특성이 복합적으로 작용하여 발생한다. 학교폭력은 가정, 학교, 사회 요인에 의해 발생한다. 학교폭력은 대응의 미비로 인해 발생한다. 학교폭력 대처방안에서도 먼저 청소년기의 일반적인 발달 심리적 특징이 고려되어야 한다. 그리고 가해자와 피해자 각각의 개인 심리적 특성이 고려된 대처방안 이어야 한다. 학교폭력 대책방안으로는 개인의 심리적 대책방안이 있다. 그리고 가정, 학교, 사회 환경적 변화에 부합되는 대책방안이 있다. 이러한 사회 환경적 요인들을 연계하고 여기에 학교폭력관련기관의 최근의 학교폭력근절대책이 포한된 대책방안이 모색되어야 한다. 또한 학교폭력 예방교육을 통하여 학교폭력을 근본적으로 예방하는 방안도 모색되어야 한다.",홍종관,2012,https://www.riss.kr/link?id=A99540877
경계선급 지능 아동의 교육: 과제와 해결 방안,"본 연구는 경계선급 지능 아동(Borderline Intellectual Functioning)에 대한 개념 및 정의, 특성을 알아보았다. 그런 다음 이들의 교육과 지원을 위한 과제 및 해결방안들을 모색해 보았다. 경계선급 지능 아동들은 느린 학습자, 애매한 아이들, 저성취 아동, 경도 인지적 손상등으로 불리어져 왔다. 그러나 연구들이 많지는 않지만 최근 연구들에서는 주로 경계선급 지능 혹은 경계선 지적 기능 아동이라는 용어가 사용되고 있다. 경계선급 지능 아동들은 표준화된 지능검사 결과 -1SD에서 -2SD에 속하며 지능지수 70-85 사이에 있고 13.59%를 차지하고 있다. 이들은 지적장애나 학습장애가 아니어서 특수교육대상자로서의 특수교육 서비스를 받을 수 없다. 그러나 이들은 학업 실패로 위험에 처한 아동들로 큰 집단임에도 불구하고 교육적 서비스나 지원을 거의 받지 못하고 있는 실정이다. 이들은 지적 수준이 낮기 때문에 학습이나 시험에서 성공적으로 수행하기 어려운 특성들을 지니고 있다. 경계선급 지능 아동들이 나타내는 주요 특성들은 추상적인 개념 이해의 어려움, 지식 조직의 문제, 일반화의 어려움, 주의력 부족, 구두 표현과 듣기에서의 어려움, 학습동기의 부족, 사회성 및 행동에서의 어려움 등이다. 앞으로 경계선급 지능 아동들의 교육과 지원을 위해 해야 할 과제 및 해결방안들을 교육, 법 및 제도, 연구(실태조사), 교사양성 과정, 지속적인 지원체계, 직업교육, 부모교육으로 나누어 제시하였다.",강옥려 ( Ock Ryeo Kang ),2016,https://www.riss.kr/link?id=A101844046
한국 고등교육의 양적 팽창에 관한 고찰,"한국 사회의 학교교육 팽창 과정에는 급속한 산업화에 따른 기술의 변동과 사회집단들의 지위경쟁이 복합적으로 작용하였음이 드러났다. 보다 구체적으로 진술하면 고등학교와 대학교육 성장의 초기과정에 있어서는 농업생산이 기반이었던 산업구조가 생산 중심으로 바뀌어 가는 과정에서 필연적으로 요청되는 기술 인력 수요에 대응하기 위해 교육의 양적인 성장이 요구되었으며 또한 지속적인 산업화에 따른 취업 구조의 변동과 직업의 전문화가 고학력 인력의 배출을 촉진한 원인이 되어왔다. 그러나 고등학교와 대학교육의 급속한 성장에는 보다 나은 사회적, 직업적 지위를 획득하려는 사회집단들의 지위 경쟁이 중요한 요인으로 작용해 왔음이 밝혀졌다(Lee, 1990:22-23).
앞에서 제시한 고학력 사회의 배경 구조와 고학력 실업 증가의 문제 분석에서 제시된 바와 같이 고학력 문제는 우리의 교육체제, 사회, 문화적 전통 및 가치관 그리고 사회.경제적 구조의 상호관련된 구조의 상호관련적 맥락에서 그 원인과 대책을 위한 과제 수립이 가능할 것이다.
아울러 고학력 문제 해결을 위한 정책적 과제는 매우 복합적 과제이므로 즉 정부, 문교당국, 교육 수혜자 그리고 학부모의 이해와 갈등의 시각에서 각 이해 집단의 수. 용 가능성이 함께 고려되어져야 될 것이다.
이러한 관점에서 고학력 사회의 과제 제시의 기본 방향은 정부당국, 문교부 그리고 학부모 및 학생의 상반된 이해, 갈등을 충분히 고려하면서, 관련 문제의 대안적 방향을 크게 학력 위주에서 실력 위주를 위한 교육체제 개혁, 경제경영 구조의 합리화 그리고 사회체제 및 정책적 과제등으로 구분·제시하고자 한다 (김병성, 1989:39).
첫째, 교육체제의 개혁이다.
여기서는 중등교육단계에서 직업교육 체제로 전환·강화할 수 있는 방안과 고등교유 수준에서 전문대학을 활성화하여 일류대학 진학 때문에 누적되는 재수생을 유입하여 극심한 대학입학 경쟁에서 파급되는 개인적, 국가적 손실을 제거하면서 그들의 교육적 욕구를 충족시키면서 사회적 정치를 유도하는 방향 모색이다.
둘째, 경제.경영구조의 합리화이다.
현재 우리나라의 사회 및 직업구조는 고학력자가 발생할 수 있는 충분한 조건을 갖추고 있다고 해도 과언이 아닐 것이다. 우선 고졸자에 비하여 대졸자에게 높은 고용기회와 임금이 책정되어 있어 능력 위주보다는 학력 본위의 임금 및 고용 구조를 나타내고 있다. 우선 고용구조는 대졸자 위주로 구축되어 있고 고졸자에게는 취업의 기회마저 주어지지 않고 있다. 즉 개인의 자격이나 능력보다는 그가 어느 수준의 학교를 졸업했느냐가 취업의 조건이 되고 있으며, 그것마저 전문대 출신자에게는 그 기회가 많지 않다. 또한 임금구조에 있어서도 학력을 기준으로 책정되어 있으며 외국에 비하여 학력간 임금 격차가 크게 나타난다. 즉 경력년수에 비하여 너무 과소평가되어 이와 간격이 크게 점차 상위 직급에 올라갈수록 학력간 임금 차이가 넓어지게 되어 있다.
이러한 고용 및 임금 체제에서는 누구나 대학에 진학하려고 하며 일단 고졸후 취업한 사람도 다시 대학 진학을 위해 준비하는 악순환이 계속되고 있다. 따라서 이러한 사회제도적 상황하에서는 재수생은 증가하기 마련이다. 학력과 관계없는 임금 및 고용 풍토가 조정될 때 자연히 대학 진학 희망자도 줄어들 것이다.
세째, 사회제도 및 정책개선이다.
이와 관련하여 우선적인 과제는 국가적으로 인력 개발의 장기적이고 구체적인 계획의 수립이다. 최근의 과잉학력 문제는 1980년도 대학정원 정착과 밀접히 연관된다. 이러한 정책 변화의 파생 문제 해결을 위하여 국가의 사회.교육정책은 현시적인 장점 보다는 부수되는 역효과도 면밀히 분석.검토하여 장기적이고 종합적인 대책 수립이 계속 뒤따라야 한다.
다음으로는 사회적, 정치적 불만해소를 위해서 산업별, 지역별 균형발전을 도모해야 한다. 1960-1970년대를 주도해 온 경제발전 우선의 사회정책으로 사회 무분별발전으로 불균형이 야기 되었으며, 그 결과로 도시 농촌간 사회문화 및 대중 인식에서 지역적 불균형이 심각할 정도로 노출되었기 때문이다. 이러한 도시.농촌의 불균형은 학교교육에도 여실히 반영되어 고용기회에서도 지역간, 학교간 차별적 인정과 평가가 주어졌고 취업여건에서도 불평등 현상을 야기하였으므로 지역별 산업, 공공기관의 균형배치와 문화기관의 지방분산도 계속 확대·실행되어야 할 것이다.
끝으로 학력간, 산업 부문별 소득 격차를 줄이고 적극적인 사회적 평등을 실현할 수 있는 정책적 배려이다. 구체적으로는 직종별 임금격차의 해소, 특히 전문직, 행정직, 사무직 등의 정신 노동자와 육체 노동자의 임금격차를 줄여나가야 할 것이다. 이를 위하여는 직종별 전문화, 즉 어느 직종에 종사하든 그 분야에서의 직업적 전문성과 자율적 권위를 살릴 수 있는 사회 및 직업적 풍토 조성이 수반되어야 한다. 이와함께 학력 수준 보다는 직업적 훈련유무, 경력 및 능력에 터한 직업적 지위향상의 기회와 아울러 임금 및 고용 풍토가 조성되어야 할 것이다.",孫相雲,1992,https://www.riss.kr/link?id=A19556706
초등수학교육에서 스토리텔링의 의미와 적용 방안,"본 연구의 목적은 초등수학교육에서 스토리텔링의 의미와 수학 수업에서의 적용 방안을 제시하는 것이다. 이를 위해 최근에 수학교육에 도입한 스토리텔링의 의미에 대한 이론적 고찰과 2009 개정 초등수학과 교육과정에 의해 개발한 초등수학교과서의 스토리텔링 적용 단원에 대한 분석을 통하여 수학교육에서 스토리텔링의 의미와 적용 방안을 제시하였다. 스토리텔링을 적용하여 개발한 초등수학교과서의 특징을 알아보기 위하여 1~2학년군 수학③ 4단원 길이재기 단원에 대하여 분석하였다. 분석의 관점은 교과서에서 제시하고 있는 스토리텔링 방식이 학습자의 지적 자율성의 고려, 학습자의 수학 개념의 이해 및 기능 숙달, 그리고 학습자의 흥미 및 인성교육을 어떻게 고려하고 있는지에 대한 것이었다. 연구 결과 분석 단원은 전반적으로 3가지 관점에서 이들을 비교적 잘 반영하고 있었으나 수업에서 활용해야 하는 교과서의 한계로 인하여 보다 개선된 수학 스토리텔링이 필요함을 지적하였다. 초등수학교육에서 의미있는 스토리텔링의 적용 방안으로 스토리의 구성 및 흥미와 수학개념 이해를 위한 구성이 조화를 이루어야 함을 제안하였다. 또한 지속적인 연구로 스토리텔링에서 학생들에게 보다 세련된 스토리로 제시할 것과 대안적인 수학 스토리텔링으로 디지털스토리텔링 등을 제안하였다.",박만구,2013,https://www.riss.kr/link?id=A100146741
국어과 교수 학습 모형의 특징과 적용 방안,"이 글은 국어과 교수 학습 모형을 효과적으로 적용할 수 있는 방안을 제시한 것이다. 2015년 교육과정에 따른 교과서와 교사용 지도서가 2016년 3월부터 1, 2학년을 중심으로 적용된다. 이 시점에서 기존의 국어과 교수 학습 모형의 특징을 살펴보고, 교수 학습 모형을 효과적으로 적용할 수 있는 방안을 모색할 필요가 있다. 국어과 교사용 지도서에 제시되어 있는 모형은 9가지이다. 이들 모형은 1997년에 개정된 교육과정기부터 도입되어 현재까지 적용되고 있다. 당시에는 7가지 모형이었는데, 2011년 교육과정에 따른 교재 개발 과정에서 2개가 추가되었다. 이들 모형은 특정한 기준에 따라 개발되었다기보다는 현장의 적용 가능성을 중심으로 개발되었다. 즉, 이들 모형 중에서는 이른바 절차 모형이라 부를 수 있는 것도 있고, 목표 모형이나 활동 모형으로 불릴 수 있는 것이 혼재되어 있다. 문제는 이들 모형을 효과적으로 적용할 수 있어야 한다. 이를 위해서는 적절한 모형을 선택하는 것이 무엇보다 중요하다. 모형을 선택할 때에는 학습 목표나 내용을 가장 우선적으로 고려해야 한다. 그 외에 학생들의 능력이나 교사의 관심, 교실 환경 등을 감안해야 한다. 그리고 교수 학습 모형을 효과적으로 적용하기 위해서는 모형의 재구성 역시 필요하다. 모형의 재구성에서는 한 모형 내에서의 조정뿐만 아니라 다른 모형과의 적절한 결합이 포함된다. 각 단계마다 의미있는 학습이 일어날 수 있도록 하는 단계의 충실성 또한 중요하다. 아울러 모형을 융통성 있게 적용하는 것 역시 필요하다.",이재승 ( Lee Jae Seung ),2017,https://www.riss.kr/link?id=A103058646
초등학생 대상 AI 챗봇 기반 교감적 영어 말하기 수업 모형 개발 및 적용,"우리는 메시지 전달뿐만 아니라 대화 상대자와의 유대관계 형성과 유지를 위해 언어를 사용하기도 한다. 언어의 사회적 기능과 관련된 이러한 언어 사용을 교감적 언어 사용(phatic communion)이라고 한다(Burnard, 2003; Jakobson, 1960; Malinowski, 1923). 인간은 감정의 동물이므로 성공적인 의사소통을 위해서는 상대방의 감정을 배려하고 좋은 분위기를 만들어야 한다(박미진, 2020). 이러한 점에서 대화 분위기를 부드럽게 형성하여 대화의 윤활유역할을 하는 교감적 언어 사용은 매우 중요하다(Coupland et al., 1992; Laver, 1975). 교감적 영어 사용을 자연스럽게 익힐 수 있는 영어 원어민과는 달리 영어를 외국어로 학습하고다른 문화에 있는 우리로서는 영어 수업에서 교감적 언어 사용에 대한 체계적인 학습이 필요하다.
최근 비즈니스 영역에서 교감적 언어 사용에 주목하고 있다. 교감적 언어 사용이 대화의실제성을 높여주고 대화 상대자에 대한 신뢰도를 높여주는 경향이 있기 때문이다. 일반적으로 소비자는 의사결정을 할 때 감정적 차원을 인지적 차원과 함께 고려하며, 상호작용을 통한 정서적 교감을 형성하여 구매하는 현재 시점을 기준으로 감정적 편익에 몰입하여 의사결정을 내리는 경향이 있다고 한다. 따라서 상품 판매 및 고객 서비스 챗봇은 소비자와의 정서적 교감이 중요한데, 교감적 상호작용을 통한 챗봇의 의인화는 사회적 실재감을 높여 소비자가 대상과 대화하거나 인간적인 관계를 맺고 있다는 느낌이 들게 만든다(유건우, 2022).
이렇듯 챗봇과의 정서적 교감과 의인화를 위해 교감적 언어 사용을 빠르게 도입, 활용하고있는 것으로 보인다.…",이지효(Ji Hyo Lee),2022,https://www.riss.kr/link?id=A108271272
진로교육 프로그램이 초등학생의 진로발달과 학습태도에 미치는 영향,"본 연구의 목적은 초등학생에게 진로교육 프로그램을 적용하였을 때, 초등학생의 진로발달과 학습태도에 미치는 영향을 규명하고 그 효과를 일반화하는 데 두고, 첫째 초등학교 진로교육 프로그램이 초등학생의 진로발달에 미치는 영향은 어떠한가, 둘째 초등학교 로교육 프로그램이 초등학생의 학습태도에 미치는 영향은 어떠한가라는 연구문제를 설정하였다. 연구대상은 경기도 남양주시 소재 P초등학교 5학년 학생을 대상으로 실험 집단(34명)과 비교 집단(32명)을 정하여 5학년의 진로발달 단계에 적합하도록 재구성한 진로교육 프로그램을 실험 집단에 총 10주 동안 주 1～2회, 회기당 40분씩 총 13회기 적용하였다. 또한 SPSSWIN 통계프로그램을 이용하여 실험 집단과 비교 집단의 진로발달과 학습태도에 대한 사전；사후 평균과 표준 편차를 산출하고 t검증을 실시하였으며 진로발달과 학습태도 하위영역에 대한 다변량 분산분석(MANOVA)을 실시하였다. 이 연구 결과 로교육 프로그램은 초등학생의 진로발달과 학습태도에 긍정적인 영향을 주었으며 다음과 같은 결론을 내릴 수 있었다. 첫째, 진로교육 프로그램은 초등학생의 전체적인 진로발달 향상에 긍정적인 영향을 주며 하위영역에도 긍정적인 영향을 미친다. 진로교육 프로그램은 학생들의 개개인의 적성, 흥미, 능력 등을 객관적으로 살펴보게 하고 거기에 맞는 업 정보를 탐색하여 장래 희망에 대한 진로계획 이해 능력을 높여 주어 초등학교 수준에서의 진로발달을 가져왔다. 둘째, 진로발달 프로그램은 학교 내에서의 전체 학습태도와 위영역에 긍정적인 영향을 준다. 진로교육 프로그램은 초등학생의 원만한 인간관계를 형성하는데 도움을 주며 학교 안에서의 공부를 대하는 태도나 교우, 교사와의 관계를 긍정적으로 바꾸는데 효과가 있다.",이용경,2011,https://www.riss.kr/link?id=A60022425
기행문 텍스트의 맥락과 형식 연구,"이 글은 기행문 텍스트의 맥락 특성과 형식 특성을 명료화하고 지도 요소를 추출하는 데 목적이 있다. 여행 문화가 활성화되어 있는 현 시대의 패러다임 속에서 기행문은 학습자의 일상생활과 밀접하게 맞닿아 있는 텍스트이며 그 교육적 가치는 분명하다. 그러나 학습자는 기행문을 일기, 견학기록문, 답사기 등의 텍스트 갈래와 혼동하는 경우가 많다. 이는 궁극적으로 기행문 텍스트가 소통되는 맥락, 형식적 특성과 같은 교육 내용이 명확하게 밝혀지지 않은 데에서 비롯된다. 기행문 텍스트만의 갈래 지식을 명료화하는 것은 학습자가 기행문다운 기행문을 생산하고 수용하는 데 도움이 된다. 또한 기행문 텍스트가 특정 텍스트 갈래로서 지니는 위상을 공고히 할 수 있다고 판단한다. 따라서 이 연구에서는 실제 기행문 자료를 분석하여 기행문 텍스트의 맥락 특성과 형식 특성을 명시화하고자 하였다. 그 결과 기행문은 여행 경험을 전제로 하여 정서 표현의 주목적과 함께 정보 전달의 부목적을 갖는 데 비하여 견학기록문은 정보 전달, 답사기는 정보 전달의 주목적과 정서 표현의 부목적을 수행한다는 점에서 차이가 나타났다. 또한 기행문은 참여자의 나이, 지위, 학력에 제한이 없어 주로 학생이 대상이 되는 견학기록문, 독자에 비해 필자가 높은 지위를 부여 받는 답사기와 비교하여 한정성이 낮은 텍스트임이 밝혀졌다. 다음으로 기행문 텍스트의 형식을 규명하였는데 기행문텍스트의 형식으로 가능한 것과 제외되어야 하는 형식을 구분하였다. 선택적으로 가능한 형식으로는 가장 높은 비율을 보이는 대표적 기행문 형식과 일기 형식, 편지 형식을 제시하였다. 반면 시 형식과 안내문 형식은 제외되어야 함을 논의하였다. 이와 같은 논의는 실제적인 자료를 귀납적으로 분석하여 기행문의 특성을 정교화하였다는 점에서 의의가 있다.",이병규 ( Byoung Gyu Lee ),2016,https://www.riss.kr/link?id=A101844041
핀란드의 유아 교육과 보육 통합과정에 관한 연구,"유아 교육과 보육을 위한 정책은 저출산 대책뿐 아니라 경제 선순환으로 이어지는 정책이다. 대부분의 영유아가 공·사립 교육·보육기관에 다니고 있지만 교육비 부담과 수용 기관 부족, 교육·보육 행정시스템의 난맥 등으로 학부모는 어려움을 호소하고 있다. 영유아 교육·보육은 국가가 전적으로 책임을 지고 영유아 교육·보육 시스템을 전면 재정비하여 마음 놓고 아이를 낳고 기를 수 있는 환경을 제공해야 한다. 우선 소관부서 통합을 실행한 후 재정, 교육과정, 교사교육, 현직교육 및 연수, 기관평가 등을 핀란드의 경우처럼 순차적으로 통합해 가면서 영유아교육의 현안 문제점들을 해결해야 한다. 핀란드의 교육은 2003년 OECD회원국 중학교 학생을 대상으로 한 학습능력 평가(PISA)에서 최상위를 기록하여 그 우수성을 세계적으로 과시하고 있다. 이와 같은 결과는 유아교육을 시작으로 모든 교육과정을 정부가 전액 지원하는 공교육으로 이뤄낸 결과이다. 여기서 필자는 핀란드의 유아교육서비스가 통합되어 교육문화부로 이관되었다는 점에 관심을 갖고 그 과정에 대하여 논의하고자 하였다. 핀란드에서도 유보 통합되기 이전에는 초등 준비단계인 6세를 위한 유아학교(pre-school)은 교육문화부(The ministry for Education and Culture)에서 관장하고 유아교육과 보육 단계인 0~5세 서비스는 최근까지 사회보건사업부(The ministry for social and Health Affairs)에서 관장하였다(의무교육은 초등교육단계인 7세부터 시작됨). 핀란드에서는 일련의 정책의 변화를 통하여 2013년 유보통합을 실현하였다. 우리나라는 현재 교육과정은 통합되어 만 3-5세 유아들은 유치원과 어린이집에서 누리과정을 시행하고 있지만 그 밖에 것은 앞으로 해결해야 하는 과제이다. 북유럽의 아이들의 교육은 행복한 어린시절을 보호해주고 지켜주는 기능을 하는 곳이 유아교육기관이라고 한다. 이것을 염두에 두고 우리도 유아교육과 보육의 방향을 잡아 나가야 한다.",곽노의 ( Kwak No Ui ),2017,https://www.riss.kr/link?id=A103058650
"초등수학에서의 비구조화된 문제해결 모형 설계, 적용 및 그 교육적 의미","국제비교연구에서 우리나라 학생들이 단순한 수학적 지식이나 문제풀이에서는 우수한 수학 성취도를 나타내는 반면, 수학에 대한 정의적 측면에서 있어서는 매우 낮은 흥미 및 태도를 나타내고 있다. 또한 인지적 측면에서 고려할 수 있는 추론하기나 해석하기 등의 고차원적 사고 문제에서도 낮은 성취도를 보이고 있다. 이에 다면적 사고와 다양한 문제해결의 경험을 제공할 수 있다고 보여지는 비구조화된 문제해결 모형을 초등학교 수준에 적용가능하게 개발, ABCDE(Analyze-Browse -Create-DecisonMaking-Evaluate) 절차로 제안하였다. 또한 구체적으로 적용가능하도록 초등학교 4,5,6학년을 위한 비구조화된 문제를 개발하여, 4학년(23명), 5학년(33명), 6학년(23명)에게 적용한 후 그들의 수학적 추론 및 창의적 인성을 살펴보았다. 연구 참여자들의 문제 해결 과정을 분석한 결과, 고학년으로 갈수록 수학적 추론 능력 및 창의적 인성이 높게 나타났다.",김민경,2014,https://www.riss.kr/link?id=A100146751
