
대학입시제도의 변화과정과 수시-정시 전형의 주요내용 분석,"본 연구의 목적은 우리나라 대학입시제도의 변화과정과 수시-정시 전형의 주요내용을 분석하는 것이다. 그리고 대학입시에 관심이 많은 학생-학부모-교사 등에게 입시를 이해하는데 도움이 될 만한 기초자료를 제공하는 것이다. 본 연구의 연구문제는 첫째, 1945년 이전의 입시제도와 이후의 입시제도는 본질적으로 어떤 차이가 있는가? 둘째, 대학수학능력시험과 입학사정관제에 의한 입시제도는 본질적으로 어떤 차이가 있는가? 셋째, 2015학년도의 수시전형과 정시전형은 본질적으로 어떤 차이가 있는가? 본 연구의 결론은 다음과 같다. 대학입시제도는 개인의 능력을 판단하여 그 시대의 요구와 대학 자체의 요구를 동시에 만족할 수 있는 방법이 바람직하다. 대학수학능력시험은 학생 개개인을 판단할 수 있는 차별화된 평가방법의 모색이 필요하다. 입학사정관제는 평가 과정상의 공정성이 중요하며, 학생-학부모-교사들에게 입시의 수월성 제공이 중요하다. 수시 전형과 정시 전형은 시기-모집단위-평가방법 등 학생들의 여건에 맞는 입학기회가 주어져야 하며, 지원자격의 제약조건을 최소화 하는 방법이 제시되어야 한다.",이재태 ( Jae Tae Lee ),2015,https://www.riss.kr/link?id=A101747152
4차 산업혁명 시대의 기술과 융합된 클래식 음악 공연 사례 및 관객 반응 분석,"본 연구는 공연예술 중 클래식 음악 공연 사례를 문화민주주의적 관점으로 4차 산업혁명의 기술과 공연예술의 융합을 통해서 분석하여 4차 산업혁명 시대의 기술 발달과 변화에 대응하기 위해서 창의성과 인간의 감정이 요구되는 예술분야인 클래식 음악 분야에서도 새로운 기술과의 융복합에 대한 연구가 필요하다고 판단되고 시대의 변화에 적응하는 향후 공연예술의 발전방안으로 예술 경영 공연기획 실무에 도움이 되고자 하는 목적을 두고 있다. 연구의 내용은 다음과 같다. 첫째, 4차 산업기술과 클래식 음악 공연의 융합 근거를 문화민주주의의 개념에서 이론적 논의를 한다. 음악 공연의 다양한 발전 방안을 4차 산업기술의 융합으로 보고 4차 산업혁명의 핵심적인 기술인 인공지능과 가상현실 기술(virtual reality, 이하 VR)과 클래식 음악 공연의 융합을 분석한다. 둘째, 국내외 공연예술 사례중에서 인공지능과 VR 기술이 활용된 클래식 음악 공연의 3사례를 비교 분석한다. 셋째, 인공지능과 VR기술이 융합된 음악 공연의 일반적인 견해를 도출하기 위해서 Connelly와 Clandinin(1990)의 탐구방법을 사용하여 위 3공연을 관람한 연구 참여자를 선정하여 질문지를 통해 자료를 수집하여 분석한다. 본 연구를 통하여 공연예술 분야 중 클래식 음악 공연에 새로운 기술의 형태가 융합된 공연이 갖는 새로운 문화적 현상과 사회문화적 의미를 탐구하여, 4차 산업혁명이 활발히 진행되는 시점에 앞으로의 클래식 음악 공연의 방향을 제시하고자 하였다. 4차 산업혁명 시대에 발맞춰 음악 분야에서의 보다 폭넓은 수용과 기술과의 상호작용과 협업으로 새로운 예술 분야의 긍정적인 방향과 발전을 기대해본다.",윤지영(Ji Young Yoon),2018,https://www.riss.kr/link?id=A105870442
"Vygotsky의 교육관: 교사론, 학생론, 방법론","학습자의 인지발달을 생물학적 존재로서 개인내적인(intra-mental) 상호작용에 기초를 두고 있는 피아제의 입장과는 달리, 사회적인 존재로서 개인간적인(inter-mental) 상호작용에 기초를 두고 있는 비고츠키는 학교를 가장 이상적인 교육기관으로 인식하면서, 근접발달영역 내에서 선발달자인 교사의 지도와 도움을 통하여 어느 누구로부터 도움을 받지 않은 채 수행할 수 있는 학습자의 실재적 발달수준을 능가하는 교육적으로 가장 이상적인 상태인 잠재적 발달수준을 달성할 수 있다고 주장한다. 비고츠키는 이런 과정이 학습자의 인지가 발달하는 가장 바람직한 과정임을 강조한다. 본 연구의 목적은 비고츠키의 교사관, 학생관, 방법관을 분석하고, 그 결과에 근거하여 그의 교육관을 도출하고자 하는 것이다. 본 연구를 통하여, Vygotsky의 교사관은 선발달자로서의 교사와 중재자로서의 교사로 규정한다. 학생관은 적극적인 참여자와 상호 협력자로 개념화 했으며, 끝으로, 근접발달영역의 활성화, 지식구축경험 공유를 방법관의 대표적인 특성으로 규정하였다. 결론적으로 Vygotsky의 교육관은 첫째, 사회 문화적 환경의 역할을 강조하고, 둘째, 발달을 주도하는 학습을 강조하며, 셋째, 지식 공유과정의 강조와, 마지막으로, 중재와 매개 과정을 강조하는 것으로 규정한다.",강이철 ( E Cheol Kang ),2005,https://www.riss.kr/link?id=A75516468
청소년의 정서발달을 위한 음악감상 지도방안,"본 연구는 청소년의 정서발달을 위한 음악감상 지도방안을 개발하는 데 그 목적이 있다. 청소년기는 정서를 처리하고 조절하는 데 어려움을 겪을 수 있는 시기이며, 이 시기 정서 교육은 청소년의 정서적 안녕과 사회성 발달에 매우 중요하다. 음악감상은 정서에 직접적인 영향을 미치기 때문에 정서를 인식하고, 명명하고, 조절하는 데 효과적인 도구로 사용될 수 있다. 본 연구에서는 먼저, 청소년의 정서발달과 음악감상에 대한 이론적 배경을 살펴보고, 다음으로 청소년의 정서발달을 위한 음악감상 수업모형과 지도방법을 제시하고, 마지막으로 청소년의 정서발달을 위한 음악감상 지도방안 예시를 드뷔시의 『달빛』을 바탕으로 제시하였다.","배수영(Bae, Su-Young)",2020,https://www.riss.kr/link?id=A106691865
테크놀로지를 활용한 음악 창작교육 연구 동향,"본 연구는 테크놀로지를 활용한 작곡을 중심으로 한 음악 창작교육 연구의 동향 고찰을 목적으로 수행되었다. 연구 대상은 2000년부터 2019년까지 20년간 해외 전문학술지에 수록된 연구 101편이었으며, 출간 연도, 교과교육, 교육 공학의 세 가지 범주와 여섯 가지 하위 범주에 근거하여 분석한 결과는 다음과 같았다. 첫째, 연도별 및 5년의 기간별 논문 출간 빈도는 뚜렷한 증가의 경향을 보이지 않았다. 반면 2000년대와 2010년대에 출간된 논문 수를 비교했을 때 빈도가 크게 증가했음을 알 수 있었다. 둘째, 연구 주제는 학습자의 창작 방식을 분석한 연구의 빈도가 가장 높았고, 창작 교수·학습 상호작용을 포함한 연구와 지도 방법을 다룬 연구가 그 뒤를 이었다. 셋째, 연구 대상으로는 초, 중등학생을 모두 포함한 학습자가 가장 높은 비율을 차지하고 있었다. 다중 연구 대상인 복합 범주의 학습자를 포함하면 과반수의 연구가 초, 중등 학생을 대상으로 이루어진다고 볼 수 있다. 다음으로는 음악가를 대상으로 한 연구의 빈도가 높았다. 넷째, 연구 방법은 질적연구의 빈도가 월등하게 높았으며, 특히 사례연구의 활용도가 높았다. 다섯째, 테크놀로지를 활용한 작곡 교수·학습에서 사용한 매체는 컴퓨터를 중심으로 한 디지털 미디어가 과반수를 차지하였다. 특히 뉴미디어 범주와 두 가지 이상의 매체를 활용한 복함 범주에서의 활용도를 고려할 때 컴퓨터가 거의 대부분의 창작 연구에 사용되었다고 볼 수 있다. 여섯째, 작곡 교육은 대부분 면대 면 환경에서 이루어지고 있었으며, 웹이나 모바일 환경의 비중은 매우 낮게 나타났다. 이와 같이 테크놀로지를 활용한 음악 창작이라는 특화된 분야임에도 불구하고 다양한 연구 주제와 연구 대상에 걸쳐 다각적인 연구 방법을 통한 고찰이 이루어지고 있는 점은 우리나라 창작 교육 연구와 학교 현장에 시사하는 바가 크다고 하겠다.",신혜경(Hae-Kyung Shin),2020,https://www.riss.kr/link?id=A106692116
청소년의 부모화 경험과 심리적 부적응의 관계,"본 연구는 청소년의 부모화 경험과 심리적 부적응의 관계를 알아보고, 성별에 따라 부모화 경험과 심리적 부적응의 관계에 차이가 있는지 밝히고자 하였다. 이를 위해 부산광역시에 소재한 일반계 남, 여 고등학교, 전문계 남녀공학교에 재학하고 있는 고등학생 400명을 대상으로 설문조사를 실시하였고, 그중 347부를 연구의 분석에 사용하였다. 정준상관분석을 통해 자료를 분석한 결과, 첫째, 부모화 경험과 심리적 부적응 간에는 유의미한 상관이 있는 것으로 나타났다. 둘째, 부모화 경험 중 불공평과 정서적 돌봄이 심리적 부적응과 관련이 있었으며, 심리적 부적응 중 우울/불안, 신체증상, 위축의 변인이 부모화 경험과 관련이 있는 것으로 나타났다. 셋째, 각 성별에 따라 부모화 경험과 심리적 부적응의 관계를 살펴본 결과, 남학생과 여학생 모두 부모화 경험 중 불공평이 심리적 부적응과 가장 관계가 높았으며, 심리적 부적응 중 우울/불안이 부모화 경험과 관련이 가장 큰 것으로 나타났다. 그러나 전체적으로 여학생이 남학생에 비해 부모화 경험과 심리적 부적응의 상관이 높게 나타났다. 본 연구 결과는 부모화 경험에 노출된 청소년의 심리적 적응을 돕기 위해서 학생의 성별에 따라 적절하게 부모화 경험을 다룰 수 있는 상담과 교육 프로그램의 필요성을 시사한다.",강원희 ( Won Hee Kang ),2010,https://www.riss.kr/link?id=A82569667
제5장 자기표현훈련이 자기표현능력과 발표불안에 미치는 영향,"본 연구는 자기표현훈련이 자기표현능력 및 발표불안에 미치는 영향을 알아보기 위하여 실시되었다. 경남 진주시 소재 J초등학교 3학년 2개 학급을 임의로 선정하여 총46명을 대상으로 하여 실험집단과 통제집단에 각각 23명씩 배정하였고, 사전검사를 통해 동질집단임을 확인하였다. 실험집단에게 5주에 걸쳐 총 10회기로 주 2-3회씩 자기표현훈련 프로그램을 실시하였으며 매 회기 소요시간은 80분(40분실시후 10분휴식)이었다. 이러한 과정에 의한 연구 결과와 논의를 근거로 얻은 결론은 다음과 같다. 첫째, 자기표현훈련은 자기표현능력의 하위요소인 말한 내용에 포함되는 자기표현요소 및 말할 때 음성에 나타나는 자기표현요소 향상에 효과적이다. 따라서 자기표현훈련은 초등학생이 말할 때 나타나는 자기표현요소 향상에 긍정적 영향을 주어 학생이 자신감을 가지고 자신의 의사를 표현할 수 있도록 도와줄 것이다. 둘째, 자기표현훈련은 자기표현능력향상에 효과적이다. 따라서 자기표현훈련은 소극적인 행동, 공격적인 행동을 하는 아동에게 실시하면 도움이 될 것이다. 셋째, 자기표현훈련은 발표불안의 하위요소인 자아평가불안과 불안증상을 감소시키는데 효과적이다. 따라서 자기표현훈련은 발표와 관련된 부정적 생각들을 없애고 발표를 잘 할 수 있다는 긍정적인 자아평가를 할 수 있도록 하고 모든 활동의 기초가 되는 발표에 자신감을 가짐으로써 학교 학습과 대인관계에도 긍정적인 영향을 줄 것이다. 넷째, 자기표현훈련은 발표불안을 감소시키는데 효과적이다. 따라서 자기표현훈련을 특별활동이나 재량시간에 활용하면 학생들의 발표불안을 감소시키는데 도움이 될 것이다.",김남순 ( Nam Soon Kim ),2011,https://www.riss.kr/link?id=A60094424
능력주의와 과거제의 전통에 대한 교육학적 고찰,"이 연구의 목적은 `입시위주 교육`이라는 현상의 의미를 교육(철)학적 관점에서 고찰하는 데에 있다. 우리 교육의 고질적인 문제로 지적되고 있는 `시험`과 `학력` 중심 교육에는 서구 사회보다 일찍, 적어도 관료선발에 있어서 능력주의 원칙을 채택한 과거제의 전통이 자리잡고 있다. 조선시대 관료선발 제도는 기득권의 신분제 강화를 목적으로 운용된 것이 아니라, 양인 이상에게 과거와 취재를 통해서 입사의 길을 열어놓은 선발체제였다. 이러한 전통은 교육내용과 사회문화를 용이하게 통일하고, 교육받은 인간상을 공인된 시험의 합격자로 규정하며, 교육열에 의해서 교육관련 기반시설을 구축함과 함께, 과거제에 적합한 교수-학습방식을 고착시키는 역할을 한다.
그러나 능력주의 이념은 자칫 이데올로기가 되어 작동할 수도 있다. 그럴 경우 특정한 능력만을 인간의 일반적 능력으로 확대해석 할 수 있으며, 개인의 능력만을 분배적 정의의 유일한 기준으로 삼으로써 사회구조적 불평등에 무관심할 수 있다. 더 중요한 문제는, 교육이라는 인간 활동의 자율성을 침해하여 과정을 도외시하고 성과만을 중요하게 여기는 학력주의 또는 지식의 개념을 제한하고 오도하는 숭문주의와 합리주의적 경향성을 낳을 수 있다. 아닌 게 아니라 입시위주 교육이라는 현상에는 과도한 능력주의의 맹신과 적용이 그 이면에 자리잡고 있다.
그러므로 입시위주 교육은 몇 가지 입시정책을 바꾸어서 해결할 수 있는 간단한 문제가 아니다. 그것은 우리가 서 있는 교육적 전통이 낳은 복잡다단한 문제이고 교육의 논리를 존중하는 가운데 해결해야 하는 교육내적인 문제이다.",박주병 ( Ju-byung Park ),2017,https://www.riss.kr/link?id=A103303201
전문상담교사의 소진경험에 대한 개념도 연구,"본 연구는 Wee 클래스와 Wee 센터에서 근무하는 전문상담교사가 경험하는 소진요인에 대한 개념적 구조를 밝히고자 하였다. 이를 위해 Wee 클래스와 Wee 센터 각 10명씩을 연구대상자로 선정하여 소진에 영향을 미치는 요인에 대한 아이디어를 산출하였고 최종 42개의 진술문을 도출하였다. 이후 다차원 척도분석과 위계적 군집분석을 실시하여 개념도 분석을 실시하였다. 연구 결과 전문상담교사 소진과 관련하여 6개 군집이 산출되었고, 군집 4(전문성함양추구에 따른 스트레스)가 가장 소진이 높은 군집으로 나타났다. Wee 클래스와 Wee 센터 전문상담교사의 소진관련 진술문의 평정값이 높은 상위 10문항을 비교한 결과, 공통점으로 상담교사 한 명이 많은 수의 학생을 담당하는 것, 상담에 대한 중요성을 알지 못하는 관리자를 만날 때, 업무와 역할의 모호성, 전문성을 향상시켜야 한다는 사고(思考)로 인해 소진을 경험하는 것으로 나타났다. 차이점으로 Wee 클래스는 슈퍼비젼의 부재, 상담 외 업무과다, 과다업무로 인한 상담사례 연구시간 부족으로 높은 소진을 경험하였다. 반면, Wee 센터는 방학때 쉬지 못하는 것, 상담관련 도구의 지참, 유능한 상담자로 인정받기 위해 끊임없이 노력하는 것으로 인해 소진을 경험하는 것으로 나타났다. 마지막으로 본 연구의 의의와 한계가 논의되었다.",박근영 ( Keun Young Park ),2014,https://www.riss.kr/link?id=A100003586
지속가능발전교육(ESD)을 함양한 음악과 교육과정 개정 방향 연구: 생활화 영역을 중심으로,"본 연구는 지속가능발전교육에 대한 인식과 필요성이 확대되는 과정에서 새롭게 개발되고 있는 음악과 교육과정 속에 지속가능발전의 접근 가능성을 다뤄봄으로써 음악교과를 통해 지속가능발전 태도를 함양할 수 있는 방안을 마련하는 것이다. 이를 위하여 지속가능발전(SD)과 지속가능발전교육(ESD)의 개념과 정의를 살펴보고, 지속가능발전교육의 3가지(환경적, 사회적, 경제적)관점의 핵심내용과 타 교과 교육과정에 적용된 내용을 정리하였으며, 지속가능발전교육의 핵심내용을 토대로 음악과 교육과정 생활화 영역에 적용 가능성을 제시하였다. 연구 결과로는 첫째, 교육과정이 개정될수록 사회적 관점의 요소(음악과 행사, 음악과 건강, 문화유산)가 명확하게 제시되었다. 둘째, 지속가능발전교육의 환경, 경제적 관점보다 사회·문화적 관점의 SDGs(3번, 4번, 7번)에서만 관련성을 찾을 수 있었다. 마지막으로, 지속가능발전목표의 SDGs 요소들 일부에서 생활화 영역의 요소와의 관련성을 찾아 적용시킬 수 있는 가능성을 제시하였다. 2021년 4월 교육부의 지속가능한 미래를 준비하기 위한 기초소양 및 역량 함양 교육을 강조한다는 보도자료에서 확인 할 수 있듯이 새로이 개발되는 음악과 교육과정에서는 지속가능발전의 핵심내용 및 가치방향을 이해하고, 생활화 영역을 통해 학생들이 적극적으로 지속가능발전교육을 실천할 수 있도록 개정될 필요가 있다.",윤관기(Gwan Ki Yun),2021,https://www.riss.kr/link?id=A107891059
