
조기 영어교육의 실태와 바람직한 방향,"This paper aims to find out the current state of early English education in the world(including Korea) and to suggest its more desirable direction, with special reference to TEFL in elementary school of Korea.
In fact English teaching in elementary schools of Korea has been put into practice as an extracurricular activity since 1982. But in 1995 the Ministry of Education proclaimed a policy to establish a TEFL program as the regular course in elementary schools of Korea since 1997.
In this connection, the writer surveyed several kinds of theories about early English education to verify the necessity and validity of Korea's elementary school English education. The logical result from these theories is that younger children are better equipped to learn foreign languages with efficiency than older children or adults. However, as most studies are based on logical inferences rather than on direct observation or experimental evidence, we are not sure that those theories are right.
In this view, the writer put stress on the preparation of educational environments to establish a more desirable direction of early English education in Korea, since Korea's elementary school English education will be practiced under EFL environment, not ESL environment. The writer also pointed out some problems of educational finances, the curriculum development process and its content, teaching materials(textbooks and tapes), English teachers, teaching methods evaluation, educational facilities.
This paper concludes that we have to try to solve these problems to succeed in a TEFL program in elementary schools of Korea and suggests several things for a more desirable direction of Korea's elementary school English education.",김해겸,1997,https://www.riss.kr/link?id=A19562480
내용중심 영어 교수 학습의 도구로서 ChatGPT의 활용 가능성 탐색,"This study investigates the feasibility of using chatbots as a content-based English learning and teaching tool. To this end, researchers asked 27 education experts to complete structured questionnaires about three chatbots: Cleverbot, Kuki, and ChatGPT. Based on their responses, the researchers concluded that ChatGPT demonstrates relatively superior performance in information provision and language proficiency but received a low rating for social skills and moral discernment. While existing chatbots such as Cleverbot and Kuki are programmed to hold everyday conversations, ChatGPT was developed with a deep learning method using a huge language model which empowered ChatGPT to provide a variety of information and have excellent multilingual abilities. Thus, ChatGPT can be used very effectively for content-based English learning and teaching through problem-solving activities, by utilizing its ability to provide information and to create learning and teaching materials. In addition, ChatGPT is expected to be used as a self-directed learning tool for learners and as a teaching aid for teachers in the future.",신동광,2023,https://www.riss.kr/link?id=A108487001
인공지능 적용에 관한 교실 기반 연구: 초등영어 학습 부진아의 기계번역기 사용과 인식을 중심으로,"This study aims to explore the use of Artificial Intelligence (AI) to support struggling young learners and provide insights for applying AI to teaching and learning English in the primary classroom. AI is suggested to be an innovative technology that will shape the future of education. Special attention is paid to how the future of education can be unveiled in real classrooms that adopt AI and how teachers and students can benefit from it. The participants of this study were three pupils with learning difficulty, a homeroom teacher, two English subject teachers, and two external experts. Data was collected via Q-sort, classroom observations, interviews with the participating students, a diagnostic test, a sentence completion test, student performance, and a research log. The triangulated analysis of the collected data revealed that the students heavily relied on AI in the beginning, then gradually developed their routines with AI use, and finally used it less, which gave them a sense of independence. It is further shown that AI relieved the anxiety of the low-achieving English learners and gave them confidence by providing them with options when faced with difficulties in class.
These findings provide insights for understanding the directions of AI applications in English learning and teaching, leading to support for low-achieving pupils’ learning and policy for basic education guarantee.",이세진,2023,https://www.riss.kr/link?id=A108529044
영어 관계대명사 That 연구,"Relative pronoun that is one of the important relative pronouns but we have an impression that its scope of use has been somewhat narrowed. In the light of history of relative pronouns relative pronoun that has the longest history of all relative pronouns and it was widely used even in Middle English and early Modern English. on the other hand, we can see that the relative use of that has been gradually weakened as the relative pronouns who and which has expanded their scope of use.
It is quite natural that the scope of use of that as a relative pronoun has been narrowed as who is mainly used in referring to person and which is mainly used in referring to things. And we can note that that is used only in restrictive clauses, not in nonrestrictive clauses, for that has a strong characteristics of relative conjunetion in comparing with who and which.
That as a relative pronoun still has its own weight because it can take an antecedent referring to person and thing. In particular, it is general tendency that who is used more frequently than that in the case of referring to person because that originally comes from neuter and gives a psychological feeling that it is not adequate for that to refer to things. In contrast, who has an advantage over that because the former originally refers only to person.",최종욱,2000,https://www.riss.kr/link?id=A19617265
영어 작문 과정에 활용한 ChatGPT에 대한 한국인 예비영어교사의 인식 탐색,"This study explores Korean pre-service English teachers’ perceptions of using ChatGPT in the English writing process and its impact on their writing competence. Participants composed the first drafts on assigned topics, followed by use of ChatGPT for revisions. They were then asked to reflect on their experience with ChatGPT to aid in the revision process. A thematic analysis of learners’ reflections and surveys was conducted to identify emerging themes. The findings uncovered several key emerging themes that are divided into two categories: positive and negative aspects. Positive aspects were divided into cognitive and affective categories. Participants perceived the feedback on content, organization, language use, and all-inclusive service as cognitively positive. In addition, they perceived its effects to be positive in terms of excitement, time efficiency, confidence boost, and willingness to use. However, the hallucination of ChatGPT, ethical issues such as authorship and overreliance were pointed out as negative aspects. This study demonstrates the potential benefits of integrating ChatGPT as a writing tool in English language learning, particularly for Korean pre-service English teachers. The findings offer valuable insights for educators considering the adoption of AI-driven conversational agents to enhance students’ writing competence and foster self-regulation in the revision process.",최윤희,2023,https://www.riss.kr/link?id=A108614893
초등학생의 조기영어교육 실태 연구,"The purpose of this study is to analyze the present situation of English language education provided in early childhood and its effect. For this purpose, two research questions were specified as follows: 1) what is the current status of English language education provided in early childhood? And 2) what is the difference in English learning status between those who have received English language education provided in early childhood and those who have not? As a survey target, 639 students from the fifth through sixth grade, who are now provided with English language education by four elementary schools in Korea,\ participated in the present study. A questionnaire designed as a research tool consisted of 30 questions. The results are as follows: First, about 80 percent of elementary school children from the fifth through sixth grade are taught English language in their early childhood. Second, the experiences of early English language education before the third grade have positive effects on the children’s comprehension of English learning and the children’s positive perception of English; therefore, it has a positive effect on their academic achievement as well. Educational suggestion and implication are presented.","이서연(Lee, Seo Yeon)",2022,https://www.riss.kr/link?id=A108069386
증강현실(AR)과 가상현실(VR) 기술을 활용한 메타버스 영어교육의 효과: 메타분석,"Metaverse technology has aroused extensive attention in the fields of language education in general and of English language teaching (ELT) in particular; the unabated mushrooming of empirical findings in this domain warrants a thorough meta-analytic evaluation of the pedagogical effectiveness of Metaverse technology in ELT. Against this backdrop, the present meta-analysis synthesized a total of k = 57 reported effect sizes from 20 papers. The meta-analysis utilized a random effects model which yielded a weighted mean effect size of 0.502 (p < .001) or a moderate effect for AR/VR-assisted Metaverse English education. In addition, the average effect sizes of the dependent variables exhibited a statistically significant influence for both linguistic (d = 0.644, p < .001) and affective (d = 0.462, p < .001) domains. Furthermore, the average effect sizes of instructional interventions or moderator variables were also evaluated to offer evidenced-based suggestions for AR/VR-assisted Metaverse English education. These results may point to future pathways for Metaverse-powered ELT instructional designs with scientifically validated curricula and methods.",이혜진,2023,https://www.riss.kr/link?id=A108487017
AI 챗봇을 활용한 영어교육 프로그램이 언어교육 효과에 미치는 영향에 대한 메타분,"This study aimed to analyze the effect size of English education programs using AI chatbots on EFL learners’ language education effectiveness as well as moderator variables affecting program effectiveness. Forty-four dissertations and academic journals published from 2002 to March 2023 were selected as the analysis subjects, and the effect size was calculated using a random effect model due to high heterogeneity among studies. A meta-regression analysis was performed to confirm moderation effects, and publication bias was verified using Egger’s regression test. The effect size of AI education programs was significant, with a moderate effect size (0.428; 95% CI: 0.310-0.546), and major variables affecting language education effectiveness included school level by age and length for a single class. In terms of school level, it showed a higher effect size in the order of college students, high school students, and elementary school students. The most effective length of a single class was found to be 51-60 minutes. The time range of 51-60 minutes is mainly associated with university student learning. From both the school level and the length of a single class perspectives, the effect size related to university students is the largest. This can be attributed to the higher likelihood of university students engaging in self-directed learning compared to younger learners. It is believed that self-directed learning time has contributed significantly to improving learning effectiveness. This study provides useful information for developing and application of AI education programs for EFL learners.",박은정,2023,https://www.riss.kr/link?id=A108731248
유치원 영어교육 현황 분석 - 초등영어교육을 위한 시사점을 중심으로,"  This study is to obtain a general view of English education at the kindergarten level via surveys of teaching materials, and interviews with three trainers of kindergarten English teachers in Daegu City. A literature review and a survey of the internet homepages of 20 kindergartens nationwide were made for supplementation. The major survey parameters were: English course (non-)offerings, course types, teacher types, teaching hours, principles and methods of teaching, kinds of teaching materials and their content organization. It appears that kindergartens have reached the point where they cannot survive without offering English courses right now. Almost all kindergartens offer both regular and after-school English courses, and teaching hours are continuing to increase. Most of the teachers are people who are hired by an educational corporation that then dispatches them to the various contracted kindergartens. This study also compares the (unofficial) kindergarten English curriculum with the elementary English education curriculum.",손중선(Sohn Joong-Sun),2008,https://www.riss.kr/link?id=A76441280
2022 개정 영어과 교육과정 ‘디지털 소양’의 의미에 대한 고찰,"This study is a theoretical inquiry into the term ‘digital literacy’, which has made its first appearance as a technical term in the 2022 revised curriculum in Korea. Although the term can be used casually, academically its use should be carefully considered in relation to the key competencies of the new curriculum that students are expected to develop. This study investigates the etymological origin and theoretical background of digital literacy, in order to grasp the practical meaning and to present possible applications of digital literacy in English language teaching. Digital literacy encompasses not only the ability to read and write within a digital context, but also the skills to find, interpret, evaluate information and to critically read and creatively process the information on the basis of firm ethical principles. It tends to be displayed in English classrooms by using a variety of digital tools like AI chatbots, virtual reality and metaverse. Teachers are strongly advised to continue improving their technological, pedagogical and content knowledge (TPACK) to promote students’ digital literacy in pursuit of communicative competence in English.",최원경(Wonkyung Choi),2022,https://www.riss.kr/link?id=A108361496
