
교제중인 대학생을 위한 사랑학습 프로그램 개발,"Heterosexual dating has a fairly important meaning to college students in many aspects, such as the aspects of developmental tasks, human relationships, their concerns and major conflicts, etc. Among many other developmental tasks required during this period, love, sex, and marriage are important developmental tasks which require full maturity and efficient relationships for heterosexual relationships. Besides, heterosexual dating can be a very important process to discover a real 'I'.
Therefore, it's necessary to develop a program to concretely help college students with correct knowledge on love, ways of heterosexual dating, possible problems in heterosexual dating, and heterosexual relationships.
This study has its purpose in developing a love learning program for dating campus couples in order to improve the expression of love between lovers , mutual respect, and generosity.
This research covers (1) the meaning of love, (2) the types of love, (3) the components of love, (4) heterosexual relationships and love learning, and (5) college students and heterosexual dating. The sessions of the program developed by this research are as follows: the first session of introducing the program and his or her lover, the second session of understanding the meaning of love, the third session of understanding one's type of love, the fourth session of understanding one's love seen by the attachment type, the fifth session of understanding each other's temperament, the sixth session of learning how to talk with one's lover, the seventh session of reflecting on oneself, and finally the eighth session of saying goodbye.",김경순,2001,https://www.riss.kr/link?id=A3006900
치료 레크리에이션 프로그램이 정신질환자의 우울과 인간관계에 미치는 영향,"The recent trends in the treatment of psychiatric patients have shown more
interests in the development and the evaluation of psychiatric rehabilitation programs
along with pharmacotherapy and psychotherapy, with its ultimate purpose of patients'
going back to the community. It is considered quite meaningful for a psychiatric
nurse to develop and carry out therapeutic recreation programs under the situation
where practical rehabilitation programs are under-developed. This study is to evaluate
the efficiency of systematic and therapeutic recreation programs on psychiatric
patients' depression and human relationship so as to suggest evidences which could
be applied in a clinical situation.
The subjects of this study were 12 psychiatric in patients and day care patients
of J Psychiatric Centre in Kwangju City during the period of August 19, 1996 to
September 7, 1996, for whom 10 therapeutic recreation programs have been applied
three times a week for three weeks, and then their effects on patients depression
and human relationships were reviewed.
The instruments of the study were therapeutic recreation programs developed by
the researcher; depression scale which was standardized of Beck's Depression
Inventory by Han, Hong Moo, et aI.(1986); Relationship Change Scale of Schlein and
Guemey translated by Moon, Seon Mo(1980) and slightly modified by Cheon, Suk
Kyun(1994). A questionaire on therapeutic recreation was distributed in order to
evaluate therapeutic recreation programs.
The data was analysed by Wilcoxon Signed Ranks Tests, and answers of each
question was numbered.
The results of this study were summarized as follows;
1. The scores of depression in posttest were significantly lower than before
receiving programs from a statistical point of view(Z=-2.51O, p= .012).
2. The scores of human relationship in postiest were significantly higher than
before receiving programs from a statistical point of view(Z=-2.118, p= .034).
3. Among those programs developed by the researcher, preference was shown in
the order of sing, motion song and physical activities. In order to provide therapeutic
recreation programs in groups for psychiatric patients, it is thought to be more
effective to apply in a gradual way taken fully into consideration of individual's or
group's psychopathic conditions, needs, recreation experiences purpose and values of
the program etc.
In conclusion, there were positive results in patients' depression and human
relationship by practicing therapeutic recreation programs. Accordingly, therapeutic
recreation programs could be approached on a practical and clinical level in
psychiatric nursing with substantial evidences.",김상숙,1996,https://www.riss.kr/link?id=A82693550
가족간호실무에서 가족치료 적용을 위한 고찰,"This study discusses on comparing between Strategic Family Therapy and
Solution - Focused Family Therapy for applying family therapy to family nursing to
nursing practice. Family nursing focuses on the strength of individual family
members and the family group to promote their mutual support and growth where
possible. Family nursing is considerate of the relationships between or among family
members. Family therapy is any psychotherapeutic endeavor which explicitly focuses
on altering the interactions between or among family members, seeks to improve the
functioning of the family as a unit. the functioning of its subsystem. and the
functioning of individual members of the family. Therefor family nursing is related to
family therapy.
Among various family therapy approaches. Strategic Family Therapy and Solution
- Focused Family Therapy are method-oriented and brief in duration. Brief therapy
has to more with clarity about what needs to be changed rather than time. Both of
them obtained the ideas from Milton Erikson. Erikson’s goal in treatment was change.
He believed in utilizing the resources of his clients and designing a “ strategy for
each specific problems"". Nevertheless. they are distinct.
The differences between these approaches are as followers.: (1) Strategic family
therapists are innovative and they emphasized power techniques and the expertness
of the therapists. In general. they use six techniques reframing. paradox. ordeals
pretend. and positioning. (2) Solution - Focused family therapists assist families in
defining their situations clearly. precisely. and with possibilities. The therapist’s job is
to produce change by helping them. by challenging their world view. by asking them
appropriate questions. and by giving them “ skeleton keys"". that is. universal tasks
that have the power to help families find ways to unlock their potential.",오상은,1998,https://www.riss.kr/link?id=A82693575
화학요법을 받는 백혈병환자의 구강함수용액이 구내염 감소에 미치는 영향,"Patients receiving chemotherapy experience side-effects such as stomatitis,
nausea and vomiting. Stomatitis appears more frequency in the leukemic patients who
have bonemarrow depression than those in other cancer patients.
The patients who have stomatitis feel discomfort with pain whenever eat or
speak. They also may be serious because the stomatitis could lead them to sepsis or
death. So, preventive oral care is strongly required for them.
Since the platelets and WBC level decrease during chemotherapy, leukemic
patients need to use gargling solution instead of toothbrushing. Betadine solution
which is usually used in clinical setting has so strong odor and displeasing taste that
it often causes nausea and vomiting. To the contrary, saline is familiar to the most
people and its odor and taste is not bad, and it would be effective in preventing
stomatitis as well.
In this context, this study was done to test the effectiveness of saline and
betadine solution for leukemic patients, and to suggest which the better gargling
solution is.
The subjects, were 40 leukemic patients hospitalized for chemotherapy at the
Chonnam university hospital in Kwangju city, were randomly assigned to the saline
and betadine solution group according to order of participating study.
Data were gathered from December, 1995 to July, 1996, through checking the
patients' objective oral states by the investigator and self reported subjective oral
comfortness before and 4weeks after gargle.
The study design was Quasi-experimental research.
The study instrument(the objective oral state guide and the subjective oral
perception guide) was developed by Beck(1979), and was modified by the investigator.
The SAS PC+ program was used to analysis the data with X²-test, t-test,
Pearson's correlation and AN OVA.
The results may be summarized as follows:
The first hypothesis that saline users will have higher objective oral state score
than those of betadine solution was supported(t=-2.14, p=.038).
The second hypothesis that Saline users will have higher subjective oral
comfortness score than those of betadine solution was rejected.
The third hypothesis that There will be a positive correlation between objective
oral state and subjective oral comfortness was supported every week after
gargle(Week 1: r=.82, p=.OOOl; Week 2: r=.90, p=.OOOl; Week 3: r=.84, p=.OOOl; Week
4: r=.71, p=.OOO1).
As the result, saline would be more effective gargling solution than betadine
solution for the improvement of oral state in the leukemic patients recieving
chemotherapy.",박윤정,1996,https://www.riss.kr/link?id=A82693552
아동 체벌의 교육적 효과에 관한 연구,"First, don't be impatient to treat students. A teacher should trust students' growth potential and instruct students with patient and generosity.
Second, a teacher should not misunderstand the position with students. He/She should respect each student and perceive teachers are at higher position than students.
Third, a teacher should be kind and have warm heart toward students. His/Her authority comes from kindness and loveliness.
Fourth, try to remove unfair emotion toward students through incessant self-reflection and self-maturity.
Fifth, a teacher should have objective attitude. That is, he/she should maintain impartiality to all the students and eliminate prejudice.",이영준,2001,https://www.riss.kr/link?id=A19599631
"대학생의 낭만적 애착, 사랑 성향과 이성교제시 갈등해결 전략에 관한 연구","The purpose of this study was to find out the best predictors affecting courtship conflict resolution strategy. Adult romantic attachment factors(Avoidance and Anxiety) and three distinctive love attitudes(Eros, Ludus and Mania) were used as predictors. 539 South Korean undergraduate students who have dating experience were surveyed. Correlation analysis showed that Avoidance attachment was negatively associated with Eros and Mania whereas it was positively associated with Ludus. Anxiety attachment was positively associated with Mania and Eros. Both Attachment factors were positively associated with unconstructive conflict resolution strategies such as Negative Conflict Escalation, Negativity and Conflict withdrawal. Eros was positively associated with constructive strategy such as Love and affection, Emotional Expressivity, Validation, Focusing, Communication over time, Editing, Feedback and Leveling whereas Ludus was positively associated with unconstructive conflict resolution strategy. Mania was significantly related with both strategies. Finally, stepwise multiple regression analyses indicated that Eros was the strongest predictor of constructive conflict resolution strategy whereas Anxiety and Avoidance attachment were for unconstructive conflict strategy. Eros was consistently related to both constructive and unconstructive conflict resolution strategies, It shows that the individual's capacity of Eros tendency could be the strongest predictor for courtship conflict resolution strategy. The results of this study indicate that counselors can use the information for understanding their college students counselee, especially they are dating.",김예나,2008,https://www.riss.kr/link?id=A76521468
간호사의 임상경력개발시스템에 관한 조명,"The purpose of this study is to understand career development system for clinical
advancement of nurses, so there are aimed at recognizing the importance of career
development program and assisting its planning as a strategy for human resources
development. In this perspectives, this study attempted to review the nature and cases
of career development system and to present the appropriate introduction strategies
of career development system using the clinical ladder in clinical nursing field.
The career development system is a desirable one for the unification of the
organization's desire that needs man-power to confront the rapid changes of health
care environments effectively and personal desires for the self-development and
achievements. The clinical ladder can be defined as a means of career recognition
and reward for nurses who chose to remain at beside. The clinical ladder is useful
to promote and support excellence in clinical nursing practice and to improve nurses'
job satisfaction.
Clinical Nurses can advance through a series of levels based on nursing
competencies within career development system using the clinical ladder, so called
clinical ladder system. In order to establish this program, nursing administrators may
evelop a climate for learning of nursing competency while promoting professional growth
and satisfaction. Based on this viewpoint, in Korean hospital career
development system must be introduced and implemented to develop, evaluate, and
promote clinical nurses providing direct patient care throughout their nursing career.",장금성,1998,https://www.riss.kr/link?id=A82693571
"방사선치료 종료시기 암환자의 영양상태, 식욕상태 및 삶의 질에 관한 조사연구","This study was conducted to identify nutritional status, appetite status, and the
score of quality of life of 42 cancer patients who completed executive cycles of
radiotherapy on chest or pelvic area.
The data were gathered from April 1 to December 30, 1996 through questionnaires
of anorexia, quality of life and the anthropometric and biochemical measures such as
weight, triceps skinfold thickness, mid-arm circumference, mid-arm muscle
circumference, albumin, total Iymphocyte count, and hemoglobin.
The data were analyzed by t-test, ANOVA, two-way ANOVA, and multiple
regression analysis.
The results were summarized as follows :
1. There were no significant differences in all nutritional status by age.
2. As for the anthropometric measures, significant differences were found by
gender in TSF, MAC, & handgrip(t =-7.41, p =.0000; t =-2.56, p =.0142; t =6.38, p
=.0000); TSF and MAC were higher in female than in male, and the reverse was
handgrip.

As for the biochemical measures, significant differences were found by gender in
hemoglobin & total lymphocyte count((t =4.46, p =.0001; t =2.26, p =.0295).
Hemoglobin and total Iymphocyte count in male were higher than those in female.
3. As for the anthropometric and biochemical measures, significant differences
were found by cancer site in TSF, MAC, handgrip, albumin, and hemoglobin(t =-4.26,
p =.0001; t =-3.33, p =.0019; t =3.73, p =.0006; t =-2.42, p =.0204; t =2.39, p
=.0216). TSF, MAC, & albumin level in pelvic area were higher than those in chest
area, handgrip and hemoglobin in chest area were higher than those in pelvic area.
4. Total lymphocyte count differed significantly by total radiation dosage(t =-2.15,
p =.0373); TLC of patients receiving over 6,000 rads was higher than that of
patients receiving under 6,000 rads.
5. Appetite score differed significantly by types of treatment and total radiation
dosage(t =3.11 , p =.0036; t =-2.53, p =.0155); appetite score was higher in patients
receiving irradiation only than in patients receiving operation & irradiation and was
higher in patients receiving over 6,000 rads than under 6,000 rads.
6. The relationships of nutritional status, appetite status, and quality of life were
as follows.
Significant correaltions were observed between body weight， MAC, MAMC, &
hemoglobin(r =.69, p =.0001; r =.68, p =.0001; r =.53, p=.0003); TSF was
significantly related with MAC, handgrip, hemoglobin(r =.58, p =.0001; r =-.65, p
=.0001; r =-.32, p =.04); MAC was significantly related with MAMC(r =.78, p
=.0001); MAMC with hemoglobin(r =.47, p =.0017); handgrip with hemoglobin &
TLC(r =.34, p =.0271; r =.30, p =.0559); and hemoglobin with TLC(r =.42, p =.0063).
7. There were no significant relation with appetite score by variables of the
nutritional status. Significant correlation was observed between quality of life and
appetite score(r =-.49, p =.0014). Predictor which explained score of quality of life
was only appetite status. which was 24.43%(,9 =-.7559. F=11.96. p=.0014).",소향숙,1997,https://www.riss.kr/link?id=A82693560
고혈압환자의 역할행위 이행에 대한 조사 연구,"Hypertentsion is the most risky disease among chronic circulatory problems and
the patients' compliances witn sick role behaviors regarding hypertension are
considered with importance.
Therefore, this study was intended to survey the compliances witn sick role
behaviors of hypertensive patient who have gotten treatment from the outpatient
clinic, tertiary hospital and determine what aspects should be regarded to increase
the extent of their complience with sick role behavior.
Data was gathered from June 3rd to 30th-1996, and the subjects were 88
outpatients in Chonnam-University hospital, Kwang-ju, Korea. The questionai were
used to mesure the extent of compliance behavior after testing its validil and
reliability.
The data was analyzed by t-test, ANOVA and Duncan’s test, and the results are
summarised as follows.

1. The score of compliance with sick role behavior was 57.7 over 75 and it is
about level of 76.8%.
2. The varience that has the most significant difference on the complience with
sick role behaviors regarding demosociological characteristics was ’religion’and the
score of complience with sick role behaviors of religious group(58.96) was higher
than the one of non-religeous group(55.63)(t=-2.54, p<.05).
3. The varience that has the most significant difference in the extent of complience with sick role behaviors regarding complicated disease of hypertensive
patients were drinking and smoking group. And in the non-drinking(t=3.73, p<.05)
and non-smoking group(t=4.06, p<.05) has far much higher score of complience with sick role behavior.
4. In considering status of blood pressure, the patients in the third stage
hypertension has highest score of complience with sick role behavior in both systolic and diastolic blood pressure and it is regarded significant statistically.
5. In considering the weight of hypertensive patients the group of 11-20%
overweighed patients showed the highest score(59.16%) on complience with sick role behavior, the group of the 31 % overweighed(58.58%) was the second, the group of the normally weighed(5.79) followed and the last in order was the group of 21-30% overweighed group(t=1.35, p<.5).
6. Followed by eacg items the highest score on compliences with sick role
behavior was ordered by regular hospital visiting(4.97), refraining smoking(4.75),
regular tablet taking(4.65) and the worst score on complience with sick role
behaviors was ordered by snack control(2.85), special diet for weight control(2.85), limited high salt diet(3.16).
As a conclusion the extent of complience with sick role behaviors of
hypertensive patients who have been treated in outpatient clinics in the department of internal medicine, Chunnam University Hospital was much better than the one in other type of medical organization. And the control of food that might cause bad effect on could be significantly related to the complience with sick role behavior.
In this study the nursing problems turned out to the first priority was poor
complience on adjusting snack and each meals for weight control.",김지영,1997,https://www.riss.kr/link?id=A82693557
스트레스-대처 모델의 통합적 접근에 관한 고찰,"The concept of stress has received considerable theoretical and empirical attention
in recent years, yet much confusion and controversy remain. Attempts have been
made to integrate various points of view. While the concept of coping is intimately
tied to that of stress, it has been largely neglected by researchers until rather
recently. There was a growing conviction that all coping processes, including those
traditionally considered undesirable such as defense mechanisms, have both positive
and negative consequences for an individual, and that any evaluation of coping and
adaptation must take into account diverse levels of analysis and the specific nature
of the situation in question.
This study attempted to integrate two theoretical approaches of the stress-coping
model: the cognitive approach and the cognitive phenomenological approach. The
traditional approach was structure-oriented model. It was emphasized structural and
stable aspects such as general coping traits, styles, or dispositions, and focused on
individual differance.
The cognitive phenomenological approach was transactional and process-oriented
model. It was centered on a process approach to the assessment of coping. The
term transaction means that the person and the environment are in dynamic and
mutually reciprocal relationship. Coping is constantly changing cognitive and behavioral

efforts to manage external and/or internal demands that are appraised as taxing or
exceeding the resources of the person(Lazarus & Folkman, 1984a).
Integrated model based on two representative approches to stress-coping process
was implied that personal cognitive characteristics, situational factors, and coping
behaviors have to be considered together. Nursing has a unique opportunity to
develop a scientific base for stress, coping, and related health outcome. Integrated
model was helpful to understand client’s stress and useful for effective and efficient
stress management.",조복희,1997,https://www.riss.kr/link?id=A82693558
