
간호전문직에 있어서 윤리적 쟁점,"생명과학과 의료기술의 발전은 인간의 살고자 하는 욕망을 충족시키는 긍정적 측면이 있으나 질병에 대한 환자의 고통 가중과 고통을 연장시키는 부정적 측면이 종교적, 철학적, 윤리적 논쟁을 야기하고 있다. 현대 한국사회에서 대두되는 커다란 의료윤리의 이슈는 의료상황의 시대적 발전단계에 따라 차례 차례 대두되는 문제가 아니고 발전단계와는 무관 하게 여러 형태가 동시에 어우려져 있다(손, 1996).간호전문직은 무엇보다도 인간을 중심으로 이루어지는 만큼 어느 직업 보다도 고도의 직업윤리가 강조되어 왔다. 이에 못지 않게 간 호사들이 간호실무에서 려는 윤리적 딜레마는 심각하다. 특히 현대의 간호사들은 생명 과학이 고도로 발전하고 있는 보건의료상황에서 전문직 업무를 수행하며 타인의 삶의 질에 지대한 영향을 미치는 의사결정에 참여 해야 하는 경우가 많은데, 이때 많은 윤리적 딜레마에 부딪치게 된다. 이에 본 논문에서는 간호사들이 간호실무 에서 현실적으로 당면하고 있는 윤리적 딜레마를 해결하며 전문직업인으로서 간호사의 윤리적 가치관 확립에 도움을 주기 위해 간호전문직 윤리의 근거가 윤리학의 이론적 배경과 생의 윤리 및 간호윤리, 환자권리, 간호실무에 있어서 윤리적 쟁점을 논한 후 윤리적 딜레마 및 윤리적 의사결정과, 간호사들이 겪는 윤리적 딜레마를 최소화 하기 위한방안을 제시하고자 한다.",오상은,1997,https://www.riss.kr/link?id=A82693564
대인관계를 통한 자기이해와 수용에 관한 사례연구,"본 연구에 소개된 사례는 불편감이 있는 대인관계를 조망해보며 자신에 대한 기본적인 이해와 수용을 경험하기 위해 시작된 상담사례이다. 내담자는 대인관계를 유지하는 일에 과도한 스트레스와 우울감을 느끼고 모든 대인관계를 단절하고 싶은 마음과 사람들의 간섭이나 침범이라고 느끼는 것으로부터 회피하고 싶은 마음을 가지고 상담소에 왔으며 그런 자신이 있는 그대로 받아들여지는 경험이 필요할 때 상담이 시작되었다. 상담이 진행되면서 내담자는 대인관계 안에서 자신이 완벽함, 뛰어남을 요구받는다고 느끼며 자신에게 높은 기준을 설정하고 있으며 그것은 어머니의 기대를 만족시키는 딸이 되어야겠다고 생각하고 행동하면서 발전되었다는 사실을 자각하게 되었다. 이는 타인이 자신에게 무언가 요구한다고 느껴지는 상황이 오면 불편감을 느끼고 자신이 이해받지 못한다는 느낌을 느끼고 그 상황을 회피하는 방식으로 현재까지 발전해 왔으며 이러한 점을 상담이 진행되면서 내담자가 통찰하였고, 점차적으로 타인의 자신에 대한 개입을 침범이 아닌 관심으로 느끼게 되었다. 상담을 종결할 시점에는 자신에 대해 완벽한 기준을 설정한 면에 대해 더 다루지 못하고 훈습되지 못한 아쉬움이 있지만 내담자의 휴학과 상담자의 사정으로 종결하게 된 사례이다.",손유미,2007,https://www.riss.kr/link?id=A76521463
롤즈와 콜버그의 도덕이론에 대한 비판적 고찰,"""사상체계의 제1덕목을 진리라고 한다면 정의는 사회제도의 제1덕목이다""라는 롤즈(Rawls)의 『정의론』의 구절은 그의 도덕이론의 출발점이라 할 수 있다. 본 연구에서는 롤즈의 정의론과 콜버그의 도덕발달이론을 중심으로 정의감 형성에 대해 고찰하면서, 공동체주의와 배려 윤리를 중심으로 비판적으로 검토하고, 이에 대한 보완으로서 동감 이론의 적용 가능성을 쇼펜하우어의 도덕이론에서 찾고자 하였다. 롤즈의 도덕이론에서 정의감 형성이 전통적 의미의 의무론적 윤리학, 보편주의적 전통을 계승하고 있으며, 콜버그 역시 롤즈의 정의의 원리를 근거로 도덕발달이론을 발전시키면서 정의감 형성을 다루고 있음을 확인하였다. 이에 대한 공동체주의의 비판과 여성주의 윤리학을 중심으로 양자를 비판적으로 고찰하였다. 아울러, 비판에 대한 연구자 자신의 대안으로 서구 계몽주의 이후 동감 이론에 대해 살펴보았다. 특히 쇼펜하우어의 도덕이론이 칸트주의적 의무론 비판하고 있지만, 쇼펜하우어의 동감의 이론이 보편주의적 성격과 합리주의 입장에서 논의를 개진하고 있음을 확인하였다. 아울러, 동감 이론이 칸트적 규범적 윤리론에 대한 비판을 수용할 수 있는 가능성을 제시할 수 있었다.",김상현,2013,https://www.riss.kr/link?id=A100122560
비자발적 내담자 상담에서의 구조화,"상담자는 내담자로 하여금 자신에 대한 통찰력으로 자신의 문제를 파악하고 해결해 나가는 성장의 과정을 도와주는 촉진자의 역할을 한다. 자발적으로 상담자를 찾는 경우는 자신에 대한 문제의식과 상당에 대한 필요성을 갖는 반면 비자발적 내담자는 타인에게도 인식될 만큼의 표면적인 문제를 갖고 있으면서도 상담에 대한 동기가 매우 낮다. 일반적으로 비자발적 내담자가 상담에서 나타내는 두개의 공통적인 감정은 첫째， 상담이나 상담자에 대한 적개심과 과거에 되풀이 된 자기자신에 대한 실패 경험에 의한 무력감을 갖는데， 이런 감정을 갖게 된 이유는 다음과 같다.
1. 이전 상담 또는 도움에 대한 회의
2. 자신의 사생활에 대한 노출의 두려움
3. 상담과정에 대한 잘못된 견해
4. 자신도 모르는 어떤 끔찍한 자신의 모습에 대한 인식의 두려움
5. 상당자가 자신을 좌지우지 통제할 것이라는 예감
6. 자신이 변화를 진정으로 바라는 지에 대한 불확실성
7. 보이지 않는 것에 대한 투자에 대한 저항
8. 상담자와의 사회 문화적 차이로 인해 이해받지 못할 것의 두려움(Dean & Joann, 1986)
비자발적 내담자의 위와 같은 특성을 살펴 볼 때 상담에서의 구조화는 내담자가 갖는 위의 감정과 비합리적 생각을 해결할 수 있는 방향으로 이루어져야 한다. 이런 점에서 볼 때 현실요법은 이런 욕구를 만족시킬 수 있는 이론적 틀을 제공할 수 있을 것으로 보인다.
상담자가 현설요법의 기법이 아닌 다른 접근을 상담에 적용한다 할지라도 비자발적 내담자 상담에 있어서 초기 단계에서의 구조화 작업에 현실치료의 이론적 틀을 사용한다면 아직도 난제로 간주되고 있는 비자발적 내담자 상담을 효율적으로 이끌어가는데 도움이 될 것으로 보인다.",김영재,1994,https://www.riss.kr/link?id=A82690206
상담자의 자기 돌봄,"본 논문에서는 상담자라는 직업과 대학장면에서 일하는 데에서 오는 스트레스, 이러한 스트레스 대처에 실패한 결과 갖게 되는 상담자의 소진과 심리장애에 대해 고찰하고, 상담자 자신의 자기돌봄과 자기관리가 소진과 스트레스 및 심리장애를 예방하고 자기성장을 이루어 가는데 필수적임을 제안하였다. 상담자 소진의 원인은 상담자들이 지나치게 책임지려는 경향, 상담 관계가 일방적이기 때문에 오는 고갈, 끊임없는 공감에서 오는 피로, 또한 상담자 자신이 도움이 필요함을 인정하고 도움을 청하기가 쉽지 않기 때문인 것으로 보인다. '상담자' 라는 직무에는 한 사람으로서 전인적 안녕을 추구할 뿐만 아니라 상담의 도구로서 자신을 잘 돌보아야 하며 윤리적 입장에서도 책임 있는 상담을 해야 한다는 기대가 따른다. 상담자의 적절한 자기 돌봄, 자기관리는 끊임없이 성찰하고 깨어있는 상태가 되도록 노력함을 의미하는 것으로, 상담자 자신의 성장과 원활한 직무수행을 위해 필수적이다. 상담자의 적절한 자기돌봄, 자기관리 방안에 대해 논의하였다.",최해림,2009,https://www.riss.kr/link?id=A76521449
청소년 문화가 자아정체감에 미치는 영향 고찰,"본 연구에서는 청소년 문화가 자아정체감에 미치는 영향을 고찰하는데 필요성과 목적이 있다. 연구방법으로는 청소년의 개념, 청소년의 특성, 청소년의 새로운 패러다임, 문화의 개념, 문화의 기능, 청소년 문화의 특성, 자아정체감의 개념, 자아정체감 형성 요인 등의 관련 문헌과 청소년문화와 자아정체감 선행연구를 고찰하였다. 청소년문화가 자아정체감에 미치는 영향으로는 첫째, 청소년들은 집단주의적인 권위적 문화와 개인주의적인 탈 권위적 문화가 충돌하는 과정 중에 있다. 청소년은 자신의 욕구의 표현과 기성세대와의 충돌과 갈등 속에서 자아 정체감을 형성하고 있다. 둘째, 청소년들이 학교에서 발생할 수 있는 모든 문화에서는 엄격한 규범과 규정의 체제에 적응, 경쟁, 저항, 교사나 교육내용에 따른 불만이 자아정체감의 혼란과 관련이 있다. 셋째, 부모, 형제, 교사, 또래집단의 사회적 지지는 자아정체감의 자기수용성, 미래 확실성과 높은 상관이 있다. 교육열이 높은 부모는 자녀의 학업이나 개인적 행동에 대해서 과도한 통제나 규제를 하게 되어, 심리적 독립을 저해하고 있어 자아정체감 형성에 부정적 요인이 되고 있다. 넷째, 인터넷의 대중문화는 청소년의 정체성, 정치적 감각, 사상적 기반을 제공하여 교육마당이 되고 있다. 청소년들은 사이버 세계를 통해 인간관계의 확대를 가져오며, 자기표출 공간으로 그들 세계의 정체감과 친밀감을 형성에 긍정적 측면도 있지만, 부정적인 면도 함께 공존하고 있다. 다섯째, 청소년들은 소비를 통해 자기만의 개성을 추구하려고 하며, 친구, 대중매체, 대중스타들의 옷을 따라 가려는 성향이 강하고, 유행에 민감하고, 남보다 뛰어나고 특이한 사람으로 보이고 싶어 하지만 대부분 비슷한 모습을 갖추는 이중적인 모습이 자아정체감에 영향을 미치고 있다고 보여 진다. 결론적으로 청소년의 다양한 문화 활동은 비행을 억제하는 효과가 있으며, 신체적·심리적·지적발달과 자아정체감, 자기주장, 공정성 등에 긍정적 결과가 있다.",한영민,2007,https://www.riss.kr/link?id=A76521462
"청소년, 대학생의 성 무엇이 문제인가?","이 논문의 제목은 '청소년, 대학생의 성 무엇이 문제인가?'라고 지적하여 청소년과 대학생을 따로 구분하는 듯한 인상을 주고 있으나,논문의 내용은 그들을 발달단계로 하나의 범주에 넣었는데 나는 그에 동의한다. 그러므로 이 토론 원고에서는 오늘 이 학술 세미나의 주제를 염두에 두고 '대학생 집단'으로 쓰고자 한다.
이 논문에서 밝힌 바와 같이, 한국의 대학생 집단은 실제 연령적으로 19세에서 20대 중반까지로 대부분 20대초에 해당하는 바,심리학적 인생주기에 대입하면 청소년기 말기와 청년기 초기에 속한다. 이들이 현실적으로 당하고 있는 성의 문제를 논하기 위하여 연구자는 '인간의 성과 성생활' '한국인의 성적 태도'를 개관하고,대학생 집단의 성적 발달은 생물학적 성과 성반응은 완전히 성숙되었어도, 신체적 성적 성숙은 심리적으로 통합하는 과정에 있거나, 끝났을 단계일 것이라고 지적하였다. 그러면서 이들의 성적 행동을 '성적 시험(Trials)'으로 보고 그에 따른 여러 양상에 대하여 언급하였다. 이 모든 사항에 대하여 동의하면서, 이 세미나의 주제에 촛점을 맞추기 위하여 나(이것은 나 자신의 주관적 생각을 대강 정리한 글이기 때문에 '나'라는 일인칭 대명사를 쓰기로 한다.)는 다음의 몇 가지 문제에 대하여 토론하고자 한다. 오늘의 주제는 성에 대한 '문제'인데 이 말 속에는 우리 상담자들이 그 문제의 원인을 파악하고 그 해결책을 같이 생각하고자 하는 데에 그 목적이 있을 것이라고 믿는다.
그래서 나는 먼저, 우리나라 대학생 집단의 성에 대한 문제의 원인을 다음의 두가지 문제점으로 요약해 보고자 한다.
첫째는 한국의 대학생 집단의 성관(性觀: sexual concept)은 어떠한가?에 대한 문제이다. 오늘 발표된 '대학생의 성에 대한 실태 조사'에 따르면, 설문조사에 응답한 대학생들의 성의식은 대체로 '성은 인간 발달의 자연스런 과정', '삶의 활력을 불어 넣을 수 있는 방법'으로 나타났다. 매우 교과서적이며 건전한 태도이며 인식이다. 그러나 이 결과를 정직하다고 믿는 사람은 많지 않을 것이다.
둘째는 한국의 대학생 집단이 받아온 성교육의 실정은 어떠한가?에 대한 문제이다. 이미 발표된 많은 통계에 의하면 이들은 성교육을 정규적으로 받았다기 보다는 친구나 매스컴, 더 솔직히 말하면 음란비디오를 통해서 성지식을 얻었다고 한다. 비단 대학생 집단 뿐만이 아니라 우리들 모두가 건전한 성교육을 받고 자라지 못한 것이 사실이다.
나는 우리나라 대학생 집단이 가지는 성에 대한 문제의 근본은 이상에 밝힌 두 가지 문제로 집약될 수 있다고 생각하고 있다.
이미 많은 연구 결과가 지적했듯이 어느 사회의 어느 집단에서나 일관된 성관은 존재할 수 없을 것이다. 특별히 우리나라는 유교적인 전통사회에서, 해방과 6·25전쟁을 계기로 외국 문화와 문물의 영향을 갑자기 크게 받아 커다란 사회적 변화가 일어나게 되었고, 1970년대 산업화로 사회학적으로 전통적 일원화 사회에서 민주적 다원화 사회로 이미 진입하였으나 실제로는 전통과 현대가 공존하고 있는 실정이다. 따라서 한국인이 가지고 있는 성관은 혼란스럽고 다중적이며 대학생 집단의 그것도 같은 양상임을 상담의 실례에서 많이 볼 수 있다, 이러한 실례는 오늘 발표된 '성상담의 실제'에 잘 나타나 있다.
재언급이 필요없이 우리나라 대학생들의 성에 대한 태도, 더 좁혀 지적하자면, '성관계'의 태도에 대한 실정은 불안전하고 탐색적이라고 요약될 수 있다고 본다. 이 점이 우리들 상담을 하는 사람들이 생각하고 연구해야 할 촛점이 아닌가 한다.
여기서 사족으로 한 가지 덧붙여 언급하고 싶은 것은 '한국인의 여성에 대한 태도'이다.
한국인의 여성에 대한 태도를 요인별,혼인 여부별, 연령별로 조사 분석한 연구의 결과 중에서 성관계에 관한 것을 인용하면,한국인은 성관계에서 가장 전통적인 관념을 가지고 있으며 여성이 남성보다 더욱 전통적 이며 보수적으로 나타났다.
더욱 흥미로운 것은 남성들은 자기와 직접 관계되는 여성 (아내, 누이, 딸 등)에 대하여는 지극히 보수적이면서도, 여타의 여성들에 대해서는 상대적으로 진보적이며, 때로는 무책임한 태도를 공공연히 취한다는 점이다.
또 한가지 덧붙이고 싶은 것은 여자 청소년(여기서는 '여자 대학생'이라는 용어 대신에 여자청소년,통념적으로 여자 중고등 학생의 통칭)의 성 행동이다. 일부 매스콤의 상술이기도 하겠지만, 여학생들의 '오빠 부대'의 노골적이고 적극적이며 맹렬한 성 행동의 표출은 무엇을 의미하며,여자 고등학생들의 '남녀 공학 선호'는 또 어떻게 해석할 것인가?
또한 여자 대학생들의 남자 대학생들에 호칭인 '형' 또는 '오빠'의 함축적인 의미는 무엇인가? 결혼한 새댁들 중에는 남편을 '오빠'라고 부르는 경우도 허다한 실정이고, 그들에게 그 호칭은 전혀 부자연스럽지 않다.
역시 기존의 많은 연구 결과가 지적한 대로 우리나라에서 현재 시행되고 있는 성교육에는 문제점이 너무나 많다. 부모들은 그 책임을 학교교육에 미루면서 회피하고, 학교는 학교대로 여러 가지 이유로 그 책임을 다하지 못하고 있다. 그런데,실제에 있어서,무엇이 올바른 성교육이어야 하는가에 대한 정확한 지침은 무엇인가? 이에 대한 정답은 존재할 수 있는 것이긴 한가?에 대한 논의도 우리들은 심각하게 하지 않으면 안 될 것이다.
마지막으로, 이상에 언급한 것과 관련지어서 현재 우리사회에서 심심치 않게 논의되는 '성폭력'에 대한 문제와 '성폭력 상담'에 대하여 우리들 대학에서 학생생활을 돕는 기관과 관계를 맺고 있는 사람들은 심각하고 진지하게 연구하여야 되리라고 제언하고 싶다.",김상태,1995,https://www.riss.kr/link?id=A1985549
상담관계의 두 가지 측면: 작업동맹과 실제관계,"본 연구는 상담 및 심리치료에서 상담자와 내담자가 형성하는 상담관계의 중요성이 강조되어왔음에도 불구하고 연구자와 실무자들이 상담관계에 대한 모호하거나 편협한 이해를 가지고 있다는 문제의식에서 출발한다. 특히 국내에서 이루어진 상담관계와 관련된 연구들은 상담관계의 한가지 특성으로 이해될 수 있는 작업동맹에 국한되어 있으며, 그 용어에 있어서도 작업동맹을 치료적 동맹, 혹은 치료적 관계라는 용어와도 혼용하여 사용해 왔다. 따라서 본 연구는 상담관계를 설명하는 이론적 측면 중에서 작업동맹과 실제관계에 대해 변별적으로 살펴보고자하였다. 이를 위해 작업동맹과 실제관계에 대한 개념, 연구동향, 그리고 상담실제에서 해당 개념들의 측정에 대한 항목으로 나눠 경험적 연구들을 고찰하였다. 이 과정에서 상담관계의 상담자-내담자 간 인식차이, 상담과정을 통한 상담관계의 발달적 특성이 상담성과에 미치는 영향, 그리고 작업동맹과 실제관계 간의 상호관련성 등을 함께 살펴봄으로써 상담관계에 대한 세분화된 이해를 높이고 상담자들을 위한 임상적 시사점을 도출하고 향후 연구를 위한 제언을 하였다.",최한나 ( Han Na Choi ),2010,https://www.riss.kr/link?id=A87025110
간편형 한국어 BFI(Big Five Inventory) 타당화 연구,"본 연구는 5요인 성격 특성을 측정하는 Big Five Inventory(BFI; John & Srivastava, 1999)에 기초하여 짧은 시간에 5요인 성격 특성을 측정할 수 있는 한국어 BFI를 개발하기 위한 목적으로 이루어졌다. 이를 위해 John과 Srivastava(1999)가 개발한 BFI 44문항을 번안하고, 청소년과 성인720명을 대상으로 검사를 실시하여 타당성을 검증하였다. 탐색적 요인분석 결과 한국어 BFI와 영문 BFI의 요인구조가 정확히 일치 하지는 않았다. 일부 문항의 제거과정을 거쳐 각 요인별 3문항씩 총 15문항으로 축약하였고, 축약된 15문항은 탐색적 요인분석과 확인적 요인분석을 통해 구인타당도를 검증하였다. 간편형 한국어 BFI의 수렴타당도와 준거타당도를 알아보기 위해 대학생 250명을 대상으로 NEO-FFI, 삶의 만족도, 우울, 진로결정수준, 학업성적과의 상관분석을 수행하였는데, 그결과15문항의 간편형 척도는 NEO-FFI와 모든 요인에서 의미있는 상관을 보였고, 나머지 준거변인들에서도 선행 연구 결과와 일관된 상관유형을 보였다. 간편형 한국어 BFI의 타당화는 피검자들의 시간적 효율성과 간편성을 확보해 주는 동시에 각 요인별 3문항이 충분히 5요인 성격특성을 측정할 수 있다는 점에서 의의가 있다.",김지현 ( Ji Hyeon Kim ),2011,https://www.riss.kr/link?id=A87025052
비폭력대화 모델에 기초한 집중형 의사소통 집단상담 프로그램이 대인관계 능력 및 대인관계 스트레스와 직무만족에 미치는 효과,"본 연구는 직장인을 위한 집중형 의사소통 집단상담 프로그램이 직장인의 대인관계능력향상, 대인관계스트레스 감소, 그리고 직무만족 향상에 효과가 있는지 검증하고자 하였다. 이를 위해 Rosenberg의 비폭력 대화 프로그램을 기초로 직장 내에서의 협력적 상호작용에 초점을 둔 직장인을 위한 의사소통 집단상담 프로그램(총 8회기, 총 16시간)을 구성하고 직장인을 대상으로 프로그램을 실시하였다. 프로그램을 실시한 처지집단(n=12명)과 실시하지 않는 대기자 통제집단(n=12명)에게 프로그램 실시 전, 프로그램 실시 후, 그리고 프로그램 실시 후 4주 후에 대인관계능력, 대인관계 스트레스, 직무만족도를 실시하였다. 프로그램의 효과를 분석한 결과, 처치집단의 대인관계 능력은 프로그램 직후에 향상되었으며, 이후에도 지속적으로 유지되었다. 둘째, 처치집단의 대인관계 스트레스는 프로그램 직후에 감소하였으며, 이후에도 지속적으로 유지되었다. 셋째, 처치집단의 직무만족도가 프로그램 실시 이후에 향상되었으며, 이후에도 지속적으로 유지되었다. 본 연구는 직장 내에서의 협력적 상호작용에 초점을둔 집중형 의사소통 집단상담 프로그램이 직장인들의 대인관계 능력을 향상시킬 뿐 아니라, 대인관계 스트레스를 감소시키고 더 나아가 직장 내에서의 직무만족도를 향상시키는 효과가있음을 경험적으로 확인하였다. 본 연구의 제한점과 향후 제안점을 논의하였다.",정경진 ( Kyung Gin Cheung ),2011,https://www.riss.kr/link?id=A87025051
