
대학 교양 글쓰기에서의 챗GPT 활용 사례와 학습자 인식 연구,"The purpose of this study is to confirm the possibility of using ChatGPT in college liberal arts writing education and to derive implications for the education field. To this end, cases of writing classes using ChatGPT were analyzed and the survey on learners' perceptions was conducted. In the liberal arts course of A university in Korea, an essay writing activity using ChatGPT was performed after subject-specific reading. A total of 62 learners decided on the guidelines related to the use of ChatGPT through discussion before writing the essay. From an analysis of the results after writing, text citation, prompt input, source verification, and revision were found, and educational implications were derived. In the subsequent survey, more than half of the learners positively recognized ChatGPT as a tool for saving writing time and improving process efficiency. It was also revealed that ChatGPT was most frequently used for idea generation and information gathering. However, learners pointed out problems concerning the quality, source, and credibility of the information. Therefore, education on the reinforcement ability to compare, contrast, judge, and synthesize information from various sources should be strengthened. In addition, clear and specific writing ethics standards and guidelines for the use of ChatGPT must be provided. This study has value as an empirical study using ChatGPT in college liberal arts writing activities.",오선경,2023,https://www.riss.kr/link?id=A108636724
윤리적이고 주체적인 글쓰기를 위한 지도 방안 연구－ 글쓰기 윤리 교육의 새로운 패러다임에 관한 모색,"Nowadays the majority of the university in Korea have opened writing classes as a compulsory subject and writing ethics became the essential chapter of it. But still many students made plagiarism with or Without dishonest intentions, and they seem to have difficulties to make innocent sentences when they quoted reference materials It’s because they only have been taught they must keep writing ethics, and nobody explains how to avoid it. So we should teach how to write ethically, as well as how to avoid plagiarism. This thesis give focus on the feasibility of writing ethics.
We can find 3 reasons for students’ doing dishonest behavior on writings, which are unethical intentions, careless writing, and bad manner for information on the internet. Among them, carelessness is the major reason for plagiarism. It means it could be very difficult to practice writing ethically, especially for students who are poor at writing. And we’ve known that Just learning the art of annotation and quotation isn't enough to conduct writing ethics. So the reminding writing ethics and teaching writing skill must run in parallel. In this thesis, we suggest various solutions for 3 cases.
First, unexpressive students with no sense of their theme require reading training and sentences practice together with learning quotation technique. Second, students with poor judgment need an ap propriate information retrieval in company with paraphrasing and summarization of it. Third, group activities are proved effectual for students with passive attitude toward learning, and in this case it is more important to encourage students to feel confident about it.
An incomplete understanding cannot draw to carry it into practice. So the aims to educate for writing ethics must be changed into concrete and empirical. Essence for teaching writing ethics need to shift from technique toward sensibility. We suggest Dignity and Collective Intelligence for new paradigms for instruction of ethical writing. Also it cannot be too useful to make various ethics-educational programs both inside and outside the writing class.",김지연,2017,https://www.riss.kr/link?id=A105323397
교육공동체 관점에서 본 교사-학부모 간 협력 과제 : 학부모의 교육관여를 중심으로,"The current study explores ways on how teachers and parents can develop active collaboration based on the discourse of educational community. Analyses on teacher-parent conflicts were conducted in light of four core values of desirable educational community; a) shared visions, b) democratic participation, c) collaboration and communications, and d) relational caring. Parent involvement was suggested as a practical vehicle for transforming current conflicts into sustainable and successful teacher-parent collaboration. Further, the present study examines areas and concepts regarding parent involvement, as well as, theories and prior studies on factors motivating parent involvement. Driven from the analyses, six intervention strategies were developed in order to help Korean parents participate into their children’s school education as independent and subjective members of educational community. Intervention strategies include the following: first, promoting dual and equal communication between teachers and parents; second, increasing school administrators‘ efforts for conflict mediation; third, respecting parental autonomy and uniqueness when participating into their children’s school education; fourth, providing education for teacher trainees on issues and coping strategies when collaborating with parents; fifth, emphasizing the significance of parental involvement activities reflecting core values of educational community; lastly, building partnerships among school(teacher), parents, and local community, which enhances mutual growth by sharing resources.",신혜진,2020,https://www.riss.kr/link?id=A106972931
스마트건설기술의 적용을 위한 건설안전 제도개선 연구,"The purpose of this study is to assess legal improvements needed for extended application of smart technologies in construction sites. To achieve the objective of this study, at first, a literature review is conducted to define the concept of construction safety. Secondly, the statistics of construction accidents are assessed and systems and policies for construction safety in developed countries are then analyzed. Also, the applicability of smart safety technologies in the field is examined through recent application cases of construction & related industries. Finally, institutional issues related to the application of smart technology are assessed and policy improvement directions are then introduced. As a result, additional development of smart technologies for small construction sites and continuous policy supports are required. This study will be used as a baseline data for the institutional improvement related to smart construction technologies for domestic construction sites.",박경수,2020,https://www.riss.kr/link?id=A107300233
교사에 대한 학부모 기대와 인식에 대한 고찰: 선행연구를 중심으로,"This study noted that the conflict between parents and teachers is caused by distrust of each other, which it may arise from due to differences between expectations and perceptions of each other. This study analyzed what parents' expectations and perceptions of school teachers were, focusing on previous studies. The results of the study were as follows. First, teachers expected by parents include ‘teachers who understand the characteristics of students well and satisfy individual needs’, ‘teachers with professional knowledge and skills’, and ‘teachers who communicate with parents in equal and partnership’. Second, teachers perceived by parents include ‘teachers who do not know students well’, ‘teachers who do not help students’, and ‘teachers who want parents' help but dislike to interfere.’ The results indicated that there is a significant gap between parents' expectations and perceptions of teachers. Based on the results, discussion for parent-teacher cooperation and suggestions for future research were presented.",황성희,2022,https://www.riss.kr/link?id=A108208000
대학 신입생의 대학생활적응 척도 개발 및 타당화,"The purpose of this study is to develop the college life adjustment scale, which reflected cultural characteristics of college freshmen education in Korean university and to validate the scale. For these purposes the study first extracted preliminary constructs of college life adaptation by reviewing related research and analyzing existing scales. The college life adjustment scale tool which was constructed by looking into previous studies and going through expert’s content validity test and pilot test was used to collect data from 1,289 university freshmen. The reliability of the final scale was tested using Cronbach’s alpha coefficients and the construct validity was examined through exploratory factor analysis(EFA) and confirmatory factor analysis(CFA). The result of exploratory factor analysis presented the scale of 64 items from 5 construct and 16 factors: academic adjustment(basic learning abilities, self-directed learning, learning management), social adjustment(student-student relationship, professor-student relationship, academic-social activities, social support), environment adjustment(university satisfaction, major satisfaction, home/economic environment), emotional adjustment(self-identity, self-efficacy, self-emotional control ability), and career adjustment(major-desired career match, career decision-making, career preparation behavior). The reliability coefficient of the scale shows high internal consistency coefficient. The fit indices from confirmatory factor analysis also showed the structural goodness of suggested constructs in the scale. The overall analysis confirmed that the college life adjustment prediction tool was congruent.",김광현,2016,https://www.riss.kr/link?id=A104847293
조망경관 보호를 위한 건축물 높이제한의 쟁점과 준거기준설정방안,"The purpose of this study is to supplement the existing frame of system that controls
uniformly the height of the area, and to find the proper height that will make city harmonious with surrounding area. The results of analysis are as below;
First, the result of 'evaluation by recognition for the city space structure' shows that, because rather the 'space' and 'harmony' of structure than 'height' or 'size' of it has governing effect on evaluation of scenery.
Secondly, the result of 'visual satisfaction test by the height of structure' shows that, in case of Shinsekye Department Store, the overall scenery evaluation was most preferred when the height was 21m and the satisfaction level has dropped largely when it is 27m or higher.
Third, the simulation on the form change of structures is also focused on the same landscape. In case of main structure by space and harmony that are major factors of scenery evaluation, only space shows the difference in satisfaction. Therefore, it is needed to consider carefully the shape of structures.",安在洛,2000,https://www.riss.kr/link?id=A3005963
‘변혁적 역량기반(Transformative Competencies)’ 미래지향적 교육설계방안,"With the development of information technology, society is changing at rapid pace. Add to this the accelerating movement towards globalization, and it becomes quite difficult for experts, let alone educators, to make predictions about the world’s future. Not surprisingly, the demand for competency-based education is rapidly increasing, for societies are requiring more and more competent people, who are not only capable of adapting to this rapid change, but of improving their societies as they do so. Moreover, competency education is continuously evolving along with these various social changes, and while movements to construct competency education are also being actively promoted and developed in universities, small gaps still exist between the competency education that is currently being constructed, and the competency training that has been recently pursued. In light of this, attempts have been made to provide the theoretical and practical plans needed for educational designs that are based on the ‘transformational competency-based education’ of the OECD; the very plans that recently appeared when educators were designing competency based education for their respective universities. This study looked into the major flow (what does ‘flow’ refer to?) of competency-based education, and analyzed the academic concepts of the transformational competency-based education that is currently progressing in universities. After learning certain theories in regards to transformational competency-based education, this study deduced some educational design elements based on constructivism, and proposed some educational plans that can be applied to actual environments.",설연경,2020,https://www.riss.kr/link?id=A106929870
"지능 자동화 시대, 탈-노동의 의미와 교양교육의 가치","This article discusses about the meaning of post-labor and the value of liberal arts education in the era of intelligent automation, where the value of human labor and knowledge is changing. In particular, it examines the nature of Automatic Society based on digital information technology and the conditions of human life from the perspective of French technology philosophers Simondon and Stiegler. Based on this, the article reveals the importance of liberal arts education as a new life ‘ars’ in the post-labor society that will come with artificial intelligence. Simondon's technical mentality and technical culture reveal a new model of post-labor existence that enables people to organize their work and public activities alongside AI, rather than in competition with it. Stiegler embodies Simondon's outlook by calling for a transformation of the crisis of labor and spirit caused by the algorithmic governmentality of Automatic Society into an opportunity for the invention of new kind of knowledge and work. The era of intelligent automation shifts the paradigm of life from labor productivity and expertise to post-labor and liberal arts. We need to cultivate life ‘ars’ so that the time freed from labor due to automation can be used to take care of our own lives and the lives of others, inherit our cultural traditions, and produce new values. Liberal arts education should move toward fostering digital literacy with a humanistic outlook in order for us to understand the human condition of living in an automated technological environment and to discover the value of the human spirit and the meaning of human life.",김재희,2023,https://www.riss.kr/link?id=A108731921
지속가능발전교육을 위한 지역사회 문제해결 중심 PBL 수업의 효과성 연구,"This study aims to reveal the effectiveness and significance of PBL classes through the analysis of a PBL class case centered on community problem solving for education for sustainable development. This study utilized a case study of a PBL class in the course “Reading the World Made with Empathy,” which was designed under the theme of the 11th goal of the SDGs, “Sustainable Cities and Communities,” as a tool for analysis. The learning goal of the PBL class is to cultivate ESD core competencies through community problem solving project activities.
The results of the t-test for the evaluation of ESD core competencies showed a significant difference in the mean values of competencies before and after the training, which proved that ESD core competencies improved after the training. There are three aspects of significance in the evaluation of reflection through the analysis of reflection records. First, through team activities of cooperation and feedback, the cognitive capacity of interconnectedness to relate local issues to oneself was expanded. Second, social responsibility and socio-emotional competencies were cultivated through field trips to allow for the students to deeply empathize with local issues and to get a sense of solidarity with the community. Third, the motivation and willpower to cultivate problem-solving skills and practical action capabilities were enhanced by deriving the results of the S-VALLEY project, which solved practical problems for the sustainable development of the region.
Therefore, this community problem solving oriented PBL class is expected to provide meaningful implications for the expansion of ESD in universities and the development of practical education programs in terms of fostering the core competencies pursued by ESD and by encouraging participation and action in community activities.",김미경,2023,https://www.riss.kr/link?id=A108636729
