
기후변화와 실내농업의 미래,"최근 급격한 기후변화로 인한 전 세계 식량 공급 문제가 큰 이슈로 대두되고 있다. 지난 40년간 전 세계 평균기온은 약 0.8°C 높아졌으며, 우리나라 역시 약 2.4°C 증가한 것으로 보고되고 있다. 농업환경에서 1°C의 기온변화는 작물 생산량에 있어 매우 큰 의미를 가지며, 이미 국내ㆍ외 농작물 생산량에 영향을 주고 있다. 기온이 5°C까지 상승하게 되면 해충 서식지 확대 및 고온에 의한 생육 스트레스 증가로 인해 쌀 생산량이 약 15% 감소하여, 우리나라를 포함한 쌀을 주식으로 하는 국가에서는 큰 문제가 될 수밖에 없다. 기후변화에 대응한 농업의 3대 키워드는 탄소저감 기술적용과 더불어 ① 지속 가능한 수익 창출, ② 후속 농업세대의 스마트한 노동, ③ 소비자 맞춤형 친환경 농업으로 정리할 수 있다. 실내농업은 기후변화에 따른 영향이 최소화된 연중 생산체계 확립을 통한 수익 안정성 및 다단 재배를 통한 수량성이 동시에 확보된 지속 가능한 농업 시스템으로, 노동친화적 작업환경 제공을 통한 스마트한 농작업이 가능하며, 또한 無농약, 無GMO, 無오염 조건에서 생산된 안전한 친환경 농산물을 소비자에게 제공할 수 있는 ‘지속 가능한 농업’이라 할 수 있다. 스마트팜은 기존의 노지농업에서 정보통신기술(ICT)을 접목한 새로운 농업의 형태로서, 온실형(Greenhouse type)과 실내형(Indoor type)으로 분류된다. 온실형은 자연광을 활용하는 형태이며, 수직농장(Vertical Farm, 식물공장)이라 불리는 실내형은 LED를 이용한 인공광이 적용된 스마트팜이다. 스마트팜 개념은 1960년도에 우주선 내에서 채소를 재배하기 위한 목적으로 개발되어 현재의 형태로 발전되어 왔다. 싱가포르의 경우, GDP 대비 농업 비중은 약 0.2%에 불과하고 식량의 90%를 수입에 의존하고 있는 실정으로, 기후변화의 대응과 함께 식량안보의 중요성을 인지한 싱가포르 정부는 생산기술 향상을 통해 2030년까지 식량자급률을 30%까지 확대하는 이른바 ‘30-by-30 PLAN’을 2019년부터 추진 중에 있고, 정책의 핵심에 바로 스마트팜이 있다. 이와 더불어 2030년까지 스마트팜에 대대적인 투자를 예고한 바 있다. 국내 기술로 남극 세종과학기지에 구축한 컨테이너형 스마트팜(Container Farm)은 남극의 혹독한 기후를 극복하기 위해 기존 컨테이너에 보온ㆍ단열기능을 강화하고 내부에 작물 재배시스템을 설비한 것으로, 양상추 등의 잎채소뿐 아니라 토마토와 같은 과채류까지 동시에 재배할 수 있는 세계 최초의 컨테이너팜이다. 시설 내부에는 통합관제시스템, 원격모니터링시스템 및 원격제어시스템이 구비되어 있으며, 농촌진흥청에서 작물재배 상태를 원격으로 실시간 모니터링하고 있다. 컨테이너형 스마트팜은 중동, 몽골, 러시아, 카자흐스탄, 동남아시아 등 해외 수출이 활발히 이루어지고 있는데, 수입국의 특징은 아주 덥거나 추운 날씨로 인해 일반적인 농업체계로는 정상적인 농작물 생산이 힘든 지역이다. 컨테이너팜을 포함한 실내형 스마트팜은 기후환경이 좋지 않은 곳에서 농업이 가능하도록 개발, 적용한 모델이라 할 수 있다. 국내에서도 다양한 형태의 스마트팜이 보급되고 있다. 대량생산을 위한 실내형 스마트팜은 수익성을 최우선으로 하는 대규모 기업형 스마트팜으로 강원 태백, 양양, 원주, 전남 무안, 충북 괴산, 전북 익산 등에 구축되어 매일 수백 kg씩 채소를 생산하여 안정적인 수익을 내고 있다. 보급형 스마트팜은 주로 도시 외곽 농촌 지역의 수직농장으로 겉으로 보기에 비닐온실처럼 보이지만 내부는 밀폐형 수직농장이다. 6층 다겹 소재로 특수 제작된 비닐온실이며, 혹서기나 혹한기에도 외부 기후에 거의 영향을 받지 않고 저렴한 가격으로 수직농장을 구축할 수 있는 보급형 스마트팜이다. 현재 F&B 연계로 브랜드 가치를 제고하는 수직농장도 많이 구축되고 있는데 서울 지하철 역사, 이케아, 부산 고래사 등 인테리어까지 겸하면서 직접 재배한 채소를 소비자에게 공급하고 있다. 교육용 수직농장으로 학교 여유 공간을 활용하여 농업 및 원격 제어 프로그램 교육을 실시하고 급식용 채소를 직접 재배하여 이용하기도 하며, 수직농장의 쾌적 환경에서 장애인 등 사회적 취약계층에 대한 고용 창출도 이루어지고 있다. 최근에는 아파트 유휴공간에 스마트팜 시설을 구축하여 입주민에 대한 공동복합시설로 운영하고 있는 상황이며, 현재 여러 건설회사에서 스마트팜 솔루션을 제공하고 있다. 플랜테리어(Planterior) 개념을 적용한 인테리어용 스마트팜 역시 활성화되고 있으며, 집에서 직접 식물을 재배하며 수확할 수 있는 가정용 소형 스마트팜도 활발히 보급되고 있다. 스마트팜은 기후변화에 적응한 지속 가능 미래농업의 최종 형태로 볼 수 있다. 지구온난화 예방을 위해서는 탄소가스 배출 감소가 필수적이며, 도시형 스마트팜은 친환경 농산물을 생산한다는 점과 함께 생산자와 소비자간 직접 거래를 통한 유통비용 및 물류비용 절감을 통해 탄소 발생도 저감되는 간접 효과가 있다. 최근에는 수소연료발전, 태양광 발전 등 청정에너지와 연계된 스마트팜 개발도 구체화되고 있어, 앞으로 스마트팜이 지구온난화를 방지하고 안정적인 식량을 공급하는 미래농업에서 중심적인 역할을 할 것으로 기대한다.",강대현(Daehyun Kang),2021,https://www.riss.kr/link?id=A107887826
꿀벌의 월동 폐사와 실종에 대한 기온 변동성의 영향,"전 지구 온난화를 배경으로 우리나라 지역의 기후 변화가 어떠한 위치에 있는지를 이해하는 것이 중요하다. 우리나라는 전 지구 온난화 속도 이상으로 온난화가 진행 중이며, 온난화 상황에서는 기상 변동성이 커진다. 이러한 상황에서 최근 발생한 꿀벌의 집단 폐사와 대량 실종이 기온 변동성과 어떠한 관련성이 있는지를 꿀벌의 월동 준비 및 산란시기에 대하여 기상학적으로 살펴본 결과는 다음과 같다. 1) 꿀벌 집단 폐사나 대량 실종에 대한 기상학적 요인 분석을 위해서는 계절 평균보다는 일별 단위의 상세한 기온 분석을 바탕으로 수행하는 것이 도움이 되었다. 계절 전체에 대한 장기간 대상 분석은 그 안에서의 단기적인 기온의 증감을 확인하기 어려웠다. 2) 꿀벌의 생태와 관련하여 2021년 10월 겨울벌 생산시기와 겨울 (12월) 월동봉구 형성시기에 대하여 기온의 변동성을 분석한 결과, 전남 지역의 경우 (특히 영암군), 10월 10일까지 “이상고온” 현상을 겪다가 10월 17일에 기온이 급강하하는 “이상저온” 현상을 연이어 받아서, 극적인 기온 변화가 발생하였으며 (Fig. 7), 이로 인해 월동을 위한 겨울벌 생산에 차질이 생겼을 가능성이 뚜렷이 확인되었다. 3) 2021년 11월~12월 초에 평균기온이 12℃ 이상이 3일 이상 발생하여 (Fig. 9), 월동봉군에서 산란이 시작되어 겨울벌 수명이 단축되었을 가능성도 확인되었다. 4) 2022년 1월과 2월에 이상고온/한파 현상은 (Fig. 11) 꿀벌의 외출 및 미복귀로 인한 대량 실종 가능성을 제시해 주었다. 이상의 특징들은 다른 관련 지역들에서도 확인이 되었다(부록).",이승재(Seung-Jae Lee),2022,https://www.riss.kr/link?id=A108287444
"양극화 문제, 어떻게 이해하고 대응할 것인가?","○ 근래 양극화 문제가 세계적 현상이 되고 우리나라에서도 가장 중요한 정책문제가 되고 있으나, 100년 전 미국에서도 경제성장의 과실이 소수 부유층에 집중되어 대공항 직전 상위 1%가 총 국민소득의 19% 이상을 차지하였다.

○ 대공항은 이러한 소득불평등에 의한 소비부진 때문이라는 진단 아래 프랭크린 루즈벨트 대통령은 노동자 권한을 강화하고, 법인세 기준세율은 31%로, 개인소득세의 최고세율은 88%로 인상하는 등 강력한 재분배정책을 시행하였다.

○ 이러한 노력의 결과 상위 1%의 소득비중이 1945년에는 7.4%로 감소하여 소득분배가 대폭 개선되었으나 1970년대에 이르러 생산성 정체와 경기침체 현상이 나타났다.

○ 그것은 재분배정책으로 기업 및 노동 의욕이 상실되었기 때문이라는 진단 아래 레이거노믹스와 대처리즘으로 대변되는 신자유주의 정책이 등장하였고, 1980년대 이후 세계적 경제호황을 구가하였으나 금융위기 직전인 2007년 상위 1%의 소득비중이 23%를 넘어설 정도로 소득불평등이 심화되었다.

○ 경제적 불평등은 자본주의체제에서 피할 수 없는 결과이고 개인의 성취 욕구를 자극하지만 그 정도가 너무 지나치고 더욱이 불공정 경쟁이 가미되면 소비가 위축되고 사회적 갈등이 깊어져 방치할 수 없는 문제가 된다.

○ 따라서 양극화문제를 둘러싸고 보수와 진보가 대립하기보다 공감의 정신과 역지사지의 입장으로 돌아가 조화를 모색할 때 비로소 해법이 보일 것이다.

○ 한국은 1998년 외환위기 이전까지 성장-고용-분배의 선순환이 이루어져 왔으나 외환위기 이후에 양극화가 심화되어 경제발전의 걸림돌이 되고 있다.

○ 따라서 수출 대기업 주도의 성장유형을 내수 및 중소기업의 성장기여도가 큰 유형으로 전환시키고, 비정규직의 차별을 해소와 주주배당 증대로 소비를 증대시켜야 하고, 대기업과 중소기업의 상생적 협력관계를 강화하는 경제민주화도 중요하다.",이경태,2014,https://www.riss.kr/link?id=A100066719
생태계교란식물 가시박의 발생특성과 관리방안,"환경부에서 지정한 생태계교란식물 중의 하나인 가시박은 1960년대 미국 군수물자와 같이 우리나라에 유입된 것으로 추정하고 있다. 이 가시박은 강변이나 수로 등을 중심으로 번식하고 확산되고 있다. 가시박이 하천변에서 많이 발생하는 관계로 사람 접근이 쉽지 않아 효율적으로 관리할 수 있는 방법들이 제한적이다. 가시박은 종자로 번식하는 일년생 잡초이지만, 일 년에 최대 8 m까지 자라는 덩굴성으로 주변 식생을 덩굴로 덮어 서서히 고사시켜 종 다양성을 떨어뜨린다. 가시박은 하천변에 주로 발생하여 제초제 사용이 어렵다. 따라서 가시박의 발생과 확산 억제를 위해 어릴 때 뿌리를 뽑거나 줄기를 자르는 방법, 혹은 종자가 맺히기 전에 덩굴을 제거하는 법이 유효하나 그 효과는 낮다. 비농경지에 발생한 가시박은 경우에 따라 선택적으로 제초제를 사용하는 방법도 고려되어야 한다.",이인용(In-Yong Lee),2021,https://www.riss.kr/link?id=A2115284
현실요법을 도입한 원예치료가 초등생 어머니의 우울 감소와 스트레스 대처방식 및 부모효능감 변화에 미치는 영향,"현실요법을 적용한 원예치료 프로그램이 아동의 발달과 관계된 어머니의 내면 변인 중 우울과 스트레스 대처방식 및 부모효능감에 미치는 영향을 알아보고자 실시하였다. 연구의 대상은 경기도 고양시에 위치한 ○○초등학교에 다니는 아동을 둔 어머니로 대상자수는 실험군 10명과 대조군 14명이며, 2006년 4월 17일부터 6월 8일까지 주 2회식 총 15회에 걸쳐 실험군에게 현실요법을 적용한 원예치료 프로그램을 실시하였다. 원예치료 프로그램은 현실요법 상담단계에 기초하여 want-doing-evaluation-plan단계로 구성하여 적용하였다. 평가도구로 부모효능감 척도, 우울 척도, 스트레스 대처방식 척도를 사용하여 평가하였다. 원예치료 실시 후 실험군에서는 대조군에 비해 우울 감소와 스트레스 대처방식 중 문제중심 스트레스 대처방식의 증가 및 부모효능감의 한 하위영역인 부모로서의 유능감 향상에 유의한 변화가 있었다. 그러나 부모효능감의 다른 하위요인인 부모로서의 불안감과 부모로서의 흥미와 관심은 유의한 변화가 없었고, 스트레스 대처방식 중 정서중심 스트레스 대처방식에도 유의한 변화가 없었다. 한편 대조군에서는 부모효능감, 우울, 스트레스 대처방식의 모든 항목에서 유의한 변화가 나타나지 않았다.",황현정(Hyun-Jung Hwang),2007,https://www.riss.kr/link?id=A105271420
"막걸리의 총페놀, 총플라보노이드 및 항산화능 비교 분석",국내산 막걸리 10종의 생리활성 및 기능성 효과에 대한 기초 정보를 제공하고자 하여 막걸리의 총페놀 함량， 총플라보이드 함량， ABTS와 DPPH 라디칼을 이용한 항산화능을 측정하였다 그 결과 총페놀 함량은 42.6 mg OAE/100mL로 인삼을 첨가한 I 막걸리가， 총플라보노이드 함량은 2.4 mg CE/1 00 mL로 복분자를 첨가한 G 막결리가 가장 높게 나타났으며， 항산화능 측정에서는 ABTS는 35.0mg VCE/100mL로 더덕을 첨가한 F 막걸리가， DPPH는 10.3mg VCE/l00mL로 복분자를 첨가한 G 막걸리가 각각 가장 높게 나타났다. 약용식물이나 과실을 첨가한 막걸리가 첨가하지 않은 막걸리에 비해 총페놀 함량， 총플라보노이드 함량， 항산회능에서 좀더 높게 나타났으며， 플라보노이드 함량이 높은 것일수록 DPPH를 이용한 항산화 효과가 높게 나타났다 .,이봉한,2010,https://www.riss.kr/link?id=A107996913
"생태계교란식물인 돼지풀, 단풍잎돼지풀, 환삼덩굴의 발생특성과 관리","생태계교란야생식물 16종 중 꽃가루를 날려 인축에 피해를 주는 잡초는 돼지풀, 단풍잎돼지풀, 환삼덩굴 3종이다. 이들 3종에 대한 분포, 발생생태, 생태계 위협과 관리방법을 확인하였다. 이들 잡초는 전국의 모든 곳에서 발생하며, 거의 비농경지에 발생하기 때문에 경종적인 관리방안을 제시할 수는 없었다. 물리적인 관리방안으로는 뿌리채 뽑는 것과 생육 중 줄기 절단방법 등이 우선적이었다. 제초제를 사용하는 화학적 관리방안은 다양하였다. 이들 3종은 토양처리제보다는 비선택성 제초제인 glyphosate를 처리하거나, glyphosate와 2,4-D 또는 glyphosat와 dicamba를 혼용살포하는 방법이 추천되었다. 그러나 glyphosate 연용으로 저항성 잡초를 발생시키거나 주변의 비표적식물에게 피해를 줄 수 있는 등 또 다른 생태적 문제를 유발할 수 있으므로 가급적 비선택성 제초제 보다는 옥신계 등 비표적 식물에 미치는 영향이 적은 제초제 사용을 추천한다. 특히 제초제에만 의존하기 보다는 생육초기에 물리적방법을 적극 결합한 종합적관리 방안이 다각도로 모색되어 추진되어야 할 것으로 사료되며, 환경에 보다 안전한 생물학적 방법에 대한 지속적인 연구가 필요하다.",이인용(In-Yong Lee),2021,https://www.riss.kr/link?id=A107974732
기후변화와 식량위기 대처: 대한민국이 나아 갈길,"기후변화의 주범은 우리 인간이다. 경제발달을 시키고 편안한 생활을 위해 발전하고, 농약의 과다 사용으로 식량증산을 시키다 보니 지구상에 사는 모든 생물에게 직접적인 피해를 주는 기후변화를 초래했다. 지구를 지키기 위해 코펜하겐에서 각국 정상들이 모여서 자기나라들의 기후변화 대처를 선언했다. 이산화탄소 배출 1, 2, 3국인 미국, 중국, 인도는 힘겨루기라도 하듯 이산화탄소 감축 숫자만 제시 했다. 우리나라도 개도국의 선진주자로서 녹색성장 정책과 실천과제를 발표했다. 기후변화 주범은 자동차, 제철소와 다른 산업화에 의한 이산화탄소의 배출, 벼농사와 가축들에 의한 매탄가스 방출 등이다. 축산패수에 의한 하천과 지하수 오염도 큰 몫을 하고 건강을 해친다. 동계기간 사무실과 아파트에 선진국에서 보다 더 높은 따스함을 즐기고 있다. 풍력과 태양열을 생산하는 중소기업이 원천 기술력의 미약으로 큰 곤궁에 빠진다는 보도도 있다. 지속가능한 생물 연료 원천기술 개발을 서둘러야 한다. 미국의 예를 보라. 제주도와 경상도에서 나타난 옥수수 보통녹병 (Common rust caused by Puccinia sorghi)은 기후변화가 주원인이라고 생각된다. 인기리에 재배되고 있는 국내 외 품종들이 새로운 병에 아주 약하다. 옥수수에서 나타난 새로운 병이 벼 등 주요 농작물에도 나타날 수 있고 세계 어디든 문제가 될 수 있다. 에너지를 절약하기 위한 모든 국민들의 노력과 식량증산을 국제 경제적 으로 발전시킬 의무가 우리 모두에 있다.",김순권,2010,https://www.riss.kr/link?id=A76225621
기내 배양된 반하의 전기영동에 의한 생약학적 연구 1,반하의 조직부위별 배양기간에 따른 단백질 및 4종의 중요 효소에 대한 전기영동적 특성이 비교연구 결과는 다음과 같다. 1. 각 조직 유내 Callus의 단백질 pattern 은 야생식물체 각 조직과 현저한 차이가 있었다. 2. 각 조직 유내 Callus의 Esterase isozyme pattern은 야생 식물체 각 조직과 뚜렷한 차이가 있었다. 3. 각 조직 유내 4주 배양 Callus의 GOT isozyme pattern은 야생식물체 각 조직과 비슷하였으나 배양 8주 Callus에서는 분자량이 큰 새로운 isozyme band 1개가 출현하였다. 4. 각 조직 유내 4주 배양 Callus의 Peroxidase isozyme band pattern 에서는 야생식물체 총 기관에서 출현했던 1개의 분자량이 작은 band 가 나타나지 않았다.,崔定植,1988,https://www.riss.kr/link?id=A82692916
바이오매스(Biomass)에 대한 EU의 논의와 시사점,"I. 서론 II. 바이오매스(Biomass)의 개념, 역사 및 중요성 III. EU의 바이오매스 전략 및 관련 연구 IV. 국내 바이오매스 정책, 연구 및 특징 V. 시사점 및 결론",신일순(Ilsoon Shin),2018,https://www.riss.kr/link?id=A107878052
