
숲길 맨발 걷기의 효과 검증,"본 연구는 숲길 맨발 걷기의 건강 증진 효과를 알아보기 위해 수행되었다. 맨발 걷기의 급증으로 인해 흙길 복원 및 조성이 확산하는 추세에서 숲길 맨발 걷기의 실질적인 효과를 검증하고자 하였다. 실험연구와 조사연구로 구조화하여, 실험을 통해 숲길 맨발 걷기가 스트레스와 혈관 건강에 미치는 영향을 살펴보았고, 설문조사를 통해 숲길 걷기 양상과 심리적 행복감에 대해 알아보았다. 실험은 수도권에 거주하는 중년 여성 18명(맨발 집단 9, 신발 집단 9)을 대상으로 2022년 5월부터 6월까지 4주간(8회) 진행하였으며, 실험 전후에 지각된 스트레스(PSS) 2회, 실험 동안 맥파 측정기를 이용해 생리적 스트레스 지수와 혈관 건강지수를 5회 측정하였다. 설문조사는 숲길을 걷는 성인 305명(맨발 153, 신발 152)을 대상으로 2022년 8월부터 11월까지 전국의 6개 숲길에서 진행하였으며, 걷기 양상과 심리적 행복감을 설문 조사하였다. 모든 자료는 SPSS 18.0 프로그램으로 분석하였다. 분석결과, 실험에서 두 집단 모두 혈관 건강지수가 유의미하게 감소하였고, 신발 집단보다 맨발 집단의 감소 효과가 더욱 크게 나타났다. 또한, 설문조사에서도 신발 이용객보다 맨발 이용객이 심리적 행복감을 더 강하게 경험하는 것으로 나타났다. 이러한 결과는 숲길 맨발 걷기가 신발 걷기보다 혈관 건강과 심리적 행복감에 더욱 긍정적인 영향을 미친다는 것을 알 수 있다.",정현조,2023,https://www.riss.kr/link?id=A108530585
산림복지 정책과 커뮤니티케어의 연계 활성화를 위한 산림복지 종사자 그룹 간 인식 차이 분석,"본 연구는 제6차 산림기본계획(2018)에 제시된 ‘일상 속 산림복지체계 정착을 위한 지역사회 및 사회보장제도와의 연계’라는 정책적 목표(top-down)에 대한 산림복지 분야 종사자들의 구체적인 의견(bottom-up)을 검토하기 위해 수행되었다. 이를 위해, ‘산림복지 정책과 커뮤니티케어(community care)의 연계 활성화’를 주제로 중앙부처(산림청-산림복지국) 공무원과 현장전문가(산림치유지도사) 그룹을 대상으로 설문조사를 수행하였다. 설문지는 일반 설문지와 AHP 설문지로 구분하여 작성하였으며, AHP 설문지는 사회복지 정책분석에 널리 활용되는 Gilbert and Terrell의 분석틀을 활용하여 구성하였다. 일반 설문은 두 그룹의 응답자 총 58명의 응답내용을 IBM SPSS Statistics 프로그램을 활용하여 그룹 간 응답에 통계적으로 유의한 차이가 있는지 검토하였고, AHP 설문조사는 총 57명의 응답내용을 Microsoft Excel 프로그램을 활용하여 분석하였다. 연구의 결과를 요약하면 다음과 같다. 일반 설문조사에서는 중앙부처(산림청 산림복지국) 공무원 그룹과 현장전문가(산림치유지도사) 그룹 모두 커뮤니티케어에 대해 잘 알지 못하고 있으며, 현재 산림복지 정책과 사회복지 정책의 연계가 잘 이루어지지 않고 있다고 인식하고 있는 것으로 나타났다. 그러나 이러한 현실에도 불구하고, 두 그룹 모두 산림복지 정책과 사회복지 정책의 연계 필요성에 대해 강하게 공감하고 있는 것으로 나타났다. AHP 설문결과로서, 1계층에서는 두 그룹 모두 ‘재원’의 상대적 중요도와 우선순위가 가장 높은 것으로 나타났다. 2계층의 서비스 대상자 선정방법에 대해 현장전문가(산림치유지도사) 그룹에서는 ‘이용자집단의 공통적 욕구’를 고려하는 일이 가장 중요하다고 인식하고 있으며, 중앙부처(산림청 산림복지국) 공무원 그룹에서는 ‘자산조사 및 진단적 구분’을 고려하는 일이 가장 중요하다고 인식하고 있는 것으로 나타났다. 서비스 지원형태는 두 그룹 모두 ‘프로그램’이 1순위를 차지한 것으로 나타났다. 또한 두 그룹 모두 서비스 전달에 있어서 중앙정부와 지방정부 그리고 공공ㆍ민간부문 공동의 역할이 모두 고르게 중요하다고 인식하고 있는 것으로 나타났다. 마지막으로 재원을 마련하는 방법에 있어서 두 그룹 모두 ‘공공재정(국비)’를 가장 중요하게 인식하고 있는 것으로 나타났다.",염동걸,2023,https://www.riss.kr/link?id=A108294736
"비용 효율적 표준지 조사를 위한 표본추출방법 비교 사례연구: 임의추출법, 계통추출법, 선상추출법을 중심으로","본 연구는 경상북도 봉화군 춘양면 애당리 수확 벌채 지역을 대상으로 다양한 표본추출방법을 적용하여 재적을 산출한 후 실제 벌채량 및 설계서상의 재적 값과의 비교를 통해 보다 정확하고 비용 효율적인 표본추출방법을 제시하고자 수행하였다. 연구에 사용된 표본추출방법으로는 1) 임의추출법, 2) 계통추출법, 3) 선상추출법을 적용하였으며, 각 표본추출방법별로 이동시간, 추정된 재적평균의 표본 오차율, 조사시간, 조사원 규모, 시간당 임금, 표본점 개수 등을 이용하여 표본추출방법에 대한 산림조사의 비용 효율성을 분석하였다. 각 표본추출방법별로 10개의 표본점을 추출하였으며, Bootstrap 기법을 이용하여 표본 강도의 타당성을 검증하였다. 분석결과, 선상추출법이 임의 및 계통추출법보다 실측된 재적 값과의 재적 편차가 상대적으로 가장 적은 것으로 나타났고, 산림 조사 비용 측면에서는 목표 표준오차율에 상관없이 임의추출법을 활용한 산림조사가 조사비용이 가장 낮은 것으로 나타났다. 본 연구결과에 따르면, 선상추출법과 임의추출법을 통한 산림조사 방법이 계통추출법을 이용한 방법보다 비용 효율적이며 재적의 정확도가 높은 것으로 나타났다. 하지만 사례 연구의 특성상, 연구에서 분석된 결과의 일반화에는 한계가 있어, 향후 국내의 다양한 지역을 대상으로 동일한 방법의 연구가 진행된다면, 국내 산림의 환경적 특성을 반영한 표본추출방법이 제시될 것으로 기대된다.",박주원 ( Joowon Park ),2020,https://www.riss.kr/link?id=A108394368
중국 사막화 방지의 현황과 대책,"중국은 세계적으로 사막화면적이 넓고 분포지역이 광범위하며 피해 정도가 심각한 국가다. 토지의 황폐화와 사막화는 사막지역 주민의 생업과 생활에 영향을 미칠 뿐 아니라 지역경제발전을 저해하고 민족단결과 사회안정을 해친다. 사막화가 심각한 지역에서는 주민이 정든 고향을 떠나는 ""생태난민""까지 발생하고있다. 그 동안 장기간에 걸쳐 노력을 기울인 결과 사막화 방지사업이 좋은 성과를 거두었으며 사막화의 확산 추세를 억제하고 ""훼손이 방지를 앞지르는"" 상황에서 ""방지와 훼손이 균형을 이루는 단계""로 전환되었다. 그러나 사막화 방지사업은 여전히 매우 힘들고 복잡하며 지역적으로 편중되어있고 효과가 미약하며 불확정적이기 때문에 아직 상황을 낙관할 수 없다.""방지와 훼손이 균형을 이루는 단계""의 사막화 방지사업이 성공하려면 정책수립과 체제혁신이 시급하다.",바이지엔화,2006,https://www.riss.kr/link?id=A108530590
목질바이오매스를 이용한 액체(수송용) 에너지 이용과 개발 동향,"수송용 연료로서 국내외적으로 목질바이오매스가 요구되는 배경과 목질계 바이오연료에 대한 기술개발을 조사한 결과 다음과 같은 결론을 얻었다. 첫째 목질바이오매스로부터 생산되는 수송용 바이오연료는 현재 미국 등지에서 상용화되고 있는 곡물(옥수수)에탄올에 비해 지속가능한 원료공급이 가능하고, 온실감소효과가 크며, 농산촌의 지역경제 발전 등 유리한 점이 많아 제2세대 수송용 연료로의 가능성이 매우 큰 것으로 고찰되었다. 둘째, 미국, EU 및 일본 등은 자국의 국가 에너지 안보를 위해 국산원료를 사용한 에너지 국산화와 온실가스 감축의 도구로 바이오에탄올 사용을 늘이고 있고, 공격적인 시장개발에 나서고 있다. 주요 선진국의 이러한 움직임은 전 세계 에너지 시장에 크게 영향할 것으로 고찰되었다. 셋째, 수송용 바이오연료의 주요 원료는 장기적으로 비식량 원료인 목질계 바이오매스일 것으로 전망되었다. 넷째, 목질계 수송용 연료에 대한 국내외 기술개발로드맵을 분석한 결과 미국과 일본은 바이오에탄올에, EU는 바이오에탄올과 BtL의 기술개발에 비중을 두는 것으로 분석되었다. 한편 국내에서는 목질계 바이오에탄올과 부탄올, 및 BtL에 대한 중장기적 기술개발 계획이 수립되어 있어 곡물보다는 목질계 원료에 대한 기대가 큰 것으로 분석되었다.",김영숙(Yeong-Suk Kim),2008,https://www.riss.kr/link?id=A107071486
산림치유를 위한 24절기별 약차요법에 대한 본초학적 고찰,"기후가 인체에 미치는 영향은 매우 크다. 한의학에서도 기후가 병을 일으키는 중요한 인소로 생각해왔는데 이것이 육기(六氣)이론이다. 이상기후 또는 각 기(氣)가 과다한 상황에서 인체에 나쁜 영향을 주어 병을 유발할 때 이것을 육음사기(六淫邪氣)라고 한다. 육음사기는 인체의 정신 감정요소인 칠정(七情)과 오장(五臟)에 영향을 준다. 따라서 외부의 기후요소에 대한 적절한 대응이 질병을 예방하고 건강한 생활을 유지하는 방법이다. 그리고 일 년을 기후적 특성에 따라 약 15일 간격으로 나눈 것이 24절기이다. 본 연구에서는 산림치유에 적용할 수 있도록 기후요법과 식이요법을 복합적으로 고려하여, 24절기의 기후적 특성을 한의학적인 병기(病機)로 해석하여 각 절기의 기후에 적합한 약차요법(藥茶療法)을 본초학적으로 고찰하여 제시하였다.",김웅진,2023,https://www.riss.kr/link?id=A349629
코로나19 상황에서 청소년의 정신건강과 사회성의 변화에 학교숲체험활동이 미치는 효과,"본 연구는 장기간의 코로나19로 인하여 청소년들의 정신건강과 사회성의 변화에 학교숲 체험활동이 미치는 효과를 알아봄으로써 학교숲 체험활동의 긍정적인 효과를 확인하고자 하였다. 충청남도 A군에 소재한 B초등학교 5학년 24명을 대상으로 2022년 6월 30일부터 7월 29일까지 주 1회 5주에 걸쳐 학교숲 체험활동을 진행하였다. 연구 결과, 실험에 참여한 집단의 청소년들에게서 정신 건강적 요소인 우울은 학교숲 체험활동 전보다 4.96점(±7.21) 감소하였고, 사회성에서도 학교숲 체험활동 후 .31점(±.31) 상승하여 통계적으로 유의한 영향을 미치는 것으로 나타났다. 이에 따라 정기적인 학교숲 체험활동은 청소년들의 정신건강에 영향을 미치는 우울과 불안은 감소시키고, 미래 사회의 한 구성원으로서 필수적인 요소인 사회성은 향상시키는데 기여할 수 있다고 본다.",조명희,2023,https://www.riss.kr/link?id=A101965017
주요 산림 바이오매스 자원의 열분해특성 및 연료성능에 관한 고찰,"본 연구에서는 산림 바이오매스인 목본류와 초본류의 세 가지 수종에 대하여 열화학적 분석을 기반으로 연료로서의 성능평가를 실시하였다. 공시수종은 소나무, 졸참나무와 솜대를 선정하여 이용하였으며, 성능평가에 대한 측정은 공업분석과 원소분석 및 발열량, 그리고 열중량분석(TGA)을 수행되었다. 각 항목에 대하여 각각의 수종간 비교분석을 실시한 결과, 초본류의 솜대가 발열량, 휘발분 및 고정탄소 함량 등의 항목에서 가장 높은 것으로 나타났고, ANOVA 분석에서 일부 수종간의 99% 유의차가 인정되는 것으로 확인되었다. 또한 열중량분석을 통해 초본류의 솜대는 세포벽 주요성분인 셀룰로오스, 헤미셀룰로오스, 리그닌 등의 열분해 온도가 목본류인 소나무 및 졸참나무 보다 비교적 낮은 것으로 나타났으며, 최종 잔여물(%) 또한 가장 높은 것으로 확인되었다. 그러나 세 가지 수종에 대하여 SRF(Solid Refuse Fuel)로서의 활용에 대한 관점에서 평가해볼 때, 모두 신재생 에너지로서 유용한 에너지원으로 주목받을 필요가 있다.",이창구(Chang-Goo Lee),2020,https://www.riss.kr/link?id=A76348436
산림치유 체험수기 검토를 통한 질환별 치유인자들의 효과 규명,"본 연구는 산림치유 체험수기를 활용하여 치유인자와 질환에 따른 치유효과의 연관성을 알아보고자 수행되었다. 이를 위해 한국산림복지진흥원(KFWI)의 산림치유 체험수기 공모 입상작 68편을 수집하고 9개의 질환으로 범주화 한 후 Excel 함수를 활용하여 산림치유인자와 관련된 낱말을 도출하였다. 전체 내용에서 도출된 낱말 321,915개 중 치유인자와 관련된 낱말 311개를 선별하여 24개 범주로 분류하고 질환별로 출현빈도와 산림치유인자의 차이와 특징을 비교하였다. 그 결과 전체질환의 범주화된 치유인자는 느낌 > 관계 > 산 > 숲 > 물질 > 시설 > 나무 > 자연 > 물 > 운동 > 시각 > 계절 > 행위 > 촉감 등의 순으로 도출되었으며 전체의 88.52%를 차지하였다. 질환별 특징으로 마음과 관련된 질환은 ‘관계’의 치유인자가 가장 높은 출현 빈도를 보였고, 나머지 8개 질환들( 스트레스, 우울, 재활, 신체질환, 암, 중독, 뇌경색, 피부질환)에서는 ‘느낌’의 치유인자가 가장 많이 나타났다. 특히 피부질환, 재활, 뇌경색에서는 치유인자로서 ‘산’에 대한 비중이 크게 나타났으며, 피부질환에서는 다른 질환에 비해 치유인자로서 ‘물’에 대한 관심이 높게 나타났다. 오감요소 중에서는 시각적 요소에 대한 관심이 높게 나타났으며, 계절 중에는 봄을, 하루 중에는 아침시간을 선호하는 것으로 나타났다. 따라서 질환에 따라 치유 효과에 영향을 주는 치유요소가 각각 다르다고 판단되며, 치유효과를 극대화하기 위해서는 치유대상자의 특성과 산림환경에 대한 치유인자의 분석이 매우 중요하다고 할 수 있다. 본 연구가 산림치유프로그램 개발을 위한 기초자료가 될 것으로 기대한다.","박경자(Park, Kyeong-Ja)",2021,https://www.riss.kr/link?id=A108530580
산림치유 효과 검증 연구의 주요어 분석을 통한 치유 발현과정 해석,"본 연구는 산림치유인자를 활용한 숲 활동이 면역력증진과 건강증진으로 이어지는 산림치유 효과의 발현과정을 이론적 그리고 정성적으로 분석하고 산림치유 개념을 정밀화하고 체계화하기 위하여 수행되었다. 연구분석자료는 산림치유관련 기관 웹사이트와 2000년에서 2020년 3월까지 산림치유로 검색되는 33편의 석·박사 학위논문과 33편의 전문학술지논문의 주요어, 2016년 산림치유 체험수기 공모전 입상작에 나타난 명사와 형용사 빈도수에 근거하여 워드클라우드를 생성하였다. 단어 빈도수를 근거로 한 해석으로 산림치유 요인을 도출하고 치유 효과의 발현과정을 추론하여 산림치유에 대한 개념을 정의하였다. 산림 치유력의 원천은 산림치유인자와 함께 숲에 대한 긍정적 경험과 자연에 대한 태도가 중요한 것으로 나타났다. 치유효과는 산림치유프로그램을 통해 극대화되고, 신체적 정신적 회복력과 저항력으로 이어지며, 결과적으로 건강증진, 면역력 증진으로 나타난다. 본 연구는 산림치유란 “대상자들의 숲에 대한 긍정경험 및 태도와 산림의 환경요소를 매개로 대상자들의 심리적, 신체적, 영적 회복력을 위한 건강증진 활동”이라 제안한다.",박경자 ( Kyeong-ja Park ),2021,https://www.riss.kr/link?id=A108530583
