
식품 중 아스파탐과 수크랄로스의 섭취량에 관한 연구,"시중에서 유통되고 있는 제품 중 아스파탐 및 수크랄로스가 사용 가능한 대상식품인 빵 또는 떡류, 김치류, 음료류, 어육가공품, 건과류, 아이스크림류, 잼류 및 발효유류 등 46종 755품목을 대상으로 인공감미료 2종에 대한 사용실태를 파악하고 식이를 통해 실제 섭취되는 인공감미료의 총 섭취량을 조사하여 FAO/WHO에서 ADI와 비교 검토함으로서 인공감미료의 실제 섭취량과 ADI간 안전수준평가 및 사용기준 개정시 기초자료로 활용하고자 수행하였다. 따라서 분석된 결과를 기초로 식품유형별, 연령대별, 성별 및 인공감 미료별 사용실태를 파악하고 국민영양조사자료에 근거하여 대상식품의 유형과 연령에 따른 인공감미료별 1인 1일당 추정섭취량을 산출하였으며 FAO/WHO에서 설정한 ADI와 비교 검토한 결과는 다음과 같다. 총 검사건수 755건 중 33건의 인공감미료가 검출되어 4.4%의 검출율을 나타내었으며 인공감미료별 검출건수와 검출율은 각각 아스파탐 33건 (4.4%) 및 수크랄로스 5건(0.7%)으로 나타났다. 또한, 대상 식품별 일일추정섭취량을 산출한 결과 아스파탐과 수크랄로스 모두 캔디에서 가장 높은 것으로 나타났다. 연령별 총 일일추정섭취량(∑EDI)은 1.81~10.15 ㎎/person/day의 범위로 7~12세에서 인공감미료 섭취가 가장 많았으며 65세 이상에서 가장 낮았다. 또한 각 인공감미료를 연령대별로 보면 아스파탐은 13~19세, 수크랄로스는 7~12세에서 가장 섭취량이 많은 것으로 나타났다. 성별 총 일일추정섭취량(∑EDI)은 남성은 5.09 ㎎/person/day, 여성은 4.88 ㎎/person/day으로 나타났다. 국민영양조사표 등의 식품별 1인 1일당 섭취량과 인공감미료별 평균검출농도로부터 일일추정 섭취량을 산출하였을 때, 인공감미료별 총 일일추정섭취량(∑EDI)은 아스파탐 3.75 ㎎/person/day, 수크랄로스 1.27㎎/person/day로 각 인공감미료의 ADI를 국민평균체중 55㎏으로 환산한 825~2,200 ㎎/person/day와 비교하였을 때 매우 낮은 수치를 나타내었다. 따라서 본 연구의 결과, 각인공감미료의 총 일일추정섭취량은 ADI 대비 0.2% 수준이었고 사용가능 대상식품의 이론적 최대섭취량(TMDI)의 1.0~21.4%의 수준으로 사용대상식품을 통한 인공감미료의 섭취는 안전하다고 판단된다.",김희연(Hee-Yun Kim),2006,https://www.riss.kr/link?id=A108079056
한국인의 아스파탐과 아세설팜 칼륨의 식이 섭취 수준 평가,"본 연구는 우리나라 국민의 아스파탐과 아세설팜 칼륨의 섭취 안전성을 평가하기 위하여 수행되었다. 가공식품에 함유된 아스파탐 함량을 분석한 결과 총 247건의 시료에서 아스파탐이 가장 많이 검출된 품목은 과자류로 14건이었으며, 그 다음으로는 주류가 5건, 발효유가 4건이었다. 각 식품별 아스파탐의 평균 함량은 탄산음료가 87.70 mg/kg으로 가장 높았고, 약주가 85.71 mg/kg으로 그 다음이었다. 아세설팜 칼륨은 총 305건의 시료 중 껌류의 평균 함량이 95.70 mg/kg으로 가장 높게 나타났으며, 이어서 캔디류가 51.1 mg/kg, 과자류가 34.83 mg/kg으로 나타났다. 아스파탐의 국민평균 섭취량은 58.37 μg/kg bw/day로 나타나 JECFA에서 설정한 ADI의 0.15% 수준이었다. 아스파탐 섭취에 가장 많이 기여한 식품은 탄산음료, 발효유, 탁주, 과자류 순이었고, 연령별로는 13~19세 그룹의 섭취량이 136.04 μg/kg bw/day(ADI의 0.34%)로 가장 높았는데, 이는 10대 청소년의 탄산음료 섭취량이 가장 높기 때문으로 사료된다. 식품을 통한 아세설팜 칼륨의 국민평균 섭취량은 14.23 μg/kg bw/day로 JECFA에서 설정한 ADI 대비 0.09% 수준으로 평가되었다. 아세설팜 칼륨 섭취에 기여한 식품은 탁주, 과자류, 음료류 순으로, 이 중 탁주의 섭취량이 0.32 mg/person/day로 가장 높았다. 연령별로는 1~2세와 3~6세의 체중당 아세설팜 칼륨 섭취량이 가장 높게 나타나 각각 ADI 대비 0.28%, 0.23%로 나타났고, 이 연령 그룹의 아세설팜 칼륨섭취에 가장 많이 기여한 식품은 과자류였다. 아스파탐과 아세설팜 칼륨 섭취자 그룹 중 95th percentile 섭취자의 섭취량은 JECFA에서 설정한 ADI 대비 각각 6.28%, 5.08%수준으로, 결론적으로 한국인의 아스파탐과 아세설팜 칼륨의 섭취량은 모든 연령대와 상위섭취량 집단에서 모두 ADI대비 7% 미만으로 안전한 수준이었다.",서희재(Hee-Jae Suh),2014,https://www.riss.kr/link?id=A76059741
국내 유전자변형식품 안전성 심사 규정 및 승인현황,"식약처는 유전자변형식품의 사전 안전관리를 위하여「식품위생법」에 따라 안전성 심사를 거쳐 안전성이 입증된 식품만 수입 · 유통되도록 의무화하고 있으며, 승인받지 않은 품목은 수입통관단계에서 검사를 실시하여 국내에 유입되지 않도록 관리하고 있다.「유전자변형식품등의 안전성 심사 등에 관한 규정」에 따라 제출된 안전성 자료에 대해 ‘유전자변형 식품등 안전성 심사위원회’에서 심사하고, 국민 의견을 수렴하여 승인 여부를 결정한다. 또한 안전성 승인이 되었더라도 10년이 경과된 유전자변형식품은 다시 안전성 심사를 하여 안전성을 재확인하고 있다. 우리나라에서는 1999년 안전성심사를 시작하여 2000년에 최초로 유전자변형 콩을 승인하였으며, ‘19년 4월 현재 안전성 심사를 통해 승인된 유전자변형식품은 총 199건이다(농산물 169건, 미생물 6건, 식품첨가물 24건). 앞으로도 식약처에서는 최초 안전성 심사 뿐 아니라, 승인 후 10년이 경과되는 유전자변형식품 품목에 대한 안전성 재심사를 통해 안전성을 재확인할 계획이며, 기존에 개발된 제초제내성, 해충저항성 유전자변형식품 외에 새로운 특성을 부여한 유전자변형식품의 개발 증가에 따라 이들 품목의 안전성 심사를 위하여 CODEX, OECD 등 국제적인 규제 조화를 바탕으로 심사항목 정비 등 사전안전관리를 강화할 계획이다.",강윤숙(Yun-Sook Kang),2019,https://www.riss.kr/link?id=A108640205
설탕 대체율에 따른 알룰로스 혼합물의 이화학적 특성,"본 연구에서는 설탕 대체 비율에 따른 알룰로스의 이화학적 특성 변화를 연구하였다. 알룰로스의 설탕 대체비율을 0, 25, 50, 75, 100%로 설정한 후 수분함량, pH, Brix의 변화를 측정하였다. 설탕 100%를 사용하였을 경우 0.11%로 가장 낮은 수분함량을 나타냈으며, 알룰로스의 함량이 높아질수록 수분함량이 증가하는 경향을 보였다. pH는 설탕 100%와 알룰로스 100%를 제외하고 알룰로스 대체에 따른 시료간의 유의적 차이는 없었으며, brix는 알룰로스의 함량이 높아질수록 낮은 값을 보였다. 상대습도에 따른 흡습량의 정도를 측정한 결과, 모든 실험조건에서 알룰로스 함량이 높아질수록 흡습량이 높아졌으며, 상대습도가 높을수록 흡습량의 증가가 더 큰 것으로 나타났다. 상대습도가 높고 알룰로스의 함량이 높을수록 흡습이 일어나는 기간이 긴 것으로 나타났다. 이러한 알룰로스와 설탕의 혼합 비율에 따른 수분함량 및 흡습량의 자료는 앞으로 제빵 공정에 있어서 최종제품의 품질을 결정할 수 있는 기초자료로서 활용이 가능할 것으로 판단된다.",이혜원 ( Hye-won Kim ),2021,https://www.riss.kr/link?id=A99966659
대체육 식품의 요인별 중요도가 소비자 구매 의사에 미치는 영향,"이 연구는 대체육 식품의 구매 활성화 및 대체육 시장의 성장을 위해 대체육 제품의 요인별 중요도를 고려하여 소비자의 재구매 의사를 분석하였다. 분석을 위해 농촌진흥청 소비자패널을 대상으로 실시한 「대체육에 관한 소비자 인식 조사」 결과를 사용하였다. 분석 방법은 순위형 로짓 분석을 사용하였으며, 분석 결과 식감을 중요하게 생각할수록, NON-GMO와 글루텐프리 여부를 중요하게 생각할수록 대체육 구매를 늘릴 확률이 증가하였다. 하지만 그 외의 가격, 구매용이성, 향 등은 구매 의사에 유의미한 영향을 미치지 않았다. 또한 환경과 동물복지로 인해 대체육을 구매한 경우에는 그렇지 않은 경우보다 구매를 늘릴 확률이 증가하였다. 따라서 식감, NON-GMO, 글루텐프리를 고려한 소비자 맞춤형 대체육 식품 개발이 주요할 것으로 보인다. 또한 환경과 동물복지 등 친환경성을 강조하는 마케팅 전략이 대체육 구매 활성화에 유효할 것으로 판단된다.",박해원 ( Haewon Park ),2023,https://www.riss.kr/link?id=A106292474
한국인의 인공감미료 섭취수준 평가,"국내 사용빈도가 높은 삭카린나트륨, 아스파탐, 아세설팜칼륨, 수크랄로스의 일일추정섭취량을 평가하였다. 식품별 인공감미료의 농도와 국민건강·영양조사의 성별, 연령별 식품섭취자료와 체중을 이용하여 일일추정섭취량을 산출하였고, 이를 JECFA에서 제시한 ADI와 비교·검토하여 섭취수준을 통한 안전성을 평가하였다. 분석된 인공감미료의 일일추정섭취량은 삭카린나트륨 52.34 μg/kg·bw/day, 아세설팜칼륨 55.06 μg/kg·bw/day, 아스파탐 145.47 μg/kg·bw/day, 수크랄로스 93.86 μg/kg·bw/day로 산출되었으며, ADI 대비 각각 1.0, 0.4, 0.4, 0.6%로 평가되었으며, 상위섭취자(90th percentile)의 일일추정섭취량 평가에서도 삭카린 나트륨 783.12 μg/kg·bw/day, 아스파탐 4,399.09 μg/kg·bw/day, 아세설팜칼륨 1,557.09 μg/kg·bw/day, 수크랄로스 2,700.72 μg/kg·bw/day로 산출되었으며 ADI 대비 15.7, 11.0, 10.4, 18.0%로 안전한 섭취수준으로 평가되었다. 각각의 인공감미료의 섭취에 주요 기여식품은 삭카린나트륨은 절임식품류와 과일·채소류 음료이며, 아스파탐은 탄산음료, 약주 및 탁주, 캔디, 아세설팜칼륨은 탄산음료, 수크랄로스는 소주, 발효유, 과일·채소류 음료 등으로 평가되었다.",최성희(Sunghee Choi),2011,https://www.riss.kr/link?id=A107498056
노년기의 발달과제와 심리적 특성,"본 연구는 고령화 시대의 노인 문제를 이해하려는 심리적 접근 방식을 통하여 노년기의 발달과제와 신체 및 동기, 정서, 인지적인 면을 포함하는 심리적 특성에 대한 이론과 국내 실정을 파악하고자 하였다. 이제까지 나이가 들어가는 것은 신체나 인지, 사회적 관계 등에서의 손실로 보는 견해가 지배적이었다. 그러나 한편으로는 나이듦에 따른 지혜나 감정의 조절, 통함갑에서의 성장과 발달도 찾아볼 수 있다. 나이듦에 대한 부정적 및 긍정적 측면을 모두 아우르면서, 성공적 노화에 이를 수 있도록 유도하는 방법론으로서 뇌교육의 개념을 도입할 수 있을 것이다. 본 연구를 통하여 노인 문제를 평가하고 개선시킬 수 있는 정확한 측정방법과 노인의 삶의 질을 개선시킬 수 있는 교육과 치료개입의 개발에 기초자료로서 활용될 수 있기를 기대하는 바이다.",윤선아 ( Seon Ah Yoon ),2011,https://www.riss.kr/link?id=A108729473
청소년의 당류 섭취와 정서기능과의 관련성,"본 연구는 청소년의 건강한 식생활을 할 수 있도록 올바른 당류 섭취를 인식하고 소비할 수 있도록 도움을 주고자 청소년의 당류 섭취 실태, 인체의 대사 작용과 정서와의 관계, 영양교육프로그램을 조사, 비교하였다. 청소년들은 서구화된 식생활, 과중한 학업량, 식사시간의 불규칙성으로 간식의 섭취가 증가하고 있으며 총 섭취 열량 중, 간식의 비율이 증가하고 있다. 청소년의 간식은 아이스크림(33.56%), 우유, 유제품(17.92%), 음료(11.53%), 과자(10.84%)의 순이며 1일 첨가당 섭취량이 0.6-26.1%이고 중학생이 17.9%, 고등학생이 20.0%로 WHO/FAO의 첨가당 에너지 섭취기준인 10% 이상을 초과한 것으로 나타났다. 당류의 과잉섭취는 대사성질환을 일으키는 원인으로 주목되고 있으며 특히 아침 결식에 의한 간식의 섭취는 비만을 발생하고 영양불규형에 따른 당뇨, 동맥경화 등을 야기한다. 또한 고당분의 섭취는 혈당을 급격히 상승시키고 저혈당을 유발하여 정서장애와 행동장애를 일으킨다. 이에 올바른 가공식품의 선택과 당 저감화를 위한 보다 효율적인 영양교육 프로그램 개발과 지속적인 영양교육의 실시가 필요하다.",서호찬 ( Ho Chan Seo ),2013,https://www.riss.kr/link?id=A108702795
장내 마이크로바이옴과 차세대 프로바이오틱스 연구 현황,"NGS 기술이 발전함에 따라 우리 몸의 생리와 면역조절에 있어서 장내미생물의 중요성이 알려지면서부터 장내미생물군집의 구조를 직접 조절할 수 있는 프로바이오틱스의 중요성 역시 재조명 받고 있다. 인류는 프로바이오틱스를 오랫동안 발효식품 등을 통하여 섭취하였는데, 프로바이오틱스는 식품의 보존성 및 영양성을 높일 뿐 아니라 인체의 건강에 이로운 역할을 한다. 특히 프로바이오틱스의 섭취는 생체 내에서 Treg의 기능을 활성화하여 장내 환경을 개선시켜 유익한 장내미생물의 생육을 도우며, 염증반응, 알러지질환, 자가면역질환 등을 완화시키는 효과가 있다. 특히 프로바이오틱스는 장내 유익균인 Bifidobacterium, Faecalibacterium, Akkermansia 및 Bacteroides 속 미생물의 빈도를 증가시키고, 이들은 단쇄지방산 및 신체에 이로운 대사체 등을 생산한다. 지금까지 프로바이오틱스는 대부분 건강기능식품으로 사용되어 왔으나, 최근 들어 장내 유익균에 대한 기능성이 알려지면서 기존 프로바이오틱스를 포함한 장내 미생물을 이용한 NGPs 개발이 활발히 진행되고 있다. 하지만 NGPs 개발에는 여전히 한계가 존재한다. 아직까지 장내 미생물의 분리, 동정은 일반 세균 배양에 비해 매우 까다롭고, 특별한 배양 기술이 필요하므로 현재까지 NGPs로 활용될 수 있는 장내 미생물은 매우 제한적이다. 또한 기존 프로바이오틱스와는 다르게 NGPs는 의약품처럼 전임상, 독성시험, 약물역학, 3단계의 임상시험을 거쳐야 한다. 하지만 기존 프로바이오틱스의 질병 개선 효과를 뛰어넘어 고형암, 대사질환 및 면역질환의 차세대 치료제로서의 활용가능성이 매우 높기 때문에 앞으로 더 폭넓은 연구가 진행되어야 할 것이다.",최학종(Hak-Jong Choi),2019,https://www.riss.kr/link?id=A82762577
대체감미료를 첨가한 오트밀쿠키의 품질 특성 및 혈당에 미치는 영향,"본 연구는 인공감미료인 수크랄로스와 스테비오사이드를 사용하여 쿠키를 만들 때 최적 배합비를 제시하고 품질 특성을 규명하며 제시된 최적의 배합비로 제조된 쿠키의 혈당강하 효과를 규명하고자 수행되었다. 설탕 100%의 쿠키를 대조군으로 하고 실험군 쿠키는 설탕의 비율을 20%, 30%, 40%로 첨가하고 설탕 부족은 수크랄로스와 스테비오스와 한천으로 맞추어 쿠키를 만들어 품질 특성을 조사하였다. 그 결과 쿠키 반죽의 밀도와 산도는 대조군과 실험군에서 유의적인 차이는 보이지 않았다. 쿠키의 설탕 첨가량에 따라 굽기 손실량은 수분 손실량으로 인한 것으로 설탕의 함량이 증가할수록 손실량도 함께 증가하였다. 쿠키의 퍼짐성 지수는 설탕의 첨가량이 증가할수록 감소하여 설탕량이 많을수록 직경이 감소함에 따라 두께는 증가하였다. 쿠키의 색도측정 결과 명도는 설탕을 30% 첨가한 쿠키의 명도가 가장 높았으며 적색도는 100% 설탕 쿠키의 값이 가장 크게 나타났다. 경도에서는 설탕의 함량이 증가하고 한천의 함량이 감소함에 따라서 positive peak forces 값이 증가하는 경향을 보였다. 관능 평가 결과는 외관에서는 30% 설탕 첨가 쿠키가 가장 높은 점수를 받았으며 향, 맛, 질감에서는 40% 설탕첨가 쿠키에서 가장 높은 선호도를 보여주었다. 전체적인 선호도 항목에서는 30% 설탕 첨가 쿠키가 가장 높은 점수를 받았다. 설탕 대체 감미료와 한천을 첨가한 30～40% 설탕쿠키가 외관, 향, 맛, 조직감, 선호도에서 첨가군이 대조군보다 높은 점수를 받았다. 실험 결과를 종합해서 볼 때 대체감미료를 첨가한 쿠키의 품질특성은 설탕을 30% 정도 함유한 쿠키가 가장 좋은 결과를 나타내었다. 이런 결과에 따라 30%의 설탕 첨가 쿠키와 대조군을 50 g 탄수화물로 환산하여 대학생들이 섭취한 후에 0, 1, 2시간 후에 혈당 실험을 실행하였을 때 100% 설탕 쿠키를 대조군으로 하여 실험한 결과 쿠키 섭취 후 1시간이 경과 후 대조군은 27.8 mg/dL, 실험군은 15.7 mg/dL가 증가하였다. 2시간 경과 후에는 대조군의 혈당 수치가 1시간과 비교하였을 때 급격하게 감소하였지만 설탕 30% 쿠키에서는 큰 변화를 보이지 않았다. 결론적으로 설탕을 30% 첨가한 쿠키가 품질도 높고 관능검사 시 선호도도 높으며, 열량도 낮고 혈당지수에도 좋은 영향을 나타내었다.",방선권(Son Kwon Bang),2013,https://www.riss.kr/link?id=A100519577
