
"대체단백질식품(식물성 대체육, 배양육, 식용곤충) 국내외 시장 현황 및 연구","As the global population increases and issues regarding health, environment, and animal welfare emerge, interest in alternative proteins is rising along with the emphasis on sustainability and food security in agriculture and livestock. Based on protein sources, alternative proteins can be divided into plant-based meat, animal cell-cultured meat, and edible insect. Alternative meat market will keep growing and accounting for 11% of the total protein food market by 2035. America has the largest share in the alternative protein market. Many food companies and startups are developing and distributing alternative proteins in Korea which is ranked 38th. Among them, plant based meat shows advantages in terms of production cost and safety verification, but may present some issues that include anti-nutrients and allergens. Animal-derived cell cultured meat can best mimic traditional meat products, but may have concerns for food safety and high production cost. In order to shift from traditional animal based meat production into extraction-, fermentation-, or culture-based alternative protein manufacturing system, it is necessary to understand the origins, pros and cons, and the current status of research and market for better forecast their future promises and challenges.",조창준(Changjun Cho),2022,https://www.riss.kr/link?id=A108348115
장내 마이크로바이옴과 치매,"The lack of an effective treatment for Alzheimer’s disease (AD) stems primarily from incomplete understanding of AD’s causes. A rapidly growing number of scientific reports highlight important roles played by peripheral infections and intestinal bacterial flora in pathological and physiological functions involving the microbiome-intestine-brain axis. The microbiome controls basic aspects of the central nervous system (CNS), immunity, and behavior, in health and disease. Changes in the density and composition of the microbiome have been linked to disorders of the immune, endocrine, and nervous systems, including mood changes, depression, increased susceptibility to stressors, and autistic behaviors. There is no doubt that in patients with AD, restoration of the intestinal microbiome to a composition reminiscent of that found in healthy adult humans will significantly slow the progression of neurodegeneration, by ameliorating inflammatory reactions and/or amyloidogenesis. In the near future, better understanding of bidirectional communication between the brain and microbiota will allow the development of functional diets using specific probiotic bacteria.",설국환 ( Kuk-hwan Seol ),2021,https://www.riss.kr/link?id=A107881045
축산농장 동물복지의 윤리적 갈등과 딜레마 극복: 국내 산란계 농장에서의 윤리의식 수준에 따른 동물복지 관련법규 준수여부 상관관계 조사,"Animal welfare was introduced relatively late to Korea in comparison with Western countries. Nonetheless, the Korean government has continuously improved animal welfare-friendly regulations as policy instruments. Given the current situation, it is predicted that spontaneous settlement of the animal welfare policies will be difficult and may cause conflict in the farm animal industry. To identify and categorize conflicts caused by animal-welfare-related policies in the last five years, we investigated the awareness of animal welfare among Korean hen farms and the level of compliance with the animal welfare regulations. We collected a sample of 53 egg-laying chicken farm operators (e.g., owners or head managers) was collected through the on-site survey (90% confidence level (Z-score: 1.65) and 10.18% tolerance, based on a number of 797 egg-laying farms in 2020). Ethical conflicts on the farms were categorized into three different types according to the hen farm's ethical awareness level: passive, moderate, and active. Additionally, we investigated the correlation between compliance with regulations and ethical consideration. This study confirmed that compliance with animal welfare-related regulations significantly correlated to the level of ethical consideration of farm operators. Interestingly, we also observed that farm operators did not comply with the regulation despite their high level of awareness of animal welfare. This conflict implies contradiction and unresolved ethical dilemmas. Therefore, this study argues that the policies cause conflict in the field despite the certain level of effectiveness on animal welfare regulations.",이본,2023,https://www.riss.kr/link?id=A2077873
젖산균의 Plasmid DNA 분리방법과 형질전환에 관한 연구,"This study was carried out to investigate the simpler and faster method for plasmid DNA isolation and the electrotansformation of vector plasmid into lactic acid bacteria. The factors affecting the electroporation efficiency of lactic acid bacteria were studied together. The results obtained were as follows ;
1. O'Sullivan & Klaenhammer's method and its modified method were found to be simpler and faster for plasmid DNA isolation from lactobacilli cells.
2. The presence of plasmids was identified by the modified O'Sullivan & Klaenhammer's method in 4 of 9 L. casei strains, 2 of 9 L. acidophilus strains, 2 of 3 L. delbruekii var. bulgaicus strains, 1 L. brevis strain, and 1 of 2 L. plantarum strains, respectively.
3. The plasmids of lactococcal cells were easily isolated without mutano- lysin treatment. Four plasmids in L. lactis ssp. lactic KCTC2184 and 2 plasmids in Ent. faecalis ATTCC11729 were found.
4. The MPS membrane filtering for E. Coli plasmid isolation was applicable for the isolation of pLZ12 plasmid in L. casei 102S, but the membrane permeability was diminished by the cell debris.
5. Two plasmids in L. lactis ssp. lactis PR3, 3 plasmids in L. fermentum CG1, and 2 plasmids in L. plantarum PA2 were found, respectively.
6. plasmids pBS19 and pBR322 in E. coli JM109 could be directly transferred into E. coliDH5α cells by electroporation at 12.5kV/cm. With the electrotransformation efficiencies of 3.0×10³ and 5.0×10³ cfu/5㎖ of donor cell, respectively, while the pure plasmids were introduced into host cell with the electrotransformation efficiencies were 2.6×10^7 and 1.0×10^8 cfu/㎍ of plasmid DNA, respectively.
7. The cell damages of L, lactis spp. lactis IDM, LM0230 and MG 1363were about 90% at 12.5kV, 90% at l0.0kV and 90% at 10.0kV/㎝, respectively. The electrical damages of 4L. acidophilus strains and L. casei 102S were about 80% and 1% at 12.5kV/㎝ respectively.
8. The survivals of L. lactis ssp. lactis LM0230, MG1363 and IDM after lysozyme treatment for 15 and 45 minites were 50 and 30%, 75 and 60% and 80 and 40%, respectively. 88, 75 and 63% of L. acidophilus WIEBY, HY7008 nd NCFM cells survived after lysozyme treatment for 45 minites. 64, 14 and 14% of L. acidophilus HY7001 survived after lysozyme treatment for 15, 30 and 45 minites. The survival of L. casei 102S was 100% after lysozyme treatment for 45 minites.
9. The electrotransformants of L. lactis ssp. lactis LM0230, MG 1363, IDM were 8.0×10⁴, 3.2×10³, and 3.6×10³ cfu/㎍ of pLZ12 when shocked at 6.0kV, and 3.6×10², and 6.0×10¹ cfu/㎍ of pLZ12 when shocked at 12.5kV respectively.
10. The electrotransformants of lysozyme-treated L. lactis ssp. lactis LM 0230, IDM, MG1363 were 1.2×10^5, 3.8×10³, 5.2×10^5 cfu/㎍ of pLZ12, respectively.
11. The electrotransformants of L. acidophilus WIESBY, NCFM, HY7008, HY7001 were 2.0×10², 7.2×10¹, 3.0×10¹, 8.0×10° cfu/㎍ of pLZ12 at 6.0 kV, respectively. The electrotransformants of L. acidophilus WIESBY and NCFM were not found at 12.5KV, while the L. acidophilus HY7008 and HY7001 gave 3.0×10° and 5.0×10° cfu of electrotransformants.
12. The electrotransformants of lysozyme-treated cells of L. acidophilus WIESBY, NCFM, HY7008, HY7001 were 3.7×10³, 5.6×10², 3.210¹and 4.0×³ cfu/㎍ of pLZ12 at 6.0kV, respect-ively, showing lysozyme treatment increases the efficiency.
13. The electrotransformansts of L. lactis ssp. lactis LM0230, MG 1363, IDM with the Gene Pulser and Progenitor Ⅱ were 8.0×10⁴ and 2.0×10¹ cfu, 3.2×10³ and 1.5×10¹cfu, 3.6×10³ and 1.5×10¹cfu/㎍ of pLZ12, respectively, showing the Gene Pulser indicated higher efficiency than Progenitor Ⅱ. The electrotransformants of L. acidophilus HY 7008 and HY7001 with the Gene Pulser and Progenitro Ⅱ were 3.0×10° and 3.0×10¹cfu, 2.0×10° and 8.0×10¹cfu/㎍ of pLZ12, respectively. With L. acidophilus WIESBY and NCFM, the electrotransformants were not found with Progenitor Ⅱ, while the electrotransformants with Gene Pulser were 2.0×10² and 7.2×10¹cfu/㎍ of pLZ12, respectively.
14. The electrotransformation efficiencies of L. casei 102S were 1.0×10³, 2.1×10³, 3.8×10³ and 1.5×10²cfu/㎍ of pLZ12 at 5.0, 7.5, 10.0 and 12.5kV, respectively.
15. The electrotransformation efficiencies of L. casei 102S cells grown to O.D(A_600)) values of 0.5, 0.8, 1.0 and 1.2 were 5.0×10¹, 8.0×10³, 3.8×10³,and 3.0×10³cfu/㎍ of pLZ12, respectively.
16. The electrotransformation efficiencies of L. casei 102S cells suspended in 10% glycerol, EB and dd H₂O were 3.8×10³, 5.0×10² and 1.5×10² and 1.5×10² cfu/㎍ of pLZ12, respectively, but in 1.0mM HEPES or TE buffer, the electrotran- sformation was not found.
17. At the plasmid DNA concentration of 0.5, 1.0, 2.0 and 3.0㎍ of pLZ12, the electro-transformation efficiencies were 2,0×10³, 3.8×10³, 4.2510³ and 5.07×10³ cfu/㎍ of pLZ12, respectively.
18. The highest electrotransformation efficiency of L. casi 102S was 3.8×10³ cfu/㎍ of pLZ12 with the cells at late-exponential growth phase(O.E A_(600)=1.0) in 10% glycerol by shocking at 10kV/㎝, 200Ohm and 25μFD.
19. Not like L. acidophilus strains, the L. casei 102S cells treated with lysozyme did not enhance the electrotransformation efficiency.
20. When the L. casei 102S cells in 10% glycerol and EB were stored under -20℃ for 1 day or 7 days, the electrotransformation efficiencies were 2.0×10¹ and 1.2×10² and 1.0×10¹ cfu/㎍ of pLZ12, respectively. But the fresh cells in same buffer gave 3.8×10³ and 5.0×10² cfu/㎍ of pLZ12.",김선기,1997,https://www.riss.kr/link?id=A107990135
반추동물용 섬유질배합사료(TMR) 제조시설의 사료안전관리 인식 및 사료 중 위해인자의 오염도 조사,"This research was conducted to investigate awareness of feed safety management for total mixed ration (TMR) manufacturer and pollution level of harmful factor in feed. The questionnaire was distributed to 80 TMR manufacturing companies for 10 months and 50 questionnaires were collected. The questionnaire was consisted of 17 questions and the data were analyzed by descriptive statistic analysis, cross relation analysis and reliability. The main perception was imposing the feed safety management system should be followed after building institutional condition for the feed safety management. The most required condition was providing and sharing information on feed safety to establish feed safety management system. According to the research, the most weak point during managing feed safety and harmful factors was the mold toxin. The most hazard factors during feed manufacturing steps were foreign substances such as metal, fragment and soil. Upon investigation on pollution level of feed's hazard factor, cadmium, arsenic and selenium were exceeded standard of permission but ochratoxin, aflatoxin, melamine and Nonprotein nitrogen were not exceeded. Pesticide residual, fumonisin and salmonella were not detected. As the result of the analyses, to construct the feed safety management system of TMR manufacturing company, it is necessary to politically institutionalize the providing and haring information of feed safety. Moreover, reinforcing feed management to get rid of foreign substances and to prevent mold toxin among feed is advised. Lastly, establishing system of eliminating foreign substances at raw materials supplier should be mandatory.",안준상,2017,https://www.riss.kr/link?id=A108651051
동물복지의 동향과 인증제도의 정착을 위한 방안 모색(총설),"Farm animal welfare means how a farm animal is living with the proper conditions. In modern society, farm animal welfare is essential for sustainable development and humane production of livestock. The initial concept of animal welfare was started from England based on five freedoms, and the animal welfare guideline of OIE (Office International des Epizooties) had become an international standard for animal welfare. OIE’s guideline dealing with transportation, disease prevention and appropriate veterinary treatment, shelter, management and nutrition, humane handling and humane slaughter of farm animal. For the settlement of farm animal welfare, it is necessary to introduce the animal welfare certification standards considering domestic situation, based on the guidelines of OIE standards. The purpose of this review was to; firstly, evaluate global status of farm animal welfare and secondly, suggest several plans for settlement of farm animal welfare in South Korea.",안규철,2014,https://www.riss.kr/link?id=A82402012
살수여상공정을 이용한 돈사폐수의 처리에 관한 연구,"Tricking filter was not usually employed for the piggey wastewater treatment resulting from a high concentration of susfended solids(SS) and biochemical oxygen demand(BOD) in the piggery wastewater could hamper and efficient operation due to the frequent clogging problems. In order to minimize the clogging problem, the filtration process using strawcolumn was applied, as a pretreatment process, for SS redution. The prefiltered effluent was then treated in the laboratory tricking filters which used crused stone media. The experimental results showed that the overall removal efficiencies of BOD, chemical oxygen demend, and SS were 78, 75, and 90%, repectively, at the respective tricking filter gydraulic and organic loadings of 1.26㎡/㎡/day and 0.77kgBOD/㎡/day. The tricking filter constant, and reaction rate constant, k of the Eckenfelder equation were 0.6901 and 0.89, respectively, obtained from the experimental data.",이찬기,1991,https://www.riss.kr/link?id=A99635672
새와 공룡의 연계성: 조류는 공룡으로부터 진화,"Aves including chickens are currently one of the most representative vertebrates on the planet. More than 10,000 bird species are distributed among various regions around the world. Dinosaurs, which evolved from archosaurs, were once assumed to have gone extinct during the Cretaceous-Paleozoic extinction period. Since the mid-1990s, abundant dinosaur fossils have been found in China and various other parts of the world. Research articles on phylogenetic, evolutionary, and genomic studies of fossil taxa show that birds are living theropod dinosaurs. This review describes the link between birds and dinosaurs based on studies of their skeletal structures, feathers, respiratory organs, chromosomes, and metabolism. Birds are the only theropod dinosaurs that survived the mass extinction 66 million years ago. Dinosaurs did not go extinct and we are still living in the age of the dinosaurs.",문양수,2022,https://www.riss.kr/link?id=A3226669
축산환경 : 급여수준에 따른 한우 암소의 온실가스 배출량 평가,"This study was conducted to investigate the effects of different feeding level of TDN(Total Digestible Nutrients) on the generation of main greenhouse gases such as carbon dioxide and methane in Hanwoo cows. The diet TDN(kg) adjusted to achieve ADG of 0g/day(Control), 200g/day(T1), and 400g/day(T2) of the maintenance level TMR(Total Mixed Ration) delivered twice a day at 08:30 and 17:30. Cow are housed in a respiration chamber and the environmental temperature was maintained at 20℃. The gases were measured for 24 hours using the multi-detector instrument Mamos-300. The analyzed methane emissions of T1 and T2 were 33.5% and 69.6% higher than control, respectively, and the carbon dioxide emissions were 21.1% and 40.6% higher than control. Also, the hourly pattern of carbon dioxide and methane production were showed very similar emission. Gas production showed peak after 1 hour of feeding and this gap was wider in the afternoon than in the morning hours. It is clearly conducted that CO2 and CH4 emissions were different by limited intake levels of feed.",김두리 ( Du Ri Kim ),2011,https://www.riss.kr/link?id=A101403407
판람근 추출물의 항산화 특성 및 돈육패티에서 아질산나트륨 대체효과,"This study investigated the antioxidant properties of the Radix isatidis extract and the effect of substituting it with sodium nitrite (SN) in a pork patty. The antioxidant activity of the Radix isatidis water extract (RIWE) was compared to those of the methanol and chloroform extracts (RIME and RICE, respectively). Patties were prepared with five different treatments: (1) a control with no RIWE and SN, (2) T1 with 150 ppm SN, (3) T2 with 100 ppm SN + 0.1% RIWE, (4) T3 with 50 ppm SN + 0.3% RIWE, and (5) T4 with 0.5% RIWE. They were used to compare the oxidation stability for 12 days at 4℃. The extraction yield of RIWE was 3.2 and 18.7 times higher (p<0.05) than those of RIME and RICE, respectively, but RIWE had the lowest (p<0.05) 1,1`-diphenyl-2-picrylhydrazyl radical scavenging activity, superoxide dismutase-like activity, and total reducing ability. Patties with RIWE and SN exhibited lower (p<0.05) pH values after 12 days, compared to the control. After 4 days, the 2-thiobarbituric acid reactive substances content was lower (p<0.05) in T1, T2, T3, and T4 than in the control. The oxidation-reduction potential value was the lowest (p<0.05) in T3 and T4 after 4 days (p<0.05). T1, T2, T3, and T4 had a lower (p<0.05) volatile basic nitrogen content after 12 days, compared to the control. These findings suggest that RIWE has an antioxidant effect similar to that of SN, but further research on its antimicrobial effect may be required to determine if it is a good substitute for SN.",박재인,2020,https://www.riss.kr/link?id=A3273922
