
플라스틱류 해양쓰레기와 생물피해 특성,"전남연안은 우리나라 바다의 50%를 차지하면서 해양표착쓰레기의 자체발생량보다 표류에 의한 표착으로 외부유입 해양쓰레기로 해양환경이 변하고 있는 상황이다. 이곳에 표착해 있는 해양쓰레기는 해류와 바람 및 조류 등의 영향으로 유입되고 있는 것으로 조사되었다. 연구지역 중 전남 서해지역인 영광 두우리와 여수시 안도에서 해양쓰레기 모니터링을 실시하였다. 이곳에는 해류와 조류 등의 영향으로 폐그물과 낚싯줄 같은 플라스틱류가 다량 표착하고 있었다. 이들 플라스틱류 해양쓰레기는 해양생물에게 피해를 자져오는 중요한 요인이 되기도 한다. 이런 플라스틱류 해양쓰레기와 해양생물피해 연관성을 파악하고자 연구를 시작하였다. 선행연구결과 전남 연안으로 유입되고 있는 해양쓰레기는 계절에 관계없이 밀려오는 것으로 나타났다. 하계는 전남 남해안지역으로 동계에는 서해안지역 집중되고 있는 것으로 알려졌다. 이번 연구에서는 전남연안 중 서해안지역에 위치하고 있는 영광 두우리와 남해안지역에 위치한 여수 안도지역에서 2015년 2월 수거한 해양쓰레기를 정밀분석 한 결과 총 5,215개, 무게는 2,640㎏으로 나타났다. 이중 영광 두우리성상별 개수는 고무가 13개(0.5%), 금속이 33개(1.30%), 유리가 45개(1.80%), 스티로폼이 650개(25.7%), 종이가 3개(0.1%), 플라스틱이 1,550개(61.4%), 의류 및 천이 7개(0.3%), 대형폐기물이 4개(0.2%), 기타가 220개(8.7%)로 나타났으며, 여수안도의 경우는 고무가 50개(1.9%), 금속이 47개(1.7%), 유리가 70개(2.6%), 스티로폼이 1,180개(43.9%), 종이가 7개(0.3%), 플라스틱이 1,130개(42.0%), 의류 및 천이 4개(0.1%), 대형폐기물이2개(0.1%), 기타가 200개(7.4%)로 나타났다. 특히 플라스틱류 해양쓰레기의 경우 부유성이 강한 그물류 및 노끈 등이 상당량 포함된 것으로 조사되었다.",차인환(I.H. CHa),2015,https://www.riss.kr/link?id=A100639627
이산화탄소 증가로 인한 해수 산성화가 해양생물에 미치는 영향평가 및 생태영향기준 도출,,김병모(Byeong-Mo Gim),2014,https://www.riss.kr/link?id=A100003267
국내산 수산물 내 자연 및 인공방사능 축적 연구 현황 및 향후 연구 방향,"2011년 동일본대지진에 의해 발생한 후쿠시마 원자력 발전소 사고와 최근 국내 지진 발생 빈도의 증가는 원자력 발전소의 지진 안전성에 대한 불안감을 야기하였다. 더불어 최근(2021년) 일본 동경전력은 후쿠시마 원전 오염수의 태평양 방류를 결정하였으며, 이로 인해 국내외 수산물을 통한 방사능 오염 가능성이 높아지면서 국민들의 우려가 급증하고 있다. 후쿠시마 원전사고 이후 해양으로의 인공방사능 유입에 관한 연구는 국제적으로 많이 이루어졌으나, 한국인의 주요 식재료인 동아시아 연근해의 수산물에서 인공방사능의 분포 현황 및 축적에 대한 연구는 상대적으로 부족한 실정이다. 따라서 이 논문에서는 후쿠시마 원전사고 이후, 국내산 수산물에서의 원전 기원 인공방사능(예, <sup>137</sup>Cs, <sup>239+240</sup>Pu, <sup>90</sup>Sr 등)의 분포 특성과 관련한 최근 연구 사례들을 소개하고자 한다. 또한, 후쿠시마 원전오염수의 방류와 더불어 2030년까지 계획된 중국의 신규 원전 시설로 인한 향후 한반도 주변해역의 방사능 유출 영향에 대한 대비 및 사전 연구가 필요한 시점이기에 향후 연구 방향들을 제안하고자 한다.",이희수,2021,https://www.riss.kr/link?id=A107861975
우리나라 해수면 상승 대응방향에 관한 소고,,조광우(Kwangwoo Cho),2007,https://www.riss.kr/link?id=A76252090
해양쓰레기 수거선 개발 연구,"최근 우리나라는 1인 가구 증가, 간편식 시장 확산 등으로 플라스틱 사용량이 전 세계 최고 수준이다. 유럽 플라스틱 및 고무산업 제조자협회에서 전 세계 63개국을 대상으로 플라스틱 사용량 등을 추정한 결과에 따르면 우리나라는 63개국 중 벨기에 다음으로 1인당 플라스틱 사용량이 많은 것으로 나타나고 있다. 개수 기준으로 플라스틱 58.1%, 스티로폼 12.6% 등 플라스틱류가 70% 이상을 차지하는 것으로 나타난다.(외국기인 쓰레기는 2.6%로 예년의 5%보다 약간 낮은 수준.) 무게 기준으로는 플라스틱 39.2%, 나무 20.9%, 스티로폼 19.8% 순으로 높은 비율을 차지했고, 부피는 스티로폼 38.5%, 플라스틱 34.9%, 나무 11.0%였음. 개수 결과와 마찬가지로 스티로폼을 포함한 플라스틱류가 59%로 무게에서도 가장 높은 비중차지하고 있다. [17년도 해양쓰레기 상위 10위 항목] 가장 많이 발견된 쓰레기는 밧줄/로프(9.9%, 2.5∼50cm 6.5% + 50cm 이상 3.4%), 각종 뚜껑(9.1%), 플라스틱 음료수병(8.0%), 스티로폼 부표 (2.5~50 cm)(6.6%), 플라스틱 기타(5.9%), 비닐봉투(5.8%) 등이었다.
해양쓰레기는 근본적으로 육지의 쓰레기와 다르지 않고, 사람이 살면서 생긴 모든 부산물이 바다로 들어가 못쓰게 되면, 그것이 곧 해양쓰레기가 된다. 육지에서 바다로 들어갔건, 바다에서 버려졌건 모든 물건, 도구, 구조물 등이 해양쓰레기가 될 수 있고 그 중에서 주로 플라스틱류에 관점에서 접근하였다.
해양쓰레기의 원인 중 육상기인과 해상기인으로 나누었고, 본 연구에서 육상과 해상을 나누어 수거하는 방안으로 나누어 고려하였다.
: [육상] 육상에서 발생하는 쓰레기들이 집중호우, 폭우, 홍수 때 하천, 강을 통해 바다로 들어가 발생하는 경우 및 해변에 출입하는 관광객이나 연안에 사는 주민들의 쓰레기 방치 또는 무단투기로 인해 발생하는 경우.
: [해상] 어업, 낚시활동 관련 행위(레저용 낚시행위 포함)로 부터 발생하는 경우 및 여객선이나 상선 등 선박의 운항이나 해양시설에서 발생하는 경우.
해양쓰레기는 일단 유입되면 바로 빠르게 확산될 뿐만 아니라, 15,000km에 이르는 전국 해안선을 따라 광범위하게 발생하고 있어 적기에 전체수거량을 수거하는데 한계가 있다.
: 육상기인(67%) 쓰레기가 해상기인(33%)보다 많은 비중을 차지하는 것으로 나타나 바다로 모여들기 전 육상에서부터 발생량을 줄이고 유입원인을 차단하는 것이 효율이 적인 해양쓰레기 문제해결 방법으로 분석된다.
우리는 이러한 다양한 조건에서 모두 활용할 수 있도록 해상접근형 및 육상접근형에 대한 수륙양용선박으로 해결하고자 하였다.
대부분 수작업으로 수거가 이용되거나 간단한 장치를 이용하던 것을 all in one(해상용 + 육상용) 교체식 수거장치 및 흡입기를 활용하고자 하였다.
이러한 신개념의 기구적 장치를 활용하여 해양쓰레기 중 재활용 가능 품들로 인한 수익성과 활용 보급서비스 비즈니스 모델을 구상하였다. 이를 보다 현실화 하기 위해 지자체·민간기업에서 기존에서 설치되어진 바지선을 임대하여 이동형 컨테이너를 설치하고 재활용선별 사업 가능하도록 구상 하였다.
접근이 어려운 해안에 해양쓰레기 수거 인력 및 기존 장비의 투입시 사고 위험이 매우 높아 효과적인 안전관리 대책 마련이 필요하며, 국내의 접근이 어려운 해안의 해양쓰레기 수거 기술 개발은 전무한 상황을 해결할 수 있을 것으로 본다. 본 기술의 활용 및 효율성을 높이기 위하여 관련 내역 사업(수거지원-수거장비-수거처리) 간 협의체 구성으로 성공적 실증실현을 목표로 하고 있다.
해양쓰레기 수거 및 선별 프로세스 산업의 스마트공장 구축용 레퍼런스 기술 관련 글로벌 표준(IEC/ISO) 부합화 및 표준연계 방안 제시 및 검증기술마련하는데 참고로서 활용이 가능하고, 해수부에서 정책적으로 추진 중인 대표수거-처리시스템, 데모수거시스템, 업종별 수직형 통합패키지 및 해양쓰레기 수거 데이터 공동 활용 플랫폼 등과 연계하여 상시홍보 및 확산전략 수립, 실행 가능할 것이다.",황선규(Hwang Sun Kew),2021,https://www.riss.kr/link?id=A107948736
재분석 자료를 활용한 해양쓰레기 이동 분포 양상 분석,"해양쓰레기 이동 모의를 위해 MOHID 모델의 Lagrangian module을 활용한 해양쓰레기 이동예측 모델을 구축하였다. 입력자료는 MOHID 모델 기반의 수평 해상도 1/48° 해상도의 2009년부터 2018년까지의 해양순환 재분석자료와 WRF 모델 기반의 1/10° 해상도의 기상 재분석자료가 사용되었다. 개발된 해양쓰레기 이동예측 모델은 과거 해양쓰레기 수거 자료, 위성 자료를 포함한 해양쓰레기 모니터링 자료를 입력하여 이동 예측 및 발생원 역추적이 가능하고, 가상의 시나리오를 구성하여 해상에서의 쓰레기 이동 패턴분석도 가능하다. 본 연구에서는 황해 전체에 가상의 해양쓰레기를 투하하여 년도별, 계절별 분포 양상을 모의하였고, 황해에서 한-중간 해양쓰레기의 이동 패턴 분석 결과를 제시하고자 한다. 연도별 비교를 위해 2009년부터 2018년까지 10년간의 여름철 1개월 동안의 해양쓰레기 이동을 모의하였고, 계절별 비교를 위해 2008년의 겨울철, 여름철의 1개월 동안의 해양쓰레기 이동을 모의하였다. 성상별 비교를 위해 바람 계수를 서로 다르게 입력하여 계산하였고, 여기서 연안 침적 쓰레기의 재표류 확률은 50% 로 설정하였다. 모델 결과를 통해 계절별, 성상별 집적 위치를 파악할 수 있고, 이 결과들은 추후 해양쓰레기의 위해·위험도 구역 설정에 활용될 수 있을 것이다. 또한, 현재 수집 중에 있는 중국 연안, 해상, 국내 연안의 모니터링 자료와 연계하면 해양쓰레기의 이동패턴 및 발생원에 대한 객관적 분석 자료로 활용이 가능할 것으로 보인다.",최진용(Jin-Yong Choi),2021,https://www.riss.kr/link?id=A107948824
간호대학생의 자궁경부암 및 인유두종 바이러스감염 예방행위의도 영향요인,,최원희(Won-Hee CHOI),2016,https://www.riss.kr/link?id=A102122968
해양쓰레기의 전 지구적 관심과 실행,,정노택(Rho-Taek Jung),2009,https://www.riss.kr/link?id=A76540588
비잔티움 제국의 몰락과 지중해 향신료 무역,"1453년 5월 29일 오스만 제국 군대가 콘스탄티노폴리스를 정복하면서 비잔티움 제국은 영원히 역사에서 사라졌다. 천년 이상 존속했던 로마 제국이 멸망한 것이다. 콘스탄티노폴리스 함락 소식은 유럽 기독교 세계를 충격에 몰아넣었다. 당시 라틴 인들이 비잔티움 제국의 몰락을 엄청난 재앙으로 생각한 것처럼, 후대의 일부 역사가들도 이 사건이 지중해 교역에 엄청난 타격을 주었다고 주장한다.
이러한 주장에 따르면 오스만 영토가 된 지역에서 라틴 인들의 상업 활동이 줄어들었거나 중단되었다. 프랑스 중학교 역사 교과서와 미국 대학생용 세계사 교재들은 오스만 제국의 정복이 새로운 항로 개척의 원인이었다고 이야기한다. 좀 더 상세하게 설명하면 비잔티움 제국을 정복한 오스만 제국이 동방의 향신료가 유럽으로 들어오는 교역로를 차단하였고 그로 인해 향신료 수입이 줄자 향신료 가격이 상승하게 되었다는 것이다. 유럽으로의 향신료 공급이 원활하지 않게 되자 포르투갈과 스페인은 오스만 제국을 경유하지 않고 향신료 생산지로 직접 가는 새로운 항로를 개척하게 되었다는 것이다.
본 논문은 이러한 해석이 틀렸음을 세 가지 근거를 통해 밝히고자 한다. 첫 번째 근거는 멸망 직전의 비잔티움 제국이 인도로부터 서유럽으로 수입되는 향신료의 주요 교통로 상에 위치해 있지 않았다는 것이다. 중세 말 유럽 상인들은 콘스탄티노폴리스가 아니라 이집트의 알렉산드리아와 시리아의 베이루트 시장에서 대부분의 아시아산 향신료를 구입했기 때문이다. 둘째 근거는 15세기 후반 향신료 가격이 상승하지 않았다는 것이다. 실제로 알렉산드리아, 시리아, 베네치아, 프랑스와 영국 시장에서 향신료 가격은 상승하지 않았다. 셋째 근거는 오스만 제국이 비잔티움 제국을 정복하고 기존의 향신료 교역로를 폐쇄하지 않았다는 사실이다. 오히려 술탄 메흐메트 2세는 정복을 마무리하자 서유럽과의 교역을 정상화시키기 위해 노력했고 신속한 조치를 단행했다.","남종국(Nam, Jong-Kuk)",2018,https://www.riss.kr/link?id=A105303465
언어폭력을 경험한 응급실 간호사의 이직의도에 미치는 영향요인,,조규영(Gyoo-Yeong CHO),2021,https://www.riss.kr/link?id=A107387731
