
문화예술교육을 통한 일상의 변화와 교육적 의미 탐구,"The purpose of this study is to explore changes in a daily life through Art & Cultural Education and their educational implications. The individual learners in Art & Cultural Education program experienced emotional abundance and inner. They recalled their past selves and reflected on their present selves, which allowed them to expand their thinking by facing various perspectives and experiences in a community. Flexible thinking and open mindedness based on art & cultural education enlarged the understanding of others, restored the sensitiveness of daily life, and realized art of daily life with an attitude of wide-awakeness. Moreover, the practices of community as ‘an experience' allowed the learners interest to be extended not only to oneself but also to their surroundings, communities, and society, thereby leading to social accountability and the relevant practices. Also, realizing art of daily life is intertwined with the attitudes and quality of life of the learners, and further extends its influences to communities and society as a whole. The suggestions for art & cultural education’s orientations are as follows. First, various programs should be carried out both inside and outside school to foster the aesthetic sense of teachers. Second, practical art & cultural education at a community level should be encouraged so it can be learned as an experience rather than function and knowledge.",권희원,2018,https://www.riss.kr/link?id=A108713276
그림책 치료의 새로운 접근,"This paper aims to suggest the new therapeutic approach through picturebook. For this purpose, the concepts of extended cognition and circular causality were implemented to explain the relationship between human and picturebook. Re-reading picturebook with body and finding priming-picturebook were introduced to the participants as the concrete methodologies in this study. Re-reading picturebook with body implies on making a feeling and perceiving something for the participants from their sensory-motor organs. It was the way that encouraged them to use enactive representational mode as well as requested them to inhibit use of their symbolic representational modes while they were reading picturebook. As the result, the participants were finally found their own priming-picturebook through re-reading picturebook with their sensory-motor. And through the process, they recognized new text they made by themselves. The text was different from the original text in their priming picturebook. There were some core emotions and problems of their life in the new text. Through this considerations, some implications were discussed with the respect to finding priming-picturebook therapy as well as re-reading picturebook with body.",신혜은,2012,https://www.riss.kr/link?id=A105457441
OTT 시대의 영화 다양성에 관한 시론적 논의,"The emergence of OTT, a new media based on the universal Internet, is bringing many changes to cinema. Against this background, this study discusses how film diversity can be sustained in the new phase created by OTT. Film diversity has been an important topic in the literature in relation to the artistic and social value of films. However, most OTT studies have focused on business and technology, and only a few have addressed film diversity. In this study, we reviewed the notable features of OTT from the perspective of cultural diversity and specifically investigated the aspects of film diversity in the OTT environment that have not been explored in previous studies. As a result, we found two things about the relationship between OTT and film diversity. First, film diversity in OTT may be practiced in connection with the industry logic of content differentiation. Second, the long-tail effect of OTT has a positive impact on film diversity. The long tail refers to the commercial value of niche products that are favored by a small number of people in online-based businesses, which is why OTTs offer more films with specific tastes. This trend is leading to the emergence of OTTs that specialize in certain films, such as independent films, documentaries, and women's films. Film diversity is also a political value, as it challenges social and cultural exclusion in cinema and seeks novelty in subject matter and form. According to Benjamin, who noted the political function of art in the age of technological reproduction, cinematic art, which is inherently tied to technology, is inherently political. Therefore, this study's discussion of cinema and cinematic diversity, which is changing under the influence of new technologies, can lead to a discussion of the nature of cinema in the 21st century.",성진수,2023,https://www.riss.kr/link?id=A60089383
Z세대들의 인스타그램 기반 퍼스널 브랜딩 실행과 사회적 함의,"Generation Z, called as digital natives, is emerging as the core target of global society and economy in that they have unprecedented characteristics. The ultimate purpose of this study is to understand the social implications of personal branding of Gen Z as not only a new way of communication but also a new means of connection through an exploratory examination of the Instagram-based personal branding. As a result of the study based on the constructivist grounded theory research methodology advocated by Charmaz, factors such as differentiated content creation, social feedback, and expansion of social relationship through sharing of new information were derived as the Causal Conditions of personal branding. For the Central Phenomena, the eagerness and motivation for life through self-improvement and sense of belonging were derived. At the center of the strategy along with contextual and intervening conditions, an attitude of enjoying contents creation without losing integrity, which resulted in the growth that improved their self-esteem with the belief to be an independent self by discovering another identity. The findings of this study are meaningful in two folds. First, sustainable personal branding as well as branding should have a balance between respect building and relationship building. Second, it tried to build the theory of personal branding.",정혜욱,2022,https://www.riss.kr/link?id=A100386567
일본 애니메이션의 신화적 모티프를 활용한 심층문화 교육 자료로서의 가능성 고찰,"The myth is a fictional story, it has long been loved for its commonly used worries and various aspects of human society. Mythical imagination lies at the base of modern culture, which affects various cultural contents. Particularly, in the case of animation works, it can be mentioned that the mythical imagination is more revealed in a suitable genre for realizing the imaginary world. Many of the Japanese animation works related to the Japanese mythology and believers. Specially, believers are an indispensable cultural code in Japan that affects the entire life of Japanese beyond just the religion. Therefore, Japanese animation works containing myths and Shinto motifs that can be excellent cultural education materials to analyse Japan's in-depth culture. In this paper, Hayao Miyazaki's “Spirited Away” and Makoto Shinkai's “Your Name”. are well-known among other Japanese animation works that have been popular worldwide. By analysing Hayao Miyazaki's “Spirited Away” and Makoto Shinkai's “Your Name”, Japan's unique myths and believer motifs were found. Since Japanese animation has many works containing myths and Taoist motifs, it is expected that the scope of research will be expanded to other works in the future, further expanding the possibility of Japanese animation as an in-depth cultural education materials in Japan.",박신영,2022,https://www.riss.kr/link?id=A60093285
다문화가정 유아의 적응에 대한 연구동향 분석,"This study aims to identify research trends in adaptation of young children from multicultural families in order to provide insights for researchers around research topics and cultural adaptation orientation of young children from multicultural families. Subjects of this study were 41 literatures with key words of‘young children from multicultural families’, ‘adaptation’, and‘life’through paper search system. This study was analysed the research themes, methods, subjects, and perspectives of cultural adaptation in adaptation researches of young children from multicultural families, 2006-2017 from peer reviewed journals with analysis frameworks. The results showed that : (a) the most common research topic continues to be about adaptation conditions of young children from multicultural families; (b) among research methods, quantitative research has most frequently used in, followed by qualitative methods, mixed methods, and literature review; (c) cultural adaptation was focused on the perspective of social-cultural adaptation, developmental importance of adaptation in early childhood and problems-based research. It implicated that further researches are need to focused on psychological adaptation and formation of classroom community beyond personal and structural adaptation in preschools.",윤갑정,2018,https://www.riss.kr/link?id=A100548372
상사의 코칭리더십이 부하직원의 개인 창의성에 미치는 영향,"The purpose of this study is to analyze the effect of supervisor 's coaching leadership on individual creativity of subordinates. For this purpose, a population was set up for the workers in small, medium, small and large size manufactring companies in South Korea.
A total of 303 samples were collected. Statistical analysis, mean difference analysis, correlation analysis and multiple linear regression analysis were performed using SPSS 22.0 statistical program.
The results of this study are as follows.
First, the coaching leadership of the supervisor and the individual creativity of the subordinates were found to have above average recognition level. The coaching leadership of the supervisor resulted in the order of development, relationship, performance evaluation, and direction presentation. The individual creativity of the subordinates resulted in the order of knowledge and experience, task motivation, and creative thinking skill.
Second, according to the demographic variables, there was a statistically significant difference in the creativity of subordinates. The creativity of men was higher than that of females, and the level of academic achievement was higher for college graduates than that of high school graduates. The level of creativity of deputy section chiefs or executives was higher than that of employees or managers. The employees working more than five years showed higher creativity than the employees working less than five years. More than three years of work experience with the manager showed higher creativity than less than three years, and the current working period showed more than five years of creativity.
Third, the coaching leadership of the supervisor perceived by subordinates and the individual creativity of the subordinates were found to be significantly correlated with each other. For the sub - factors, it was confirmed that there is a high correlation between the relationship of coaching leadership and task motivation of individual creativity.
Fourth, coaching leadership had a statistically significant effect on the individual creativity of subordinates. For the sub-factors, the relationship with the direction of coaching leadership had an influence on the individual creativity of the subordinates, and the development and performance evaluation did not have a statistically significant effect.",이정민,2018,https://www.riss.kr/link?id=A107873075
디지털 시대 예술교육의 새로운 방향을 위한 탐색적 연구,"Rapid progression into a digital society in the 21st century has meant that the center of discourses regarding future education has shifted towards digital literacy and capabilities. Indeed, the strong preference shown by Generation Z toward new media indicates the emergence of completely different ways of social interactions and communication than ever before. This study proposes ‘Arts with Humanities in Education' as one of the arts education discourses with the capacity to efficiently contribute to the development of literacy and relevant capabilities for a digital era. The notion of ‘Arts with Humanities in Education' inherits and furthers the discourse of Martha C. Nussbaum, who emphasizes the liberal arts education as a crucial part of future education. Following on from this, this study argues ‘Arts with Humanities in Education' aims toward the realization of “imagination of praxis” through the signification of arts activities that are characterized by dialogic aesthetic experiences. On the basis of the theoretical analysis toward new directions for arts education in a digital era, this study reviews an exemplary of “Arts Together,” a program that has been organized and successfully implemented in 2018 by SFAC(Seoul Foundation for Arts and Culture) as part of the regular school curriculum across 103 middle schools in Seoul, and explores the possibility of ‘Arts with Humanities in Education' as a new practice of arts education in school.",임미혜,2018,https://www.riss.kr/link?id=A60089395
중등음악교사들의 다문화 음악교육의 실태 및 인식 조사,"The purpose of this study is to unravel the status quo and perception of secondary school music teachers on multicultural music education. This paper presents the results of research conducted on secondary school music teachers across the country. Music teachers commonly introduced musical cultures of foreign countries when carrying activities concerning areas of singing, instrumental music, composition and music appreciation. The reasons for such activities and the difficulties encountered during classes differed in responses for each area. In addition, most teachers were aware of the need for multicultural music education. In fact, more than half of the teachers agreed on providing multicultural music education, yet they felt a stronger need for more variety in high quality education materials. To improve pedagogical competencies, it is crucial to encourage various teaching methods and topics and create textbooks that cover diverse vocalization and singing methods in various countries. It is also important to implement policies that prioritizes a specific, long term multicultural music education to all students.",박지원,2023,https://www.riss.kr/link?id=A82425444
번역 학습자를 위한 한·중 번역 사례 연구 : 대학 행정 용어를 중심으로,"The purpose of this study is to accurately express university administrative terms that are difficult to translate into both languages with different administrative systems and language habits of Korea and China. To this end, we examined how actual Korean language learners translate university institution and position terms through translation text.
The results confirmed that the most learners could not accurately grasp the meaning of university administrative terms written in Chinese characters and translate directly or incorrectly. For correct translation, We should grasp the meaning of the source language and the target language, and then obtain the correct expression through comparative analysis.
Through this point, this study attempts to present the following points to Korean learners in the process of translation education in Korean. First, it is necessary to make efforts to find words that are easy to understand and accurate to the target language reader in the translation process. Before translating, it is important to read the meaning of the entire text sentence, not the word. Second, be careful about the interference phenomenon of Chinese characters. It is necessary to understand and learn by contrasting similarities and differences in the meaning and usage of Chinese characters between Korean and Chinese.
The regrettable thing is that as the portal site's translation function has recently improved, foreign language learners have been enjoying using it, but they have not been able to compare and explain machine translation and learner translation. It is expected that discussions on these contents will continue through follow-up studies in the future.",서징흠,2023,https://www.riss.kr/link?id=A60056515
