
대학교육의 챗GPT 대응 현황 및 방안 연구,"본 연구는 대학교육에서의 챗GPT의 대응 현황과 현실적인 방안을 탐색하는 데 그 목적이 있다. 챗GPT는 최근 4.0 버전까지 등장했고 국내·외에서 교육 및 연구 등에 대 한 여러 쟁점을 가시화하고 있다. 특히, 교육 현장에서 교수자와 학습자가 챗GPT를 활 용해도 되는지, 활용을 한다면 그 범위는 어디까지인지, 가이드라인이나 윤리 강령을 제시해야 하는지 등에 대해 현재까지 명확히 정리되지 않은 상태라고 할 수 있다. 이러 한 점에서 챗GPT의 활용 현황 등의 전반적인 양상을 확인하고 앞으로의 방향성을 모 색하는 것은 시의적절하다고 하겠다. 본 연구를 위해 챗GPT 관련 최신 국내·외 선행연 구, 도서, 신문 기사 등의 문헌 자료를 종합적으로 조사하여 그 내용을 살펴보았다. 연 구에 제시된 자료는 2023년 3~7월 경에 확인 가능한 최신 내용에 기반한 것이다. 이를 토대로 챗GPT의 주요 특징과 관련 이슈, 국내·외 대응 현황, 대학교육에서의 대응 방안 을 제시하였다. 본 연구를 통해 대학교육을 중심으로 챗GPT의 활용에 대한 대응 현황 과 쟁점 등을 전반적으로 살펴보고 효과적인 교육 방안을 모색할 수 있을 것이다.",전종희,2023,https://www.riss.kr/link?id=A108713276
다문화 부모교육의 현황과 과제,"최근 들어 국제결혼 가정이 눈에 띄게 늘어나고 있으며 국내에 장기체류하는 외국인 근로자나 외국인 유학생, 산업 연수생 등의 숫자도 크게 증가하고 있다. 이제 우리는 우리 주변에서 우리와 다른 사회·문화적 배경을 지닌 다양한 사람들을 어렵지 않게 발견할 수 있게 되었다. 요컨대 우리 사희는 이미 다인종·다민족·다문화 사희에 진입하였다고 할 수 있다. 그러나 아직도 우리 사희에는 단일민족 신화, 순혈주의 전통 등에 기초한 민족적 우월감과 타문화에 대한 배타성, 폐쇄성, 거부감 등이 뿌리 깊이 남아 있다. 그로 인하여 서로 다른 '차이'가 '차별'과 '억압'으로 이어지는 일이 벌어지고 있으며 사회 구성원들 간의 소외, 갈등, 부적응 등의 문제가 양산되고 있는 상황이다. 본 연구는 이와 같은 심각한 사회적 문제를 풀 수 있는 실마리를 '교육'에서 찾고자 하며, 교육을 통해 서로 다른 문화를 존중하고 이해하는 바탕 위에 사회통합을 이루어 나가는 다문화교육의 필요성과 중요성에 대한 인식 위에 다문화교육의 일환으로서 학교중심 부모교육의 가치에 대해 살펴보고, 최근 교육인적자원부의 지원 아래 시범적으로 실시된 바 있는 학교중심 다문화 부모교육 프로그램을 토대로 그 문제점과 대책에 대해 논의해보았다. 즉, 본 연구에서는 가정, 학교, 사회 간의 유기적인 네트워킹을 통한 학교중심 다문화 부모교육의 활성화 방안을 구체적으로 모색함으로써 효과적인 사회통합의 실천 방안으로서 학교중심 다문화 부모교육의 과제를 집중적으로 다뤄보았다.",김향은,2007,https://www.riss.kr/link?id=A105457441
지역문화예술교육 활성화 방안에 관한 사례 연구,"최근 들어 지역사회의 중요성이 부각되면서 지역문화예술교육에 대한 관심과 요청도 고조되고 있다. 이러한 요구에 발맞추어 중앙정부에서는 지역에 대한 문화예술교육 사업을 적극적으로 지원하고 있으며, 지역에서는 문화예술교육 지원사업이 활발하게 운영되고 있다. 그러나 문화예술교육 지원사업에는 일방적이고 단선적인 지원형식 및 의사소통체계, 단년도 회계주의 원칙에 따른 프로젝트 기반 지원제도 고착 등 여러 가지 구조적 문제가 존재하고 있다. 더불어 지역특성을 살려 진행하는 문화예술교육 프로그램에 대한 연구가 매우 취약하고, 실행주체의 역량검증 시스템이 미비한 상황에서 대부분의 지역문화예술교육 지원사업이 전개되고 있는 실정이다. 이러한 문제를 개선하고 보다 바람직한 지역문화예술교육 환경을 마련하기 위하여, 본 연구는 현재 6년째 운영 중이며 우수센터로 평가받고 있는 광주문화예술교육지원센터의 지역문화예술교육 지원사업 사례의 현황과 문제점을 분석하여, 이를 바탕으로 지역문화예술교육 활성화 방안을 제시하고자 하였다. 그 결과, 1. 지역특화 지원·운영모델 개발, 2. 문화예술교육 수혜대상층 확장, 3. 지역단체 역량강화 시스템 구축, 4. 지역문화예술교육 연구와 자체 네트워크 조직, 5. 지역기반시설 간 협력체계 구축 등 다섯 가지의 방안을 도출하였다.",이다롱,2015,https://www.riss.kr/link?id=A60089383
음악교육의 사회적 역량을 위한 기초개념으로서의 음악 심미적 경험,"음악교육은 개인의 미적 즐거움뿐만 아니라 그들의 삶과 생활에 영향을 끼쳐야 하는데, 이는 음악교육의 목적이 개인의 미적 성장과 동시에 사회적 역량을 포함하는 것이다. 이러한 음악교육의 목적과 사회적 역량을 아우를 수 있는 음악교육의 기초 개념이 바로 음악의 심미적 경험이다.
우선, 음악교육 철학적 관점에서 심미적 경험은 자연의 유기체성과 세계의 역동적인 상호교류작용에 기초한다. 그리고 그 수준은 수렴적 완성의 경험, 지배적 성질을 지닌 상황적 통일체의 경험, 미적 성질을 소유한 경험, 하나의 종결(완결)적 경험, 정서적 완전체로서의 경험, 경험의 조직화를 이끄는 조정력을 지닌 경험, 선(善)의 실천으로서의 경험으로 드러난다.
따라서 음악교육 철학적 관점에서 음악의 심미적 경험은, 개인에게 유기적 생명 에너지 공급, 삶의 진정한 의미 발견, 세계를 파악하는 질적인 사고 형성, 윤리적 판단력의 근거 제공, 상상력(창의성) 신장 및 내면의 평화와 정신을 충족케 하는 동시에, 지(知)·정(情)·의(意)·체(體)의 통합적 성장을 가능하게 하여 공동의 가치관 형성, 자연과의 통합으로서의 이상적인 인간 성장이라는 사회적 역량을 발휘한다.",김기수,2010,https://www.riss.kr/link?id=A100386567
다문화간호 경험 간호사의 문화적 역량 발달에 관한 연구,"본 연구는 간호사라는 직업인들이 어떠한 무형식학습의 경험을 통하여 간호에 있어서의 상호문화역량을 체득해 가는가, 즉 문화적 역량의 발달 과정을 밝히는 것이다. 현재 우리나라는 간호사로 입직하기 전 대학교 간호학과에서는 다문화간호에 대한 체계적인 교육과 경험을 받고 졸업하지 못하는 상황에 놓여있다. 이 결과 간호사들이 결혼이주여성들이나 외국인노동자를 간호함에 있어 전혀 사전지식과 경험이 없는 상황에서 간호를 하고 있어 간호분야의 질 관리에 큰 문제가 되고 있다. 본 연구는 해석학적 연구에 기반하여 결혼이주여성들과 외국인노동자들에 대한 간호사들의 간호경험, 학습과정과 변화과정을 살펴보고자 한다. 연구대상자는 총 7명으로 이들은 우리나라에서 외국인 노동자 수가 두 번째로 많은 도시에서 결혼이주여성과 외국인 노동자들에 대한 간호를 한 경험이 있는 간호사들이다. 이를 통해 도출된 연구결과는 놀랍게도 미국에서 이루어진 Campinha-Bacote의 기존연구결과인 문화적 자각, 문화적 지식, 문화적 기술, 문화적 태도의 방향과 단계와 비슷하게 문화역량들을 함양해가고 있었다. 간호사들은 자신의 차별행위에 대한 자각을 하면서 다른 문화에 대한 이해도를 높여가고 있으며 이를 위해 어떠한 간호실천을 보여야 하는지에 대한 문화적역량들을 습득해가고 있었다. 이 연구는 문화다양성이 높아지는 가운데에서 사회적 서비스의 직업군에서 일하는 직업인들이 체계적으로 배우지 않은 문화적 역량들을 무형식학습과정을 통해 어떻게 체화해 가는가를 보여준다.",손현미,2015,https://www.riss.kr/link?id=A60093285
대중문화에서의 미적 체험과 학습,"'문화란 무엇인가?'라는 질문에 대해 다양한 논의들이 있어왔지만, 그중 리비스주의로 대표되는 문화엘리트주의는 대중문화에 대한 고정관념을 갖게 한 대표적 입장이다. 하지만 문화는 당대 대중이 집합적으로 공유한 생활양식이라 할 수 있다. 문화가 대중의 살아있는 경험으로서의 총체적인 삶의 방식이라 할 때, 대중문화 역시 새롭게 정의될 수 있다. 즉, 대중문화는 대중의 일상 속에서 산업생산의 방식으로, 사회적 힘으로, 정치적 효과와 문화적 권력의 형태로 실재한다. 이러한 대중문화에 대한 인식의 전환 속에서 대중문화의 미학을 구성하는 일은 새로운 과제가 된다. 그것은 대중문화의 다양한 장르와 대상을 관통하는 보편적 특성을 찾아내고, 그 특성이 갖는 의미를 새롭게 구성하는 일에서 시작할 수 있다. 문제는 대중문화 속에서 (미학의 관점에서 바라보았던) 예술이라 부를 수 있는 요소나 특성을 발견하는 것이 아니라, 대중문화 고유의 '아름다움'을 발견하고 그것이 갖는 의미를 새롭게 이해하는 일이다. 대중문화에 대한 미학적 접근이 가능할 수 있는 공통분모는 '살아진 경험'과 '대중성' 그리고 '욕망의 투사'와 '문화정치' 속에서 찾을 수 있다. 이로부터 배태된 즐거움, 모방, 통속성, 현실도피, 유행 같은 속성들은 대중문화의 미학코드로 새롭게 설정될 수 있다. 빈티지 패션은 싸구려 원단이나 제봉기술의 부족 때문에 생긴 것이 아니다. 흠집과 얼룩 자체가 하나의 의미를 발산한다고 할 때, 대중문화의 미학코드들 역시 소소한 삶의 소재들을 대중문화이게 만드는 의미들을 끊임없이 생산하고 있다.",김성일,2008,https://www.riss.kr/link?id=A107873075
한국·중국·베트남의 다문화 사회 인식 비교 분석,"이 연구는 한국, 중국, 베트남 등 동 아시아 세 국가의 다문화 인식 수준과 그 인과관계를 분석하기 위하여 인종 다양성에 대한 인식을 중심으로 기술통계와 평균차이 검증, 상관관계 분석, OLS 회귀분석 등을 사용하여 비교 분석하였다. 분석에 사용된 자료는 국제 사회 조사인 세계 가치관 조사(WVS)의 2005 데이터 파일이다. 한국ㆍ중국ㆍ베트남 국민들의 국가별 다인종 사회 인식수준을 보면, 세 국가 사이에 통계적으로 유의미한 차이가 발생하고 있었다. 한국이 상대적으로 다인종 사회에 대해 부정적으로 인식하고 있는데 반해 베트남은 상대적으로 가장 긍정적으로 인식하고 있었다. 다인종 사회 인식과 관련한 인과관계 분석 결과를 보면 세 국가 사이에서 상이한 양상이 나타나고 있음을 볼 수 있었다. 종합적으로 판단해 보면, 한국ㆍ중국ㆍ베트남 3국에서 다문화 사회 인식에 공통적으로 영향을 미치는 변인은 없는 것으로 보이고, 해당 국가 상황에 따라 똑같은 변인이 상이한 인과 관계를 형성하고 있는 경우도 있고, 동일한 인과 관계를 형성하고 있는 경우도 있었다.",서운석,2010,https://www.riss.kr/link?id=A60089395
한국어 감정표현단어의 추출과 범주화,"본 연구 1에서는 한국어 감정표현단어의 목록을 제작하고, 연구 2에서는 제작된 감정표현단어가 어떤 범주의 감정에 속하는지를 조사하였다. 연구 1의 한국어 감정표현단어 목록 제작을 위하여 연세대학교에서 제작한 ``현대 한국어의 어휘빈도`` 자료집으로부터 감정단어들을 추출하는 작업을 여러 단계에 걸쳐 시행하였다. 일상생활에서 빈도 높게 사용하는 감정표현단어를 선정하기 위하여 국문학 전공자와 감정연구자 12명이 참가하였으며, 총 504개의 감정표현단어들로 구성된 목록을 완성하였다. 연구 2에서는 80명의 대학생을 대상으로각 단어가 ``기쁨``, ``공포``, ``분노`` 등 10개 범주(중성포함)의 감정 중 어느 감정과 관련 있는지 복수 선택하도록하여 각 단어에 대한 감정 범주를 조사하였다. 단어들의 감정 범주 분석 결과, 504개 단어 중 426개 단어는 한 범주의 감정을 의미하였는데, ``슬픔``을 나타내는 단어가 가장 많았으며, 다음으로 ``분노``, ``기쁨`` 순으로 나타났다. 다음 72개 단어는 두 감정 범주를 나타내었는데, ``분노``와 ``혐오``, ``슬픔``과 ``공포`` 그리고 ``기쁨``과 ``흥미``로 묶이는 단어가 많았다. 세 감정 범주를 보인 6개의 단어는 ``놀람``, ``흥미``, ``기쁨``의 조합이 가장 높은 빈도로 나타났다. 본 연구는 일상생활에서 실제로 사용하는 감정표현단어 목록을 제작하고, 이에 기반을 두어각 단어와 관련된 감정 범주를 복수의 감정 범주를 포함하여 규명하였다는 데 의의가 있다. 본 연구에서 개발된 감정표현단어들과 각 단어에 대한 감정 범주 정보는 심리학 분야뿐만 아니라 이후 HCI 분야에서 언어적내용에 기반을 둔 감정인식 연구에 활용될 수 있을 것으로 기대한다.",손선주 ( Sun Ju Sohn ),2012,https://www.riss.kr/link?id=A82425444
초기 성인의 조건부 자아존중감이 열등감에 미치는 영향: SNS 이용동기로 조절된 SNS 상향비교의 매개효과,"본 연구는 초기 성인의 조건부 자아존중감이 열등감에 미치는 영향에서 SNS 상향비교와 SNS 이용동기가 어떠한역할을 하는지 탐색하고자 하였다. 선행연구를 토대로 각 변인들의 관계에 대한 연구모형을 설정하여, 조절된 매개효과를 검증하고자 하였다. 이를 위하여 온라인 설문지를 구성한 후, SNS를 이용하는 초기 성인 400명을 대상으로설문조사를 실시하였으며, 최종적으로 총 351부를 분석에 활용하였다. 본 연구의 주요 결과는 다음과 같다. 첫째, 조건부 자아존중감, SNS 상향비교, SNS 이용동기, 그리고 열등감은 모두 정적 상관을 나타내었다. 둘째, 조건부 자아존중감이 열등감에 영향을 미쳤으며 SNS 상향비교는 완전 매개하였다. 셋째, SNS 상향비교와 열등감의 관계에서SNS 이용동기의 조절을 확인하였다. 마지막으로, 조건부자아존중감이 SNS 상향비교를 매개로 열등감에 미치는 간접효과를 SNS 이용동기의 영향으로 조절하는 것을 확인하였다. 본 연구 결과를 바탕으로 초기 성인이 열등감을 경험하는 것과 관련하여 심리적이고 정서적인 함의를 제시하였다.",최기현,2023,https://www.riss.kr/link?id=A60056515
어린이집 원장의 코칭리더십이 보육교사의 심리적 안녕감에 미치는 영향,"본 연구는 원장의 코칭리더십이 보육교사의 심리적 안녕감에 미치는 영향을 파악함으로써 보육의 질 향상을 위한 기초 자료를 제공하는데 목적을 두었다. 이를 위해 A시, P시, S시의 어린이집에 근무하는 보육교사 332명의 설문지를 t검정(t-test)과 분산분석(One-Way ANOVA), 피어슨의 상관관계 분석, 다중회귀분석을 하였다. 그 결과, 보육교사는 연령, 결혼여 부에 따라 심리적 안녕감에 유의한 차이가 있는 것으로 나타났으며, 긍정적인 대인관계는 가 정어린이집의 보육교사들이 가장 높은 것으로 나타났다. 보육교사들은 원장의 코칭리더십에 대해 보통 이상으로 인식하고 있었으며 보육교사가 인식한 원장의 코칭리더십과 보육교사의 심리적 안녕감 간에는 정적인 상관이 있는 것으로 나타나 원장의 코칭리더십이 높을수록 보육 교사의 심리적 안녕감이 높아짐을 알 수 있었다. 보육교사가 인식한 원장의 코칭리더십이 보 육교사의 심리적 안녕감에 미치는 영향으로는 코칭리더십의 관계, 개발 요인이 심리적 안녕감 에 정적인 영향을 미치는 것으로 나타났고, 수행평가 요인은 부적인 영향을 미치는 것으로 나 타났다.",고은지,2016,https://www.riss.kr/link?id=A108533909
