
일본의 히키코모리 지원체계 고찰과 한국에의 시사점,"본 연구는 일본의 히키코모리 지원체계를 살펴보고, 한국에의 시사점을 얻고자 하는데 목적이 있다. 1970년대 고도성장기와 1990년대 경제침체기를 경험한 일본은 그 여파로 히키코모리라는 아픈 가시가 사회문제로 자리잡고 있다. ‘8050문제’와 같은 세계적으로도 특수한 형태의 가족구성과 히키코모리의 고령화, 장기화 문제는 그 해법을 찾기가 쉽지 않아 보인다. 그럼에도 일본 정부는 이를 해결하기 위해 국가적 차원에서 히키코모리 실태를 파악하고, 지원정책 개발과 서비스 개선을 통해 대처방안을 모색 해 왔다. 최근에는 대상과 방식에 변화를 주고 있다. 그간 ‘아동·청소년’ 내지는 ‘청년층’을 중심으로 진 행해왔던 히키코모리 지원정책 대상을 ‘중·고령층’으로 확대하고, 분절된 방식에서 ‘포괄적’ 방식의 지 원시스템으로 바꿔 가는 중이다. 또한 상담·복지·의료·교육·고용 등 다 영역에서의 포괄적 지원시스템 과 더불어 민관의 다양한 협력체계 구축을 위해 노력하고 있는 모습이다. 이러한 일본의 경험을 바탕으 로 한국 사회에 가져다주는 시사점을 제시하였다.",박지선,2020,https://www.riss.kr/link?id=A106912906
유전자 편집의 윤리,"유전자 가위 기술의 발달로 이제 우리는 유전자를 편집하는 힘을 얻게 되었다. 이로 인해 유전적 질병의 치료뿐만 아니라 자질 강화는 물론이고 자녀의 유전자마저 결정할 수 있다. 바야흐로 인간은 자연 진화의 주인 자리에 올라 진정 만물의 영장이 되었다. 하지만 유전 정보 및 유전자 편집의 힘은 윤리적, 사회적으로 적지 않은 파장을 일으키고 있다. 생물 안정성이라는 기술상의 위험 요소는 물론이거나 이중 사용의 딜레마로 인한 바이오 테러 등의 생물 보안도 큰 사회적 이슈이다. 이러한 위험보다 더 심각한 것은 윤리물음이다. 동식물 대상의 유전자 편집은 동물권 물음을 야기하고, 인간 대상 유전자 편집은 치료를 넘어 자질 강화를 낳는 유전자 성형의 경우 정의와 연관하여 접근 기회의 공평성, 결과의 평등, 절차적 공정성 등의 윤리 원칙을 요구한다. 특히 맞춤아기의 경우처럼 다음 세대에 유전되는 생식세포 유전자 편집은 부모에 의한 자녀의 유전자 선택으로 부모와 자녀의 관계를 근본적으로 바꾸어 놓을 것이다. 윤리적 유전자 편집을 위한 민주적 숙의 과정이 그 어느 때보다 절실하게 요구된다.",김상득(Kim Sangdeuk),2018,https://www.riss.kr/link?id=A108636836
아들러의 개인심리학을 적용한 상담과정과 상담기법에 관한 연구,"본 연구는 아들러의 개인심리학을 연구하여 거기에서 도출된 상담이론을 토대로 상담과정과 상담기법을 연구하고자 하였다. 아들러의 상담과정의 진행은 첫째, 관계형성단계는 상담자와 내담자 상호 간의 합의된 목표를 향해 적극적인 파트너로서 일하는 평등하고 상호 협력적인 관계를 추구하는 단계이다. 둘째, 생활양식 탐색단계는 생활양식을 이해하고 생활양식이 삶의 과업에 어떠한 영향을 미치는지를 이해하는 것을 중요한 목표로 하는 단계이다. 셋째, 통찰단계는 통찰력을 가지는 단계이다. 넷째, 재정향(행동 전환)단계로 진행된다. 아들러의 상담기법은 일반적기법과 특수기법이 있는데, 일반적 기법으로는 즉시성, 충고하기, 격려하기, 역설적 의도, 시법보이기, 역할놀이 등이 있다. 특수기법으로는 초인종 누르기, 내담자의 수프에 침 뱉기, 마이더스 기법, 타인을 즐겁게 하기, 저질의 아이 피하기, 스스로 억제하기 등이 있다. 결론적으로 개인심리상담은 의학적 모델이 아니라 성장모델에 기초하며, 치료한다는 측면보다는 건강한 개인과 사회를 재교육하고 재조명하는 데 더 많은 관심을 가지고 있다. 그러므로 아동지도센터, 부모-아동상담, 부부상담, 가족상담, 집단상담과 치료, 아동과 청소년의 개인상담, 문화적 갈등, 정신건강 운동 등 다양한 영역에 적용된다.",김보기 ( Bo-ki Kim ),2020,https://www.riss.kr/link?id=A105623744
학교폭력의 실태와 대처방안 분석,"본 연구는 청소년 학교폭력이 점점 심각한 사회문제로 부각되고 있으므로, 학교폭력에 관련된 선행연구를 살펴보고, 그에 비추어 현행 학교폭력의 대응방안과 문제점을 검토함으로써, 학교폭력의 원인, 피해유형의 변화 가운 데 사이버 폭력의 비중 증가에 따른 예방과 줄여나가기 위해서는 학교폭력에 대한 적극적인 대응이 필요하며, 코로나 19 이후 교육환경 변화로 인한 학교폭력의 최근 실태와 특징의 비교분석을 통해 문제점을 인지함으로써, 학교폭력의 예방에 관한 학교, 가정, 지역사회의 대처방안에 대하여 올바른 방향성에 대하여 모색해보고자 한다.
분석 자료는 교육부 2021 1차 학교폭력의 실태조사를 통하여 코로나19로 인한 교육환경 변화를 감안한 심리. 정서 결손 해소의 방안과 학교의 교육적 해결역량이 강화되어야 하며 교사의 책임강화와 효율적인 대처능력의 향상으로 학교폭력 예방 및 학교폭력 문제를 해결하기 위한 방향과 대안을 제시하는데 그 의의가 있다.",최지원,2022,https://www.riss.kr/link?id=A106993164
사회적 지지와 노년기의 행복에 관한 연구 : 젠더 차이를 중심으로,"한국사회에서 노인인구가 급격히 증가하고 기대수명이 증가함에 따라, 노인의 행복에 대한 관심이 매우 증대하고 있고 노년기의 행복에 대한 연구가 많아지고 있다. 그런데 이같은 노년기의 행복에 관한 연구에서 젠더의 차이가 쉽게 간과되는 경향이 있다. 한국사회의 경우 생애사적으로 남녀 간의 경험차가 상당하다는 점에서 젠더 차이에 기반한 노년기 행복 연구에 필요해 보인다. 이런 문제의식 하에 본 연구는 젠더 차이가 사회적 지지와 노년기의 행복에 어떤 영향을 미치는지를 분석하였다. 여성노인과 남성노인 간 사회적 지지의 차이를 분석한 결과, 사회적 지지의 하위요인인 물질적 지지와 긍정적 상호 작용이 젠더에 따라 유의한 차이를 보이는 것으로 나타났다. 또한 행복에 관한 분석에서도 젠더 차이가 통계적으로 유의한 것으로 나타났다. 노년기 행복에서 사회적 지지는 두 집단 모두에 중요한 영향을 미쳤다. 이러한 연구결과를 바탕으로 본 연구는 사회적 지지의 확대와 노년기의 행복 증진을 위하여 어떤 노력이 수반되어야 하는지 제언하고, 동시에 그것이 갖는 함의에 대해서도 논의하였다.",강미희,2020,https://www.riss.kr/link?id=A108214422
장기기증을 위한 뇌사자의 안락사 문제,"본 논문은 최근 문제가 되고 있는 뇌사자의 장기기증에 관한 문제를 다음의 두 가지 측면에서 검토한다. 첫째, ‘인간성의 표지(indicator of humanhood)’를 상실한 인간을 사회적 이익의 극대화를 위해 사망에 이르도록 하는 결정이 윤리적으로 정당화될 수 있는 지의 여부, 그리고 둘째, 뇌사자의 심적상태에 대한 신경 생리학적 접근이 이들의 심적 상태를 명확히 반영하는가에 대한 검토이다. 이를 통해 필자는 인격체의 표지를 상실한 인간에 대한 삶의 결정권은 전적으로 타자에 의해 마련될 수 없고, 뇌사자의 심적 상태에 대한 신경생리학적 정의는 자연주의적 오류에 해당함을 논할 것이다. 이를 바탕으로 뇌사자의 비자발적 안락사를 통한 장기기증이란, 사회적 이익이라는 선(善)을 추구하기 위해 행해지는 의도된 악(惡)을 정당화할 수 있는 잠재적 문제를 지니고 있음을 주장할 것이다.",김태경(Tae-Kyung Kim),2019,https://www.riss.kr/link?id=A108173668
스타벅스의 성장배경분석 : STEEP을 기초하여,"본 연구는 한국 커피산업에서 경쟁력 있는 기업인 스타벅스의 성장배경을 분석하고자 하였다. 이에 STEEP 분석기법을 활용하여 기업이 보유한 각각의 경쟁력을 분석하고 결과를 경쟁력 요소를 도출하고자 하였다. 연구 결과는 다음과 같다. 사회적인 측면을 살펴보면 경제성장에 따른 생활수준이 높아져옴에 따라 여성에 경제적 활동이 기폭제 역할을 해왔다. 또한 과거 커피문화의 경우 자판기 믹스커피 문화에서 문화공간적인 측면을 강조하는 소비시장으로 변모함을 간파해온 스타벅스 대응전략이 유효하였다. 기술적인 측면을 살펴보면 프랜차이점 원두 맛에 일률적 표준화를 확보하여 편차를 줄여왔으며 매장을 직영으로 운영함으로서 표준화된 운영 시스템 운영이 가능하였다. 그리고 경제적인 측면을 살펴보면, 커피 소비시장이 확장세를 이어옴에 따라 시장전체 크기 또한 비례적으로 커져 안정적인 성장환경이 형성되어왔다 는 점이다. 마지막으로 환경적, 정책적 측면을 살펴보면, 최근 친환경성을 강조한 정책방향을 간파하고 시장 선두기업으로서 친환경 기업으로서의 정책 활동에 기초한 마케팅 전략방향이 주요해왔다는 점이다.",이종현 ( Jong-hyeon Lee ),2022,https://www.riss.kr/link?id=A106912907
한국 OTT 시장에서의 글로벌-로컬 OTT간 경쟁상황 시나리오 분석,"본 연구는 점점 치열해지고 있는 국내 OTT 시장에서의 경쟁상황을 예측하기 위해 국내 방송사, OTT 플랫폼, 해외 스튜디오, 통신사 등 업계 전문가들과의 심층인터뷰를 통한 시나리오 분석을 수행했다. ‘글로벌과 로컬’이라는 축, ‘독점과 경쟁’이라는 2개의 축을 놓고 ‘글로벌 OTT 독식’, ‘글로벌 OTT간 경쟁’, ‘OTT 춘추전국시대’, ‘국내 OTT간 제휴합병’이라는 4개의 시나리오를 구성해, 이를 업계 전문가들에게 제시하고, 2023년까지 펼쳐질 글로벌 OTT와 국내 OTT의 경쟁상황 변화, 4가지 시나리오에 대한 전망, 이러한 경쟁상황 변화가 국내 미디어 시장에 미칠 영향에 대해 물었다. 시나리오 분석 결과 대다수 전문가들이 ‘넷플릭스 천하’가 계속될 가능성이 높다고 답했지만, 독점이냐 경쟁이냐에 있어서는 2021년 국내 진출이 예상되는 디즈니 플러스의 제휴전략에 큰 영향을 받을 것이라고 예상했으며, 소수 플랫폼이 시장을 장악하는 시나리오 1, 4와 다수 OTT가 경쟁하는 2, 3 시나리오로 의견이 갈렸다. 글로벌 OTT의 등장으로 국내 미디어 시장은 로컬TV의 시대에서 진정한 글로벌TV의 시대로 변화할 가능성이 높으며, 지상파/케이블 방송사가 쇠퇴하고, 콘텐츠 제작사의 공급력이 강화되는 등 국내 미디어 시장이 급변할 것으로 예상되었다.",손창원 ( Changwon Son ),2021,https://www.riss.kr/link?id=A108562441
크리스퍼 유전자가위에 의한 인간 생식세포 유전체 편집의 윤리적 프레이밍,"새롭게 개발된 부위-특이적인 핵산분해효소인 CRISPR-Cas9은 최근 인간 배아에서 여덟 차례에 걸쳐 유전체 편집을 수행한 바에서 볼 수 있듯이 인간 생식세포 변형에 관한 그간의 우려를 현실로 만들었다. 이 논문의 목적은 CRISPR-Cas9에 의한 생식세포 유전체 편집을 Beauchamp와 Childress의 의료윤리의 네 가지 원칙이라는 윤리적 프레임에 따라 분석하는 것이다. 이를 위해, 기초연구, 전임상연구, 그리고 임상연구에서 윤리적 쟁점과 우려를 분류하였다. 생식세포 편집은 해악금지의 원칙에서 배아의 도구화, 생식세포 기증자 보호, 이익 대비 위험성, 미끄러운 비탈길, 예상치 못한 효과, 인간 유전자 풀의 변화, 장애인의 권리 위협 등의 문제와 우려가 제기된다. 선행의 원칙에서 유용한 과학지식 창출, 임상적용 위험 감소, 유전질환 극복, 유전적 자녀 출산, 건강 복지 기여, 우발적 발견등의 주장이 제기된다. 자율성 존중의 원칙에서 충분한 정보에 근거한 동의, 추적 검사, 비밀유지, 생식 자율성 등의 문제와 우려가 제기된다. 정의의 원칙에서 분배적 정의, 불평등, 인권훼손 등의 문제와 우려가 제기된다. 이 네 가지 의료윤리 원칙에 따른 프레이밍은 크리스퍼 유전자가위에 의한 생식세포 유전체 편집과 관련된 윤리를 더욱 잘 파악하도록 해준다.",전방욱(Bang-Ook Jun),2018,https://www.riss.kr/link?id=A106169471
종합병원 간호사의 직무스트레스가 이직의도에 미치는 영향 -조직몰입의 매개효과-,"본 연구는 종합병원 간호사의 직무스트레스, 조직몰입 및 이직의도 정도를 살펴보고 직무스트레스가 이직의도에 미치는 영향을 파악하며 그 관계에서 조직몰입의 매개효과를 확인하기 위한 서술적 조사연구이다. 연구 대상자는 G 광역시에 소재한 200~400병상 종합병원 간호사 199명이었으며 자료수집 기간은 2017년 9월 1일부터 9월 20일까지 본 연구자가 직접 구조화된 설문지를 이용하여 조사하였다. 수집된 자료는 SPSS 18.0 프로그램을 이용하여 빈도와 백분율, t-test, ANOVA, Scheffe's test, Pearson's correlation coefficient, Multiple regression analysis 및 Sobel test로 분석하였다. 연구결과. 대상자의 직무스트레스와 이직의도 관계에서 조직몰입의 매개효과를 검증하기 위해 회귀분석 결과, 1단계에서 독립변수인 직무스트레스가 조직몰입에 통계적으로 유의한 영향을 주었고(${\beta}=-.321$, p<.001), 2단계에서 독립변수인 직무스트레스가 종속변수인 이직의도에도 유의한 영향을 주었으며(${\beta}=.389$, p<.001), 3단계에서는 직무스트레스와 조직몰입이 이직의도에 유의한 예측요인으로 나타났다. 두 변수의 설명력은 45.5%이었다. 이때 독립변수인 직무스트레스는 3단계 ${\beta}$ 값이 .203(p<.001)으로 2단계의 ${\beta}$ 값 .389(p<.001)보다 작아 조직몰입이 이직의도에 매개효과가 있었다. 조직몰입의 매개효과 크기에 대한 유의성 검증을 위해 Sobel test를 실시한 결과 Z값은 -3.694이었으며, 직무스트레스와 이직의도의 관계에서 조직몰입의 매개효과는 유의하였다(p<.002). 따라서 본 연구는 직무스트레스를 감소시키고 조직몰입을 높여서 이직의도를 낮출 수 있는 방안을 모색하고 이에 대한 중재프로그램을 개발하는데 기초적 자료로 유용하게 활용될 것으로 기대된다.",김경숙,2019,https://www.riss.kr/link?id=A107039498
