
MBTI 타당도에 관한 일 연구,"본 연구에서는 MBTI의 타당도를 검증하기 위하여 505 명의 피험자를 대상으로 MBTI 실시 결과와 표준화 성격진단검사 결과와의 상관분석 및 일원변량분석을 실시하였다. 그 결과, MBTI 선호지표 중 E는 안정성, 지배성, 사회성, 남향성, 충동성, 우월성과, I는 사려성, 동조성, 임상척도 전부와, S는 책임성, 동조성과, N은 사려성과, T는 안정성, 지배성, 책임성, 사려성, 남향성과, F는 사회성, 동조성, 충동성, 신경질경향과, J는 책임성, 사려성, 동조성과, P는 사회성, 남향성, 충동성과 유의한 정적 상관을 보였다. 그리고 4 기능유형 중 ST는 책임성, 남향성이, SF는 동조성이, NT는 안정성, 지배성, 사려성, 남향성이, NF는 사회성, 충동성이 타유형에 비해 점수가 유의하게 높았다. 또한 4 기질 중 SP는 충동성, 동조성, 불안경향, 신경질경향이, SJ는 책임성, 동조성이 타기질에 비해 점수가 유의하게 높았으며 NT와 NF기질은 기능유형과 동일하게 나타났다.",김정택,1998,https://www.riss.kr/link?id=A3128836
심리기능과 성격장애 관계,"본 연구는 심리기능의 역동과 심리장애와의 관계 및 MBTI검사를 통해 나타나는 선호도 점수가 심리 기능의 과발달 혹은 미분화 개념으로 쓰일 수 있는 지를 알아봄으로써 상담장면에서 심리 기능을 통한 개인의 자기 이해 및 나타날 수 있는 부적응 양상의 예견을 통해 문제의 예방 및 치료 더 나아가 원만한 인간성을 갖는 것을 목적으로 수행되었다. 본 연구는 부산시내 B대학에 재학중인 대학생으로서 MBTI와 MMPI에 검사에 성실히 응답한 446명을 대상으로 하였다. 연구 결과 몇 가지 경우를 제외하고는 융(Jung)이 제안한 것과 같이 심리기능의 역동 형태에 따른 특정 심리장애와의 직접적인 연관성은 찾아볼 수 없었다. 그리고 심리기능의 선호도가 심리기능의 과발달, 미분화를 나타내는 지표가 되리라는 예상과는 달리 선호도 차이에 의한 심리장애정도의 차이가 유의미한 결과를 보이지 않고 있다.",심혜숙,1996,https://www.riss.kr/link?id=A3128817
한국인 대표 표본의 MBTI 유형 분포 연구 : 2012 - 2020년 자료를 바탕으로,"본 연구는 MBTI 16가지 유형분포표의 근거가 되는 4가지 선호지표의 양분성(bimodality)을 살펴보고, 한국인의 MBTI 유형별 분포 비율을 산출하고자 하였다. 이를 위해 2012년부터 2020년 사이 MBTI Form M 검사를 실시한 인원 중 19,070명의 데이터로 전국대표표본을 구성하였다. 표본 구성 시연령 및 성별 비율이 대한민국 인구 분포와 동일하도록 비례층화표집으로 추출하였다. 연령은 16세부터 59세까지 포함하였으며 전체 인원 중 남성은 9,705명, 여성은 9,365명이었다. 분석 결과, MBTI 4가지 선호지표 응답값이 양봉 분포를 보인다는 것을 확인하였고 연령별로 4가지 선호지표의 분포양상이 다르게 나타나는 것을 확인하였다. 16가지 유형별 분포의 경우 ISTJ 유형의 비율이 가장 높고 INFJ 유형의 비율이 가장 낮은 것으로 나타났다. 본 연구는 처음으로 대한민국 인구 통계 자료를 바탕으로 전국대표표본을 구성하고 2012년 이후 자료를 반영한 최신의 유형 분포를 확인했다는 점에서 의의가 있다. SSR(self-selection ratio, 자기선택비율)을 활용하여 필요한 정보를 획득하고자 하는 MBTI 사용자에게 본 연구에서 제시한 4가지 선호지표 및 16가지 성격유형별 분포표가 유용한 자료로 사용될 것으로 기대한다.",송미리 ( Miri Song ),2021,https://www.riss.kr/link?id=A107913282
MBTI 각 지표 선호집단의 뇌파특성 차이,"본 연구는 주관적 자기보고식 검사방식인 MBTI 검사에 대해서 객관적인 측정방식인 뇌파측정을 통해 각 양극지표와 뇌파특성 간에 유의미한 차이가 있는지 알아보고자 하였다. 이를 위하여 20대~50대 피험자 136명을 대상으로 2013년 7월 1일부터 8월 31일까지 어세스타 소회의실에서 검사를 진행하였다. MBTI Form M 온라인 검사와 뉴로하모니M을 통한 자기조절지수 검사, 뉴로닉스32를 통한 정량화뇌파, 문양역전 시각유발전위, 청각사건관련전위 검사를 하였다. 연구결과, MBTI의 E(외향)-I(내향) 집단은 정량화뇌파와 청각사건관련전위 결과에서 각각 유의미한 차이가 있었고, MBTI의 S(감각)-N(직관)집단은 자기조절지수, 정량화뇌파, 문양역전 시각유발전위, 청각 사건관련전위의 결과에서 각각 유의미한 차이가 있었고, MBTI의 T(사고)-F(감정)집단은 자기조절 지수, 정량화뇌파, 문양역전 시각유발전위, 청각사건관련전위의 결과에서 각각 유의미한 차이가 있었으며, MBTI의 J(판단)-P(인식)집단은 자기조절지수의 결과에서 유의미한 차이가 있었다. MBTI 검사결과의 해석과 뇌파검사 결과의 해석이 상응하는 부분이 다수 발견되었다. 이를 통해 MBTI 검사가 주관적 자기보고식 방식이지만 성격에 대한 신경생리학에 기반한 객관적인 성격특성을 이미 잘 반영하고 있다고 보았다. 연구결과를 바탕으로 MBTI 8가지 지표에 대한 기존의 해석에 뇌과학적 관점의 해석을 추가하여 해석을 풍부하게 할 수 있을 것이고, 추후 MBTI 검사문항 개발이나 표준화 연구에도 뇌파측정방식을 도입하는 것을 신중하게 제언하고자 한다.",설지용 ( Jeeyong Seol ),2016,https://www.riss.kr/link?id=A102778614
심리경향에 따른 의사소통유형 분석,"본 연구의 목적은 개인의 심리경향에 따라 자주 나타나는 역기능적 의사소통유형을 밝혀, 집단상담이나 가족치료 등에서 사용할 수 있는 심리경향과 의사소통을 결합시킨 프로그램을 개발하는데 필요한 기초자료를 제공하는데 있다. 이 목적을 달성하기 위하여 스트레스 상황에 대처하는 기제로써의 의사소통유형이 개인의 성격유형을 특징짓는 심리적 경향에 따라 어떻게 달라지는지를 비교 분석하여 그 관계를 알아보았다. 본 연구는 부산시내 4개 대학에 재학중인 대학생으로서 MBTI와 의사소통유형검사에 성실히 응답한 319명을 대상으로 하였으며, 검사도구 중 의사소통유형검사는 본 연구를 위하여 개발한 것을 사용하였다. 첫 번째 연구문제는 심리경향에 따라 의사소통유형이 달라질 것인가 하는 것이며 이에 대해 심리경향을 주축별, 기질과 기능별, 열등기능별로 살펴보았다. 두 번째 연구문제는 성별에 따라 스트레스 상황에서 의사소통유형에 차이가 있을 것인지를 알아보는 것이었다. 이것은 같은 성격유형일지라도 남녀의 성에 따라 성격의 표현양상이 달라지듯이 의사소통 표현방식애도 차이가 있는지를 아울러 밝혀 보기 위한 것이다. 연구결과, 주축별 심리경향인 의향과 내향, 사고와 감정, 판단 과 인식의 경향에 따라, 기질과 기능의 경향에 따라, 그리고 주기능과 열등기능에 따라 긴장상태에서 표현되는 의사소통유형에 각각 차이가 있는 것으로 나타났다. 또한 성별에 따라서도 긴장상태에서의 역기능적 의사소통유형에 차이가 있는 것으로 밝혀졌다.",이상순,1998,https://www.riss.kr/link?id=A3128834
"MBTI 에 나타나는 성격유형과 선호하는 일의 종류 , 동기 및 가치와의 관계","이 연구는 MBTI(Myers-Briggs Type Indicator)에 나타나는 성격유형과 선호하는 일의 종류, 그리고 일을 통해서 얻으려는 가치사이에 어떤 관련성이 있는지를 밝히고자 하였다. 각 개인이 일에서 만족을 얻는데는 매우 다양한 요소들이 관여하겠지만 본 연구에서는 선호하는 일의 종류와 일을 통해서 얻고자 하는 가치가 각 개인의 심리유형과 어떻게 관련되어 있는지를 밝히고자 하였다. 국내 S그룹의 두 계열사인 생명보험사와 자동차제작회사의 임직원 156명을 대상으로 하였으며, 설문지법을 활용하였다.
자료분석의 결과, 심리유형과 선호하는 일 사이에는 성격유형이론에서 보는 것과 일치하는 관련성이 밝혀지고 있었으며, 일을 통해서 얻고자 하는 가치와는 다소 상이한 결과가 도출되었다. 즉 성격유형과 선호하는 일의 관계에서는 I(내향형)경향과 J(판단형)경향은 관리직에, I와 N(직관형)경향은 기술개발직에, E(의향형)와 P(인식형)경향은 영업직에 높은 선호를 보였다. 성격유형과 일의 동기에 관한 분석 결과, 선호지표 T(사고형)경향은 능력에 대한 인정과 좋은 평가의 가치와 가장 높게 관계되어 있었다.
본 연구는 Garden(1997)의 연구를 모델로 하여 한국 기업상황에서 성격유형과 선호하는 일의 종류, 그리고 일의 동기 및 가치와의 관계를 검증고자 하였는데, 기존의 연구들과 부분적으로 일치하는 결과를 보여주었다.",유정이,1998,https://www.riss.kr/link?id=A108326721
MBTI 이론의 관점에서 본 이건희의 성격유형 분석,"본 연구의 목적은 경영 분야에서 탁월한 성취를 이룬 이건희(1942-2020)의 성격유형을 MBTI의 관점에서 분석하는 데에 있다. 이를 위해 본 연구에서는 『이건희 에세이 : 생각 좀 하며 세상을 보자』에서 그의 경험담을 수집하였고, 그 자료를 MBTI 이론의 관점에서 분석하였다. 자료 분석과정에서 MBTI의 4가지 선호경향(외향-내향, 감각-직관, 사고-감정, 판단-인식)이 드러나는 사례를 추출하여 이건희의 MBTI 유형을 도출하였다. 분석결과 첫째, 그의 MBTI 유형은 내향적 직관형인 INTJ라 할 수 있다. 즉 그가 내향적(I) 성향을 보이고, 직관(N)에 사고(T)가 결합된 유형이며, 계획적인 생활을 선호하는 판단형(J) 유형임을 추측할 수 있었다. 둘째, 그의 주기능과 부기능이 어떻게 발휘되었는지 살펴보았다. INTJ의 부기능인 외향적 사고(T<sub>e</sub>)는 회사나 사회가 처한 상황을 비판적으로 분석하고 판단하는 기능으로 나타났다. 이처럼 그에게 외부세계에 대한 냉철하고 객관적인 판단이 부기능으로 뒷받침되었기에 주기능인 내향적 직관(N<sub>i</sub>)을 탁월하게 발휘할 수 있었던 것이다. 에세이에서 그의 주기능인 내향적 직관(N<sub>i</sub>)이 발휘되는 여러 사례를 확인할 수 있었다. 주변의 반대와 위험 부담에도 불구하고 반도체 사업의 미래가능성을 확신하고 뛰어든 일, 문제와 관련하여 독창적인 아이디어로 논리를 뛰어넘는 직관을 발휘한 의사결정, 단계를 착실히 밟는 편안한 길이 아니라 비약적인 발전을 추구한 점, 먼 미래까지 고려하며 대비하고자 하는 거시적인 안목 등에서 INTJ 경영자의 모습을 발견할 수 있었다. 이를 통해 본 연구에서는 MBTI의 관점에서 자신의 유형을 이해하고, 자신의 주기능과 부기능을 어떻게 발휘할 수 있을지 교육적 의미를 논의하였다. 또한 본 연구의 제한점과 후속 연구를 위한 제언을 논의에 포함하였다.",김영주 ( Youngjoo Kim ),2021,https://www.riss.kr/link?id=A3128838
심리유형(MBTI) 과 성격적응유형의 관계,"본 연구는, MBTI를 상담, 심리치료에 적용할 때 그 효율성을 높이기 위하여 성격적응유형(Personality Adaptation Type)과의 절충가능성을 검토하는 이론적 탐색연구이다. MBTI의 선천적 경향성은 후천적 요인들에 의하여 변조(falsification)현상을 일으킬 수 있는데 이런 변조가 어떤 유형으로 정형화되어 나타날 것인가의 질문이 생긴다. 초기 아동기의 후천적 요인(특히 부모의 양육양태)과의 상호작용은 정형화된 여섯 가지 성격적응유형이 나타나는데 이 이론은 MBTI의 변조된 유형을 설명할 수 있는 기초이론이 될 수 있다. 실증적 연구의 설계를 모색하는 본 이론적 연구는 MBTI의 태도, 기능, 16가지 성직유형과 Schizoid, Antisocial 등 여섯 가지의 성격유형과의 상관관계를 연구함으로써 MBTI의 연계와 그 임상적 가치를 실증적으로 연구할 수 있다는 결론에 도달하였다.",박종삼,1999,https://www.riss.kr/link?id=A107913283
진정성 척도 개발과 타당화,"진정성은 철학에서 위선이나 기만적인 삶의 반대 개념이다. 진정성에 기초해 인간이 삶에서 경험하는 다양한 긍정적 요인들이 해외에서는 연구되어 온 반면, 진정성 측정을 시도한 국내 연구들은 대부분 한국 문화의 특징들을 고려하지 않았거나 특정 분야의 사용 목적으로만 개발되었다. 본 연구에서는 한국 문화의 특수성에 기반하여 연구자들이 보편적으로 사용할 수 있는 진정성 척도를 개발했다. 이를 위해, 기존의 진정성 척도를 구성하는 문항들과 사회적 관계를 중요시하는 한국 사회의 문화적 가치를 반영하는 문항들을 통합했다. 그 결과, 탐색적 요인분석과 확인적 요인분석을 통해 진정성은 자기 인식, 행동 진정성, 관계 진정성의 세 가지 요인으로 구성된다는 사실을 확인하였다. 또한 삶의 만족도, 마음챙김, 자아존중감, HEXACO, 사회적 바람직성, 자기조절초점, 정서다양성과의 상관관계를 분석하여, 준거타당도를 검증하였다. 이러한 결과는 새로운 진정성 척도가 신뢰롭고 타당한 도구라는 것을 의미하였고, 일상에서의 진정성에 대한 경험적 개인차 연구에 중요한 도구가 될 것으로 기대된다.",김영준(Youngjun Kim),2021,https://www.riss.kr/link?id=A108326723
MBTI를 통해서 본 직장인의 스트레스와 스트레스 대처방식,"본 연구는 개인의 성격유형에 따라 스트레스 경험과 스트레스 대처양식이 어떻게 다른지 알아보려는 것이다. S그룹의 직장인 127명을 대상으로 하여 MBTI성격유형경사, 스트레스 질문지 그리고 스트레스 대처양식에 관해 응답하도록 하였다. 스트레스 영역을 6개 요인(조직내 요인 : 직무요인, 인간관계 요인, 경력개발, 평가, 업무처리 방식, 조직외 요인 : 개인의 가족이나 경제관련문제)으로 분류하였고, 스트레스 대처양식은 8개의 하위영역(문제해결지향적 대처 : 문제직면적 대처행동, 정서지향적 대처 : 분리, 기분전환, 회피, 지지추구, 타협)으로 분류하였다.
연구의 결과, 직장인들의 가장 큰 스트레스의 원인은 직무요인과 인간관계 요인이었다. S, N과 J, P에 따라 스트레스의 지각에 의미있는 차이가 있었다. S는 N에 비해 경력개발에 대해 더 큰 스트레스를 지각하고 있었다. J는 직무요인과 평가체계로부터 더 많은 스트레스를 지각하였고 P는 가족 및 개인의 문제로부터 스트레스를 많이 경험하는 경향이 있었다.
직장인들은 스트레스에 대해 문제해결 지향적 대처양식보다는 정서지향적 대처양식을 더욱 많이 사용하는 것으로 나타났다. 스트레스 대처양식을 선택하는데에는 심리경향 E, I가 깊이 관련되어 있었다. E는 문제해결 지향적 대처와 정서지향적 대처중 기분전환, 지지추구, 타협의 대처양식을 더 자주 사용하였으며, I는 정서지향적 대처 중 분리의 대처양식을 더 많이 사용하였다.",유정이,1999,https://www.riss.kr/link?id=A3128845
