
쿠팡의 ESG 경영 : 로켓배송을 중심으로,"본 연구에서는 국내 최대 이커머스 기업으로 성장한 플랫폼 기업 쿠팡의 ESG 경영실천 사례를 분석하였다. 특히 ‘로켓배송’이라는 혁신적 배송 프로세스 도입을 통해 ESG 경영을 어떻게 실천하고 있는지 심층 분석하고자 하였다. 본 연구에서는 먼저 ESG에 관한 개념 및 ESG 경영에 대해 알아본 후, 국내 기업인 쿠팡이 가지고 있는 ESG 경영 철학을 분석하였다. 그리고 쿠팡의 로켓배송이라는 배송시스템이 ESG 경영을 어떠한 방식으로 실천하는지 살펴보고 쿠팡의 ESG 경영에 따른 효과를 분석하였다. 더 나아가 기업의 ESG 경영이 단순히 기업가치를 향상 시키는 것 외에 우리 사회에 어떠한 영향을 끼치는지 알아보았다. 이를 통해 본 논문은 한국 플랫폼 기업 ESG 경영의 발전적 방향성을 논의하는 것을 목적으로 하고 있다. 쿠팡은 로켓배송을 시작으로 혁신적인 배송 인프라와 새로운 이커머스 물류서비스 패러다임을 구축했다는데 그 의미가 크다. 로켓배송이 생활의 편의뿐만 아니라 ESG적인 측면에서도 성과를 보이고 있다는 사실은 매우 유의미한 일로 온라인 쇼핑과 유통산업의 대표적 ESG 경영모델사례 라고 할 수 있다. 본 연구는 지속가능한 발전을 통한 ESG 가치 창출 확대와 쿠팡 성장의 관계성에 대하여 연구하여 그의 상관성을 밝힘으로서 기업의 ESG를 위한 노력이 기업의 성장뿐만 아니라 우리의 환경과 사회적으로 큰 영향을 끼치고 있음을 보여주고 기업의 사회적 책임을 고양시키는 계기가 될 것이라는 점에 시사점이 있다.","서용구(Suh, Yonggu)",2022,https://www.riss.kr/link?id=A108049077
소비자의 ESG경영요구가 ESG경영지지에 미치는 영향,"우리나라에서 ESG는 SK, 삼성, 현대, 기아차 등 주요 대기업에서 ‘ESG경영원칙’을 제시하며 대기업 위주로 이루어져 왔다. 그러나 최근에는 대기업의 협력사 선정이나 정부 조달에 있어서도 ESG 수준에 대한 평가가 확대되며 대기업뿐만 아니라 중소기업 경영에 있어서도 ESG경영에 대한 중요성이 증대되고 있다. 또한 기존의 많은 연구에서 기업의 ESG 활동이 기업가치에 긍정적인 영향을 미친다고 주장하고 있다. 이에 본 연구에서는 소비자가 ESG경영에 대해 요구하고 지지하는 요인에 대해 분석하고 ESG경영에 대한 소비자의 요구가 기업의 ESG경영활동을 지지하는 것에 대해 시사점을 얻고자 한다. 본 연구에서는 2021년 6월부터 2개월간 M, Z, X세대 494명을 대상으로 온라인 설문조사를 제시하였으며, 으며, SPSS 22.0 프로그램을 활용하여 일원배치분산분석, 독립표본 t검정, 다중회귀분석을 실시하였다. 분석 결과는 다음과 같다. 첫째, ESG경영에 대한 인식은 X세대, Z세대, M세대에서 차이가 있었고 평균을 비교해보면 X세대가 M세대와 Z세대에 비해 ESG경영에 대해 요구하고 지지하는 정도가 높았다. 둘째, 경제활동경험 유무, ESG에 대한 사전지식 여부에 따른 요구 및 지지 정도를 비교한 결과를 보면 경제활동의 경험이 있는 집단이 없는 집단에 비해 사회자선적책임요구와 지배구조요구에 대한 요구사항이 높게 나타났다. 또한 ESG에 대해 알고 있는 집단이 모르는 집단에 비해 ESG경영에 대한 요구에 서 지배구조요구를 제외한 전 영역에서 높게 나타났고 기업의 ESG경영활동을 지지하는 정도도 높았다. 마지막으로 기업에 대한 소비자의 ESG경영요구(환경경영요구, 사회자선적책임요구, 사회경제적책임요구, 지배구조요구)에서 환경경영요구와 사회자선적책임요구는 ESG경영지지에 정(+)의 영향을 주는 것으로 확인되었다. 본 연구결과를 통해 ESG경영에 대한 소비자의 요구는 ESG경영을 지지하는 행동인 소비, 투자, 입사 등으로 이어지므로 기업의 ESG경영을 촉진시키기 위한 사회적 노력에 대한 시사점을 얻을 수 있다.",유현경(Hyun kyung Yoo),2021,https://www.riss.kr/link?id=A108039867
지구온난화에 따른 홍수 및 가뭄 발생빈도의 변화와 관련하여 2,지구온난화의 영향으로 배증 CO2 상태가 되는 약 60년 후의 한반도 평균강수량은 약 5-10%정도의 증가로 예측되고 있다. 그러나 수자원분야에서 평균강수량의 증가보다 더 중요한 것은 홍수 또는 가뭄과 같은 극치기상의 빈도 변화이다. 현재 국제적으로 이러한 극치기상의 빈번한 발생이 지구온난화의 한 증거로 받아들여지고 있기는 하나 그 양상이 어떻게 되리라고는 예측되고 있지 않다. 따라서 본 연구에서는 그러한 변화 양상을 예측해 보기 위한 방법론을 제시해,윤용남,1999,https://www.riss.kr/link?id=A100217350
"한국의 외환위기 - 원인, 해결과정과 결과","1997년 외환위기 전 한국경제는 심각한 구조적 문제가 있었지만 그것이 외환위기의 원인은 아니었다. 외환위기는 정부의 유동성 부족, 즉 한국 정부가 단기외채에 비해 외화준비금을 너무 적게 가지고 있었기 때문에 일어난 것이다. 그런 관점에서 보면 IMF와 미국이 요구한 외환위기의 해결책은 유효하지 않았고 매우 불공정했다. 그럼에도 불구하고 한국의 朝野는 국내의 구조적 문제를 개혁하는 데 이용한다는 목적으로 IMF와 미국의 요구를 적극 수용하였다. 그 결과 기업과 금융기관의 경영 건전성과 투명성이 향상되는 등 개혁의 성과를 거두었지만, 그 과정에서 외국인이 국내투자에서 거둔 차익이 한국인이 대외투자에서 거둔 차익을 초과하는 액수가 3,000여억달러에 달하였다. 외환위기 후 나타난 투자 및 고용 부진, 소득 분배 악화, 총요소생산성 증가 부진, 재정 건전성 악화 등도 외환위기 후 급속한 구조조정을 하면서 필요한 다른 개혁이 따라주지 못해서 일어난 것으로 외환위기의 처리과정과 관련이 있다. 이처럼 큰 비용을 치른 이유는 외환위기 해결책의 배후에 있는 금융을 통한 헤게모니의 재정립이라는 미국의 의도에 대해 한국이 제대로 인식하지 못했기 때문이다. 1997년 한국은 IMF와 미국의 외환위기 해결책을 차라리 거절하는 것이 나았을지도 모른다. 그리고 앞으로도 외세를 이용하여 국내적 개혁을 하려는 시도는 극히 신중하게 해야 할 것이다.",이제민(Jaymin Lee),2007,https://www.riss.kr/link?id=A108736831
중소기업 CSR의 성과에 관한 연구 : CSR을 넘어 ESG로의 전환,"글로벌 ESG 요구가 대두되면서 ISO, TCFD 등 ESG에 대한 권고안을 글로벌 기업들에게 제시하는 등 ESG 경영에 대한 요구를 받고 있다. 그러나 국내 중소기업의 ESG 경영을 즉각적으로 대응하는 것에는 다양한 어려움들이 존재한다. 따라서 단기적인 CSR 경영전략을 통해서 중장기적인 ESG 경영을 위해 단계적으로 실천해야할 필요가 있다. 따라서 본 연구에서는 조직수준에서 CEO의 윤리적 리더십과 중소기업의 사회적 책임간의 관계와 이에 대한 대기업 지원의 조절효과를 밝히고자 하였다. 연구결과, 첫째, 중소기업 CEO의 윤리적 리더십은 중소기업 사회적 책임(법적, 경제적, 윤리적, 자선적)에 정(+)의 영향을 미치는 것으로 나타났다. 둘째, 중소기업의 CEO의 윤리적 리더십과 사회적 책임간의 관계에 있어서 대기업의 중소기업에 대한 지원은 중소기업의 자선적 책임에서만 조절효과가 있는 것으로 나타났다. 본 연구가 대기업과 협력관계를 맺고 있는 중소기업을 대상으로 한 만큼 이를 통해 공급망 측면이나 상생 측면에서 중소기업의 CSR 그리고 ESG의 미래를 조망하고, 기업의 사회적 책임 하위요인(경제적, 법적, 윤리적, 자선적)별 영향요인을 살펴보면서 중소기업 CSR 활성화를 통한 ESG 경영의 실천적 시사점을 얻을 수 있을 것으로 판단된다.","이호석(Lee, Ho-Seok)",2021,https://www.riss.kr/link?id=A60268111
최저임금이 물가상승에 미치는 영향,"본 연구에서는 최저임금이 물가상승에 미치는 영향을 미시 자료와 시계열 자료를 활용하여 분석하였다. 미시 자료를 활용한 분석에서는 최저임금의 조정이 생산자 물가지수와 주요 외식비에 미치는 영향을 살펴보았다. 이때 우리나라 최저임금은 전국적으로 동일하기 때문에 산업별·지역별 최저임금에 영향을 받는 근로자 집단의 비율을 사용하여 분석하였다. 분석결과, 최저임금에 영향을 받는 근로자 집단의 비율과 생산자 물가지수 및 주요 외식비 사이에는 유의한 상관관계가 존재함을 확인하였다. 구체적으로 최저임금 관련 노동자 비율이 1%p 증가할 때, 생산자 물가지수는 0.77∼1.68%, 주요 외식비는 0.11∼1.23% 올라가는 경향이 존재한다고 추정되었다. 이러한 추정결과는 분석기간 동안 생산자 물가지수 및 주요 외식비의 연평균 상승분 중 각각 0.82∼3.00%와 3.07∼39.59%가 최저임금 조정과 관련되어 있음을 의미한다. 또한 최저임금을 직접적으로 사용하는 시계열 자료를 활용한 분석에서는 물가와 최저임금 간에 내생성의 문제가 발생할 수 있음을 고려하여 노동 조합조직률을 도구변수로 사용하여 분석하였다. 분석결과, 최저임금이 1% 상승할 때 물가는 0.07% 상승하는 것으로 나타났으며, 이러한 결과를 통해 2017년 물가상승률의 25%를 최저임금 조정으로 설명할 수 있음을 의미한다. 본 연구의 실증분석 결과는 최저임금이 물가 간에 유의한 관계가 존재하는 가능성을 실증적으로 보여준다고 볼 수 있다. 최저임금 수준 변화에 따라 최저임금에 영향 받는 근로자 집단의 비율이 변화하게 될 때 가격 변수들이 유의하게 변화하는 것을 확인했기 때문이다. 분석결과를 통해 확인 할 수 있는 시사점은 최저임금의 급격한 상승이 물가상승이나 일자리 상실 같은 부작용을 야기할 수도 있으므로 최저임금은 완만히 상승시키되 준수율을 높이는 것이 최저임금에 영향을 받는 근로자의 임금상승에 더욱 효과적일 수 있다는 것이다.",신우리,2020,https://www.riss.kr/link?id=A76488480
인구감소가 주택정책에 미치는 영향,"본 연구는 인구감소에 따른 부동산 정책이 지향해야 할 방향과 문제점들을 검토하고 대안을 모색하는 것을 목적으로 한다. 인구감소는 비단 우리나라뿐 아니라 전 세계적인 문제로 대두되고 있다. 따라서 미래에 직면하게 될 인구절벽 현상의 연구와 대안 마련은 그로 인해 초래될 중요한 사회적 문제를 완화시키거나 해결할 수 있을 것이라고 본다. 우리나라의 출산율은 가임여성 1명당 0.808명으로(통계청, 2021) 경제협력개발기구(OECD) 국가 중 최저 출산율로 합계출산율이 1명에 미치지 못하는 국가가 되었다. 우리나라는 저출산에 이어 급격한 고령화 사회가 진행되어 2025년도에는 초고령 사회로 진입할 것이라는 분석들이 나오고 있다. 무엇보다 수도권과 산업이 발달한 곳의 인구감소보다 지방의 인구감소가 뚜렷하게 나타나고 있다. 이는 산업구조의 변화와 일자리에 따른 청년들의 수도권과 대도시로의 인구 유출이 발생하는 현상과 가구구조변화에 따른 문제로 지방에서는 초고령 사회로 진입하여 인구감소의 직접적인 영향권에 접어든 곳이 발생하고 있다. 이와 같은 지역 간 차이에도 불구하고 그동안 인구감소에 따른 주택정책에 관한 연구는 수도권 중심의 연구가 주를 이루고 있으며, 주택정책의 지방화 필요성에 관한 연구는 많지 않다. 그러나 인구감소는 수도권보다 비수도권, 도시지역보다는 농촌지역이 급격하게 나타나고 있으며 양 지역간 인구감소의 양상 및 가구구조의 변화도 상이하다. 본 연구는 인구감소 시대의 지방 도시(충청북도)의 인구감소율과 주택 현황 및 그 문제점을 살펴보고 지역별 특성을 고려한 주택정책의 방향성을 제시하고자 하였다.",한수현(Su Hyoun Han),2023,https://www.riss.kr/link?id=A107850877
블라인드 채용은 공정한가 : 채용공정성 논의에 대한 이론적 검토,"본 연구는 ‘형태적관점’에서 인적자원관리 시스템과 ‘채용’ 전략의 적합성을 분석했다. 형태적관점은 인적자원관리 시스템을 개별 제도와 기능이 조직의 성과에 기여할 수 있도록 통합된 집합체로 인식한다. 이러한 관점에서 기업의 채용 전략과 방법은 인사관리시스템에 통합되어 성과를 창출할 수 있도록 설계되어야 한다. 본 논문이 분석의 대상으로 한 채용 제도는 ‘NCS 기반’의 ‘블라인드’ 채용이다. 이러한 채용 도구가 우리나라 대기업·공공기관의 인적자원관리 성과를 향상시키는데 순기능 할 수 있을 것인가? 분석은 우리나라 노동시장의 특성과 기업의 인적자원관리 전략을 통합하고 ‘NCS기반 블라인드 채용’ 방법이 통합 시스템에 적합한지 확인하는데 초점을 두었다. 인적자원 활용을 위한 ‘시장특성’과 ‘임금체계’를 교차해 전략적 인적자원관리의 ‘형태적 유형’을 분류한 결과 우리나라 대기업·공공기관은 ‘내부시장기반 연공형’ 시스템으로서 ‘NCS 기반 블라인드 채용’의 적용 적합도가 낮은 것으로 분석되었다. 반면 ‘NCS+블라인드 채용’의 적용이 적합한 모델은 ‘외부시장기반 직무형’ 시스템인 것으로 분석되었다. 요컨대, 우리나라 대기업·공공기관에는 ‘NCS 기반 블라인드 채용’이 효과적으로 적용되기 어려우며 그 성과를 기대하기도 힘들다. 분석 결과,‘NCS 기반 블라인드 채용’의 성과적 적용은 기업조직의 임금체계, 자원활용 방법 및 노동시장 제도가 ‘외부시장 기반 직무형’ 체제로 전환되어야 가능할 것으로 판단된다.","권순원(Kwon, Soonwon)",2021,https://www.riss.kr/link?id=A107074413
그린워싱 정보 인식에 따른 소비자의 구매행동의도,"환경문제의 심각성이 대두되면서 기업은 친환경성을 강조하여 자사의 제품을 광고하고 있다. 그러나 그에 대한 부작용으로 그린워싱 사례 또한 지속적으로 증가하고 있다. 이에 본 연구는 그린워싱 정보인식 전후의 소비자구매 행동의도 변화 및 영향력을 알아보고자 하였다. 분석을 위해 그린워싱 정보를 전달 전후의 2단계로 나누어 설문조사를 실시하였으며, 분석 결과는 다음과 같다. 첫째, 그린워싱 정보를 접할 경우 소비자의 감정상태, 광고태도, 브랜드 태도, 구매의도가 모두 부적으로 강화되었다. 둘째, 그린마케팅을 인식할 경우 부정적 감정이 발생하여 소비자의 구매행동의도에 중요한 영향을 미치는 것으로 확인되었다. 셋째, 소비자는 친환경 제품 개발의 필요성을 느끼고 있기는 하지만 실제로 친환경 제품을 구매·사용하는데 따르는 경제적 손실을 감수할 의사는 없는 것으로 나타났다. 넷째, 소비자는 친환경 기만광고의 경우 기존의 기만광고보다 더욱 비윤리적이라고 인식하는 것으로 조사되었다. 이에 따라 그린워싱으로부터 소비자를 보호하기 위해서는 각 시장주체별로 다음과 같은 노력이 요구된다. 첫째, 기업은 그린워싱을 자제하고 그린제품의 질적 수준을 향상시켜야 한다. 둘째, 정부는 그린워싱에 대한 적절한 규제를 마련해야 한다. 그리고 녹색정보 제공 시스템에 소비자가 쉽게 접근할 수 있도록 노력해야 한다. 마지막으로 소비자는 스스로 그린워싱에 기만당하지 않도록 주체적 소비자능력을 함양해야 한다.",송유진 ( Eu Genne Song ),2011,https://www.riss.kr/link?id=A108558859
"명품소비가 소비자의 행복에 미치는 영향: 구매동기, 자기진정성, 구매 만족도를 중심으로","본 연구는 최근 한국 명품 소비 시장의 큰 비중을 차지하고 있는 젊은 세대(20~30대)를 중심으로 그들의 명품구매 동기와 관련된 요인을 파악하고 이러한 요인들이 행복에 어떠한 영향을 미치는지 알아보고자 하였다. 또한 자기진정성이 명품 구매 동기와 구매 후 만족 사이에서 조절효과를 보이는지, 구매 후 만족이 구매 동기와 행복의 관계에서 매개 효과를 가지는지를 검증하고자 하였다. 연구 결과는 다음과 같다. 첫째, 명품 소비 동기 3개 요인(쾌락적 동기, 기능적 동기, 사회적 동기), 자기진정성 3개 요인(관계 진정성, 행동 진정성, 자기 인식)이 확인되었으며구매 만족과 행복은 단일 차원으로 구성되어 있음을 확인하였다. 둘째, 사회적동기로 인한 명품 구매는 주관적 생활수준에 따라 유의하게 차이 나는 것으로 나타났다. 셋째, 자기진정성은 쾌락적 동기와 구매 만족의 관계에서 조절적역할을 하는 것으로 나타났다. 쾌락적 동기가 구매 만족에 미치는 영향력이 행동 진정성에 의해 감소하는 것으로드러났다. 넷째, 명품 구매 동기가 구매 후 만족에 미치는 영향에서는 쾌락적 동기와 기능적 동기에서 유의한 정(+)의 영향을 미치는 것으로 드러났다. 다섯째, 구매 만족은 명품 구매 동기와 행복 간의 관계를 부분 매개함을 확인하였다. 구매 만족이 구매 동기의 하위 요인 중 쾌락적 동기와 행복 간의 관계를 매개하는 것으로 나타났다.",이현송,2023,https://www.riss.kr/link?id=A107320394
