
항공사의 ESG경영활동이 항공사 브랜드에 미치는 영향에 관한 연구,"본 연구는 최근 기업의 지속가능성을 높일 수 있는 대안으로 평가받고 있는 ESG경영활동이 소비자의 행동에 미치는 영향을 살펴보고자 하였다. 즉, 항공사의 ESG경영활동에 대한 소비자의 인식이 항공사브랜드 관계품질, 항공사 브랜드 로열티에 미치는 영향을 분석하고자 하였다. 보다 구체적으로 (1)항공사의ESG경영활동을 항공사의 친환경 활동(E), 사회적 책임 경영 활동(S), 지배구조 개선활동(G)의 3요인으로구분하였다. 또한 (2)각 ESG경영활동 요인이 항공사 브랜드 신뢰, 항공사 브랜드 만족으로 구성된 항공사브랜드 관계품질의 각 하위요인에 어떠한 영향을 미치는지 살펴보고자 하였다. 마지막으로 (3)항공사 브랜드 신뢰와 항공사 브랜드 만족이 각각 항공사 브랜드 로열티에 미치는 영향을 살펴보고자 하였다. 이를위하여 최근 1년 내 항공사를 이용해 본 항공소비자를 대상으로 편의표집법에 의해 온라인 설문이 진행되었다. 측정도구의 타당성을 검증하기 위하여 확인적 요인분석을 진행하였으며, 변수의 신뢰성 검증을 위하여Cronbach’s alpha 값을 도출한 바 있다. 더불어 모형의 적합도 검증은 구조방정식 모형 분석을 통하여 진행하였다. 구조방정식 모형 분석에 따른 가설검증 결과, 항공사의 사회적 책임 경영 활동과 브랜드 신뢰, 브랜드 만족 간의 각각의 정(+)의 인과관계가 있는 것으로 나타났다. 또한 항공사의 지배구조 개선활동과 브랜드신뢰, 브랜드 만족 간의 각각의 정(+)의 인과관계가 있는 것으로 나타났다. 항공사 브랜드 신뢰, 항공사 브랜드로열티 간에 정(+)의 인과관계가 있음이 검증되었다. 더불어 항공사 브랜드 만족과 항공사 브랜드 로열티간에도 정(+)의 인과관계가 검증되었다. 이러한 결과를 바탕으로 학문적, 실무적 시사점을 제시하였다.",박영심,2023,https://www.riss.kr/link?id=A108486883
푸드테크(Food-Tech) 기술이 적용된 외식기업의 서비스품질과 외식소비성향이 고객만족 및 재방문의도에 미치는 영향,"본 연구는 푸드테크 기술이 적용된 외식기업의 서비스 품질과 외식소비성향이 고객만족 및 재방문의도에 어떠한 영향을 미치는지 살펴보았으며 본 연구를 위해 푸드테크 기술을 적용한 외식기업을 방문한 일반인들을 대상으로 고객이 매장을 방문하여 느끼게 되는 서비스 품질과 고객의 개개인의 독특한 외식소비성향이 고객만족에 어떠한 상관관계가 있는지 또한 고객만족이 재방문의도에 어떠한 영향을 미치고 있는가에 대하여 조사하였다. 설문조사의 방법을 통하여, 매장을 방문한적 있는 고객들을 대상으로 설문조사를 실시하였고, SPSS 통계프로그램을 사용하여 신뢰도 분석, 탐색적 요인분석, 회귀분석 등을 실시하였다. 이러한 과정에 따른 연구의 결과는 다음과 같다. 첫째, 본 연구의 목적을 달성하기 위해서 설정한 변수들의 탐색적 요인분석을 실시한 결과, 푸드테크 기술이 적용된 외식기업의 서비스품질은 유형성, 신뢰성, 반응성, 확신성, 공감성의 요인으로 구성되었고, 신뢰성과 공감성은 하위요인은 고객만족도에 정(+)의 영향을 미치는 것으로 나타났다. 이는 고객이 푸드테크 기술이 적용된 외식기업의 서비스품질에 신뢰성과 공감성이 증가할수록 고객의 외식기업에 고객만족도가 높게 나타났다. 둘째, 외식소비성향이 고객만족에 미치는 영향을 알아보기 위하여 단순회귀분석을 실시한 결과, 도전호기심형, 신속추구형, 편의지향형은 고객만족도에 정(+)의 영향을 미치는 것으로 나타났다. 이는 고객의 외식소비성향이 도전호기심형, 신속추구형, 편의지향형 일수록 고객만족도에 대해 긍정적인 영향을 준다. 셋째, 푸드테크 기술이 적용된 외식기업을 이용한 고객의 만족도가 재방문의도에 정(+)의 영향을 미치는 것으로 나타났다. 이는 이용 고객이 높은 고객만족을 느낀다면 언제든지 재방문이 활발해진다는 것이다. 넷째, 푸드테크 기술이 적용된 외식기업의 서비스품질의 하위 요인이 재방문의도에 미치는 영향을 알아보기 위하여 회귀분석을 실시한 결과로 모든 하위 요인이 유의한 정(+)의 영향을 미치지 않는 것으로 분석되었다. 다섯째, 외식소비성향이 재방문의도에 미치는 영향을 알아보기 위하여 회귀분석을 실시한 결과, 도전호기심, 신속 추구형, 편의지향형은 재방문의도에 유의한 정(+)의 영향을 미치는 것으로 나타났다. 이는 고객의 외식소비성향이 도전호기심, 신속 추구형, 편의지향형 일수록 재방문에 대해 활발해진다는 것을 의미한다.",변금섭(Kuem Seop Byeon),2022,https://www.riss.kr/link?id=A106406300
"연구논문 : 한류가 한국관광지 이미지, 관광객 만족과 행동의도에 미치는 영향","본 연구는 TV드라마 등 한국대중문화를 통해 노출되어진 한국 관광지를 방문하기 위하여 방한한 일본인 방문객을 대상으로 한류가 한국 관광지 이미지 및 관광객 만족에 어떠한 영향을 미치는지를 파악하고자하였다. 일본관광객들의 한류 인식정도가 한국의 관광지 이미지에 어떤 영향을 미치고, 한국의 이미지는 관광객 만족, 재 방문의사, 추천의도와 어떤 영향관계를 갖는지에 주목하여, 한류문화와 관광지 이미지와의 관계, 관광지 이미지와 관광객 만족과의 관계, 관광객 만족과 관광객 행동반응과의 관계, 관광지 이미지와 행동반응과의 관계를 알아보고 나아가 관광지 이미지 향상을 통해 지역이나 국가의 외국관광객을 증대시킬 수 있는 방안을 모색하고자 하였다.",김명희,2007,https://www.riss.kr/link?id=A108341267
채식동기가 비건와인 구매의도에 미치는 영향: 계획된 행동이론을 중심으로,"본 연구를 위해 채식동기를 동물복지, 윤리적 소비, 건강추구 및 환경보호의 4가지 요인으로 도출 하여 고객의 채식동기가 비건와인 구매의도에 미치는 관계를 파악하기 위해 계획된 행동이론을 적용하여 분석하였다. 채식 경험이 있는 소비자를 대상으로 그들의 채식동기가 비건와인에 대한 태도에 미치는 영향을 분석하였다. 이와 더불어 계획된 행동이론을 적용하여 소비자의 비건와인에 대한 태도와 주관적 규범과 지각된 행동통제가 비건와인 구매의도에 미치는 영향 관계를 조사하였다. 본 연구의 분석 결과 채식을 하는 주요 동기가 윤리적 소비 및 건강추구인 고객은 비건와인에 대한 보다 긍정적 태도를 가지는 것으로 밝혀졌다. 그러나 채식의 동기가 동물복지와 환경보호는 비건와인 태도에 유의적 태도를 나타내지 않는 것으로 조사되었다. 또한 본 연구에서 제안된 바와 같이 비건와인에 대한 태도는 구매의도를 유의적으로 향상시키는 것으로 나타났다. 그러나 조사대상자의 비건와인에 관한 주관적 규범 및 지각된 행동통제는 비건와인 구매의도에 유의한 영향을 미치지 않는 것으로 조사되었다. 이와 같은 연구 결과를 바탕으로 채식동기가 어떠한 메커니즘을 통해 비건와인 구매의도를 형성하는지에 대한 학술적 지식을 제공하였으며 향후 비건와 인에 관한 연구에 이론적 기반으로 사용될 수 있을 것이라 사용된다. 또한 비건와인 판매의 활성화에 이용될수 있는 실무적 시사점을 제공하였다.",박영신,2022,https://www.riss.kr/link?id=A108573983
오버투어리즘(Overtourism) 현상과 정책 대응방안 연구 : 북촌 한옥마을을 중심으로,,"윤혜진(Yoon, Hyejin)",2020,https://www.riss.kr/link?id=A107896549
SOR 이론을 적용한 챗봇 사용 의사결정과정 연구: 여행사 챗봇을 중심으로,"이 연구는 SOR 이론을 토대로 여행상품 검색 시 챗봇 사용 의사결정과정을 분석하였다. 특히 유비쿼터스접속성, 상황기반제공성, 반응성, 지각된 용이성이 인지적 반응과 긍정적 감정을 통해 만족과 지속사용의도에 미치는 영향관계를 체계적으로 파악하였다. 이 연구는 챗봇을 이용하여 여행상품을 검색해본 사람을 대상으로 온라인 설문조사를 실시하였다. 총 325부 중 불성실한 설문지 7부를 삭제하고 318부를 분석하였으며, SPSS 23.0과SmartPLS 3.0을 이용하였다. 분석결과, 자극요인(유비쿼터스접속성, 상황기반제공성, 반응성)이 유기체 요인(인지적 반응, 긍정적 감정)에 유의한 영향을 미치는 것으로 나타났다. 또한, 유기체 요인(인지적 반응)이 반응요인(만족, 지속사용의도)에 유의한 영향을 미치는 것으로 나타났으며, 만족이 지속사용의도에 유의한 영향을 미치는 것으로 나타났다. 하지만 자극요인 중 지각된 용이성은 유기체 요인(인지적 반응, 긍정적 감정)에 유의한 영향을 미치는 않는 것으로 나타났으며, 긍정적 감정은 지속사용의도에 유의한 영향을 미치는 않는 것으로 나타났다.
이 연구의 학술적 시사점으로는 SOR 이론을 토대로 챗봇 사용의 이론적 모델을 제시하였으며, 만족과 지속사용의도까지 확장하여 검증하였다. 또한 실무적 시사점으로는 챗봇 개발 시 PC기반 보다는 모바일 중심의 개발 필요성을 제시하였으며, 이용자의 검색과 구매이력을 파악하여 이용자의 인터페이스에 우선 노출의 필요성을 제시하였다.",장두영,2022,https://www.riss.kr/link?id=A108650623
다이어트 음료 광고의 메시지프레이밍에 따른 광고효과와 구매의도의 영향관계,"본 연구는 다이어트 음료 구매상황을 설정하여 메시지프레이밍에 따라 광고효과와 구매의도에 미치는 영향에 대하여 연구하였다. 다이어트 음료 구매 경험이 있는 20·30대 여성을 대상으로 긍정프레이밍 152부, 부정프레이밍 146부 총 298부를 활용하였다. 분석결과는 첫째, 긍정메시지프레이밍은 광고효과에 긍정적인 영향을 미쳐, 소비자들은 다이어트 음료와 같은 건강음료의 경우, 긍정적인 정보를 소구하는 광고에 높은 반응을 보이기 때문에 긍정메시지가 광고효과에 긍정적인 영향을 미치는 것을 알 수 있었다. 둘째, 긍정메시지프레이밍의 이미지전달은 브랜드태도에 영향을 미치지 않고, 부정메시지프레이밍의 이미지전달은 광고태도만이 긍정적인 영향을 미치는 것으로 나타났다. 셋째, 긍정/부정메시지프레이밍의 광고효과는 구매의도에 긍정적인 영향을 미친다는 점을 확인하였다. 따라서 본 연구의 결과로 다이어트 음료 광고 제작 시, 효율적인 광고메시지를 통해 기업의 매출을 높이는데 유용하게 활용할 수 있을 것이다.","공혜진(Kong, Hye Jin)",2021,https://www.riss.kr/link?id=A108247373
"가상 인플루언서의 특성이 관광객의 애착, 신뢰, 행동의도에 미치는 영향","요약: 디지털 기술의 발달, 소셜미디어의 활성화, Covid-19 확산 등으로 인하여 비대면 거래가 활발해졌고, 일반 인플루언서를 대체하는 가상 인플루언서의 활동 영역이 넓어졌다. 그러나 가상 인플루언서의 영향력이 커지고 있음에도 불구하고 관광학 분야에서 가상 인플루언서를 다룬 연구는 매우 부족한 실정이다. 이에 본 연구는 가상 인플루언서의 특성을 다각적으로 반영한 관광마케팅 전략을 제안하고자 하였고, 이를 위하여 가상 인플루언서의 특성을 기회요소와 위협요소로 나누어 연구를 진행하였다. 먼저, 가상 인플루언서의 특성이 관광객의 애착, 신뢰, 행동의도에 어떠한 영향을 미치는지 확인하였고, 그 과정에서 자아동일시의 매개효과를 검정하였다. 가설에 대한 실증분석을 위해 판단표본추출법으로 가상 인플루언서의 관광마케팅 활동을 접해본 경험이 있는 사람들을 본 연구의 대상으로 선정한 후 전문 조사기관에 설문조사를 의뢰하였으며 약 2주 동안 수집한 설문지 307부를 SPSS 25.0과 AMOS 24.0을 활용하여 분석하였다. 결과적으로, 가상 인플루언서의 특성 중 신체적 매력성, 사회적 매력성, 전문성, 진정성은 자아동일시, 애착과 신뢰, 행동의도의 과정으로 유의미한 영향 관계를 맺고 있는 것을 확인하였다. 반면에 가상 인플루언서의 특성 중 상업성은 어떠한 요인과도 유의미한 영향 관계를 맺고 있지 않은 것으로 나타났다. 한편, 자아동일시는 신체적 매력성과 애착 사이의 관계, 신체적 매력성과 신뢰 사이의 관계를 매개하는 것으로 나타났다. 본 연구는 시대적 흐름에 주목하여 가상 인플루언서의 특성을 종합적으로 탐구하였고 가상 인플루언서의 특성에 따른 관광객의 행동에 대하여 논의함으로써 학술적 시사점을 제안하였다. 또한, 관광마케팅 관점에서 가상 인플루언서를 제작하고 활용하는 데에 참고 가능한 실무적 시사점을 함께 제안하였다.",정초영,2023,https://www.riss.kr/link?id=A108766667
국가이미지 및 관광지이미지의 인식차이 비교에 관한 연구,"본 연구는 방한 외국인 관광객들을 대상으로 한국에 대해 가지고 있는 국가이미지와 관광지이미지, 각 이미지 사이의 관계 및 국가이미지가 관광지이미지에 미치는 영향 그리고 각 관광객 집단들이 인식하는 국가이미지와 관광지이미지의 차이를 알아보고자 하였다. 연구 결과에 따르면 첫째, 국가이미지는 총 3개(안정성, 환경, 복지)의 요인, 관광지이미지는 2개의 차원(인지적, 정서적)으로 각각 3개(관광자원, 비용, 편의시설), 2개(분위기, 매력성)의 요인이 도출되었다. 둘째, 복지(국가이미지)요인과 관광자원과 비용(관광지이미지) 이외의 국가이미지와 관광지이미지는 상호간에 서로 관련이 있음으로 나타났다. 셋째, 국가이미지가 관광지이미지에 미치는 영향을 분석한 결과, 복지요인은 관광자원과 비용요인()에 부(-)의 영향을, 매력성요인에는 통계적으로 유의한 영향을 미치지 않았지만 이를 제외한 모든 국가이미지 요인들은 p<.05 수준에서 관광지이미지 전체에 영향을 미치는 것으로 나타났다. 넷째, 방한 외국인 관광객을 지역별 군집(북미, 유럽, 아시아)으로 나누어 국가이미지와 관광지이미지의 차이 인식을 비교 분석한 결과, 관광지이미지 중 편의시설과 분위기를 제외한 나머지 요인들에서는 집단 간에 차이가 나타났다. 국가이미지의 안정성과 관광지이미지의 관광자원요인은 세 그룹 모두 차이를 인지하고 있는 것으로 나타났으며 국가이미지의 환경요인과 관광지이미지의 비용, 매력성요인은 유럽과 북미지역의 인식수준은 비슷하고 아시아지역보다는 높이 인식하고 있는 것으로 나타났다. 또한 국가이미지 중 복지요인은 유럽, 북미지역이 아시아지역보다 인식수준이 떨어지는 것으로 나타났다.",임정우,2012,https://www.riss.kr/link?id=A106896294
저비용항공사의 브랜드개성과 자아이미지 일치성이 재구매 의도 및 추천의도에 미치는 영향에 관한 연구 - 에어부산을 중심으로 -,"본 연구는 최근의 관광산업의 가장 관심 산업으로 언급되고 있는 저가항공의 영향과 역할에 대하여 브랜드이미지관점에서 연구하고자 하였다. 저비용항공사를 이용하는 고객들의 선택요인이 브랜드의 이미지와 관련이 있는지를 파악하여 자리매김을 하고 있는 저비용 항공사들의 향후 마케팅 전략에 활용하여 더욱 구체적이고 효과적인 운영시스템을 구축하고 홍보 전략을 제시 하고자 한다. 그러므로 본 연구의 목적은 크게 세 가지로 요약할 수 있는데, 첫째, 저비용항공사(LCC)의 브랜드개성 요인을 분석하고자 한다. 둘째, 저비용항공사(LCC)의 항공사의 브랜드개성과 자아이미지 일치성과의 관계를 파악하고자 한다. 셋째, 저비용항공사(LCC)의 브랜드개성과 자아이미지 일치성과의 관계가 재구매 의도에 영향을 미치는지에 대하여 연구하고자 한다. 본 연구를 위하여 부산지역에 거주하고 있고 최근 1년 동안 저비용항공사(LCC)를 이용한 경험이 있는 137명을 대상으로 설문조사를 실시하였다. 실증분석의 결과는 다음과 같다. 첫째, 저비용항공사(LCC) 브랜드개성 요인 분석 결과 ‘신뢰’, ‘진취’, ‘전문’, ‘활동’, ‘세련’, ‘친근’, ‘발전’의 7가지 요인이 도출되었으며 7가지 요인 모두 타당성과 신뢰성이 유의하게 나타났다. 둘째, 실제적 자아이미지를 요인 분석한 결과 전문성, 세련성, 신뢰성, 진취성, 그리고 활동성 등 5개의 요인이 도출되었으며, 이상적 자아이미지는 신뢰성, 전문성, 세련성, 진취성, 활동성, 그리고 적극성 등 6개의 요인이 도출되었다. 셋째, 재구매 및 추천의도를 형성하는 과정에서 에어부산의 브랜드 개성과 실제적 자아이미지와 이상적 자아이미지 모두 재구매 및 추천의도에 유의한 영향을 미치는 것으로 확인되었다.",박주아,2014,https://www.riss.kr/link?id=A99824266
