
글로벌 기업 환경 변화의 새로운 패러다임으로서 지속가능한 발전과 마케팅 - 지속가능마케팅의 의사결정 지향적 컨셉,"경제, 사회, 생태의 조화를 추구하는 지속가능한 발전은 21세기에 마케팅의 중요한 도전과제 중의 하나라 할 수 있다. 사회 및 생태적 관점의 통합을 통해 마케팅은 범세계적으로 대두되는 환경과 개발을 위한 패러다임으로서 지속가능한 발전 의제에 크게 기여할 수 있으리라 기대한다. 본 논문은 국제기업환경 변화의 패러다임으로 등장한 지속가능한 발전의 의미와 마케팅 영역에 제시되는 과제로서 지속가능 마케팅컨셉의 의사결정 지향적 접근을 시도한다. 본 논문에서는 지속가능마케팅의 의사결정, 지향적 컨셉을 여섯 단계로 체계화하며, 생태 및 사회적 문제들의 분석, 고객욕구의 분석, 규범적 지속가능마케팅, 전략적 지속가능마케팅, 운영적 지속가능마케팅 그리고 변환적 지속가능마케팅으로 구분하여 고찰한다.",남상민(Nam Sang-Min),2007,https://www.riss.kr/link?id=A76485873
유튜브 네이티브 광고효과에 영향을 미치는 요인에 관한 연구 : 시청동기와 유튜브 인플루언서의 콘텐츠 적합성을 중심으로,"코로나19의 팬데믹 상황에서 급증한 모바일 미디어 중심의 온라인 동영상 스트리밍 서비스 소비 트렌드는 사실상 엔데믹을 앞둔 현재도 여전히 계속되고 있다. 이에 본 연구는 국내 점유율이 가장 높은 동영상 플랫폼인 유튜브의 네이티브 광고 시청동기와 유튜브 인플루언서의 콘텐츠 적합성이 광고효과에 미치는 영향을 실증적으로 검증하고자 하였다. 구체적으로, 유튜브 동영상 시청 경험이 있는 국내 만 14~29세 MZ세대를 대상으로 유튜브 네이티브 광고 시청동기(정보추구 동기, 오락추구 동기)×유튜브 인플루언서의 콘텐츠 적합성(높음, 낮음) 집단 간 이원적 요인설계 실험연구로 광고효과에 미치는 주효과 와 상호작용효과를 분석하였다. 연구결과, 유튜브 네이티브 광고 시청동기 및 유튜브 인플루언서의 콘텐츠 적합성이 광고효과에 유의미한 차이를 유발하는 것으로 나타났다. 또한, 광고효과에 대하여 유튜브 네이티브 광고 시청동기와 유튜브 인플루언서의 콘텐츠 적합성의 상호작용 효과가 나타났다. 본 연구의 결과는 유튜브 네이티브 광고 시청동기와 유튜브 인플루언서의 콘텐츠 적합성이 광고효과에 미치는 영향에 관한 이론적 시사점 및 실무적 인사이트를 제시하였다는 의의를 갖는다.",류지영,2023,https://www.riss.kr/link?id=A108608172
노인무임승차 첨두시 요금부과에 따른 수입금 변화 : 수도권 스마트카드자료를 이용하여,"본 연구는 수도권 지하철의 노인무임승차에 대하여 오전 및 오후 첨두시간대에 요금을 부 과하는 상황을 전제로 지하철 운송기관의 수입금 변화를 추정한다. 스마트카드자료는 노인무 임통행에 대하여 요금관 관련된 자료를 생산하지 않고 있다. 따라서 스마트카드자료를 이용해 서 노인승객의 요금을 추정하고 운송기관에 수입금으로 배분하는 별도의 방법론에 대한 검토 가 요구된다. 본 연구는 노인통행은 출발시간을 기점으로 최소시간경로를 선택하는 가정을 반 영하는 동시적 동적통행배정모형을 구축하여 통행경로를 선정하고 이를 기반으로 노인에게 부과되는 거리비례요금과 민자기관의 별도 및 독립요금을 추정하고 운영기관의 수입금으로 배분하는 모형과 방법론을 구축하고 시연한다. 2019년 및 2020년 COVID-19 전후를 대상으로 사례연구를 시행한 결과 서울교통공사의 무임손실을 연간 3600억원에서 오전첨두(07:00-08:59) 에는 6~8% 수준, 오후첨두(18:00-19:59)에는 13~16% 까지 절감될 것으로 분석된다.",신성일,2023,https://www.riss.kr/link?id=A107152394
"연구논문 : 한류가 한국관광지 이미지, 관광객 만족과 행동의도에 미치는 영향","본 연구는 TV드라마 등 한국대중문화를 통해 노출되어진 한국 관광지를 방문하기 위하여 방한한 일본인 방문객을 대상으로 한류가 한국 관광지 이미지 및 관광객 만족에 어떠한 영향을 미치는지를 파악하고자하였다. 일본관광객들의 한류 인식정도가 한국의 관광지 이미지에 어떤 영향을 미치고, 한국의 이미지는 관광객 만족, 재 방문의사, 추천의도와 어떤 영향관계를 갖는지에 주목하여, 한류문화와 관광지 이미지와의 관계, 관광지 이미지와 관광객 만족과의 관계, 관광객 만족과 관광객 행동반응과의 관계, 관광지 이미지와 행동반응과의 관계를 알아보고 나아가 관광지 이미지 향상을 통해 지역이나 국가의 외국관광객을 증대시킬 수 있는 방안을 모색하고자 하였다.",김명희,2007,https://www.riss.kr/link?id=A106938008
환경호르몬을 예방하는 대체 친환경 신소재 개발에 관한 연구 -사탕수수 폐당을 이용한 플라스틱 사출물을 중심으로,"지구 온난화, 오존층의 파괴, 기상이변 등 환경문제와 더불어 환경호르몬은 생체의 발육과 성장 및 각종 기능에 중대한 영향을 미치기 때문에 최근에 심각한 문제가 되고 있다. 환경호르몬은 플라스틱과 각종 산업 폐기물로 인하여 발생되기 때문에 가정에서 버려지는 쓰레기를 줄이고 이러한 환경문제의 주범이 되는 소재의 대체 소재 개발이 절실히 필요하다고 볼 수 있다. 동일한 기능을 가진 상품이라면 환경오염 부하가 적은 상품, 예를 들면, 에너지효율이 높거나 폐기물 발생이 적은 소재를 선택하는 것이 최선의 방법이다. 일상생활에서 사용되는 석유기반 플라스틱이 분해되는데 필요한 기간은 최소 450년이 걸리며 원재료 가공부터 생산과 판매까지 환경오염을 일으키고 플라스틱의 원재료인 석유는 계속 고갈되고 있으므로 새로운 대체 원재료를 개발할 필요가 있다고 판단하며 본 연구에서는 대체소재 중 식물성 옥수수 소재 PLA보다 우수한 사탕수수 기반 레진으로 이루어진 Bio-PET에 대한 연구를 하고자 한다. 환경 보호 측면이나 기술적 편리성을 가진 Bio-PET는 불필요한 조정 없이 기존 PET의 완벽한 대체 원료가 되며 사탕수수라는 친환경 소재의 장점을 지니고 있고 바이오 에탄올로 만들어져 기존 PET와 같은 투명감과 기능성을 가지고 있기에 내열성, 내구성, 성형성면에서 기존 플라스틱보다 품질이 높기 때문에 차세대 친환경 소재로 사용이 적합하다. 향후에는 이 소재를 이용한 환경 조형물이나 인테리어 벽면 소재로도 응용할 필요가 있다고 판단되며 Bio-PET의 지속적인 연구를 통해 친환경 상품의 대표적 소재로의 역할을 찾고자 한다.",김곡미 ( Gok Mi Kim ),2013,https://www.riss.kr/link?id=A108561043
"브랜드 이미지, 브랜드 신뢰 및 브랜드 애호도의 구조적 관계","본 논문은 브랜드 이미지와 브랜드 신뢰 그리고 브랜드 애호도에 관한 구조적 관계를 실증분석을 통해 검증하고자 하였다. 이를 위해 은행을 이용해 본 경험이 있는 고객들을 상대로 설문조사를 하였으며 수집된 자료를 이용하여 구조방정식에 의해 브랜드 이미지, 브랜드 신뢰, 그리고 브랜드 애호도 간의 인과관계를 검증하였다. 분석결과 브랜드 이미지는 브랜드 신뢰에 브랜드 신뢰는 브랜드 애호도에 직접적으로 영향을 미치는 것으로 나타났다. 또한 브랜드 이미지와 브랜드 애호도와의 관계에서 브랜드 신뢰는 부분적으로 매개적 작용을 하는 것으로 나타났다. 마지막으로 연구결과에 따른 실무적 시사점과 연구의 한계점 및 미래 연구방향에 대해 기술하였다.",안길상,2005,https://www.riss.kr/link?id=A107355615
사회적 마케팅의 공익성 광고 크리에이티브 분석,"본 연구의 주 목적은 사회적 마케팅으로서 그 중심적인 역할을 하고 있는 공익성 정부광고와 공익광고의 크리에이티브를 비교 분석하여 공익추구에 대한 발전적 개념을 탐색하고 올바른 방향성을 모색하는 것이었다. 이를 위해 본 연구는 국내에서 집행된 1992년부터 2004년까지의 공익성 정부광고와 공익광고의 인쇄광고를 대상으로 내용분석을 하였다. 이에 대한 분석결과는 다음과 같다. 첫째, 공익성 정부광고와 공익광고의 크리에이티브 주제는 확연히 달랐다. 주로 공익성 정부광고는 국가 및 정부의 행사를 위주로 하였고, 공익광고는 다양한 주제를 다루고 있었다. 이는 두 공익성 광고를 담당하는 기관의 특성으로 인한 차이로 보인다. 둘째, 소구방법에 있어서는 공익성 정부광고는 이성적, 공익광고는 감성적 소구방법을 많이 사용하고 있었다. 셋째, 크리에이티브 전략은 전체적으로 리더십 소구전략이 가장 많이 사용되었지만, 공익성 정부광고가 공동운명체 소구전략과 긍정적 결과 소구전략을 공익광고보다 훨씬 더 많이 사용하고 있었다. 넷째, 크리에이티브의 전술적인 측면에서는 공익성 정부광고는 정보제공과 삽화가 가장 많이 사용되었고, 공익광고는 상징 및 이미지와 삽화가 가장 많이 사용되었다. 끝으로, 공익성 광고의 타깃과 수혜대상은 차이가 나타나지 않았다. 즉, 두 광고 모두 광고 타깃과 수혜의 대상에서 특정집단보다는 사회전체를 대상으로 하였다. 결론적으로, 본 연구는 사회적 마케팅의 발전을 위해 우리나라의 공익성 광고의 크리에이티브 방향을 논의하는데 토대가 될 것으로 기대된다.",송기인,2006,https://www.riss.kr/link?id=A108267520
대구경북통합신공항 건설에 따른 지역 항공물동량 추정 및 활성화 방안 연구 -기종점(OD)분석을 중심으로-,"본 연구는 대구경북통합신공항 건설에 따른 지역의 항공물동량을 분석하고, 지역공항의 활성화 방안을 수립하는 것을 목적으로 한다. 이를 위해 한국무역통계진흥원의 기종점자료를 활용하여 우리나라와 대구경북지역의 수출입 항공물동량을 분석하여 향후 대구경북통합신공항으로 유입할 수 있는 잠재물동량을 분석하였다. 또한, 지역항공물동량 분석을 통해 대구경북통합신공항 활성화를 위한 정책적 방향을 제시하였다. 분석결과, 대구경북 물동량의 수출물동량에서 전기기기와 그 부분품(HS 85), 원자로.보일러와 기계류 및 이들의 부분품(HS 84), 플라스틱 및 그 제품(HS 39)이 가장 높은 비중을 차지하는 것으로 나타났으며, 향후 전기기기와 그 부분품(HS 85)는 289,507kg, 원자로.보일러와 기계류 및 이들의 부분품(HS 84) 226,123kg, 플라스틱 및 그 제품(HS 39) 120,404kg정도의 물동량을 창출 할 수 있을것으로 분석되었다. 또한 대구경북통합신공항 활성화 방안으로 지역주력산업과 연계한 신규물동량 창출, 국제항공물류 활성화를 위한 기반조성, 환적허브공항 체계 구축 방안을 제시하였다.",송민주,2022,https://www.riss.kr/link?id=A99928077
아르누보 양식의 특성에 관한 연구,"아르누보는 식물 등의 자연 형태를 모티브로 한 곡선을 많이 사용하고 반드시 기능성과 합리성에 따른 형태를 받아들이지 않은 것이 많았다. 그러므로 아르누보는 미술과 공예운동 같은 양식주의 또는 역사주의와 근대에서 현대에 이르기까지 가구디자인의 주류를 이룬 기능주의 사이에 위치한 과도기 양식으로서 기계의 유용성을 긍정한 점이 주목할 만하다. 아르누보 양식의 특성을 연구하기 위해 주요 건축가들의 문헌을 분석하는 것으로 접근하였다. 이 연구는 아르누보의 근원 및 생성을 다룬다. 또한, 반 데 벨데, 오르타, 기마르, 가우디, 맥킨토시 등의 아르누보의 대표적이자 제일 활발했던 건축가들의 예술작품들을 분석하였다.",이지민 ( Ji Min Lee ),2011,https://www.riss.kr/link?id=A104841626
공정무역의 판단기준에 관한 고찰: 정부와 기업의 시사점,"오늘날 미국을 중심으로 한 세계 각국에서 무역적자 해소 및 불공정 무역관행 시정이라는 기치 하에 보호무역주의가 대두되고 있다. 글로벌 경기침체 및 가치사슬의 붕괴가 발생하고 있으며, 우리나라 또한 그 여파에서 자유로울 수 없다는 사실은 자명하다.
공정무역에 관한 심도 있는 고찰을 행하기 위해서는 통상정책에 있어서의 ‘공정성(Fairness)’에 대한 명확한 정의와 규정이 선행되어야 한다. 본 연구에서는 국가가 시행하는 무역행위 일체의 공정성 인정 및 여부 판단을 위해 ‘규범지향형 기준’과 ‘결과지향형 기준’ 및 ‘상호주의’ 세 가지 개념적 틀에 입각하여 문헌적 고찰을 실시해 나가고자 한다.
공정무역의 시비를 판가름할 수 있는 공정성의 구성요소로서 ‘규범지향성’, ‘결과지향성’ 및 ‘상호주의’에 기초한 이론적 고찰을 진행하였다. 무역관행은 WTO, FTA 등의 체제 내에서 그 정당성이 논의됨으로써 규범지향성을 가져야 한다. 공정성 여부를 무역수지 내지는 자국 내 법령 등에 근거하여 일방적으로 판단하는 결과지향성을 내포할 경우 불공정무역에 해당된다. 나아가 자유무역을 전제로 개방을 추구하며, 상대국의 개방정도에 부합하도록 자국 또한 개방을 촉진함으로써 통상을 원활화하는 상호주의에 기초해야 한다.",김민재(Minjae KIM),2021,https://www.riss.kr/link?id=A35489844
4차 산업혁명 기반 물류기술의 활용 동향에 대한 연구,,신현주(Hyeon Joo Shin),2020,https://www.riss.kr/link?id=A35489852
스마트 물류 구현을 위한 핵심기술과 적용동향에 관한 연구,"본 연구는 기업들이 경쟁력을 향상시키기 위해 주목하고 있는 4차 산업혁명 기술에 있어 물류적용에의 핵심기술들을 살펴봄과 함께 이들이 조달, 생산, 판매, 배송으로 이어지는 여러 물류흐름에 있어서 적용되고 있는 동향을 살펴봄으로써 기업들이 참고할 수 있는 스마트 물류의 동향자료를 제공하고 시사점을 제시하고자 하였다. 스마트 기술의 물류분야에 적용 분야를 살펴보면 조달에서부터 생산, 판매, 배송으로 이어지는 물류 흐름의 전 분야에 적용이 가능하다고 하겠으며 현재 다양한 기업들이 각 흐름에서 신기술을 접목하여 물류개선을 위한 많은 활동들을 전개하고 있음을 파악할 수 있었다. 스마트 팩토리, 스마트 항만, 스마트 창고, 판매, 배송 등의 여러 영역에서 신기술이 적용되어 물류효율화는 지속적으로 진행되고 있으며 성공적인 물류 스마트화는 기업의 중요한 경쟁력의 원천이 되고 있다. 그리고 효과적인 스마트 물류의 구축을 위해서는 물류의 각 흐름에서 우선 실현 가능한 부문을 도출하고 단계적으로 실현하고 통합하는 것이 필요하며, 전사적인 차원에서의 물류 스마트화 로드맵 수립과 지속적인 추진 등 여러 노력이 필요함을 확인할 수 있었다.",최두원(Doo-Won Choi),2020,https://www.riss.kr/link?id=A76468081
매개효과 분석 방법의 최근 트렌드,"본 연구는 최근 해외연구에서 많이 사용되고 있는 부트스트랩 방법을 이용한 매개효과 측정방법을 소개하는데 그 목적이 있다. 본 논문은 3가지 부분으로 구성되어 있다. 첫째, 전통적으로 많이 사용되고 있던 Baron and Kenny(1986)와 Sobel(1982)의 매개효과 측정방법의 한계점을 정리하였고, 대안으로 부트스트랩 방법의 장점을 비교하였다. 둘째, 부트스트랩 방법을 통해 신뢰구간을 추정하는 방법을 소개하였다. 마지막으로 단순매개, 다중매개, 이중매개 효과를 측정하는 방법을 Preacher and Hayes(2004; 2008)와 Heyes et al.(2010)에 제안한 매크로를 이용해서 설명하였다. 본 논문에서 소개한 세 가지 매개효과 측정방법은 점점 복잡해지고 다양해지고 있는 연구모형 상황에서 정확하게 매개효과를 검증하는데 유용하게 사용될 것으로 기대된다.",허원무(Won-Moo HUR),2013,https://www.riss.kr/link?id=A108311505
국가이미지 및 관광지이미지의 인식차이 비교에 관한 연구,"본 연구는 방한 외국인 관광객들을 대상으로 한국에 대해 가지고 있는 국가이미지와 관광지이미지, 각 이미지 사이의 관계 및 국가이미지가 관광지이미지에 미치는 영향 그리고 각 관광객 집단들이 인식하는 국가이미지와 관광지이미지의 차이를 알아보고자 하였다. 연구 결과에 따르면 첫째, 국가이미지는 총 3개(안정성, 환경, 복지)의 요인, 관광지이미지는 2개의 차원(인지적, 정서적)으로 각각 3개(관광자원, 비용, 편의시설), 2개(분위기, 매력성)의 요인이 도출되었다. 둘째, 복지(국가이미지)요인과 관광자원과 비용(관광지이미지) 이외의 국가이미지와 관광지이미지는 상호간에 서로 관련이 있음으로 나타났다. 셋째, 국가이미지가 관광지이미지에 미치는 영향을 분석한 결과, 복지요인은 관광자원과 비용요인()에 부(-)의 영향을, 매력성요인에는 통계적으로 유의한 영향을 미치지 않았지만 이를 제외한 모든 국가이미지 요인들은 p<.05 수준에서 관광지이미지 전체에 영향을 미치는 것으로 나타났다. 넷째, 방한 외국인 관광객을 지역별 군집(북미, 유럽, 아시아)으로 나누어 국가이미지와 관광지이미지의 차이 인식을 비교 분석한 결과, 관광지이미지 중 편의시설과 분위기를 제외한 나머지 요인들에서는 집단 간에 차이가 나타났다. 국가이미지의 안정성과 관광지이미지의 관광자원요인은 세 그룹 모두 차이를 인지하고 있는 것으로 나타났으며 국가이미지의 환경요인과 관광지이미지의 비용, 매력성요인은 유럽과 북미지역의 인식수준은 비슷하고 아시아지역보다는 높이 인식하고 있는 것으로 나타났다. 또한 국가이미지 중 복지요인은 유럽, 북미지역이 아시아지역보다 인식수준이 떨어지는 것으로 나타났다.",임정우,2012,https://www.riss.kr/link?id=A60162195
건강기능식품 표시 · 광고 규제에 관한 연구,"본 연구는 건강기능식품 표시·광고 규제의 특성이 허위·과대의 표시·광고 금지규정에 있다고 논의한 후,특히 그 핵심은 의약품으로 오인·혼동할 우려가 있는 표현 금지 규정에 있다고 보고 실제로 동 규정이 어떻게 적용되고 있는지를 알아보기 위해 1046건의 건강기능식품 표시·광고 심의사례를 수집하여‘수정적합’판정을 받은 708건을 질적 방법에 의해 내용분석하였다.분석결과에 의하면,31%가‘삭제’의 시정 처분을,28%가 의약품 오인·혼동 표현에 대해 수정하도록(중복 적용)처분받았다.대부분의 시정사항들이 의약품 오인·혼동 여부와는 관련이 없는‘사실과 다르거나 과장된 표현’으로 인해 판정된 것이었다.따라서 전체적으로 보면 의약품으로 오인·혼동할 우려로 인해삭제 또는 수정으로‘수정적합’처분을 받은 사례는 20%정도에 그쳤다.이 결과를 통해 사업자가 의식적으로 법에서 금지하고 있는 의약품 관련 표현을 하지 않아서 대체로 법 규정이 잘 지켜지고 있다는 것으로 생각할 수 있지만 동시에 규제가 지나치기 때문인 것으로도 볼 수 있다.일관성이 결여되어 있거나 애매모호한 적용들이 상당 수 발견되어 객관적이고 합리적인 근거의 존재 유무에따라 판단하기보다는 의약품 오인 가능성을 너무 넓게 해석하여 과도한 규제를하고 있음을 알 수 있었다.결론적으로,보다 명확하고 합리적인 광고심의 규정정비가 시급하며 표시와 광고의 규제제도를 분리하여 표시에 대한 사전심의제는 철폐하고 그 대신 보다 엄격한 표시기준을 마련할 필요가 있다는 것이 제시되었다.","조재영(Cho,Jae-yung)",2009,https://www.riss.kr/link?id=A107645493
