
학교폭력 사안 처리의 개선방안,"학교폭력은 단순 폭력과 달리 지속적, 반복적, 집단적이라는 특성으로 인하여 불안, 학습된 무기력 등을 발생시킨다. 또한 청소년기는 성격 형성에 매우 중요한 시기이므로 피해학생은 학교폭력 피해 당시뿐 아니라 삶 전체에 걸쳐 그 피해를 경험한다. 본 연구는 학교폭력 피해학생의 피해를 최소화하고, 가해학생을 제대로 선도하기 위해 학교폭력 사안 처리의 문제점을 살펴보고 개선방안을 제시하고자 하였다. 먼저 개정된 「학교폭력예방 및 대책에 관한 법률」의 주요 내용을 검토하였다. 그리고 정부의 학교폭력 대책에 관한 제4차 기본계획의 문제점을 가해학생과 피해학생에 대한 조치의 관점에서 나누어 살펴보았다. 연구를 통해 개정된 「학교폭력예방 및 대책에 관한 법률」과 관련하여 학교폭력대책심의위원회 및 학교폭력 전담기구의 인력 및 사안 조사의 전문성이 부족하며 학교장 자체해결제도가 추상적으로 규정되어 있다는 것을 발견하였다. 또한 가해학생과 피해학생에 대한 이분법적 법제의 문제점과 서면사과 조치의 위헌 가능성을 지적하였다. 학교폭력예방 및 대책에 관한 제4차 기본계획에서는 우범소년 송치제도가 국제적인 법규에 어긋나고, 생활기록부 기재에 대해서는 사회적 합의가 부족하다는 것을 확인하였다. 본 연구는 최근 개정된 「학교폭력예방 및 대책에 관한 법률」과 정부의 학교폭력 대책에 관한 제4차 기본계획이 많은 부분에서 긍정적으로 개정되었다고 판단하였다. 그러나 여러 한계가 나타나고 있으므로 사안 처리 절차의 측면에서 학교폭력 사안 조사 및 심의를 위한 인력을 확충하고, 감시 제도를 통해 투명성을 확보하여야 한다고 주장했다. 사안 처리 내용의 측면으로는 학교장 자체해결제도에 관한 추상적인 법령을 구체화하고 가해학생과 피해학생의 이분법적인 사고에서 벗어나 다양한 상황을 포괄하는 법령을 신설하며 위헌의 소지가 있는 조항은 삭제하는 조치도 필요하다는 의견을 제시하였다. 한편, 국내ㆍ외에서의 사회적 합의를 통하여 잘못된 제도는 지체없이 폐지하고, 합의가 필요한 제도는 숙의하여 개선하는 등의 노력을 통하여 학교폭력을 근본적으로 감소시킬 수 있음을 시사했다.",정주은,2021,https://www.riss.kr/link?id=A108273821
저출산·고령사회기본법의 문제점과 개선과제,"정부의 강력한 출산억제정책으로 출발한 저출산이 지속되면서 이제는 국가의 존립을 위협하는 상황에 직면하고 있다. 저출산·고령화가 점점 심해지면서 국가차원의 대응이 필요하다는 인식하여 2005년에 저출산·고령사회기본법이 제정되었고 이에 기초하여 기본계획과 시행계획이 수립되어 추진되었다. 그러나 저출산이 지속되면서 이제 출산율이 1명 아래로 낮아졌고 이러한 상황이 지속되면서 이제는 인구감소시대로 접어들게 되었다. 인구 보너스(bonus) 시기를 지나 인구 오너스(onus) 시기에 접어들게 되었다.
저출산·고령사회기본법은 저출산 대응 정책추진을 위하여 대통령 소속의 위원회를 마련하였고, 국가 및 지방자치단체의 기본계획과 실행계획을 수립하는 근거를 마련하였다. 그러나 기본계획과 시행계획은 4번의 계획이 수립되는 동안 기존의 정책을 재배열하는 수준에 머물고 있으며 여성을 출산의 대상으로 인식하고 있다는 비판까지 받고 있다. 무엇보다 저출산·고령사회 기본법은 심각해지는 저출산의 변화와 달리 15년이 넘는 동안 별다른 개정 없이 지금에 이르고 있다.
저출산 고령화를 극복하기 위해서는 저출산고령화 정책이 삶의 질로 전환하는 관점의 전환이 법률에도 반영되어야 한다. 정책의 실효성을 높이기 위해서 위원회에 지방자치단체도 참여할 수 있도록 위원의 대상을 확대하고 위원회 개최를 정례화하여야 한다. 또한 법률에 남아 있는 성편향적 규정을 개정하여 저출산을 여성의 문제가 아니라 가족과 사회구성원 모두의 문제로 전환시켜야 한다. 인구문제가 다양한 분야의 문제라는 점을 고려하여 별도의 인구청을 신설하는 방안도 고려되어야 한다. 지방자치단체에게도 단순히 실행계획만을 수립하도록 할 것이 아니라 국가와 다른 지방자치단체와 협력하고 교류하여 보다 실효성 있는 정책을 수립할 수 있는 법적 기반을 마련하여야 한다.
저출산의 문제는 여성의 출산이라는 기존의 인식을 극복하고 삶의 질이라는 관점에서 이해되어야 한다. 또한 단기간의 처방보다는 장기간 지속적인 정책을 추진하여 국민의 신뢰를 얻어야 저출산을 극복할 수 있다. 이를 위해서 정책을 넘어 저출산·고령사회기본법의 개편을 통한 법적 기반의 정책추진이 이루어져야 할 것이다.","조진우(Jinwoo, Cho)",2021,https://www.riss.kr/link?id=A107304394
아동의 기본권 보장에 대한 헌법적 과제 ― ‘노 키즈 존(no kids zone)’ 관련 정당성 논의를 중심으로 ―,"근래 몇 년 사이에 음식점과 카페 등을 중심으로 ‘노키즈존(no kids zone)’이 많이 늘어났다. 이러한 노키즈존은 찬반 논란에도 불구하고 현재 대도시는 물론 관광지를 중심으로 지속적으로 생겨나고 있다.
본 고에서는 아동의 권리 보장의 필요성, 노키즈존과 이에 대한 인식, 아동의 특수성, 다른 국가의 상황과 노키즈존에 관련된 여러 가지 문제점 및 헌법적 쟁점 등에 대해 고찰해 보았다. 우리 헌법 제11조는 “모든 국민은 법 앞에 평등하고, 누구든지 성별, 종교, 사회적 신분에 의하여 차별을 받지 아니한다.”고 규정하고 있다. 각 기본권 주체들 간의 이해관계와 기본권의 충돌 문제 및 여러 가지 쟁점들을 종합해 보았을 때, 이러한 노키즈존 문제에 대해서 사회 구성원 모두가 만족하고 행복할 수 있는 방법은 없을까 생각해보아야 할 시점이다.
가능하다면 궁극적으로는 사회통합을 위해 헌법상 규범적 조화의 원리에 기반하여 충돌하는 기본권들과 헌법적 법익들이 모두 실현될 수 있는 최선의 이상적인 상황으로 나아가야 할 것이다. 지금의 노키즈존 논쟁은 소모적인 싸움이 되어 가고 있지만, 근본적인 해결과 개선을 위해서는 먼저 다른 사람의 권리를 존중하고 상대를 배려하려는 노력이 필요하다. 그러기 위해서 각 기본권 주체들의 노력은 물론이고 사회와 국가 차원의 지원과 방안 마련이 함께 수반되어야 할 것이다.",김정수 ( Kim¸ Jeong-soo ),2020,https://www.riss.kr/link?id=A107220291
묻지마 범죄에 대한 심리적 이해,"‘묻지마 범죄’에 대한 사회적 관심은 증가하고 있지만 묻지마 범죄라는 용어사용에 대한 문제제기가 꾸준히 있어왔다. 묻지마 범죄라는 용어는 언론매체를 통해 처음 사용되기 시작하였고 학계에서는 용어의 부적절함을 지적하며 불특정인 대상범죄, 무동기 범죄, 이상동기 범죄 등으로 대체하여 부르고 있는 등 정확한 개념을 아직 정립해오지 못했다. 본 연구에서는 묻지마 범죄의 개념을 명확히 하기 위해 기존범죄유형과의 개념적인 비교를 시도하였고 이에 따라 묻지마 범죄를 ‘불특정 다수를 대상으로 한 표출적 범죄’라고 정의하였다. 또한 묻지마 범죄의 통계상의 추정을 위해 우발적 동기와 현실불만에 의한 강력범죄와 흉악범죄를 참고하여 향후 증가 추세를 예측하였다. 묻지마 범죄를 실증적으로 연구하기 위해서는 지금까지 범죄 사례에 나타난 중심적인 특질들을 고려하여 묻지마 범죄자의 특성을 인지적 왜곡, 분노 표출 및 감정 조절의 결여, 대처 기술의 결여, 관계의 결여, 사회에 대한 반감, 정신이상과의 관계로 설명하였다. 묻지마 범죄에 대한 대책으로 사회적 관계 회복, 분노 조절 및 대처기술의 강화, 사회적 약자들에 대한 관심과 보호, 지속적인 연구에 대해 논의하였고 향후 형사정책의 방향을 제시하고자 하였다.","윤정숙(Yoon, Jeongsook)",2013,https://www.riss.kr/link?id=A99771605
초고령화사회의 노인복지제도의 문제점 및 개선방안,"현대 사회는 고도의 발달된 의약산업과 문명의 혜택으로 평균수명이 늘어나고 있고, 인간의 생명연장의 한계에 까지 도전하고 있다고 보는 것이 과언이 아니다. 이러한 현상은 후진국들에 비해 선진국에서 더욱 뚜렷이 나타나고 있음은 또한 부인할 수가 없다.
우리나라는 2000년에 이미 65세 이상의 노인 인구가 전체인구의 7.2%(고령화 사회: Ageing Society), 2018년에는 14.3%(고령사회: Aged Society)에 진입하게 되었고, 2025년에는 노인인구가 20.3%를 차지함에 따라 초고령사회(Super-Aged Society)에 도달할 것으로 예상되어지고 있어 전 세계에서 유례를 찾기 힘들 정도의 급속한 고령화를 보이고 있다. 이처럼 우리나라는 경제협력개발기구(OECD) 회원국 중에서도 가장 빠르게 경제발전과 성장이 가장 빠르게 진행되는 반면에, 인구의 고령화 또한 가장 빠르게 진전되어 가고 있다.
현재 우리나라의 대부분 노인세대들은 매일 매일의 생활유지에 급급한 정도의 소득으로 궁핍했던 시기를 어렵게 보내 온 사람들이다. 또한 이 시대 노인들의 가치관은 자신들의 부모, 자식, 그리고 자신의 가문 등 대가족을 위한 물질적 희생은 자신들의 노후를 위한 대책을 마련하지 못하게 하였다. 이러한 세대들이 나이가 들어감에 따라 신체적 노화 현상 또는 정년퇴직으로 인하여 유일한 수입원인 직업을 상실하게 되고, 노년기에는 일반적으로 만성 질병에 따른 의료비의 지출부담이 증가하게 되어 심각한 경제적 어려움에 처하게 되었다.
따라서 우리나라 노인의 경우 65세 이상 노인의 55%가 수입원의 대부분을 자녀에게 의존하는 등 경제적으로 어려운 생활을 유지하고 있고, 노인의 약 87%가 치매, 중풍 등 만성질환을 앓고 있으며, 3.5%가 독립적인 일상생활이 불가능하게 되어 다른 경제협력개발기구 회원국들에 비해 노인들이 가장 늦게까지 노동시장에 참여 하고 있음에도 질 낮은 일자리로의 전전으로 인하여 노인빈곤율이 제일 높은 수준이라는 불명예스러운 상황과 노인자살율 또한 1위라는 심각한 실태에 노출되어 있다.
따라서 이러한 우리나라의 문제점들을 인식하면서, 향후 도래할 초고령 사회에서 지속 가능한 소득보장체계 구축을 통하여 현재 우리가 직면하고 있는 높은 노인빈곤률은 낮추면서도 세대 간 상생을 통하여 노인자살률을 낮추기 위하여 노인복지정책도 사회구성원으로서 노인개개인의 다양한 욕구를 충족시킬 수 있도록 노인의 경제와 건강의 특성을 감안하여 단계적으로 발전시켜 나가야 할 것으로 보인다. 이제는 정책의 방향도 노인복지정책의 한계점인 현재의 저소득층 중심의 정책에서 한 걸음 나아가서 노인들의 능력과 환경에 따라 최저생활의 보장, 일자리 마련, 여가활동 및 자원봉사활동 등의 기회 제공, 재가복지서비스의 제공 등 모든 소득계층 노인의 다양한 욕구 및 문제를 해결하는 방향으로 이끌어 가야 할 것이다.
또한 노인복지정책의 기본적 우선순위는 사회,경제적으로 어려운 처지에 있는 요보호 대상 노인 인구의 기초적 욕구의 충족과 예방적, 보편적 차원에서 전체 노인의 복지증진에 필요한 최소한의 기초적 욕구 충족에 두어야 마땅하다. 그리고 노후준비 지원사업을 통해 노후준비에 대한 상담과 교육서비스를 제공할 수 있는 노후준비 정보시스템 구축 등 주요 사업을 국가차원의 지속적인 관심과 대책마련이 필요한 상황이다.
본 논문에서는 우선 고령자와 노인의 정의를 명확히 구별하여 포괄적인 고령자보다는 퇴직한 고령자를 포함한 노인복지 정책을 위하여 선진국의 고령자와 노인복지제도를 고찰하여 중요한 제도적 정책적 시사점을 제시하고자 한다.",이희성(Hee-Soung Lee),2020,https://www.riss.kr/link?id=A107251711
합리적인 낙태규제 방안,"낙태의 허용은 인류의 영원한 주제이다. 낙태 논쟁에는 종교적·윤 리적 견해, 사회적 요청, 여성의 자기결정권과 배아 내지 태아의 생명 권이 혼재해 있다. 이 때문에 서로 다른 윤리적 판단과 법률규정이 도출된다. 즉 임부의 결정권을 폭넓게 보호하는 곳에서부터 엄격한 형벌로 금지하는 곳까지 다양하다. 우리나라에서 낙태는 원칙적으로 고의로 행하여지는 한 형벌로 금지되어 있다. 형벌은 자기낙태죄인지 (형법 제269조 제1항), 의사 등에 의한 업무상낙태죄(형법 제270조 제1항)인지, 동의낙태죄인지(형법 제269조 제2항), 비동의낙태죄(형 법 제270조 제2항)인지에 따라 서로 다르게 부과된다. 우리나라에서 낙태규정(형법 제269조, 제270조)에 대한 개정 논의 는 1990년대부터 시작되어 격렬한 논쟁이 이루어졌다. 여성계를 중심 으로 한 일부에서는 획일적인 형벌위협은 이미 아무런 효과가 없음이 입증되었고 단지 수많은 여성들로 하여금 불법적인 낙태시술을 선택 하게 하고 그 결과 여성의 건강에 대한 현저한 위험을 감수하게 할 뿐이어서 낙태 관련 법률이 개정될 필요가 있음을 강조하고 있다. 이 때문에 본 연구에서는 낙태규정의 내용과 문제점, 그리고 낙태의 합리적인 규제방안에 대한 검토가 이루어졌다. 결론적으로 태아생명의 보호와 관련하여 여성의 자기결정권을 보다 충실히 보호하기 위해 모자보건법상 낙태의 정당화사유로서 “사 회적·경제적 사유”가 도입될 필요가 있다고 본다. 나아가 임부에게 낙태를 직접적으로 시술하지 않는 의사로부터 문서로 된 확인서, 의 학적 상담 및 사회적 원조의 제공, 그리고 이를 통해 의사에게 접근이 열려져 있게 함으로써 지금보다 더 태아의 생명이 보호되어야 할 것 이다.",김재윤,2013,https://www.riss.kr/link?id=A100011201
학생체벌을 둘러싼 학생의 인권과 교권과의 관계,"학생의 인권 중에서 가장 논란이 많은 영역은 표현의 자유, 체벌, 성폭행 그리고 사생활보호의 문제등이다. 그 중 가혹하거나 잔인하고 비합리적 체벌(cruel and unusual corporal punishment)을 둘러싼학생의 인권문제와 교권과의 갈등문제는 오늘날 매우 심각한 인권문제이며 사회문제로 확대되고, 이를 해결하기 위해 학생인권조례 제정 등 정부와 지방자치단체의 노력 등이 다각적으로 이루어지고 있다.
체벌은 더 이상 사랑의 매가 아니다. 학생에 대한 사랑과 관심은 더 이상 매를 통해 전달되지 않는 다는 의미이다. 또한, 교사의 권위는 Authority 가 아닌 Legal Right의 개념으로 즉, 교사의 전문성에 기한 권한으로 교권의 개념을 올바로 이해해야 교권을 확립할 수 있다는 의미이다.
학생에 대한 인권보호는 교사와 보호자의 의무이며, 또한 사회와 국가의 의무이다. 학교교육 뿐 아니라 평생교육에서 교육과정, 교수학습방법, 교과서 등에서 학생의 인권은 보호되어야 하고 학교의 안전한 환경이 보장되어야 한다.
그런데 체벌을 둘러싸고 학생의 인권과 교권과의 다툼이 발생하는 이유는 무엇인가? 이 연구는 이문제를 검토하면서 학생의 인권과 교권의 개념을 올바르게 인식하고 이것이 법교육, 인권교육을 통해확립되어야 할 것을 주장하며, 현행 법령의 문제 등에 대한 해결방안을 제안해 보고자 하였다.",정순원,2010,https://www.riss.kr/link?id=A82695892
스토킹 피해자 보호를 위한 스토킹처벌법의 실효성 제고 방안,"스토킹 관련 법률이 1999년 제15대 국회에서 처음 발의된 후, 수차례의 임기만료폐기와 재발의를 거쳐 2021. 4. 20. 「스토킹범죄의 처벌 등에 관한 법률(이하 ‘스토킹처벌법’이라 한다)」이 제정되어 같은 해 10. 21. 시행되었다. 스토킹은 현대사회에서 중요한 의미를 갖는 사생활의 비밀과 자유 등 피해자의 기본권을 중대하게 침해하는 행위이다. 스토킹으로 인해 피해자들이 겪는 정신적ㆍ신체적 피해는 심각함에도 불구하고, 피해자들은 스토킹행위에 대한 처벌규정이 없어 제대로 된 대처도 하지 못한 채 피해를 감수해 올 수밖에 없었다. 또한, 스토킹범죄의 경우 가해자들은 피해자를 지속적으로 괴롭히면서도 죄의식을 갖지 않을 뿐만 아니라, 시간이 지남에 따라 그 정도가 계속 심화되다가 중범죄로 확대될 가능성이 크므로, 스토킹 범죄에 대한 국가기관의 적극적 개입이 반드시 필요하다 할 것이다. 스토킹처벌법 제정은 스토킹을 더 이상 ‘당사자 간의 문제’가 아닌 ‘국가기관이 개입해야 하는 범죄’로 인식하였다는 점에서 분명 의미 있는 발걸음이라고 생각한다. 그런데 스토킹처벌법이 제정되었음에도 불구하고 스토킹처벌법상 보호를 받고 있던 피해자가 스토킹 가해자로 인해 결국 사망에 이른 일명 김병찬 사건이 발생하는 등 스토킹 피해자들은 여전히 불안과 공포에 떨고 있다. 본 논문에서는 대표적인 실제 스토킹 사례들을 토대로 스토킹 범죄의 공통적인 특징을 분석한 후, 스토킹처벌법이 법의 목적대로 피해자를 안전하게 보 호할 수 있도록 규정되어 있는지 살펴보고, 스토킹 피해자를 안전하게 보호할 수 있는 방법은 무엇인지에 대해 고민해 보고자 한다.",김혜영,2021,https://www.riss.kr/link?id=A108273828
전세사기 발생원인 및 법적 방지방안에 관한 연구,"전세사기와 관련한 2023. 2. 2.자 정부대책의 내용은 크게 예방과 지원, 단속 및 처벌강화로 요약할 수 있고, 이 중 예방대책으로는 세금 반환보증대상 전세가율을 100%에서 90%로 낮추는 것, 계약 단계별 정보를 제공하여 계약 후 선순위 담보대출을 방지하는 것 등이 제시되는데, 임대인이 임대차계약기간 중 제3자와 임대목적물에 대한 매매계약을 체결할 경우 사전에 임차인에게 고지하도록 하는 특약조항을 표준계약서에 기입하여 공인중개사협회에서 제공하도록 하거나, 주택도시보증공사에서 제공하는‘안심전세앱’을 통해 임대차계약기간 중 임대목적물의 부동산 등기부등본상 소유권 등 권리 변동 사항을 알림 받아 볼 수 있도록 하는 등의 예방대책들은 전세사기의 발생원인을 임대차 계약 관련 정보의 부재에서 비롯된 것으로 분석하여 착안한 실효적인 방안으로 보이는 반면, 이미 공인중개사나 부동산컨설팅업자와 같은 전문가로 표방되는 자들이 임대차계약서에 매매가나 보증금액을 허위로 기재하여 전세보증보험에 가입하거나, 마치 가입할 것처럼 기망하는 방식으로 전세보증전세사기에 가담한다는 사실이 드러났음에도 불구하고 공인중개사와 같은 개인에게 임대인의 신용정보를 제공한다거나, 전세보증보험 가입과 관련하여 전세가율을 하향하는 방식의 대책은 재고할 필요가 있어 보인다. 또한 매매나 전세를 가릴 것 없이 부동산 거래에 있어서 일반 국민에게는 전 재산에 이를 만큼 큰 금원이 사용된다는 점에서, 부동산 거래를 하는 사람은 자신들의 가진 주의를 모두 기울이지 않을 수 없는데, 일반 국민과 밀접하게 맞닿아 부동산 거래를 이끌어가는 공인중개사나 부동산컨설팅업자 등에 대한 규제가 필요하고, 일반 국민 스스로 투명하게 부동산 거래를 할 수 있는 제도적 여건을 만들어 줄 필요가 있으며, 그 외 제도적으로 해결하기 어려운 부분에 대하여는 배포되는 표준임대차계약서상 특약조항을 추가하는 방식으로 보완될 수 있을 것으로 보인다.",강문찬,2023,https://www.riss.kr/link?id=A108653621
딥페이크(Deepfake) 영상물에 관한 법적 대응조치 검토,"최근 미성년자를 포함한 성인 여성들의 성착취 영상을 SNS를 통해 공유 및 판매한 ‘n번방 사건’이 사회적으로 큰 물의를 일으키면서, 이들이 벌인 여러 범죄 가운데 인공지능(AI) 기술을 활용한 ‘딥페이크(deepfake) 영상물’이 디지털 성범죄로서 심각한 문제가 되고 있다. 또한, 최근 저명인사의 딥페이크 영상물이 유포되면서 딥페이크가 가짜뉴스의 위협을 더욱 증가시킬 수 있음에 우려가 커지고 있다. 이러한 딥페이크 영상물에 대한 논란은 우리에게 한정되지 않고 전 세계적으로도 확산되고 있다. 주지하는 바와 같이 딥페이크는 딥러닝(Deep learning) 기술을 통해 특정 영상에 특정 인물의 얼굴, 음성 등을 합성한 영상물이 실제 사람들에게 허구의 말과 행동을 하는 것을 보여주는 것이다. 문제는 ① 딥페이크 영상물이 컴퓨터그래픽 기술에 인공지능 기술이 가미됨에 따라 더욱 손쉽게 제작할 수 있다는 점과 ② 이렇게 공유된 딥페이크 영상물을 완전히 필터링할 수 없다는 점, ③ 정밀하게 합성된 딥페이크 영상물로 인해, 가짜뉴스 등이 대중을 오도할 위험이 있는 수단으로 떠오른 점, ④ 더욱이 한번 인터넷상에 공유된 이상 완전히 삭제되지 않아 피해자가 계속 피해를 받아야 한다는 점 등이다. 이렇듯 실제와 구분이 힘들 정도로 자연스러운 영상 구현이 가능한 딥페이크 기술이 온라인상에 범람함에 따라 이를 이용한 음란물(딥페이크 포르노 등)이나 가짜뉴스 생산 등 대중을 오도하거나 사회적 혼란을 야기하는 악용사례에 대한 우려 또한 높아지고 있다. 이에 대하여 현재 형법상 명예훼손, 모욕죄, 업무방해죄, 사기죄나 정보통신망법상 허위사실적시 사이버명예훼손죄 및 사이버 음란물유포죄, 성폭력처벌법상 허위영상물 등의 반포 등 처벌, 선거사범의 경우에는 허위사실공표죄로서 대응하고 있으나, 사후적 대응에 그치므로 보다 선제적으로 피해를 최소화할 수 있는 다양한 방안들에 대한 검토도 요구된다.","배상균(BAE, Sang-Kyun)",2021,https://www.riss.kr/link?id=A107891023
