
OECD 성인역량조사결과에 나타난 세대 간 문해력의 차이,"문해력은 사용 매체와 소통 방식, 사회적 참여 정도 등을 결정하는 데 관여하는 요인으로서 세대 간 문화 차이를 해명할 만한 관건이 되는 문화적 기술이다. 문해력에 대한 국제적인 비교 평가는 일반적인 패턴과 다른 우리의 특징들을 드러내주며, 이를 통해 우리의 사회문화적인 문제를 성찰할 수 있는 기회를 제공한다. 이 연구는 OECD 성인역량조사(PIAAC) 결과를 분석하고, 이를 세대 간 문해력의 차이로 이해하고자 하였다.
우리나라의 만16세 학생들은 2012년도 국제학업성취도 평가(PISA)의 ‘읽기 영역’에서 전체 참여 국가 중 일본에 이어 2위를 차지했는데 성인역량 중 문해력 평가에서는 조사에 참여한 22개 나라(OECD 가입국 기준) 중 12위를 기록하였다. 이 결과는 2001년 같은 조사에서 최하위권에 머물렀던 데 비해 나아진 것이나 청소년층의 높은 성취 기준과 비교할 때는 의외의 결과라 할 것이다.
이를 해명할 단서가 되는 것은 세대 간 문해력의 차이이다. 즉, 한국의 청년층은 문해력이 세계 최고인 데 비해 노년층은 세계 최저 그룹에 속했다. 이런 현상은 세대 간 교육 경험의 차이와 밀접한 상관관계가 있어 보인다. 한편, 20대 초반에 정점을 찍은 문해력이 급전직하하는 것은 문제적 현상이라 할 수 있다. 이는 학습 흥미도나 평생학습 참여율이 낮다는 개인적 차원의 문제로만 볼 수는 없다. 아무리 일상을 영위하고 직업 생활을 하기 위한 역량을 충분히 갖추었어도 그러한 역량을 활용할 기회를 갖지 못한다면 역량 감소는 명약관화하기 때문이다.
급속한 산업화, 정보화의 사회 변동을 거쳐 온 한국사회에서 연령대별 문해력의 차이는 어쩔 수 없는 현상이라고 할 수 있다. 특히 교육 경험의 차이를 두고 특정 세대를 탓할 수는 없는 노릇이다. 그러나 개인의 동기와 흥미는 사회적으로 형성되는 것이기도 하다. 이런 점을 고려할 때, 20대 초반을 정점으로 하여 나이가 들수록 문해력이 급속히 떨어지는 한국사회의 특이한 현상은 청년들에게 일자리가 주어지지 않거나, 이들의 능력을 개발하고 활용할 노동 환경이 제공되지 않는 현실과 밀접한 관련이 있다 하겠다.","황혜진(Hwang, Hye Jin)",2015,https://www.riss.kr/link?id=A100463550
비스마르크의 독일통일(1871),"1871년 탄생한 독일제국은 비스마르크(Otto Eduard Leopold von Bismarck)의 정치적 작품으로서 독일민족의 단일국가로의 통일요구에 어느 정도 부합한 것이다. 그러나 이 제국은 독일의 자유주의 그리고 민주주의운동 - 1848년의 혁명시도에서 최고조에 달하였으나 실패하고만 - 이 추구했던 바 즉, 통일된 독일은 독일민족의 민주적 주권에 기초하여 수립되어야 한다는 요구에는 부응치 못한 입헌적 권위주의 성격의 국가였다. 이러한 독일제국의 특성은 20세기 독일인들의 정치적 기본태도에도 깊은 영향을 끼쳤다.
비스마르크의 통일과정은 그의 찬양자들이 얘기하는 것처럼 처음부터 그가 계획한대로 전개된 것은 아니다. 민족통일 실현의 의지를 갖고 있었다 하더라도, 정치현실은 한 인간이 설정한 스케줄대로 나타나는 것은 아니며, 정치가는 주어진 그리고 변화하는 그 현실에 적응하면서 자신의 구상을 실현시키려는 노력을 하는 것이다. 비스마르크 자신도 한 개인이 역사를 만들 수는 없는 것이다라고 했다. 이러한 점을 염두에 두어 본 논문은 그의 찬양자들이 주장하는 위와 같은 가설을 배제한 가운데 서술되었다.
서언에 이어 Ⅰ장에서는 독일통일에 있어 비스마르크라는 인물적 요소가 비중이 컸으므로 한 개인으로서 그리고 정치가로서 그가 걸어갔던 길을 살펴보았다. Ⅱ장에서는 이 통일이 단순히 군사·외교적 행위의 결과만은 아니라는 점에서 독일인들이 통일이전에 경험하였던 국가생활과 아울러 당시 독일인들의 정치적 기본의식과 관세동맹을 통한 경제력 신장을 통일의 기본토대로서 서술하였다. Ⅲ장에서는 통일에 이르는 과정으로서 세 차례의 전쟁과 이에 관련된 비스마르크의 외교행위들을 구조적 측면에서 기술하였다. Ⅳ장에서는 이 과정에서 비스마르크가 가장 역점을 두었던 외교상의 과제 즉 열강의 개입저지문제에 대하여, 그리고 Ⅴ장에서는 통일의 결과인 독일제국의 성격을 고찰하였다. 끝으로 Ⅵ장 결어에서는 비스마르크의 「小獨逸主義」에 관한 평가와 아울러 독일통일과 그의 기본적 政治觀간의 연관성에 대하여 분석하였다.",김상규,2001,https://www.riss.kr/link?id=A30032360
개발도상국의 도시빈곤과 KOICA의 도시개발 원조사업에 관한 연구: SDGs를 바탕으로,"연구목적: 전 세계 인구의 급격한 증가와 유례없는 도시화로 인해 아시아 및 아프리카 개발도상국의 도시빈곤 문제가 심화하고 있다. 이를 위한 국제사회의 관심이 집중되고 있으며, SDGs에 11번 도시 목표를 포함하여 포용적이고, 안전하며, 회복력있는 지속 가능한 도시를 통한 도시빈곤 및 도시의 발전방향을 조명하고 있다. 따라서 연구 목적은 개발도상국의 경제성장과 사회복지 향상을 위한 한국 ODA의 도시화 및 도시 문제에 대한 대응 현실과 적절한 도시개발 원조 지원여부를 분석함에 있다.
연구의 중요성: 본 연구는 ODA 개발협력과 도시분야의 융합적 시각으로 개발도상국의 급속한 도시화에 따른 한국ODA 도시사업 변화를 촉구함에 있어 의미가 있다. 또한 도시분야 전략의 SDGs 정합성에 대하여 실증데이터를 바탕으로 무상원조 지원 방향의 정책적 함의를 도출함에 의의가 있다.
연구방법론: KOICA 중점협력국의 도시화 및 도시 빈곤 현황을 분석하였고, 이를 통해 도시개발의 중요성이 높을 것으로 판단되는 7개국을 선정하였다. 2009년부터 2013년까지 5년간 형성된 KOICA의 도시개발 사업 비율과 선정된 7개국의 도시빈곤 데이터와 각 국가의 도시빈곤율의 정합성을 비교함으로써, 한국의 무상원조가 개발도상국의 도시화 및 도시빈곤 문제에 어느 정도 대응하고 있는지 비교분석하였다.
연구결과: 7개국의 도시빈곤과 KOICA도시사업 지원 비율 비교에서 모든 국가의 도시슬럼 빈곤비율이 더 높은 것으로 분석되었고, 특히 방글라데시, 나이지리아, DR콩고는 도시사업이 전혀 없어 도시화 대응에 취약함을 드러냈다.
결론 및 시사점: 현재 진행형이며 가까운 미래에 급격히 직면할 전 지구적 도시 문제에 대한 대응과 개발도상국의 도시 빈곤 퇴치를 위해 한국의 ODA사업도 문제를 인식하고, 이에 대한 도시개발 전략의 수립과 지원 강화를 하여야 할 시점이다. 이를 위하여 국제개발협력 분야와 도시 분야의 융합적 시각으로 현안을 직시하며, 변화하는 패러다임을 읽고 대응할 수 있는 가치 촉구한다는 측면에서 본 연구가 갖는 의의가 있다.",방설아,2018,https://www.riss.kr/link?id=A105960512
한국과 터키의 난민수용 비교연구: 중견국 외교를 중심으로,"난민의 이동성은 증가하고 난민을 수용할 국가들이 부정적인 태도를 취하며 난민문제는 전 지구적 문제가 되었다. 난민보호 노력은 서구 선진국들이 주도해왔지만, 난민문제가 안보 문제와 연계되며 선진국들은 난민통제를 강화하고 있다. 한편 난민 발생지역의 인접국가들은 저개발과 경제난에 시달리며 난민수용에 따른 부담을 호소하고 있다.
본 연구는 난민보호 위기에 대한 대안으로 중견국의 역할을 제시한다. 중견국가들은 국익 신장을 위해 자국이 보유한 능력을 창의적으로 활용하는 외교 행태를 보인다. 특히 기여외교와 공공외교를 통해 자국의 소프트 파워를 강화하며 제한적인 물리적 능력을 보완하고자 한다. 난민수용은 단기적인 관점에서는 안보적, 경제적 비용 부담이 될 수 있지만, 중견국 외교의 관점에서는 규범권력을 강화하고 소프트 파워를 향상시키는 장기적인 기회로 인식될 수 있다. 중견국은 평화, 환경, 보건, 인권 등 보편적 규범을 틈새로 삼아 역량을 집중시키는 틈새외교를 펼치며, 하드 파워의 부족한 부분을 보완하기 위해 소프트 파워를 중시하는 경향이 있다.
본 연구는 한국과 터키라는 두 중견국을 대상으로 하여 중견국 외교와 난민수용의 관계를 분석하고자 한다. 한국은 난민수용을 통해 국제적 위상 제고를 추구했다. 난민법을 제정하고 제도적 개선을 통해 난민을 수용하며 국제사회의 책임성을 실천하는 모습을 보였다. 터키는 대량난민 수용의 부담을 감당하며 국제적 위상 제고는 물론 인도주의 선진국으로서 규범권력을 강화하고자 했다. 두 국가의 사례는 중견국 외교의 관점에서 난민문제에 대한 책임을 다했다는 점에서 공통점을 갖지만, 국가이익 관점에서 차이점을 갖는다.",김원건,2022,https://www.riss.kr/link?id=A108248047
캠벨의 원질신화와 문화콘텐츠,"캠벨의 원질신화는 프로이트와 융의 심리학에 영향 받은 원형탐구의 결과물로서, 세계의 모든 이야기의 근원적 동일성을 주장하며 출발과 입문, 회귀의 3단계와 세부적인 16단계의 패턴을 제시한다. 할리우드를 비롯한 문화콘텐츠계는 제작과 분석에 패턴을 적극 활용하고 있다. 그러나 도식의 적용에만 관심을 두다보니 원질신화가 추구하는 바의 진의는 따져 묻지 않으며, 산업적 활용과 연구의 편의성만 강조된 결과 다양성을 훼손하는 콘텐츠창작의 거푸집으로 오해받기도 한다. 본 연구는 원질신화의 문화콘텐츠적 적용의 현황을 점검하고 결락된 캠벨의 진의를 탐구하여 교훈과 통찰을 얻고자 하였다.","김기홍(Kim, Ki Hong)",2016,https://www.riss.kr/link?id=A101992241
가정폭력 피해자 보호의 실효성 확보방안에 관한 연구,"1997년『가정폭력 범죄의 처벌 등에 관한 법률』이 제정되어 가정폭력을 더 이상 방치하지 않고 국가가 개입하기 시작하였으나, 그 법률의 실효성에 있어 특히 현장에 출동한 경찰의 권한이 미비하여 효과가 없다는 비판이 제기되어 2011년 경찰에게 긴급임시조치권을 부여하고 법원의 피해자보호명령제도를 도입하였다.그러나 경찰이 긴급임시조치권을 행사하고 가정폭력 가해자가 이에 위반하더라도 그 제재조치는 과태료에 불과하고, 과태료 부과절차상 가해자에게 과태료를 부과하는 것은 법적으로 84일 정도의 시간이 소요된 이후에 가능하게 되어 실제로 경찰의 긴급임시조치권이 가정폭력 피해자를 보호할 수 있는지 여전히 의문이제기된다. 또한 법원의 피해자보호명령제도 역시 피해자가 가해자로부터 심리적으로 위축되고 신체적인 폭력 및 협박을 받고 있는 상태에서 법원에 보호명령을 신청하는 것은 현실적으로 어려움이 있고, 경찰의 긴급임시조치처분이 발령된 상태에서 피해자가 보호명령을 신청하더라도 경찰의 긴급임시조치권이 위와 같이 아무런 실효성이 없으므로 결국 법원의 피해자보호명령제도는 가정폭력 피해자를 보호하는데 한계에 봉착하게 된다.따라서 이러한 현실적 문제와 제도적인 문제를 해결하기 위한 대안으로, 가정폭력 가해자가 경찰의 긴급임시조치권에 위반할 경우 과태료부과처분이 아니라 경찰서 유치장이나 구치소에 구금하는 것이 필요하고, 이러한 강제처분이 가능할 때 경찰의 긴급임시조치권과 법원의 피해자보호명령제도가 가정폭력 피해자를 보호하려는 위 가특법의 취지를 제대로 살릴 수 있을 것이다.",성홍재,2011,https://www.riss.kr/link?id=A82706397
기본소득제 실현가능성 : 프랑스 사례,"세계화로 인한 양극화, 정보혁명으로 인한 고용의 불안정과 노동의 우버화는 사회안전망을 필요로 한다. 최근 좌우파를 막론하고 기본소득제가 필요하다고 보는 이유다. 기본소득제는 현행의 복지제도와는 달리 모든 국민에게 의무나 조건 없이 소득을 제공하는 최저 사회보장제도이다. 본 연구는 프랑스 기본소득제를 사례로 들어 그 실현가능성을 살펴보았다. 기본소득에 관한 4개의 시나리오와 정부와 시민이 추진하는 기본소득제의 실험, 그리고 논의되고 있는 담론들을 분석한 결과 기본소득제는 분명한 개념정립과 표준화된 모델, 충분한 실험 등이 선행되어야 동력을 얻을 수 있다는 사실을 밝혀냈다. 프랑스의 기본소득제는 새로운 시스템이 아니라 기존의 복지개혁 때마다 부분적으로 도입되어 왔다. 1989년 RMI 창설, 2009년 RSA의 창설 등이 그 예이다. 결국 프랑스 기본소득제의 실현은 복지제도를 완성하기 위한 마지막 단계지만 결코 쉬운 여정은 아니다. 프랑스 기본소득운동이 우리에게 주는 시사점은 다음과 같다. 첫째, 기본소득을 실현하기 위해서는 먼저 복지제도를 확대하고 기본소득 개념을 가미한 정책들을 꾸준히 개발해 나가야 한다. 둘째, 복지수준이 미흡한 현 단계에서 기본소득제 도입은 큰 모험이다. 셋째, 국민과 꾸준히 논의하면서 기본소득의 개념을 정립하고 표준화 모델을 개발해야 한다.",최인숙(Insook CHOI),2019,https://www.riss.kr/link?id=A107880707
청소년 성소수자 상담매뉴얼 개발,"본 연구의 목적은 청소년 성소수자를 위한 상담매뉴얼을 개발하는 것이다. 이를 위해 1차년에는 문헌연구를 통해 청소년 성소수자의 특성과 어려움에 대해 살펴보았다. 또한 청소년성소수자 8명의 심층면접을 통해 상담과정에서 경험한 것에 대해 살펴보았다. 이를 통합하여 상담매뉴얼의 구성요소를 도출하였다. 또한 상담자 변인이 중요하므로 청소년 성소수자를 상담한 경험이 있는 상담자 10명에 대한 심층면접을 실시하여 이를 분석하고 상담매뉴얼 내용에 포함시켰다. 2차년에는 문헌연구와 요구분석을 토대로 집단상담 프로그램 개발 절차에 따라 상담매뉴얼을 개발하였다. 이를 전문가 3인의 내용타당도 검증과 상담자에 13명에 대한 교육을 실시한 후 평가를 통해 수정·보완하여 청소년 성소수자 상담매뉴얼을 완성하였다. 구체적인 매뉴얼 내용은 다음과 같다. 첫 번째 영역으로 상담자로서의 자기인식 점검하기 (상담자의 자기인식 점검, 호모포비아란?, 내재된 호모포비아 점검하기), 두 번째 영역으로 청소년 성소수자에 대한 이해(성소수자의 개념, 청소년 성소수자의 심리사회적 특성, 성소수자의 정체성 발달과정, 성소수자의 커밍아웃, 청소년 성소수자의 성), 세 번째 영역으로 청소년 성소수사자 상담의 기초(성소수자 상담의 개념, 상담목표, 상담자의 자세, 성소수자 상담자가 겪는 어려움, 성소수자상담자의 부적절한 개입), 네 번째영역으로 주제별 상담개입(성적 지향과 성정체성, 성별 정체성과 성별표현, 동성애 험오성 괴롭힘, 커밍아웃) 등이다.",김정남,2022,https://www.riss.kr/link?id=A108041762
“한국화(韓國畵)”의 불우한 탄생－미술의 정체성을 둘러싼 표상의 정치학－,"‘한국화’는 한국의 그림을 표상하는 단어이다. 그러나 그 형성 과정에서 의미가 충분히 고찰되지도 방법론이 성찰되지도 못했다. 이 논문은 그러한 ‘한국화’ 명칭의 탄생과 혼란스러운 정체성의 형성에 대해 고찰하고자 한다. 전통적인 ‘서화’라는 용어가 ‘미술’이 되고, 그 하위 장르인 ‘회화’는 일제강점기 식민지 치하에서 조선물산공진회라는 식민지 시정을 기념하는 행사를 통해 서양화와 동양화로 나뉘었다. 일본의 ’일본화‘나 중국의 ’국화(國畵)‘와는 달리, 국가명이 들어가지 않은 모호한 명칭 ’동양화‘는 해방 이후에도 지속적으로 쓰였으며, 이는 한국의 회화가 자기정체성을 지니지 못하게 된 출발점이었다. 1950년대 미술계에서 서구의 추상미술에서 영향을 받은 추상화(抽象化) 바람이 불면서, 종이에 수묵을 사용하는 동양화 역시 추상회화로 바뀌었다. 서양에 대한 대타(對他)적인 명칭의 그림이 다시 서양적인 방법론을 취하면서 동양화의 정체성은 큰 혼란을 겪게 되었다. 1981년 국전이 폐기되면서 ‘동양화’라는 장르 명칭은 공식 미술전람회에서 사라지고 대신 ‘한국화’라는 명칭을 얻게 되었지만, 그 범주와 방법론은 여전히 모호하다. 그러나 오늘날과 같은 디아스포라의 시대에 공간적으로, 시간적으로 고정된 ‘한국성’을 추구하는 것은 재고(再考)되어야 한다.",목수현 ( Soo Hyun Mok ),2015,https://www.riss.kr/link?id=A100825315
도전받는 미국의 헤게모니: 중·러의 도전과 진영 형성에 따른 신냉전 가능성,"오늘날 미국의 단극시대는 중국과 러시아로부터 거센 도전을 받고 있다. 글로벌 차원에서 미·중·러가 차지하는 영향력을 감안할 때 이들 간의 갈등은 국제체제 안정을 위협하면서 신냉전의 가능성을 고조시키고 있다. 중국과 러시아는 각각 세계 2위의 경제력과 군사력을 바탕으로 자신이 주된 영향력을 행사하는 세력권 형성에 나서고 있다. 이렇게 형성된세력권은 유라시아와 인도·태평양을 아우르며, 정치·경제·군사·안보적인 형태를 보인다. 무엇보다 중·러는 국제문제 영역에서 미국과의 갈등이 가열되면서 미국에 대한 대항력을높이고, 미국 주도의 국제질서를 대체하고자 상하이협력기구와 브릭스 등과 같이 양국이주도하는 세력권의 영향력 확대에 힘을 합치고 있다. 이러한 중·러의 움직임에 대해 미국은정치·경제·외교 등 가용한 수단을 활용하면서 ‘같은 생각을 가진 파트너’인 대서양동맹과태평양동맹으로 대응하고 있다. 이처럼 ‘중·러의 현존 질서에 대한 도전’과 ‘미국의 중·러부상 저지’ 구도가 명확해지면서 세계는 신냉전을 목전에 두게 되었다.",장시영(Siryung Jang),2023,https://www.riss.kr/link?id=A108558852
