
마약류 심각성의 국민인식 변화에 따른 정책적 대응방안 연구,"최근 마약류범죄의 지속적인 증가와 상업적으로 ‘마약 ○○’ 라는 단어를 쉽게 사용하면 서 마약에 대한 아노미현상이 나타나고 있다. 따라서 마약류범죄의 심각성에 대한 국민인 식도를 제고시키기 위하여 새로운 과제와 재설계의 필요성이 요구되고 있다. 이를 위하여 ‘황금 삼각지’와 인접해 있는 싱가포르의 마약정책에 대하여 분석하고 우리나라의 대응방 안을 제시하고자 하였다. 이 연구결과에 의하면 첫째, 마약류의 심각성에 대한 국민인식도 에서 아노미현상이 나타나고 있기 때문에 학교 예방교육의 정규화 등을 통해 적극적인 홍 보를 강화해야 한다. 둘째, 마약류중독을 사회적·심리적 질병으로 인식하여 중독자들의 치료재활정책에 실효성을 향상시켜야 한다. 셋째, 마약류의 공급사범에게는 ‘사회악’으로 규정하여 처벌정책을 강화시켜 사회적인 유통경로를 원천적으로 차단시킬 수 있어야 한다. 넷째, 마약류범죄에 대하여 예방, 수사 및 검거, 치료, 재활 및 사회복귀프로그램을 체계화 할 수 있는 통합된 컨트롤타워를 구축해야 한다.",김태우,2021,https://www.riss.kr/link?id=A107770009
병역자원 감소에 따른 한국군 병력구조 개편 발전방향 연구,"현재 한국군은 인구 절벽시대 도래에 따라 병역자원 감소가 불가피한 상황이다. 본 논문에서는 한국군의 병력구조 개편과 관련한 주요 쟁점을 논의하고 미래 한국군의 적정 병력 규모에 대한 예측과 그에 따른 발전방향 및 대안을 제시 하고자 한다. 연구방법으로 군사력을 보유하고 있는 151개 국가 중 GDP상위 50개국 표본 국가를 선정하여 인구, 국방비, GDP, 분쟁여부 등 5가지 변수에 대한 다중회귀분석을 한 결과치로 한국군의 적정 병력규모를 예측하였으며, 2022년부터 2050년 이후 까지 중·장기 가용 병력자원 수급 전망에 따른 상비병력 규모를 판단하였다. 2022년도 국방개혁에서 목표로 하는 상비병력 50만 명 유지에는 어려움이 예상된다. 연구결과 미래 한국군 상비병력은 예비전력 정예화와 국방민간인력 활용, 4차산업혁명기술을 적용한 첨단과학기술군을 전제로 하여 최대 45만 명에서 최소 35만 명이라고 예측되었다. 이와 같은 급격한 병력규모 감축은 많은 혼란과 반론이 예상됨에 따라 미래 한국군의 상비병력은 북한과 주변국의 위협을 고려하여 안정적으로 유지하되 단계별 조건이 충족되었을 때 감축이 가능한 것으로 판단되었다. 더불어 한국군 병력구조 개편 발전방향으로 국방 인력구조 조정 및 배합, 상비병력의 질적 구조 개선, 전문화·효율화된 병력구조로 개편, 예비전력 정예화 달성, 전쟁수행 패러다임의 전환에 따른 병력감축 대안을 제시하였다.","고시성(Ko, Si-Seong)",2020,https://www.riss.kr/link?id=A107199197
군사용 드론 표준화 추진실태 분석 및 발전방안 연구,"4차 산업혁명 기술의 확산으로 드론의 사용은 전 세계적으로 급속한 증가 추세를 보인다. 드론의 사용 증가로 개발, 구매, 관제 등 산업발전을 위한 군사용 드론의 도입이 확대됨에 따라 표준화가 시급하게 요구되어 있으며, 이는 군사용 드론 시장 확대로 드론의 분류, 설계, 제조, 구매, 운영, 보안, 안전관리 등을 위한 문제점에 대한 해결책이 요구되고 있어 표준화의 중요성이 더욱 강조되고 있다.
군사용 드론에 대한 HW 및 SW 등 부품 국산화를 위해 선행적으로 드론의 표준화 정립이 필요하며, 군 작전환경에 따른 작전임무 여건을 고려한 설계 표준 및 핵심부품에 대한 시험표준의 필요성이 요구되고 있어 이에 따른 표준화가 시급히 이뤄져야 한다.
군사용 드론 표준화와 관련 주요 연구중점으로 첫째, 드론 분류 및 용어 표준 둘째, 설계 안전성 관련 감항인증(무인동력장치 설계, 프로펠러, 배터리) 표준 셋째, 통신 및 데이터링크 표준 넷째, 사이버보안 표준(보안, 관제, 식별체계 등)을 중심으로 표준화 방안을 연구하였다.
군사용 드론 표준화 원칙은 국가기술표준원에서 추진되는 동일한 체계 또는 유사체계를 선정해서 국제 표준, 국가표준(KS) 등의 공통분야를 우선적으로 적용하되, 軍 특수성을 고려하여 더 엄격하고 가혹한 환경 및 운용 요구조건이 필요할 수 있으므로 표준화 추진에 많은 관심과 노력을 기울여야 한다.",이기진 ( Lee Ki Jin ),2023,https://www.riss.kr/link?id=A108536465
"6 . 25전쟁 발발의 원인에 대한 재고찰 - 오인, 오식의 문제를 통한 접근 -","지금까지 한국전쟁에 대해서 많은 연구가 진행되어 왔다. 특히, 전쟁의 기원과배경에 대한 연구가 한국전쟁에 대한 연구의 주요한 초점이 되었다. 이는 초기에미국 자료를 중심으로 했던 연구가 진행되다가, 1990년을 전후해 러시아의 공산주의 정부가 무너지면서 구 소련 자료들이 공개되었기 때문이었다. 소련 자료들이 공개되면서 북한의 남침 주장을 소련이 승인하면서 전쟁이 발발한 것으로 결론이 내려졌다.
이와 같이 지금까지의 전쟁 발발에 대한 연구는 주로 자료의 발굴에 초점이맞추어졌다. 새로운 자료가 발굴되면 전쟁에 대한 연구가 새롭게 시작되었던 것이다. 이러한 과정에서 전쟁을 바라보는 시각이나 사관의 문제는 거의 논의가 되지 않고 오로지 자료의 발굴에만 논의의 초점이 맞추어졌다. 결국 이러한 연구의경향은 한국전쟁에 대한 연구가 현재에 있어서 어떤 교훈과 성찰을 줄 수 있는가에 대해 전혀 도움이 될 수 없었다.
본고에서는 기존의 자료들이 주는 의미에 대해서 접근해 보았다. 특히, 구 소련의 자료에서 나타나는 김일성과 박헌영, 그리고 스탈린의 발언에 대해 주목했다.
1949년 김일성의 전쟁 시도에 반대했던 스탈린은 1950년 봄 자신의 입장을 바꾸었다. 이러한 변화에는 1949년에 있었던 소련의 핵개발과 중국의 공산혁명이 중요한 역할을 하였지만, 다른 한편으로 미국이 개입하지 않을 것이라는 판단이 중요한 근거가 되었다.
이러한 과정은 정책결정자의 판단이 전쟁 결정에 있어서 결정적인 역할을 하고 있음을 보여준다. 위기나 상황 변화가 그 자체로서 중요한 의미를 갖지만, 더중요한 사실은 정책결정자들이 그 위기나 상황을 어떻게 인식하는가의 문제이다.
이것은 지난 60년 동안 정전체제 하에서 나타났던 위기들 속에서도 그것이 왜 전면전으로 확산되지 않았는가에 대한 중요한 판단 근거를 제공한다. 이는 현재의위기에 어떻게 대응하고, 이 위기가 전면전으로 확산되지 않도록 할 수 있는가에대한 중요한 교훈을 제공한다.",박태균,2010,https://www.riss.kr/link?id=A101591849
현대전에서 전쟁법의 실효성에 대한 연구 - 우크라이나와 러시아 전쟁을 중심으로-,"본 연구의 목적은 첫째, 최근의 우크라이나와 러시아 간의 전쟁에서 전쟁법이 제대로 준수되고 있는지를 분석하며, 둘째, 전쟁법이 준수되지 않는다면 그 원인은 무엇이고 그것의 실효성을 높이 는 방안을 제시하는 데 있다. 연구결과 우크라이나는 대체로 전쟁법을 준수하여 국제사회로부터 지지와 지원을 받고 있지만, 러시아는 그렇지 못하여 비난과 경제제재를 받고 있다. 전쟁법이 준 수되지 않는 근본 이유는 자국의 이익을 우선하고, 무조건 승리하면 모든 문제가 해결된다고 생각 하며, 지도자의 정치적 입지와 더불어 전쟁 양상이 크게 변화하고 있기 때문이다. 따라서 전쟁법 의 실효성을 높이기 위해서는 기존의 전쟁법을 보완하고 국제기구를 개선함으로써 전쟁을 예방하 고, 이미 발발했다면 적극적으로 개입하여 갈등을 최소화할 필요가 있다. 본 연구는 우크라이나와 러시아 간의 전쟁에서 벌어지는 민간인 학살 등 전쟁범죄를 국제법 차원에서 분석하여 법적 책임 과 도덕성을 확립하는 계기가 될 수 있다고 생각한다. 우리도 전쟁법을 준수하는 노력을 강화하 고, 자유와 평화, 인권 등 국제사회의 보편적 가치 기준에 동참하고 지원하며, 향후 국가 간 법률 전(lawfare)에 대비하여 국제법에 대한 역량을 강화하여 국익을 극대화할 것을 제안한다.",이영찬,2023,https://www.riss.kr/link?id=A108653776
러시아-우크라이나 전쟁에 관한 한국 사회의 인식 및 함의,"2022년 2월 러시아의 우크라이나 침공으로 인적·물적 피해와 국제적 파장 속에 전쟁은 장기화 조짐을 보이고 있다. 우크라이나는 1994년 비핵화를 완료하고 나토 가입 시도와 지정학적 요충지로 한국의 주변 환경과 유사성을 갖고 있다. 본 연구의 목적은 러시아-우크라이나 전쟁을 바라보는 한국 사회 및 언론의 인식을 분석하여 함의를 도출하는 데 있다. 이를 위해 객관적이고 실증적인 연구방법론인 빅데이터와 토픽모델링 기법을 활용하여 포털 빅데이터 및 언론보도 자료 32.931건을 수집하고 분석하였다.
빅데이터와 언론보도에 나타난 한국 사회의 인식에서 상위 키워드와 군집 분석 결과를 통해 국제정세, 군사, 지도자, 경제적 측면이라는 주요 관심 요인이 도출되었다. 이를 토대로 사회적 관심에 부합한 향후 한반도의 안보적 함의 및 외교, 군사, 지도자, 경제 등의 교훈을 제시하였다.
본 연구는 한국의 주변 환경과 유사한 러시아-우크라이나 전쟁을 바라보는 한국 사회의 담론을 도출하여 시사점과 교훈을 제시하는데 그 학술적 의의가 있다.",김법헌,2022,https://www.riss.kr/link?id=A108177180
4차 산업혁명과 한국의 국방혁신의 과제,"본 논문은 4차 산업혁명과 한국의 국방혁신을 분석하기 위한 것이다. 이를 위해 4차 산업혁명의 도래와 특징, 선진국의 국방과학기술 개발동향과 군사혁신모델, 4차 산업혁명시대 한국의 국방혁신의 향후과제를 살펴본 것이다. 4차 산업혁명 기술들이 각종 무기체계에 반영되어 전쟁을 전혀 새로운 모습으로 변화시키고 있다. 전장은 사이버·우주로까지 확대되고, 전투는 로봇이 인간을 대신하는 무인 로봇전으로 진화하고 있다. 국방부가 ‘4차 산업혁명 스마트 국방혁신 추진단’의 구성·운영되고 있는 것은 고무적인 일이다. 향후 추진단은 4차 산업혁명이 군사·국방에 미치는 영향분석을 통해 실질적이고 효과적인 미래전 대응방향을 정립해 나가야 할 것이다. 한국의 국방혁신 향후 주요과제로 ① 선택과 집중에 의한 게임체인저 핵심능력의 강화, ② 기술격차의 극복과 민관군산학연의 협력, ③ 한국형 상쇄전략의 모색·추진, ④ 미래전 대비 인재양성 등을 들 수 있다.","김강녕(Kim, Kang-nyeong)",2020,https://www.riss.kr/link?id=A106913659
러시아의 우크라이나 침공과 서방의 대응 : 하이브리드전의 이론과 적용을 중심으로,"2014년 크림반도 합병 이후 러시아의 전쟁수행 방식은 하이브리드전의 대표적인 사례로 평가되어 왔다. 러시아의 전쟁수행 방식에 관한 많은 연구와 분석에도 불구하고그들의 비군사적 수단의 사용에만 초점이 맞추어짐에 따라, 러시아가 대규모 재래식군사력을 동원한 2022년 우크라이나 침공에 대해서는 충분한 예방과 억제가 이루어지지 못했다. 러시아의 하이브리드전에 대한 기존 연구들은 러시아의 고유한 전략개념보다는 서구사회의 관점에서 러시아의 전쟁수행 방식을 분석하는 한계가 존재했으며, 이에 따라 대규모 재래식 군사작전의 전개 가능성을 간과했다. 본 연구에서는 구(舊)소련에서 시작된 러시아 전쟁이론의 발전과정을 살펴보고, 2014년 크림반도 합병으로부터 2022년 우크라이나 침공에 이르는 일련의 과정을 게라시모프 독트린에 대입하여분석함으로써 러시아의 전쟁수행 방식이 비군사적 수단의 활용에 국한되지 않고 대규모 재래식 군사력의 운용하는 군사작전도 기꺼이 수행한다는 사실을 논증한다. 러시아의 하이브리드전의 이론적 배경과 그 적용에 대한 이해는 향후 러시아의 전쟁수행 방식을 참고하게 될 중국과 북한 등 권위주의 국가들의 전략개념을 이해하는 데 도움이될 것이며, 주변국의 하이브리드적인 위협에 대응하는 한국군에게 유용한 전략적 함의를 줄 것으로 기대한다.",최근대,2022,https://www.riss.kr/link?id=A108402654
북한 핵전력 위협에 대한 대응방향 연구,"최근 들어 북한은 장거리 미사일 발사를 계속하며 도발의 강도를 높이고 있다. 핵무기는 한반도뿐만 아니라 전 지구적 차원에서 위협이 되므로 북한의 핵 개발과 장거리 미사일 발사는 한반도, 동북아 및 국제사회의 불안과 우려를 증폭시키고 있다.
따라서 본 논문의 목적은 북한의 핵전력의 위협을 분석하고 이에 대응하여 한국이 추진한 사항을 국제정치이론을 중심으로 분석 및 평가하여 향후 대응의 발전방향을 제시하는 데 있다. 연구 범위와 방법으로 북한 핵 개발의 목적과 이에 따른 한국의 대응조치를 국제정치이론의 현실주의와 자유주의 및 구성주의 면에서 분석 및 평가하는 비교분석 방법을 적용하였다.
연구 결과 현실주의와 자유주의 및 구성주의 세가지 면에서 한국의 대응 조치는 나름대로 성과와 취약점이 내재되어 있음을 확인할 수 있었다. 따라서 북한 핵전력에 대응한 발전 방향은 평가 결과 현실주의 면에서 국가이익을 보장하고, 자유주의 면에서 협력과 합의를 지속 발전시키며, 구성주의 면에서 한민족의 정체성을 회복하여 한국의 사활적 국가이익을 보장하고, 한반도 긴장을 완화하는 양방향으로 추진해야 할 것이다.
앞으로도 한국의 사활적 국가이익 보장과 한반도 긴장 완화는 한국 정부가 병행하여 추진할 사항이다. 북한 핵전력에 대응하여 국제정치이론을 중심으로 한 추가적인 연구와 발전된 대응 방향을 기대해 본다.",김광현,2022,https://www.riss.kr/link?id=A108398127
동북아 국가의 한국에 대한 회색지대전략과 한국의 대응방안,"모호성, 전략적 점진주의로 가동되는 회색지대전략이 동북아에서 구사되고 있지만 이런 역학을 제대로 인식하지 못한 채 방치되고 있다. 특히 한국은 북한, 중국, 일본의 회색지대 강압의 타겟이 된 지 오래지만, 상쇄전략은 아직 없는 상태다. 이들 국가는 전쟁과 같은 고강도 군사적 충돌은 피하면서 우회적 주권개입과 점진적 위협투사를 통해 현상변경을 시도해왔다. 북한은 회색지대 강압을 통해 NLL 무실화를 시도해왔고, 전략적 점진주의로 핵무장을 완료한 후 이제 핵보유국 지위 기정사실화에 나서고 있다. 중국은 사드 경제보복이라는 회색지대전략을 통해 한국경제뿐 아니라 사회 내부 갈등을 유발하며 주권적 결정을 침해했고, 해양공간, 방공식별구역 등 영역에서 회색지대 강압을 이어오고 있다. 일본은 강제징용 피해보상 관련 한국 대법원의 판결에 반발하며 반도체 등 주요원료에 대한 수출규제를 통해 주권을 훼손시키는 회대지대전략을 구사하였고, 전략적 점진주의로 집단적 자위권 행사가 가능한 국가가 되었다. 동북아 국가들의 회색지대전략을 상쇄하기 위해 흑백지대전략을 구상해야 한다. 이를 위해서는 전통적 억지와 별개로 회색지대 억지 개념이 만들어져야 하고 회색지대 갈등이 군사적 대응의 우선순위에서 밀리지 않도록 군사문화의 혁신도 필요하다.","반길주(Ban, Kil-Joo)",2020,https://www.riss.kr/link?id=A106913657
