
"코로나19, 감염재난이 국민 정신건강에 미치는 영향 연구","재난은 재난 경험자와 사회구성원들에게 정신적인 건강 문제를 야기하여 개인과 사회에 막대한 피해를 입힌다. 이 연구에서는 코로나19라는 감염병 재난이 우리 사회구성원들의 정신건강에 어떠한 부정적인 영향을 미치는지 실증하기 위해 수행되었다.
이 연구에서 코로나19로 인한 우리나라 국민들의 정신건강 실태조사를 시행한 결과 코로나19 사태로 인해 국민의 55.8%가 불안/우울감을 경험하고 있었고, 수면장애를 겪고 있는 국민은 30.6%에 달했다. 특히 정신건강의학 임상적 우울증 선별 도구인 PHQ-9 척도로 측정한 결과 정신과적 진료가 필요한 정도의 우울증 위험군은 17.6%로 나타났고, 범불안장애(GAD-7)는 31.9%에 달했다.
또한 코로나19라는 감염재난 상황이 국민 정신건강에 미치는 영향을 실증하기 위해 ‘코로나19로 인한 스트레스’ 및 ‘자살생각 경험’ 변수와 우울증, 범불안장애 변수들 간의 관련성 통계검정을 시행한 결과 모든 변수들 간 통계적으로 유의한 관련성이 있는 것으로 분석되었다. 또한 ‘직/간접적 확진경험’ 변수와 정신건강 변수들의 관련성을 분석한 결과에서도 코로나19의 확진경험(직/간접)이 정신건강에 부정적 영향을 미치는 것으로 분석되었다. 특히 우울증과 범불안장애, 그리고, 코로나19로 인한 스트레스 변수들 간 관련성의 선형적 강도를 살펴보기 위해 상관분석을 시행한 결과 우울증과 범불안장애의 상관성은 r=0.848로 매우 높은 양(+)의 상관관계가 있는 것으로 나타났고, 코로나19로 인한 스트레스와 우울증은 r=0.380, 범불안 장애는 r=0.348로 유의한 상관관계가 있는 것으로 분석되었다. 즉, 코로나19의 상황은 국민 정신건강에 직접적으로 부정적인 영향을 미치고 있다는 것이다.
과거 우리사회는 메르스라는 감염병 재난을 겪으며 감염재난이 우리 사회구성원들의 정신건강에 얼마나 거대한 악영향을 미치는지 이미 경험한 바가 있고, 이로 인해 우리 정부는 지난 메르스의 경험을 교훈 삼아 코로나19 발생 초기부터 신속한 국민 정신건강 대응을 위해 통합심리지원단의 조기 가동 등 신속히 국민 정신건강 대응정책을 추진해 오고 있다.
그럼에도 불구하고 이번 실태조사에서는 국민의 절반 이상이 코로나19라는 감염병 재난으로 인해 우울감을 경험하고 있었는데, 코로나19라는 전 세계적 감염병 재난 상황인 지금 국민 정신건강 위협에 대응하기 위한 중앙정부 및 경기도의 정신건강 정책 실효성을 높이기 위한 몇 가지 정책적 제언을 하면 다음과 같다.
첫째, 코로나19로 인한 사회적 낙인 해소를 위한 정책이 필요하다. 다른 재난과 달리 감염병 유행으로 인한 재난 상황에서는 사회구성원들의 상호 불신이 증가하고, 특히 확진자에 대한 사회적 낙인 인식도가 매우 높아진다. 이러한 사회적 낙인과 비난은 감염병 환자들은 물론 사회구성원들의 정신건강을 모두 위협하게 되고, 이는 곧 개인의 정신적 트라우마가 사회 전체로 전염병처럼 유행하는 멘탈데믹으로 이어진다. 따라서 경기도는 코로나19 확진자에 대한 사회적 편견과 낙인 해소를 위한 정책 추진이 필요하다.
둘째, 국민 눈높이에 맞춘 심리방역 정책이 필요하다. 코로나19라는 감염병 유행의 장기화로 인해 일터와 학교, 공공장소에서 사회구성원 상호 간의 대면은 곧 불안감과 의심, 상호불신의 확산으로 이어지게 된다. 따라서 사회구성원들의 상호 불신과 의심을 해소하기 위해 국민 눈높이에 맞는 심리방역 정책이 필요하다. 이를 위해 경기도는 도민의 눈높이에 맞는 신속하고 투명한 정보공개와 함께 방역정책에 대한 도민의 신뢰도 제고가 필요하다. 또한 코로나19로 인해 정신건강 서비스를 필요로 하는 도민들이 손쉽게 이용할 수 있도록 서비스 접근성 강화와 대상자별 맞춤형 서비스의 다양화 또한 필요하다.
셋째, 청년층의 멘탈데믹 개입정책이 필요하다. 보통 정신건강은 연령이 증가할수록 취약한 것이 학계의 일반적 지식이고, 코로나19 사태 초기였던 2020년 4월에 시행한 조사 결과에서도 연령이 증가할수록 정신건강 문제가 취약한 것으로 조사된 바가 있다. 하지만 이 연구에서는 코로나19 상황이 1년 이상 장기화되면서 오히려 20대, 30대의 젊은 계층의 정신건강이 더욱 취약한 것으로 분석되었다. 이러한 특이 현상은 코로나19의 장기화가 사회적 기반이 부족한 청년층의 학업중단, 취업기회 박탈, 관계단절 등 사회적 문제를 발생시키고, 이는 곧 젊은계층의 정신건강 문제로 이어진다고 해석할 수 있다. 따라서 코로나19 상황이 장기화될수록 우리사회의 상대적 취약계층인 청년들에 대한 심리방역 및 정신건강 대응정책 강화가 필요하다.",이은환,2021,https://www.riss.kr/link?id=A108321816
한국과 터키의 난민수용 비교연구: 중견국 외교를 중심으로,"난민의 이동성은 증가하고 난민을 수용할 국가들이 부정적인 태도를 취하며 난민문제는 전 지구적 문제가 되었다. 난민보호 노력은 서구 선진국들이 주도해왔지만, 난민문제가 안보 문제와 연계되며 선진국들은 난민통제를 강화하고 있다. 한편 난민 발생지역의 인접국가들은 저개발과 경제난에 시달리며 난민수용에 따른 부담을 호소하고 있다.
본 연구는 난민보호 위기에 대한 대안으로 중견국의 역할을 제시한다. 중견국가들은 국익 신장을 위해 자국이 보유한 능력을 창의적으로 활용하는 외교 행태를 보인다. 특히 기여외교와 공공외교를 통해 자국의 소프트 파워를 강화하며 제한적인 물리적 능력을 보완하고자 한다. 난민수용은 단기적인 관점에서는 안보적, 경제적 비용 부담이 될 수 있지만, 중견국 외교의 관점에서는 규범권력을 강화하고 소프트 파워를 향상시키는 장기적인 기회로 인식될 수 있다. 중견국은 평화, 환경, 보건, 인권 등 보편적 규범을 틈새로 삼아 역량을 집중시키는 틈새외교를 펼치며, 하드 파워의 부족한 부분을 보완하기 위해 소프트 파워를 중시하는 경향이 있다.
본 연구는 한국과 터키라는 두 중견국을 대상으로 하여 중견국 외교와 난민수용의 관계를 분석하고자 한다. 한국은 난민수용을 통해 국제적 위상 제고를 추구했다. 난민법을 제정하고 제도적 개선을 통해 난민을 수용하며 국제사회의 책임성을 실천하는 모습을 보였다. 터키는 대량난민 수용의 부담을 감당하며 국제적 위상 제고는 물론 인도주의 선진국으로서 규범권력을 강화하고자 했다. 두 국가의 사례는 중견국 외교의 관점에서 난민문제에 대한 책임을 다했다는 점에서 공통점을 갖지만, 국가이익 관점에서 차이점을 갖는다.",김원건,2022,https://www.riss.kr/link?id=A108248047
이용자 중심의 노인 지하철 무임승차제도 개선을 위한 분석,"본 연구는 현재 시행되고 있는 노인 지하철 무임승차제도의 시행과정과 이에 따라 발생한 재정적자의 문제점을 개괄하고 지하철 무임승차제도의 주체가 되는 노인들의 개인적 특성과 지하철 이용 특성 간의 연관성 및 노인들의 이 제도에 대한 인식을 분석하여 장기적인 차원에서 노인 지하철 무임승차제도를 개선할 수 있는 방안을 제시하였다. 분석 결과 조사 대상 노인들이 도보를 제외하고 가장 많이 이용하는 교통수단으로는 지하철을 압도적으로 선호하고 있으며 이들이 지하철을 이용하는 가장 중요한 이유로는 현재 시행 중인 노인 무임승차제도에 기인한 것으로 나타나고 있다. 노인들이 지하철을 이용하여 수행하는 여러 가지 활동 중 가장 중요한 활동은 친교인 것으로 나타나고 있으며 노인들의 실제적인 지하철 이용정도는 성별, 소득, 건강정도, 거주지역, 이용시설 등 이들의 지하철 이용과 관련된 개인적 특성과 관련이 있다. 대부분의 노인들은 현재 시행 중인 노인 지하철 무임승차제도의 폐지에 대하여 매우 부정적인 견해를 가지고 있으며 폐지되는 경우 노인들이 생각하는 적정 요금의 수준은 일반인들에게 적용되는 요금의 절반 이하의 수준이다. 기존의 제도를 개선할 수 있는 시행 가능한 대안으로는 현재 시행 중인 제도를 한시적으로 유지하고 그 한시적 시기 내에 발생하는 재정적자 문제는 중앙정부가 전담하거나 중앙정부와 지방자치단체가 분담하고 그 이후에 제도 개선을 위한 협의를 하는 방안을 제시하였다.",노시학 ( Shi Hak Noh ),2012,https://www.riss.kr/link?id=A99584918
한국사회 청년층의 자살 생각 결정요인: 성별 및 거주 지역별 차이를 중심으로,"본 연구의 목적은 한국사회 청년들의 자살 생각 경험을 좌우하는 요인들을 규명하는 것이다. 이를 위해 2013년도 지역사회건강조사 원자료에서 19세 이상 39세 이하의 성인 표본을 추출하여 사용 하였다. 성별과 거주 지역(도시/농어촌)을 교차시킨 네 개의 하위집단에 대해 개인 수준의 변인들과 252개 시군구 단위 지표들로 구성된 다층 로짓 모형의 고정 효과를 추정하였다. 주요 발견들은 다음과 같다. 우울, 스트레스와 같은 심리적 요인 및 주관적 건강상태, 교육 수준을 제외한 다른 개인 변수들의 효과는 집단별로 상이했으며, 지역 변수들의 영향력은 모두 유의미하지 않았다. 비혼, 이혼 또는 별거 상태의 영향력은 남성에게만, 반면 무직 상태와 건강행동으로서 음주 및 흡연의 효과는 여성에게만 발견되었다. 또한 지각된 동네 사회 자본과 가구소득의 효과는 남성들 사이에서만 거주지와 무관하게 나타났다. 다른 한편 거주 지역에 따른 분화는 남성보다 여성 내부에서 상대적으로 두드러졌는데, 남성의 경우 도시 거주자만 독거 생활의 효과가 배타적으로 존재했다. 도시에 사는 여성들은 무급가족종사 상태부터 가구소득, 이웃 및 친구와의 직접적 접촉 빈도, 동네 어메니티에 대한 만족도, 동네 안전에 대한 인식, 사회활동 참여까지 다양한 변수들로부터 영향을 받고 있으나, 농어촌 거주 여성의 경우 특히 자살 생각에 대한 유일한 억제요인은 주변 이웃들 간의 신뢰와 호혜적 규범이었다. 이상의 분석 결과를 토대로 한국사회 청년층의 자살 사고 위험을 줄이기 위한 정책적 시사점과 실천 방안들을 제시해보았다.",김재우 ( Jae-woo Kim ),2018,https://www.riss.kr/link?id=A105581488
경찰의 인권정책에 관한 연구,"세계 인권선언(1948) 전문의 일부분에는『사람들이 폭정과 억압에 대항하는 마지막 수단으로 반란에 호소하도록 강요받지 않으려면, 인권이 법의 지배에 의하여 반드시 보호되어야 한다』라는 내용 있다. 시민의 안전과 사회질서를 위해 법을 집행하는 경찰들 사이에 효과적인 법집 행과 인권존중은 대립된다고 보는 인식이 자리하고 있다. “범인을 체포하기 위 해서 무력의 사용은 불가피하다” “확실하게 유죄판결을 끌어내기 위해서는 어 느 정도의 편법은 사용할 수밖에 없다” “인권도 좋지만 법을 지켜야 한다”고 생각한다.여기서 경찰관의 업무는‘범죄와의 전쟁’이며 인권은 효율적인 법집 행을 가로막는 장애물에 불과하다. 인권은 경찰의 효율적인 법집행을 가로막는 장애물인가 아니면 경찰 본연의 업무 수행에 필수적인 근본 지침인가? 경찰과 인권의 거리를 좁히기 위한 노력으로 도대체 인권이란게 무엇인가? 인권옹호를 위해 설립된 국가인권위원회는 어떤 역할과 절차를 통해 일 하는 가? 경찰이 왜 그렇게 자주 공권력에 의한 인권침해 사례로 오르내리게 되며 그 가운데 대표적인 인권침해 유형들은 어떤 것인가? 인권침해집단이라는 오명 을 벗고 법집행 공직자로서 가질 수 있는 자긍심과 명예를 회복하기 위해서 실 무적으로 무엇을 바꾸어야 하는가?등에 대해 알아보고,특히 경찰의 시민 인 권침해 문제,시민의 경찰인권 침해 문제,경찰의 인권정책 등에 대해 고찰해 보기로 하겠습니다.",김재주,2011,https://www.riss.kr/link?id=A82650428
아편전쟁과 동아시아 근대화과정에서 나타난 중·일의 대응방식 분석,"이 논문은 아편전쟁과 동아시아 근대화과정에서 나타난 중국과 일본의 대응방식을 비교분석한 것이다. 동아시아 근대기에 발생했던 아편전쟁은 동양과 서양의 문물이 군사적으로 충돌한 사건이었지만, 그 결과는 서구열강이 중국을 비롯한 동아시아전역을 지배하는 것으로 나타났다. 아편전쟁 이후 중국은 19세기 세계정치경제의 중심국가였던 영국에 의해 불평등조약을 체결한 것을 시작으로 연속적인 서구열강의 시장쟁탈지로 전락하였다. 중국은 아편전쟁 당시 황제를 중심으로 한 전통적 봉건제를 실시하여 급변하는 세계정세에 대한 적절한 대응을 하지 못하였다. 중국의 추진한 쇄국정책은 중국이 이미 산업혁명을 거친 서구열강의 힘에 대한 본질파악에 미흡했으며, 그 결과 역시 주도권 상실로 이어졌다. 일본은 아편전쟁 이후 급변하는 동아시아정세변화에 발빠르게 적응한 대표적인 국가로 분류된다. 일본이 서구열강들로부터 강제점령 당하지 않고, 대응할 수 있었던 것은 중국에서 발생했던 아편전쟁의 교훈이었다. 일본 내부의 쇼군파와 존황제를 주장한 개혁파의 갈등이 단시일내에 개혁파의 승리로 끝난 점도 주요요인이 되었다. 1868년 메이지 유신은 일본 일반 국민들로부터의 변혁이 아닌 상층부 관리들의 분명한 개혁의지가 있었기 때문에 가능했다. 아편전쟁 당시 중국과 일본의 국가체제는 봉건제를 실시한 전대적 국가들이었음에도 불구하고 아편전쟁 이후에는 일본이 중국을 초월하여 근대화를 이룬 데에는 권력엘리트들의 개혁의가 달랐기 때문이다. 동아시아 근대기 중국과 일본 엘리트들의 대외인식의 교훈은 21세기 국제질서에서도 해당국의 국가미래를 가늠하는 기준이 될 것이다.",김주삼(Joo Sam Kim),2009,https://www.riss.kr/link?id=A101990842
가정폭력 피해자 보호의 실효성 확보방안에 관한 연구,"1997년『가정폭력 범죄의 처벌 등에 관한 법률』이 제정되어 가정폭력을 더 이상 방치하지 않고 국가가 개입하기 시작하였으나, 그 법률의 실효성에 있어 특히 현장에 출동한 경찰의 권한이 미비하여 효과가 없다는 비판이 제기되어 2011년 경찰에게 긴급임시조치권을 부여하고 법원의 피해자보호명령제도를 도입하였다.그러나 경찰이 긴급임시조치권을 행사하고 가정폭력 가해자가 이에 위반하더라도 그 제재조치는 과태료에 불과하고, 과태료 부과절차상 가해자에게 과태료를 부과하는 것은 법적으로 84일 정도의 시간이 소요된 이후에 가능하게 되어 실제로 경찰의 긴급임시조치권이 가정폭력 피해자를 보호할 수 있는지 여전히 의문이제기된다. 또한 법원의 피해자보호명령제도 역시 피해자가 가해자로부터 심리적으로 위축되고 신체적인 폭력 및 협박을 받고 있는 상태에서 법원에 보호명령을 신청하는 것은 현실적으로 어려움이 있고, 경찰의 긴급임시조치처분이 발령된 상태에서 피해자가 보호명령을 신청하더라도 경찰의 긴급임시조치권이 위와 같이 아무런 실효성이 없으므로 결국 법원의 피해자보호명령제도는 가정폭력 피해자를 보호하는데 한계에 봉착하게 된다.따라서 이러한 현실적 문제와 제도적인 문제를 해결하기 위한 대안으로, 가정폭력 가해자가 경찰의 긴급임시조치권에 위반할 경우 과태료부과처분이 아니라 경찰서 유치장이나 구치소에 구금하는 것이 필요하고, 이러한 강제처분이 가능할 때 경찰의 긴급임시조치권과 법원의 피해자보호명령제도가 가정폭력 피해자를 보호하려는 위 가특법의 취지를 제대로 살릴 수 있을 것이다.",성홍재,2011,https://www.riss.kr/link?id=A82706397
요양병원 입원노인의 우울과 자아효능감이 삶의 질에 미치는 영향,"목적 : 요양병원 입원노인의 우울과 자아효능감이 삶의 질에 미치는 영향을 알아보고자 하였다. 연구방법 : 대상자는 경상북도 K시에 소재하고 있는 요양병원 입원노인 212명을 대상으로 하였다. 대상자의 일반적 특성, 한국판 노인 우울척도(GDS-K), 자아효능감척도, 세계보건기구 삶의 질 간편형 척도(WHOQOL-BREF)가 첨 가된 구조화된 설문지를 통해 자료를 수집하였다. 수집된 자료는 부호화하여 SPSS ver.18을 사용하여 일반적 특성 에 따른 우울, 자아효능감, 삶의 질의 차이와 자아효능감, 우울, 삶의 질 간 상관계수 그리고 우울, 자아효능감이 삶의 질에 미치는 영향을 알아보았다. 연구결과 : 일반적 특성에 따른 우울과 자아효능감은 입원기간과 종교가 통계적으로 유의한 차이가 나타났고, 삶의 질 은 종교에서 유의미한 차이가 나타났다. 입원노인의 우울은 삶의 질과 통계적으로 유의한 부적 상관관계(p<.001)가 나타났고, 자아효능감 하위변인과 삶의 질은 통계적으로 유의한 정적 상관관계(p<.001)가 나타났다. 입원노인의 우 울과 자아효능감이 삶의 질에 영향을 미치는 변인은 우울정도(β=-.328)이고, 사회적 효능감(β=.248), 신체적 효능감 (β=.193)으로 나타났다. 결론 : 입원노인의 삶의 질을 높이기 위해 우울을 감소시키고 자아효능감을 높일 수 있는 요양의료서비스의 제공 및 개발이 필요할 것이다.",곽성원,2018,https://www.riss.kr/link?id=A105295076
"인구규모에 따른 지역 간 출산율 차이 및 결정요인에 관한 연구 : 대도시, 중소도시, 농촌 비교 분석","본 연구는 함계출산율과 조출생률 지표를 통해 도시규모에 따른 출산율 차이와 결정요인을 분석하는 것을 목적으로 한다. 이를 위해 도시를 인구규모에 따라 대도시, 중소도시 농촌으로 구분하였으며, 도시규모에 따른 출산율 차이와 결정요인을 분석하기 위해 국가통계포털(KOSIS), 지자체 출산장려정책사례집 등의 자료를 활용하였다. 본 연구에서는 t-검정을 통해 도시규모에 따라 출산율과 출산율 결정요인의 차이를 분석하였으며, 회귀분석을 통해 도시규모에 따라 출산율 결정요인이 출산율에 미치는 영향을 분석하였다. 본 연구의 주요 분석결과는 다음과 같다. 첫째, 합계출산율에서는 농촌의 출산율이 대도시보다 높은 것으로 나타났으며, 조출생률에서는 대도시의 출산율이 농촌보다 높은 것으로 나타났다. 둘째, 대도시와 중소도시에서는 비용요인(공공임대주택비율, 여성경제활동참가율, 취업률)이 합계출산율과 조출생률에 가장 큰 영향을 미치는 것으로 나타났다. 마지막으로, 농촌에서는 정책재정요인(사회복지예산), 비용요인(여성경제활동참가율, 취업률), 사회문화교육요인(의료시설 수)이 합계출산율과 조출생률에 가장 큰 영향을 미치는 것으로 나타났다. 이러한 연구결과는 앞으로 지역의 인구정책을 추진하기에 앞서 도시규모와 도시의 특성에 맞춘 유형별 정책수립이 필요하다는 시사점을 제공한다.","박관태(Park, Kwan-Tae)",2020,https://www.riss.kr/link?id=A107150839
유네스코 세계유산으로서 바르셀로나 가우디 건축의 이해,"본 연구는 사진을 이용하여 세계유산으로서 바르셀로나의 가우디 건축의 특징을 기술하는데 초점을 두었다. 안토니오 가우디는 세계에서 가장 중요한 근대적 스타일의 건축가로 그의 걸작 대부분을 바르셀로나에서 확인할 수 있다. 가우디는 스페인 카탈루냐 지방 출신의 건축가로 아르누보 양식이 유행한 시기에 모더니즘의 시각을 초월해 독특하고 독창적 디자인으로 창조해냈다. 그의 건축은 19세기 후반과 20세기 초반, 건축기술 발달에 크게 기여했으며, 스페인 바르셀로나에 중심을 둔 모데르니스모(Modernismo)와 같은 당시 문화와 예술 흐름과 관련된 중요한 가치의 변화를 나타내고 있다. 그의 작품은 건축뿐 아니라 정원, 조각 및 모든 장식예술에서 조화롭고 매우 개인적이면서 자유로운 스타일을 표현하고 있다. 그의 작품은 자연 형상에 영향을 받았으며, 곡선으로 구성된 돌, 구부러진 고철 조각품 및 유기적 형태를 이용하는 건축 특성을 반영한다. 그는 많은 건축을 모자이크 양식으로 배열된 색채 타일을 이용해 장식함으로써 다른 건축가들이 간과한 색채 이용의 의미를 강조했다. 그의 건축은 유네스코 문화 및 자연유산 보호협약에 의해 세계유산목록에 등재되어 있으며, 주요 작품은 카사비센스, 구엘저택, 구엘성지 납골당, 구엘공원, 카사바트요, 카시밀라 및 성가족성당 등이다. 본 연구는 가우디 작품세계 이해를 위한 자료와 바르셀로나 관광을 위한 안내 정보로 활용될 수 있다.",이혁진 ( Hyuk Jin Lee ),2011,https://www.riss.kr/link?id=A82698344
