
유아기에 적합한 다문화교육,"현대사회가 다양화되고 국제결혼가정이 늘어남에 따라 다문화 교육에 요구가 증가하였다. 유아교사들은 유아교육기관에서의 다문화교육에 대한 필요성과 중요성에 대해서 인식하고는 있으나 다문화교육을 실천하는 데 있어서 교수자료의 부족, 교수방법과 그에 적절한 교사역할 이해 부족, 다문화교육에 대한 이론적 개념 확립 부족으로 인해 오는 자신감 상실이 수업에 임할 때 큰 부담감으로 작용하고 있는 실정이다.
따라서 본 연구에서는 유아교육기관에 있는 일반유아들을 대상으로 하는 다문화교육의 교육방법에 대해 제시하고 그와 관련된 실제 사례를 보여줌으로써 유아기의 적절한 다문화교육에 대한 방향 모색에 기여하고자 하였다.
다문화교육은 한 사회 내에 존재하는 다양한 문화를 인정하고 구성원들 간의 차별 없는 공존을 돕는 교육이 되어야 한다. 교사는 유아들로 하여금 흥미위주의 활동을 경험하는 것에만 그치는 것이 아니라 ‘왜 그렇게 되었는지’에 대해 사고해보게 함으로써 타인과 타문화를 이해하는데 비판적인 사고능력을 기르도록 하는 것이 중요하다.
유아기의 다문화교육은 직접 접할 수 있는 인적, 물적 자원을 통해 시작해야한다. 다른 나라 사람들을 보아도 신기해하거나 특별한 존재라고 인식하기보다는 자연스럽게 여기고 지나가는 것이 다문화교육이라고 할 수 있겠다. 그러나 이러한 다문화교육이 효과를 얻기 위해서는 유아를 가르치는 교사와 학부모가 다문화교육을 얼마만큼 알고 있는지에 대한 지식의 정도와 다문화 교육에 대한 긍정적인 태도에 따라서도 다문화교육의 효과는 달라질 수 있다.
따라서 다문화교육에 대한 학부모 및 교사대상의 교육이 활발하게 이루어져야 할 것이며, 다문화교육을 하나의 특별한 프로그램으로 여겨 특별 교육으로 여겨서는 안 될 것이다.",신현경(Shin Hyun-kyoung),2009,https://www.riss.kr/link?id=A82542032
한국 다문화정책의 방향성 재고(再考): 다문화수용성과 제노포비아(xenophobia),"본 연구는 한국의 다문화 담론이 본격적으로 형성된 지 20여 년이 다 되어 감에도 여전히 다문화수용성(multicultural acceptance)이 낮은 이유로 편향된 다문화정책을 그 원인 중 하나로 지적하고자 한다. 한국에서의 ‘다문화 담론은 1990년대 노동력의 감소 및 농촌 총각 등의 문제로 외국인근로자 및 결혼이주여성이 국내에 유입됨으로써 시작되었다. 다문화(multiple culture)란 말은 1970년대 서구 민주주의 국가에서 대두되기 시작한 이념으로 이와 관련한 논의는 각 국가의 역사적·현실적 맥락 등에 따라 상이하다. 서구 국가들의 다문화주의의 유형은 미국·캐나다·호주 등 ‘신대륙’ 이민자 국가들과 유럽 대륙 국가들로 구분할 수 있는데, 그 중 캐나다와 호주는 1960년대부터 자신들의 새로운 내셔널 아이덴티티(national identity)를 기초로 다문화주의의 원리를 채용하였으며, 백인과 그 외의 인종 통합을 목표로 하였다. 다문화주의는 한 국가 내의 민족 혹은 인종 간 다양한 문화를 인정하고 이를 사회적·문화적·정치적으로 수용하는 것으로, 각 국가 별로 이를 어떻게 개념화하느냐에 따라 정책의 유형이 달라진다. 한국의 경우 대부분의 다문화정책이 결혼이주여성과 외국인근로자 그리고 그들의 가족들과 관련된 것으로 국한됨으로써, ‘다문화’의 범위를 한정시키는 오류를 범하고 있다. 국내 소수집단의 인권 및 권리를 신장시키기 위해 도입된 정책이 오히려 ‘다문화’라는 그럴듯한 이름 아래 소수집단-주로 빈곤국 출신의 이주자-을 구별 짓고 차별하는 결과를 낳았다. 본 연구에서는 국내에서 이주민을 포용 혹은 수용하기 위하여 계획된 다문화정책이 실제적 의미의 ‘다문화주의’를 지향한다기보다는, 일부 외국인을 대상으로 편향되게 실시됨으로써 한국인의 다문화수용성에 악영향을 미쳤다고 가정한다. 더불어 이러한 편향된 다문화정책이 한국 내 제노포비아 현상을 증가시킨 하나의 원인이 되었음을 밝히고 그에 따른 대책 마련의 필요성을 주장하고자 한다.","김미영(Kim, Mi young)",2021,https://www.riss.kr/link?id=A107400550
직장 어린이집 보육교사의 업무불안과 역할수행 간의 관계 - 원장 및 동료교사의 사회적 지지의 중재효과,"본 연구에서는 직장어린이집 보육교사의 업무불안과 역할수행, 어린이집에서의 사회적 지지의 관계에 대해 알아보고 업무불안에 따른 역할수행과 사회적 지지의 중재효과를 알아보고자 하였다.
이를 위해 D시에 위치한 직장어린이집에 근무하고 있는 만 3～5세 유아반 담임교사 116명을 대상으로 하였다. 사용된 설문지는 보육교사의 업무불안을 측정하기 위하여 교사용 불안검사지(STAS)를 이혜리(2016)가 번안한 척도를 사용하였다. 보육교사의 사회적 지지를 측정하기 위하여 박지원(1985)이 개발하고 김윤지(2017)가 유치원 교사용으로 수정한 도구를 사용하였다. 또한 보육교사의 역할수행은 이희경과 김성수(2002)가 개발한 도구를 박복매(2011)가 수정ㆍ보완한 척도를 사용하였다.
이 연구의 자료 분석을 위해 SPSS 18.0 프로그램을 사용하여, 기술통계, 독립표본 t검증, ANOVA, Tukey의 사후검증, 상관분석, 위계적 회귀분석을 실시하였다. 주요 연구 결과를 요약하면 다음과 같다.
첫째, 보육교사의 업무불안과 역할수행은 보육교사의 연령과 경력에 따라 유의한 차이가 나타났으며 최종학력에는 차이는 나타나지 않았다. 둘째, 보육교사의 업무불안과 역할수행은 유의한 상관관계가 나타났다. 수업불안을 많이 경험하는 교사일수록 보육 및 기본생활지도나 교육 및 교수활동을 수행하는데 있어 어려움을 겪는다고 할 수 있다. 셋째, 보육교사의 업무불안과 역할수행의 관계에서 원장과 동료교사의 사회적 지지의 중재효과가 나타났다. 원장의 사회적 지지의 중재효과는 불안이 높은 교사가 보육 및 기본생활지도, 교육 및 교수활동을 수행할 때 효과적이었으며, 불안이 낮은 교사의 경우 상담 및 정서적 지원, 연구 및 반성적 실천, 관리적 역할을 수행할 때 효과적인 것으로 나타났다. 동료교사의 사회적 지지의 중재효과는 불안이 높은 교사가 보육 및 기본생활지도, 상담 및 정서적 지원, 관리적 역할을 수행할 때 효과적이었으며, 불안이 낮은 교사가 연구 및 반성적 실천 역할을 수행할 때 효과적인 것으로 나타났다.
결론적으로 보육교사의 업무불안과 역할수행에 어린이집에서의 사회적 지지의 중재효과가 있는 것으로 나타났다. 이를 토대로 보육교사의 역할수행력을 높이기 위해서는 업무불안을 높은 교사들에게는 동료교사의 사회적 지지, 업무불안이 낮은 교사들에게는 원장의 사회적 지지를 통하여 역할을 더 효과적으로 수행할 수 있도록 대상에 맞는 교사 프로그램의 개발 및 실시와 교사 연수 등이 이루어져야 할 것이다. 또한 보육교사에게 사회적 지지를 제공하는 원장과 동료교사도 스트레스나 소진이 올 수 있으므로 이를 해소하고 격려할 수 있는 프로그램 또한 함께 개발되어야 할 것이다.",강주연(Joo Yeon Kang),2023,https://www.riss.kr/link?id=A108654295
다문화사회에서의 ‘한국 전통음악’의 역할,"이 연구는 다문화사회에서 개방적인 정체성 확립을 위한 ‘한국 전통음악’의 역할에 대한 고찰이다. 우리는 다문화사회에 직면하여 과거 혈연중심의 단일민족주의와 서구문화에 대한 편향적 태도에서 벗어나 다원주의적 입장에서 세계를 인식하고, 다인종?다문화 세계에 살아갈 청소년 세대들을 위한 새로운 다문화 교육이 요청되고 있다.
음악을 포함한 문화예술 활동은 다양한 문화적 유산과 자원이 서로 평등하게 공존하고 소통할 수 있으며, 다양성이 인정되고 실현될 수 있는 연결고리로 작용할 수 있다. 레비스트로스(Levi-Strauss)는 “다양성이 없이는 인류가 진정으로 살아갈 수 없다”고 지적하였다. 우리는 다문화사회에서 여러 문화의 다양성을 보존해야 한다. 또한 민족 전통 속의 정체성과 잠재력을 북돋워 특수성을 유지하면서 타문화와 교류하여 새로운 문화를 창조해야 하는 것이다. 이와 같이 문화예술활동은 다문화 사회에서 타문화의 이해와 공존을 위한 가장 자연스럽고, 쉽게 융화될 수 있는 효과적인 활동이다.
그동안 한국 다문화교육에서는 문화예술활동에 대한 지원이나 구체적 방법론 보다는 다른 활동에 관심을 기울였다. 특히 음악교육부분에서는 우리문화의 정체성 확립을 연관된 한국 전통음악에 대한 내용은 부족하였다. 무조건적 동화를 지향하는 한국 전통음악교육이 아니라 한국의 다문화사회에서 사회의 통합, 소통을 위한 한국 전통음악을 포함한 음악교육과정이 필요하며, 교과서에 충분히 반영시키기 위한 구체적인 방안과 다문화사회에서의 한국 전통음악의 역할에 대한 재인식이 요구된다. 또한 우리의 고유한 사회적 배경과 한계를 분명하게 인식하고 ‘한국 전통음악’의 정체성을 확립함과 동시에 시대흐름에 맞는 음악을 추구하는 문화교육’의 가능성이 모색되어야 할 것이다.
이 글은 먼저 문화예술교육의 위상과 한국의 다문화교육의 한계점을 살펴본 다음, 문화의 본질과 관련된 음악교육의 필요성과 우리의 정체성과 관련된 ‘한국 전통음악’교육의 필요성을 제시하고자 한다. 마지막으로 미래의 전망과 더불어 한국 전통음악의 아시아음악과의 혼융을 통한 다문화사회에서의 음악의 역할과 한국 전통음악의 다문화교육콘텐츠의 방향성을 제시하려한다. 한국 전통음악은 다문화사회에서 다른 문화권의 음악과 함께 이해되고 발전시켜야 그 가치를 인정받게 될 것이다. 따라서 단순히 한국 전통음악을 소개하고 교육하는 것에서 끝나지 않고, 전통음악의 정체성을 지키면서 넓게는 아시아음악과의 혼융을 통해 새로운 문화예술교육의 방향이 모색되어야 한다. 또한 세계화라는 불가피한 변화 속에서 한국 전통음악을 활성화시킬 수 있는 ‘한국 전통음악(교육)의 콘텐츠화’ 작업이 절실하게 필요하다.",최성환(Sung-hwan Choi),2012,https://www.riss.kr/link?id=A60109248
한국어 관용구의 은유·환유에 대한 본격적인 연구의 시작을 알리다,"1 임근석, ""한국어 연어 연구"" 서울대 2006",이동혁,2011,https://www.riss.kr/link?id=A82609299
베를린 문화예술센터의 고찰을 통한 국내 복합문화공간의 예술교육프로그램 분석 연구,"본 연구의 목적은 현대인의 문화예술교육과 예술 향유에 대한 욕구의 증가로 복합문화공간에 관한 관심이 높아짐에 따라 복합문화공간의 예술교육프로그램에 대한 활용과 양상을 검토해보고 그 방향성 을 논하는 것이다. 이를 위하여 유럽의 대표적 복합문화공간인 베를린 문화예술센터와 국내의 국립아 시아문화전당, 예술의전당을 중심으로 그 역할과 가치를 탐색하였다. 그 결과는 첫째, 베를린의 복합문 화예술 센터에서 제공하는 예술교육은 시와 지역민의 참여도가 높고 유대관계 또한 매우 컸으며, 상주단체인 베를린 필하모닉 오케스트라에서도 전문성을 기반으로 예술교육에 적극적으로 동참하고 있었다. 둘째 아시아문화전당의 운영에서는 동시대 예술을 추구하는 설립목적의 정체성과 어린이 프로그램의 다양성이 돋보였으며, 전문인력 아카데미의 프로그램을 통해 기술적인 인력을 자체적으로 양성하고 있었다. 셋째, 예술의전당에서는 장르별 실습 교육이 꾸준하게 이루어지고 있었는데 미술에 가장 높은 참여를 보였으며 전문인력 아카데미 프로그램은 공연기획과 전시기획 그리고 예술경영 등으로 구분되어 있었다. 이러한 분석을 통한 시사점은 복합문화공간의 지역적 인프라와 인적자원의 활용이 공공성 있는 예술교육의 운영에 중요한 요소이며, 예술의 구현을 위해서는 보다 장기적 관점에 서 설계하고 예술교육의 지식정보와 교류에도 가치를 두어야 한다는 점이다.",조정은,2021,https://www.riss.kr/link?id=A107854557
일생의례와 물질문화,"이 글은 《한국인의 일생의례》 가운데 출생과 혼례에 등장하는 의례 도구의 종류와 내용을 분석하고, 연구 방법 및 성과, 문제점 등을 살펴보았다. 일생의례 조사방법은 전국의 각 시·군에서 평균 3개 지역을 선정, 세부적으로 분류된 조사항목을 가지고 진행하였다는 점에서 그 자체가 큰 의미를 가진다. 그러나 조사연구원 사이의 전문지식의 격차로 인해 보고서의 내용이 차이를 보이며, 특히 물질적 의례도구에 대한 연구는 세밀하게 이루어지지 못했다.
출생의례와 관련해서 전국적으로 등장하는 도구들은 기자와 관련해서는 도끼, 임산부의 속옷, 고추 등이 보이며, 임산부의 산전 행동과 관련해서는 농기구를 만지거나 넘어가는 행위 등을 금기시 하였다. 해산 관련 의례도구로는 짚과 가위가 보이며, 산후에는 부정한 사람을 막기 위해 금줄을 둘렀다.
출산과 관련해서 배냇저고리는 아이가 태어나서 처음으로 입는 옷으로 건강, 시험, 송사, 임신, 우애 등에 효력이 있다고 여겨 잘 보관하였다. 돌상과 돌잡이 풍속은 오늘날에도 전승되고 있다.
혼례와 관련하여 등장하는 물질문화 요소들은 상당하며 이것들은 상징적인 의미를 지니고 있다. 대표적으로 납폐함·혼례복·가마· 초례상·목안(木雁)·표주박·요강·혼수품·폐백용품·이바지음식 등을 들 수 있다.
출생의례와 혼례와 관련해서 이번 보고서의 성과도 무시할 수 없다. 출생의례와 관련해서 금줄에 거는 남녀 출생의 표식물의 종류라든지 개수가 지역에 따라 다르고, 해안가 지역에서는 미역을 거는 사례 등은 이번 보고서를 통해 얻은 결실이다. 또한 금줄에 거는 고추는 시집 올 때 가져온 것을 건다는 것을 통해 남아 선호사상을 간접적으로 알 수 있게 해준다. 그리고 부산지역에서 칼을 꽂는 사례는 지역적 특성을 나타낸 것이라고 할 수 있다.
금줄을 거는 기간도 지역에 따라 차이를 보이며, 길게 거는 것보다 짧게 7일간 거는 것이 일반적인 것임을 조사를 통해 알 수 있다. 금줄을 푸는 것도 대전지역에서는 장수한 노인이라는 점에서 금줄과 장수와의 관련성도 있음을 보여준다.
산모가 먹는 미역국의 부재료도 지역에 따라 다르고 바닷가 마을에서 귀하게 여긴 물고기를 사용한 것도 이번 조사에서 얻어낸 결과이다. 유량이 많은 산모의 젓도 함부로 버리지 않고 연기처럼 유량이 지속적으로 풍부하기를 바라는 의미에서 굴뚝에 버린 것도 전국적으로 나타난다는 점에서 민속의 일반성을 엿볼 수 있다.
첫 아이의 외출에 함진아비처럼 솥검정을 바르는 행위를 통해 불을 통해 아이를 보호하고 잡귀로부터 정화하려는 주술적인 행위를 엿 볼 수 있다. 그리고 지역에 따른 독특한 풍속을 이번 조사에서 밝힌 것도 큰 성과이다. 가령 대구에서 아이를 못 낳는 여성이 상여를 타면 아이를 잉태한다는 속신이나 제주도에서 갈옷 기저귀를 사용하는 것, 대전에서 신부 가마에 낀 살을 막기 위해 활을 쏘는 행위 등은 지역성을 들어낸 것이다.
그리고 신부 가마에 배뇨를 위해 요강을 넣은 것은 일반적이나 그 요강에 든 곡식으로 밥을 해서 시부모에게 바치었다는 조사 내용은 요강이 배뇨기능 보다는 갈무리 기능을 하였다는 것을 알 수 있게 해준다.",정연학(Jung Yon-Hak),2011,https://www.riss.kr/link?id=A60148700
독일의 다문화 사회통합정책 연구,"본 연구는 이주민정책 환경에서 한국과 유사성이 있는 국가 및 지방자치단체로 독일의 수도 베를린을 상정하였다. 베를린 시정부는 먼저 지역관리전략을 수행한 경험을 바탕으로 베를린 자치구를 구역별로 나누었다. 그 다음에는 취약계층 주민들, 이주배경을 가진 사람들이 집중되어 있는 지역구의 시설과 주택 등을 개선하였다. 아울러 삶의 질이 높아질 수 있도록 주변 환경을 정비하고, 지역관리팀을 구성하여 서로 협력하고 참여할 수 있는 소통의 장을 마련하였다.
베를린시는 자치단체의 차원에서 모범적인 이주민 정착을 위한 사회통합정책을 운영하고 있음이 확인되었다. 본 연구자는 이를 토대로 현재 국내 이주민의 지역사회 정착과 사회통합을 위한 정책구현의 문제점을 지역의 눈높이에서 진단하고 이를 개선할 수 있는 방안을 모색하고자 하였다. 이는 아직 지역단위의 이주민 정책 수행 경험이 부족한 한국에 중요한 정책 자료로 제공될 수 있을 것이기 때문이다. 베를린의 통합정책에서도 볼 수 있듯이 독일은 이주자들에게 동등한 기회를 주고, 사회참여에 대한 적극적 통합을 이루기 위한 노력들을 세심하게 계획하고 실행하였다. 본 연구는 지금까지의 다문화 지역통합 전략이 미약한 한국적 상황아래서 베를린시의 다문화 사회통합 정책을 살펴봄으로써 지방자치단체 차원에서 다문화정책 연구의 지평을 넓힐 수 있을 것이다.",김영란(Young-Ran Kim),2017,https://www.riss.kr/link?id=A103459908
다문화가족지원센터의 다문화가정을 위한 지원서비스 : 현황과 발전방향에 관한 연구,"한국가족은 노동시장의 변화, 여성의 고학력화와 경제활동의 증가 등으로 결혼과 가족형성이 예전과는 달라지고 있다. 그 중 대표적인 현상이 국제결혼과 그로 형성되는 다문화가정이다. 다문화 가정의 안정과 건강성을 지향하기 위해서 다문화가족지원센터를 설치하고 이들 가정을 지원하는 서비스를 제공하고 있다. 본 연구는 다문화가족지원센터에서 다문화가정에 지원하는 서비스 현황을 고찰하고 장기적인 안목에서 발전방향을 제시하고자 하였다. 다문화가족지원센터의 서비스는 필수, 특화, 공통으로 구성되어 있다. 필수사업은 한국어교육, 다문화사회이해교육, 가족교육, 상담, 자조집단운영 있으며, 특화사업으로는 정서지원, 다문화가족 역량강화, 인식개선, 전문인력 양성이 이루어지고 있고, 공통사업으로는 홍보, 네트워크와 자체평가 시스템 구축, 협의체 구성 및 활동 등이 이루어지고 있다. 다문화가족지원센터의 발전을 위해서는 첫째, 다문화가족방향이 지향하는 관점과 목표가 일관성이 있어야 하며 새로운 패러다임이 필요하다. 둘째, 가족생애주기와 가족유형에 고려한 맞춤형 서비스 제공이 이루어져야 한다. 셋째, 지원대상의 확대와 서비스의 내용을 보완이 요구된다.",박정윤(Park Yeong-yun),2009,https://www.riss.kr/link?id=A82541981
만동묘와 화양서원 입지의 풍수적 특징 분석,"송시열은 주자의 무이구곡을 본받아 화양구곡을 개창하고 학문과 휴식의 공간으로 활용하였다. 만동묘는 조선왕조에 있어서 중요한 위치를 확보하고 있었고, 화양서원과 함께 노론들의 본거지로 자리하고 있었다. 『일성록(日省錄)』에 따르면 만동묘는 송시열이 은거하던 곳에 건설하고 있다.
만동묘는 중국의 황제를 배향한 반면에 화양서원은 노론의 영수 송시열을 배향하고 있다. 따라서 만동묘는 풍수적 길지론에 부합한 입지선정이 이루어졌다. 혈의 형상과 크기에 결정적인 영향을 미치는 주산과 안산은 무곡 금성체의 형상을 하고 있다.
특히 안산은 3개의 봉우리가 나란히 선 화개삼태(華蓋三胎)의 형상으로 아주 길한 모습을 하고 있다. 그러나 화양서원은 길지적인 특징에 부합하지 않고 있어, 만동묘의 부속적인 의미에 머무르고 있다. 그런 차원에서 만동묘와 화양서원은 서로 간에 어떤 위상과 의미를 가지고 건설되었는지 비교해 볼 수 있는 중요한 의미를 제공하게 된다. 또한 정치적인 상황과 여러 요구조건들을 반영하여 합리적 위상과 논리를 구성하고자 하였다. 즉, 가장 예제적인 건축물이라 할 수 있으나, 다양한 정치적 현실요구는 본연의 모습을 유지하기 보다는 변형되기에 이르고 말았다.",박정해,2012,https://www.riss.kr/link?id=A60162984
