
행복이란 무엇인가? 행복에 관한 연구 개관,"Studies on happiness in psychology were reviewed. Studies on happiness have two philosophical traditions, the Hedonism and the Eudaimonism. The concepts of ""Subjective Well-being""(Diener, 1984) and ""Quality of Life"" are based on the Hedonism; the concepts of ""Psychological Well-being""(Ryff, 1989b) and the ""Flow experience"" are based on the Eudaimonism. The relationship between SW13 and extroversion was well established. Various Quality of Life measures were found to be useful for the various target populations (the elderly, for example). Researches based on the Eudaiomonism were not so much developed and seems to be needed for the future study.",이수정,2005,https://www.riss.kr/link?id=A75025680
학교폭력 가해피해 중복경험 중학생의 특성 및 학교생활적응에 영향을 미치는 요인 연구,"The purpose of this study is to investigate the school life adjustment of the violent students with victims and offenders experience by comparing with offender group, victim group, and non violent group and the effect variables on school life adjustment. The data was from 2,091 middle school junior students who was surveyed in 'Korea Children and Youth Panel Survey'. MANOVA and Munti-regression analysis were utilized to test research questions. The results showed that the level of school life adjustment of the violent students with victims and offenders experience were lower than in the other group. Also, their life satisfaction and evaluation of healthy were lower than in the other group. In the family variables, they experienced more mistreatment and less positive parenting than the other group. Also their friendship score was lower than non violent and offender group. From the multi-regression analysis, there were difference between effect variables on school life adjustment in groups. Ego-resilience was effective variable on school life adjustment of the violent students with victims and offenders. In the end, the implications for the intervention of their school life adjustment were discussed.",고경은,2015,https://www.riss.kr/link?id=A102573969
성격장애와 기질 및 성격특질 간의 관계,"Cloninger(1987, 2004) was assumed that naturally inborn temperament affects personality development across the lifetime. If based on this assumption, temperament may be a potent cause of personality disorders. The aim of this study was to verify the relationship between personality disorders (PDs) and each dimension in Korean Temperament and Character Inventory (TCI) that based on Cloninger's psychobiological model. Also, we investigated the temperament and character that have each PDs, and examined the character dimensions that can discriminate PDs. The Korean TCI and Personality Disorder Test were administered to 753 university students. We used correlation analysis and multiple regression analysis. As a result, self-Direction (SD) and Cooperativeness (C) were useful indicator for recognizing level of PDs, because SD and C were negative correlation with all cluster of PDs. Cluster A was associated with Harm Avoidance (HA) and Reward Dependence (RD). Cluster B was related Novelty Seeking (NS), cluster C was involved HA. Furthermore, we suggested three-dimensional figure about what kind of relationship between 10 PDs and three temperament dimension (NA, HA, RD). Implication of this study was to examine the psychological trait of PDs through a temperament and character dimension.",황순택,2015,https://www.riss.kr/link?id=A103640606
청소년범죄 유형과 원인 및 예방대책,"This study aims to analyze the types and causes of juvenile crime and to prepare preventive measures.
Juvenile crime is shown in the form of violent crime, property crime, and traffic crime. Robust crime is mainly a sex crime, and the desire for physical development, character problems and immature psychological development are caused by a harmful environment. Violent crime is impulsive violence without clear purpose or motive, such as bullying. Property crime was a part of irrational thinking, excessive consumption tendency, and theft to prepare entertainment expenses. Traffic crimes are associated with a tendency to enjoy adventure in adolescence. The causes of juvenile crime are as follows: First, the family environment is caused by the absence of a parenting environment and character problem. Second, the school environment is caused by stress from excessive competition. Third, adolescents may be influenced by harmful environmental factors. Fourth, the juvenile law has shown that juvenile crime is lighter in sentence than adult crime. The preventive measures are as follows: First, parents are responsible for raising their children correctly. Second, schools should make efforts to cultivate talented people. Third, a healthy social environment must be made for young people. Fourth, the Youth Protection Act and the Juvenile Act should make efforts to reduce juvenile crime. Above all, there is a need for a unified system to manage juvenile offenders over the long term. Finally, members of our society must accept youth offenders with love rather than prejudice.",이용주,2019,https://www.riss.kr/link?id=A106483720
상담 및 심리치료에서 인공지능 기술의 활용: 국외사례를 중심으로,"This study examined existing attempts to utilize Information Technology (IT) in the field of counseling and psychotherapy, and current trends in recent overseas cases of the application of Artificial Intelligence (AI) technology in the field. While traditional online psychotherapies have focused on increasing accessibility and efficiency using IT technologies, recent studies have focused on the utilization of therapeutic interactions using chatbot and interactive agent, which can interact with clients independently, and the validation of the effects of such interventions. Accordingly, the current status of AI-based counseling and psychotherapy was reviewed through representative cases developed overseas. Technical issues related to the future prospects of AI counseling were reviewed, including natural language processing, mechanisms that enable interactive agents to express empathy, and the development of artificial intelligence that continues to develop without human assistance through self-learning processes. Finally, the significance and limitations of this study are presented.",김도연,2020,https://www.riss.kr/link?id=A106867541
"자아정체감 지위에 따른 대학생의 진로결정문제, 진로준비행동의 차이","Development ego-identity has been considered as a key factor to successful career decision-making. This present research examined the differences in career decision making difficulties and career preparation behavior between identity achieved and identity foreclosed college students in Korea. To categorize ego-identity statuses, 433 college students from 14 campuses responded to a measure of Identity Status(EOM-EIS) along with the Career Decision Making Difficulties and Career Preparation Behavior Scales. As a result, significant differences were found in lack of readiness and lack of information between identity achieved group and foreclosed group. The foreclosed students showed higher scores in the subscales of career decision-making difficulty(lack of readiness and lack of information) than achieved group. In terms of career preparation behavior, identity foreclosed college students showed no significant difference compared to the identity achieved counterparts. This result implies that the identity foreclosed students experience difficulties of lack-of-readiness and lack-of-information in decision making process, however, in terms of behavioral sense, once they obtained their career goals, they experience less difficulties in pursuing their career goals . Finally, the limitations and the implications of this study were discussed.",김영화,2011,https://www.riss.kr/link?id=A102573851
우울증의 신경회로 모형과 인지행동치료의 치료 효과: 기능적 뇌 자기공명영상 연구를 중심으로,"Neuroimaging studies have suggested that dysfunction of neural circuits involved in emotion regulation, cognitive control, and reward processing were associated with the development of depression. We aimed to review functional magnetic resonance imaging (fMRI) studies on cognitive behavioral therapy (CBT) and its influence on functional changes in neural circuits in patients with depression. fMRI studies reported that CBT was associated with functional changes of neural circuits involved in emotion regulation, cognitive control, and reward processing in depression. They found that CBT was associated with normalization of hyperactivation in the amygdala (in response to negative emotional stimuli) and increased activation of the lateral prefrontal cortex, which exerts cognitive control over negative emotions in patients with depression. They also observed that CBT was related to deactivation of the anterior cingulate cortex and increased activity of the striatum in response to reward stimuli. CBT also changed functional connectivity of the amygdala, prefrontal cortex, anterior cingulate cortex, and striatum in depressive patients. Investigation of the neural effect of CBT using fMRI may provide clinically useful information and deep insights about the neurobiological mechanism of CBT in depression.",한규만,2021,https://www.riss.kr/link?id=A107959675
청소년 자살예방 프로그램의 개발 및 적용효과,"This study aimed to develop a suicide prevention program for adolescents. The process of program development has followed the procedure model suggested by Kim et al.(2011) like the planning step, composition step, and execution & evaluation step. The main contents of this program are the self-understanding focusing on self-exploration & environment exploration and the learning cognitive and behavioral strategies and skills(e.g. self-management, time- management, and memory strategy) to cope with their difficult situations. Results of this study were as follows: First, this program had a significant effect on decreasing the total score of suicide risk, negative self-evaluation and despair while it did not show the significant change of hostility and suicide thinking. Second, the program had a positive significant effect on attitude toward acceptable suicide, predictable suicide, preventable suicide. On the other hand, it had no significant effect on attitude toward suicide as taboo, suicide as general behavior. In conclusion, this study has a significance that the program can reduce the risk of suicide and change the attitude toward suicide for adolescents who are in potential risks of suicide.",이귀숙,2016,https://www.riss.kr/link?id=A102574034
초기 청소년기의 변화에 대한 부모-자녀의 인식에 관한 연구,"This study aimed to obtain basic data to find prevention methods of various problems which can occur in early adolescence and maladjustment problems in late adolescence by comparing perceptions of parents and adolescents about the characteristics of early adolescence. For this, 12 first- and second-year middle school students and 16 parents of children in early adolescence were interviewed in depth, and the interview content was transcribed and analysed. As a result, the data was organized into 4 subjects, which are ""Aspects of Transition in Early Adolescence"", ""Anxieties and Conflicts Perceived by Parents and Adolescents in Early Adolescence"", ""Coping Methods for the Transition, Anxieties, and Conflicts in Early Adolescence"" and ""Supports that Parents and Adolescents Want"", with 28 categories and 106 sub-categories. The adolescents and parents reported similar experiences and thoughts on the aspects of transition, anxiety, conflicts and coping methods, but the two groups also showed perception differences on where they put more importance and interests. In addition, it was showed that the adolescents wanted psychological support from their parents and the parents needed information of early adolescence, parenting methods, and parent education for healing their emotional difficulties. This study has significance in the sense that it conducted in-depth interview with parents and adolescents about the characteristics of early adolescence and perception on parent-child relationship, and it provided basic data to develop a parenting education program for parents with children in early adolescence.",소수연,2014,https://www.riss.kr/link?id=A102573900
대학생의 자기불일치와 우울이 SNS중독경향성에 미치는 영향: 인지적 정서조절전략의 조절된 매개효과,"The purpose of this study was to examine the moderated mediating effect of cognitive emotion regulation strategies through depression on the relationship between self-discrepancy and SNS addiction tendency. A total of 501 Korean college students(Males: 191/Females: 310) from two colleges in Seoul and Chung-Nam, participated in this study by responding to the following questionnaires: SNS Addiction Proneness Scale for College Students, Actual and Ideal Selves Questionnaire, The Center for Epidemiological Studies-Depressions(CES-D), Cognitive Emotion Regulation Questionnaire (CERQ), The data analysis was done using SPSS Statistics 18.0 VERSION and SPSS Process macro version 2.16 The main findings were as follows. First, SNS addiction tendency, self-discrepancy, depression and cognitive emotion regulation strategies showed statistically significant correlations. adaptive cognitive emotion regulation strategies had a negative correlation with SNS addiction tendency, self-discrepancy, depression. And maladaptive cognitive emotion regulation strategies had a positive correlation with SNS addiction tendency, self-discrepancy, depression. Second, a mediating model showed that the relationship between self-discrepancy and SNS addiction tendency was partially mediated by depression. Third, using multiple regression and slope analysis, the moderation effect of maladaptive cognitive emotion regulation strategies on the relationship between self-discrepancy and depression was found, but not for adaptive emotion regulation strategies. Finally, maladaptive cognitive emotion regulation strategies also moderated the mediating effect of self-discrepancy on SNS addiction tendency through depression. In this study, the pathway leading to the SNS addiction tendency was examined jointly, including self-discrepancy, depression and cognitive emotional regulation strategies. And the results of this study can be effectively utilized in counseling and prevention education practice for SNS addiction. Also, limitations of the study and suggestions for future study were discussed.",김태곤,2018,https://www.riss.kr/link?id=A105965197
