
학교밖 청소년의 학교 이탈과 이후 삶의 도전과 성장에 관한 질적연구,"본 연구는 학교밖 청소년들의 학교이탈과 이후 삶의 도전과 성장을 통합적으로 살펴보고 자 질적 연구 방법인 근거이론(Strauss & Corbin, 1998)을 사용하였다. 본 연구 참여자는 정규학업 과정을 그만둔 지 3년 이상이 지난 학교밖 청소년 7명을 선정하였으며, 연구 결과를 요약하면 다음과 같다. 첫째, 개방코딩 결과 총 151개의 개념, 32개의 하위범주, 12개의 범주들이 도출되었으며, 이를 중심으로 근거이론 패러다임 모형을 구성하였다. 중 심현상으로 ‘자포자기 심정의 학교중단’과 ‘피투된 삶’, 인과적 조건으로 ‘학교내 계속되 는 방황과 점층되는 부적응’, 맥락적 조건은 ‘역기능 가족 속 상흔’과 ‘가난의 굴레’, ‘애 어른의 힘겨운 성장기’, ‘상실된 삶의 조절력’ 으로 나타났다. 중재조건으로 ‘학교이탈 후 자각과 성찰의 시간’, ‘새로운 도약의 발판인 학교밖 지원체계와의 조우’, ‘새로운 관계 경험을 통한 치유’로 나타났으며, 작용/상호작용 전략으로는 ‘살아나는 분투의지’, ‘학교 밖 어린청년의 고군분투’로 결과는 ‘어린 청년의 성장과 도전’ 그리고 ‘여전히 남아있는 삶의 미해결과제’로 나타났다. 둘째, 과정분석 결과는 ‘존재의 혼란기’로부터 시작하여 ‘고군분투저항기’, ‘새로운 존재와의 조우기’, ‘자각과 성찰을 위한 회복기’, ‘삶의 재구성 및 성장기’로 5단계의 과정을 거치는 것으로 나타났다. 마지막으로, 핵심범주는 ‘학교밖 청소년의 성찰과 동행을 통한 삶의 적응’으로 분석되었다. 본 연구의 의의는 학교밖 청 소년들이 경험하는 학교밖 이탈과 이후 삶의 도전과 성장을 개인, 가족, 학교, 지역사회 차원까지 구체적이고 세밀하게 살펴 본 것에 있다.",명소연,2016,https://www.riss.kr/link?id=A102574033
걱정이 많은 사람들의 성격특징,"본 연구는 범불안장애의 핵심적 증상인 걱정(worry)과 관련된 성격특징을 탐색하고자 하였다. 선행연구에서 걱정이 많은 사람들의 성격적 특성으로 시사된 4가지 성격특징, 즉 비관주의, 완벽주의, 불확실성에 대한 인내 부족, 문제해결의 자신감 부족을 경험적으로 검증하고자 하였다. 아울러 강박 성향자 및 우울성향자의성격특징과의 비교를 통해, 걱정이 많은 사람들의 고유한 성격특징을 알아 보고자 하였다. 332명의 대학생 자료를 분석한 결과, 걱정이 많은 사람들은 4가지 성격특징을 지니는 경향이 나타났으며 특히 불확실성에 대한 인내 부족과 완벽주의가 높은 상관을 나타냈다. 아울러 걱정이 많은 사람들은 강박성향자와 비교했을 때 비관주의와 문제해결의 자신감 부족에서 상대적으로 높은 상관을 나타낸 반면, 우울성향자와 비교했을 때는 완벽주의에서 상대적으로 높은 상관을 나타냈다.",유성진,2000,https://www.riss.kr/link?id=A3002902
미술치료에서의 심리평가,본 고찰에서는 인간을 이해하는데 사용되는 심리평가법들 중 그림이나 미술을 매체로 사용 하는 다양한 평가도구들을 살펴보았다. 미술치료에서는 심리학자나 미술치료자들이 개발하고 고안한 여러 평가법들을 사용하여，내담자 이해를 위한 정보들을 얻고 있다. 본 연구에서는 미술치료 장면에서 사용되는 평가법들에 대한 역사적 고찰을 한 뒤，투사적 그림검사와 미술치료평가도구들에 대해 개관하고，이들 간의 차이점과 유사점을 살펴보았다. 또한 미술치료평가와 투사적 그림검사에 대한 비판점들을 살펴본 뒤，미술치료에서 사용되는 여러 평가도구들을 간략히 살펴보았다 아직까지 신뢰도나 타당도에 있어 논란의 여지가 많긴 하지만，미술을 통해 내담자와 그 가족들을 평가하는 것은 감별진단，가족의 정신역동이해，약물치료결과 평가，또는 위험행동의 예측과 같은 다양한 영역에서 많은 기여를 하며，나아가 사람들의 숨겨진 갈등과 잠재적 능력을 드러낼 수 있게 한다는 점에서 그 의미하는 바가 크다 단순하고 획일적인 공식을 사용하여 내담자를 이해하고 진단평가하기보다는 내담자를 총제적인 인간으로 보고 그가 처한 상황이나 환경적인 특성을 고려한다면 미술치료에서의 평가도구들의 사용은 내담자들을 돕기 위한 진단，치료계획，예후를 확립하는데 필수적인 도구로서의 역할을 할 것이다.,강차연,2006,https://www.riss.kr/link?id=A75059666
MBTI 타당도에 관한 일 연구,"본 연구에서는 MBTI의 타당도를 검증하기 위하여 505 명의 피험자를 대상으로 MBTI 실시 결과와 표준화 성격진단검사 결과와의 상관분석 및 일원변량분석을 실시하였다. 그 결과, MBTI 선호지표 중 E는 안정성, 지배성, 사회성, 남향성, 충동성, 우월성과, I는 사려성, 동조성, 임상척도 전부와, S는 책임성, 동조성과, N은 사려성과, T는 안정성, 지배성, 책임성, 사려성, 남향성과, F는 사회성, 동조성, 충동성, 신경질경향과, J는 책임성, 사려성, 동조성과, P는 사회성, 남향성, 충동성과 유의한 정적 상관을 보였다. 그리고 4 기능유형 중 ST는 책임성, 남향성이, SF는 동조성이, NT는 안정성, 지배성, 사려성, 남향성이, NF는 사회성, 충동성이 타유형에 비해 점수가 유의하게 높았다. 또한 4 기질 중 SP는 충동성, 동조성, 불안경향, 신경질경향이, SJ는 책임성, 동조성이 타기질에 비해 점수가 유의하게 높았으며 NT와 NF기질은 기능유형과 동일하게 나타났다.",김정택,1998,https://www.riss.kr/link?id=A3128836
EQ 생활태도검사의 타당화 연구,"본 연구는 전통적인 지능이론의 확장과 변화라는 움직임 속에서 정서지능이라는 개념과 이론을 이해하고 자기보고식 EQ검사에서 벗어나 실제 상황에 적용한 EQ 생활태도검사의 타당성을 살펴보는데 그 목적이 있다. 즉, 가상 상황을 통한 정서지능 지필검사의 가능성을 알아보기 위해 본 연구에서는 문용린(1999)이 개발한 EQ 생활태도검사를 고등학생 및 대학생을 대상으로 경험적 타당화를 밝히는 데에 초점을 두고 있다. EQ 생활태도검사는 개연가능성이 있는 상황에서 개인이 어떻게 자신의 정서와 기분을 조절하는지에 대한 행동 경향성을 측정하는 검사로서 보다 구체적이고 복잡한 상황 속에서 자신의 정서 능력을 발휘하는 정도와 수준을 측정하는 검사이다. Mayer와 Salovey의 정서지능 이론을 토대로 28개 문항으로 구성된 EQ 생활태도검사는 정서지능의 하위구성요소인 정서인식과 표현능력, 정서의 사고촉진능력, 정서의 활용능력, 정서조절능력이 함께 작동하여 한 사람의 행동에 어떻게 나타나는지를 가상 상황을 통해 복합적으로 측정하는 검사로 개발되었다. 특히 정서지능의 요소 중 가장 상위단계인 정서조절능력 영역이 강하게 부각된 문항들로 구성되어 있다. 본 검사문항의 신뢰도를 검토하기 위한 반분신뢰도 검사결과에서 유의미한 결과가 산출되었다. 또한 요인분석을 통해 이들 문항은 자기조절과 타인조절이라는 2개의 요인으로 파악되었다. 이후 본 연구의 시사점과 제한점이 논의되었다.",문용린,2004,https://www.riss.kr/link?id=A104583512
자기자비와 자기연민,"Two terms, ‘자기자비’ and ‘자기연민’, have been used as translations for self-compassion, causing confusion in communication. This study addressed the translation issue of self-compassion in three ways. First, we argued that ‘자기연민’ is an inappropriate translation for self-compassion due to its negative connotations, which are supported by examples from dictionaries, daily usage, and academic/cultural/artistic contexts. We searched for examples in ‘Naver’, ‘Google’, ‘RISS (Research Information Service System)’, ‘the National Library of Korea’, and ‘Google Scholar’. The search results revealed that ‘자기연민’ is used with a negative connotation, not only in dictionaries and common usage but also in academic/cultural/artistic contexts. However, we found that the positive usage of ‘자기연민’ emerged after it was introduced as a translation for self-compassion, causing confusion in its meaning. Second, we presented several pieces of evidence to support the translation of ‘compassion’ in self-compassion as ‘자비(慈悲)’ because the term ‘compassion’ includes not only ‘karuna(悲)’ but also ‘metta(慈)’. We provided evidence from Buddhist literature showing that metta(慈) and karuna(悲) are interrelated, and from compassion-related programs or therapies developed in Western countries showing that the term ‘compassion’ includes both karuna(悲) and metta(慈). Third, we argued that ‘연민’ is not a suitable translation for ""compassion"" because it is difficult to interpret ‘연민’ as ‘karuna(悲)’ in the Buddhist context. If you believe that ‘연민’ has been used to mean ‘karuna(悲)’, it is not the case. Rather, ‘자비’ has been used as the meaning of ‘karuna(悲)’. We concluded that ‘자기자비’ is a more appropriate translation for self-compassion than ‘자기연민’.",김정호,2023,https://www.riss.kr/link?id=A108530679
정서인식명확성이 우울에 미치는 영향 : 반추와 자기효능감의 이중매개효과,"이 연구는 정서인식명확성과 우울의 관계에서 반추와 자기효능감의 이중매개 효과를 검증해 우울이 발생 및 유지되는 심리적 과정을 정서와 인지, 행동 방향성의 순서에 따라 통합적으로 제시하였다. 전국의 성인 261명을 대상으로 온라인 조사를 하였으며, 설문은 특질 상위-기분 척도(TMMS), 반추적 반응 척도(K-RRS), 자기효능감 척도(SES), 우울 척도(CES-D)로 구성되었다. 수집한 자료는 SPSS 23.0을 이용해 기술통계분석과 Pearson 상관분석, 매개효과를 확인하였고, PROCESS Macro 3.4의 부트스트래핑(Bootstrapping)을 사용해 간접 효과 유의성을 검증하였다. 결과는 다음과 같다. 첫째, 정서인식명확성과 반추 및 반추의 하위척도인 자책 과 숙고, 자기효능감, 우울은 모두 유의한 상관을 보였다. 둘째, 정서인식명확성과 우울의 관계에서 반추와 자기효능감의 이중매개효과가 유의하였다. 셋째, 정서인식명확성과 우울 사이에서 자책과 자기효능감의 이 중매개 효과가 나타났다. 넷째, 정서인식명확성과 우울 사이에서 숙고와 자기효능감의 이중매개 효과는 유 의하지 않았다. 결과를 바탕으로 우울에 영향을 미치는 변인으로써 정서인식명확성과 반추, 자기효능감의 역할을 확인하였고, 반추를 자책과 숙고, 두 가지 하위차원으로 나누었을 때 서로 다른 효과가 나타남을 제시하였다. 이러한 결과는 우울을 경험하는 성인에게 효과적으로 개입할 수 있는 치료적 방향의 기초를 강구하였다는 데 의의를 가진다. 나아가 시사점과 한계점, 치료적 방안을 모색하였고 후속연구에 대한 제 언을 논의하였다.",오예람,2022,https://www.riss.kr/link?id=A108077013
강박장애의 인지행동치료,"강박장애의 인지행동 모델은 정상적인 침투사고가 강박사고로 변질되는 과정을 잘 설명하고 있다. 즉 과도한 책임감 지각이나 사고에 대한 파국적 오해석 등이 침투사고의 현저성을 증가시키고 중화행동을 더욱 강화시킴으로써 강박장애 메커니즘을 유지시킨다는 것이다. 침투사고에 대한 오류적 평가 및 이에 영향을 미치는 역기능적 신념에는 사고에 대한 과도한 중요성 부여(사고행위 융합), 과도한 책임감, 사고 통제의 중요성, 불확실성에 대한 두려움, 완벽주의, 위협에 대한 과도한 평가 등이 포함된다. 중화행동은 침투적 사고의 불편감을 제거하고 예방하며 사고 자체의 내용을 바꾸기 위해 시도되는 의도적인 통제방략으로, 최근 연구에서는 침투사고 유형에 따라 이러한 인지적 평가와 통제방략이 달라진다는 보고가 있다. 강박장애의 인지행동치료는 노출 및 반응방지 기법을 중심으로 한 행동적 전략을 통하여 강박증상을 유지시키는 중화행동 및 회피행동의 고리를 끊고, 더불어 인지적 전략을 사용하여 환자
들의 왜곡된 평가 및 비합리적 신념을 수정하고 보다 융통성 있고 현실적인 평가로 대체시킨다. 마지막으로 재발 가능성과 이 때 고려해야 할 점들을 언급하였다",신민섭,2007,https://www.riss.kr/link?id=A75255365
대학생용 대인관계능력 척도 개발 및 타당화,"본 연구의 목적은 대학생용 대인관계능력 척도를 개발하고, 그에 대한 타당도를 검증하고자 하였다. 먼저 대학생용 대인관계능력 척도를 위하여 대인관계 능력 관련 연구 및 문헌들을 고찰하여 대인관계능력에 대한 정의를 내리고 그에 따라 설정하였다. 문헌연구 및 기존 대인관계 관련 척도 분석과 대학생들의 대인관계능력 면담 내용 분석을 통해 기초 예비문항을 구성하였으며, 2차 내용 타당도 검증을 통해 각 문항의 이해도와 하위척도 문항의 적절성 등에 대해 검증하여 최종 예비문항 59문항이 선정되었다. 최종문항 선정을 위해 59문항의 대인관계능력 척도를 가지고 대학생 310명에게 검사를 진행하여 탐색적 요인분석과 신뢰도 검증을 실시하였다. 이렇게 개발된 대학생용 대인관계능력 척도의 구인타당도 검증을 위하여 확인적 요인분석과 대인관계문제, 자아존중감, 성인애착 척도와의 상관분석을 통한 공인타당도를 실시하였고, 그 결과 모두 양호한 것으로 나타났다. 본 연구는 대학생의 대인관계능력을 측정할 수 있는 척도를 개발하여 대학생들의 대인관계능력에 관한 경험적 연구의 토대를 제공했다는 점에서 의의를 가질 수 있으며, 대인관계능력 수준이 낮은 대학생들이 좀 더 건강하게 정서적으로 독립해 나갈 수 있도록 돕기 위한 프로그램을 개발하는 후속 연구가 필요할 것으로 판단된다.",박선우,2017,https://www.riss.kr/link?id=A104296839
사회불안장애의 인지행동치료효과; 주의편향과 암묵적 자존감을 중심으로,"본 연구에서는 사회불안장애 환자들을 대상으로 실시한 인지행동치료적 개입이 인지적 취약성의 ‘의지적/통제적인 정보처리 수준(top-down process)’에서의 변화뿐만 아니라 ‘암묵적/자동적인 정보처리 수준(bottom-up process)’에서의 변화를 함께 유발시키는지 살펴보고자 하였다. 특히 암묵적/자동적 정보 처리 수준을 전주의적 주의 편향, 암묵적 자존감과 관련된 자기 지식으로 세분화하여, 인지행동치료적 개입으로 유발되는 변화의 수준을 통합적으로 파악하였다. 연구대상은 구조화된 진단면접(SCID-I)에서 사회불안장애 진단기준을 충족하는 49명의 사회불안장애 환자들이었다. 그 중 30명은 12회기 인지행동치료집단, 19명은 비처치통제집단에 속하였다. 두 집단 모두 치료 전, 후에 자기 보고식 증상 심각도 평가, 일반적인 불안 및 우울 수준 평가, 얼굴 표정에 대한 탐침 탐사과제(Dot Probe Task; MacLoed, Mathews, & Tara, 1986)와 암묵적 연합 과제(Implicit Association Task, IAT; Greenwald, McGhee, & Schwartz, 1998)를 이용한 암묵적 자존감 검사를 실시하였다. 증상 심각도를 보다 객관적으로 평가하기 위해서 증상 심각도에 대한 임상가의 면접도구인 간이 사회공포증 척도(Brief Social Phobia Scale, BSPS; Davidson et al. 1991)도 함께 실시하였다. 그 결과 첫째, 자기 보고식 척도 및 임상가 평정으로 측정했을 때 인지행동치료를 통해 사회불안장애집단의 증상 심각도, 일반적인 불안 및 우울 수준에서 유의한 향상이 나타났으며, 그 효과는 3개월 동안 지속되었다. 둘째, 사회불안장애 환자의 경우 IOR(Inhibition of Return)이 발생하기 이전인 초기 주의 과정에서 나타났던 위협적 얼굴 표정에 대한 선택적 주의 편향이 인지행동치료를 통해서 변화하지 않았다. 셋째, 인지행동치료를 받은 집단의 경우 자신-긍정 형용사의 연합 속도가 유의하게 향상되었다. 이는 인지행동치료가 정보처리 초기에 나타나는 전주의적 과정의 주의 할당까지는 변화시키지 못하였지만, 상황에 대한 반복적 재평가나 위협 상황에 대한 노출, 행동 실험과 같은 인지행동치료적 개입이 보다 깊은 수준의 자기 지식을 암묵적 수준에서 변화시켰음을 시사한다.",윤혜영,2013,https://www.riss.kr/link?id=A99768733
전문대학생의 대학생활적응에 영향을 미치는 요인 연구 -K전문대학교 신입생을 중심으로-,"본 연구의 목적은 대학생의 개인환경, 가족환경, 대학환경이 대학생활적응에 미치는 영향
을 알아보고, 대학생활적응을 향상시키기 위한 프로그램전략과 상담을 위한 기초자료를
제공하고자 하였다. 연구대상은 경기도에 있는 K전문대학생 1학년 1,783명을 대상으로
대학생활적응을 위한 설문을 조사하였다. 결과분석은 기초통계, 상관관계분석, 회귀분석
을 실시하였다. 연구결과를 요약하면 다음과 같다. 첫째, 개인환경에 따라 대학생활적응
수준은 성별에 따라 유의미한 차이를 나타냈다. 남학생이 여학생보다 대학생활적응 수준
이 높은 것으로 조사되었다. 가정환경 요인은 가정 월소득, 대학환경은 전공만족여부, 휴
학계획 여부, 자퇴계획 여부, 학위목표에 따라 유의미한 차이를 나타냈다. 둘째, 대학생활
적응 수준에 영향을 미치는 요인을 살펴본 결과 요인들과 영향력들에 관한 모형의 설명
력은 15.9%로 나타났고, 영향을 미치는 요인은 개인환경에서는 성별, 가정환경에서는 가
정 월소득, 대학환경은 전공만족도, 목표학위, 자퇴계획 여부로 나타났다. 셋째, 대학생활
적응 수준이 65점 미만인 학생들을 대상으로 동일한 변수로 회귀분석한 결과 대학생활적
응 수준에 영향을 미치는 요인들과 영향력들에 관한 모형의 설명력은 10.1%로 높지 않으
나 영향을 미치는 요인은 전공만족도로 나타났다.",이찬숙,2014,https://www.riss.kr/link?id=A103219280
우울과 불안의 관계,"우울과 불안은 인간이 경험하는 주된 불쾌한 심리상태로서 여러가지 구별되는 특성을
지니고 있는 동시에 높은 공존성과 유사성을 나타내고 있어 그 관계가 불분명하다. 본
연구는 우울과 불안의 관계를 설명할 수 있는 가설을 제안하고 이를 검증하기 위한 예비적
자료를 수집하기 위한 것이다. 이를 위해 우울과 불안의 유발에 관여하는 생활사건과
인지내용의 공통점과 차이점을 조사하였다. 연구 1은 정상적 정서로서의 우울과 불안의
관계를 조사하기 위해 대학생 330명을 대상으로 수행되었다. 연구결과, MAACL로 측정된
우울과 불안은 서로 매우 높은 상관(r=.79)을 보였으며 또한 부정적 생활사건 및
부적응적 인지와 모두 유의미한 상관을 보였다. 이는 우울정서와 불안정서가 중복되는 점이
많을 뿐 아니라 유발요인에 있어서 많은 공통점을 지니고 있다는 것을 의미한다. 연구 2는
부적응적 증상으로서의 우울과 불안의 관계를 조사하기 위해 116명의 학생내담자를
대상으로 하여 수행되었다. BDI와 BAI로 측정된 우울증상과 불안증상은 상대적으로 낮은
상호상관(r = .37)을 보였으며 부정적 생활사건과 부적응적 인지에 의해서 변량이
유의미하게 설명되었다. 부분상관분석의 결과, 우울증상 또는 불안증상과만 특유하게
상관을 보이는 부정적 생활사건과 부적응적 인지내용이 발견되었다. 이는 우울증상과
불안증상의 유발요인인 부정적 생활사건과 역기능적 신념이 일반요인과 특수요인으로
구분될 수 있음을 의미한다. 이러한 연구결과들을 우울과 불안의 관계를 설명하기 위해
제안된 여러가지 가설과 관련하여 논의하였다.ABSTRACT
Depression and anxiety have been reported to be closely related in clinical, empirical,
and theoretical studies. In order to clarify the relationship between depression and
anxiety, the present study aimed at examining their commonness and difference in
negative life events and dysfunctional cognitions which have been proposed to be their
influencing causes in the cognitive theory of emotional disorder. Study 1 was performed
with 330 undergraduate students. The result showed that depression and anxiety as
normal emotions measured with the MAACL had high intercorrelation(r=.79) and
also had significant correlations with negative life events and dysfunctional cognitions. It
suggests that depressive and anxious emotions have high commonness in the causal
factors. In Study 2, data were collected from 116 student clients in order to explore the
relationship between depression and anxiety as psychopathological symptoms. Depressive
and anxious symptoms measured with the BDI and BAI have relatively low
intercorrelation(r=.37) and their variances were significantly accounted for by
negative life events and dysfunctional cognitions. Part correlation analysis showed that
depressive or anxious symptoms were specifically related to some of negative life events
and dysfunctional cognitions. It suggests that negative life events and dysfunctional
cognitions be divided into two factors, i.e., common factor and specific factor which may
produce the overlap and difference between depression and anxiety. These results were
discussed in relation to some hypotheses proposed to explain the relationship between
depression and anxiety.",권석만,1996,https://www.riss.kr/link?id=A2103244
