
합리적인 낙태규제 방안,"낙태의 허용은 인류의 영원한 주제이다. 낙태 논쟁에는 종교적·윤 리적 견해, 사회적 요청, 여성의 자기결정권과 배아 내지 태아의 생명 권이 혼재해 있다. 이 때문에 서로 다른 윤리적 판단과 법률규정이 도출된다. 즉 임부의 결정권을 폭넓게 보호하는 곳에서부터 엄격한 형벌로 금지하는 곳까지 다양하다. 우리나라에서 낙태는 원칙적으로 고의로 행하여지는 한 형벌로 금지되어 있다. 형벌은 자기낙태죄인지 (형법 제269조 제1항), 의사 등에 의한 업무상낙태죄(형법 제270조 제1항)인지, 동의낙태죄인지(형법 제269조 제2항), 비동의낙태죄(형 법 제270조 제2항)인지에 따라 서로 다르게 부과된다. 우리나라에서 낙태규정(형법 제269조, 제270조)에 대한 개정 논의 는 1990년대부터 시작되어 격렬한 논쟁이 이루어졌다. 여성계를 중심 으로 한 일부에서는 획일적인 형벌위협은 이미 아무런 효과가 없음이 입증되었고 단지 수많은 여성들로 하여금 불법적인 낙태시술을 선택 하게 하고 그 결과 여성의 건강에 대한 현저한 위험을 감수하게 할 뿐이어서 낙태 관련 법률이 개정될 필요가 있음을 강조하고 있다. 이 때문에 본 연구에서는 낙태규정의 내용과 문제점, 그리고 낙태의 합리적인 규제방안에 대한 검토가 이루어졌다. 결론적으로 태아생명의 보호와 관련하여 여성의 자기결정권을 보다 충실히 보호하기 위해 모자보건법상 낙태의 정당화사유로서 “사 회적·경제적 사유”가 도입될 필요가 있다고 본다. 나아가 임부에게 낙태를 직접적으로 시술하지 않는 의사로부터 문서로 된 확인서, 의 학적 상담 및 사회적 원조의 제공, 그리고 이를 통해 의사에게 접근이 열려져 있게 함으로써 지금보다 더 태아의 생명이 보호되어야 할 것 이다.",김재윤,2013,https://www.riss.kr/link?id=A100011201
비스마르크의 독일통일(1871),"1871년 탄생한 독일제국은 비스마르크(Otto Eduard Leopold von Bismarck)의 정치적 작품으로서 독일민족의 단일국가로의 통일요구에 어느 정도 부합한 것이다. 그러나 이 제국은 독일의 자유주의 그리고 민주주의운동 - 1848년의 혁명시도에서 최고조에 달하였으나 실패하고만 - 이 추구했던 바 즉, 통일된 독일은 독일민족의 민주적 주권에 기초하여 수립되어야 한다는 요구에는 부응치 못한 입헌적 권위주의 성격의 국가였다. 이러한 독일제국의 특성은 20세기 독일인들의 정치적 기본태도에도 깊은 영향을 끼쳤다.
비스마르크의 통일과정은 그의 찬양자들이 얘기하는 것처럼 처음부터 그가 계획한대로 전개된 것은 아니다. 민족통일 실현의 의지를 갖고 있었다 하더라도, 정치현실은 한 인간이 설정한 스케줄대로 나타나는 것은 아니며, 정치가는 주어진 그리고 변화하는 그 현실에 적응하면서 자신의 구상을 실현시키려는 노력을 하는 것이다. 비스마르크 자신도 한 개인이 역사를 만들 수는 없는 것이다라고 했다. 이러한 점을 염두에 두어 본 논문은 그의 찬양자들이 주장하는 위와 같은 가설을 배제한 가운데 서술되었다.
서언에 이어 Ⅰ장에서는 독일통일에 있어 비스마르크라는 인물적 요소가 비중이 컸으므로 한 개인으로서 그리고 정치가로서 그가 걸어갔던 길을 살펴보았다. Ⅱ장에서는 이 통일이 단순히 군사·외교적 행위의 결과만은 아니라는 점에서 독일인들이 통일이전에 경험하였던 국가생활과 아울러 당시 독일인들의 정치적 기본의식과 관세동맹을 통한 경제력 신장을 통일의 기본토대로서 서술하였다. Ⅲ장에서는 통일에 이르는 과정으로서 세 차례의 전쟁과 이에 관련된 비스마르크의 외교행위들을 구조적 측면에서 기술하였다. Ⅳ장에서는 이 과정에서 비스마르크가 가장 역점을 두었던 외교상의 과제 즉 열강의 개입저지문제에 대하여, 그리고 Ⅴ장에서는 통일의 결과인 독일제국의 성격을 고찰하였다. 끝으로 Ⅵ장 결어에서는 비스마르크의 「小獨逸主義」에 관한 평가와 아울러 독일통일과 그의 기본적 政治觀간의 연관성에 대하여 분석하였다.",김상규,2001,https://www.riss.kr/link?id=A30032360
이스라엘-팔레스타인 분쟁과 “두 국가 해결론(Two-State Solution)”에 대한 고찰,"본 논문은 이스라엘-팔레스타인 분쟁에 대한 해결 대안들을 고찰하고 각 대안의 성격과 정치적 함의를 분석하는 데 있다. 이스라엘-팔레스타인 분쟁의 해결방안으로는 두 국가 해결론, 두 민족 일 국가론, 지역 통합론, 일방주의 등이 거론되고 있다. 이 중 ``두 국가 해결론``은 이스라엘-팔레스타인 분쟁을 해결함에 있어 최선의 대안임에도 불구하고 핵심 현안들에 대한 합의를 도출하지 못한 채 사장되어 가고 있다. 특히 1993년부터 시작된 오슬로 평화협상은 2000년 캠프 데이비드 협상의 실패와 2001년 제2차 인티파다의 발발로 인한 유혈분쟁 등으로 팔레스타인의 최종 지위에 대한 합의를 이끌어내지 못하고 결국 붕괴하였다. 이후 평화 해법으로 소개된 다양한 대안들은 각 진영의 정치적 명분과 논리를 정당화시키기 위해 제시되었거나 주장되었다. 따라서 본 연구는 두 국가론의 정치적 대안으로서의 실현 가능성뿐만 아니라 다른 대안들이 각각 어떠한 역사적 근거와 정치적 논리로 전개되고 있는지 살펴보고자 한다. 이와 함께 결론에서는 두 국가론이 실현 가능성에 있어 많은 한계점을 내포하고 있음에도 불구하고, 이스라엘-팔레스타인 분쟁 해결에 있어 최종 대안으로서의 가치와 의미를 함께 살펴보고자 한다.",안승훈 ( Sung Hun Ahn ),2016,https://www.riss.kr/link?id=A101840475
인공지능·로봇에 의한 인간 노동의 대체와 로봇세,"우리의 실생활과 산업 현장에서 인공지능·로봇이 일상화되기 시작하면서 인공지능·로봇에 의한 인간 노동의 대체가 증가하고 있으며, 그 속도 또한 한층 빨라지고 있다. 이에 논 논문은 인공지능·로봇의 상용화에 의해 발생할 수 있는 인간 노동 및 일자리의 대체에 따른 소득 불평등의 심화와 이에 대한 해결방안으로 제기되고 있는 로봇세 도입의 쟁점과 동향 등을 분석하는 것을 목적으로 한다. 최근 인공지능·로봇의 상용화와 자동화 시스템의 도입으로 노동과 일자리의 대체가 빠르게 진행되고 있는 가운데 로봇세 도입 논란이 가열되고 있다. 로봇세 도입에 반대하는 사람은 로봇세의 도입이 조세 형평의 원칙 위배와 기업의 경영 악화로 이어져 자본주의 경제질서의 근간을 저해할 수 있다고 주장한다. 반면에 로봇세 도입에 찬성하는 사람은 인공지능·로봇의 상용화에 따라 일자리 대체와 실업·빈곤 문제가 심각하게 나타나고 있으므로 인간의 일자리 상실에 대한 보전과 생존권 보장, 그리고 재교육 등을 위한 세수 확보 수단으로 로봇세의 도입이 필요하다고 주장한다. 이처럼 인공지능·로봇에 의한 인간 노동 및 일자리의 대체 경향이 강하게 나타날수록 로봇세 도입을 둘러싼 논란은 앞으로 훨씬 더 증폭될 것으로 예상된다.",이기완(ki-wan Lee),2023,https://www.riss.kr/link?id=A108489648
"대만 결혼여성이민자 현황 및 워라밸에 관한 연구: 직무 스트레스, 직장내 괴롭힘, 직업 만족도 및 삶의 만족도를 중심으로","결혼여성이민자의 증가는 세계적인 흐름으로 대만에서도 주요한 사회 현상이 되고 있다. 그러나 기존의 연구에서는 이들을 전통적인 어머니, 며느리, 부인의 역할에 초점을 맞추었으며 대만에서 일하는 근로자로서 이들의 워라밸에 관한 논의는 이루어지고 있지 않다. 많은 결혼여성이민자들이 대만내에서 가정밖에서 고용되어 일을 하고 있으나 이들은 직무에서 받는 스트레스와 직장내 괴롭힘의 대상이 되기도 하며 일과 삶에 있어 어려움을 겪고 있다. 직무에서 오는 스트레스와 직장 내 괴롭힘은 결혼여성이민자들의 워라밸에 많은 장애를 주기에 이들의 직업 만족도와 삶의 만족도가 큰 영향을 받게 된다. 이러한 상황을 반영하여 본 연구는 대만 결혼여성이민자들의 현황 및 워라밸에 영향을 주는 직장 내 괴롭힘, 직무 스트레스, 삶의 만족도, 직업 만족도 간의 관계를 살펴보고자 한다.
본 연구는 대만 타오위안 정부의 협조를 받아 타오위안에 소재한 제조업체 공장에서 일하는 대만내 결혼여성이민자들을 대상으로 설문조사를 실시하고 STATA 프로그램을 통하여 총 5개의 가설을 구조방정식(Structural Equation Modeling)을 이용하여 검증하고 분석하였다. 본 연구의 분석 결과 결혼여성이민자들 직무 스트레스가 이들의 직무만족도에 부정적인 영향을 주며 결혼여성이민자들에 대한 직장 내 괴롭힘 역시 이들의 직무만족도에 부정적인 영향력을 미치며 결혼여성이민자들의 직업 만족도는 이들의 삶의 만족도에 긴밀한 영향을 준다는 사실을 밝혔다. 특히 직무만족도가 직무 스트레스와 삶의 만족도의 관계, 그리고 직장내 괴롭힘과 삶의 만족도의 관계를 매개한다는 사실을 증명하였다.
본 연구는 제조업체들이 결혼여성이민자들의 심리적인 면을 고려하여 직무 스트레스와 직장내 따돌림을 방지할 수 있는 대책을 마련하여 직무만족도를 향상시켜 그들의 삶의 만족도도 함께 증진시킬 것을 제안하였다. 특히 직장내에서 결혼여성이민자들을 대상으로 온보딩 프로그램 (Onboarding Program)을 실시할 때 직무 스트레스와 따돌림에 관하여 어떻게 대처하고 지원받을 수 있는지에 관한 내용을 포함시킬 것을 제언하였다. 이러한 대책이 구비되어야 이들의 워라밸을 향상시킬 수 있으며 특히 이들의 워라밸을 위해 정부, 제조업체, NGO간의 긴밀한 협력이 필요하다는 사실을 강조하였다. 추후 싱가포르, 한국, 일본 등의 국가들과의 비교연구를 통하여 보다 심층적인 연구를 실시할 필요가 있다.",김혜나,2022,https://www.riss.kr/link?id=A108182801
인구감소시대 대안적 병역제도 연구: 모병제와 여성 징병제 쟁점을 중심으로,"본 연구는 인구감소시대 대안적 병역제도로 제시되고 있는 모병제와 여성 징병제 및 여군 확대의 쟁점을 검토하고 한국이 취해야 할 정책적 접근이 무엇인지를 제시하고자 한다. 본 논문은 안보위협, 병력확보, 경제성, 공정성 및 사회적 인식 관점에서 모병제를 검토한 뒤 현시점에서 전면적인 모병제 도입은 불가능하지만, 모병제에 대한 사회적 요구와 모병제의 장점을 고려할 때 부분적으로 모병제를 도입하여 징병제와 함께 운영하는 실질적인 징·모 혼합형 병역제도의 도입이 필요하다고 제안한다. 또한, 여성 징병제 및 여군 확대 관련 쟁점으로 보직 제한 철폐 문제, 시설과 장비 개보수 문제, 사회적 인식을 검토하고 지금 당장 여성 징병제 도입은 어렵지만, 세계적 추세를 따라 점진적으로 여군을 확대하고 모병제를 도입할 경우 여성도 그 대상에 포함할 것을 제안한다.",박진수,2022,https://www.riss.kr/link?id=A108311168
러시아-우크라이나 전쟁의 원인 고찰: 케네스 왈츠의 3가지 이미지를 중심으로,"2022년 2월 24일 발생한 러시아-우크라이나 전쟁은 명분·수단·방법의 측면에서 정당하지 못한 전쟁이며, 향후 국제질서의 패러다임을 근본적으로 변화시킬 것으로 예상된다. 정당한 명분없이 자행된 침략행위와 민간인 학살, 대량살상무기 사용 등 러시아의 전쟁범죄는 국제규범을 무너뜨렸지만 동시에 우크라이나의 항전, 국제사회의 군사지원, NATO 확대 및 서방세계의 결속 강화 등 예상하지 못한 결과들을 초래했다. 전술적 측면에서는 정보작전과 사이버전, 여론전의 위력이 여실히 드러났으며 드론과 대전차무기가 효과적으로 운용되면서 전차·항공기 중심의 전술교리에도 큰 변화가 불가피해졌다. 장기전 양상으로 전환되고 있는 러시아-우크라이나 전쟁은 자유민주주의를 축으로 하는 서방세계와 러시아, 중국 등 권위주의 체제간 진영대결의 양상 속에서 신냉전 질서를 형성하고 있으며 향후 유럽의 안보지형과 국제질서에 큰 변화를 초래할 것으로 전망된다. 따라서 본 연구에서는 우크라이나 사태의 원인을 보다 체계적으로 고찰하기 위해 왈츠가 제시한 분석의 층위, 즉 3가지 이미지를 적용하였으며, 인간적 차원, 국가적 차원 및 국제체제적 차원에서 전쟁의 촉진적 요인과 허용적 요인을 분석하였다. 최근 NATO의 역할 확대 움직임과 미국을 중심으로 한 반중(反中) 동맹의 강화는 영속적인 국제정치의 무정부적 속성을 여실히 보여주고 있으며 국제질서의 변화양상을 고려 시 신현실주의 이론은 여전히 적실성을 갖고 있다. 따라서 왈츠의 3가지 이미지는 러시아-우크라이나 전쟁의 원인 분석 시 충분한 설명력을 제공해준다고 할 수 있다.",이강경,2022,https://www.riss.kr/link?id=A108311165
우크라이나 전쟁의 성격과 국제질서의 변화,"본 논문은 우크라이나 전쟁의 성격과 국제질서의 변화를 다루고 있다. 우크라이나 전쟁은 독재자 푸틴의 패권적 야망에 의한 침략전쟁이다. 푸틴은 20년 이상 된 자신의 권력을 강화하고 과거 러시아 제국을 재현하기 위해 민주국가인 우크라이나를 침공했다. 전형적인 패권전쟁이고 제국주의전쟁이다. 이런 점에서 푸틴과 그 일당들은 결코 용서받을 수 없는 전쟁범죄인으로 확신한다. 나아가 우크라이나 전쟁은 인류의 문명을 파괴하는 반문명적 성격을 지니고 있다. 이러한 우크라이나 전쟁은 첫째, 자유와 폭력 간의 대립적 구도를 정착시켰다. 자유민주진영과 권위주의 진영 간의 대립구도를 형성케 한 것이 바로 우크라이나 전쟁이다. 둘째, 자국중심주의를 각 국가의 생존전략으로 구축하게 하는 결정적 요인이 되었다. 이제 국제질서의 구성국가들은 자국의 안보를 위해 자체 군사력을 강화할 수밖에 없는 상황에 이르게 되었다. 미국 등 국제사회의 지원에 한계가 있음을 이번 전쟁은 보여주고 있다. 마지막으로 우크라이나 전쟁은 국제체제의 유동성을 강화시키는 결과를 조성했다. 이렇게 보면 우크라이나 전쟁은 탈냉전 이후 정착되고 있던 화해와 협력의 국제질서를 완전히 붕괴시켜 국제사회를 약육강식의 지배질서로 변천시키는 역할을 했다고 평가된다.",오일환(Il-Whan Oh),2023,https://www.riss.kr/link?id=A108558926
한국인의 젠더정체성과 젠더갈등,"이 연구는 한국인들의 젠더정체성에 대한 직접적인 측정을 통해 생물학적인 성별이 아닌 사회학적인 젠더정체성을 이용하여 젠더갈등을 분석한다. 특히, 젠더갈등에 대한 간접적인 측정방식에서 벗어나, 사회정체성 이론에 근거하여 내집단 성별과 외집단 성별을 구분하고, 각각에 대한 정서적 태도격차로서 표현되는 젠더갈등을 측정함으로써 분석을 실시한다. 본 연구의 주요 분석결과에 따르면, 첫째, 한국인들의 젠더정체성은 성별과 소속집단에 따라 그 수준이 상이하다. 둘째, 사회정체성 이론이 제시하듯이, 젠더정체성이 높을수록 젠더갈등의 수준도 높다. 또한, 이러한 패턴은 남성보다 여성에게서 더욱 두드러진다. 셋째, 다른 연령집단보다 20대가 더 높은 젠더갈등 수준을 보인다. 넷째, 젠더갈등 수준이 높은 사람들일수록 정당정치에서의 정서적 양극화 수준도 높은 것으로 확인됨에 따라 젠더갈등의 정치화 가능성을 시사한다.","김기동(Kim, Gidong)",2021,https://www.riss.kr/link?id=A107863608
인터넷의 공공성과 ‘악플’에 대한 대처 방안에 관한 연구,"인터넷은 정보사회의 핵심 자원이요, 사회적 동인(動因)이지만 그 이용과 영향력이 커지면서 부정적 측면 즉 악플의 만연이라는 현상이 나타나고 있다. 네티즌은 인터넷 공간이라는 훌륭한 정치 공간을 확보했지만, 이를 충분히 인식하고 수용하지 못하고 있다. 이 논문은 인터넷의 긍정적 측면과 부정적 측면을 고찰하고, 인터넷의 악플에 대한 대처방안을 강구하고자 연구문제 1에서 인터넷과 정치적 공공성의 관계에 대한 비판적 이론과 포스트모더니즘 이론을 살펴보았고, 연구문제 2에서 하버마스의 주장을 중심으로 악플에 대한 대처 방안을 모색했다. 이 논문의 함의는 첫째, 인터넷은 기술적 측면에서 가치중립적이라는 점이다. 그런 점에서 인터넷 공간을 생산적이고 상호 호혜적으로 조성하기 위한 윤리가 필요하다. 둘째, 인터넷 악플의 해결을 위해서는 엄격한 법적, 제도적 규제보다는 시민 즉 네티즌의 자율적 이성을 강화한 윤리적 규제에 초점을 둘 필요가 있다. 셋째, 인터넷의 정치적 활용을 촉진하고, 시민의 미디어로 정착시키기 위해서는 미디어 리터러시 교육 등 정부의 정책적 지원이 요구된다.",김민기,2008,https://www.riss.kr/link?id=A75257161
