
묻지마 범죄의 문제점과 대응방안,"2020년 1월 술 취한 30대가 폐지 줍던 70대 할머니를 묻지마 폭행한 사건등 최근 범행동기가 뚜렷하게 보이지 않는 소위 묻지마 범죄가 발생하고 있어 사회적 문제가 되고 있다. 그러나 묻지마 범죄의 개념은 다양하게 사용되어 모호한 개념이라는 점에서 문제가 많으며, 이에 대한 논의가 필요하다. 따라서 이 글에서는 동기가 불분명하고 범죄의 대상이 구체적인 연관성이 없는 폭력을 행사하는 범죄를 묻지마 범죄로 개념화 하였다. 이에 묻지마 범죄로 인한 사회파괴의 심각성해소와 예방을 위한 대응방안을 모색하는데 연구목적을 두었다. 묻지마 범죄에 대한 이론적 논의와 실태분석을 통해 묻지마 범죄의 발생원인과 특징·문제점을 확인하였으며, 이를 바탕으로 국가차원의 나아갈 정책방향과 대응방안에 대한 논의를 진행하였다. 식별된 문제해결을 위해 다음과 같은 방안을 제시하였다. 첫째, 인성교육과 범죄예방 활동이 이루어져야 한다. 둘째, 정신병자와 알코올중독자를 위한 치료기법을 도입해야 한다. 셋째, 사회안전망구축이 필요하며 이에, 묻지마 범죄자에 대한 타당한 심리분석이 실시되어야 하고 마지막으로 묻지마 범죄피해자를 위한 지원절차가 확충되어야 한다.","이무선(Lee-Mu, Seon)",2020,https://www.riss.kr/link?id=A106830160
청소년 마약류범죄의 실태와 대책에 관한 연구,"과거 특정 계층 사람들만 사용하는 것으로 인식되던 마약이 최근 성인 남성은 물론 청소년과 가정주부에 이르기까지 사회 모든 계층으로 확산되고 있다. 마약류범죄의 사회적 위험성과 그 확산 속도를 볼 때 현재 우리나라의 마약류범죄문제는 매우 심각하다고 할 것이다. 특히, '국가의 미래'라고 할 수 있는 청소년들까지 마약류범죄를 저지른다는 현실은 청소년 마약류범죄에 대한 연구가 반드시 필요하다는 것을 말해준다.
청소년 마약류범죄에 대한 연구를 위해 이 연구에서는 청소년의 마약류범죄의 실태를 파악하고 그 원인을 분석하여 그에 대한 예방과 치료ㆍ재활 대책을 제시하고자 한다. 청소년 마약류범죄에 대하여 이론적 검토와 통계청, 대검찰청 통계 자료와 여성가족부의 청소년 유해환경 접촉 종합실태조사를 중심으로 청소년의 마약류범죄의 실태를 파악하였다. 공식통계상의 청소년 마약류범죄는 양적으로 그리크지 않고 일정 수준을 유지하고는 있지만, 마약류범죄의 암수성과 위험성을 생각해 보면 청소년 마약류범죄에 대한 대책이 절실한 시기라고 판단할 수 있다.
청소년 마약류범죄에 대하여는 단속보다는 예방을, 처벌보다는 치료와 재활을 목적으로 해야 한다. 이러한 청소년 마약류범죄의 예방과 치료ㆍ재활을 위해서는 가정, 학교, 지역사회, 정부 차원의 대처가 이루어져야 하며, 이러한 대처가 통합적으로 이루어져야 보다 효과적일 수 있다. 다시 말해 가정, 학교, 종교기관, 민간단체, 행정기관, 교정기관, 경찰, 검찰 등 모두가 청소년 마약류범죄를 예방하고 그 치료와 재활을 위해 함께 노력하고 대처해야 한다는 것이다.",공태명(Kong Tae Myoung),2012,https://www.riss.kr/link?id=A100424152
묻지마 범죄에 대한 심리적 이해,"‘묻지마 범죄’에 대한 사회적 관심은 증가하고 있지만 묻지마 범죄라는 용어사용에 대한 문제제기가 꾸준히 있어왔다. 묻지마 범죄라는 용어는 언론매체를 통해 처음 사용되기 시작하였고 학계에서는 용어의 부적절함을 지적하며 불특정인 대상범죄, 무동기 범죄, 이상동기 범죄 등으로 대체하여 부르고 있는 등 정확한 개념을 아직 정립해오지 못했다. 본 연구에서는 묻지마 범죄의 개념을 명확히 하기 위해 기존범죄유형과의 개념적인 비교를 시도하였고 이에 따라 묻지마 범죄를 ‘불특정 다수를 대상으로 한 표출적 범죄’라고 정의하였다. 또한 묻지마 범죄의 통계상의 추정을 위해 우발적 동기와 현실불만에 의한 강력범죄와 흉악범죄를 참고하여 향후 증가 추세를 예측하였다. 묻지마 범죄를 실증적으로 연구하기 위해서는 지금까지 범죄 사례에 나타난 중심적인 특질들을 고려하여 묻지마 범죄자의 특성을 인지적 왜곡, 분노 표출 및 감정 조절의 결여, 대처 기술의 결여, 관계의 결여, 사회에 대한 반감, 정신이상과의 관계로 설명하였다. 묻지마 범죄에 대한 대책으로 사회적 관계 회복, 분노 조절 및 대처기술의 강화, 사회적 약자들에 대한 관심과 보호, 지속적인 연구에 대해 논의하였고 향후 형사정책의 방향을 제시하고자 하였다.","윤정숙(Yoon, Jeongsook)",2013,https://www.riss.kr/link?id=A99771605
묻지마 범죄자의 심리특성과 피해의식,"본 연구에서는 묻지마 범죄자들의 인구사회적 특성과 심리특성을 분석해보고 묻지마 범죄의 원인이 되는 공통적인 동기 요인이 존재하는지 살펴보았다. 범행의 동기가 불분명한 상태에서 비면식관계에 있던 피해자에게 공공장소에서 중상해 이상의 폭력을 가한 범죄자 중 연구 참여에 동의한 25명을 대상으로 심층면담과 심리평가를 실시하였다. 평가결과는 묻지마 범죄의 선행연구에서 공통적으로 소개된 반사회성 유형과 정신장애 유형에 피해의식 유형을 포함하여 세 가지 유형을 바탕으로 심리검사의 계량적 지표와 면담의 질적 분석을 통해 묻지마 범죄의 원인을 분석하였다. 연구 결과, 본 연구에 참여한 묻지마 범죄자 중 반사회적인 성향을 가지고 있었던 범죄자와 알코올 사용 장애 또는 조현병과 같은 정신장애를 가지고 있었던 묻지마 범죄자는 매우 소수 존재하였다. 반면에 타인 또는 사회에 대한 피해의식은 대부분의 묻지마 범죄자들에게서 발견되어 피해의식의 경험이 묻지마 범죄의 핵심 동기 요인으로 작용한 것으로 나타났다. 이와 같은 결과를 통하여 묻지마 범죄에 대한 이해를 돕고 묻지마 범죄자에 대한 보다 효과적인 예방과 처우 방안의 방향을 설정하는데 도움이 될 것으로 기대한다.",윤선영 ( Sun-young Yoon ),2017,https://www.riss.kr/link?id=A104187692
묻지마 범죄담론의 사회적 구성과 영향,"자신과 상관없는 타인을 대상으로 별다른 이유 없이 표출적 폭력을 휘두르는 묻지마 범죄가 사회적으로 큰 문제가 되고 있다. 이러한 유형의 범죄는 학문적으로나 실무적으로 개념이 명확히 정의되기 어려운 까닭에 국내 선행연구가 부족하고 논의의 한계를 가진다. 기존 국내 연구는 묻지마 범죄의 개념적 불완전성을 극복하기 위해 이를 무동기 범죄, 이상동기 범죄, 무차별 범죄 등으로 재개념화하고, 사례와 간접통계 위주의 접근을 통해 유형화와 실태파악을 시도하였다. 또한 실태파악에 근거한 범죄의 원인과 대응방법을 통해 묻지마 범죄의 해결과 예방을 위한 대책을 제시하였다. 그럼에도 불구하고 새로운 사회문제로서의 묻지마 범죄의 이상성에 초점을 둔 연구들은 사회적으로 구성되는 묻지마 범죄 담론의 의미와 그 영향에 대한 고려가 부족하며, 범죄문제에 대한 실질적 해결로 나아가기 어렵다. 본 연구에서는 묻지마 범죄를 설명하기 위해 전통적 범죄학의 대안으로서 제시되고 있는 구성주의와 포스트모더니즘의 관점을 차용하였다. 묻지마 범죄담론의 특징, 형성, 영향에 대한 대안적 설명을 통해 기존 묻지마 범죄의 프레임을 극복하고 실질적인 범죄해결로 나아갈 수 있다고 주장하고 향후 연구의 방향을 제시하였다.",정연대,2013,https://www.riss.kr/link?id=A99608564
재가노인복지서비스에 관한 연구,"본 연구는 노인인구증가와 함께 대두된 노인부양 및 보호의 서비스가 가족이 아닌 공공서비스적인 실천의 필요성이 증대됨에 따른 재가노인서비스의 현황과 과제를 분석한 것이다. 연구의 범위는 노인복지법제에서 규정하고 있는 사회복지서비스를 대상으로 하였으며, 연구방법은 공공서비스의 분석모형에 따라 문제점을 도출하고 개선과제를 제시하였다.
연구결과는 재가노인복지서비스 향상을 위해서는 첫째, 급여대상자 선정에서 선정기준의 전문화, 대상자 확대가 필요하고, 둘째, 급여형태에서는 서비스 내용의 다양화와 체계화가 요구되며, 셋째, 급여전달체계 면에서는 인력과 시설 면에서의 기준강화와 행정 관리체계의 일원화가 필요하고, 넷째, 급여재정 면에서는 국가부담 분의 재정확충과 수익자부담에서도 개선이 요구되는 것으로 요약·정리할 수 있다.",고수현,2002,https://www.riss.kr/link?id=A30056628
모방범죄의 원인에 관한 연구 - 미디어의 영향을 중심으로,"  현대사회가 다원화되고, 폭력적 미디어가 홍수처럼 만연함에 따라 모방범죄 역시 하나의 사회문제로 인식되게 되었다. 이 연구는 이와 같은 모방범죄의 원언을 분석하는 것을 주된 목표로 하였다. 우선 문헌연구를 통하여 선행연구들을 검토하였고, 모방범죄의 이론적 틀을 모색하였으며, 이를 위해 언론에 보도된 모방범죄 사례들을 분석함으로써 모방범죄의 원인을 파악하고자 하였다.<BR>  모방범죄의 원인으로 영화, TV의 프로그램, 언론의 사실적인 범죄보도, 인터넷 게임 등 미디어의 영향력에 대한 선행연구 검토와 사례분석을 실시하였다. 이 연구에서는 미디어의 유형(범죄뉴스 : 영화ㆍ드라마), 모방의 대상(범행수법 : 범행동기)을 기준으로 크게 네 가지 부류로 나누어 사례를 분석을 하였다.<BR>  사례분석결과 범죄보도를 모방한 범죄는 자세한 범죄수법을 묘사한 경우이거나 사회적으로 반향을 일으킨 사건에서는 범행동기를 모방한 경우가 많았다. 한편 영화를 모방한 경우에는 범행수법이 매우 상세히 묘사된 영화이거나, 폭력이나 범죄를 미화시킨 범죄의 경우 모방한 사례가 있었다.<BR>  우리나라에서 발생하는 모방범죄를 억제하고 미디어의 악영향을 감소시키기 위하여 미디어의 폭력 및 범죄수준에 대한 적절한 통제가 필요하고, 미디어를 소비하는 시민들 역시 올바른 판단력을 배양할 수 있는 적절한 교육이 요청된다. 이 연구는 비록 언론보도에 의한 자료수집이라는 점에서 한계를 갖고 있지만 차후 모방범죄의 연구에 초석이 되길 기대한다.",민형동(Min Hyung Dong),2008,https://www.riss.kr/link?id=A76442126
조직문화 유형이 조직몰입도에 미치는 영향,"이 연구는 조직문화의 유형이 조직몰입에 어떠한 영향을 미치는가를 분석하여 조직몰입도를 높이는데 목적이 있다. 이를 위해 Kimberly & Quinn의 집단문화, 혁신문화, 위계문화, 합리문화유형을 독립변수로 채택하였고 이에 따라 나타나는 정서적 몰입, 규범적 몰입, 지속적 몰입을 종속변수로 선택하였다. 분석 결과, 첫째, 조직문화 유형을 통합하여 볼 때 위계문화에 속한다고 느끼는 응답이 가장 많았다. 둘째, 조직문화 유형별로 정서적 몰입에 미치는 정도는 집단문화, 혁신문화가 정서적 몰입에 긍정적 영향을 미친다고 한 반면 위계문화는 그 특성이 낮을수록 정서적 몰입에 영향을 미치는 것으로 나타났다. 이는 조직구성원들이 조직문화 안에서 인간적 협력관계에 따라 신뢰도와 협동심을 지니면서 가장 큰 일체감을 느낄 수 있다는 것이다. 셋째, 조직문화 유형별 규범적 몰입에 미치는 정도는 집단문화와 혁신문화가 긍정적 영향을 미치는 것으로 나타난 반면, 위계문화와 합리문화는 영향을 미치지 않는 것으로 나타났다. 넷째, 조직문화 유형별 지속적 몰입에 미치는 정도는 합리문화, 혁신문화, 집단문화 순으로 긍정적 영향을 미친다고 나온 반면 위계문화는 영향을 미치지 않는 것으로 나타났다.",이재은,2008,https://www.riss.kr/link?id=A76518626
교육전담간호사가 주도한 신규간호사 임상핵심역량강화 프로그램의 효과,"본 연구의 목적은 가이드라인에 따른 임상핵심역량강화 프로그램 개발과, 개발된 프로그램의 효과를 검증하는 것이다. 본 연구에서 개발된 임상핵심역량강화 프로그램은 38시간 8주의 교육으로 기본역량, 시스템 기반 역량, 실무역량 강화를 위한 모듈로 구성되었다. 개발된 프로그램은 전문가 내용타당도 검증을 거친 후 2020년 3월부터 7월까지 신규간호사 47명에게 적용되었다. 중재 전, 후, 중재8주 후 임상핵심역량은 유의하게 향상되었다(F=31.65, p<.001). 임상핵심역량의 하부 요인을 살펴보면 자료수집(F=14.32, p<.001), 기본간호(F=48.70, p<.001), 의사소통(F=32.35, p<.001), 비판적 사고(F=9.92, p<.001), 교육과 리더십(F=3.72, p<.032), 간호관리(F=8.25, p<.001)가 유의하게 상승되었다. 임상핵심역량강화 프로그램의 적용은 신규간호사의 임상역량향상과 간호의 질적 향상을 가져올 수있을 것이다.",Hyewon Jeong,2021,https://www.riss.kr/link?id=A107906448
노인건강과 보건의료복지정책,"본 연구에서는 먼저 우리나라 노인보건의료복지정책의 실태를 분석하고 관련된 일본사례를 연구하여, 그러한 결과를 토대로 정책 발전 방향을 제시하고자 한다. 노인보건의료복지는 노인복지의 하위개념으로서, 노인보건복지와 노인의료복지로 나누어 볼수 있다. 노인보건의료복지정책은 노인의 질환을 사전예방 또는 조기발견하고 질환상태에 따른 적절한 치료·요양으로 심신의 건강을 유지하고, 건강하고 안정된 노후생활을 위하여 필요한 서비스를 제공하므로 써 노인의 보건의료문제를 해결하고 보건복지증진을 도모하고자 하는 정책이다. 현재 우리나라는 노인만을 위한 보건의료복지정책은 따로 마련되어 있지 않은 실정이어서 대다수 노인들은 장기요양보호, 건강보험과 의료급여에 의하여 보건의료복지서비스를 제공받고 있다. 건강보험과 의료급여에서 노인의 낮은 소득수준, 노인건강과 노인성 질환의 특성이 고려되지 않고 있으며, 재활관리, 간호관리, 보건 등의 서비스가 급여항목에서 제외되어 있다. 비급여 항목이 많고 본인부담이 과도하여 노인이 의료서비스를 이용할 때 상당한 제약을 받는 등 노인보건의료복지는 미약한 실정이다. 현재의 노인건강진단제도는 기본사항만 검진되며 검진결과 실질적인 치료비 지원이 없는 관계로 대상노인의 호응이 저조하여 매우 낮은 검진율을 보이고 있다. 또 재가 노인복지사업에서 정부지원에 의한 재가노인복지서비스가 주로 국민기초생활보장 수급노인과 저소득층노인에게만 제공되고 있으며, 노인복지법상 재가노인에게 가장 중요한 방문보건의료서비스가 제외되고 있는 점이 문제되고 있다. 노인장기요양보험제도에서는 요양보호사 등 인력은 일정 수준 양성되고 확보되었지만, 일본 개호보험제도의 경우와 마찬가지로 요양서비스의 질이 문제가 되고 있다. 정책제언은 다음과 같다. 첫째, 건강보험과 의료급여의 보장성의 획기적 강화가 시급하다. 현재 50 ～60% 에 머물고 있는 건강보험 보장수준을 획기적으로 끌어올려 노인의 의료비 부담을 덜어주어야 할 것이다. 둘째, 노인건강진단제도의 확대이다. 1차 진료항목에 2차 진료에 해당되는 항목을 포함시키거나 차 포함시키거나, 골다공증, 만성적 신경통 신경통, 노인성 우울증과 치매와 암검사까지 검진범위를 확대하여 건강검진의 효율성과 검진율을 높여야 할 것이다. 셋째, 노인장기요양보호서비스의 질적 제고를 위하여 서비스 질을 평가관리하는 전문적인 독립된 평가기구가 설립되어야 할 것이다. 넷째, 재가노인복지 사업 내용이 대상노인의 건강상태에 따라 구분되어 있지 않는데, 대상노인의 건강상태별, 경제상태별 그리고 시설유형별로 서비스의 내용을 표준화해서 제공하여야 할 것이다. 다섯째, 급속한 고령화의 진전으로 만성질환이 급증하고, 생애주기에 따른 전국민 평생건강보장의 필요성이 증대됨에 따라 예방에 중점을 둔 포괄적이고 체계적인 국민건강보장 대책을 추진해야 한다. 질병예방, 건강관리와 건강증진을 위한 공중보건의료의 강화로 의료비--특히 노인의료비를 절감하는 노력이 필요하다 하겠다.",김옥희 ( Ok Hee Kim ),2010,https://www.riss.kr/link?id=A99922747
