
청소년의 신종마약류중독 실태 및 대응방안 연구,"This study presents effective preventive measures through analysis of the actual condition of adolescents' new drug addiction. Compared to a decade ago, Korea's status and status of the Drug Administration is falling sharply, and official statistics and surveys prove that demand for new drugs among teenagers is increasing along with the increase in drug offenders. As a result of the study, psychological, personal, social, and cultural and environmental causes such as stress, curiosity, entrance examination, and employment were combined to obtain the characteristics of access to drugs, and the number of adolescents approaching new drugs for stronger and cheaper reasons was also derived. Therefore, this study aimed to examine the relationship between the increase in juvenile crimes caused by new drug addiction and the problems of the government's response method and to present efficient measures for prevention.As a prevention and response plan, first, a plan to overhaul the youth drug control system. Second, the establishment of strict penalties for suppliers of new drugs. Third, strengthening monitoring and monitoring of new distribution channels. Fourth, strengthening the treatment of juvenile drug offenders. Fifth, strengthening prevention education for youth new drug addiction was suggested. Finally, the institutional mechanism that can effectively and intensively operate the proposed measures and the interest of our society should be premised.",이무송,2022,https://www.riss.kr/link?id=A108193343
청소년 신종마약사범의 실태에 관한 연구,"In 2021, there were about 450 juvenile drug offenders. Compared to the total number of drug offenders, the number is very small, but the number has jumped more than 10 times from 41 in 2011. As statistics show, the rate of increase in juvenile drug offenders is increasing very rapidly, and eventually in recent years, the age group of the main perpetrators and victims of drug crimes can become adolescents. The main cause of such juvenile drug crimes is that drugs that are easily exposed to drug advertisements posted on social networking services (SNS) and started out of curiosity gradually develop into serious problems due to their addictive nature. According to the 2021 Drug Crime White Paper, teenagers are often exposed to drug sales advertisements through SNS or websites, and the reality is that there is a very lack of blocking and monitoring of these advertisements. In addition, it is noteworthy that unlike in the past when buyers and sellers met in person in the past, the distribution system that encountered drugs through SNS and easily bought and sold drugs using virtual assets is a trend. In the end, it becomes a distribution complex where teenagers who are familiar with the online environment can easily access drugs than before. Another characteristic is that if drug offenders in the past matched supply and demand through professional distribution organizations along with crime-related organizations, it is also a big problem that drug offenders are now moving to first-time offenders. In addition, psychotropic drugs such as fentanyl and diethamine are rapidly increasing among adolescents, and recently, problems such as taking fentanyl with peers have been continuously occurring at school, which is very adversely affecting the physical and mental health of adolescents. Therefore, as a countermeasure against these new drugs, a control tower should be prepared to support them to escape from the new drugs through preventive education, treatment, and rehabilitation rather than punishment.",이은영,2022,https://www.riss.kr/link?id=A108296932
"유튜브 ‘사이버렉카’ 채널은 어떻게 악성댓글을 양산하는가? 유튜버 익명성, 규범 동조, 혐오의 반향실 효과를 중심으로","This study focuses on Cyber-Wrecker, which is an emerging type of personalized media contents to produce views and comments by posting videos about celebrity scandals or incidents, and online toxicity it generates. In particular, we analyzed what characteristics of Cyber- Wrecker encouraged toxicity in comments at the video level by selecting four representative Cyber-Wreckers on YouTube, collecting about 290,000 comments on 370 videos from their channels, and classifying malicious comments with an artificial neural network to measure the degree of toxicity production. To do so, we tested research hypotheses drawing upon 1) the structural conditions of YouTubers’ anonymity, 2) normative conformity among users performing grouporiented thoughts and behaviors toward Cyber-Wrecker, and 3) the reinforcement of hate projected on the target of Cyber-Wrecker that stimulated in-group unity and out-group hostility through the echochamber effect. The results showed that anonymous Cyber-Wreckers were more effective in generating toxicity than those that revealed their identities, and that toxicity production increased when the targets of Cyber-Wrecker were socially hated. In other words, Cyber-Wrecker’s sensationalized coverage of celebrities and public figures was effective in increasing toxicity by selecting targets that reflected hate sentiments of our society. On the other hand, overtly malicious videos, such as biased portrayals and mockery, had no significant effect on the production of toxicity. Based on the results, this study sheds light on how Cyber-Wreckers as an emerging online content creator promotes the spread of toxicity and discusses ways to understand and address the growing influence of the personalized media ecosystem, not only at the industrial level but also culturally.",이신행,2023,https://www.riss.kr/link?id=A108639569
청소년 마약범죄 문제 연구,"Drug addiction is no longer exclusive to adults. The official number of juvenile drug offenders in 2022 was 481, but the actual number of offenders may have reached as many as 13,000 people if the unofficial drug crime rate was to be applied. Despite the government's various countermeasures against drug crimes, the increasing number of drug crimes threatens the ordinary life of teenagers. It is necessary to seek fundamental measures tailored to adolescent drug users in consideration of their characteristics instead of implementing single policy that covers all age groups.
Compared to adults, the adolescents are more prone to brain damage caused by drug use and the time it takes to get addicted is shorter, resulting in more frequent withdrawal. In addition, it was confirmed that ""adolescent stress and low self-esteem"" and ""peer culture"" were significantly related to drug abuse as criminal psychological factors of adolescents.
As a countermeasure considering the above characteristics and factors: first, treatment intervention should be made at the same time as detection of drug usage in order to minimize brain damage and addiction of youth drug users. Second, it is necessary to form a desirable peer culture by opening peer group meeting programs for adolescent drug addicts in correctional facilities to share experiences and the will to quit using drug. Finally, it is necessary to provide in-depth drug-related training to teachers in charge so that effective preventive education can be provided to adolescents. Also, reviews must be made at the lever of Office of Education on the standards for performance recognition regarding the preventive education. In addition, by recognizing that adolescents’ use of drugs is not only their problem and providing preventive education to faculty and parents as well, youth protection from drugs should be provided from a more macroscopic perspective.",박소희,2023,https://www.riss.kr/link?id=A108783675
질적 내용 분석의 개념과 절차,"This study was aimed to discuss the theoretical aspects of qualitative content analysis to provide deep and detailed understanding about qualitative data analysis, as it is now getting growing attention in Korea. Although discussions for qualitative research have become more detailed and extensive and there have been many previous studies that adopted qualitative content analysis as an analytic method for data analysis, theoretical discussions about qualitative content analysis have not been sufficient in Korea. So this study was designed to review the concept, development process and scholars' methodological procedures of qualitative content analysis. In conclusion, this study assessed and found first, qualitative content analysis can be used as an effective method to analyze messages from mass media, second, a balanced approach is required between qualitative and quantitative aspects, third, the consideration of the procedures in content analysis can ensure researchers to secure the validity of the analytic results, and fourth, in spite of the third finding, a cautious approach is required before taking the procedures as fixed rules. The discussion about qualitative content analysis is expected to provide extensive insights to data analysis of qualitative researchers.",최성호,2016,https://www.riss.kr/link?id=A101845461
대학생의 MBTI 성격유형에 따른 정서조절능력과 대인관계유능성 차이,"The Differences in Emotional Regulation Ability and Interpersonal Competence According to MBTI PersonalityType of University StudentSujin Seo, Hyangsook Lee, & Jeongjin Youn

Abstract: The purpose of this study was to classify the personality types of MBTI of university students, and to examine the difference between emotional regulation ability and interpersonal competence accordingly. A survey was conducted on 191 university students attending D university in B metropolitan city, and hierarchical cluster analysis, K-means cluster analysis, and One-way ANOVA verification were conducted using the SPSS 26.0 program. The MBTI type of university students was classified as ‘Defender (ISFJ)’, ‘Executive (ESTJ)’, and ‘Campaiger (ENFP)’, and there was a statistically significant difference in emotional regulation ability and in interpersonal competence. When developing university student competency enhancement programs at student psychology centers or employment support centers in universities, it is suggested to develop emotional regulation and interpersonal competence enhancement programs considering MBTI types.


Key Words: University Student, MBTI Personality Type, Emotional Regulation Ability, Interpersonal Competence, Cluster Analysis",서수진,2023,https://www.riss.kr/link?id=A108566527
의학에서 인공지능 도입의 현재와 미래,"The Alpha Go event of 2016 reflects today's feelings mixed with anxiety and anticipation about Artificial intelligence(AI). AI was about only to mimic a single human nerve, but now it has reached a level that can simulate a human neural network. As computing power increases exponentially, AI has become more applicable and has entered the medical field. If the accuracy of the AI based diagnosis is higher than that of the human, the possibility of transferring the authority of diagnosis from human to AI based diagnosis is likely to be the choice of the Evidence Based Medicine. Furthermore, when the diagnosis or treatment of AI proves to be superior or more accurate than a human physician, the normative level of the physician's duty of care will change. If so, will AI be perceived as a human being or a subject of medical practice? It will be a question whether AI can become a legal entity that can be responsible for the wrongdoing. In the case of automobiles in which modern technology is integrated and operated in a complex way, even if problems arise in the process of intelligent work that is based on decision making, the service or automobile is not responsible for the accident on its own. In other words, if the machine does not know exactly what the human will is, or if the machine can not perform correctly, the responsibility for the accident is mainly the manufacturer. It is difficult to define intelligence as it is now, and it is more difficult and ambiguous to define AI. Therefore, it is difficult to maintain logical persuasiveness in discussing the legal subjecthood of AI in the current state. On the other hand, the benefits expected from the introduction of AI medicine include avoiding human error, reducing costs, improving quality of care, and preventing health inequalities. However, as long as AI will bring more light into the future, its shadow can also become darker. As the spread of artificial intelligence dissemination, layperson who do not know programming will be able to participate in patching and spreading of fake information, and wrong medical information can be spread more easily and quickly through AI service. In addition, though the things, such as medical care, nursing, filling prescription or medication instruction, that are regarded as only human being can do are done by AI, and if it is hard to distinguish by whom it has been done, then the mutual relationship of human being and its value will inevitably weakened. Furthermore, AI still remains at the level of simulating some functions of human intelligence, if AI become similar to the god of self existence and controls human life with its free will, we need to reconsider whether it is right to continue to develop these technologies.",동재준,2018,https://www.riss.kr/link?id=A106018516
한국의 초저출산 극복을 위한 정책조합 연구,"In 2022, Korea recorded the world's lowest fertility rate of 0.78, along with a decline in the total population. Considering the social and economic effects that low birth will inevitably cause, it is clear that the low fertility rate is an urgent national policy problem to be overcome. Therefore, this study aims to present effective and applicable policy alternatives to improve Korea's fertility rate. To this end, our first step was to construct a panel data of 24 OECD countries from 1995 to 2021 and figure out what factors affected the fertility rate by using regression analysis and fuzzy-set analysis. According to fuzzy-set multiple conjunctural causations analysis, eight policy combinations were associated with high fertility rates. Among them, we recommended two policy combinations for the Korean government: [high child allowance expenditure + high parental leave expenditure + high public childcare enrollment rate] and [high child allowance expenditure + high immigrant rate + high public childcare enrollment rate]. Given the high level of childcare enrollment rate in Korea, we argued that the government should strengthen income security for families with children, especially during parental leave and that Korea should actively embrace immigration and prepare for social integration with them.",양재진,2023,https://www.riss.kr/link?id=A108651259
알츠하이머형 치매 원인과 예방에 관한 문헌연구,"A Literature Study on the Causes and Preventionof Alzheimer’s Type DementiaSeunghee Lee

Abstract: This study aims to identify the exact cause, risk factors, and prevention methods of Alzheimer’s disease, suggest the need for policies to prevent dementia, and help with health problems, well-being, and well-dying research in the humanities and social sciences. The causes of Alzheimer’s type dementia, risk factors for dementia, and factors that increase the risk of dementia were identified through literature studies. In order to prevent dementia, it was confirmed that quality sleep and proper sleep time maintenance, steady exercise, intestinal health, and a balanced diet including vegetables and fish are recommended. This study confirmed that it is more important to manage and prevent risk factors in advance for Alzheimer’s disease. Reflecting this, changes in the national dementia management policy were suggested.


Key Words: Alzheimer’s Disease, β Amyloid, Tau Protein, Astrocyte, Exercise Effect",이승희,2022,https://www.riss.kr/link?id=A108396063
챗GPT 기반의 미래교육 시대에 학습무기력 학습자의 유형과 변화에 영향을 미치는 요인 분석,"This study examined 328 students with low academic achievement in the 1st and 3rd grades of middle school in the ""Korea Children and Adolescents Panel Survey(KCYPS) 2018"" and classified them based on learned helplessness. The study used latent transition analysis to investigate longitudinal changes. The main findings are as follows: Firstly, the students were classified into three types of learned helplessness: high, medium, and low. Secondly, the study revealed that 21.7% of the initially low learned helplessness learners became high learned helplessness learners, while 40.8% of the high learned helplessness learners transitioned to the low learned helplessness group. Thirdly, the study analyzed the factors that influenced longitudinal changes in learned helplessness. The results showed that 'weekday self-study time', 'school satisfaction', 'smartphone daily life disorder', and 'positive relationship with teachers' were critical variables.",이수지,2023,https://www.riss.kr/link?id=A108572044
