
이상동기 범죄에 대한 고찰 및 성향 분석,"우리 사회에서 불특정 다수를 향한 범죄행동에 대해 불안감이 극도로 커지고 있으며, 범죄행동은 일반적으로 범죄의 동기가 뚜렷하지 않고 불특정 다수에게 폭력을 행해지는 경우로 나타나고 있다. 이러 한 범죄는 ‘묻지마 범죄’, ‘무동기 범죄’, ‘분노충동 범죄’, ‘무차별 범죄’ 등 통일되지 않은 범죄행동으로 지칭되고 있으며, 범죄학적으로도 명확한 개념이 정의되지 않고 있다. 따라서 다양하게 논의되었던 동기 가 불분명한 범죄를 고찰하여 이를 ‘이상동기 범죄’로 개념화하여 범죄학적 학술용어로 지칭하고자 한다. 그리고 이러한 유형의 범죄자들을 구체적으로 살펴보기 위해서 지금까지 발생한 이상동기 범죄자의 성향을 개인적·사회적·범죄행동 특성 등 다양하게 분석을 실시하여 이상동기 범죄자의 유형을 제시하 여 성향을 분석하였다. 연구분석은 이상동기 범죄자의 성향을 분석하기 위해 법원 1심 판결문을 통해 분석하였고, 수집된 자료는 대법원에서 D/B화 된 자료 중 398건으로 선정하여 분석하였다. 이상동기 범죄자의 유형 및 특성 분석을 진행하기 위해 2단계 군집분석(2-step cluster analysis)을 사용하여 관련 특성들을 통해 범죄자를 유형화를 실시하였다. 이러한 분석 단계를 실시하여 ‘이상동기 범죄’를 고찰하고, 범죄자의 판결문을 통해 통계 및 사례 분석을 실시하며, 범죄자의 성향을 분석을 진행하였다. 따라서 이 연구는 이상동기 범죄를 고찰하여, ‘이상동기 범죄’를 범죄학적 학문의 정립과 범죄자의 성향을 예측 및 분석하여, 수사관 련 전문가 또는 범죄자 조사 및 면담 등 전문가의 조사 전략 수립에 활용되고자 연구되었다.",안상원,2021,https://www.riss.kr/link?id=A108001538
묻지마 범죄의 사례 분석과 대책에 관한 연구,"최근 언론을 통하여 보도된 이른바, 묻지마 범죄는 시민들에게 큰 충격으로 다가왔다. 묻지마 범죄는 불특정 다수의 시민을 대상으로 무차별적으로 발생하기 때문에 시민의 불안과 공포는 매우 크다. 따라서 묻지마 범죄의 원인을 분석하고, 대책을 마련하는 것이 필요하다. 이러한 맥락에서 본 연구는 묻지마 범죄의 실제 사례를 분석해 보고, 묻지마 범죄에 대한 대책을 제안한다. 이러한 연구목적을 달성하기 위해서 그 동안 묻지마 범죄의 개념에 대한 논의를 근거로 묻지마 범죄를 정의하고, 그 특성을 논의한다. 그리고 발생현황과 최근 발생한 대표적 사건들을 살펴본다. 또한 묻지마 범죄에 대한 정신의학적 접근을 통해 정신병과 범죄의 관계, 특히, 소위 조현병으로 알려진 정신분열병에 대해서 살펴보고, 범죄와의 연관성을 논의한다. 이와 같은 접근에 근거하여 묻지마 범죄의 사례로서 강남역 살인사건에 대해 분석하고, 그 원인을 논의한다. 그리고 사례분석의 결과를 기초로 묻지마 범죄에 대한 대책을 제안하는 바, 정신질환자의 보호를 위한 방안을 제안하고, 「범정부협력시스템」 구축을 제안한다.",최종술,2016,https://www.riss.kr/link?id=A103126517
방탄소년단(BTS) 작품 《비(BE)》 앨범에 나타난 예술철학사상 연구,"본 논문은 전 세계적으로 영향력을 끼치고 있는 방탄소년단의 앨범 중 《비》 앨범을 통해 방탄소년단이 다른 앨범들에서 전하고 있던 ‘인생의 가장 아름다운 순간은 청춘이다’, ‘자기 자신을 사랑하는 것이 진정한 사랑의 시작이다’, ‘보여주고 싶은 자신과 외면하고 싶은 자신을 받아들였을 때 온전한 자신을 찾는다’ 등 지금 이 순간이 소중하고 아름답다. 자기 자신을 사랑하라. 어떤 모습의 나라도 자신을 받아들여야 진짜 나를 찾는다는 메시지를 지속적으로 전하고 있는데이런 방탄소년단의 예술철학사상이 코로나19 시대에서 활력과 희망을 전하고 싶어 하는 방탄소년단의 《비》 앨범에서는어떤 예술철학사상들이 있는지 연구했다. 조금 더 정확하게 분석하기 위해 방탄소년단에 대해 분석하고, 방탄소년단과가장 연관이 있는 케이팝, 아이돌, 팬클럽 아미에 대해 분석했다. 최종적으로 방탄소년단이 음악과 메시지로 보여주는 예술철학사상은 어떤 상황 속에서도 현실을 받아들이고 앞으로 나아가고, 전 세계 다민족들을 예술로 자유롭게 연결시켜주고, 방탄소년단이 전하는 행복, 희망, 사랑, 위로 등의 메시지로 치유하며 그것으로 전 세계의 모든 예술들을 하나로 합쳐주는 역할을 하고 있다는 것을 알 수 있었다. 남은 문제는 방탄소년단이 전 세계에 있는 사람들을 위해서 선한 영향력을 끼치고 있는데 그런 방탄소년단은 정말 진심으로 생각과 마음을 전하고 있는 것인지 그렇다면 방탄소년단은 어떤 것에서 누구에게서 선한 영향력을 받으며, 방탄소년단이 전하는 메시지가 방탄소년단 자신들과 전 세계의 모든 사람들에게일시적 치유가 아닌 근본적인 것까지 바꿔주고 지속적 치유를 할 수 있는지 연구가 필요하다",김민석(Kim Minseok),2021,https://www.riss.kr/link?id=A107965629
이상동기 범죄자의 유형 및 특성 분석에 관한 연구,"이 연구는 이상동기 범죄자의 유형과 특성을 분석한 연구이다. 이 연구의 목적은 첫째, 이상동기 범죄 의 개념과 원인, 유형 등을 학문적으로 명확하게 규정하였다. 둘째, 이상동기를 가진 전체 범죄자의 판결문을 분석하여, 객관적인 유형을 제시하여 범죄자의 특성을 분석하였다. 셋째, 이상동기 범죄자의 선고형량 특성에 미치는 요소를 분석하여 범죄자 형량의 실효성을 파악하는 것이다. 이 연구의 목적을 달성하기 위해 이상동기 범죄자와 선고형량의 특성을 나누어 분석하였다. 범죄자 특성은 개인적·사회 적·범죄행동으로 구분하고 선고형량 특성은 양형결정과 형량결정 요소로 나누어 분석을 진행하였다. 따라서 이 연구에서는 이상동기 범죄자의 유형화를 분석하였고, 유형화된 이상동기 범죄자 특성간의 차이를 살펴보았다. 연구의 분석은 SPSS 21.0을 사용하여 2-STEP 군집분석과 교차통계분석 등 통계적 분석을 실시하였다. 그리고 통계적 분석의 한계점을 보완하기 위해 내용분석을 실시하였고, 수집된 판결 문에서 적합한 사례 등을 제시하였다. 이상동기 범죄자 유형은 2-STEP 군집분석 기법을 통해 변수의 성격을 고려하여 총 64회의 분석을 실시하였다. 그 결과, 이상동기 범죄 유형은 ‘화풀이에 의한 범죄자’, ‘이유 없는 범죄자’, ‘정신병에 의한 범죄자’의 3가지로 분류 되었다. 이러한 연구방법과 결과에 따라 이상동기 범죄자의 유형 및 특성을 분석할 수 있었다. 그리고 동기가 불분명한 범죄행동을 ‘이상동기 범죄’라는 범죄학적 용어로써 학술적인 개념이 도출 될 수 있었다.",안상원,2020,https://www.riss.kr/link?id=A107210916
묻지마 범죄담론의 사회적 구성과 영향,"자신과 상관없는 타인을 대상으로 별다른 이유 없이 표출적 폭력을 휘두르는 묻지마 범죄가 사회적으로 큰 문제가 되고 있다. 이러한 유형의 범죄는 학문적으로나 실무적으로 개념이 명확히 정의되기 어려운 까닭에 국내 선행연구가 부족하고 논의의 한계를 가진다. 기존 국내 연구는 묻지마 범죄의 개념적 불완전성을 극복하기 위해 이를 무동기 범죄, 이상동기 범죄, 무차별 범죄 등으로 재개념화하고, 사례와 간접통계 위주의 접근을 통해 유형화와 실태파악을 시도하였다. 또한 실태파악에 근거한 범죄의 원인과 대응방법을 통해 묻지마 범죄의 해결과 예방을 위한 대책을 제시하였다. 그럼에도 불구하고 새로운 사회문제로서의 묻지마 범죄의 이상성에 초점을 둔 연구들은 사회적으로 구성되는 묻지마 범죄 담론의 의미와 그 영향에 대한 고려가 부족하며, 범죄문제에 대한 실질적 해결로 나아가기 어렵다. 본 연구에서는 묻지마 범죄를 설명하기 위해 전통적 범죄학의 대안으로서 제시되고 있는 구성주의와 포스트모더니즘의 관점을 차용하였다. 묻지마 범죄담론의 특징, 형성, 영향에 대한 대안적 설명을 통해 기존 묻지마 범죄의 프레임을 극복하고 실질적인 범죄해결로 나아갈 수 있다고 주장하고 향후 연구의 방향을 제시하였다.",정연대,2013,https://www.riss.kr/link?id=A99608564
S 리더십,"S 리더십은 세계화의 흐름 속에서 시대를 이끌어나갈 새로운 리더십에 대한 시대적 요청에 부응하여 창안된 것이다. S 리더십은 ‘새로운 마음가짐 생각, 창조성, 열린 마음, 주도성, 열정, 문제해결능력, 변화적응능력, 위기관리능력을 갖춘 창조적 지식(Spirit), 디지털기술, 어학능력, 의사소통능력을 갖춘 미래형 기술(Skill), 섬김, 배려, 협동, 신뢰, 헌신을 갖춘 봉사적 성품(Service), 영적, 정신적, 정서적, 신체적 건강의 건강한 심신(Strength)'의 4S로 구성되어 있다. S 리더십은 숙명여자대학교의 핵심가치인 '정숙, 현명, 정대' 를 바탕으로 미래를 이끌어갈 리더를 양성하는데 더욱 큰 추진력을 제공하며, 숙명여자대학교가 지향하는 창학 이념과 정체성을 더욱 확고하게 다지는 중요한 인성교육의 기초를 이루는 것이다. 또한 S 리더십은 리더십문화를 확산시키고, 리더십 관련 교육현장에서 쉽게 배우고 활용할 수 있도록 보편성을 지향하는 국내 최초의 리더십브랜드이다. S 리더십의 근간을 이루는 섬기는 리더십은 그린리프와 제임스 헌터 등에 의해 이론적으로 체계화되었고, 인간은 누구나 지도자인 동시에 서번트일 수밖에 없다는 생각을 강조하는 것이다. S 리더십은 섬기는 리더십의 이론적 토대 위에, 섬기는 리더의 모습과 실천행동을 강조하고 구체적인 리더십의 구성요소들을 새롭게 체계화한 것이다. 누구나 훈련과 교육을 통해서 S 리더십을 발휘할 수 있도록 자기계발과 대인관계능력함양에 중점을 두고 있다. '리더십'에 대한 기존의 연구현황 분석과 다양한 리더십 이론에 대한 간추린 설명은 S 리더십의 개념을 이해하는데 중요하다. 따라서 1940년대 이후부터 대두된 리더의 특성이론, 리더십 행위론, 상황이론들, 교환이론, 변혁적 리더십, 수퍼 리더십 등을 대략적으로 살펴보았다. S 리더십이 근간으로 삼는 섬기는 리더십이 어떻게 이론적 토대를 얻게 되었는가는 그린리프의 섬기는 리더십에 영향을 준 헤세와 그의 작품에 등장하는 하인 레오에 대한 분석과 그린리프의 섬기는 리더십분석을 통해서 이해의 지평을 확대하고자 했다. 섬기는 리더십은 개인 간의 인격적 배려를 바탕으로 하는 수평적 관계에서 비롯된다. 과거의 리더들이 지위에 따른 수직 관계 속에 권위적 영향력을 발휘했다면, 헤세의 작품에 등장하는 서번트이자 지도자인 레오의 모습에서 살펴지듯, 섬기는 리더는 자기계발을 바탕으로 주어진 사명과 임무에 성실하며, 낮은 자세로 헌신하고 봉사하려는 정신, 그리고 공동체를 보다 나은 미래로 이끌 수 있는 예지력의 소유자이다. 또한 섬기는 리더의 권위는 수평적 관계에서 비롯되며 타인으로부터 인정받는, 도덕적 권위임을 강조하였다. 그리고 S 리더십의 개념을 구성하는 4가지 요소들 - 창조적 지식(Spirit), 미래형 기술(Skill), 봉사적 성품(Service), 건강한 심신(Strength) - 은 상호 통합적으로 작용하여 발휘되는 리더십임을 설명하였다. 끝으로 S 리더십의 실천방안으로서, 섬기는 리더로서의 자질을 키우기 위한 자기계발의 단계와 숙명여대에서의 S 리더십의 교육프로그램 및 설천사례 등이 소개되었다.",장영은,2007,https://www.riss.kr/link?id=A76518176
방어기제에 관한 고찰,"방어기제에 관련된 연구를 고찰하면서 방어기제가 이론으로서 인정할 수 있느냐 없느냐는 논쟁에서 벗어날 가능성을 확인하였다. 확실히 방어기제 연구들은 객관적인 접근들이 가능하게 된 것이다. 그 대표적인 것이 Tolk(1983) Ihilevich Gleser(1986) 연구이다. 아직도 많은 사람들이 자기보고에 대해 부정적인 측면을 강조함으로써 방어기제가 인지적 기전으로 기대할 수 없을 것이라는 논쟁은 지나친 것이다. 임상경험을 체계화시킨 불안장애와 방어기제의 연구에서 불안한 사람일수록 공격, 백일몽, 투사, 고립기제들을 사용함으로서 불안한 사람의 자존심과 그들의 방어기제는 일반인 양식과 특성을 달리 예측될 수 있게 뒀다. 불안한 사람의 과다한 방어가 사회에 수용되기 어렵고, 적응에 실패할 가능성이 크고, 이에 대한 두려움으로 고립을 선택할 수 있다. 그러나 완전히 방어기제 사용이 특성을 보인다고 정신장애라고 규정짓는 문제는 더 많은 연구에서 밝혀질 문제이다. 또 하나 방어수준이 단일차원으로서 부적응과(Hann, 1963) 적응이라는 견해도 아직은 이르나 일반사람보다 정신장애자나 신체장애자들의 방어기제가 높고 특정한 방어기제를 더 사용할 것이라는 가정은 여러 연구에서 확인되었다. 방어기제를 많이 하는 정신과 환자의 특성이 일반인보다 특정한 방어기제를 더 사용한다(구본권 1991, 이인길, 이근후, 1991 ; 지성학, 정기영, 1991 ; Kold & Brodicc, 19824 ; Vaillant, 1986). 두번째는 자존심과 방어기제 관계에서 자존심이 높은 사람과 낮은 사람의 방어기제가 매우 의미 있는 차이로 방어기제와 자아수준과도 의미 있는 관계에 있음을 확인했다. 자존심이 높은 집단에서 방어기제를 고르게 사용하였으며 낮은 집단에서 특정한 방처기제를 많이 사용한다(구본권, 1993). 이는 자존심이 낮은 사람들이 적응에 대항하는 능력이 떨어지고 위협적인 자극을 감지할 능력이 떨어진다는 Coopersmith(1991)의 주장과 일치한다. 자존심이 낮은 집단에서 신경성 방어를 더 선택하고 미숙이나 정신병 집단의 사용에서는 더 심하게 사용하며 그 특징은 병리에 가까운 방어기제의 특징과 유사하다. 이는 정신과 환자의 비교에서 증거 되었다. 한편 방어기제는 자아구조의 사용된 성질을 저해하는 불건전한 행동으로 지목되고 자아강도가 약할 때 나타난다는 연구들과 관련하여 단정적인 해석은 아직 충분하지 못하다.
정신기능을 완전히 갖춘다는 것은 미상에 불과하며 모든 사람의 적응은 이 양극의 연속성의 어느 위치에 있는 정도의 차이와 연합으로 작용한다고 보는 것이 타당할 것이다(구본권. 1978). 이 논의의 결과에서 방어기제는 건전하게 장려하는데 공헌해야 한다고 지적한 Noyes(1960)는 방어기제는 병적인 것이 아니고 생물체를 유지하기 위한 매우 정상적인 기능이다. 따라서 치료목적은 방어기제를 제거하는데 있지 안고 오히려 그 기능이나 능력을 강화하는데 있다. 앞에서 언급했듯이 거의 모든 생물체는 자아방어기제를 가지고 있는데 동물이 자기 보존 욕구를 실현하는 것과는 다른 차원이다. 그래서 인간은 완전한 적응과 완전한 부적응은 실제로 존재하기 어렵다. 자존심의 위협을 방어하기 위해서는 병리적 사용에 한계가 있을 것이다. 이러한 사람들의 자존심 회복은 그 자체에 있는 젓이 아니라 사회적인 안정이나 연대감을 높여 주거나 회복에 두어야 한다.
앞으로 방어기제 연구는 갈등테마를 생활에서 제시하고 대응할 양식을 분석함으로써 인식과 선택의 유형을 이보다는 명확히 밝혀 낼 수 있을 것이다. 더 나아가 방어기제의 발달이 연령에 따라 어떻게 변화하는가도 연구의 관심이 될 수 있다. 연령이 높은 연구 대상에서 방어사용을 분명히 진술하기는 어려운 아동에 이르기까지 여러 연구대상에 사용할 수 있는 도구나 방법이 고안된다면 보다 많은 정신기전들을 방어기제 개념으로 밝힐 수 있을 것이다.",구본권,1994,https://www.riss.kr/link?id=A75001490
초기 청소년들의 유튜브 시청이 학업 성취도에 미치는 영향,"청소년의 유튜브 시청이 급증하며 유튜브 시청이 학업 성취도에 어떤 영향을 미치는지에 관심이 집중되고 있다. 본 연구에서는 유튜브 시청이 학업 성취도에 미치는 영향을 검증하고, 그 관계를 부모 중재, 또래 중재, 부모의 유튜브 시청량이 어떻게 조절하는지 살펴보았다. 이를 위해 초등학교 5, 6 학년 부모와 자녀 300쌍을 설문조사하였다. 연구 결과, 유튜브 시청은 초등학교 고학년 어린이의 학업성적에 부정적 영향을 미치는 것으로 나타났다. 또한, 초기 청소년들이 유튜브 시청에 대해 또래 집단의 영향을 받으면, 학업 성취도가 감소하는 것으로 나타났다. 가정에서 부모가 유튜브 시청을 많이 할수록 자녀의 학업성적이 낮아지는 현상도 관찰되었다. 조절효과 분석 결과, 부모가 제한적 중재를 하면 유튜브 시청이 학업성적 하락에 미치는 영향이 약화하는 것으로 나타났다. 즉, 자기주도 학습 습관이 완성되지 않은 초기 청소년들의 경우, 부모가 시청 시간과 프로그램에 대해 제한을 두면 유튜브의 부정적 영향이 감소하는 것이다.",최윤정,2022,https://www.riss.kr/link?id=A108331175
카페인 과잉섭취 및 중독이 혈청 내 전해질 농도에 미치는 영향,"본 연구의 목적은 고용량의 카페인 섭취가 인체 내 전해질 농도에 미치는 영향을 연구한 것으로 고농도의 카페인 함유 음료 섭취가 혈청 내에서 수분조절, 삼투압 유지, 산-염기의 평형 등에 영향을 미치는 Na K, Cl 농도에 어떠한 영향을 미치는지에 대한 연구에 초점을 두 었다. 카페인이 중추신경계에 다양한 영향을 미치는 것에 대해서는 많은 선행 연구를 통해 입 증되었고 이외에도 산소 소모량의 증가, 체내의 에너지 손실 및 대사율 증가, 면역과 소화계 에서 비장의 DNA, 합성 감소, 위액 분비 증가, 위 질환 유발, 위 점막 비대 등의 다양한 생리 적 변화를 유발하는 것으로 보고되고 있다. 또한 고용량의 카페인 섭취는 중추신경계 자극에 따른 각성작용으로 불면증, 고혈압, 두통 등의 부작용을 유발하고 다양한 전해질의 흡수 방해 와 유실로 각종 질환 유발에 영향을 끼칠 수 있음을 확인하였다. 이번 연구는 고카페인 음료 섭취 후, 혈청 내 전해질의 농도 차이를 확인하기 위한 연구로 진행되었으며, 실험에는 20세 이상의 남녀 대학생 36명이 참여하여 고농도의 카페인 함유 음 료(커피) 섭취 전후에 나타나는 혈청 내 전해질 농도를 측정하였다. 카페인 섭취 후 혈청 내 전해질 농도 변화에 대한 검사에서 고용량(4mg/kg 이상)의 카페인 섭취 전후에 나타난 Na, K, Cl의 혈청 내 농도변화는 Na(Pre; 142.88±5.45, Post; 140.80 ±0.82), K(Pre; 4.26±0.25, Post; 4.08±0.17), Cl(Pre; 104.83±2.61, Post; 103.13±1.62) 모두에서 유의한 전해질 농도의 감소가 나타났다. 이번 연구를 통해 확인한 고용량의 카페인 섭취 후에 나타난 혈청 내 전해질 농도의 변화는 체내에서 수분 평형, 삼투압 조절, 산-염기 평형 조절에 관여하는 전해질의 농도변화에 영향을 주어 고나트륨혈증, 저나트륨혈증, 고칼 륨혈증, 저칼륨혈증 등의 전해질 불균형 관련 질환을 유발 할 수 있음을 확인하였다. 다만 카 페인이 함유된 음료의 섭취 후 충분한 양의 수분이나 이온음료의 섭취는 일시적으로 불균형 이 초래된 전해질의 농도를 유지하는데 도움이 되므로 일상에서 섭취되는 카페인의 양만으로 전해질 불균형을 초래한다고 단정할 수는 없다. 그러나 고온 환경이나 충분한 수분의 섭취 없 이 체액의 손실이 있는 경우에는 전해질 불균형을 야기할 수 있는 카페인 함유 음료의 대한 섭취는 제한적으로 이루어져야 할 것이다.",김주용,2020,https://www.riss.kr/link?id=A106634669
종합병원 간호사의 환자안전문화인식과 조직의사소통만족이 안전간호활동에 미치는 영향,"본 연구는 종합병원 간호사의 환자안전문화인식과 조직의사소통만족이 안전간호활동에 미치는 영향을 파악하여 안전사고를 예방하고 간호사의 안전한 간호활동 및 효율적 관리를 위한 , 근거자료를 마련하고자 시도된 서술적 연구이다. 연구는 U광역시 종합병원에서 본 연구의 목적을 이해하고 참여에 동의한 159명을 대상으로 하였다. 수집된 자료는 SPSS/WIN Ver. 24.0 Program을 이용하여 Descriptive statistics, Independent t-test, One way ANOVA, Scheffe 사후분석, Duncan 사후분석, Pearson s correlation coefficient, Multiple regression으로 분석하였다. 연구의 주요 결과는 다음과 같다. 첫째, 종합병원 간호사의 환자안전문화인식의 총점은 5점 만점에 평균 3.39점이며, 조직의사소통만족은 3.23점, 안전간호활동은 4.13점으로 나타났다. 둘째, 종합병원 간호사의 환자안전문화인식과 조직의사소통만족 및 안전간호활동에 공통적으로 영향을 미치는 일반적·조직적 특성은 안전위원회, 안전캠페인 경험, 안전교육이 영향을 주는 것으로 조사되었다. 셋째, 종합병원 간호사의 환자안전문화인식, 조직의사소통만족, 안전간호활동 간에는 Pearson상관관계에서 유의한 양의상관관계가 있었다. 넷째, 안전간호활동에 영향을 미치는 요인은 다중회귀분석 결과 환자안전문화인식이 유의한 차이가 있었으며 설명력은 26.3%였다. 이상의 연구 결과는 종합병원 간호사의 환자안전문화인식이 안전간호활동에 가장 큰 영향을 미치는 것으로 입증하였다. 그리고 조직의사소통만족은 유의한 차이는 없었으나 상관관계가 있으므로 더 노력해야할 항목이며, 본 연구에서는 종합병원 간호사의 환자안전문화인식을 개선 할 수 있는 방안으로 안전위원회 구성, 안전위원회에서 활동해야 할 영역으로 가장 기본적인 안전캠페인과 안전교육, 그리고 안전간호활동을 위한 정부의 정책적 노력과 의료기관의 제도적 도입으로 자체적인 안전교육을 위한 프로그램 개발이 필요함을 시사하고 있다.",김지원(Kim Ji Won),2021,https://www.riss.kr/link?id=A107766388
