
유소년 축구 선수의 훈련 프로그램 구성 원리,"기술, 전술, 체력, 심리 등으로 구성된 경기력 결정 요인 중 기술 요인은 유소년 시절에 상당부분 발전한다. 유소년 시기의 체계적이고 과학적인 기술 훈련은 선수들의 기술을 향상 시킨다. 하지만 일선 지도 현장에서는 지도자의 경험에만 기반으로 한 기술 훈련이 행해지고 있다. 실제로 지도자 들이 유소년 축구 기술 훈련을 구성에 도움이 되는 자료가 많지않고 구성 원리에 대해서 다룬 자료는 거의 없는 실정이다. 따라서 본보고서는 체계적인 유소년 축구 기술 훈련을 구성 할 수 있도록 훈련 구성 원리를 제공하는데 목적이 있다. 훈련 구성 원리는 크게 다변수 변인과 단변수 변인이라고할 수 있다. 다변수에는 공간, 상황 변인이 있으며, 단변수에는 시간, 판단 변인이 있다. 공간 변인은 선수를 기준으로 앞, 뒤, 좌, 우, 공중 (앞, 뒤, 좌, 우)의 요인이
있고 상황 변인은 주변 선수 (팀동료, 상대팀 선수)의 위치와 움직임, 볼을 소유했을 때 혹은 소유하지 않을 때로 구분할 수 있다. 시간 변인은 주변 선수의 움직임, 공이 선수 본인에게 도달 하는 시간을 기준으로 느림, 중간, 빠름으로 구분할수 있고 판단 변인은 판단의 쉬움, 중간, 어려움으로 구분할 수 있다. 유소년 축구선수의 기술 향상을 위해서 이러한 원리를 고려하여 단계적이고 체계적으로 구성해야 한다.",주창화,2015,https://www.riss.kr/link?id=A30060359
e스포츠는 ‘진짜’ 스포츠인가?,"접근성이 인터넷에 기반하고 있는 e스포츠 산업은 초고속 인터넷과 스마트폰 보급 확산으로 최근 빠른 속도로 발전하고 있다. e스포츠의 경제적 가치뿐만 아니라 현재 전 세계적인 인기 때문에 이 주제에 관한 학계의 관심과 논의도 활발해지고 있다. e스포츠에 관한 학계의 주요한 논의 중 하나는 e스포츠가 ‘진짜’ 스포츠로 간주될 수 있냐는 것이다. 본 논문의 목적은 학문적으로 허용되는 스포츠의 개념 정의에 대한 담론을 자극하고 e스포츠가 스포츠로 간주되어야 하는지 여부를 규명하는 것이다. 이러한 연구의 목적을 달성하기 위해, 먼저 저명한 철학자인 Suits(1978, 1988, 2018), Guttmann(1978), Parry(2006, 2019)가 제시한 스포츠의 철학적 정의와 스포츠가 되기 위한 필수 구성요소들을 고찰함으로써 e스포츠의 스포츠로서의 자질 여부를 분석하기 위한 이론적 틀을 도출하였다. 다음으로 비디오 게임이 e스포츠로 인정받기 위한 필수조건과 충분조건을 분석하기 위해 e스포츠의 개념과 관행을 살펴보았다. 끝으로 스포츠의 조건과 특성에 e스포츠가 어떤 방식으로 부합하고 있는지를 분석함으로써 e스포츠가 스포츠로 고려될 충분한 이유가 있음을 주장하였다. e스포츠가 자발적 놀이의 성격과 승자와 패자를 결정짓는 경쟁을 포함하고 있으며, 규칙에 의해 구성되고, 승리를 위해서는 다양한 기술과 전략이 요구되며, 빠른 움직임, 집중력, 지구력, 신체 통제 등의 신체성도 포함하고 있을 뿐 아니라, 오늘날 광범위한 지지층의 확보와 제도적 틀도 갖추고 있는 한, e스포츠는 스포츠로서 인정되어야 한다.",박성주 ( Park Sungjoo ),2020,https://www.riss.kr/link?id=A102319720
축구 경기 페널티킥(승부차기)에 관한 연구 동향,"본 연구는 축구경기 페널티 킥(승부차기)에 관한 연구들을 역학적, 심리적 측면으로 접근
하여 분석하므로써 골키퍼나 킥커의 성공률을 높이는 데 그 목적이 있다. 이러한 목적을
위해 국내외의 승부차기와 페널티킥에 관해 연구된 논문들을 고찰하였다. 그 결과 첫째,
역학적 측면에서 골키퍼는 킥 방향 예측의 단서 영역에서 어깨와 디딤 발의 고정시간 비율
이 높게 나타났으며, 킥카의 킥 동작 시 어깨(몸통) 각도와 디딤 발에 따라 방향이 결정되
고 성공률과 비례함이 조사되었다. 둘째, 심리적 측면에서 킥카들의 승부차기과정에서 습
관요인, 방해요인, 심리적 대처방안이 나타났으며, 습관요인은 방향설정, 징크스 행동, 골키
퍼 견제, 호흡, 발걸음 수 공식화, 기타로 방해요인은 실패나 걱정, 자신감부족, 집중력 감
소, 긴장 및 불안감, 방향설정 갈등으로 대처방안으로는 자신감 갖기, 자기위안, 심호흡, 목
표설정, 심상, 무시 및 몰입을 사용하는 것으로 조사되었다. 따라서 다양한 심리적 기법과
역학적 방법이 병행되어 교육이 이루어질 때 페널티 킥의 성공률은 높아질 것이다.",박해용,2014,https://www.riss.kr/link?id=A108279863
4차산업혁명과 스포츠융복합산업의 적용 사례 분석,"본 연구는 스포츠융복합산업에 대한 정의를 재정립하기 위해 스포츠산업에 대한 이론을 전반적으로 검토하고 4차산업혁명과 스포츠융복합산업의 적용 사례에 대한 다각적인 분석을 통해 스포츠융복합산업에 대한 개념을 보완하였 다. 본 연구에서 두가지 연구 문제를 제시하여 얻은 결론은 다음과 같다. 스포츠와 연계 가능한 융복합 산업은 웨어러블디 바이스, 데이터베이스, 게임화, 스포츠영상기술, 스포츠체험의 시공간 확장 등과 연계 가능한 분야이다. 4차산업혁명과 스포츠융복합산업의 적용 사례로 인공지능(AI)은 골프, 탁구, 바둑, e스포츠에서 사례를 찾아볼 수 있었으며, 사물인터넷 (IoT)를 적용한 사례로는 축구, 미식축구, 요트, F1 등의 사례가 나타났다. 빅데이터(Big Data)를 적용한 스포츠는 야구, 아웃도어, 농구 등에서 사례를 찾을 수 있었으며, 증강/가상현실(AR/VR)의 적용은 농구, 스키, 서핑, 래프팅 등이며, 클라 우드(Cloud)의 적용은 F1, 미식축구, 야구, e스포츠, 그리고, 모바일(Mobile)은 스마트경기장, 모바일게임, 블록체인 (Blockchain)은 생활스포츠플랫폼과 경기예측, 스포츠미디어 등에 적용 되었다.",한남희,2020,https://www.riss.kr/link?id=A99923105
코로나19와 여가생활의 변화: 2020 국민여가활동조사 결과를 중심으로,,"김의재(Kim, Eui-Jae)",2021,https://www.riss.kr/link?id=A108650407
프로산하 고교축구선수와 일반 고교 축구선수의 신체구성 및 체력에 관한 연구,"본 연구는 프로산하 고교 축구선수와 일반 고교 축구선수들을 대상으로 신체구성 및 체
력, 유산소성 능력을 비교 분석하여 축구현장 지도의 기초자료를 제공하고 과학적인 트레
이닝을 위한 기초자료를 제공하는데 목적이 있다. 연구대상자는 프로산하 고교축구선수 29
명과 일반 고교축구선수 28명, 총 57명이였다. 연구방법은 신체구성, 체력, 유산소성 능력
을 측정하여 비교 분석하였으며 자료처리는 SPSS 18.0을 이용하였고, 집단간 차이 검증은
독립 t-test를 실시하였다. 연구결과, 프로산하 고교 축구선수와 일반 고교 축구선수들을 대
상으로 신체구성 및 체력, 유산소성 능력을 비교 분석하여 축구현장 지도의 기초자료를 제
공하고 과학적인 트레이닝을 위한 기초자료를 제공하는데 목적이 있다. 연구대상자는 프로
산하 고교축구선수 29명과 일반 고교축구선수 28명, 총 57명이였다. 연구방법은 신체구성,
체력, 유산소성 능력을 측정하여 비교 분석하였으며 자료처리는 SPSS 18.0을 이용하였고,
집단간 차이 검증은 독립 t-test를 실시하였다. 연구결과, 신체구성의 하위 변인 중 체중에
서 프로산하 고교 선수들이 일반 고교 선수들 보다 통계적으로 유의하게 컸고(p<.05), 신체
질량지수는 프로산하 고교 선수들이 일반 고교선수들 보다 유의하게 낮았다(p<.05). 체력
요인의 배근력과 윗몸일으키기에서는 프로산하 고교선수들이 일반고교 선수들 보다 통계적
으로 유의하게 우수하였다(p<.05). 또한, 유산소성 능력의 하위 요인인 최대산소섭취량에서
프로산하 고교 선수들이 일반 고교선수들 보다 통계적으로 유의하게 우수하였다(p<.05).",김창원,2014,https://www.riss.kr/link?id=A106911687
태권도 사범 역할에 대한 인식의 차이,"이 연구는 태권도 지도 외에 다양한 업무를 수행하는 사범의 역할에 대하여 태권도 관장이 인식하는 사범의 역할과 사범이 인식하는 사범의 역할은 무엇인지 그 인식의 차이를 알아보는데 그 목적이 있었다. 이를 위해 현재 수도권 내에서 태권도장을 5년 이상 운영하고 있는 태권도 관장 5명과 태권도학과 재학생 5명을 대상으로 심층면담을 실시하였고, 다음 과 같은 결론을 도출하였다. 첫째, 태권도 사범의 역할로는 태권도장 운영에도 어느 정도 참여를 해주었으면 하는 부분과 사범은 태권도 지도와 교육에 힘써야 한다는 입장으로 나뉘어 도장을 운영하는 관장과 태권도학과 재학생 간의 차이를 보이는 것을 알 수 있었다. 둘째, 사범이 갖추어야 하는 자질과 요건에 대해서는 타인에게 모범이 될 수 있는 인성과 수련생 을 대하는 마음가짐, 소통할 수 있는 능력을 갖춰야 한다는 의견에 있어서 일치하는 부분이 있었다. 셋째, 태권도 사범의 처우에 대해서 태권도학과 재학생인 연구참여자는 사람들의 인식과 월급, 휴게시간에 대해 처우 개선이 필요하다고 인식 하는 반면 태권도 관장은 현재 태권도 사범의 처우는 예전보다 많이 좋아졌다고 밝혀 사범의 처우에 대한 인식의 차이가 존재한다는 것을 알 수 있었다.",김서경,2020,https://www.riss.kr/link?id=A102319716
조셉 필라테스의 생애사로 본 필라테스의 기원과 형성배경,"본 연구의 목적은 필라테스의 기원과 운동의 형성 배경을 알아보기 위해, 조셉 필라테스의 생애와 형성배경에 내재하고 있는 필라테스의 역 사를 살펴보는 것이다. 이러한 연구목적을 수행하기 위하여 조셉 필라테 스가 저술한 저서와 관련 서적, 근대유럽의 체조 운동 및 체육사상에 관 련된 국내외 학술지 논문 및 학위논문 등의 문헌고찰과 선행 연구를 고 찰하여 루소의 자연주의 및 트루넨이 조셉 필라테스 에게 영향을 준 것 을 고찰하였다. 조셉 필라테스(Joseph Hubertus Pilates)가 창안한 필라테 스는 처음에는 조절학(contrology)이라 칭하였고, 그의 사후에 제자들에 의하여 미국 전역에서 창시자의 이름인 필라테스로 계승 발전되어 현재 까지 이르게 된 운동이다. 이러한 조셉 필라테스 생애와 운동의 사상적 배경을 살펴보는 것은 필라테스 역사와 운동학적 가치를 이해하는데 그 의미가 있다고 할 수 있다.",전지윤,2023,https://www.riss.kr/link?id=A107086606
파킨슨병의 치료 및 예방을 위한 운동과학적 분석,"본 연구는 파킨슨병의 개념, 원인, 증상 등을 분석하고 동시에 운동중재의 선행연구들을 심도 있게 분석하며 파킨슨병에서 운동치료의 중요성과 가장 효율적인 운동방법 및 운동강도 등을 구체적으로 제시함으로써 임상현장에서 파킨슨 질환자들에게 중요한 운동치료의 지침을 제공하고자 하였다. 파킨슨병은 뇌의 흑질(substantia nigra)에 분포하는 도파민 결핍에 기인하여 발생하는 중추신경계의 만성 진행성 퇴행성 질환으로써 알츠하이머 다음으로 호발하는 질환이다. 대표적인 증상으로는 진전(tremors), 운동완서, 강직, 자세 불안정이 나타나며 일반적으로 진전 증상이 선행되어 나타난다. 파킨슨병은 현재로선 완치가 불가능한 것으로 알려져 있어, 파킨슨병의 치료 초점은 질병의 진행 억제나 증상의 완화에 중점을 두고 있으며 치료방법으로는 약물치료와 수술적 요법, 물리치료 및 최근 이슈가 되는 운동요법 등이 있다. 최근 운동요법은 파킨슨병의 전 단계에 걸쳐서도 부작용이 없고 환자의 개별증상을 바탕으로 운동기능회복과 신체기능의 향상을 도모할 수 있다는 점에서 기본적인 약물 치료와 함께 복합적인 운동치료 처방에 관심이 높아지고 있는 실정이다. 그러나 현재까지 파킨슨병에 대한 수많은 연구들이 수행되어져 왔으나 운동요법을 가지고 면밀한 분석을 이룬 연구가 미미하여 파킨슨병에 대한 운동치료에 관한 체계적인 연구진행이 어려운 실정에 있다. 따라서 본 연구에서는 선행연구들을 면밀히 검토하여 파킨슨병의 원인분석을 시작으로 파킨슨병의 구체적인 증상 및 운동과 파킨슨병과의 연관성을 분석하고 파킨슨병에 대한 구체적인 운동의 종류 및 방법과 강도 등을 제시할 뿐만이 아니라 운동의 다각적인 처방효과를 제시하고자 한다. 결론적으로 본 연구를 통하여 파킨슨 질환자들에 대한 파킨슨병 예방 및 치료를 위한 운동과학적 분석과 운동처방에 대한 지침을 제공할 수 있을 것으로 여겨진다.","박성모(Park, Sung-Mo)",2014,https://www.riss.kr/link?id=A107981434
온라인게임 아이템거래 발생 원인 분석,"아이템 거래의 속성에 대해서는 그동안 많은 연구가 진행되어 왔으나, 막상 아이템 거래의 발생 원인에 대해서는 설문조사 등의 방법만 수행되어 왔고, 온라인 게임 내에서의 경제 분석 에 의한 연구는 이루어지지 못하였다. 따라서 본 연구는 온라인 게임 내에서의 아이템 수요와 공급에 대해 역할참석, 직접관찰, 관련자 면담 등의 방법을 사용하여 게임 내에서의 아이템 거래의 원인을 분석하였다. 분석 결과 아이템 거래가 일반 게이머들 사이에서 차지하는 비중은 크지 않으며, 인챈트를 즐기는 소수의 게이머, 혈전 및 공성전을 수행하는 사람들 사이에서 중점적으로 발생한다. 또 주된 아이템 공급자는 일반게이머가 아니라 작업장이다. 즉 아이템 거래는 소량으로 적은 액수를 거래하는 다수의 게이머와, 대량으로 많은 액수를 거래하는 소수의 매니아 게이머에 의해서 발생한다. 이러한 아이템 거래의 소수 집중적 속성을 파악하는 것은 아이템 거래와 관련된 제반 정책 및 사회적 영향을 검토하는 데에 기반 지식으로 활용될 수 있을 것이다.",최성락,2007,https://www.riss.kr/link?id=A102319715
