
오이디푸스 신화의 수용과 변형,"This paper is intended as an investigation of how Oedipus` myth was received and transformed not only in Homer, Hesiod, and Thebaid epics, but also how it was interpreted by Aeschylos and Sophokles. This investigation focuses especially on the reception and transformation of Oedipus` myth in Sophokles` Oedipus the King, and it will show how great and unique this drama turned out to be. Compared with Sophokles` Oedipus the King, Homer`s Odyssey 11, 271-280 did not further develop motives, such as children of incest, self-punishment in terms of blinding oneself and expulsion from the city of Thebes. Such motives only became fully developed in Greek Tragedy. Following the motives of the Thebaid epics, indeed, Aeschlylos repeated those motives, such as the family curse and the role of the Furies in his Theban trilogy, Laios, Oedipus, and Seven against Thebes. But the poet introduced the children of incest motive to dramatize both the mutual destruction of Oedipus` two sons and the downfall of his royal family. On the other hand, the fate of Oedipus` royal family, especially in Seven against Thebes, was dramatized to signify the rescuing of the city state. Sophokles transformed Oedipus` myth not in the dramatic form of a trilogy, but in the condensed unit of Oedipus the King; he did not dramatize the whole complex of the downfall of Oedipus` royal family, but rather highlight Oedipus` tragic fate. Furthermore, in dealing with an Aeschylean plot pattern Sophokles invented a new plot pattern, i.e. error - recognition - self-determination to dramatize not only the main theme of Oedipus the King, the limitations of human knowledge, but also to portray Oedipus` heroism. The theme of the limitations of human knowledge was intensively dramatized by the poet`s use of dramaturgy, such as the confusion of one and many, tragic irony, and tragic dialectic. Despite its overall emphasis on the theme, Oedipus the King gives the impression that Oedipus, the incarnation of historie(""inquiry""), comes to transcend the limitation of human knowledge through his heroic self-determination. This leads to a paradoxical reconciliation of opposites through concepts, such as suffering and knowledge, progression of human knowledge and religious belief, and tradition and innovation. Accordingly, Sophokles seems to send a message of reconciliation to the conflicting political positions in the city state of Athens.",김기영 ( Kee Young Kim ),2007,https://www.riss.kr/link?id=A101879124
양극성 장애 회복을 위한 마음챙김 적용 연극치료 - 20대 여성 개인 사례를 중심으로 -,"This study aims to qualitatively analyze the recovering process of a bipolar female subject through an individual case of mindfulness-applied drama therapy. To achieve this goal, we first examined the subject’s characteristics and the mindfulness-applied drama therapy program, then analyzed the observed process of change. For the successful therapeutic program, relieving the subject’s analytic attitude was the first thing to accomplish. In this phase, drama therapy, which induces projecting through utilized stories, was relatively more effective than mindfulness meditation. We were also able to note that the ‘Top-Down Approach of Drama Therapy’ was more effective in opening herself up emotionally than the ‘Bottom-Up Approach of Mindfulness Meditation’ due to the extremely cognitive disposition of the subject, signifying the importance of harmonizing and balancing both ‘bottom-up’ and ‘top-down’ approach to maximize the synergy. Through drama therapy, the subject displayed an attitude change in 3 aspects: ‘self-acceptance’, ‘family relationship’, and ‘romantic relationship’. It was especially the subject’s process of finding honest insight and acceptance regarding her relationship with her parents that became imperative for recovery. As a result, the subject’s tendency improved from analyzing and censoring herself to placating and accepting herself for the way she is. In conclusion, this study signifies the effectiveness of the mindfulness-applied drama therapy through a bipolar subject’s recovery process and offers a method of clinical extension for both drama therapy and mindfulness therapy.",백소미,2023,https://www.riss.kr/link?id=A108638658
가족이라는 레트로토피아 ―텔레비전드라마 <응답하라 1988>을 중심으로,"A Television drama didn't deal with the sensitive political and social problems of 1980s, and therefore failed to reflect on the dark side of the society at that time represented by the 1988 Olympics and etc. In this drama, the efforts to look beyond the alley of Ssangmun-dong were given up, and all meanings and values were given to a family. That's why the main motive of the previous series, ‘finding the husband’, relatively didn't stand out compared to the previous work. Yet, in Eungdabhara 1988, a certain distance was kept from a patriarchal family based on the division of labor by gender. In the drama, a father's authority had become weak and a mother's right to speak had been strengthened. Moreover, beyond the division of each family, communal solidarity as a kind of pseudo-family was emphasized. However, in this process, a devoted mother's role in a family was more stressed out, and a pseudo-family was also concluded to become reborn into a real family through marriage. Therefore, the alternatives from the past found in this soap opera while facing the reality where the existence of a family itself is in danger are only empty.",백소연,2019,https://www.riss.kr/link?id=A106377117
스타니슬랍스키 연극론에 있어서 배우와 역할의 관계,"This study reviewed ‘System’ suggested by Stanislavsky and “Creating a Role” written by him, in order to look into Stanislavsky’s thought on the relationship among actors, roles in a play and roles to be played on a stage. “Creating a Role” was not completed by Stanislavsky but by editors after his death. There are differences in times when each chapter was written and also in the author’s attitude and opinion toward the creation of a role. In the early years he emphasized that actors should dam up and control their feelings, and maintained that they should define the essence of emotion and should grope for actions to bring out it. In later years, however, he proposed ‘the method of physical actions’ based on imagination and improvisatory acting, suggesting that it should come before what actors analyzes a play and their roles. Even so, they are little different in the attitude toward plays and ways to create a role based on the actor’s physical activity and experience and to feel the play. Stanislavsky maintained that performing arts should be centered on creative actors, and his thought led to a study on the system. He wished actors to have experience of existing as their roles on the stage. Of course, he did not hope to get rid of the boundary between actors’ own selves and their roles on the stage. He particularly stressed that actors should be immersed in their roles but at the same time should be aware of themselves as actors. Actors are not characters on the stage. Actors comprehend their roles and lead their lives on the stage, and at the same time, they are subjects who control their roles consciously. Stanislavsky believed that without actual experiences, actors could not make the characters come to life on the stage. Such experiences are what he wanted to gain with the method of physical actions. In this regard, an actor should be an actor as well as a controller; specifically, an actor should completely go into the character and act the character so as to communicate them to the audience. Herein lies the artistic completeness of which Stanislavsky dreamed.",이진아 ( Chin A Lee ),2014,https://www.riss.kr/link?id=A101879328
정연두 다원예술의 창작 원리 -매체 특정성의 포월(匍越 )을 통한 매체의 재창안-,"In this article, I examined the creative principle of Jung Yeondoo's works, which are understood as inter-disciplinary art through Krauss's post-media discourse. Especially, it focused on his work of expanding the exhibition of the art museum to performing arts. In relation to it, I analyzed the first solo exhibition of Jung Yeondoo, Borama Dance Hall(2001) and his major works after that to explore how the potential possibility of being composed of performing arts was embedded by ‘post-’the media specificity of photography art. DMZ Theater(2021), which was combined with the total of such potentials to subsume-transcendency(포월) by ‘post-’the media specificity and create new aesthetic effects; that is the reinventing the medium. In DMZ Theater, the medium that constituted the exhibition worked as the element that constituted the performance; photographs, images, and formative objects were related to the body of the performer and created the effect of performing tourism. The inter-disciplinary art that presupposes the pluralism can not be explained like this; it fused with each art genre and their medium not hierarchically but democratically. Jung Yeondoo's work can also be understood as a inter-disciplinary art in terms of reinventing the medium beyond the medium specificity in the mode of subsume-transcendency(포월). Beyond the hybridization of art genres or the expansion of media due to digital technology, art media in the analog era can be reinvented as a new medium through digital technology. However, in order for the method of reinventing to become ‘art’ rather than pluralism, the creator's self-consciousness is required to reflect on what the meaning of art is and what the meaning of art work is. For Jung Yeondoo, it is to realize someone's dreams and memories through art and to restore the value of the forgotten experience of the social community.",김기란,2022,https://www.riss.kr/link?id=A108041166
"미야자키 하야오 < 하울의 움직이는 성 >에 나타난 ""자기실현"" 과정","Miyazaki Hayao verwendet und variiert verschiedene Mythen in Die bewegende Burg Hawuls. Dadurch werden phantastische Figuren entstanden, z.B. Hawul, Kab, Kelschifer, Hin, etc. Im Zentum des Films steht ein Machen Sophie, das fleiβig arbeitet aber von Persona unterdukt wird. Am Anfang scheint sie passiv und ein biβchen depressiv zu sein. Aber sie fangt langsam an, ihre Situation zu andern. Sie will wissen, wie sie wirklich leben will. Im Weg zur Schokoladenladen, wo ihre Schwester arbeitet, trift sie zufallig den Zauberer Hawul. Sie fliegen zusammen mit Hilfe von der Zauberkraft Hawuls. Demzufolge geriet sie in die Krise durch die Verflucht der Hexe in der Wuste. Sophie wird plozlich zur 90jarigen alten Frau. Sie steht aber ihre Krise gegenuer und geht ihren Weg fort, um Selbst zu finden. Im Film liegt der Schwerpunkt auf den Prozeβ ihrer Selbstverwirklichung. Nach Jung gibt es das Selbst im Zentrum des Unbewuβ tseins. Am wichtigsten des jedes Leben des Individuums ist gerade das Selbstwerden. Jung bezechnet es als Selbstverwirklichung bzw. Individuation. Der Film zeigt sich, wie Sophie ihres Selbst verwirklichen. Dazu tragt Hawul als Animus bei. Er regt ihre Taferkeit an. Kabe und Hin helfen ihr mit. Durch diesen Prozeβ befreit sie sich von ihrem Persona und erreicht das Selbst. Sie kann endlich ihr Selbst und ihr Gemeinschaft-Hawul, Kelschifer, Mark, die Hexe und Hin- wirklich lieben und dadurch gerettet werden.",이상란 ( Sang Lan Lee ),2014,https://www.riss.kr/link?id=A101879333
방송매체를 통한 연극치료 사례연구 - TV프로그램 <요즘육아 금쪽같은 내새끼> 사례를 중심으로 -,"This study aims to investigate the significance and value of drama therapy through the analysis of a case study from the parenting coaching program <My Precious Child: Modern Parenting> broadcasted on TV. The specific focus of this research is to examine the case of drama therapy conducted through the broadcasting media and explore its implications.
To achieve this, the therapeutic value implied in the TV program <My Precious Child: Modern Parenting> as well as its narrative structure and therapeutic factors in drama therapy, were examined. Based on this foundation, the analysis of the case revealed that drama therapy facilitated emotional catharsis and promoted self-awareness among the participants. These therapeutic factors were found to be effective in facilitating psychological and relational changes among the participants. However, it is important to acknowledge that broadcasting media cannot ignore viewership ratings. Therefore, drama therapy facilitators may face psychological pressure to bring about therapeutic changes in participants within a limited time frame. Despite this challenge, the therapeutic process showed similarities to clinical settings. This study holds academic significance as it establishes the foundation for case studies on drama therapy within the broadcasting media for the first time.",이지은,2023,https://www.riss.kr/link?id=A108638660
만화 원작 TV 드라마 연구,"In these days, there are many creatures based on the original cartoon. The cartoon has been regarded as the very low quality of entertainment business. Since ""공포의 외인구단"" written by Hyun Sae Lee, the points of view have been changed a lot and become popular among people. This factor is influenced in making various pictures based on the original cartoon. It also has been affected in TV drama business as well. In recent, there are various strategies to generate the high profitable media business in terms of using from the very low cost of cartoons so called ""One Source-Multi Use"" concept for game, film, broadcast, performance industries and so on. Although the various activities in entertainments business, there is very little progress in researching cartoon business and rare to research the cartoon text. For example as ""Full House"" and ""Palace"", I would like to raise issues which we have to consider dramatizing the original cartoon into drama. In cartoon, the characters are mostly stereotypes and the story is based on the very simple plots/conflicts. There can be allowed to abbreviate and a leap of imagination but in drama, it`s more focused onthe reality rather than imagination. If a drama describes or tells the whole story just like a cartoon, it could be very difficult to persuade or transfer the original propose to audiences. Due to these reasons, we have to put the characters more realistic, the plot is more complicated, more conflicts between characters, and more coherent story.",남승연 ( Seung Youn Nam ),2007,https://www.riss.kr/link?id=A101879126
놀이로서의 연극,"En attendant Godot de S. Beckett est considere comme theatre d’absurde ou anti-theatre representatif. Dans ce theatre, le plot et le theme ne sont pas clairs et le deroulement de l’histoire est ambigu. Le coq-a-l``ane de deux personnages, deux passants etrangers et le Garcon qui parle de Godot font un drame. Il n’y a pas de commencement, ni deroulement, ni fin, mais il y a seulement le devoir d’attendre quelqu’un inconnu. La presentation dramatique que les personnages montrent est ressemblante au jeu d’enfants. L’action des heros est presque proche celle d’enfants. Conversations d’insanite, farces, mises en boite, et pertes de la memoire dans cette piece sont-elles des caracteristiques du jeu? Si nous voulons lire En attendant Godot par la notion du jeu, nous devons comprendre exactement la notion du jeu. Le jeu qui est considere traditionnellement comme negatif depuis la philosophie de Platon, s``illumine de nouveau dans le domaine de l’esthetique chez Kant. Alors, en saisissant une signification philosophique et culturelle du jeu de notre temp, nous allons le mettre pour l``instrument de l’analyse d’En attendant Godot. Quand on regarde En attendant Godot par l’angle du jeu, nous pouvons elargir l’horison du theatre d’absurde, comprendre a neuf des actions absurdes des personnages et le sens de Godot. Deux hypotheses sont possibles, si nous apprehendons cette piece absurde dans le point de vue du jeu. Premierement le theatre d’absurde signifie le theatre anti-aristotelicien. Ce theatre comme un rite pour le culte dionysiaque, vise au celui original compose par la desordre et l``anti-regle. Deuxiemement, il signifie l’anti-raison et l’anti-science. Selon Huizinga, ce theatre s``oppose a l’idee bourgoise et au theatre realiste. L’adulte qui joue comme un enfant est un etre d’absurde. Vladimir et Estragon sont des personnes qui incarnent l’absurdite. L’homme absurde est alors tragique? ou bien negatif? D’apres Lanson, ce n’est pas toujours comme ca. Par le plus grand des hasards, l’homme absurde est positif et un possesseur de la conscience raisonnable. Par exemple, Camus montre l’homme absurde en dessinant des confrontations entre le monde irraisonable et la raison de l’etre humain dans ses oeuvres. Puis il y montre un modele de l’homme absurde qui veut decouvrir la bonheur a la fois en confirmant une condition de l’homme et en sentant avec finesse la rupture entre le soi et le monde. Chez Camus, une seule chose que l’homme peut faire se revolte contre cette absurdite du monde. Qui est Godot? C’est la question la plus repetee dans la piece de Beckett. Mais avant cette question, nous devons poser d’autre question; ne pas savoir l’objet d’attente, ne pas savoir la fin d’attente et seulement le fait d’attente est clair, qu’est ce que cela veut dire? Si nous considerons En attendant Godot comme un jeu, cette question peut se denouer facilement. D’ailleurs, nous avons besoins de poser des questions sur le sujet, le moyen et le but du jeu. Dans la mesure ou la scene d’En attendant Godot est une presentation, non pas une representation, nous devons mettre les personnages presents sur scene au point, au lieu de la personne imaginaire(Godot). Par la, le drame et le jeu etendu par les deux clowns peut devenir notre realite.",이선형 ( Sun Hyung Lee ),2014,https://www.riss.kr/link?id=A101879334
자폐스펙트럼장애 아동의 화용발달을 위한 DvT 연극치료모델 집단 언어치료,"This study concerns theatrical group language therapy based on DvT model for children with ASD. We describe and discuss the working process and results. The purpose of the study is to develop pragmatic skills of participants, especially social interaction, turn-taking, and symbolic play. The program contains 10 sessions. For the first two session, the program focuses on sensory-motor activities such as gestures, vocalization, auditory sensation, and touch. For the following sessions, the program focuses on the role-play and synthetical activities using yellow chair, sound effects, and lighting effects. In the beginning of a session, the activities were gestures, vocalization, and auditory sensation. In main activities of the session, the participants played theatrical activities. At the beginning of this work, participating in activities was difficult for the ASD children, because of their behaviors such as crying and going away from the activity room. However, their negative behaviors were gradually attenuated, they are desensitized of sound and obscurity, and finally the participants could do their role-play. Although this program adopted the DvT model, we just reached to somewhere between the sensory-motor stage and pre-operational stage, not a mature stage because it was a short program of 10 weeks. Nevertheless, the fact that they could do their role-play shows a kind of symbolization on the fictive and symbolic space.",배희숙 ( Hee Sook Bae ),2015,https://www.riss.kr/link?id=A101879347
