
"OTT 시장이 영화산업에 가져온 영향의 양면성 - 영화 〈경마〉, 〈승리호〉를 중심으로","영화의 미래는 무엇일까? 통신기술의 발달과 스마트 디바이스의 보급으로 인해 영상 콘텐츠산업의 구조가 격동의 변화를 겪고 있다. 코로나 사태의 영향으로 사회구조가 급변하는 시대에서 영화의 미래는 모든 영화인들의 주요 관심사이다. 코로나19 사태 이후, 영화상품의 전통적이고 중요한 유통창구인 극장은 큰 충격을 받았으며 생존의 위기에 처하였다. 이로 인해 점차 많은 영화들은 OTT 시장에 진출하게 되었으며, OTT 시장이 점차 영화산업의 중요한 부분이 되어가고 있다. 그러나 역사 속 기술의 발전에 따라 매순간 혁명적인 변화를 겪어온 영화와 새롭게 발걸음을 내딛은 OTT 서비스의 융합의 길엔 아직 긴 여정이 남아있다.
이 글에서는 코로나19 사태 이후, 처음으로 극장개봉에서 OTT 플랫폼 개봉으로 전환하여 이익을 낸 중국의 블록버스터 〈경마〉와 넷플릭스의 손을 잡아 화제가 되고, 수익을 낸 한국영화 〈승리호〉의 사례를 분석함으로써 현재 OTT 배급 현황 및 그에 따른 영향을 고찰하였다. 결과적으로 OTT 플랫폼은 전통적인 영화 배급 구조를 파괴시키고 있으나, 영화에게는 새로운 유통 창구를 제공하여 더 다양한 콘텐츠의 생산을 자극하기도 한다. 또한, OTT 플랫폼과 영화사 간의 판권 거래를 통해 영화산업에게 상대적으로 안정된 제작환경 방안을 제시하는 한편, 그 과정에서 최대한의 수익 창출 가능성을 잃게 되는 이중적인 측면이 존재한다.
그러므로 OTT 시장의 확장은 영화산업에게 있어 새로운 도전이자 기회라고 할 수 있으며, 그 과정을 거쳐 더 보완된 OTT 배급 시스템과 더 안정적인 영화 제작 환경을 구축하기 위해 꾸준한 도전을 필요로 한다.",마신웨(Ma Xinyue),2021,https://www.riss.kr/link?id=A107826124
주인공의 경계선 성격장애 분석과 <헤어질 결심>의 주제 의식,"이상심리는 영화와 드라마, 연극에서 자주 다루어지는 소재이다. 영화에 등장하는 등장인물들의 다양한 이상행동(abonamal behavior)은 현대 사회에서 어렵지 않게 관찰할 수 있다. 관객들은 영화에서 표현되는 등장인물의 성격과 행동을 보며 타인에 대한 다양한 행동 양상을 이해하게 된다.
영화에서 표현되는 등장인물의 행동은 영화의 핵심이며 영화의 시작과 끝이라 해도 과언이 아니다. 따라서 등장인물의 행동은 일상의 현실보다는 좀 더 극적으로 과장되고 의미를 부여한 행동이다. 그러나 극적으로 표현된 인물이라 하더라도 박찬욱 감독의 영화 <헤어질 결심>의 여자 주인공의 행동은 일반적인 정상의 범주를 벗어난 특이한 행동 패턴을 가지고 있다.
DSM-5의 진단준거에 의하면 성격장애에는 편집성 성격장애, 조현성 성격장애, 조현형 성격장애, 반사회성 성격장애, 경계선 성격장애, 연극성 성격장애, 자기애성 성격장애, 회피성 성격장애, 강박성 성격장애, 의존성 성격장애가 있으며 유사성을 기준으로 A군집, B군집, C군집으로 분류된다.
영화 <헤어질 결심>의 여자 주인공‘서래’는 극적, 감정적, 충동적인 사람으로 표현되는데 이러한 성격은 B군 성격장애의 진단적 기준에 속한다. B군 성격장애에는 반사회성, 경계선, 연극성, 자기애성 성격장애가 있으며 그 중‘서래’를 본 연구자는 경계선 성격장애로 진단하였다.
본 연구자는 주인공을 성격장애(Personality Disorder)의 진단적 특징으로 분석하며 주인공‘서래’의 행동(action) 즉 성격(Character)을 통해 영화가 말하고자 하는 핵심 주제를 이해할 수 있게 되었다. 또한, 이러한 등장인물의 다양한 행동 분석을 통하여 영화의 심리치료적 가능성을 확인했다.",이현숙 ( Hyun-sook Lee ),2023,https://www.riss.kr/link?id=A108702905
포스트 코로나 시대 독점적 1차 시장으로서 영화관의 존속 : 구독제 서비스와 버추얼 시네마를 중심으로,"영화산업의 판도가 바뀌고 있다. 할리우드 메이저 스튜디오들은 극장 중심 시장 구조를 벗어나 OTT 분야에 진출을 가속화하고 있다. 드림웍스가 제작하고 유니버설이 배급한 <트롤: 월드투어>처럼 할리우드 스튜디오가 자사 계열 OTT 서비스에 공개하거나, 넷플릭스가 제작한 <맹크>, <힐빌리의 노래>처럼 2주간 극장 개봉 후 서비스를 개시하는 식으로 독점적 1차 시장으로서 극장과 OTT의 경계가 무너지고 있다. 세계 최대영화투자사로 성장한 넷플릭스가 2019년 미국 영화협회(MPAA)에 가입한 시점부터 예견된 현상이다.
최근 영화시장의 변화는 극장 중심의 한국 영화시장 변화를 재촉하고 있다. 극장 시장의 회복과 함께 영화산업질서 전반의 재편을 도모할 시점이다. 한국 영화 산업의 성장과 경쟁력 제고를 위해선 지원을 넘어선 미래관객 확보가 필수적이다. 본고는 한국 영화시장이 겪고 있는 위기를 진단하고 이를 극복할 정책적 대안 제시를 목표로 한다.",노철환 ( Roh Chul Hwan ),2021,https://www.riss.kr/link?id=A107832851
일본 애니메이션 산업이 오타쿠 문화에 미친 영향 연구,"일본의 고도성장기 시절 수차례에 걸친 산업 혁명을 보내며 풍요와 여유 속에 모든 것이 갖추어진 사회에서 소비만 하며 자라온 젊은 세대들은 그 자체가 경쟁력 결여였으며, 일본교육제도의 모순은 그들을 더욱 더 외톨이로 몰아가고 있었다. 그러한 그들이 정체성과 자부심에는 한계가 있었을 것이고, 그런 그들에게 망가·아니메·게임은 탈출구이며 안식처였다. 그러면서 그들은 망가·아니메·게임을 통해 사회와 소통을 하고 있다고 생각했으며, 그 안에서 허구적이나마 그들을 받아 줄 또 하나의 사회가 있다고 생각했다. 그러나 망가·아니메·게임은 현실 사회와 유대관계가 가장 미미한 표현으로 축소되어 버린 그런 허상의 가상공간 이며, 인적소통 없이 혼자서는 도저히 살 수 없는 곳이 바로 현실 이라는 것을 자각하고, 환상의 세계속으로 도피하여 미디어의 이미지에 만족한다, TV·잡지·만화는 그들의 일상이고, 컴퓨터와 비디오게임의 이미지가 그것들을 대체했다.
겉보기에 수동적인 그들은 사회에 대해 독특한 비판을 제기하는 한편 ‘유목적’ 환경에 대해 놀라울 만한 적응력을 보여준다. 그들은 점점 더 광활한, 초미디어화된 첨단 기술이 널려 있는 광활한 벌판에서 산다. 그들이 열광했던 <신세기 에반게리온>의 성공의 내면에는 1990년대 일본 경제성장이 멈춘 ‘버블붕괴’를 시작으로 인한 일본 젊은이들의 현실 부적응을 대변하고 있으며, 이후 2010년대까지 장기침체를 겪으며 일본은 사회적으로 수많은 문제를 양산한다. 애니메이션 산업이 확대돼 전체 시장의 규모가 커지면서 제작사가 난립하고 애니메이션 작품수가 급증하면서 제작사의 채산성을 맞추기가 힘들어지자 ‘모든 것을 팔아먹을 대상으로만 보는 경영학적 관점, 투자자적 관점’에서 일본 애니메이션산업에 대자본이 투자되어 작가주의적 작품은 소멸하고 짧은 시간 많이 소비될 수 있는 작품을 시리즈로 찍어낸 결과 오타쿠층이 기괴하게 뒤틀려 버린 것이다. “지금은 거대한 대중문화 체제에 포섭된 이른바 양산형 오타쿠 라면, 과거의 오타쿠들은 자신들끼리의 독립된 마켓에서 성장하는 적극적인 하위문화 주체인 선택형 오타쿠인 샘이다. ‘오타쿠가 점점 사회화되는 것’이 아니라 ‘사회가 점점 오타쿠化되는 것’이다.",이승재(Seung Jae Lee),2016,https://www.riss.kr/link?id=A102750463
숏폼 애니메이션에 대한 연령별 수용자 반응의 차이 : 10대와 30대의 비교 분석을 중심으로,"신속하고 다양한 콘텐츠 소비를 향한 대중의 욕구는 콘텐츠 형식의 변화를 유도하였다. 최근 SNS를 통해 널리 확산되고 있는 숏폼 콘텐츠는 짧은 러닝타임을 강점으로 스낵컬처의 정점을 보여주고 있다. 애니메이션으로 표현된 숏폼 콘텐츠라 할 수 있는 ‘숏폼 애니메이션’은 실사 영상과 차별화되는 특성을 바탕으로 다양한 분야에서 활용되고 있다. 본 연구에서는 숏폼 애니메이션에 대한 수용자 반응에 집중하여 연령별 수용의 차이를 탐색하고자 하였다. 연구의 목적은 정량적 조사를 통하여 10대와 30대 수용자의 반응의 차이를 비교 및 분석하는 것이다. 이를 위하여 선행연구를 바탕으로 수용자 반응에 대한 요인을 정보성, 흥미성, 독창성, 매력성으로 분류하였으며, 4가지의 연구문제를 설정하였다. 실험자극물로는 펫티켓을 주제로 한 4편의 숏폼 애니메이션을 제작하여 활용하였으며 10대와 30대를 합하여 총 162명를 대상으로 설문조사를 진행하였다. 연구문제에 대한 검증은 t-검정을 통해 실시되었다. 연구 결과, 정보성에 대한 수용자 반응에서는 통계적으로 유의하지 않은 결과가 도출되었다. 흥미성, 독창성, 매력성에 대한 수용자 반응에서는 10대가 30대 보다 높은 결과를 보였다. 즉 정보성을 제외하고 흥미성, 독창성, 매력성에서 모두 10대가 30에 비해 더 높은 결과로 나타났다. 본 연구 결과 숏폼 애니메이션에 대한 연령별 수용자 반응 차이를 형성하는 요인에 정보성은 포함되지 않으며, 흥미성, 독창성, 매력성이 수용의 차이를 만들어 낸다는 것이 검증되었다. 또한 전반적으로 10대가 높은 수치를 보이는 결과를 통하여 숏폼 애니메이션의 타깃 전략 및 콘텐츠의 요인 설정에 대한 시사점을 가진다. 본 연구는 MZ세대에 속하는 10대와 30대가 동일한 숏폼 애니메이션 콘텐츠에 노출되었을 때 어떠한 수용 반응의 차이를 보이는지를 증명하여 콘텐츠에 대한 수용자 반응 이론을 정교화하였다는 데에 이론적 의의가 있다. 또한 숏폼 애니메이션 제작 시 특정 연령을 타깃으로 할 때 중점적으로 다루어야 할 요인에 대한 지침을 제시할 수 있을 것으로 기대한다.",강정빈(Jung-Bin Kang),2022,https://www.riss.kr/link?id=A108096948
미야자키 하야오의 신도적 애니미즘 연구,"본 논문은 미야자키 하야오의 세 작품 <이웃집 토토로>(1988)와 <모노노케 히메>(1997) 그리고 <센과 치히로의 행방불명>(2001)을 일본신도의 가미신앙적 관점에서 살펴보고자 작성되었다. 신도는 일본의 전통종교로서 그들의 문화적 뿌리이자 생활습속이다. 그들의 삶에 있어 가미, 즉 신은 유일하거나 완전한 신이 아니라 다양하고 변덕스러우며 기괴하기까지 한 존재이다. 일본의 신 가미는 신이(神異)적 존재로 묘사되는 경우가 많으며 동물, 식물, 무생물에 이르기까지 신격이 부여된다. 녹나무 (<이웃집의 토토로>), 시시가미, 타타리가미(이상 <모노노케 히메>), 오물신, 가오나시(이상 <센과 치히로의 행방불명>) 등 가미들과 토토로, 고다마, 마쿠로 쿠로스케 같은 정령이나 먼지검댕이에도 생명을 불어넣음으로써 인간중심사고에서 벗어나 애니미즘에 닿아 있다.
미야자키 하야오의 작품세계는 보통 생태주의적 관점, 생명사상을 키워드로 하여 분석된다. 이러한 관점은 미야자키 하야오의 세계, 특히 그의 자연관을 설명하는 키워드로서 중요하지만, 일본인의 근원적 심상을 형성하는 신도적 애니미즘 가미신앙과의 관계는 조명되지 않았다. ‘일본적 색채’가 두드러진 하야오의 세 작품(<이웃집 토토로> <모노노케 히메> <센과 치히로의 행방불명>)에서 나타나는 가미신앙은 일본인의 근원적 심상을 이해하는 데 필요할 뿐만 아니라 이것이 미야자키 하야오의 자연관을 형성하는 한 축임을 분석을 통해 확인할 수 있었다. 단적인 예가 바로 ‘신도의 숲’ 이다. 신도의 숲은 ‘그냥 식물의 집합이 아니라 숲이 정신적인 의미를 갖던 시절의 이미지’와 연관되어 있고, 그 곳은 ‘시시가미’가 존재하는 바로 생명의 숲, 치유와 회복을 위한 힘의 근원으로서의 숲, 시원(태고)의 숲이었던 것이다. 따라서 하야오는 인간의 이기적인 욕망에 의한 파괴에도 불구하고 생명을 키우고 존재케 하며 치유하는 숲을 작품의 주인공으로 내세운다. 하야오의 작품에서 숲은 가미와 정령들이 머무르는 신화적이고 신성한 공간으로 자리 잡는다.
이러한 작업은 조화로운 생태, 자연과 인간의 공존이라는 미야자키 하야오의 영원한 테마에 접근하는 방식으로 유효하다. 자연을 인간중심적으로 바라보고 해석하는 것이 아니라, 자연에 대한 존중을 통하여 자연과 인간의 화해와 공존이 가능하다는 미야자키 하야오의 생각은 모든 물체 안에 영(靈)이 존재한다고 믿는 신도(神道)의 사상과 자연스럽게 만나기 때문이다.",조혜정(Cho Hye Jung),2015,https://www.riss.kr/link?id=A101718026
존 카사베츠의 영화언어 분석,"1 Yoram Allon, ""The Wallflower Critical Guide to Contemporary North American Directors"" Wallflower Press 2001",서대정 ( Dae Jeong Suh ),2008,https://www.riss.kr/link?id=A75532023
숏폼을 이용한 애니메이션 스튜디오의 기업 전략 연구 : 디즈니플러스를 중심으로,"디지털 플랫폼을 통해 다양한 콘텐츠가 제공되면서 소비자들의 시청 패턴도 변화되고 있다. 그 중 숏폼은 짧은 시간 안에 여러 영상을 즐길 수 있는 특징 때문에 현대인들의 시청패턴을 만족시키는 인기 유형이 되었다. 특히 팬데믹 상황으로 인해 다양한 영상 플랫폼이 성장하면서, 숏폼 애니메이션에 대한 제작지원이나 배급 역시 확대되고 있다. 그러므로 이제는 이러한 숏폼의 특징을 어떻게 효율적으로 활용할 것인가에 대한 전략 연구가 필요한 상황이다. 이를 알아보기 위해 OTT 서비스 중 숏폼을 남다르게 활용하는 디즈니 플러스의 작품 특징과 그 효과를 분석해보았다. 분석 결과 스파크 쇼츠의 숏폼 애니메이션은 기존 롱폼의 상업적 목적보다는 기업의 가치를 전달하는 데 효과적임을 알 수 있었다. 롱폼의 보편성과 대중성보다는 작가들에 따라 달라지는 시각적 특이성과 창의적 표현들이 잘 드러났으며, 스토리 역시 성적 취향이나 장애인 및 다양한 인종들을 중심으로 한 이야기를 전달하며 소수자들에 대한 사회적 인식을 다루고 있었다. 결과적으로 스파크 쇼츠는 오락물로 여겨지던 픽사의 애니메이션을 사회적 가치가 있는 작품으로 승격시켜 브랜드 가치를 높였다. 이런 결과를 토대로 기업들이 다양한 디지털 플랫폼을 통해 작품을 전달할 때 효과적으로 브랜드 가치를 드러낼 수 있는 프로세스를 구조화시켜보았다. OTT 서비스처럼 여러 장르의 작품을 제공할 수 있는 플랫폼의 경우 유형별 목적을 명확히 하고 거기에 맞춰 작품을 제작하는 전략이 필요하다. 기존 유형을 따라가는 롱폼은 상업적 목적을 기반으로 보편성과 대중성을 토대로 한 작품의 재구성이나 OTT를 2차 마켓으로의 인식이 전략이 필요하다. 반면 빠르게 여러 작품을 보여줄 수 있는 숏폼은 시청자들의 브랜드 경험을 다양화시키는 전략으로 기업의 미래 가치를 인식시킬 수 있는 목적으로 활용할 수 있다.",이혜원(Hye-Won Lee),2022,https://www.riss.kr/link?id=A108096956
게임과 비게임 메타버스 콘텐츠에서 나타나는 유형의 융합화에 관한 연구,"코로나 상황이 지속되면서 일상생활에서 언택트 생활방식이 확산되고 있다. 이러한 상황에서 우리는 학교, 직장, 일상생활을 하기 위해 메타버스의 세계를 접하게 된다. 전 세계적 비대면 상황의 지속은 정보통신의 발달과 디바이스의 급진적인 개발과 맞물려 메타버스로의 진입이 용이해졌다. 현재 우리가 경험하는 다양한 메타버스 콘텐츠에서 메타버스 유형의 융합화가 되는 현상들이 나타나고 있지만, 구체적으로 어떤 양상으로 융합화가 일어나고 있는지, 그런 현상이 나타나는 원인에 대한 담론과 현 시점에서 메타버스가 흘러가는 경향을 살펴볼 필요가 있어 보인다. 이 연구에서 연구대상은 각 영역에서 사회적으로 이슈화가 되거나 우리의 일상에서 밀접하게 활용되고 있는 콘텐츠를 대상으로 연구하고자 하였다. 본론에서 게임과 비게임 메타버스 콘텐츠에서 정보형태와 공간에 따라 어떻게 유형으로 나누어지며, 각 콘텐츠가 기본적으로 표방하고 있는 유형을 중심으로 살펴보고, 유형의 융합화가 어떻게 일어나며 사회적 관계 내에서 어떤 의미를 가지고 융합화가 되고 있는지 고찰해보고자 하였다. 메타버스에서는 공간과 정보의 형태에 따른 메타버스의 유형들이 현실 세계와 가상의 세계를 점차 효율적으로 혼합하여 사용자가 효율적이고 편리하게 사용할 수 있는 방향으로 나아가고 있다. 메타버스 콘텐츠 유형의 융합화는 기존의 게임 콘텐츠 중심의 메타버스와 생활형 메타버스가 서로의 경계를 허물고 영역을 확장시켜감으로써 다양한 산업분야에 접목시킬 가능성이 커지므로 앞으로 더욱 각광받을 수 있을 것이다.",김윤정(Yun-Jung Kim),2021,https://www.riss.kr/link?id=A107879204
현상으로서의 인공지능(AI) 영화 창작에 대한 고찰,"AI의 영화 창작은 우리가 인지하지 못했을 뿐 이미 일어난 현상이라고 볼 수 있다. 불과 얼마 전까지 활발하게 이루어졌던 인공지능의 예술 창작 가능성에 관한 질문은 이제 영화로 옮겨 왔다. “AI가 창작한 영화를 영화라 할 수 있을까?”라는 질문은 수많은 사고의 갈래로 뻗어 나갈 수 있지만, 이 논문에서는 인공지능 영화 < 존 아웃 Zone Out >의 사례를 중심으로 크게 두 가지의 시각으로 논의하였다. 첫 번째는 인공지능 벤저민의 작동 원리, 이 영화의 제작 과정, 인공지능 영화의 현황과 가능성에 대한 논의이다. 두 번째는 인공지능 영화를 하나의 새로운 영화적 현상으로 보고 그 의미에 대한 논의이다. 이 논의를 통해 인공지능 영화를 AI가 인간의 영화 창작 프로세스를 돕는 방식, 그리고 인공지능이 창작의 자율성을 가진 방식으로 분류할 수 있다. 이 두 방식은 어쩌면 분리되어 각자의 길을 갈 수도 있고, 두 방식이 큰 체계안에 혼용되어 사용될 수도 있다. 다만 인간이 구축한 시스템 안에서 인공지능이 점점 자동화하는 방향으로 발전할 것이라는 사실은 변하지 않을 것이다. AI 영화 창작이 자동화 범주에 들어서는 단계가 되면 새로운 미학에 대한 논의가 필요하겠지만 우선은 AI 영화가 나타난 그 현상 자체를 영화 역사에서 새롭게 나타난 생생한 의미로 받아들이고자 한다.",이승엽 ( Lee Seong Yup ),2022,https://www.riss.kr/link?id=A108209244
