
초ㆍ중ㆍ고등학교 음악교육 실태 및 국악수업에 대한 학생들의 요구,"본 연구는 한국국악교육연구학회 회원인 음악교사와 그들의 동료 교사들이 지도하는 7개 지역 초ㆍ중ㆍ고 학생을 대상으로 학교 음악교육의 실태 및 국악수업에 대한 요구를 탐색하여 학교 음악교육의 질적 향상과 효과적인 국악수업 방안을 제시하는 것을 목적으로 한다. 연구 방법은 설문지를 제작하여 학회 홈페이지에 탑재하고, 교사들의 안내에 따라 희망하는 학생 1,001명이 접속하여 온라인 설문조사에 참여하였다. 자료 분석은 한국사회과학데이터센터(KSDC) E-stat 3.0을 활용하였다.
학교 음악교육의 실태 조사 결과, 음악시간에 많이 배우는 음악 3가지는 국악, 서양음악, 대중음악 순이었으며, 음악시간에 자주 하는 활동과 수행평가 4가지는 다양한 음악 감상, 악기 연주, 가창, 음악이론 및 음악사 등으로 나타났다. 음악수업의 만족도는 5점 만점에 3.55점(SD 1.056)이며, 학교급이 올라갈수록 만족도가 다소 감소하였다. 음악시간에 국악을 배우는 정도는 5점 만점에 평균 3.23점(SD 1.229)이며, 국악수업 교수자 유형은 음악교사 단독 수업이 가장 많았다.
학교 음악시간에 학생들이 하고 싶은 국악활동 1~4순위 중 1, 4순위만 유의수준 1%에서 학교급별ㆍ학년 그룹별 차이가 있었다. 전체적으로 국악기 배우기, 지역문화축제 탐방 및 참여, 국악 감상이 높은 순위를 차지하였다. 음악시간에 국악을 배워서 좋은 점은 ‘국악으로 우리 역사와 문화까지 배울 수 있다’가 가장 많았다. 학교 음악시간 국악수업의 필요성은 5점 만점에 3.63점(SD 1.062), 음악시간에 국악수업의 희망 빈도는 3.39점(SD 1.013)이었다. 학교 음악시간의 활동 및 수행평가에 대한 만족도와 국악수업의 필요성에 대한 요구는 상관관계가 있고, 국악수업의 필요성에 대한 요구와 국악수업의 희망빈도는 높은 상관관계를 보였다.
앞으로 학교 현장 실태 조사를 통해 학생들의 국악수업에 대한 요구가 무엇인지 면밀히 살펴 국악교육의 적용 방안을 모색하는 연구가 더 활성화되길 기대한다.",허선형,2022,https://www.riss.kr/link?id=A108245618
판소리 우조와 평조에 대한 두 異論 －백 대웅과 이보형의 판소리 악조론 비교 검토－,"본고는 현재 학계에서 판소리를 분석하는 데에 가장 널리 활용되고 있는 백대웅과 이보형의 판소리 악조론의 우조와 평조에 대한 정리를 살피고, 이들 이론에서 나타나는 공통점과 차이점을 비교 검토한 것이다. 그리고 더 나아가 판소리와 음악적으로 동일한 성격을 지니는 산조의 선행 연구들과 연계하여 보았다. 그 결과, 백대웅과 이보형의 판소리 악조 이론은 일견 매우 다른 듯하나, 백대웅의 글에서 우조와 평조 각 구성음의 상세한 특징에 대해 언급한 내용을 살펴보면, 이보형이 정리한 우조와 평조의 선율 골격 및 시김새와 통하는 점이 발견된다. 그럼에도 악조를 판별함에 있어 중요하게 여기는 점이 서로 다름으로 인하여, 다시 말해 백대웅은 구성음과 각 음의 음정 간격에 무게를 두고, 이보형은 출현음보다는 주 선율 골격과 시김을 중요하게 여김으로서, 결과적으로 이 두 이론에 의해 악조를 해석할 때 다른 결론에 이르게 된다. 그러나 판소리와 음악적으로 동일한 산조 분석 논의를 종합하여 보면, 구성음만으로 산조 악조를 분석하는 데에는 한계가 있음이 발견된다. 구성음 이외에 퇴성, 요성, 장식음 및 선율 진행 등을 고려하여야 정확한 우조와 평조, 계면조를 설명할 수 있다. 또한, 백대웅의 이론에 근거하여 산조를 분석한 연구에서는 경우에 따라 선법에 근거하여 악조명을 제시하기도 하고, 선법은 계면조이되 성음 면에서 우조이므로 우조로 일컬을 수 있다고도 하는 등, 이론에 산조 음악을 맞추다보니 서로 상충되는 문제점들이 나타났다. 뿐만 아니라, 변계면이나 생삼청의 일부를 우조로 해석하는 등, 실제 음악의 내용과 맞지 않는 해석이 이루어지기도 하였다. 결과적으로, 판소리와 산조에서 악조의 해석은 구성음만으로는 부족하고, 각 음의 기능과 특징이 함께 고려되어야 한다. 이는 궁중음악이나 양반들의 풍류 음악의 경우에 출현음만으로 악조를 판별하여 평조와 계면조로 구별하는 것과는 차이가 있다. 판소리 및 산조와 같은 민속음악은 정악에 비하여 각 음에 꾸밈이 많이 사용되고, 감정 표현이 극대화되는 음악이므로, 구성음 이외에 나타나는 음의 특성들이 함께 고려되어야 하고, 이는 민요에서 요성과 퇴성, 꺾는음 등을 토리의 성격에 포함시키는 것과 같은 맥락이다.",신은주,2018,https://www.riss.kr/link?id=A105464269
대풍류 악곡 비교 연구,"본 연구는 현재 전승되는 국립국악원과 이충선, 지영희, 김점석 대풍류들의 악곡 구성과 출현음, 음계, 장단수와 마루수, 그리고 요성의 위치와 출현 횟수 그리고 선율 진행을 비교 분석한 연구이다. 연구결과는 다음과 같다.
첫째, 국립국악원의 대풍류 악곡 구성은 긴염불, 반염불, 삼현타령, 느린허튼타령, 중허튼타령, 자진허튼타령, 굿거리, 자진굿거리, 휘모리-당악으로 구성되어 있다. 이충선의 대풍류 악곡 구성은 긴염불, 반염불, 삼현도드리, 별곡타령, 느린허튼타령, 자진허튼타령, 굿거리, 당악으로 구성되어 있다. 지영희의 대풍류 악곡 구성은 염불타령, 반염불, 삼현타령, 느린헛튼타령, 중허튼타령, 잦인허튼타령, 느린굿거리, 잦인굿거리, 휘모리로 구성되어 있다. 김점석의 대풍류 악곡 구성은 염불타령, 반염불, 삼현도도리, 염불도드리, 타령, 별곡타령, 늦은허튼타령, 자진허튼타령, 굿거리, 자진굿거리, 당악으로 구성되어 있다. 연주자별로 대풍류의 악곡 구성의 차이가 있음을 알 수 있다.
둘째, 출현음은 이충선의 반염불, 자진굿거리, 지영희의 자진굿거리, 김점석의 긴염불, 반염불, 삼현도드리, 굿거리가 다른 연주자에 비해 상대적으로 넓은 출현음을 사용하여 연주하였음을 알 수 있었고, 국립국악원의 느린허튼타령, 자진굿거리, 당악이 다른 연주자에 비해 상대적으로 좁은 출현음을 사용하여 연주하였음을 알 수 있었다.
셋째, 음계는 네 명의 연주자 모든 악곡 중 이충선의 별곡타령과 지영희의 삼현타령을 제외한 모든 악곡에서 동일하게 나타났다. 이충선의 별곡타령 제 9~22장단과 지영희의 삼현타령 제 9~22장단을 제외한 네 명의 연주자 모든 악곡에서 동일하게 나타났다.
넷째, 장단수와 마루수는 반염불과 느린허튼타령, 중허튼타령, 자진허튼타령에서 국립국악원과 지영희가 동일하게 나타났고 국립국악원과 지영희의 나머지 악곡과 이충선, 김점석의 모든 악곡의 장단수와 마루수는 다르게 나타났다.
다섯째, 요성의 위치와 출현 횟수는 연주자마다 다르게 나타났고 이를 통해 주로 요성하는 음정을 알아본 결과 긴염불만 모든 연주자가 공통적으로 F음을 요성한 것으로 나타났고 다른 악곡들은 모두 연주자별로 다르게 나타났다.",김성준,2020,https://www.riss.kr/link?id=A106919703
생태전환교육 실천을 위한 국악교육의 역할과 방향,"본 연구에서는 2022 개정 교육과정 총론에서 강조하고 있는 생태전환교육으로의 전환기를 맞아 국악교육의 역할과 과제를 조망해 보았다. 이를 위해서 조상의 음악에 담긴 철학적 관점, 그리고 생활 속에서 행해 온 음악문화가 현재 사회에 주는 가치가 무엇인지 살펴보았다. 그 결과 국악과 생태전환교육의 합의점을 도출할 수 있었고 이를 토대로 국악교육에서 중점적으로 지도해야 할 내용을 제시해 보았다.
첫째, 자연과의 합일을 강조하는 예악사상의 의미를 강조했다. 현시점에서 무엇보다 중요한 것은 자연을 바라보는 인간의 관점 전환이다. 예악사상의 핵심은 자연의 도에 따라 개인과 사회가 운용되듯이 예법과 음악도 형성되어야 한다는 점이다. 따라서 음악으로 천지의 조화를 추구한 조상의 관점을 교육 현장에서 지도할 수 있는 기회를 확충해야 한다. 이를 통하여 음악의 역할을 인식하고 자연과 인간의 올바른 관계를 정립할 수 있다.
둘째, 각 지역에 존재하는 다양한 음악을 통하여 계절의 변화, 지역의 풍토에 순화될 수 있다는 점을 강조했다. 가곡, 민요 등 조상의 음악문화를 살펴보면 계절의 순환을 이해할 수 있을 뿐 아니라 자연과 공생하며 살았던 모습을 확인할 수 있다. 이처럼 자연에 적응하며 살아왔던 삶의 모습, 삶 속에 존재하는 음악을 교육하여 친환경적 정서와 애향심을 고취해야 할 것이다.
셋째, 지속가능발전교육의 일환으로 유네스코 인류무형문화유산 교육의 필요성을 강조했다. 유네스코에 등재된 다양한 무형문화유산에는 음악과 연관된 것이 많으며, 이를 분석해 보면서 자연을 대하던 과거 인류의 모습을 살펴볼 수 있다. 더구나 우리의 무형문화유산 외에도 세계의 다양한 무형문화유산을 살펴보면서 인류의 번영을 위해 추구해야 할 가치를 찾아볼 수 있다. 따라서 다가올 2022 개정 음악과 교육과정에서도 인류무형문화유산에 대한 교육을 더욱 강화해야 할 것이다.
생태전환교육은 미래 세대의 생존을 위해 최우선 순위로 교육해야 할 중요한 내용이므로 음악교과에서도 중점적으로 지도해야 할 필요가 있다. 본 연구를 필두로 국악에 담긴 자연관, 그리고 친환경적 정서를 학교 현장에서 실질적으로 지도할 수 있는 다양한 연구가 지속되기를 기대해 본다.",이장원,2022,https://www.riss.kr/link?id=A108245626
1960년대 음원 자료에 의한 한범수류 해금산조 재구성,"한범수류 해금산조는 1960년대 완성된 대표적인 초기 해금산조이다. 한범수 실연의 음원 자료는 서울대학교 음악 대학 소장자료와 KBS FM 소장자료, <한범수 1968 해금/대금산조> 음반 등이 남아있음에도 불구하고 교육 현장에서는 서울대학교 소장자료의 선율을 중심으로 일반화되었으며, 다른 음원들은 연주와 연구 두 분야 모두에서 활용되지 못하고 있다. 이에 본고에서는 한범수류 해금산조 세 음원의 선율구성을 상호 비교 분석하고 공통선율의 변주 양상과 독자적 선율의 특징을 살펴봄으로써 한범수류 해금산조를 재조명하고자 하였으며, 이를 활용하여 세 음원에 흩어져 있던 선율들을 모아 긴 산조로 재구성함으로써 숨겨진 선율을 발굴하고 획일화된 구성을 탈피한 새로운 음악을 창출하 고자 하였다. 그 결과는 다음과 같다. 첫째, 한범수류 해금산조의 세 음원은 각기 다른 구성으로 되어있으며, 여러 음원에 중복되는 공통선율과 중복되지 않는 독자적 선율이 존재한다. 공통선율은 한범수류 해금산조의 큰 틀로 볼 수 있으며 중복되지 않는 선율은 연주 정황 에 따라 가감이 가능한 선율로 볼 수 있다. 둘째, 공통선율의 변주 양상은 선율의 단순 삽입과 생략을 비롯해 음역 확장에 따른 선율 확대, 종지형 선율의 연장으로 인한 소단락 형성 등으로 다양하게 나타나며, 공통적인 틀 안에서 획일화되지 않은 유연함과 즉흥성을 보여준다. 셋째, 각 음원에 나타나는 독자적 선율의 특징은 계면조 도입부, 엇청 내드름과 다양한 단락 배열, 그리고 모든 유파의 해금산조 중 최고음인 g″의 출현 등으로 나타나며 이는 한범수류 해금산조의 외연 확장과 다양한 선율구성에 활용 될 수 있다. 넷째, 이상의 분석 내용을 바탕으로 공통선율을 중심에 두고 다양한 변주 형태와 새로운 선율들을 활용하여 산조를 재구성할 수 있으며, 선율의 선후관계와 음악적 흐름을 고려하여 총 81장단의 한범수류 해금산조 진양조 긴 산조를 완성하였다. 본 연구를 진행하며 명인의 숨결을 가감 없이 담고 있는 음원 자료의 가치를 다시 한번 실감하였으며 본고를 통해 한범수류 해금산조의 숨겨진 가락들이 재조명되고, 나아가 산조 연구와 실질적 연주에 활용되기를 기대한다.",김현희,2021,https://www.riss.kr/link?id=A107848448
아리랑 세계화 담론의 기원과 케이뮤직화 국면의 전개,"‘아리랑 세계화’가 다양한 아리랑 실천의 배경을 제공하는 담론으로 본격적으로 등장한 시기는 2012년 유네스코 인류무형문화유산 등재 직후이다. 또한 등재에 앞서 국경 밖 아리랑의 존재를 연구해온 연구나 실천들도 유네스코 등재를 기점으로 아리랑 세계화 담론으로 수렴되었다. 이 연구에서는 유네스코 등재 시점의 아리랑 세계화의 담론과 실천의 변화 양상에 주목하여, 이전과 이후를 각각 민족(주의)적, 국가(주의)적 기원으로 해석한다. 이어 아리랑 세계화의 최신 국면인 ‘아리랑의 케이뮤직화’는 아리랑이 담지해 온 ‘민족적 열등감’의 상흔(스티그마)을 세계적으로 인정받은 한류의 기표 ‘케이’(K)와 결합해 ‘한국(인/문화)의 자부심’으로 등치시켜 상쇄적 효과를 가지려는 시도로, 국가(주의)적 기원이 심화된 실천임을 논설한다.
유네스코 등재 이전 아리랑 세계화의 담론과 실천은 ‘단일한 한민족’을 상상하는 민족적 기원에 맞닿아 있다. 그러나 이러한 민족 담론으로서의 아리랑은 국경 밖 아리랑 수용의 복합적인 정치학과 ‘민족’의 복수(複數)적 정체성을 간과 혹은 은폐할 가능성이 높다. 그런가 하면 유네스코 등재 이후 본격화된 아리랑 세계화의 국가(주의)적 담론과 실천은 그간 아리랑 세계화의 근거로 제시해 온 아리랑 정신의 공유 및 유네스코 정신과 상호모순적인 딜레마로 작동된다. 아리랑 세계화 담론과 실천의 민족주의적- 국가주의적 기원의 고찰은 아리랑 세계화의 성격, 모순, 한계를 명확히 드러낸다. 이 연구는 아리랑 세계화 담론과 실천의 민족-국가주의가 낳은 계몽주의적 성격을 재인식하고 세계화 욕망의 허구성을 재고해야 함을 주장한다. 아리랑의 민족적 신화, 아리랑 과잉, 아리랑을 향한 도구적 인식을 극복하고 세계 시민과의 평등한 만남과 대화로 아리랑의 선한 영향력이 증대하기를 바란다. 더 나아가 아리랑 세계화 관련 연구에서 그간 놓쳐온 해외 아리랑의 생산과 수용의 입체적ㆍ횡단적 연구는 학계에 주어진 과제이다.",김희선,2022,https://www.riss.kr/link?id=A108398431
대한제국기 원유회(園遊會) 설행과 의미,"원유회(園遊會, 苑遊會)란 가든파티(garden party)를 표방한 서양식 연회(宴會)이다. 즉 실외인 정원(庭園)에서 손님을 초대하여 다과, 주류, 음식 등을 먹으며 서로 친목을 다지는 파티의 한 형식이다. 궁궐 내에서는 1895년에 처음으로 설행된 기록이 보이며 1904년 이후 빈번하게 행해졌다. 원유회는 궁궐 내에서 만수성절, 건원절, 경부철도 개통식, 통감부 설치, 일본 황태자 방문, 이등통감 귀국, 대한의원 개원식, 신구 통감 송별 겸 환영회, 어원 사무국 개원 등을 기념하고 축하한다는 명분으로 설행되었다. 궁궐 내에서 원유회 장소로 이용된 곳은 창덕궁 비원, 경복궁 후원으로 압축된다. 대략 1000명에서 최고 4000명 정도의 사람들이 원유회에 참석하였다. 참석자의 범위는 황제·황후·신분이 높은 고위층 인사들·부유한 외국상인들·외국인과 조선 관료의 부인들로 제한되었다. 즉 고위층만 출입 가능하였고 성별을 제한하지 않았던 여성 동참 연회였다. 그리고 원유회장으로 이용된 궁궐의 후원 곳곳에는 서양요리·조선요리·중국요리·과자·소바·아이스크림·스시·오뎅·맥주·샴페인·탄산수·위스키·브랜디·일본술·홍차·담배 등이 제공되었다. 궁궐의 문화유산을 훼손시키고 궁궐문화의 전통을 깨뜨리며 궁궐을 상류층이 향락문화를 즐기는 유흥장으로 격하시키는 컨텐츠로 가득 차 있었던 것이다. 그리고 기녀·기생·고인(鼓人)·창부·악공·전악·군악대·게이코(藝妓) 등이 검무·항장무·학무·선유락·광대의 유희·손재주·줄타기·격검(擊劍)·줄타기·고취(鼓吹)·양악·청나라 연극·수용(手踊) 등을 연행하여 청나라·일본·조선의 기예가 뒤섞였으며, 조선의 궁중 연향에서는 행해지지 않던 민간 연희와 잡기도 공연되어 다국적·다층적·복합적인 공연장으로 변해버렸다. 이렇듯 대한제국기에 궁궐 안에서 열린 원유회는 각종 기념행사를 명분으로 설행되었다. 대한제국의 황제를 비롯한 국내외 고위층 인사들은 대부분 참석하였으며 조선의 궁중연향과는 전혀 다른 새로운 패러다임으로 짜여 있었다. 즉 내외국인이 어울리는 새로운 상위문화, 상류문화의 연회장이 되었다. 그러나 자주적인 근대화의 일환으로 받아들여졌던 것이 아니라 궁궐문화 파괴를 목적으로 일제에 의해 심어진 불건전한 파티였다. 원유회라는 명목으로 창덕궁과 경복궁 후원 곳곳을 천명이 넘는 인파가 드나들며 대한제국의 궁궐 문화가 철저히 짓밟혔다. 특히 대한제국기 말엽에는 일본에 아첨하는 친일인사들의 로비장이 되어 버렸다. 친일 관료의 부인들까지 이에 동참하였다. 즉 원유회는 조선의 전통적인 연회 양식과 서양식 파티 문화가 조화를 이룬 대한제국의 새로운 연향 문화로 자리 잡거나 고종이 도입했던 많은 근대 문화의 하나로 건강하게 터를 잡지 못한 채 궁궐 파괴 주범의 하나, 일인(日人) 혹은 친일 인사 중심의 불건전한 고위층의 향락문화의 온상이 되어버렸다. 서양식 가든파티는 대한제국의 근대화 작업 선상에서 들어와 이 땅에 정착한 파티 문화가 아니었다. 이 땅에 도입된 궁궐 내 원유회 모습은 여러 나라의 각종 문화가 교류되는 장이라기보다는 무분별하고 잣대 없이 다국적인 문화를 섞어 놓은 기이한 형상이었다. 결국 궁궐 내 원유회는 일제에 의해 철저히 계산된 대한제국의 궁궐을 파괴하려는 장치의 하나였으며 그 가운데에서 궁중의 전통적인 공연예술도 서서히 해체되었다.",이정희,2009,https://www.riss.kr/link?id=A103636416
『가곡보감(歌曲寶鑑)』의 ‘상령산가락’ 연구,"본 연구는 지금까지 1928년 평양 기성권번(箕城券番)에서 가창 교본으로 사용하기 위해 발간한 가집(歌集)인 『가곡 보감(歌曲寶鑑)』에 수록된 양금 ‘상령산가락’의 선율 구성을 살펴보고자 하였다. ‘상령산가락’의 선율은 일반적인 현악기의 선율에 비해 화려한 선율을 형성하고 있어 관악기 선율 형태와 연관성을 가지고 있지 않을까 라는 가정하에 본 연구에서는 『가곡보감』과 1930년대 이왕직아악부 피리 선율과 현행 피리 선율을 함께 비교하여 보았다. 그 결과 양금 ‘상령산가락’의 선율은 피리 상령산 선율과 골격선율이 전반적으로 유사한 형태로 진행되는 것을 확인 할 수 있었고, 또 피리의 꾸밈음 형태를 양금이 간음을 활용하여 표현하고자 했음을 확인할 수 있었다. 이를 통해 가곡 보감 상령산가락의 양금 선율은 피리 선율과 연관성을 가지고 있는 것으로 보인다. 또한 5박과 6박, 9박과 10박에서 피리 선율과의 차이를 보이기도 하였으며, 3장 6행에서는 가곡보감 상령산과 피리의 상령산, 현행 양금의 상령산에서도 보이지 않는 f(汰)가 나타나는 특징이 있다. 지금까지 본 연구에서는 『가곡보감』의 기초 연구자료를 마련하기 위해 ‘상령산가락’이란 악곡의 선율 흐름을 중심으 로 살펴보았으나, 『가곡보감』에 수록된 영산회상 전체를 살핀 것은 아니기 때문에 ‘상령산가락’ 한 곡을 살핌으로써 『가곡보감』의 전반적인 음악적 특징을 정리하는 것에는 다소 무리가 있다. 그럼에도 불구하고 선행연구에서 살펴보지 않은 『가곡보감』의 수록 악곡을 살펴 연구자료로써 기초를 마련하고자 하였다는 점에서 본 연구는 나름의 의미를 가진다고 생각되며, ‘상령산가락’과 『가곡보감』에 수록된 영산회상과의 음악적 관계성, 현행과 다른 영산회상의 분장법과 장단 형태, 그리고 ‘양금됴’에 대한 분석 등은 향후 연구과제로 남기고자 한다.",심지우(Shim ji woo),2022,https://www.riss.kr/link?id=A108118963
오용록의 음군론에 대한 고찰 - 심상건 <긴사랑가> 분석을 바탕으로 -,"한국전통음악의 분석 방법 중 하나로, 선율의 움직임과 각 음의 관계 및 시김새에 주목한 오용록의 ‘음군론’이 있다. 오용록의 ‘음군론’에서 ‘음군’이란 “최소한의 선율적 의미를 만들어낼 수 있는 몇 개 음의 덩어리”로, 이 음들 사이에는 일정한 관계가 내재되어 있고, 이 관계에 의해 움직임의 의지가 발생하며, 이 의지로 선율이 만들어진다는 생각에 기반한 것이 바로 ‘음군론’이다. 이는 기존의 음계와 선법에 의한 분석 방법에서 약간 벗어나, 음악 그 자체에서 출발하는 분석 방법이다. 그러나 오용록이 발표한 ‘음군론’ 논문은 단 세편에 불과하여, 음군론에 대해 확실히 이해하기에 부족하다. 이에, 후학들은 저마다 다른 방식 으로 ‘음군론’을 활용하여 악곡을 분석하고 있고, ‘음군’이라는 용어에 대한 이해도 저마다 다르다. 음군론의 효용성을 알기 위해 1927년과 1930년 녹음의 심상건 <긴사랑가> 두 음원을 대상으로 진행한 필자의 분석 결과에 의하면, 오용록의 음군론 분석 방법을 통해 음악을 살폈을 때, 선율의 움직임이 보다 명확하게 드러나고, 선율 안에서 각 음의 쓰임이 결코 우연이 아닌, 의도된 움직임이라는 것을 알 수 있다. 또한, 두 음원이 각각 평조와 우조를 중심으로 하는 서로 다른 구조를 갖고 있으나, 음군의 이동 방식과 그를 통한 선율 구사 방법은 다르지 않다. “최적의 분석 방법은 대상 속에 내재한다”는 신념에서 출발한 오용록의 음군론이, 후학들을 통해 더욱 발전하고, 우리 음악 분석에 대한 진일보를 이룰 수 있기를 바란다.",신은주,2021,https://www.riss.kr/link?id=A107797982
지영희 해금 줄풍류의 시김새 연구,"지영희 해금 줄풍류는 현전하는 유일한 민간 풍류 해금가락으로 국악예술학교에서 펴낸 『해금교본』에 남아있는 악보를 통해 전승되어 왔으나 악보만으로는 음악의 실체를 알기 어려웠다.1969년 김호성이 지영희 자택에서 직접 녹음한 지영희 해금 줄풍류 연주 음원은 그동안 존재가 알려지지 않았으나 지영희가 직접 연주한 최초이자 유일한 음원으로 충분한 연구 가치가 있는 것으로 판단되어, 악보만으로는 알지 못했던 지영희 줄풍류의 시김새를 고찰하였다.
지영희 줄풍류 본영산의 출현음은 B♭, -c, +d, f, -g, (a,) b♭, -c', +d', f‘이며 중려 기준 b♭으로 연주한다.
본영산에 사용되는 시김새는 크게 골격음 사이를 채우며 잔가락을 붙이는 선율적 시김새와 골격음을 꾸미는 장식적 시김새로 나눌 수 있다.
선율적 시김새는 ㉠ 하행선율을 시작으로 상행과 하행을 번갈아 반복하는 형태, ㉡ 장식음을 삽입하여 리듬을 분할하는 형태, ㉢ 상행선율을 시작으로 하행과 상행을 번갈아 반복하는 형태의 세 가지 유형으로 나타난다. 각 음 별 시김새 적용 빈도수를 살펴보면 ㉠은 -c'에 30회가 나타나고, ㉡은 b♭에 25회, ㉢은 f에 57회로 각 유형이 특정 음에 압도적인 횟수를 보여 각 음별로 적용되는 특정한 시김새가 있다는 것을 알 수 있다. 각각의 선율적 시김새는 몇 박에 걸쳐 사용되느냐에 따라 동일한 시김새를 쓰더라도 리듬 변주를 통해 변화를 주며, 음정의 폭을 넓히며 변주하기도 한다.
장식적 시김새는 ㉣ 골격음에 근접한 아래위 음으로 장식하는 앞꾸밈음, ㉤ 4도 도약하는 앞꾸밈음, ㉥ 하행하는 두 개의 장식음 중 두 번째 장식음에서 활 방향을 바꾸어 강세에 변화를 주는 앞꾸밈음의 세 가지 유형으로 나누어 볼 수 있다. 각 음 별 시김새 적용 빈도수를 살펴보면 ㉣은 -c'에 19회 나타나 압도적인 비율을 보였으며, ㉤과 ㉥은 b♭에만 각각 7회와 14회 사용되었고 다른 음에서는 전혀 나타나지 않았다.
장식적 시김새와 선율적 시김새는 서로 결합하여 하나의 관용구를 형성하기도 한다. ㉣은 ㉠과 주로 결합하여 사용되고, ㉥은 모든 경우에 ㉠과 결합함으로써 관용구를 형성한다.
농현은 f와 -c(-c')에만 나타나 농현을 하는 음과 하지 않는 음의 구분이 확실했다. 농현의 양상은 한 박 이하일 경우 처음부터 농현하고 두 박일 경우 두 번째 박부터 떠는 것이 다수로 나타나 규칙성을 확인할 수 있다.
이상에서 살펴본 바와 같이 지영희 해금 줄풍류에 쓰이는 다양한 시김새에는 일정한 규칙이 있으며 특히 각 음에 부여되는 특징적인 시김새가 있다는 것을 알 수 있었다. 줄풍류가 동일한 구조 위에서 자신의 가락을 유연하게 운용할 수 있는 음악인만큼, 지영희의 줄풍류는 다양성의 한 예로써 의미를 가질 수 있을 것이다. 본 연구가 줄풍류의 본질을 다시 한 번 상기하고, 나아가 실제 연주에 적용될 수 있기를 기대한다.",김현희,2019,https://www.riss.kr/link?id=A106477863
