
온라인게임 아이템거래 발생 원인 분석,"아이템 거래의 속성에 대해서는 그동안 많은 연구가 진행되어 왔으나, 막상 아이템 거래의 발생 원인에 대해서는 설문조사 등의 방법만 수행되어 왔고, 온라인 게임 내에서의 경제 분석 에 의한 연구는 이루어지지 못하였다. 따라서 본 연구는 온라인 게임 내에서의 아이템 수요와 공급에 대해 역할참석, 직접관찰, 관련자 면담 등의 방법을 사용하여 게임 내에서의 아이템 거래의 원인을 분석하였다. 분석 결과 아이템 거래가 일반 게이머들 사이에서 차지하는 비중은 크지 않으며, 인챈트를 즐기는 소수의 게이머, 혈전 및 공성전을 수행하는 사람들 사이에서 중점적으로 발생한다. 또 주된 아이템 공급자는 일반게이머가 아니라 작업장이다. 즉 아이템 거래는 소량으로 적은 액수를 거래하는 다수의 게이머와, 대량으로 많은 액수를 거래하는 소수의 매니아 게이머에 의해서 발생한다. 이러한 아이템 거래의 소수 집중적 속성을 파악하는 것은 아이템 거래와 관련된 제반 정책 및 사회적 영향을 검토하는 데에 기반 지식으로 활용될 수 있을 것이다.",최성락,2007,https://www.riss.kr/link?id=A100161215
아동의 컴퓨터 게임 중독에 미치는 영향,"아동들에게 있어 컴퓨터 게임은 중요한 문화적 요소이고 컴퓨터 게임 중독은 심각한 상황에 이르고 있다. 게임요소에 대한 선호도를 학생의 배경변인과 선호게임의 유형별로 분석하여 보고, 게임요소와 게임중독과의 관계를 알아보는 것은 학생들의 게임중독을 예방하고, 게임을 긍정적으로 활용할 수 있도록 하기 위해 필요하다. 본 연구는 아동들의 게임 요소가 컴퓨터 게임 중독에 미치는 영향을 알아보는 것이다. 연구 방법은 설문조사를 통한 조사 연구와 실험 연구를 병행하였다. 통계처리방법은 게임 요소 선호도와 게임중독과의 관계를 알아보기 위해 피어슨의 상관계수를 구하였다. 그리고 영향을 알아보기 위하여 회귀분석(Stepwise Regression Analysis)을 실시하였다. 연구결과 게임요소와 컴퓨터 게임중독은 정적 상관이 있는 것으로 나타났고, 게임요소에 대한 선호도가 높을수록 컴퓨터 게임 중독 성향이 높은 것으로 분석되었다. 그리고 게임요소 중 감각적 욕구충족, 현실이탈 욕구충족, 사회적 욕구충족에 대한 선호도가 게임중독에 유의한 영향력을 미치는 것으로 나타났다. 그러나 지적 욕구충족과 경쟁 욕구 충족에 대한 선호도는 컴퓨터 게임중독에 유의한 영향을 미치지 않는 것으로 나타났다.",이재무,2010,https://www.riss.kr/link?id=A82508840
게임 이용시간과 개인 내적 요인 그리고 게임의 폭력성 유무가 청소년의 도덕성에 미치는 영향,"본 연구는 폭력적 게임 이용이 청소년 도덕성에 악영향을 미칠 것이라는 사회적인 우려가 사실인지 검증하기 위해 실시되었다. 이를 위해 자기통제, 자존감, 공격성과 같은 개인 내적 요인들과 함께 폭력적 게임 유무에 따른 청소년들의 게임 이용시간을 측정하고 이를 바탕으로 분석을 실시하였다. 분석 결과 심리적 요인인 자존감과 자기통제는 도덕성과 정적인 관계를 보였지만 공격성은 도덕성과 부적 관계를 보였다. 반면 폭력성, 비폭력성 여부와 무관하게 게임 이용 시간은 도덕성과 관계가 없는 것으로 나타났다. 해당 연구는 기존의 통념과 다르게 게임 이용이 청소년의 도덕적 해이와 무관하다는 사실과 함께 게임이 단순히 폭력적인 성향을 띤다고 해서 도덕성에 부정적인 영향이 발생하는 것이 아님을 밝혔다는 점에서 의의가 있다.","이승제(Lee, Seungje)",2015,https://www.riss.kr/link?id=A106068577
한글 교육을 위한 기능성 보드게임 개발 연구,"본 연구는 그림 단어 카드를 활용한 어휘 학습 중심의 한글 교육을 위한 기능성 보드게임을 개발하여 한글 학습이 필요한 유아 및 초등저학년, 한국어를 처음 배우기 시작하는 외국인에게 한글을 쉽고 효율적으로 배울 수 있는 모델을 제안한다. 연구에 필요한 언어 확장 가능한 그림 단어 카드의 항목을 설계하기 위해 전문가 11인의 패널을 구성하고, 델파이 조사를 진행하였다. 연구 결과 타당도 검토를 거쳐 11개 항목 중 10개 항목에 대한 합의가 이뤄졌으며, 이를 기반으로 한글 교육을 위한 기능성 보드게임을 개발하였다. 본 연구에 의한 보드게임을 통해 학습자들은 그림으로 제시된 단어의 연상단어를 만들면서 지속적인 어휘확장을 펼칠 수 있고, 이로 인한 어휘망 형성이 가능하므로 한글을 배우는 데 있어서 가장 중요한 어휘확장과 의미 연상을 기반으로 하는 학습효과 증대를 기대한다.",이은정,2022,https://www.riss.kr/link?id=A108246863
청소년들의 스마트폰 중독예방을 위한 이야기치료 집단상담 프로그램 개발,"본 연구는 스마트폰 중독예방을 위한 이야기 치료 집단프로그램을 개발하고, 개발된 프로그램의 효과성을 검증하는데 목적을 두었다. 본 연구가 갖는 결론을 정리하면 다음과 같다. 첫째, 연구에 참여한 이야기치료 실험집단은 통제집단에 비해 스마트폰 사용에 관한 내성이 유의미하게 크게 낮아졌다. 내성이란 스마트폰을 사용하면 할수록 더 많은 시간을 사용하게 되는 정도를 의미한다〔5〕. 청소년들은 스마트폰 사용시간 조절하는 것에 어려움을 호소하였고, 스마트폰 사용에 많은 시간을 보내었다. 그러므로 상담자는 이야기치료의 외재화 작업을 통하여 청소년들에게 스마트폰을 많이 하게 하는 것에 제목이나 이름을 붙이게 하였다. 청소년들은 ‘유혹하는 악마’ , ‘돌멩이’ , ‘고릴라‘ , ‘집중력을 떨어뜨리는 돼지’ 등 이라고 이름을 붙이었다. 청소년들은 외재화 작업을 통하여 자신과 문제가 분리되는 경험을 하면서 스마트폰 사용시간을 줄일 수 있었다. 이와 같이, 외재화 작업을 통해서 문제는 더 이상 문제가 아니며, 자신이 원하는 새로운 형상으로 스스로 만들어 갈 수 있다. 외재화는 자기의 꿈이나 희망, 가치, 미래의 이야기, 자신의 정체성 또한 외재화 시킴으로써 내담자들이 내용에 대해 명확하게 이해하거나 객관적으로 볼 수 있는 기회를 제공하였다〔18〕. 이러한 결과는 이야기치료가 중학교 신입생이 자신에 대한 인식변화와 문제해
결에 대한 긍정적이고, 낙관적인 자아개념을 형성한다는 김송희·홍혜영〔22〕의 선행연구도 맥락을 같이한다. 둘째, 연구에 참여한 실험집단은 통제집단에 비해 일상생활장애 영역에서도 유의미하게 낮아졌음을 확인할 수 있었다. 일상생활장애란 스마트폰 사용으로 인한 생활기능 저하, 갈등 등의 문제발생 정도를 의미한다〔5〕. 청소년들이 스마트폰을 장시간 사용할 때에는 집중력이 낮아지고, 학교성적이 떨어졌다고 하였다. 하지만, 이야기치료의 대안적 이야기 구축을 통하여 청소년들은 자신의 삶을 다르게 발견할 수 있다. 청소년들은 주중에 스마트폰 사용시간을 줄이게 됨으로써 책을 읽거나 그림, 피아노, 바느질 등을 하였다. 또한 과제를 하는 등 공부시간이 증가하였다고 보고하였다. 이러한 결과는 이춘정·유형근·권순영〔21〕의 선행연구에서 이야기치료는 아동들의 학교폭력문제에 대해 대안적인 해결책을 제시했다는 연구결과와도 일치한다. 셋째, 연구에 참여한 실험집단은 통제집단에 비해 금단 영역에서 유의미하게 낮아졌다. 금단이란 스마트폰을 사용하지 못하면 불안하고 초
조해지며 짜증을 내는 정도를 의미한다〔5〕.이야기치료에서 독특한 결과 발견하기는 숨겨져 있으면서 드러나지 못했던 부분을 찾을 수 있도록 한다. 청소년들은 스마트폰 사용시간을 줄이기 위해서 운동시간을 늘리고, 취미활동을 시작하기도 하였다. 청소년들은 이야기치료 집단상담을 통하여 자신들이 참을성이 많은 사람, 인내심이 많은 사람, 꿈을 위해 끝까지 노력하는
사람, 배려하는 마음이 생기게 되었다고 하였다. 넷째, 연구에 참여한 실험집단은 통제집단에 비해 가상세계지향 영역에서 유의미하게 감소하였다. 가상세계지향이란 현실보다 스마트폰 세상에 의미를 두고 지향하는 정도를 의미한다〔5〕. 청소년들은 상담에 참여하기 전에는 친구 또는 가족과 함께 있는 것보다 스마트폰으로 웹툰, 게임, 동영상 등을 하는 것이 더 즐겁다고
대답한 청소년들에게 변화가 나타났다. 청소년들은 스마트폰을 장시간 사용함으로써 자신, 또래관계, 부모와의 관계에 도움이 되지 않는 부분을 이야기하였다. 하지만, 이야기치료를 통하여 청소년들 개인, 또래관계, 가족관계에 변화가 나타나기 시작하였다. 스마트폰 사용시간을 줄이는 대신에 친구들과 직접 이야기 할 시간이 증가하였고, 부모에게도 스마트폰 사용으로 지
적을 받는 일들이 감소하고 대화하는 시간이 증가되었다고 보고하였다. 이것은 청소년들이 자기 자신, 가족관계, 또래들과의 관계에서 나타나는 독특한 결과의 영향력이라 볼 수 있다. 이러한 결과는 이영근·김희철〔27〕의 연구에서 가족내 의시소통이 높을수록 인터넷 사용시간이 감소한다는 연구결과와도 비슷한 맥락이다. 결론적으로 이야기치료 집단상담 프로그램에 참여한 청소년들은 통제집단에 비하여 스마트폰중독 가능성이 낮아졌음을 확인할 수 있었다. 이러한 결과는 청소년들이 스마트폰으로 인한 자신의 문제를 자신과 분리시키는 외재화작업과 대안적 이야기를 통하여 자신의 삶의 새로운 가능성을 발견하였기 때문이라고 여겨진다. 지금까지 기술한 결과들을 기초하여, 본 연구에서 개발된 프로그램의 의의를 제시하고자 한다. 첫째, 본 연구에서는 조규영, 김윤희〔24〕의 연구에서 제언한 것과 같이, 이야기치료 집단상담 프로그램을 통하여 스마트폰의 중독과",최인호(In Ho Choi),2017,https://www.riss.kr/link?id=A103096821
확률형 아이템 게임 이용이 청소년의 게임 과몰입 변화에 미치는 영향,"최근 청소년의 확률형 아이템 게임 이용이 게임 과몰입을 심화하거나 심리사회적 문제를 야기할 수 있다는 사회적 우려가 증가하고 있다. 이에 본고는 1년에 걸친 설문조사 데이터를 바탕으로 두 가지 연구 문제를 제시했다. 첫 번째, 확률형 아이템 게임 이용이 1년 후 청소년의 심리사회적 변인(자존감, 우울감, 자기통제력, 물질가치 등)과 게임 과몰입에 미치는 효과를 검증하고자 하였다. 두 번째, 확률형 아이템 게임 이용 유무에 따라 청소년의 게임 과몰입에 미치는 심리사회적 변인의 영향력이 차이를 보이는지 확인해보았다. 분석 결과, 확률형 아이템 게임 이용 집단은 비이용 집단보다 자존감이 낮았으나 게임 과몰입과 물질가치는 더 높은 것으로 확인되었다. 또한 확룰형 아이템 이용 집단은 비이용 집단과 달리 자존감과 물질가치가 게임 과몰입에 유효한 영향을 미치는 것으로 나타났다. 이후 그 결과를 분석하였다.",이승제(Seungje Lee),2018,https://www.riss.kr/link?id=A106068930
한국 게임의 역사에 관한 연구,,윤형섭,2013,https://www.riss.kr/link?id=A99608503
게임 이용자의 추세 경향 분석,"게임 이용자에 대한 경향 분석은 게임 산업 예측, 게임 마케팅, 그리고 게임관련 정책 결정과정에서 중요한 의미를 가진다. 따라서 선행연구에서는 게임 이용자의 경향 및 특성에 대하여 많은 조사가 이루어졌다. 하지만 주요 선행연구들은 주로 설문조사 형식으로 이루어져 그 시점에서의 정보만 제공한다는 한계를 가진다. 따라서 본 연구에서는 게임백서의 자료를 바탕으로 게임 이용자 경향에 대한 추세 분석을 하여 이에 대한 시사점을 찾고자 하였다. 게임이용자의 추세 경향을 검토한 주요 시사점은 다음과 같다. 첫째, 게임 이용자는 증가하고 있지만 게임에 대한 부정적 인식도 증가하고 있다. 둘째, 청소년 사이에서 게임은 주로 TV의 대체재로서의 성격을 지니고 있었으며, 게임 이용 시간은 당시 유행하는 게임의 존재 여부, 유행 게임의 유형에 따라 영향을 받는다. 셋째, 아이템거래의 대부분은 소수의 게이머에 의해서 집중적으로 이루어지고 있는 것으로 보인다.",최성락,2010,https://www.riss.kr/link?id=A100161359
철도 시뮬레이션 게임의 활성화 방안 연구,시뮬레이션 게임은 정해진 함숫값 내에 변화가 생겼을 때 변화를 관측하는 장르의 게임으로 정의 내릴 수 있다. 시뮬레이션 게임은 현실을 재현하는 데 중심을 맞춘 게임으로 현실의 반영도가 높을수록 난이도가 어렵고 구성이 복잡해져 진입 장벽이 높다는 단점을 지니고 있다. 본 연구에서는 일부 마니아층의 전유물로만 평가되는 철도 시뮬레이션 게임을 중심으로 전문가 인터뷰를 진행하여 현재 철도 시뮬레이션 게임이 지니고 있는 문제점을 파악하는 한편 철도 시뮬레이션 게임 사용자들을 대상으로 설문조사와 다중회귀분석을 진행하여 철도 시뮬레이션 게임의 활성화와 초기 진입 장벽을 낮출 수 있는 개선 방안을 제시하였다.,이규복,2022,https://www.riss.kr/link?id=A108246861
게임 공간 내 경로 계획을 위한 적분형 MLS 기반 필드 인식 기법,"보다 사실적인 대규모 게임 환경을 구축하기 위해서는 NPC(Non-Player Character)의 지능적인 경로 계획 기법이 필수적이다. 본 논문에서는 필드 기반 경로 계획 기법의 하나로 지금까지 기하 모델링에 사용되어 왔던 적분형 MLS(Moving Least Squares) 기법의 적용을 제안한다. 이 기법은 다른 필드 방식(부호 거리장 기법, SDF)에 비해서 모든 지점에서 연속, 미분 가능(C1)한 부드러운 경로를 제공하며 간단한 매개변수 하나만으로 지형 장애물과의 상대적인 거리에 따른 자연스러운 동선을 형성할 수 있다. 적분형 MLS는 GPU 기반 병렬 기법과 2차원 및 3차원에서의 해석이 상당히 진행되었으며 비교적 어려운 3차원 공간 상의 경로 계획에도 적용할 수 있다.",박태정,2012,https://www.riss.kr/link?id=A60156863
