
MBTI가 인스타그램 프로필사진에 미치는 영향,"선천적인 성격기질을 나타내는 MBTI에 따라 보이는 이미지가 다르다는 선행연구를 바탕으로 본 연구는 MBTI가 소셜미디어 플랫폼 인스타그램에서 본인을 대표하는 이미지인 프로필사진에 MBTI 유형마다 나타나는 차이점이 있다고 예상하여 그 상관관계에 대해 알아보고자 한다. 인간의 성격 유형을 16개로 분류하고 있는 MBTI와 소셜미디어 플랫폼 인스타그램은 오늘날 많은 사람들로부터 꾸준한 관심을 받아 오고 있다. 타인과의 소통을 주목적으로 하는 인스타그램은 자신을 보여 주고 표현하는 매개체로서의 역할도 수행한다. 이를 토대로 소셜미디어 플랫폼에서 활발히 활동 하는 20대 102명을 대상으로 설문조사를 실시하였다. 그에 따른 설문결과를 IBM SPSS Statistics 29버전 프로그램을 활용하여 자료를 분석하였다. 분석결과, 에너지의 방향성을 나타내는 외향-내향지표만이 인스타그램 프로필사진과 유의미한 관계를 가진다는 결과가 나왔다. 본 연구는 선천적 성격기질을 나타내는 MBTI와 대중적인 소셜미디어 플랫폼인 인스타그램의 상관관계와 MBTI가 자기자신을 대표하는 이미지인 인스타그램 프로필사진에 어떤 영향을 미치는지 파악해보는 점에서 의의를 지니며 MBTI 성격유형검사와 소셜미디어 플랫폼 인스타그램에 관련된 여러 분야에 기초 자료가 될 것을 기대한다.",배가람 ( Garam Bae ),2023,https://www.riss.kr/link?id=A108702898
한국의 넷플릭스 효과: 코로나 19 팬데믹 시대 미니시리즈 형식의 내러톨로지 혁신에 관한 연구 - 오징어 게임과 지옥을 중심으로,"전세계적인 코로나 19 대유행이 한창이던 2021년, 불과 두 달 만에 넷플릭스는 두 개의 디스토피아적인 한국의 미니시리즈 오징어 게임과 지옥을 발표해 각각 당시 넷플릭스 전체에서 최고의 시청이라는 기록을 세웠다. 이는 미국 디지털 스트리밍 플랫폼에서 대한민국 한류의 성공을 알리는 신호탄이 되었다. 이 두 미니시리즈는 전세계 시청자들에게 재앙적 혁신에 대한 신자유적인 대응이 미치는 부패의 효과에 대해서 소득 불평등이라는 한국 사회의 규범적인 이슈와 대중매체와 종교의 영향력 문제를 중심으로 다루고 있다. 이 논문은 두 미니시리즈 드라마가 한정된 횟수의 시리즈 드라마 형식을 통해 어떻게 내러톨로지적인 혁신을 제시하고 있는 지를 비교 분석하고 있다: 오징어 게임은 게임 디자인 플롯 구조를 사용하는 반면 지옥은 두 개의 더 작고 상호 관련된 앤솔로지를 창조하여 중요한 스토리 격차를 구현하고 있다. 그리하여 이러한 구조적 접근법은 국제 미디어 현상에서 볼 때 각각의 미니시리즈 드라마가 그들만의 주제적 관점으로 매력과 성공을 거머줬다고 압축해서 볼 수 있겠다.",마이클엉거 ( Michael A. Unger ),2023,https://www.riss.kr/link?id=A108702904
의향 표현 특성에 관한 연구: 사진 작품의 추상적 표현에주목,"동방 전통 미학은 예로부터 상상력과 시의로 가득 찬 의향적(imagery) 사고를 담고 있으며, 의향적 표현은 세계인의 정신 세계와 예술 창작에 대하여 큰 역할을 하였다.본 글은 먼저 ‘의향’의 근원을 추적하고 그 생성과 발전의 맥락을 정리하고 개괄하며, 미학적 범주와철학적 범주에서 의향 및 의향 표현의 내포와 의미를 논의하고 그리고 사진 창작에서 구현되는 중요한 가치를 논증한다. 사진이라는 시각적 매체의 특성과 촬영 주제의 선택을 기반으로 하여 각 구상과 추상 두 가지 방면에서 사진 속 의향의 표현 방식을 설명한다. 사진 사례를 통해 사진 창작자의 의향 표현 기법을 분석하고 색채 연감, 평면 구성, 포스트모던 어휘의 세 가지 측면에서 각각 분석하여 의향 표현의 독특한 바람과 사진 창작의 시각적 표현력을 엿본다. 본 연구를 바탕으로 예술적 관념과 예술 창작에 방면에서’의향’의 사진 작품을사랑하는 독자들에게 지지, 도움과 사고를 줄 수 있다는 것을 기대된다.",곽동기,2022,https://www.riss.kr/link?id=A108359221
할로윈 데이의 코스튬 놀이,"1 ""코스튬플레이어들의 라이프스타일과 행동 특성에 관한 연구"" 6 (6): 2004",김창현 ( Chang Hyeon Kim ),2007,https://www.riss.kr/link?id=A75043072
사진가 조문호의 도시 빈민 다큐멘터리 작업의 의미 : 니체 예술론 위버멘쉬 개념을 중심으로,"사진을 전시를 위한 예술작품으로서보다는 기록 중심의 성격이 더 강한 작업을 하는 사진가의 작품은 근대 미학 밖에 있는 예술론으로 평가해야 한다. 그러한 예술론으로는 고대 그리스의 미학을 토대로 하여 만들어진 니체의 예술론을 둘 수 있다. 니체의 예술론은 결과가 아닌 과정 특히 삶의 태도를 예술성의 생명으로 여긴다. 조문호의 동자동 쪽방 주민과 서울역 노숙인의 삶을 기록한 다큐멘터리 작업의 기저에는 니체 예술론의 의미가 분명하게 들어 있다. 고통받는 인간의 운명을 긍정하고, 사육당하지 않아야 하는 인간 실존 의식을 강하게 갖고 있으며, 그들 속으로 들어가 공동체의 일원으로 그들의 삶을 회피하려 하지 않고 대면하고 부닥쳤으며, 그들의 삶을 사진으로 재현할 때 조형미에 치우치지 않고, 사실과 최대한 가깝게 있는 그대로 재현하였다는 점을 그 이유로 들 수 있다. 따라서 그의 작품에 의미를 부여하고, 예술성을 평가하고자 하면 단순히 근대 미학의 결과물 중심에서 형식주의의 창의성으로만 해서는 온당치 못하다. 이미지와 살아 있는 세계 사이의 관계를 변증법적으로, 대상-사진가-독자의 총체적 관계에서 이해해야 한다. 이는 존재와 상황을 통합적으로 보는 것이고, 개체를 전체 속 존재로 위치시키는 것이다. 결국, 조문호의 작업은 서사 안에서 각각의 이미지는 독립적인 예술작품이 아니고, 전체가 하나로서 통합하여 인간 실존의 의미를 지향한다. 그러한 의미에서 사진가가 사진의 대상 내부로 들어가 내부자의 시선으로 작업을 하였다는 의미가 강하다.",이광수 ( Kwangsu Lee ),2023,https://www.riss.kr/link?id=A108702901
"사진의 부분성과 정체성 , 개별성과 객관성에 대한 해석","사진의 공간감은 살아 움직이는 3차원의 세계를 작가의 눈과 이미지로 풀어서 한 장의 평면적인 1차원의 세계로 압축한 것이다.
한 장의 사진을 구성하는 요소들은 전체를 이루는 구성 요소적 부분으로서의 부분성과 개별 요소인 의미를 갖는 동시에 개별요소가 이룬 전체적 역할로서의 의미를 가지게 된다. 사진에 있어서의 부분성은 전체를 이루는 시발인 셈이다. 또한 사진에 있어서의 시간성은 셔터를 누르는 동시에 정지된 그 순간 고정된 시간적 의미를 지닌다.
셔터를 누르면서 고정된 그 이미지는 작가의 주관과 작가의 의미, 메시지를 내포하는 시간이 됨과 동시에 그 시간은 ""죽은 시간""이 된다. 더 이상 흐르지 않는 역사의 시간이 되는 것이다.
그러나 그 시간성이 의미를 지니는 또다른 부분은 찍는 순간 정지된 화석화된 시간이 관람자의 눈과 보는 시간으로부터 또 다른 시간과 의미를 재부여 받게 된다.
본 작업은 개별성으로부터 의미가 시작되어 전체로 의미가 집약 되고, 작가의 주관적인 해석과 의미로부터 관람자로부터 객관성을 부여받고 주관성은 획득하는 것에 그 초점을 맞추었다.
관람객도 작품의 한 요소로, 작가의 한사람으로 참여하게 되는 것이다.",조주은,1999,https://www.riss.kr/link?id=A3035402
통합 문화예술교육 유형과 프로그램 개발에 관한 연구,"문화와 예술 교육은 삶의 문제들을 적극적으로 다루면서 통합과 융합이 문화와 예술 교육의 중요한 주제와 방법으로 부각되었습니다. 하지만 통합된 문화와 예술 교육의 정의, 개념, 유형에 대한 연구는 아직 많지 않습니다. 본 연구는 통합된 문화와 예술 교육의 정의와 개념을 검토하고, 다음과 같은 여섯 가지 범주로 다양한 유형의 통합을 개념화하였습니다: 예술 장르 간의 통합, 예술과 기술의 융합, 다른 전문분야와의 통합, 사회 문제 중심의 통합, 예술과 교과목 통합, 그리고 참여자 통합. 이러한 분류와 범주화는 현대 문화와 예술 교육의 변화하는 상황을 반영합니다. 또한, 통합된 문화와 예술 교육 프로그램 개발을 위한 방법과 발전 요소들이 고려되었으며, 구체적인 예시를 통해 프로그램 개발을 위한 구체적인 방안들이 제시되었습니다. 이 연구를 통해 다양한 정의로 정리되지 않았던 통합된 문화와 예술 교육의 개념이 확립되고, 실제 현장에서 프로그램 개발에 적용 가능한 방안들이 제시될 것으로 기대됩니다.",현혜연 ( Hye-yeon Hyun ),2023,https://www.riss.kr/link?id=A108702903
뉴스사진의 기호학적 분석에 관한 연구,"사진은 시각적 기호이기 때문에 아주 쉽게 국가의 장벽, 언어의 장벽을 뛰어 넘어 커뮤니케이션 할 수 있는 언어이다.
사진은 사건을 요약하고 관념을 상징화하는 놀라운 기능으로 사건의 본질, 의미를 전달하는데 뉴스사진이 활용되어 지는 것이다.
본 논문은 포토저널리즘의 뉴스사진을 기호학적 접근 방법으로 사진 속에 내포되어 있는 기호의 의미 현상을 해석하고 분석함으로 사진은 단순한 시각매체가 아닌 특정한 의미를 가진 언어라는 것을 인식하고 사진기호학에 대한 지속적인 연구를 강화하고자 함이 연구 목적이다.
기호표현은 기호의 물리적 실체로 무엇을 표현하기 위한 소리, 인쇄된 글자, 또는 영상과 같은 것이며, 기호내용을 기호가 대변하는 '정신적 개념' 을 말한다
사진은 눈앞에 보이는 것을 찍어 그대로 보여준다는 점에서 순수한 사진 그 자체는 외시의미적이고 객관적이라 주장한다.
따라서 외시의미적으로서의 코드 없는 사진은 함축의 미를 품는 코드 있는 메시지가 된다.
포토저널리즘에서의 사진은 분명 시각적 언어로서 기호란 점을 인식하여 보다 선진화된 뉴스피처 사진이 신문 잡지 매체에 게재 될 수 있는 계기가 되었으면 한다.",오승환,2000,https://www.riss.kr/link?id=A3035435
Walker Evans and the F. S. A. Project,"본 논문에서는 대표적인 다큐멘터리 사진가 Walker Evans의 작품과 활동을 1935년 미국 뉴딜 정책에 따라 시행된 농업 안정국(Form Security Dimistration : FSA) 사진 활동을 중심으로 살펴보고자 하였다.
사진사의 새로운 국면을 맞이하는 시기인 1920년대와 1930년, 다큐멘터리 사진의 예술성을 사진 미학 관점에서 본격적으로 논의하기 시작한 당시의 상황에서, 워커 에반스의 다큐멘터리 사진은 그 작품성을 높이 평가받음으로써 다큐멘터리 사진의 길을 본격적으로 열었다고 할 수 있다.
사진사에 새로운 전기를 마련한 그의 독특한 작품들은 미국의 사진적 전통을 이어받으면서 한편 그가 바라본 현실상황을 감성적으로 작품에 투영시켜, 보는 이로 하여금 현실기록과 느낌의 공감대라는 새로운 장을 마련하였다. 단순한 현장의 기록을 뛰어넘어 그 생생한 현장감과 조화를 이루는 피사체의 드러나지 않는 삶의 숨결을 독특한 조형 구성과 단순화된 주제부각 방식으로 표현하고 있다.
특히 농업안정국 사진활동에서는 공식적인 기록이라는 다큐멘터리 사진의 한계를 넘어 도로시 랭(Dorothea Lange)과 함께 삶의 진실 된 모습을 담아낸 일련의 작품들로 다큐멘터리 사진을 예술적인 차원으로 끌어올리는 전기를 마련하였다.","Lee, Jae Gu",2001,https://www.riss.kr/link?id=A30019291
제주관광사진에 대한 연구,"제주도는 지역경관과 지역문화가 독특한 천혜의 관광지로서 연간 來道客이 400만명을 넘어섰으며 관광수입도 1조원을 넘기고 있다. 제주도를 찾는 관광객은 91%가 항공루트를 이용하여 주로 2박3일의 일정으로 여행을 한다. 그러나 신혼여행 특수나 연휴 등의 관광 성수기와 비수기의 차이가 현격하기 때문에 호텔이나 항공권 등의 포화상태와 空洞化를 극복하는 것도 제주관광산업의 커다란 과제이다.
관광사진은 다큐멘터리 사진의 한줄기로 객관적 사실에 대한 작가의 주관적 해석을 필요로 하는 사진의 한 장르로서 산업의 발달과 생활수준의 향상으로 미지의 세계에 대한 신비감과 동경심이 옮겨져 인간시각의 확장이 거듭되어 보다 창조적이며 사실적인 이미지로 발전되어 왔다. 제주도를 방문한 신혼여행객들을 설문 조사한 결과 신혼여행객의 대부분인 78%가 제주관광 사진앨범을 제작하였으며 소요경비로 30만원에서 100만원 사이의 고가의 관광사진 앨범을 주로 제작 의뢰한 것으로 나타났다(65%).
제주관광사진은 제주관광산업에 있어서 매우 중요한 역할을 하고 있으며 제주관광사진의 보다 지속적인 발전과 보다 높은 위상 정립을 위해 관광사진가와 관광사진, 관광관련종사자는 독창성 있는 관광사진을 연출하고 다양한 사진적 표현을 강구하여 관광사진가와 관광사진 관련종사자에게 라이센스 등의 자격제도를 두어 보다 높은 서비스와 수준 높은 관광사진을 제공할 제도적 규제가 필요하다. 무엇보다 지방자치 단체와 관광관련기관 및 산업체의 일관성 있는 관광정책의 지속적인 추진과 다양한 관광상품개발에 전력해야 할 것이다.",이상규,1999,https://www.riss.kr/link?id=A3035357
