
"간호대학생의 사회적지지, 학업스트레스, 임상실습스트레스","연구의 목적은 간호대학생의 학업스트레스와 임상실습스트레스, 사회적지지의 정도를 파악하고 이들 변인간의 관계를 규명하고자 하는 서술적 상관관계연구이다. 본 연구의 대상자는 경기 소재 2개 대학과 경북소재 1개 대학의 간호과 3학년 125명을 대상으로 자료는 2013년 11월 1일부터 11월 30일까지 설문지를 이용하여 수집하였으며, SPSS프로그램을 이용하여 서술적 통계, ANOVA, Sch?ffe test, Pearson Correlation Coefficient로 분석하였다. 연구결과 간호학생의 일반적특성에 따른 사회적지지 정도는 대인관계, 성격성향에 따라 통계적으로 유의한 차이를 보였다. 일반적 특성에 따른 학업스트레스 정도는 종교, 간호학 선택동기, 전공만족도에 따라 유의한 차이를 보였다. 임상실습스트레스에 대한 일반적 특성에 따른 차이를 살펴보면, 성별과 임상실습만족에 따라 통계적으로 유의한 차이가 있는 것으로 나타났다. 상관관계를 살펴보면 교수의 지지와 임상실습스트레스와 유의한 부적상관관계를 보였으며 친구지지와 가족지지사이에 유의한 정적상관관계를 보였다. 임상실습스트레스와 학업스트레스가 유의한 정적상관관계를 보였다. 본 연구 결과에 의하면, 간호대학생의 임상실습스트레스를 감소시키기 위하여 사회적 지지측면에서 임상교수의 실습지도역량을 개발시킬 수 있는 프로그램 개발이 필요할 것이다.",양윤경(Yun Kyung Yang),2014,https://www.riss.kr/link?id=A106490499
국내 대학생들의 카페인 섭취행태와 카페인의 관련 증상,"연구배경: 카페인은 의학적으로 인체에 상당한 해가 된다는 일치된 견해가 없고 사회적으로 큰 문제를 일으키지 않아 알코올이나 흡연에 비해 잘 다루어지지 않았으나 이는 많은 사람들이 즐겨 섭취하는 물질이고 최근에 국내 커피 섭취량이 증가하고 있으며, 향후 카페인 함유 식품에 고카페인 표시를 추진할 예정이어서 카페인의 섭취행태와 관련 증상의 조사는 중요하다.
방법: 2003년 10월부터 12월까지 국내 대학생들을 대상으로 체계화된 자기기입식 설문을 한 후 연구대상자 810명에서 사회인구학적 변수, 각각의 카페인 섭취원에 따른 하루 카페인 섭취량의 합을 계산하고 DSM-IV의 물질의존과 카페인의 금단에 대한 연구 진단기준, 카페인중독의 정의를 사용하여 카페인 관련 증상을 평가하였다.
결과: 연구대상자 810명(하루 카페인 섭취량의 평균=120.49 mg) 중 DSM-IV의 물질의존 진단기준에 의한 카페인의 의존성향은 내성 61.1%, 금단 46.3%, 의도보다 많은 양을 섭취 46.0%, 섭취의 중단이나 조절에 실패 12.6%, 카페인의 섭취나 카페인을 얻기 위해 많은 시간을 보냄 26.3% 등이었다. 카페인 섭취가 최소 24시간 동안 없었던 경험을 한 711명(하루 카페인 섭취량의 평균=116 mg) 중에서 금단증상은 피로(37.7%), 기면(17.6%), 두통(14.5%), 불안(8.3%) 등의 순서였으며 일상생활에 영향을 줄 만큼 과도한 금단증상을 경험한 사람은 6.19%였다. 카페인 중독증상은 수면장애(41.9%), 배뇨과다(35.8%), 빠르거나 불규칙한 심박동(26.7%), 위장장애(23.3%)등의 순이었으며 카페인과 관련된 신체적 또는 정신적 문제를 알고 있음에도 불구하고 섭취를 계속한 경험이 있는 사람은 22.6%로 나타났다.
결론: 상당수의 카페인 섭취자들은 의존성향과 함께 금단 및 중독증상이 있었으며, 이는 경하기는 하지만 습관적인 카페인 섭취자들에게 흔히 경험하는 부작용이었다.",이병훈,2007,https://www.riss.kr/link?id=A99936322
한국 노인의 우울증과 관련된 요인,"연구배경 : 현대의학의 발달로 인해 노인인구가 증가함에 따라 노인정신질환에서 흔히 볼 수 있는 우울증에 대한 관심이 높아지고 있다. 본 연구에서는 노인우울증과 관련이 있는 요인들을 분석하여 노인우울증의 올바른 이해와 적절한 치료 및 사회적 중재에 도움을 주고자 하였다.
방법 : 1999년 7월부터 10월까지 전국의 11개 종합병원 가정의학과 또는 재활의학과 노인병 클리닉에 내원한 60세 이상의 노인환자 302명을 대상으로 기 완성된 한국형 포괄적 노인평가 도구를 이용하여 노인우울증과 관련이 있다고 알려진 여러 변수들을 조사하였다. 대상자중 분석이 가능하고 심한 인지기능의 장애가 없는 203명의 환자들을 연구에 포함시켰으며 여러 변수들과 우울증과의 관련성을 보기 위해 1986년 Sheikh와 Yesavage가 개발한 단축형 노인우울척도를 사용하여 우울증이 있는 군과 우울증이 없는 군으로 나누어 chi-square test와 logistic regression analysis를 통해 각각의 변수들과의 관련성을 분석하였다. 통계 프로그램은 SAS 8.1/PC을 사용하였다.
결과 : 전체 203명중 우울증이 있는 노인은 120(59.1%)명으로 과반수이상을 차지하였고 이변량 분석상 우울증의 관련요인으로 교육수준이 낮은 경우, 배우자와 사별한 경우, 사회적 지지도가 낮은 경우, 운동을 하지 않는 경우, 영양 상태가 불량한 경우, 본인 스스로가 느끼는 건강상태가 나쁜 경우, 질병수가 3개 이상인 경우, 기본적 일상생활 수행능력의 장애를 보인 경우, 인지기능의 저하가 있는 경우였다. 다변량 분석 상 우울증의 관련요인으로 연령이 낮을 수록(p=0.001). 배우자와 사별한 경우(p=0.001), 사회적 지지도가 낮은 경우(p=0.004)이었다.
결론 : 우울증과 관련된 요인으로 연령, 사별유무, 사회적 지지도 등이 유의하였으나 연구의 제한점으로 인해 본 결과에 대한 다각적인 분석이 필요하리라 여겨진다.",정현주(Hyun Joo Chung),2001,https://www.riss.kr/link?id=A101602657
성인의 신체활동과 스트레스 인지정도: 2017년 국민건강영양조사자료를 이용한 단면연구,"본 연구는 신체활동 유형과 스트레스 인지수준과의 연관성을 탐색하는 서술적 조사연구이다. 국민건강영양조사(2017년)자료를 이용하여 20세 이상 성인(5,624명)의 유산소활동, 근력운동, 걷기 활동량에 따라스트레스 인지수준에 차이가 있는지 분석하였다. 평소 스트레스를 많이 느끼는 사람은 1,539명(27.36%) 였으며, 복합표본 다중로지스틱 회귀분석 결과 일주일에 근력운동을 실천한 날이 더 많은 집단, 그리고 걷는시간이 더 많은 집단에서 스트레스를 높게 느끼는 오즈비가 더 낮았다(p＜0.01). 한편, 유산소활동은 총활동량보다 일에서의 신체활동량이 여가활동에서보다 더많은 경우 높은 스트레스인지수준과 관련 있었다.
스트레스 관리에 유용한 신체활동 프로그램 개발을 위한 심도있는 후속연구가 필요하다.",허재헌,2019,https://www.riss.kr/link?id=A105807729
"인지 행동적 스트레스 관리 프로그램이 응급실 간호사의 사회 심리적 스트레스, 기분 상태, 스트레스 대처방식에 미치는 효과","본 연구는 인지 행동적 스트레스 관리 프로그램이 응급실 근무 간호사의 사회심리적 스트레스, 기분상태, 스트레스 대처방식에 미치는 효과를 검증하기 위해 비동등성 대조군 사전사후 설계로 수행되었다. 본 연구는 실험군 39명, 대조군 40명을 대상으로 하여 실험군에게 4주간 7회기에 걸쳐 인지 행동적 스트레스 관리 프로그램을 적용하여 효과를 검증한 결과, 인지 행동적 스트레스 관리 프로그램을 적용한 실험군과 대조군에서 사회심리적 스트레스, 기분상태, 대처방식에 통계적으로 유의한 차이를 나타내었다. 따라서 인지 행동적 스트레스 관리프로그램이 응급실 간호사의 스트레스 관리에 효과가 있는 것으로 확인 되었다.",김자현(Ja-Hyun Kim),2021,https://www.riss.kr/link?id=A106490504
교대근무 간호사의 수면장애와 직무 스트레스가 이직의도에 미치는 영향,"본 연구는 교대근무 간호사들의 수면장애와 직무 스트레스가 이직의도에 미치는 영향을 파악하기 위한 서술적 조사연구이다. J도의 J시, G시, N시에 있는 3교대 간호사들을 대상으로 175명이 편의 추출되었으며, 일반적 특성, 수면장애, 직무 스트레스, 간호사 이직의도를 측정할 수 있는 도구를 포함한 설문지를 이용하여 자료를 수집하였다. 수집된 자료는 서술통계, ANOVA, 상관분석, 위계적 다중회귀 분석을 하였다. 연구결과 대상자의 수면장애와 이직의도 간, 직무 스트레스와 이직의도 간, 수면장애와 직무스트레스 간에 유의한 정적 상관관계가 있었다. 대상자의 이직의도에 영향을 미치는 변수로는 임상경력, 직무 스트레스의 하부영역 중 직장문화, 급여수준, 수면장애 총합 순으로 나타났다. 따라서 본 연구결과를 바탕으로 교대근무 간호사 이직의도의 예측요인 뿐 아니라 이직의도에 영향을 줄 수 있는 다양한 변수를 포함한 반복 연구를 제언한다.",양은옥(Eun Ok Yang),2017,https://www.riss.kr/link?id=A107764314
간호대학생의 MBTI 성격유형과 자기효능감 및 스트레스 대처방식,"본 연구는 간호대학생의 MBTI 성격유형을 4가지 선호지표로 나누어 각각의 선호경향에 따른 자기효능감과 스트레스 대처방식간의 차이를 규명하고, 스트레스 대처방식에 미치는 영향을 탐색하기 위해 수행되었다. 연구도구는 한국형 MBTI 성격유형검사와 자기효능감, 스트레스 대처방식 측정도구를 이용하였으며, 총 135부의 자료를 기술통계와 t검정, 다중회귀분석을 이용하여 분석하였다. 간호대학생의 MBTI 선호지표에 따른 자기효능감의 차이에서는 외향형이 내향형보다 사회적 자기효능감과 일반적 자기효능감이 모두 높았고, 사고형이 감정형보다 일반적 자기효능감이 높은 것으로 나타났다. MBTI 선호지표에 따른 스트레스 대처방식의 차이에서는 외향형이 내향형보다 사회적 지지추구 대처와 능동적 문제해결 대처에서 모두 높아 문제중심 대처를 많이 하는 것으로 나타났고, 사고형과 판단형도 감각형과 인식형보다 능동적 문제해결 대처를 더 많이 사용하는 것으로 나타났다. 한편 내향형은 외향형보다 소망적 사고대처가 높고, 감정형은 사고형보다 소망적 사고대처와 정서적 완화대처에서 모두 높아 정서중심 대처를 많이 하는 것으로 나타났다. 간호대학생의 스트레스 대처방식에 대한 MBTI 선호성과 자기효능감의 설명력은 능동적 문제해결 대처에서 가장 높았고(30.6%), 판단형 선호성과 일반적 자기효능감이 능동적 문제해결 대처의 유의한 예측요인으로 나타났으며, 사회적 자기효능감이 사회적 지지추구 대처의 예측요인이며, 내향형 선호성이 소망적 사고 대처의 예측요인인 것과 감정형 선호성이 정서적 완화 대처의 유의한 예측요인임이 각각 밝혀졌다. 본 연구는 간호대학생의 개인적 특성인 성격유형 및 자기효능감이 스트레스 대처방식에 미치는 영향력에 대한 의미있는 결과를 제공함으로써 스트레스 관리 및 중재프로그램 개발과 연구의 기초자료로 활용할 수 있다는 데 그 의의가 있다.",이지영(Jee Young Lee),2010,https://www.riss.kr/link?id=A104891809
"일개 대학 간호대학생의 성격특성, 스트레스 대처방식이 임상실습 스트레스에 미치는 영향","본 연구는 간호대학생의 성격특성 및 스트레스 대처방식이 임상실습 스트레스에 미치는 영향을 알아보고자 수행되었다. 간호대학생을 대상으로 설문조사를 수행하여 총 88부를 수집하였고, 수집된 자료는 SPSS 23.0 프로그램으로 분석되었다. 연구결과, 성격특성 중 신경증(r=.356, p=.001)과 스트레스 대처방식(r=.285, p=.007)이 임상실습 스트레스와 유의한 상관관계가 있었다. 신경증(β=.31)은 임상실습 스트레스에 가장 큰 영향을 주는 요인이었고, 그 다음이 소극적 대처방식(β=.27)이었다. 이 변수들은 간호대학생의 임상실습 스트레스를 18% 설명하였다. 따라서 간호대학생들이 임상실습 스트레스에 효과적으로 대처할 수 있도록 하는 성격특성 및 대처방식 강화를 위한 프로그램 개발이 필요하다.",정유진(Yu-Jin Jeong),2016,https://www.riss.kr/link?id=A99949998
병원간호사의 직무스트레스 영역에 따른 스트레스 정도,"본 연구의 목적은 병원간호사가 직무수행 시 경험하는 직무스트레스 정도를 영역별로 파악하여 병원간호사의 직무 스트레스를 보다 더 감소시킬 수 있는 간호중재 방안 모색에 필요한 기초 자료를 얻고자 본 연구를 수행하였다. 본 연구의 대상은 서울과 경기지역에 소재한 3개 종합병원에 근무하는 간호사 163명이며, 자료수집기간은 2004년 9월부터 10월까지이었다. 연구도구는 Kim WH(2002)의 직무스트레스 측정도구를 수정?보완하여 간호업무 영역 17문항, 직무환경 영역 13문항, 대인관계 영역 14문항, 병원행정 및 병동관리 영역 8문항의 4개 영역 총 52문항(5점 척도)으로 구성된 설문지를 이용하였다. 자료는 SAS 프로그램을 이용하여 실수와 백분율, 평균과 표준편차, t-test, ANOVA, tukey test를 이용하여 분석하였다. 본 연구의 결과 임상간호사가 지각하는 직무스트레스는 평균평점 3.14로 나타났다. 간호사의 직무스트레스의 영역별 점수분포는 간호업무 영역이 2.89±8.5, 직무환경 영역이 3.45±7.6, 대인관계 영역이 3.02±7.5, 병원 및 행정관리 영역이 3.31±4.3으로서 4개 영역 모두 중등도 이상의 값을 나타내 직무스트레스 정도가 높은 편이었다. 이상의 연구결과를 토대로 간호조직은 간호사의 직무스트레스 경감을 위한 간호중재 방안 모색과 병원조직 차원에서 보다 안정적인 직무환경 구축, 부서별 원활한 협동업무를 위한 대인관계 구축방안, 간접간호활동 지원인력 확보 등 다각적인 방안이 강구되어야 할 필요성을 입증하였다는데 본 연구의 의의가 있다. 조직에서의 직무스트레스 관리는 업무효과성과 직무만족도를 향상시켜 간호업무역량과 간호의 질 나아가 의료의 질을 향상시킬 것이다.",고유경(Yu Kyung Ko),2009,https://www.riss.kr/link?id=A106490503
당뇨와 임신 - 임신성 당뇨병 치료와 관리 _고혈당이 태아와 임신부에게 미치는 영향,당뇨병으로 인한 태아의 위험은 당뇨병의 유전요인보다는 임신부의 대사 장애에 의한 것으로 당뇨병 형태에 따른 태아의 위험 차이는 없는 것으로 추축할 수 있다. 그러나 제 1형 당뇨병임신부는 케톤산혈증이 발생할 가능성이 높고 케톤산 혈증이 발생하면 태아 사망의 가능성도 높아진다. 또 제 1형 당뇨병임신부는 당뇨병성 혈관합병증이 동반될 가능성이 많아 자기의 주 수 보다 체중이 미달되는 경우와 조산 및 임신 중 고혈압질환이 발생할 위험성이 높아진다. 제 2형 당뇨병임산부는 임신부가 비만일 경우 거대아 출산 및 임신 중 고혈압질환이 발생할 위험이 높아진다. 그러나 대부분의 합병증은 임신 전과 임신기간 동안 양호한 혈당조절로 감소시킬 수 있다.,사단법인 한국당뇨협회,2011,https://www.riss.kr/link?id=A102594072
