
한국형 우울장애 약물치료 알고리듬 (Ⅳ),"Objectives : In 2002, the Korean Medication Algorithm Project for Major depressive Disorder (KMAP-MD) was published, but there has been a need for a guideline about detailed issues of depressive disorder. We revised KMAP-MDD andreestablished Korean Medication Algorithm Project for Depressive Disorder (KMAP-DD) in 2006.
Methods : A questionnaire had been developed by the executive committee for KMAP-DD. The review committee consisted of 101 experienced psychiatrists. From the total of 22 questions in the questionnaire, 7 questions were evaluated for these subjects . We classified the expert opinions to 3 categories according to its confidence interval; first, second and third line.
Results : SSRI and venlafaxine were the first line antidepressants (AD) for atypical and melancholic depression. For dysthymic disorder and minor depressive disorder, SSRI was recommended as the first line medications. Only AD medications was a preferred initial strategy for treating premenstrual dysphoric disorder, mild to moderate and severe non-psychotic postpartum depression. In severe psychotic postpartum depression, combination therapy of AD and atypical antipsychotics was the treatment of choice. SSRI was preferred when considering sedation, anticholinergic and cardiovascular adverse effects. Also, experts recommended mirtazapine against gastrointestinal adverse effects and bupropion in avoiding sexual dysfunction.
Conclusion : These results suggest that clinicians have to consider both clinical situations and drug adverse effects in the choice of antidepressant medications.",전현태,2007,https://www.riss.kr/link?id=A2011097
"밤번고정근무 간호사와 3교대근무 간호사의 직무만족도, 간호업무수행정도 비교 및 밤번고정근무제도에 대한 인식","Purpose: The purpose of this study was to compare job satisfaction and nursing performance of nurses on fixed night shifts (FNS) and nurses working three shifts (W3S), to identify the environment of night work and recognition of the viability of the FNS system. Methods: The research was conducted with 106 nurses on FNS and 257 on W3S. The nurses had worked for 1 to 11 years at A hospital, Seoul. Results: Job satisfaction was significantly higher (t=-3.51, p< .001) for nurses on FNS. However, no significant difference was found for nursing performance (t=-1.019, p =.309) between the two groups. Both groups of nurses were mostly satisfied. Subjective fatigue scores (0 to 10 points) during the night for nurses on FNS (6.02) were lower than for W3S nurses (7.28) A high percentage (88.7%) of nurses on FNS indicated a willingness to further participate in FNS. Conclusion: Results indicate that the demonstration FNS system showed its effectiveness. Therefore, efforts are needed to enhance and revitalize FNS and to upgrade the system to control patient transfer time from emergency departments to wards, and to provide nurses needed resources for emergency or intensive care.",이은숙,2012,https://www.riss.kr/link?id=A3002146
PDCA 모형에 기초한 QI활동 평가틀 개발 및 사례분석,"Purpose: This study was conducted to develop an evaluation framework for QI activity in medical institutions and to analyze QI activity cases by applying the developed evaluation framework. Method: A four-phase process was employed to develop the evaluation framework, and a descriptive survey was used for the QI case study. Data were collected in April, 2010 by examining 157 QI activity cases presented at conferences and published in Journal of Korean Society of Quality Assurance in Health Care over the past three years. Developed QI activity evaluation instruments were used for data collection. Data were analyzed using the SPSS 18.0 for Windows program. Result: A QI Activity Evaluation Framework was developed. This framework consisted of 45 items. The department with the highest level of QI participation was the nursing department. The most frequent QI activity theme was patient safety. QI activity levels in Korean medical institutions are relatively equalized without significant differences according to institution characteristics. Conclusions: From the quality aspect of QI activity, more systematic and scientific approaches are required to upgrade QI activity. This study could provide methodological guidelines for QI activity and be useful in setting goals and directions for QI activity in medical institutions in Korea.",박연화,2012,https://www.riss.kr/link?id=A1996655
한국어판 강점ㆍ난점 설문지(Strengths and Difficulties Questionnaire) 개발,"Objectives : This study aims to develop a Korean version of the Strengths and Difficulties Questionnaire (SDQ-Kr).
Methods : The Strengths and Difficulties Questionnaire (SDQ) is a brief behavioural screening questionnaire that can be completed by the parents within 5 minutes and used to assess the psychopathology (prosocial behaviour, hyperactivity, emotional problems, conduct problems, and peer problems) of 4-16 year olds. The SDQ was translated into Korean, retranslated back to English, and corrected after discussion with the original developer and trial test. The reliability and validity of the SDQ-Kr was evaluated by working with 347 parents of nonclinical (n=98), pediatric outpatient (n=92), and psychiatric outpatient (n=157) children.
Results : Working with 62 parents of nonclinical children, the test-retest reliability of 5 subscales of SDQ-Kr was 0.94-0.84(p<0.01). For 190 nonclinical and pediatric children, internal consistency of 5 subscales of SDQ-Kr was 0.80-0.50 (Cronbach's α). Factor analysis generated the five identical factors with the five subscales explaining 49.5% of total variance. For 347 children of nonclinical, pediatric, and psychiatric group, ANOVA showed that any two among the three groups was significantly different in subscales and total difficulties scores, except between pediatric and psychiatric children in emotional problems subscore (p<0.01). The discriminating rate among three groups was 75.5% in discriminant analysis.
Conclusions : The Korean version of SDQ shows very similar psychometric performance to the original SDQ developed by Goodman. This study gives evidence of the usefulness of the SDQ-Kr as a promising screening instrument for epidemiological research and clinical purposes.",안정숙,2003,https://www.riss.kr/link?id=A3009176
교대근무와 수면,"The rapid industrialization is associated with an increase in shift systems. Sleep problem is a major complaint of shift workers. This study was undertaken as one of a series of researches on shift workers and sleep. The purpose was to understand the sleep pattern and to offer basic data in order to improve a sleep regimen. The sleep log was administered to a relatively homogenous group of 38 psychiatric nurses who were on the two-daily phase delay(day/evening/night) rotating shift schedule. Some possible influencing factors to sleep pattern(age, sex, marital status, work duration, drug use, and physical and psychiatric diseases including sleep disorders) were controlled. The sleep measures were main sleep(starting time, latency, number of awakenings, length and subjective quality). Each measure was analyzed and compared accross the rest times at which the workers can take sleep and nap. Also, the possible relationships between the main sleep(quality and length) and naps(number and length) were analyzed.
The following results are based on the data of 33 of the 38 subjects. Five of the subjects who did not sleep during the rest time after the second night shift were classified seperately.
1) The beginning of the main sleep phase was delayed during the rest times after day, evening, and night shift, while advanced during the rest times after days off.
2) The sleep measures were significantly different across the rest times; for latency(F(7.224)=2.12, p〈.05), quality(F(7.224)=8.97, P〈.001), length(F(7.224)=41.13, p〈.001) of main sleep, and number of nap(F(7.224)=19.27, P〈.001) and length of nap(F(7.224)=12.79, P〈.001). The main sleep taken in the day time after night shift was generally poorer quality and shorter length than that in the night time after day and evening shifts and days off. Nap was relatively longer and more frequent during the rest time after night shifts than during the rest time after day and evening shifts and days off.
3) There were significantly negative relationships between the total length of main sleep and total number of nap(r= -.3632, p〈.001) and between the total length of main sleep and total length of nap(r= -.2253, P〈.001) across the rest times.",이형영,1991,https://www.riss.kr/link?id=A99768733
응급실 간호사의 전문직 삶의 질,"Purpose: Professional quality of life is the quality one feels in relation to their work as a helper. The purpose of this study was to describe professional quality of life among emergency nurses. Methods: A total of 15 emergency rooms were selected in three cities. Among 263 nurses working at these emergency rooms, 178 nurses consented to participate in this cross-sectional survey. Professional Quality of Life (ProQOL) Scale version 5 was used to measure compassion satisfaction, burnout and secondary traumatic stress. Cluster analysis was used to classify nurses according to professional quality of life. Results: The mean scores (SD) for compassion satisfaction, burnout, and secondary traumatic stress were 32.12 (5.45), 28.27 (4.28), and 28.20 (5.07), respectively. The result of cluster analysis according to standardized score of compassion satisfaction, burnout, and secondary traumatic stress yielded three clusters. Over 50% of participants showed low professional quality of life. Nurses who were included in a cluster representing low professional quality of life were younger, had shorter periods of nursing experience, and perceivedlower social support than other cluster. Conclusion: Education or support programs for emergency nurses are needed to enhance their professional quality of life.",김현주,2012,https://www.riss.kr/link?id=A1996956
"수간호사의 변혁적 리더십이 일반간호사의 심리적 안녕감, 스트레스 및 신체화에 미치는 영향","Purpose: This study was done to identify the relationship between transformational leadership by head nurses and positive psychological capital, psychological well-being, stress and somatization of staff nurses. Method: Participants in this study were 300 staff nurses in general hospitals located in G and B cities. Data were collected using self-administered questionnaires and analyzed using SPSS Win 18.0 program. Result: The major findings were as follows; 1) There were positive influences of transformational leadership on positive psychological capital, psychological well-being, and a negative effect on stress. 2) Positive psychological capital had a positive influence on psychological well-being, and negative effects on stress and somatization. 3) In the analysis of the mediating role of the positive psychological capital, transformational leadership was shown to indirectly affect psychological well-being and stress through positive psychological capital. Conclusions: These findings suggest that transformational leadership has important influences on employees' psychological well-being and stress via employees' positive psychological capital. To enhance psychological well-being and reduce stress for nurses, it is important to develop not only the leadership of head nurses but also the positive psychological capital of staff nurses.",이미영,2012,https://www.riss.kr/link?id=A60156447
정신질환에 의한 기능장애,"Objectives : This study was conducted to explore the relationship between non-psychotic, common mental disorders and work loss days, using data from 2001 KECA survey.
Methods : Six thousands and two hundred seventy-five community dwelling subjects, aged 18 years or older, were interviewed by using the Korean version of Composite International Diagnostic Interview (K-CIDI). Common mental disorders during last 12 months were assessed by work loss days of past month with questions from the WHO Disablement Assessment Scale version 2 (WHODAS-II). Main analysis was done by Linear and Logistic regressions to identify the association between mental disorders and work loss days.
Results : As expected, mental disorders were associated with substantial work loss days. Subjects with major depression had highest work loss days. Many common anxiety disorders like social phobia, specific phobia and posttraumatic stress disorder were also associated with high work loss days.
Conclusion : Our results show that a number of common mental disorders might have substantial effect on job function, quality of life and, subsequently, social productivity. Therefore it seems that more attention for public mental health efforts is warranted.",손지훈,2008,https://www.riss.kr/link?id=A75056610
류마티스관절염 치료지침 업데이트,"Rheumatoid arthritis (RA) is a chronic systemic autoimmune disease with synovitis and extra-articular systemic involvement.
Chronic RA treatment is challenging and represents a major health burden worldwide. Recent insights regarding RA pathogenesis have led to novel therapeutic agents, especially biologics. Furthermore, accumulating experience and new clinical studies have helped to inform updated recommendations for treatment of RA. Recently, treatment guidelines from the American College of Rheumatology were released. Here, we review these guidelines and their application to daily practice.",이주하,2022,https://www.riss.kr/link?id=A3009099
최대한의 멸균 차단법의 이행도와 중심정맥관 관련 혈류감염 발생에 대한 단문문자메시지 중재 효과,"Purpose: The purpose of this study was to investigate the effect of a short message service intervention on adherence to maximal barrier precautions (MBP) and catheter-related blood stream infections. Method: The data were collected from March to September, 2008, at an 826-bed university-affiliated hospital in Daejeon. The study participants were 24 physicians who were inserting central catheters and 133 patients (control group 78 and intervention group 55) with central catheter insertions. The researcher sent the message (adherence to MBP and optimal recommendations) to each internal medicine doctor using the short message service (SMS) for cellular phones. Messages were sent monthly for 3 months. Data were analyzed by chi-square test and t-test using SPSS 12.0 windows program. Result: Adherence to maximal barrier precautions was significantly increased from 44.9% to 69.1% (p=.006) after the SMS intervention. But changes in the rate of CRBSI (catheter related blood stream infection) between the intervention group (1.89) and the control group (4.45) were not significant (p=.323). Conclusions: The results indicate that the SMS intervention is effective in increasing the adherence to maximal barrier precautions and the SMS intervention can be recommended for utilization in infection control nursing practice.",강문희,2012,https://www.riss.kr/link?id=A106887546
