
정신병적 우울증의 신경심리학적 양상,"본 연구는 24명의 비정신병적 우울증 환자, 25명의 정신병적 우울증 환자, 그리고 49명의 정신분열병 환자 총 98명을 대상으로 신경심리학적 양상을 비교하여, 정신병적 우울증이 비정신병적 우울증과는 다른 신경심리학적 이상이 있는지에 대하여 알아보았다.
신경심리학적 검사로써 숫자상징검사, 선로잇기검사 A형과 B형, 수지력검사, 시각지속수행검사, 공간기억검사 및 위스콘신 카드 분류검사 등을 시행하였다. 그 결과는 다음과 같다.
1) 숫자상징검사, 선로잇기검사 A형에서 비정신병적 우울증 환자군이 정신분열병 환자군보다 통계적으로 유의하게 높은 수행능력을 보였다.
2) 시각지속수행검사에서 비정신병적 우울증 환자군이 정신분열병 환자군보다 통계적으로 유의하게 높은 수행능력을 보였으며, 정신병적 우울증 환자군은 정신분열병 환자군과 유사하게 낮은 수행능력을 보였다.
3) 공간기억검사에서 정확한 반응의 비율은 정신분열병 환자군이 다른 두 군보다 통계적으로 유의하게 낮은 수행결과를 보였고, 정신병적 우울증 환자군은 비정신병적 우울증 환자군과 서로 비슷했다.
4) 위스콘신카드 분류검사에서 비정신병적 우울증 환자군은 정신병적 우울증 환자군과 정신분열병 환자군에 비해서 통계적으로 유의하게 높은 수행능력을 보였고, 정신병적 우울증 환자군과 정신분열병 환자군 사이에는 통계적으로 유의한 차이를 보이지 않았다.
결론적으로 정신병적 우울증의 신경심리학적 양상은 비정신병적 우울증과 다르며, 특히 전두엽의 기능부전을 의심할 수 있는 소견을 보였다.",김진세,1997,https://www.riss.kr/link?id=A2011097
한국판 세계보건기구 삶의 질 간편형 척도(WHOQOL-BREF)의 개발,"연구목적 :
본 연구는 한국판 세계보건기구 삶의 질 간편형 척도(이하 한국판 WHOQOL-BREF)를 개발하고, 한국판 WHOQOL과 비교하여 그 타당도 및 신뢰도를 검증하고자 하는 것이다.
방 법 :
WHO의 지침에 따라 개발된 한국판 세계보건기구 삶의 질 간편형 척도(WHOQOL-BREF)를 연세대의대부속 신촌 세브란스 병원에 내원한 일반 내과 환자 171명과 건강한 대조군 367명을 포함한 583명을 대상으로 평가하였다. 총 489명의 응답자가 최종적으로 연구대상이 되었다. 검사-재검사 신뢰도를 보기 위하여 3주 간격으로 113명에게 재검사를 시행하였다.
결 과 :
검사-재검사 신뢰도는 원척도인 WHOQOL과 WHOQOL-BREF두 개 척도 모두 모든 항목에서 유의하게(p<0.0001) 높았다. 원척도인 한국판 WHOQOL과 한국판 WHOQOL-BREF에서 영역(domain)별 점수의 차이는 매우 작았다(평균 0.49). 그리고 두가지 척도의 점수간에 유의한 상관관계가 있었다.(p<0.0001). 내적 일관성에 있어 Cronbach's α는 0.898(0.583∼0.777)이었으며 각 영역(domain)에서도 높은 일관성을 보였다. 변별타당동에서는 성별, 나이, 교육수준, 결혼여부, 질병의 유무에 따라 차이가 있었으며 특히 교육수준과 질병의 유무에 따른 차이가 유의하게 관찰되었다. Confirmatory factor analysis 결과 네 개의 영역구조가 적절하다는 것이 판명되었다.(Bentler의 comparative fit index : 0.859). 전반적인 삶의 질의 평가에 있어서 신체적 건강 영역이 가장 높게 공헌하였고 심리적 영역과 환경 영역이 그 다음으로 공헌하였다.
결 론 :
한국판 WHOQOL-BREF가 삶의 질을 측정하는 도구로써 원척도인 한국판 WHOQOL만큼 신뢰롭고 타당한 검사인 것으로 나타났다.",민성길,2000,https://www.riss.kr/link?id=A3002146
한국판 노인 우울 척도 단축형의 표준화 예비연구,"본 연구는 기백석과 이철원(1995)이 표준화한 한국판 노인 우울 척도(Geriatric Depression Scale Korea Version: GDS-K)의 단축형을 한국판 단축형 노인 우울 척도(Geriatric Depression Scale Short Form Korea Version: GDSSF-K)으로 명명하고, 이를 표준화하기 위한 예비 연구를 목적으로 하였다. 연구대상는 60세 이상의 노인 260명이었으며 이 중 노인 우울증 환자가 176명, 정상 노인이 84명이었다. GDSSF-K 의 신뢰도와 타당도를 검증하였고 요인구조를 확인하기 위하여 요인분석을 하였다. 그 결과 수정된 문항-총점간 상관의 중앙값은 r=0.65, 문항간 상관은 r=0.35, 반분신뢰도 상관계수의 평균은 0.85 및 Cronbach의 α계수는 0.88로 나타나서, 중등도 이상의 신뢰도가 있는 것으로 나타났다. 또한 GDSSF-K의 시각적 안정성을 말해주는 검사-재검사 신뢰도도 r=0.93으로 나타나 매우 높은 것으로 증명되었다. 타당도에서는 GDSSF-K의 평균점수를 기준으로 정상 노인 집단과 우울 노인 집단을 t검증한 결과 두 집단간에 유의한 차이가 있는 것으로 나타나 준거 관련 타당도가 높은 것으로 증명되었다. 구성타당도는 BDI와는 r=0.50, SDS와는 r=0.50으로 나타나 중등도 이상인 것으로 나타났다. GDSSF-K로 노인 우울증을 측정하는 경우 몇점을 기준으로 해야 하는지, 즉 절단점을 결정하기 위해서 민감도와 특이도를 분석한 결과 5점을 절단점으로 하는 경우 민감도가 42.3%, 특이도가 88.7%로 가장 적절한 것으로 생각된다. GDSSF-K의 요인구조를 확인하기 위하여 시행한 요인분석 결과, 2개의 요인이 추출되었으며 변량의 설명력은 57.6%였다. 요인 1은 '반 활력요인(anti-vitality factor)'으로 요인 2는 '우울요인(depression factor)'으로 명명하였다. 이러한 결과는 GDSSF-K가 한국 노인들의 우울증을 신뢰롭고 타당하게 측정할 수 있는 척도임을 증명하는 것으로 해석되었다.",기백석,1996,https://www.riss.kr/link?id=A1996655
스트레스반응척도의 개발,"연구목적:
본 연구의 목적은 4가지 스트레스반응 즉 감정적, 신체적, 인지적, 행동적 반응들이 포함된 스트레스 반응 척도를 개발하고자 하는데 있다.
방법:
일차로 성인 정상인 109명을 대상으로 스트레스반응척도 예비설문을 시행하여 75개 문항을 추출하였다. 2차로 이 문항들이 포함된 설문을 정상인 215명을 대상으로 실시하였다.
결과:
이 자료들을 요인분석한 결과 7개의 하위요인 즉 긴장, 공격성, 신체화, 분노, 우울, 피로, 좌절이 추출되었다. 상기 척도의 신뢰도는 정상인 62명에게 2주 간격으로 검사-재검사를 시행, 분석한 결과 7개 하위척도 점수와 척도 전체 점수 간의 상관관계수가 .69∼.96으로 모두 유의한 상관성을 보였다. 한편 내적 일치도는 7개 하위척도의 Cronbach's α가 .76∼.91, 척도 전체의 Cronbach's α가 .97이었다. 공존타당도는 global assessment of recent stress(GARS) scale, perceived stress questionnaire(PSQ), symptom checklist-90-R(SCL-90-R)의 전체지표 각각의 총점과 본 척도의 7개 하위척도의 점수 및 척도 전체점수 간의 상관성을 각각 비교한 결과 모두 유의하게 높은 것을 나타났다. 변별타당도는 환자군 242명(불안장애 71명, 우울장애 73명, 신체형장애 47명, 정신신체장애 51명)과 정상군 215명간에 척도의 총점과 7개의 하위척도 점수를 비교한 결과 공격성을 제외한 6개 하위척도 점수와 총점에서 각각
유의한 차이를 보였다. 환자군에서 우울장애군이 척도전체 점수가 가장 높고, 불안장애, 정신신체장애, 정상군보다 각각 전체 점수가 유의하게 높게 나타나 우울장애군이 이들 환자군 중에서 스트레스반응이 가장 현저하다는 것을 시사해 준다. 대상자들 중 여자가 남자보다, 소득수준이 낮을수록 척도 전체 점수가 유의하게 더 높았다.
결론:
이상의 결과들은 스트레스반응 척도가 신뢰도 및 타당도가 모두 유의한 수준으로 스트레스에 관련된 분야의 연구에 효과적으로 이용될 수 있는 도구임을 시사해 준다. 또한 우울장애군이 상기 다른 정신장애군에 비해 스트레스에 대한 감수성이 높다는 것을 반영해 준다.",고경봉,2000,https://www.riss.kr/link?id=A3009176
사회불안장애의 인지행동치료효과; 주의편향과 암묵적 자존감을 중심으로,"본 연구에서는 사회불안장애 환자들을 대상으로 실시한 인지행동치료적 개입이 인지적 취약성의 ‘의지적/통제적인 정보처리 수준(top-down process)’에서의 변화뿐만 아니라 ‘암묵적/자동적인 정보처리 수준(bottom-up process)’에서의 변화를 함께 유발시키는지 살펴보고자 하였다. 특히 암묵적/자동적 정보 처리 수준을 전주의적 주의 편향, 암묵적 자존감과 관련된 자기 지식으로 세분화하여, 인지행동치료적 개입으로 유발되는 변화의 수준을 통합적으로 파악하였다. 연구대상은 구조화된 진단면접(SCID-I)에서 사회불안장애 진단기준을 충족하는 49명의 사회불안장애 환자들이었다. 그 중 30명은 12회기 인지행동치료집단, 19명은 비처치통제집단에 속하였다. 두 집단 모두 치료 전, 후에 자기 보고식 증상 심각도 평가, 일반적인 불안 및 우울 수준 평가, 얼굴 표정에 대한 탐침 탐사과제(Dot Probe Task; MacLoed, Mathews, & Tara, 1986)와 암묵적 연합 과제(Implicit Association Task, IAT; Greenwald, McGhee, & Schwartz, 1998)를 이용한 암묵적 자존감 검사를 실시하였다. 증상 심각도를 보다 객관적으로 평가하기 위해서 증상 심각도에 대한 임상가의 면접도구인 간이 사회공포증 척도(Brief Social Phobia Scale, BSPS; Davidson et al. 1991)도 함께 실시하였다. 그 결과 첫째, 자기 보고식 척도 및 임상가 평정으로 측정했을 때 인지행동치료를 통해 사회불안장애집단의 증상 심각도, 일반적인 불안 및 우울 수준에서 유의한 향상이 나타났으며, 그 효과는 3개월 동안 지속되었다. 둘째, 사회불안장애 환자의 경우 IOR(Inhibition of Return)이 발생하기 이전인 초기 주의 과정에서 나타났던 위협적 얼굴 표정에 대한 선택적 주의 편향이 인지행동치료를 통해서 변화하지 않았다. 셋째, 인지행동치료를 받은 집단의 경우 자신-긍정 형용사의 연합 속도가 유의하게 향상되었다. 이는 인지행동치료가 정보처리 초기에 나타나는 전주의적 과정의 주의 할당까지는 변화시키지 못하였지만, 상황에 대한 반복적 재평가나 위협 상황에 대한 노출, 행동 실험과 같은 인지행동치료적 개입이 보다 깊은 수준의 자기 지식을 암묵적 수준에서 변화시켰음을 시사한다.",윤혜영,2013,https://www.riss.kr/link?id=A99768733
병원 불안- 우울 척도에 관한 표준화 연구,"연구목적 :
저자들은 Zigmond등 (1983)이 개발한 병원 불안-우울 척도(Hospital Anxiety and Depression : HAD)를 한국어로 표준화하기 위한 목적으로 본 연구를 시행하였다.
방 법 :
연구대상은 불안장애 환자가 66명, 우울장애 환자가 74명, 정상대조군 189명이었다. HAD의 신뢰도와 타당도를 검증하였고, 한홍무 등(1986)이 표준화한 Beck의 BDI와 왕성근(1978)이 표준화한 Zung의 자기평정 불안척도와 그 상관관계를 비교하였다.
결 과 :
문항 - 총점간의 상관관계 중앙치는 불안 하부척도가 0.55, 우울 하부 척도가 0.47로 나타났고, Crohnbach의 α계수는 각각 0.89와 0.86으로 나타나서 중등도 이사의 신뢰도가 있는 것으로 나타났다. 타당도에서는 t검증 결과 불안 및 우울 집단이 정상 대조군과 유의한 차이가 있는 것으로 나타나 타당도가 높은 것으로 증명되었다. 구성 타당도는 우울 하부척도가 BDI와는 r=0.80, 불안 하부척도가 SAS와는 r=0.79로 나타나 중등도 이상인 것으로 판정되었다. HAD로 불안 및 우울을 측정하는 경우 우울 하부 척도가 절단점 8점인 경우 민감도 89.2%, 특이도 82.5%, 불안 하부척도가 절단점 8점인 경우 민감도 78.8%, 특이도 82.5%로 가장 적절하게 나타났다. HAD의 요인분석 결과 두 가지의 요인이 추출되었다. 요인 1이 설명하는 변량은 49.6%로, 요인 2가 설명하는 변량은 10.0%로 두 요인이 설명하는 변량은 59.6%였다. 두 가지 요인은 원래 척도인 불안(AI-7)과 우울(D1-7)의 하부척도와 잘 일치하였다. 그리고 불안과 우울 장애의 감별에서도 두 집단사이의 t검증 결과 우울 하부척도는 통계적으로 유의한 차이가 있는 것으로 나타났으나 불안 하부척도는 차이가 없었다.
결 론 :
이러한 결과로 HAD가 불안과 우울 장애를 타당성 있게 측정할 수 있는 척도로 증명되었다. 본 척도를 사용하여 일차진료의 및 비 정신과 분야에서의 불안과 우울의 이환 상태를 이용하고 짧은 시간에 숙달된 기술이 없이도 검사할 수 있을 것이다.",민경준,1999,https://www.riss.kr/link?id=A1996956
대학생의 자아존중감이 대인관계능력에 미치는 영향 : 정서조절방략의 매개 효과,"본 연구는 대학생의 자아존중감과 대인관계의 관계에서 정서조절방략의 매개효과를 가정하고 이를 검증하였다. 연구대상은 서울과 수도권, 지방에 위치한 4년제 대학교에 재학 중인 학생 350명이었으며, 자아존중감 척도, 인지적 정서조절 척도, 대인관계능력 척도를 사용하여 설문을 실시하였다. 그 결과 대학생의 대인관계능력은 자아존중감과 유의미한 정적 상관이 있었고, 적응적 정서조절방략과는 정적 상관이, 부적응적 정서조절방략과는 유의미한 부적 상관이 있었다. 대학생의 자아존중감과 대인관계 능력의 관계에서 정서조절방략의 매개 효과를 알아본 결과, 적응적 정서조절방략과 부적응적 정서조절방략은 자아존중감과 대인관계능력의 관계를 부분 매개하는 것으로 나타났다. 따라서 자아존중감은 대인관계능력에 직접적으로 영향을 주기도 하지만, 적응적이거나 부적응적인 정서조절을 통해 간접적으로도 영향을 주고 있음을 알 수 있었다. 이러한 결과를 통해 자아존중감이 대학생의 대인관계능력에 유의미한 영향을 미치는 요소이며, 특히 자아존중감에 영향을 받아 형성되는 적응적이거나 부적응적인 정서조절방략이 건강한 대인관계를 지속할 수 있는 능력에 결정적인 영향을 미치고 있음을 알 수 있었다. 따라서 대학생의 효과적인 대인관계능력 향상을 위해서는, 개인의 자아존중감 증진과 더불어 적응적인 정서조절방략의 적용을 통해 정서를 효율적으로 조절할 수 있도록 돕는 적극적인 개입이 중요하다. 이 결과와 함께 본 연구의 한계점과 의의에 대하여 논의하였다.",이민선,2012,https://www.riss.kr/link?id=A60156447
정신질환의 유전학적 연구,"정신질환에 유전적 요인이 관여함은 잘 알려진 사실이다. 정신질환에 관여하는 유전자를 규명하기 위해서는 정량적 유전학의 연구결과를 토대로 한 분자유전학적 연구들이 시행되어 질병에 관여하는 구체적인 유전적 돌연변이를 밝혀내는 것이 필요하다. 정량적 유전학은 유전 역학적 연구, 연관연구, 연합연구등의 분야로 나누어진다. 쌍생아 연구, 양자연구 및 가계내 재현위험도를 보는 유전 역학적 연구는 관심의 대상이 되는 표현형이 얼마나 유전적인지를 규명해 준다. 정량적 유전 분석은 재결합과 연관 현상에 기초하고 있다. 연관이란 충분히 가까운 거리에 위치하는 두 유전자 부위는 재결합이후에도 분리되지 않는 현상을 의미한다. 유전적으로 타당하게 정의된 표현형 자료 및 중합효소 연쇄반응을 통해 얻은 유전형 자료에 적합한 유전분석 통계기법을 적용하여 분석하는 것이 정량적 유전학 연구의 기본 방법이다. 가계 내에서 전체 염색체중 표현형과 연관을 보이는 염색체 부위를 분석해 내는 방법이 연관연구이며, 질병군 및 대조군을 비교하여 특정 후보유전자에 대한 연관 불균형을 관찰하는 방법이 연합연구이다. 연관연구는 크게 모수적인 방법과 비모수적인 방법으로 분류될 수 있고, 연합연구는 일반 인구집단을 대조군으로 하는 방법과 가족을 대조군으로 하는 방법으로 나누어 볼 수 있다. 부모의 유전형을 분석에 도입한 특수한 연합분석방법은 일반인구 집단을 대조군으로 하였을 때 우려되는 인구 층형성 문제를 해결하
고자 제안된 방법들이다. 지금까지의 연구결과 정신질환은 유전적인 요소가 강하나 멘델의 유전법칙을 따르지 않는 복합형질이며 아마도 여러 개의 유전인자가 복합적으로 질병발생에 영향을 미칠 것이라고 추정되고 있다. 복합형질의 난점을 해결하기 위한 동물모델 및 endophenotype의 개발과 이들을 이용한 QTL(quantitative Trait Loci) 연구, 신뢰성 있게 표준화된 대규모의 공동연구를 통해 지금까지 시행되어 온 연구들의 통계적인 한계를 극복하는 것이 향후의 연구방향이 되어야 한다.",주은정,2000,https://www.riss.kr/link?id=A75056610
급성 심근경색증 환자에서 관상동맥 중재술 후 허혈성 심근병증 예측인자,"목적: 급성 심근경색증 환자에서 적극적인 치료에도 불구하고 허혈성 심근병증으로 진행한 환자는 많은 육체적, 사회경제적인 어려움을 겪게 된다. 이 연구의 목적은 급성 심근경색증 환자에서 성공적인 관상동맥 중재술 후에 허혈성 심근병증이 발생하는 예측인자에 대하여 알아보고자 하였다.
방법: 2011년 11월부터 2015년 10월까지 Korea Acute Myocardial Infarction Registry-National Institute of Health(KAMIR-NIH)에 등록된 환자 중 급성 심근경색증으로 전남대학교병원에 내원 후 성공적인 관상동맥 중재술을 시행 받고, 퇴원 전 심장초음파를 시행한 후 추적 심장초음파 검사가 시행된 환자 547명(63.1 ± 12.3세, 남자 71.1%)을 대상으로 하였다. 추적 심장초음파 검사에서 허혈성 심근병증이 발생한 환자군 66명(Ⅰ군: 67.1 ± 11.9세, 남자 78.8%)과 발생하지 않은 환자군 481명(Ⅱ군: 62.5 ± 12.2세, 남자 70.1%)으로 분류하여, 양군 간의 임상적 특성, 혈액 검사 특성, 심장초음파 및 관상동맥 조영술 소견 및 주요심장사건을 비교·분석하였다. 허혈성 심근병증은 심장초음파 검사에서 좌심실 이완기말 직경(left ventricular end-diastolic dimension, LVEDD) > 55 mm이고, 좌심실 구혈률(left ventricular ejection fraction, LVEF) < 50%로 저하되어 있는 경우로 정의하였다.
결과: Ⅰ군에서 평균연령(67.1 ± 11.9세 vs. 62.5 ± 12.2세, p = 0.004)이 높았으며, ST-분절 상승 심근경색증(65.2% vs. 46.2%, p = 0.004), Killip class (p = 0.008), 병원 내 심장사건(48.5% vs. 22.7%, p < 0.001)에서 유의한 차이를 보였다. 백혈구(12,340 ± 4,235 mm3 vs. 10,560 ± 4,057 mm³, p = 0.001)와 혈당(201.7 ± 104.4 mg/dL vs. 164.7 ± 75.7 mg/dL, p = 0.007), CK-MB (163.9 ± 124.6 U/L vs. 87.8 ± 102.9 U/L p < 0.001), troponine-I (124.2 ± 113.5 ng vs. 44.5 ± 113.5 ng, p < 0.001)는 Ⅰ군에 비하여 Ⅱ군에서 의미있게 높았다. LVEF (41.7 ± 10.5 vs. 55.4 ± 10.3%, p < 0.001), LVEDD (54.1 ± 7.2 vs. 49.3 ± 5.3 mm, p < 0.001), E/A 비(1.19 ± 0.67 vs. 0.95 ± 0.45, p =0.017), E/e’ ratio (16.7 ± 7.8 vs. 12.7 ± 6.1, p = 0.001)가 유의한 차이가 있었으나, 관상동맥 조영술 및 중재술 소견은 두군 간에 유의한 차이는 없었다. 다변량 회귀분석 결과 LVEF < 50% (OR 8.722, CI 2.986-25.478, p < 0.001), LVEDD > 55 mm (OR 4.511, CI 1.561-13.038, p = 0.005), E/e' ratio ≥ 15 (OR 3.270, CI 1.168-9.155, p = 0.024)이 허혈성 심근병증 발생의 독립적 예측인자였다.
결론: 급성 심근경색증 환자에서 허혈성 심근병증 발생의 독립적인 예측인자는 LVEF < 50%, LVEDD > 55 mm, E/e' ratio ≥ 15였다. 따라서, 내원 시 예측인자를 갖고 있는 환자에 대해서는 급성 심근경색증 발생초기부터 보다 적극적인 치료가 필요할 것으로 사료된다.",김혜숙 ( Hye Sook Kim ),2020,https://www.riss.kr/link?id=A3009099
색채심리의 유효성과 활용방안에 대한 연구,"본 연구는 색채가 지니는 특성과 효과를 살펴보고, 선행연구를 통해 색채심리가 임상현장에서 어떻게 활용될 수 있는지 모색해 보고자 하였다. 최근 2000년부터 2010년까지 학술지에 게재된 논문을 중심으로 색채심리관련 선행 연구를 통해 색채심리의 효과와 적용에 대해 살펴보았다. 그 결과 실제 임상현장의 연구에서 색채심리와 색채의 활용은 아동의 깊은 정서를 이해하는데 도움이 되었으며, 자기표현의 향상을 위해 색채가 효과적으로 작용한 것을 알 수 있다. 색채를 활용한 미술치료 프로그램의 실시를 통해 감정표현의 증가와 심리적 이완 및 안정에 도움을 주는 것으로 나타났다. 또한, 색채의 선택과 사용에 따라 임상증상에 따른 변별력을 제시하여 심리적 상태의 진단 및 평가 방법으로서 색채가 중요한 요소로 사용되었음을 알 수 있다.",서복희,2013,https://www.riss.kr/link?id=A106887546
