
바이러스 감염에 대한 면역반응,"Viruses are obligate intracellular parasites which cause infection by invading and replicating within cells. The immune system has mechanisms which can attack the virus in extracellular and intracellular phase of life cycle, and which involve both non-specific and specific effectors. The survival of viruses depends on the survival of their hosts, and therefore the immune system and viruses have evolved together. Immune responses to viral infection may be variable depending on the site of infection, the mechanism of cell-to-cell spread of virus, physiology of the host, host genetic variation, and environmental condition. Viral infection of cells directly stimulates the production of interferons and they induce antiviral state in the surrounding cells. Complement system is also involved in the elimination of viruses and establishes the first line of defence with other non-specific immunity. During the course of viral infection, antibody is most effective at an early stage, especially before the virus enters its target cells. The virus- specific cytotoxic T lymphocytes are the principal effector cells in clearing established viral infections. But many viruses have resistant mechanism to host immune responses in every step of viral infection to cells. Some viruses have immune evasion mechanism and establish latency or persistency indefinitely. Furthermore antibodies to some viruses can enhance the disease by the second infection. Immune responses to viral infection are very different from those to bacterial infection. (Immune Network 2004;4(2):73-80)",황응수,2004,https://www.riss.kr/link?id=A103891314
운동이 면역력에 미치는 효과분석,"The immune response to any stimulus is complex, requiring coordinated action by several types of cells in a tightly regulated sequence. Thus, a physical stress such as exercise may act at any number of points in the complex sequence of events collectively termed the immune response. Although exercise causes many propound changes in parameters of immune function, the nature and magnitude of such changes rely on several factors including the immune parameters of interest; type, intensity, and duration of exercise; fitness level or exercise history of the subject; environmental factors such as ambient temperature and humidity. Although regular moderate exercise appears to be important factor for increasing immunity, Athletes are susceptible to illness, in particular upper respiratory track infection, during periods of intense training and after competition. In addition, in elite athletes, frequent illness is associated with overtraining syndrome, a neuroendocrine disorder resulting from excessive training. Through this paper, we want to investigate the effects of exercise on the immunosuppression such as exercise induced lymphopenia, asthma, anaphylaxis, URT (upper respiratory track), and TB (tuberculosis) infection. and also, we want to suggest a direct mechanism, protection and therapy of exercise induced immunosuppression.",곽이섭,2005,https://www.riss.kr/link?id=A103893679
암백신,"Cancer vaccine is an active immunotherapy to stimulate the immune system to mount a response against the tumor specific antigen. Working as a stimulant to the body's own immune system, cancer vaccines help the body recognize and destroy targeted cancers and may help to shrink advanced tumors. Research is currently underway to develop therapeutic cancer vaccines. It is also possible to develop prophylactic vaccines in the future. The whole cell approach to eradicate cancer has used whole cancer cells to make vaccine. In an early stage of this approach, whole cell lysate or a mixture of immunoadjuvant and inactivated cancer cells has been used. Improved vaccines are being developed that utilize cytokines or costimulatory molecules to mount an attack against cancer cells. In case of melanoma, these vaccines are expected to have a therapeutic effect of vaccine. Furthermore, it is attempting to treat stomach cancer, colorectal cancer, pancreatic cancer, and prostate cancer. Other vaccines are being developing that are peptide vaccine, recombinant vaccine and dendritic cell vaccine. Out of them, reintroduction of antigen-specific dendritic cells into patient and DNA vaccine are mostly being conducted. Currently, research and development efforts are underway to develop therapeutic cancer vaccine such as DNA vaccine for the treatment of multiple forms of cancers.",손은화,2005,https://www.riss.kr/link?id=A103893676
"Aging and the Immune System: the Impact of Immunosenescence on Viral Infection, Immunity and Vaccine Immunogenicity","Immunosenescence is characterized by a progressive deterioration of the immune system associated with aging. Multiple components of both innate and adaptive immune systems experience aging-related changes, such as alterations in the number of circulating monocytic and dendritic cells, reduced phagocytic activities of neutrophils, limited diversity in B/T cell repertoire, T cell exhaustion or inflation, and chronic production of inflammatory cytokines known as inflammaging. The elderly are less likely to benefit from vaccinations as preventative measures against infectious diseases due to the inability of the immune system to mount a successful defense. Therefore, aging is thought to decrease the efficacy and effectiveness of vaccines, suggesting aging-associated decline in the immunogenicity induced by vaccination. In this review, we discuss aging-associated changes in the innate and adaptive immunity and the impact of immunosenescence on viral infection and immunity. We further explore recent advances in strategies to enhance the immunogenicity of vaccines in the elderly. Better understanding of the molecular mechanisms underlying immunosenescence-related immune dysfunction will provide a crucial insight into the development of effective elderly-targeted vaccines and immunotherapies.",오수진,2019,https://www.riss.kr/link?id=A106501827
Compound 48/80과 anti-DNP IgE로 유도되는 비만세포 활성화에 대한 복분자의 억제효과,"Background: The fruit of Rubus coreanus (RC), a perennial herb, has been cultivated for a long time as a popular vegetable. The anti-allergy mechanism of RC is unknown. The purpose of this study is to investigate the inhibitory effect of RC on compound 48/80- or anti-DNP IgE-induced mast cell activation. Methods: For this, influences of RC on the compound 48/80-induced degranulation, histamine release, calcium influx and the change of the intracellular cAMP (cyclic adenosine-3',5' monophosphate) levels of rat peritoneal mast cells (RPMC) and on the anti-DNP IgE-induced histamine release of RPMC were observed. Results: The pretreatment of RC inhibited compound 48/ 80-induced degranulation, histamine release and intracelluar calcium uptake of RPMC. The anti-DNP IgE-induced histamine release of RPMC was significantly inhibited by pretreatment of RC. The RC increased the level of intracellular cAMP of RPMC, and the pretreatment of RC inhibited compound 48/80-induced decrement of intracellular cAMP of RPMC. Conclusion: These results suggest that RC contains some substances with an activity to inhibit the compound 48/80- or anti-DNP IgE-induced mast cell activitation. The inhibitory effects of RC are likely due to the stabilization of mast cells by blocking the calcium uptake and enhancing the level of intracellular cAMP. (Immune Network 2004;4(2):100-107)",송창호,2004,https://www.riss.kr/link?id=A103891319
Potential Roles of Innate Immune Chemokine and Cytokine Network on Lipopolysaccharide-Based Therapeutic Approach in Ovarian Cancer,"Ovarian cancer (OC), the deadliest gynecological cancer, results in poor overall survival, urgently requiring a novel therapeutic approach. As cumulative exposures to endotoxins decreased OC risk epidemiologically, we evaluated if LPS, a Toll-like receptor 4 agonist known as active component of endotoxins, could increase survival in the murine peritoneal dissemination model of SKOV-3 OC cells. LPS significantly increased the mean survival time of more than 116 days compared with 63 days in the control. Furthermore, no tumor burden was present in three mice among eight LPS-treated mice. SKOV-3 cells were not responsive to LPS and showed unaltered chemokine signature. Rather than direct effects to OC cells, LPS was found to increase proinflammatory chemokines and cytokines, such as CXCL1, CXCL8, TNF, and IL-1B, in innate immune system. Taken together, LPS is likely to potentiate the cytotoxic-related innate immunogenicity via proinflammatory chemokines and cytokines, which attenuates the peritoneal dissemination of OC.",Rosa Mistica C. Ignacio,2019,https://www.riss.kr/link?id=A106260628
면역학적 노화 기전에 관한 연구: T 및 B 세포의 변화,"Background: An immunological approach for aging mechanism appears to be important. Lymphocyte subsets analysis in peripheral blood is widely performed to assess the immune status and to diagnose and monitor various diseases. Some lymphocyte subsets are known to change with age, but only few data about age-related reference ragnes for these subsets in healthy individuals have been reported. So we attempted to report reference ranges for these subsets in each age group and review changes of the results with age for the secondary studies about immune cell function as lymphocyte blast transformation and immunoglobulin gene rearrangement (VDJ) including recombination activating genes (RAG-1 and RAG-2). Methods: Lymphocyte subset analysis was performed on 302 subjects, 189 males and 113 females with age group of all decades of life. Two color direct immunofluorescene flow cytometry (FCM) was done using $Simultest^{TM}$ IMK-Lymphocyte kit (Becton Dickinson, USA), $FACScan^{TM}$ (Becton Dickinson, USA) and $FACSCalibur^{TM}$ (Becton Dickinson, USA). Lymphocyte subsets analysed were T ($CD3^+$) and B cells ($CD19^+$), helper/inducer T ($CD4^+$) and suppressor/cytotoxic T cells ($CD8^+$), helper/suppressor ($CD4^+/CD8^+$) ratio and natural killer (NK) cells ($CD3^-CD16^+/CD56^+$). The absolute numbers of each subset were calculated from total lymphocyte counts. Data collected was analysed using SAS 6.12. A P-value of < 0.05 was considered significant. Results: We reported the counts and percentages of lymphocyte and these subsets in each age group. There were no statistically significant differences between male and female subjects. The percentage of $CD4^+$ T cells, and the count of NK cells did not show the significant difference among the various age groups. The age-related changes observed in our study were as following: 1) a decrease in the percentages of T cells, B cells and $CD8^+$ T cells ; 2) a decrease in the counts of B cells and $CD8^+$ T cells ; 3) an increase in the percentage and count of NK cells ; and 4) an increase in the $CD4^+/CD8^+$ ratio. Conclusion: The characteristics of aging process appeared to be showing a marked decrease of lympocyte subsets T and B cells as well as T8 ($CD8^+$). The age-related increase of the percentage of cells bearing NK marker can be interpreted as a compensatory consequence to cope with the decrease of T cells related to the thymic involution. These changes with age appeared to be for the secondary study about immune cell function as lymphocyte blast transformation and immunoglobulin gene rearrangement.",김재식,2001,https://www.riss.kr/link?id=A105386233
류머티스 관절염과 골관절염 환자에서 Transforming growth factor β의 발현 양상,"The transforming growth $factor-{\beta}$ ($TGF-{\beta}$) is a multifunctional cytokine modulating the onset and course of autoimmune disease as shown in experimental models. In synovial inflammation, there is a potential role for $TGF-{\beta}$ in repairment, the inhibition of cartilage and bone destruction, and the down-regulation of immune response. The biologic effects of $TGF-{\beta}$ depend on the cell type, the isoform and the availability of active $TGF-{\beta}$. We investigated $TGF-{\beta}$ expression in patients with rheumatoid arthritis (RA) and compared to those of osteoarthritis (OA). And we determined a correlation between $TGF-{\beta}1$ and $TGF-{\beta}2$, and also the relationships between each $TGF-{\beta}$ isoform and the parameters for disease activity of RA. Methods: The study population consisted of 20 patients with RA and 20 patients with OA. The commercial ELISA kit was used to study $TGF-{\beta}1$ and $TGF-{\beta}2$ levels in peripheral blood (PB) and synovial fluids (SF). Results: 1) While PB $TGF-{\beta}1$ level was of no difference between RA and OA patient groups, SF $TGF-{\beta}1$ level was higher in RA group than OA group. Similarly, PB $TGF-{\beta}2$ levels of RA and OA groups was not different, but SF $TGF-{\beta}2$ levels was higher in RA group than OA group. 2) In patients with RA, the $TGF-{\beta}1$ levels were higher than $TGF-{\beta}2$ in both the PB and SF, while in patients with OA, there showed higher readings for $TGF-{\beta}1$ than $TGF-{\beta}2$ in SF but no difference between $TGF-{\beta}1$ and $TGF-{\beta}2$ levels in PB. 3) In patients with RA, there were no correlations between PB $TGF-{\beta}1$ and PB $TGF-{\beta}2$ levels, nor between SF $TGF-{\beta}1$ and SF $TGF-{\beta}2$ levels. At the same way, there was no correlation between PB $TGF-{\beta}1$ and SF $TGF-{\beta}1$ levels, nor between each levels of $TGF-{\beta}2$ in patients with RA. 4) There was also no correlation between each $TGF-{\beta}$ isoform and the parameters for disease activity such as ESR, CRP, tender joint count, swollen joint count, rheumatoid factor, and the duration of morning stiffness except between in PB $TGF-{\beta}1$ and disease duration of RA (r=0.637, p<0.01). Conclusion: Each $TGF-{\beta}$ isoforms were higher in synovial fluid of patients with RA than that of patients with OA. The data from the RA patients demonstrated different patterns of expressions of the isoforms depending on which compartment (PB or SF) was investigated. The quantification of different $TGF-{\beta}$ isoform is thought to be important when $TGF-{\beta}$ is measured under disease conditions of RA.",김채기,2001,https://www.riss.kr/link?id=A105386234
항체 : 치료제로서의 부활,"Currently 18 monoclonal antibodies were approved by FDA for inj ection into humans for therapeutic or diagnostic purpose. And 146 clinical trials are under way to evaluate the efficacy of monoclonal antibodies as anti-cancer agents, which comprise 9 % of clinical trials in cancer therapy field. When considering a lot of disappointment and worries existed in this field during the past 15 years, this boom could be called as resurrection. Antibodies have several merits over small molecule drug. First of all it is easier and faster in development, as proper immunization of the target proteins usually raises good antibody response. The side effects of antibodies are more likely to be checked out in immunohistomchemical staining of whole human tissues. Antibody has better pharmacokinetics, which means a longer half-life. And it is non-toxic as it is purely a ""natural drug. Vast array of methods was developed to get the recombinant antibodies to be used as drug. The mice with human immunoglobulin genes were generated. Fully human antibodies can be developed in fast and easy way from these mice through immunization. These mice could make even human monoclonal antibodies against any human antigen like albumin. The concept of combinatorial library was also actively adopted for this purpose. Specific antibodies can be screened out from phage, mRNA, ribosomal library displaying recombinant antibodies like single chain Fvs or Fabs. Then the coding genes of these specific antibodies are obtained from the selected protein-gene units, and used for industrial scale production. Both $na\ddot{i}ve$ and immunized libraries are proved to be effective for this purpose. In post-map arena, antibodies are receiving another spotlight as molecular probes against numerous targets screened out from functional genomics or proteomics. Actually many of these antibodies used for this purpose are already human ones. Through alliance of these two actively growing research areas, antibody would play a central role in target discovery and drug development.",정홍근,2001,https://www.riss.kr/link?id=A105386214
노화의 기전과 예방,"Aging is a senescence and defined as a normal physiologic and structural alterations in almost all organ systems with age. As Leonard Hayflick, one of the first gerontologists to propose a theory of biologic aging, indicated that a theory of aging or longevity satisfies the changes of above conditions to be universal, progressive, intrinsic and deleterious. Although a number of theories have been proposed, it is now clear that cell aging (cell senescence) is multifactorial. No single mechanism can account for the many varied manifestations of biological aging. Many theories have been proposed in attempt to understand and explain the process of aging. Aging is effected in individual by genetic factors, diet, social conditions, and the occurrence of age-related diseases as diabetes, hypertension, and arthritis. It involves an endogenous molecular program of cellular senescence as well as continuous exposure throughout life to adverse exogenous influences, leading to progressive infringement on the cell's survivability so called wear and tear. So we could say the basic mechanism of aging depends on the irreversible and universal processes at cellular and molecular level. The immediate cause of these changes is probably an interference in the function of cell's macromolecules-DNA, RNA, and cell proteins-and in the flow of information between these macromolecules. The crucial questions, unanswered at present, concerns what causes these changes in truth. Common theories of aging are able to classify as followings for the easy comprehension. 1. Biological, 1) molecular theories - a. error theory, b. programmed aging theory, c. somatic mutation theory, d. transcription theory, e. run-out-of program theory, 2) cellular theories - a. wear and tear theory, b. cross-link theory, c. clinker theory, d. free radical theory, e. waste product theory, 3) system level theory-a. immunologic/autoimmune theory, 4) others - a. telomere theory, b. rate of living theory, c. stress theory, etc. Prevention of aging is theoretically depending on the cause or theory of aging. However no single theory is available and no definite method of delaying the aging process is possible by this moment. The most popular action is anti-oxidant therapy using vitamin E and C, melatonin and DHEA, etc. Another proposal for the reverse of life-span is TCP-17 and IL-16 administration from the mouse bone marrow B cell line study for the immunoglobulin VDJ rearrangement with RAG-1 and RAG-2. Recently conclusional suggestion for the extending of maximum life-span thought to be the calory restriction.",김재식,2001,https://www.riss.kr/link?id=A105386223
