
성별에 따른 건강불평등 및 관련요인 연구,"Purpose: This study was aimed to identify gender-based health inequality and explore impacting factors on health inequality in one province in Korea. Methods: This was an explanatory study using the secondary data on Chungnam province from the Fifth Community Health Survey from August 16 to Oct 31, 2012. Variables included in this analysis were education level, poverty, marital status, and residential community for socio-cultural characteristics and subjective health status as an indicator of health inequality. Data were analyzed by x2-test, t-test, ANOVA, and multiple linear regression. Results: There were gender inequalities and disparities in health, and these inequalities were greater in woman than in man (x2=161.8, p<.001). The impacting factors were education level, poverty, marital status, and residential community, which was accounted for 22.6% of variances of health inequality. Among these variables, gender showed the largest influence in health inequalities. Conclusion: To solve health inequalities, it should be considered gender differences based on social determinants of health. It is necessary to develop long term project based on these results and the social determinants model of World Health Organization.",송미영 ( Mi Young Song ),2015,https://www.riss.kr/link?id=A2118066
"임신후기 여성의 피로, 수면장애 및 임신 스트레스","Purpose: The objective of this study was to investigate the relationship between fatigue, sleep disturbance, and gestational stress in women during late stage of pregnancy. Methods: This study was conducted with 113 healthy pregnant women at gestational age greater than 27 weeks who were registered at community health centers and received prenatal care. A structured questionnaire regarding fatigue, sleep disturbance, and gestational stress was used. The data was analyzed using a t-test, an ANOVA, and Pearson correlation coefficients. Results: The subjects with unplanned pregnancies and irregular exercise patterns showed a higher level of fatigue than those with planned pregnancies and regular exercise patterns. Pregnant women with caffeine intake manifested higher levels of gestational stress and sleep disturbance than those without. The levels of sleep disturbance and gestational stress increased as the fatigue levels increased. The fatigue levels increased with increased levels of sleep disturbance. Conclusion: Planned pregnancy, regular exercise patterns, and caffeine intake were related with fatigue, sleep disturbance, and gestational stress in women during late stages of pregnancy. Fatigue, sleep disturbance, and gestational stress had close associations to each other. In the future, such results should guide development of nursing intervention programs for women in late stages of pregnancy.",정미영 ( Mi Young Chung ),2014,https://www.riss.kr/link?id=A19593965
고령임산부의 임신과 출산 건강관리 요구,"Advanced aged pregnancy may be related with health problems so that more aggressive health care is necessary for these women. This study aimed to provide the basic data for developing nursing intervention programs to enhance the health of pregnant women and their new-born babies and by identifying the advanced aged women``s need for pregnancy and childbirth. Methods: It is the cross-sectional descriptive study to identify the advanced aged women``s need on pregnancy and childbirth. Subjects were pregnant women 35 years or older and postpartum women. Total number of subjects was 95. Measurement tool is self-reporting survey that consisted of 67 items with four-point Likert scale, which was completed during October to November 2014. Results: Average score was 3.44 out of maximum 4 on the care need on pregnancy and childbirth. Average scores according to category were as follows: baby rearing and parental role, 3.55; preconception care, 3.49; delivery care, 3.47; postpartum care 3.42; and prenatal pregnancy, 3.39. The degree of needs on pregnancy and childbirth was different according to delivery experience (t=-2.49, p=.014). Conclusion: Prenatal and postpartum nursing interventions were completed regardless of pregnant women``s age until now; however, new nursing intervention programs are necessary to prevent the risk of advanced aged pregnancy, to provide the preconception care, and to increase the infant care and family support.",민혜영 ( Hye Young Min ),2015,https://www.riss.kr/link?id=A99794343
여대생의 인유두종 바이러스(HPV) 관련 감염예방행위의도 영향요인,"Purpose: The purpose of this study was to identify impacts of HPV-related knowledge, attitude to HPV vaccination, and health beliefs on infection preventive behavioral intention targeting female university students. Methods: With correlational survey design, subjects of this study were 120 female students at universities located in B metropolitan city and G city. A total sample agreed to participate in the study. Data were analyzed using descriptive statistics, t-test, ANOVA, correlation, and stepwise multiple regression. Results: Attitude to HPV vaccination, experience of smoking, and HPV-related health beliefs were significant factors influencing the HPV-related infection preventive behavioral intention. These factors accounted for 19.0% of the HPV-related infection preventive behavioral intention. Conclusion: The most significant factor for HPV infection prevention was the attitude to HPV vaccination. These findings may be useful to develop strategies to improve the HPV infection preventive behavioral intention of the female university students who have a high risk of the HPV infection.",김선화 ( Kim Sun Hwa ),2017,https://www.riss.kr/link?id=A100680679
소아청소년 우울증에서의 환경적 위험 인자들과 임상적 의미,"This summary of literature during the past year reviews published studies relating to risk factors for depressive disorders in children and adolescents. Risk factors include environmental toxins, socio-environmental, and genetic factors. As depression has a complex, multifactorial causal mechanism, it is likely that the accumulation and/ or interaction among multiple risk factors lead to depression. Findings related to the result of toxin exposure have been difficult to interpret given that risk factors tend to interact and that higher mental functions are not easily measurable. However, some findings have been consistent. Clinical research data has also shown that the risk for negative outcomes may be modified both by genetic and environmental factors through a gene environment interplay mechanism.",이문수(Moon-Soo Lee),2010,https://www.riss.kr/link?id=A99794342
주의력결핍 과잉행동장애 아동에서 종합주의력검사의 진단적 유용성,"Background：The objective of this study was to evaluate the diagnostic efficiency of the Comprehensive Attention Test (CAT) by comparing the results of the continuous performance test (CPT) and the CAT in children and adolescents with attention-deficit hyperactivity disorder (ADHD).
Method：A total of 110 children and adolescents with ADHD (mean age : 11.2±2.9 years, 76 boys) and 36 children and adolescents without ADHD (mean age : 12.0±2.7 years, 25 boys) completed the CAT. We compared the specificity and sensitivity of the CPT and CAT at two different cut-off points via the McNemar test. The areas under the receiver operating characteristic curves (AUC) between the two groups were compared using Medcalc software.
Results：The sensitivity and specificity of the CPT were .419 and .806, respectively. The sensitivity of the CAT was .827, which was significantly higher than that of the CPT (p＜.001), and the specificity of CAT is .444, which was significantly lower than that of CPT (p＜.001). The AUC of the CPT and CAT was .664 and .692, respectively, and there were no significant difference between the two groups on the paired comparison (p=.513).
Conclusions：The results of this study suggest that the CAT has moderate specificity and high sensitivity. The CAT can be used as a useful tool to evaluate the neuropsychological function of children and adolescents with ADHD.",서종만(Jong-Man Seo),2011,https://www.riss.kr/link?id=A82490363
조기진통 임부의 조산 발생 영향요인: 전향적 코호트 연구,"Purpose: To identify risk factors for premature birth among premature obstetric labor women. Methods: Participants were 129 hospitalized women who were diagnosed with potential premature obstetric labor with 20 weeks to 37 weeks of gestation. Data were analyzed using descriptive statistics, x<sup>2</sup> test, t-test, and binary logistic regression. Results: Of 129 women, 78(60.5%) gave premature birth and 51 (39.5%) gave full-term birth. Risk factors for premature birth were education level (≤bachelor’s degree), abnormal bowel condition (constipation or diarrhea), time firstly diagnosed with a premature obstetric labor (below 28 weeks of pregnancy), and multiple pregnancy. There were also increased risks of premature birth for participants with high level of anxiety and high level of prenatal stress. In social support, there was an increased risk of premature birth for participants with low level of social support. Conclusion: Prenatal nursing programs should consider not only psychosocial factors such as anxiety, prenatal stress, and social support, but also some general and obstetric factors such as education level, abnormal bowel condition, time firstly diagnosed with a premature obstetric labor, and multiple pregnancy to increase maternal and child health.",김윤경 ( Kim Yun Kyung ),2018,https://www.riss.kr/link?id=A99794344
산부인과 간호사의 환자 프라이버시 보호행동에 관한 연구,"Purpose: This study aims to determine obstetric and gynecologic (OBGY) nurses' perception and performance pro-pecting patients' privacy and to contribute to develop educational program and improve the quality of nursing care. Methods: 206 OBGY nurses in 6 hospitals using an electronic medical record or an order communicating systern were chosen by convenience sampling and agreed to participate in the study. The questionnaire, explored 4 domains of privacy: direct nursing, linked business, patient information management, communication with relatives. Results: Perception and performance of protecting patient privacy averaged 4.29(of 5) and 3.55 (of 5), respectively. Most nurses (94.2%) recognized the importance of protecting patient privacy, 80.1% received patient privacy education. There was a distinct difference between the perception and performance of protecting patient privacy of nurses. Performance of protecting patient privacy protection requires improving perception of each nurse on the patient privacy, a d various efforts should be made to minimize the affect from external factors such as hospital environment. It is needed to educate nurses for patient privacy. It is also needed for medical organizations to improve their policies and facilities to ease the performance for privacy protection.",김미옥,2012,https://www.riss.kr/link?id=A99794340
고위험 임신의 외래 산전진찰시 고려사항,"A high-risk pregnancy means a pregnancy with a high probability of adverse pregnancy outcomes for the pregnant woman and fetus, and is applicable when there are risk factors for high-risk pregnancy that can affect pregnancy outcomes. Risk factors involved in high-risk pregnancy include the age of the pregnant woman, medical/surgical diseases that existed before pregnancy, internal/surgical diseases that occurred during pregnancy, obstetric diseases, and diseases that occurred during pregnancy. The most common risk factor for high-risk pregnancies is older pregnancies, such as those over 35 years at the time of delivery, and those over 40 years are at high risk of miscarriage and chromosomal disorders. In the case of elderly mothers, the prevalence of underlying diseases is high, and the occurrence of hypertensive diseases and diabetes during pregnancy increases. Due to the aging of domestic mothers, the rate of high-risk pregnancies is increasing, and more effort is required for prenatal care for them compared to low-risk mothers. In this review, we would like to discuss the matters to be considered in the outpatient examination of high-risk pregnant mothers and the decision on the delivery time for each common disease.",안태규,2023,https://www.riss.kr/link?id=A100125377
"중년여성의 자아정체감, 갱년기 증상이 우울에 미치는 영향","Purpose: The purpose of this study was to identify the factors influencing self-identity and menopausal symptoms their influence on level of depression in middle-aged woman. Methods: Participants were 135 middle-aged women who were living in city B, were 45-60 years old, informed of study purpose, and agreed to participate. Data were collected from December, 2012 to January, 2013 using scales measuring depression, self-identity, and menopausal symptoms. Data were analyzed using t-test, ANOVA, Scheffe test, Pearson Correlation Coefficients, and Multiple Stepwise Regression. Results: Level of depression was low, self-identity was slightly high, and menopausal symptoms were relatively low in these middle-aged women. There were significant differences in depression by perceived health status and perceived economic status. Depression had a moderate negative correlation with self-identity (r=-.49, p<.001) and a moderate positive correlation with menopausal symptoms (r=.57, p<.001). Menopausal psychological symptoms were the factor most affecting depression and explained 37% of the variance in depression. A total of 51% of variance in depression was explained by menopausal symptoms (psychological and physical),self-identity, and perceived economic status. Conclusion: Thus, an effort to improve self-identity, especially a plan to attenuate menopausal psychological symptoms is needed to reduce depression.",한미정 ( Mi Jeong Han ),2013,https://www.riss.kr/link?id=A101747703
