
일단계 골연장술시의 연장길이가 혈류량에 미치는 영향에 관한 실험적연구,"Gradual distraction techniques according to Ilizarov have recently gained popularity around the world. However, there should be a safe limit of lenthening, which might recollect the classical one stage lengthening with bone graft. Nerve and muscle changes are the main concern of most investigators. But the changes of blood flow might be the first step in determining the method of lengthing in certain clinical cases, especially in hand and foot.
This study investigated the changes of blood flow in relation to the percentage of lengthening of the Sprague-Dawley rat's tibia by one stage bone lengthenig. Lengthening procedure was devided into 4 stages, Stage 0(0% lengthened initial status),Stage I(12.5% lengthened status), Stage II(25% lengthened state) and finally Stage III(31.25% lengthened stage) to make it close to the clinical situation of one stage lengthening. 15 minutes went for each stage including 15 seconds of acute lengthening at the beginning of every stage. Blood flow on the dorsum of the foot were measured every minute and changes were recorded as ratios of measured flow to that of Stage 0.
The changes of blood flow in Stage I[0.79±0.117(mean±SD)] did not appear to affect the circulation. Changes in Stage II[0.16±0.002(mean±SD)] might compromise the distal circulation, but circulation was effective enough to maintain a viable skin flap. Stage III[0.016±0.023(mean±SD)] showed definite changes beyond the point of safety.
Though an animal experiment, these results might bear author's suggestion that in some clinical cases one stage lengthening technique can find its place as long as careful monitoring of blood flow is secured.",권성택,1995,https://www.riss.kr/link?id=A2013054
욕창치료에 대한 임상적 고찰,"The pressure sore is a common clinical problem in patient of spinal cord injury or long term comatous patient. These patients have frequently required long term hospitalization, careful attention to local wound care and dietary suppliment and time consuming operation. Author reviewed 17 patients who had suffered from pressure sore and treated by surgery in Nativonal Medical Center for recent 3 years.
The result of clinical evaluation was as followings:
1. The ratio between male & female patient was 13:4
2. The incidence according to age group was highest in 3rd decade.
3. The trauma was the highest etiologic factor, the ratio of trauma to total case was 10/17
4. The total number of pressure sores was 21 cases in those 17 patients.
5. Locations of pressure sores was as following: sacrum (14 case), greater trochanter (5 case), ischium (2 cases).
6. Ten cases of pressure sores were treated by myocutaneous flap and eleven cases were treated by randdom pattern flap. Performed myocutaneous flaps were as following: gluteus maximus myocutaneous flaps (6 cases), tensor fascia lata myocutaneous flap (2 cases), vastus lateralis myocutaneous flap (2 cases).
7. The postoperative complication rate was significantly decreased and the postoperative period of hospitalization was much reduced in patients of myocutaneous flap than that of random pattern flap.",김현철,1986,https://www.riss.kr/link?id=A104556520
안면 비대칭 환자에 있어서 관골 확대술,"A new osteotomy technique has been used to correct the hypoplasia of the malar complex and the lateral orbital rim, which are commonly seen in patients with hemifacial microsomia and postradiation hypoplasia.
Through a upper vestibular buccal incision, the zygomatic body and the lateral orbital rim are dissected subperiosteally with positive identification of the infraorbital nerve.
A straight osteotomy is performed from the notch on inferior border of the lateral maxilla to the notch on the lateral orbital rim just lateral to the frontozygomatic suture using a reciprocating saw and the osteotomized lateral orbital zygomatic complex is pivoted laterally to achieve symmetric facial contour. Bone grafts or hydroxyapatite blocks are then inserted into the bone gap and the rigid fixation by a miniplate and screws is done. When the additional anterior projection of the malar area is necessary, onlay bone graft, usually cranial bone, is employed to improve the facial contour.
From August, 1988 to February, 1993, we used this technique in 16 patients with hemifacial microsomia,, 2 patients with postradiation hypoplasia of malar complex, 2 patients with posttraumatic facial asymmetry and 1 patient with congenital facial cleft. Patient's satisfaction has been excellent and there has been no significant complication.
Follow-up of more than 4 years showed no relapse and no evidence of the bony resorption.",김동일,1993,https://www.riss.kr/link?id=A2013520
모발 이식술을 이용한 탈모증의 치료,"The increasingly successful results of hair restoration surgery in the last years have developed the interest and the confidence of patients and it is the most frequently performed esthetic surgery among male patients. Currently, Various kinds of techniques for hair restoration surgery including hair transplantation, scalp reduction, and scalp flaps are performed in our clinic. Among these, hair transplantation is the basic ant the most popular procedure, which can be performed not only by itself but also in conjunction with other procedures.
123 consecutives cases of hair transplantations were performed from Jan. 1995 to Feb. 1996 for male pattern baldness, traumatic alopecia, and female pattern baldness under patient base. The authors introduced a new classification for male pattern baldness, which are the type M, O, C, U, M-O, and C-O after alphabet to make simple and easy for clinical application. The ancillary procedures were scalp reduction, preauricular flap, and scalp expansion. An ellipsis of hair bearing scalp taken from the occipital area was Sliced into slit-, mega-, mini-, and micro-grafts. The survival rate of the grafts was over 90% with minimal complications. This hair transplantation technique enabled us to achieve a good density and more natural looking hair with avoidance of cobble stoning and apparent scar.",김성욱,1997,https://www.riss.kr/link?id=A2014079
상악 하악 돌출증의 치료,"Bimaxillary protrusion implies protrusion of the mandibular incisor teeth associated whith maxillary protrusion.
Abnormal growth of the craniofacial structures may produce bimaxillary dental protrusion with severe dental and facial disharmony.
In this condition, both the maxillary and mandibular incisor teeth are significantly more procumbent on their bony bases than are normal teeth. Bimaxillary protrusion is a relative designation, as the dentoalveolar prominence results from overdevelopment of the maxillary and mandibular arches or from underdevelopment of the other skeletal components.
Lip incompeteucy, ""receding chin effect""and loss of labiomental curve are frequently observed in these patients.
The majority of the adult bimaxillary dental protrusions can be treated by orthodontics in 24 to 30 months by extracting 4 first premolars and moving the anterior teeth posteriorly.
But satisfactory facial harmony and balance can be restored by surgical-ortho-dontic procedures when improvement in facial harmony cannot be achieved through orthodontic therapy alone or when an adult patient is unwilling to accept the required appliande therapy.
Moreover, orthognatic surgery has an advantage over orthodontic because the former moves the basal bone with the dental component, whereas the latter limits itself to the dentoalveolar segment only.
A combination of surgery performed with orthodontics was successful in treating a pateint who had bimaxillary dental protrusion.
Functionally balanced occlusion with facial balance and harmony was achieved by intraoral surgery in the anterior part of the jaws and orthodontic treatment
Hereby, we present a case of bimacillary protrusion in young female who has been treated successfully by premolar setback osteotomy.",김진환,1985,https://www.riss.kr/link?id=A2014152
여성성기의 재건,"The attempts to reconstruct the vagina had been made since the ancient times, and it has been very fascinating field of medical history. According to the ""history of attempts to form a vagina"" by Goldwyn, the vaginal atresia was first described in detail by Celsus and Soranus in Roman period. In the nineteenth century, Warren operated successfully on 3 patients with vaginal atresia.
In the second half of the nineteenth century, the use of inlay split-skin grafting was pioneered by Robert Abbe. In the twentieth century, the use of inlay grafts were popularized by Gilles and McIndoe. Sneguireff described success with transposing a loop of intestine, and Frank devised a simple non-surgical technique of pressure and dilatation.
The development of sex reassignment operation in transexualism has brought more various methods of vaginoplasty, which include penile skin inversion surgery, Singapore flap,penoscrotal inversion vaginoplasty, and free flap vaginoplasty.
There is no single ideal method of vaginoplasty that can be chosen in all cases, but it can be individualized according to the condition of the patients and preference of the surgeon.
We can summarize the methods of vaginoplasty based on our clinical experience as follows.
1. In the cases of congenital agenesis, there are many choices according to the conditions of the patients, which include dilatation method, full-thickness skin grafting, tissue expansion, and rectosigmoid vaginoplasty.
2. in the patients of transsexualism in whom their the penis and scrotum are well preserved, the penoscrotal skin inversion flap is the method of choice.
3. The restosihmoid flap or Pudendal thigh flap is the preferred methods in transsexualism who had their penis and scrotum being already resected or in the intersexualism.
4. The gracilis myocutaneous flap or the rectus abdominis myocutaneous flap are the methods of choice in vaginoplasty after tumor resection or radiation therapy.",정영하,1996,https://www.riss.kr/link?id=A2013428
음경연장 및 확대성형술,"Although many patients with micorpenis prefer to have augmentation phalloplasty, there are few reports on augmentation phalloplasty. Lengthening of micropenis can be achieved by partial separation of penile crura from pubo-ischial rami with division of suspensory ligament. Augmentation of width of penis can be achieved by autogenous dermofat graft.
23 patients with congenital micropenis and one patient with acquried micropenis due to dog bite were treated with above methods. The sensation and erect function of penis were remained quite normal. The procedure was safe and effective without any complications.",안덕선,1996,https://www.riss.kr/link?id=A2013204
The vertical orbicularis oculi muscle turn-over procedure for the correction of paralytic ectropion of the lower eyelid,"Background Static reconstruction surgery that tightens the tension of the inferior tarsus, thereby raising the lax lower eyelid, is a common treatment for paralytic ectropion of the lower eyelid. We present one such operative procedure, in which an orbicularis oculi muscle flap was used. Methods The surgical technique involves partial resection of the tarsus and the skin, as well as a superior-based orbicularis oculi muscle flap that is sutured to the firm tissue present on the Whitnall tubercle. The muscle flap is approximately 7 mm in width and 15 mm in length, with a superior pedicle that is attached to the tarsus at the medial point of the resected tarsus. The procedure results in contact between the ocular surface and the lower eyelid. Results The procedure was performed in 11 patients with lower eyelid ectropion due to facial paralysis. Ten cases showed a favorable outcome following surgery, with stable results seen over an average follow-up period of 4.5 years. In one case, recurrence of ectropion was observed 2 months after surgery due to an insufficient correction, and the patient required repeat surgery. Conclusions The orbicularis oculi muscle flap was an effective means of suspension and was able to maintain long-term traction tension. This procedure can therefore be considered a favorable treatment option for lower eyelid ectropion due to facial paralysis.","Azuma, Ryuichi",2018,https://www.riss.kr/link?id=A2013259
Somatosensory evoked potentials are abnormal with plagiocephaly,"Background: Deformational plagiocephaly is usually managed conservatively, as it tends to improve over time and with the use of conservative measures. However, before the year 2017 we operated on patients with severe plagiocephaly and neurological symptoms at the Helsinki Cleft Palate and Craniofacial Center. Methods: Of the 20 infants with severe deformational plagiocephaly and neurological symptoms referred to us between 2014 and 2016, 10 underwent cranioplasty open reshaping of the posterior cranial vault. The parents of the last 10 patients were given information on the natural history of the condition and the patients were followed up with an outpatient protocol. The aim of this study was to gain information on the brain electrophysiology and recovery of patients after total cranial vault reconstruction by measuring the electroencephalogram (EEG) somatosensory evoked potentials (SEP; median nerve). Results: Of the 10 participants in the operation arm, six had abnormal SEP at least on the affected cerebral hemisphere and all SEPs were recorded as normal when controlled postoperatively. In the follow-up arm, eight out of 10 participants had abnormal SEP at the age of approximately 24 months, and all had normalized SEPs at control visits. Conclusion: Our data suggest that cranioplasty open reshaping of the posterior cranial vault did not affect abnormal SEP-EEG recordings. We have abandoned the operations in deformational plagiocephaly patients due to findings suggesting that expanding cranioplasty is not beneficial for brain function in this patient group.","Harma, Maiju",2022,https://www.riss.kr/link?id=A105316355
Blink reflex changes and sensory perception in infraorbital nerve-innervated areas following zygomaticomaxillary complex fractures,"Background Infraorbital nerve dysfunction is commonly reported after zygomaticomaxillary complex fractures. We evaluated sensory changes in four designated areas (eyelid, nose, zygoma, and lip) innervated by the infraorbital nerve. This evaluation was conducted using the static two-point discrimination test and the vibration threshold test. We assessed the diagnostic significance of the blink reflex in patients with infraorbital nerve dysfunction. Methods This study included 18 patients, all of whom complained of some degree of infraorbital nerve dysfunction preoperatively. A visual analog scale, the infraorbital blink reflex, static two-point discrimination, and the vibration threshold were assessed preoperatively, at 1 month postoperatively (T1), and at a final follow-up that took place at least 4 months postoperatively (T4). The results were analyzed using a multilevel generalized linear mixed model. Results Scores on the visual analog scale significantly improved at T1 and T4. The infraorbital blink reflex significantly improved at T4. Visual analog scale scores improved more rapidly than the infraorbital blink reflex. Two-point discrimination significantly improved in all areas at T4, and the vibration perception threshold significantly improved in the eyelid at T4. Conclusions Recovery of the infraorbital blink reflex reflected the recovery of infraorbital nerve dysfunction. We also determined that the lip tended to recover later than the other areas innervated by the infraorbital nerve.","Park, Young Sook",2020,https://www.riss.kr/link?id=A108109663
여성 성전환수술을 받은 환자의 호르몬 정량분석,"Transgender is the severe type of gender identity disorder. The prevalence rate of transgender is reported to occur to about 1 out of 50,000 men, and about 1 out of 10,000 women. As for Korea, it is estimated to have about 1400 transgender patients. Lately, not only the numbers of them are increasing but also they are influencing our society increasingly. As for female transgender patients, they take female hormone for a long term before and even after the operation to maintain their physical identity of female. We have analyzed insulin like growth factor-1(IGF-1), insulin like growth factor protein binding-3(IGFBP-3), female hormone, male hormone and thyroid hormone in female transgender patients who have undergone the gender reassignment operation. We examined the changes of hormone level due to having female hormone steadily, and also examined how the steady use of the hormone could affect body organs. As for IGF-1, it showed significantly low in the female transgender group compared to control (319.30±37.4 vs 539±55.0, p<0.05). As for IGFBP-3, there was no significant difference (2859±200.3 vs 2607±262.5, p>0.05). As for female hormone, there was no significant differences in FSH(13.42 ±13.8 vs 8.95±3.5, p>0.05), estradiol(104.41±97.1 vs 121.68±60.2, p>0.05), and LH(7.62±5.6 vs 7.4±3.3, p>0.05). Even in comparison of testosterone, there was no significant differences(0.23±0.09 vs 0.33± 1.33, p>0.05). As for thyroid hormone, there was no significant differences in TSH and free T4(1.34±0.94 vs 1.71±0.12, 1.4±0.37 vs 1.46±0.17, p>0.05).Therefore, this study concludes that apart from the decreased level of IGF-1, the possible endocrine side- effect problem due to female hormone seems to be low because there was no differences of female, male, and thyroid hormone level compared with normal female. Further study will be required in metabolic change including bone metabolism occurred by decrease level of IGF-I.",박정민,2005,https://www.riss.kr/link?id=A107140907
미세혈관 수술후 Urokinase투여효과에 관한 실험적 연구,"However, even the most technically perfect anastomosis can neither eliminate the damage which microneedles cause on the vascular endothelium nor foreign body reaction to the suture material.
Thrombosis developed at the suture site and regressed if the stimulus for the thrombosis is not severe.
Partial thrombosis was inevitable after microvascular anastomosis.
Since systemic thrombolytic drugs were used initially in the management of pulmonary emboli, urokinase were also used in prevention of thrombolysis and thrombolysis after microvascular anastomsis.
This experimental study includes the effect of urokinase on the microvascular anastomosis in rabbits.
The patency was observed, and platelet count, fibinogen, prothrombin time, and activated partial thromboplastim time were examined.
In the case of thromboses, the anastomotic sites were resected and examined microscopically.
The results were as follow;
1. The patency rate was increased 15 percent in experimental group than control group.
2. There were no differences in platelet count and the prothrombine time between experimental and control group.
3. The level of fibrinogen was decreased 157㎎/dl in experimental group less than control group.
4. The activated partial thromboplastin time was increased three to four times at postoperative period more than preoperative period in experimental group.
5. In light microscopic examination of thrombotic vessel wall revealed inflammatory reaction to suture material. In the experimental group, the thrombi were loose and defibrinated than control group.",이세일,1987,https://www.riss.kr/link?id=A104556518
