
청소년기 10대 임신에서 임산부와 신생아의 주산기 문제점,"Purpose: The number of teenage pregnancy is increasing on these days due to changes in sexual awareness, precocious puberty,lack of proper sex education and abortion restrictions. We evaluated the clinical features including the rate and perinatal complications of mother and neonates caused by teenage births.
Methods: Subjects were mothers whose ages were below 19 at time of admission in Wonkwang University Hospital from January 2000 to July 2011. We reviewed the medical records of teenage mothers and her neonates retrospectively, and investigated the differences between above and below the age of 16 .
Results: The number of neonates of teenaged mothers was 73, which is 10.4 per 1,000 births and it showed an upward trend during the late decade of 2,000’s. 14 (19.2%) of the mothers were multiparous, and 69 (94.5%) unmarried, 25 (34.2%) no prenatal examinations, 11 (15.1%) an abortion history, 47 (64.4%) middle or high school students, and 25 (34.2%) a single parent. Among the maternal complications, premature birth was the most prevalent with 34 cases (46.6%), followed by 11 (4.1%) of premature rupture of membrane. The most common neonatal complication was prematurity in 37 cases (50.7%), followed by 30 (41.1%) low birth weight, 19 (26%) ICU admission. There were no significant differences between above and below the age of 16 in neonatal and obstetrical complications.
Conclusion: The number of teenage pregnancy is increasing recently, and they had a high prevalence rate of prematurity, low birth weight and respiratory distress syndrome. And, the grouping by age of above and below 16 was no affect the prognosis.",박인호,2012,https://www.riss.kr/link?id=A76521054
진료 현장에서 소아 마이코플라스마 폐렴을 어떻게 치료할 것인가?,.,양현종,2020,https://www.riss.kr/link?id=A99577616
신생아에서 채혈 시 음악제공이 통증행동 반응에 미치는 효과,"Purpose: We studied this study to see the effect of hearing music on response to pain during needling. We hypothesized that music would reduce pain in newborns.
Methods: Twenty term and near-term newborns were enrolled for the study. They were admitted to neonatal intensive care unit of Hanyang University Guri Hospital from May 1, 2011 to September 30, 2011. We evaluated pain response to needling, such as arterial puncture or heel prick, by using Neonatal Infant Pain Scale (NIPS; facial expression, crying, breathing patterns, arms, legs, state of arousal) and duration of crying through video recording. We started video recording when the newborns were stable with 0 score of NIPS, and continued for 3 minutes after needling. Each newborn took video-recordings in 2 separate periods. One was done with hearing music (Music group) and the other without music (Control group). Two observers reviewed the videotapes and gave final scores in agreement. T-test was done for comparisons of pain scale and duration of crying between music and control groups.
Results: Mean age and hospital days at test of the subjects were 6±5 days of life (1-16 days of life) and 3±2 days, respectively. Twenty-one of 40 needlings (52.5%) for blood sample were from radial arterial puncture and 19 (47.5%) from heel prick. The music group had lower NIPS score than the controls (5.6±1.1 vs 6.5±0.7, P=0.006). Among the NIPS parameters, the music group had lower scores in crying and arm (crying, 1.6±0.5 vs 1.9±0.3, P=0.028; arm, 0.3±0.5 vs 0.7±0.5, P=0.01) parameters. The remaining parameters such as facial expression, leg, breathing patterns and state of arousal, and duration of crying were not significantly different in 2 groups.
Conclusion: c reduced pain response to needling in newborns. Music could be one of modalities to relieve pain during routine medical procedures in newborns.",오혜린,2013,https://www.riss.kr/link?id=A101599049
소아 크룹 환자들의 원인 바이러스에 따른 임상 양상과 입원 경과 비교,"Purpose: We evaluated the clinical features of croup in children according to viral etiology.
Methods: This study enrolled pediatric patients with croup, who showed positive results on respiratory virus reverse transcriptase polymerase chain reaction performed between January 2012 and December 2017. We retrospectively reviewed the medical records.
Results: A total of 179 patients (119 boys and 60 girls) were enrolled with the mean age of 18.9±14.7 months. The viruses commonly identified were parainfluenza, respiratory syncytial virus, rhinovirus, and influenza. Among these 4 viruses, patients with rhinovirus infection showed significantly shorter fever and admission durations. Patients with parainfluenza infection showed significantly lower incidences of epinephrine nebulization and patients with influenza infections showed significantly higher incidences of steroid treatment.
Conclusion: Clinical manifestations of croup differ according to causative viruses. Further studies should be conducted to evaluate the severity and prognosis of croup according to viral etiology. (Allergy Asthma Respir Dis 2018;6:290-294)",김가은 ( Ga Eun Kim ),2018,https://www.riss.kr/link?id=A106839645
고유량비강캐뉼라는 인공호흡기의 사용을 감소시키는가?,.,조중범,2023,https://www.riss.kr/link?id=A106173357
감염 후 폐쇄세기관지염 소아 환자의 면역학적 병인 분석,"Purpose: This study aimed to analyze the immunologic profile of children with postinfectious bronchiolitis obliterans (PIBO) in order to approach pathophysiology affected by host factors.
Methods: A total of 10 children with PIBO were prospectively enrolled. We obtained information on demographics from their caregiver and electric medical records. Peripheral blood samples were collected before cyclic systemic methylprednisolone therapy and complete blood count, immunoglobulin level and lymphocyte subset were analyzed.
Results: The white blood cell count and immunoglobulin level were within the normal range in children with PIBO. The CD4+/CD8+ ratio was not significantly different from those of the healthy control group. A decreased proportion of both central memory T cells (median [interquartile range]; 13.5% [8.3%-16.3%] vs. 18.5% [15.9%-24.1%], P=0.01) and effector memory T cells (10.3% [5.0%-18.4%] vs. 20.9% [16.6%-26.3%], P=0.03) in CD4+T cells was observed in the PIBO group compared with those in the control group. In CD8+T cells, the proportion of effector memory T cells (7.8% [4.2%-13.8%] vs. 24.3% [15.3%-27.9%], P=0.02) and CD45RA+effector memory T cells (16.2% [11.0%-36.6%] vs. 24.2% [17.1%-39.7%], P=0.04) was decreased in the patient group compared with the control group.
Conclusion: It is suggested that T lymphocyte subset abnormalities may be associated with a decrease in the ability to differentiate the T cells immediately upon reinfection and induce an effective response to infection. These results may partially explain the pathophysiological individual vulnerabilities to PIBO after lower respiratory tract infections in children. (Allergy Asthma Respir Dis 2022;10:97-104)",최윤정 ( Yun Jung Choi ),2022,https://www.riss.kr/link?id=A82503437
가와사키병 진단의 최신 지견,"Kawasaki disease (KD) has been increasing recently in Korea. Although the delayed diagnosis of KD can cause coronary artery abnormalities, no specific test is available. Thus, optimal guidelines for early diagnosis and treatment of KD are the best way to prevent the development of coronary artery abnormalities. The 2017 updated American Heart Association guidelines for diagnosis, treatment, and long-term management of KD are informative for physicians who face with children having manifestations suggestive of KD.",한지환,2018,https://www.riss.kr/link?id=A101598964
소아 천식 환자에서 몰입형 가상현실을 이용한 환경관리 교육,"Purpose: Awareness of environmental control is considered a major influence on the performance of asthma self-management behaviors that are involved in maintaining effective control of asthma. The aim of this study was to investigate whether immersive virtual reality (VR) education is effective in environmental control education for asthmatic children.
Methods: Thirty asthmatic children aged 9 to 13 years with aeroallergen sensitization were enrolled. Environmental control education for asthmatic subjects were performed using either immersive VR (VR group) or conventional leaflets provided by asthma specialists (control group). Five questionnaires, such as awareness of environmental control, memory, assessment of intent to act, satisfaction test, and asthma control test (ACT) questionnaires were used for estimating the effects of education.
Results: Awareness of environmental control, memory, and intent to act scores were significantly increased after education in both groups and the scores were maintained high until 4 weeks after education. In both group, ACT scores were maintained high scores before and 4 weeks after education. Satisfaction scores were very high in the VR group.
Conclusion: The increased scores in awareness of environmental control and intent to act indicate that the environmental control education using VR is worthy of attention as an effective educational tool for asthma management. Application of further developed techniques, including active environmental intervention by participants in VR, could be applied to effective asthma management. (Allergy Asthma Respir Dis 2022;10:33-39)",김승현 ( Seung Hyun Kim ),2022,https://www.riss.kr/link?id=A102023322
소아 천식 조절 지표로서의 기관지확장제반응의 유용성,"Purpose: Assessing asthma control is important for proper management, and various indices for objective assessment of asthma control, such as fractional exhaled nitric oxide (FeNO) and asthma control test (ACT) score have been proposed. Recently, bronchodilator response (BDR) was reported as a marker of poor asthma control in adults. This study aimed to assess the usefulness of BDR as a biomarker for childhood asthma.
Methods: A total of 305 children diagnosed with asthma were included. Spirometry with bronchodilator test was done at the time of diagnosis and about 14 months after asthma treatment. All children were evaluated by childhood asthma control test (c-ACT) and FeNO after asthma treatment. The patients were divided into 2 groups according to BDR results: the positive and negative BDR groups. Various biomarkers for asthma control, such as c-ACT, FeNO and changes of forced expiratory volume in 1 second (FEV1), were compared between the 2 groups.
Results: Of the 305 patients, 143 (46.9%) were positive and 162 (53.1%) were negative for BDR. The BDR-positive group showed lower FEV1. In the BDR positive group, FEV1 was significantly increased after asthma treatment, especially in children with airflow limitation which was defined as below 80% of FEV1 or atopy. In atopic children, BDR showed a significant negative correlation with c-ACT and a positive correlation with FeNO.
Conclusion: In asthmatic children with airflow limitation at the time of diagnosis, BDR can be a useful index for predicting improvement in lung function by asthma maintenance treatment. BDR could be a reliable marker for the assessment of asthma control in atopic children.",김종덕,2019,https://www.riss.kr/link?id=A100299060
꽃가루 생태변화와 소아청소년 알레르기비염에 관한 고찰,"Allergic rhinitis (AR) is a type of rhinitis accompanied by sensitization to allergens. One of the most clinically important allergens is pollen. Recently, due to climate change and CO2 air pollution, the flowering period starts earlier and persists longer. In addition, antigenicity due to environmental pollution is also being strengthened. As a result, the sensitization rate to pollen antigens is on the rise. It is known that the prevalence of AR especially caused by pollen is rapidly escalating. Although the causal relationship between pollen exposure and the severity of rhinitis is not precisely established, an association of rhinitis symptoms with the time of pollen scattering exists. In addition, the mixed effect of environmental pollution and pollen may play a role in the development of rhinitis symptoms. Therefore, in order to avoid pollen, it is necessary to constantly improve pollen forecast and minimize the contact with pollen indoors and outdoors. Treatment of AR should be performed according to guidelines. Also, continuous efforts to solve the environmental problems affecting the ecology of pollen are needed.",이경석,2023,https://www.riss.kr/link?id=A100299065
