
소그룹 신체활동이 치매노인의 인지기능에 미치는 영향,"목적 : 본 연구는 치매노인의 신체활동프로그램을 만들어 소그룹에서 규칙적으로 시행하여 신체활동이 치매노인의 인지기능과 삶의 질 향상에 미치는 영향을 알아보고자 한다.
연구방법 : 최경도-경도치매 노인 6명을 대상으로 2007년 9월부터 11월까지 12주간, 주 3회 40분씩 자체에서 만들어진 10가지 신체활동프로그램으로 시행하였다. 치매 노인에서 신체활동 시행 전후에 간이정신 상태평가(MMSE-K), 인지기능검사(LOTCA-G)와 삶의질척도검사를 평가하였다.
연구결과 : 신체활동 시행 후 MMSE-K의 총점에서 유의적인 변화를 보였으며(P<0.05), LOTCA-G의 경우 도형인식, 신체지적인식에 변화가 없으며 다른 항목들에서 신체활동 시행 후에 증가하였다. 삶의 질에 경우 전체총점에서 시행 후에 유의적인 변화가 있었으며(P<0.05), 세부항목에서 만족도의 질적인 변화를 보였다.
결론 : 치매 노인에 대한 신체 활동프로그램을 통해 신체기능의 개선과 인지기능의 증가로 일상생활활동의 독립성을 증가시키고 노인들의 삶의 질 향상에 유용한 치료적 접근방법이라는 것을 알 수 있었다.",김정기,2008,https://www.riss.kr/link?id=A76521054
알츠하이머환자와 혈관성 치매환자의 CERAD-K를 통한 인지기능의 비교와 평가도구의 유용성,"목적: 혈관성 치매환자와 알츠하이머 치매환자의 CERAD-K 점수를 비교하여 집단 간 차이와 혈관성 치매환자에게 CERAD-K평가의 유용성을 확인해 보고자 한다, 연구방법: 2009년 7월 1일부터 2012년 10월 31일까지 대전·충남에 소재한 3개의 요양병원에 입원한 혈관성치매나 알츠하이머 치매로 진단받은 환자 31명을 대상으로 한국판 CERAD-K평가를 시행하였다. 알츠하이머 치매와 혈관성 치매 집단을 비교하기 위해 t-검정(Independent t test)을 사용하였고, 인지요인간의 상관성을 확인하기 위해 스피어만 상관분석(Spearman correlation coefficient analyses)을 실시하였다, 연구결과: 보스톤 이름대기 검사, 단어목록 기억, 단어목록회상에서 두 집단간 유의한 차이가 있었다(p<0.5),CERAD-K의 하위항목간의 상관성을 분석해 본 결과 혈관성 치매보다 알츠하이머 치매에서 보다 높은 상관계수가 관찰되었다(p<05), 결론: CERAD-K도구가 혈관성 치매환자에게 유용하게 적용될 수는 있으나, 두 집단에 인지기능의 차이가 관찰되므로 혈관성 치매환자의 특성이 고려된 신경심리 평가집 개발이 필요할 것으로 사료된다.",자종식 ( Jong Sik Jang ),2012,https://www.riss.kr/link?id=A99577616
국내 소아 크룹의 원인 바이러스,"크룹(Croup)은 흡기 천음(stridor), 컹컹소리나는 기침, 쉰 목소리 등의 증상을 특징으로 하는 호흡기질환이다. 급성호흡곤란을 보이는 소아의 흔한 원인으로, 캐나다에서는 10세 이하 호흡곤란의 두 번째 흔한 원인이다.1 주로 6개월에서 3세 사이 소아에서 발생하며 2세 미만에서 가장 흔히 발생하지만 더 어린 영아와 드물지만 청소년기에도 발생할 수 있다.2-4 크룹은 기후 조건, 사회 환경, 생활 환경 등 지역 특성에 따라 역학적인 차이가 예상된다. 또한, 크룹의 역학을 분석할 때 연구의 방법, 즉, 응급실을 방문한 환자인지, 입원한 환자인지, 일반 클리닉 방문환자 인지 등 연구 대상자의 차이와 원인균을 검출하는 방법 등에 따른 차이를 고려해야만 하겠다. 소아 입원의 주요 원인 중 하나인 크룹의 발생을 예측하여 그에 따른 대책마련을 위해서는 지역에 따른 크룹의 역학적인 특성을 모니터링하여 분석하는 것이 필요하다. 국내 자료를 종합해보면 크룹은 파라인플루엔자바이러스(parainfluenza virus, PIV)가 가장 흔한 원인이고 그 외 연도별, 계절별, 지역별로 차이가 있지만 호흡기세포융합바이러스, 리노바이러스, 사람 코로나바이러스(human coronavirus, HCoV), 인플루엔자바이러스, 보카바이러스 등이 원인이다.4-7",김정희,2019,https://www.riss.kr/link?id=A101599049
치매노인의 낙상예방을 위한 중재방안을 위한 문헌고찰,"목적: 치매는 전반적인 지적 기능이 지속적으로 감퇴되는 것으로 기억, 언어, 시공간, 개념화, 판단력 등의 기능의 감퇴로 인하여 독립적인 생활영위와 자조활동의 수행이 어려워진다. 또한 치매노인은 시공간개념과 판단력, 균형능력 등의 감소로 인하여 보행에도 어려움을 호소하게 된다. 특히 시공간개념과 판단력, 균형능력 및 보행능력의 감소는 예기치 못한 상황에 대한 대처능력이 떨어져 낙상을 야기 시키는 심각한 원인이 된다. 이에 본 연구에서는 치매노인의 전반적인 낙상 위험 요인과 예방을 위한 작업치료 중재를 검토하여 증가하는 치매노인인구의 건강하고 독립적인 생활과 삶의 질을 유지하는데 도움이 되고자 한다. 요약: 치매는 노인에게 있어 가장 많은 신경정신학적 장애를 유발하는 질환이다. 낙상은 치매노인의 일상생활과 일, 여가생활 등을 수행하는데 가장 치명적인 장애를 유발하는 원인으로 이러한 낙상으로 인하여 치매노인은 심리적인 장애뿐 아니라 이동 및 신체적 기능장애, 조기사망의 원이 되고 있다. 그러므로, 치매노인의 낙상예방에 대한 중재는 가옥구족의 변경, 다양한 보조도구의 활용 등을 통하여 치매노인의 삶의 질을 향상시킬 수 있는 중요한 것이다. 또한 인지기능의 향상 및 동기부여는 낙상을 예방하는 중요한 요소이다. 치매환자에게 있어서 낙상은 매우 다양한 원인에 의해 발생할 수 있으므로, 낙상예방을 이한 좀 더 포괄적인 접근이 필요하다.",채경주 ( Kyoung Ju Chai ),2010,https://www.riss.kr/link?id=A106839645
항생제 사용량 변화에 따른 그람음성균주의 항생제내성률의 변화 양상,"목적: 국내 소아 그람음성균혈증에서 항생제 내성변화 및 항생제 사용량과의 관계를 분석하였다. 방법: 최근 10년간 18세 이하 입원 환자의 혈액에서 분리된 그람음성균의 항생제 내성률 변화 및 항생제 사용량과의 관계를 분석하였다. 결과: 폐렴막대균, 대장균, 녹농균, 아시네토박터 바우마니의 분리율은 연간 혈액배양 1,000건당 각각 4.6례, 3.5례, 3.4례 및 2.2례였다. 폐렴막대균에서 광범위 세팔로스포린에 대한 내성변화는 없었으나 2010년부터 카바페넴 내성 폐렴막대균이 동정된 후 점차 빈도가 증가하였다. 대장균의 광범위 세팔로스포린 내성이 10%에서 50%로 아시네토박터 바우마니의 카바페넴 내성이 11%에서 71%로 크게 증가하였다(P for trend <0.01). 녹농균은 여러 항생제에 높은 내성을 보였으나 유의한 내성변화를 보이지 않았다. 대장균의 cefepime 내성과 cefepime 사용량 사이에 유의한 양의 상관관계를 보였다(r=0.900, P =0.037). 결론: 국내 소아에서 발생한 그람음성균 균혈증 분석시 카바페넴 및 광범위 세팔로스포린 내성이 증가하였고 일부에서 항생제 사용량과의 관련성을 확인하였다. 이는 원내 경험적 항생제 결정시 중요한 고려 사항이며 추후에도 지속적인 원내 항생제 사용량 및 내성률에 대한 감시가 필요하겠다.",김서희 ( Seo Hee Kim ),2015,https://www.riss.kr/link?id=A106173357
작업 중심 회상치료가 치매환자의 우울과 기억 및 문제행동에 미치는 영향,"목적 : 본 연구는 노인병원에 입원한 치매환자를 대상으로 실시한 작업 중심 회상치료가 우울과 기억 및 문제행동에 미치는 영향에 대해 알아보고자 하였다. 연구방법 : 본 연구는 A시 치매거점병원에서 치매로 진단받은 6명의 치매환자를 대상자로 선정하였다. 연구방법은 단일군 전후실험설계(one group pretest-post test design)를 적용하였다. 대상자 중재 기간은주 3회씩 4주간 총 12회기, 회기당 40분씩 작업 중심 회상치료를 시행하였다. 중재 전후 비교측정을 위해 우울은 한국판 노인우울척도(Geriatric Depression Scale Korean Version; GDS-K)를 사용하였고, 기억 및 문제행동은 기억 및 문제행동-개정판(Revised-Memory and Behavior Problem Checklist; R-MBPC)를 사용하여 측정하였다. 수집된 자료는 SPSS version 20.0 통계 프로그램을 사용하여 분석하였다. 우울과 기억 및 문제행동의 중재 전-후 변화를 분석하기 위해 윌콕슨 부호순위 검정(Wilcoxon signed rank test)을 실시하였으며, 우울과 기억 및 문제행동의 상관관계를 알아보고자 스피어만 상관분석(Spearman correlation)을 실시하였다. 연구결과 : 작업 중심 회상치료 중재 전에 비하여 중재 후에 치매환자의 우울과 문제행동은 감소하고 기억은 증가하였으며, 통계적으로도 유의미한 것으로 분석되었다(p< .05). 결론 : 본 연구 결과를 통하여 노인병원에 입원한 치매환자에게 작업 중심 회상치료를 적용하였을 때, 우울과 기억 및 문제행동의 감소를 보였다. 이에 향후 노인병원에 입원한 치매환자들에게 작업 중심회상치료를 적용하여 우울과 기억 및 문제행동의 개선을 기대할 수 있을 것이다.",김선용 ( Seon Yong Kim ),2014,https://www.riss.kr/link?id=A82503437
독거노인을 위한 관계형성 집단활동프로그램,"목적 : 본 연구에서는 독거노인을 대상으로 한 다양한 심리 예술분야의 집단프로그램을 알아보고 작업치료의 관점에서 의미있고 목적지향적인 활동 수행과 함께 심리사회적 지지망을 형성해 가는 Mosey의 심리사회이론을 근거로 한 관계형성 집단프로그램에 대해 소개하고자 한다. 연구방법 : 독거노인을 대상으로 한 집단 예술활동 프로그램 및 사회성에 관한 문헌들을 고찰하였다. 연구결과 : 선행연구들의 대부분은 음악치료, 미술치료, 원예치료와 같은 집단활동 프로그램이었고, 이 프로그램을 통해 독거노인의 우울감 감소, 자아존중감 증진 등의 효과가 검증되었음을 확인하였다. 사회성과 관련해서 게스탈트 관계성 향상 프로그램, 체계망 치료에 관한 연구들이 존재하나 작업치료 관점에서 집단의 관계형성을 위한 Mosey의 이론이 유용하게 사용할 필요가 있다. 결론 : Mosey의 이론은 독거노인의 사회적 지지망을 구축하는데 유용하게 사용될 수 있는 관계형성 프로그램이다.",박수현 ( Su Hyun Park ),2014,https://www.riss.kr/link?id=A101598964
집단 회상치료가 시설거주 치매노인의 사회적 상호작용과 문제행동에 미치는 효과,"목적: 본 연구에서는 요양병원 및 요양원에 입소한 중증치매노인들을 대상으로 실시한 집단 회상치료 프로그램이 사회적 상호작용과 문제행동에 긍정적인 영향을 미치는지를 확인하고자 하였다, 연구방법: 본 연구는 A시의 요양병원과 K시의 요양원에서 총 20명의 치매노인을 실험군(10명)과 대조군(10명)으로 나누어 연구했다. 회상치료 프로그램은 주 3회, 매 회기 50분씩 총 20회기 적용하였고, 사회적 상호작용 능력은 사회행동척도(Social Behavior Scale; SBS)를 이용하여 평가하였고 문제행동은 문제행동척도(Memory & Behavior Problem Checklist; MBPC)를 이용하여 중재전후에 평가하였다. 기술통계와 월콕슨 부호 순위 검정을 이용하여 결과를 분석하였다, 연구결과: 중재 전후, 대상자들의 SBS와 MBPC 점수를 비교한 결과에서 대조군에서는 통계적으로 의미 있는 면화가 없었지만 중재를 적용한 실험군에서는 유의한 변화가 있었다, 결론: 이 연구결과를 통하여 시설거주 중증치매노인에게 집단 회상치료 프로그램을 적용하였을 때, 사회적 상호작용의 향상과 문제행동 완화에 효과가 있음을 확인할 수 있었다. 이를 바탕으로 시설에 거주하는 치매노인들에게 회상치료를 적용하여 치매노인의 사회 능력 및 행동의 개선을 기대할 수 있을 것이다.",권미화 ( Mi Hwa Kwon ),2012,https://www.riss.kr/link?id=A102023322
개별 작업치료와 통합된 집단회상프로그램이 장기요양시설 노인의 심리적 건강과 인지기능에 미치는 효과,"목적: 본 연구는 개별 작업치료와 통합된 집단회상프로그램이 장기요양시설 노인의 심리적 건강과 인지능력에 미치는 효과를 알아보고자 하였다, 연구방법: 대상자는 장기시설 노인 중 18명을 각 9명씩 무작위로 실험군과 대조군에 배정하였다. 실험군은 8주간 주 1회 30분씩 개인 작업치료를 실시하고, 집단회상프로그램은 주 2회씩 총16회(30~40)를 실시하였다. 사전·사후검사는 심리적 건강상태(우울, 삶의 질)를 알아보기 위해 한국형 노인우울검사(KGDS)와 삶의 질 척도(SF-8)를 사용하였고, 인지기능은 한국판 간이정신상태 판별검사(MMSE-K)와 신경행동학적 인지상태검사(NCSE)의 기억 항목을 사용하였다. 분석방법은 실험군과 대조군 각각의 중재 전, 후의 차이를 알아보기 위해 월콕슨 부호순위검정을 사용하였고, 두 군 간의 중재 후 변화량의 차이를 알아보기 위해 Mann-Whitney 검정을 사용하였다, 연구결과: 중재 전, 후 비교에서 실험군은 심리적 건강상태인 우울과 삶의 질에서 통계적으로 유의한 차이를 보여 향상되었으나, 인지기능은 통계적으로 유의한 차이가 없었다. 대조군은 우울과 삶의 질, 인지기능에 통계학적 차이를 보이지 않았다. 두 군 간의 중재 전, 후 변화량의 차이비교에서는 한국 판간이 정신상태 판별검사(MMSE-K)변화량에서만 실험군이 대조군에 비해 변화량이 통계학적으로 유의한 차이를 보였다, 결론: 개별 작업치료와 통합된 집단회상 프로그램은 장기시설 노인들에게 심리적 안정과 인지기능 변화에 긍정적인 효과가 있었다. 따라서 장기요양시설에서 개별 작업치료와 통합된 집단회상프로그램을 작업치료의 효과적인 방법으로 제안하고자 한다.",이향숙 ( Hyang Sook Lee ),2012,https://www.riss.kr/link?id=A100299060
소아 및 청소년 2형 당뇨병의 임상적 특징,"목 적 : 소아, 청소년기의 당뇨병은 대부분 1형 당뇨병으로 진단되어지나 최근에는 소아, 청소년에서도 2형 당뇨병이 전세계적으로 증가하고 있고 우리나라의 경우도 같은 양상을 보인다고 생각된다. 저자들은 소아, 청소년의 2형 당뇨병의 임상 양상에 대하여 고찰해 보고자 하였다. 방 법 : 1987년부터 2000년까지 서울대학교병원 소아과에서 2형 당뇨병으로 진단 받은 소아, 청소년 환자 33명을 대상으로 하였다. 당뇨병의 진단기준에 합당한 환자 중에서 체질량지수 25 이상의 비만을 보인 경우, 2형 당뇨병의 가족력을 가진 경우, 진찰상 흑색 극세포증을 보인 경우, 그리고 혈청 혹은 소변 C-peptide가 정상 혹은 증가된 경우 등의 2형 당뇨병의 진단을 지지하는 소견들 중 2가지 이상을 보이고 항GAD 항체가 음성일 경우를 임의적으로 2형 당뇨병으로 진단하였다. 또한 인슐린 치료가 필요하지 않거나 인슐린 치료를 받다가 끊을 수 있었던 경우는 위의 지지소견 들이 2가지 미만인 경우에도 2형 당뇨병으로 진단하였다. 대상 환자 33명의 병록지를 후향적으로 검토하여 환자들의 진단 당시의 임상 양상, 인구 통계학적 양상, 검사결과, 치료방법 및 반응 등에 대해 임상적인 고찰을 하였다. 인슐린 치료를 받은 환자 중 2년 이상 인슐린을 사용한 군과 2년 안에 인슐린을 끊을 수 있었던 군의 임상적 양상에 대해 비교하여 보았다. 결 과: 진단시 나이는 평균 $13.4{\pm}1.8$세로 10대 초반이 다수였다. 23명의 환자 중 16명(69.6%)이 진단 시 사춘기에 해당하였다. 평균 체질량지수는 $24.3{\pm}4.2kg/m^2$이었고 $25kg/m^2$ 이상의 비만을 보인 경우가 32명 중 16명(50%)이었다. 2형 당뇨병의 가족력이 있는 경우가 33명 중 24명(72.7%)이었다. 흑색극세포증은 6명(18.2%)에서 관찰되었다. 진단 당시 다음, 다뇨등의 증상을 보인 경우가 14명(42.4%)이었고, 요당이나 고혈당이 우연히 발견되어 진단된 경우가 19명(57.6%)이었다. 치료방법으로는 인슐린 단독치료가 25명(75.8%), 경구 혈당강하제 단독사용이 3명(9.1%)이었고, 두 가지를 같이 사용한 경우가 3명(9.1%), 운동과 식이요법 외에 약물치료를 하지 않은 경우가 2명(6%)이었다. 15명(45.5%)이 인슐린을 사용하지 않았거나 끊을 수 있었다. 진단 당시 다음, 다뇨와 같은 전형적인 당뇨병의 증상은 2년 이상 인슐린을 쓴 군에서 유의하게 많았다(P<0.05). 결 론: 소아, 청소년에서의 2형 당뇨병은 증상의 발현이 뚜렷하지 않으며 사춘기, 비만, 가족력과 관계가 깊었다. 소변과 혈청에서의 C-peptide 농도 측정에서 증가 또는 정상 소견이 보일 경우, 췌세포 자가 항체가 음성인 경우 2형 당뇨병으로 진단할 수 있으나 좀 더 나은 1형 당뇨병과의 감별방법 개발이 필요하다고 생각된다. 다수의 2형 당뇨병 환자에서 초기에 인슐린 투여를 필요로 하였고 혈당 조절이 호전된 후 끊을 수 있었으나 진단 시 증상을 보이는 경우 인슐린을 지속적으로 필요로 하는 경우가 많았다.",이성용,2002,https://www.riss.kr/link?id=A100299065
