
국내 미숙아망막병증의 발생률과 발생 시기에 관한 분석,"목적: 국내 미숙아망막병증의 발생률과 발생 시기에 대해 분석하고자 하였다. 대상과 방법: 2006년부터 2018년까지 신생아 중환자실에 입원한 미숙아를 대상으로 의무기록을 후향적으로 검토하였다. 중증도 차이를 확인하기 위해 경도의 미숙아망막병증과 중증도 이상의 미숙아망막병증으로 분류하여 분석하였다. 미숙아망막병증 환아의 임상적특징, 병기에 따른 임상적 특징, 미숙아망막병증과 출생 시 체중, 재태연령 간의 연관성, 치료받은 환아의 임상적 특징을 분석하였다. 결과: 미숙아망막병증 발생률은 10.9%였고, 평균 월경후연령 34.92주에 진단되었으며, 중증도 이상의 미숙아망막병증 빈도는 44.97% 였다. 출생 시 체중과 재태연령은 정상 환아보다 미숙아망막병증 환아가 유의하게 적었고, 경도의 미숙아망막병증보다 중증도 이상의미숙아망막병증에서 유의하게 적었다. 출생 시 체중별, 재태연령별로 미숙아망막병증 발생률과 중증도는 출생 시 체중 1,000 g 미만, 재태연령 27주 미만에서 높은 경향을 보였다. 레이저광응고술을 치료받은 환아의 빈도는 4.51%였는데, 평균 월경후연령 33.75주에미숙아망막병증으로 진단되었고, 35.06주에 1형 미숙아망막병증으로 진행되었으며, 36.04주에 치료를 시행하였다. 결론: 고위험 미숙아 생존율의 증가로, 특히 출생 시 체중 1,000 g 미만, 재태연령 27주 미만의 미숙아에서 미숙아망막병증의 발생률과 중증도가 증가하였음을 알 수 있다. 또한 미숙아망막병증이 주로 발생하는 시기인 월경후연령 32주부터 36주까지는 모든 미숙아에서 미숙아망막병증의 발생을 주의 깊게 관찰하여야 한다.",김민성(Min Seong Kim),2023,https://www.riss.kr/link?id=A108589681
치료 소프트콘택트렌즈에 의한 가시아메바 각막염 : 그람염색에 의한 진단,"목적: 이전에 콘택트렌즈 사용이 없었던 환자에서 단기간의 치료 소프트콘택트렌즈 삽입 후 발병한 가시아메바 각막염을 그람염색으로 진단하고 치료하였기에 이를 보고하고자 한다. 증례요약: 첫 번째 증례는 세균과 곰팡이의 혼합 감염으로 초기 진단되었으나 각막찰과물의 그람염색으로 가시아메바로 진단되어 치료 받은 후 빠른 호전을 보였다. 두 번째 증례로 초기 진단에 안검의 이물에 의한 지속성 각막상피결손으로 치료받다가, 다시 바이러스성 포도막염으로 진단되었으나, 병변이 악화된 후 시행한 그람염색으로 가시아메바 각막염으로 진단되어 치료받았으나, 지체된 진단과 치료로 시력감소가 심했다. 두 증례 모두에서 polyhexamethylene biguanide와 chlorhexidine 점안 약제로 치료했다. 결론: 치료 소프트콘택트렌즈는 각막상피의 치유를 위해 흔히 사용하는 대표적인 방법이고 경험적 항생제의 점안과 함께 사용되나, 본 증례처럼 일반적인 배양검사로 진단되지 않고 경험적 항생제의 치료 범위에서 벗어나는 가시아메바 각막염의 경우는 초기 진단이 매우 중요하다. 초기 진단에 사용되는 그람염색은 경험적 항생제로 치료되지 않는 가시아메바의 진단 방법으로 매우 유용하다.",이순영(Sun Young Lee),2021,https://www.riss.kr/link?id=A107965605
실내 조명 아래에서 스마트폰 사용 시 앞방각 모양 및 안압의 변화,"목적: 실내 조명에서 스마트폰 사용 시에 안압과 앞방각 모양의 변화를 확인하였다. 대상과 방법: 안과적 이상이 없는 19-35세 사이의 건강한 성인을 대상으로 스마트폰 사용 전에 리바운드 안압계로 안압을 측정하고 전안부빛간섭단층촬영기를 이용해 앞방각 이미지를 촬영하였다. 이후 스마트폰을 사용하며 2, 4, 6분에 리바운드안압계로 안압을 측정하고 6분에는 앞방각 이미지도 함께 촬영하였다. 6분 후 스마트폰 사용을 중단하고 2분간 휴식을 취하였다. 8분에는 안압 측정만을 시행하였다. 결과: 36명의 대상자가 참여하였으며 스마트폰 사용 전의 안압과 비교했을 때 스마트폰 사용 후에 2분째부터 의미 있게 안압이 증가하였고 4, 6분째에도 안압이 지속적으로 증가하였다(p<0.001). 스마트폰의 사용을 종료하고 2분간 휴식 후 8분째에 안압은 스마트폰 사용 전과 유의한 차이가 없었다(p=1.00). 스마트폰 사용 후 앞방 깊이는 감소하였으나(p<0.05) 앞방각 넓이는 넓어졌다(p<0.05). 결론: 실내 조명에서 스마트폰 사용 시 안압이 상승하지만 이는 앞방각의 변화와 상관이 없다. 녹내장 발생의 위험이 있는 환자나 녹내장 진행에 대해 주의가 필요한 환자에서는 이에 대한 주지가 필요할 것으로 생각된다.",이성택(Seong Taik Lee),2021,https://www.riss.kr/link?id=A105324893
한국인의 장기기증 인식 실태와 매스컴의 영향,"목적: 장기기증 캠페인이 국민 기증의식과 각막기증에 미치는 영향을 파악하고자 한다. 대상과 방법: 장기기증 캠페인 전후의 인식변환을 전국의 만 20세 이상 1,036명을 대상으로 전화설문을 하였고, 2005년 각막이식 현황과 2004년도 비교는 25병원에 설문지를 발송해서 회답을 받은 18병원의 자료를 보고하였다. 결과: 응답자 중 94.8%가 장기기증에 대해 인지하고 있고 그 중 86.9%가 대중매체를 통해 인지하였다. 장기기증에 대한 찬성은 80.8%였고 장기기증의사가 있다는 응답은 81.3%였다. <눈을 떠요> 프로그램 시청 후 장기기증의 필요성을 느꼈다는 응답이 94.9%였으며 운전면허 취득 시 장기기증의사를 묻는 법률의 필요성은 66.2%가 있다고 대답했다. 전체 각막이식 건수는 전년도(503안)보다 2005년도(665안)에 32.4% 증가하였고 그 중 국내각막(51.5% 증가)이 수입각막(19.9% 증가)보다 큰 증가율을 나타냈으며, 국내안구 기증자는 50세 이하가 62명(46%)으로 많은 분포를 보였다. 결론: 장기기증 캠페인의 결과로 국민들의 장기기증에 대한 인식이 변화되었으나, 향후 지속적인 장기기증에 대한 홍보와 제도적 장치가 필요한 상태이다.",김은철(Eun Chul Kim),2012,https://www.riss.kr/link?id=A107867928
트리판 블루가 배양된 섬유주세포의 생존에 미치는 영향,"목적: 백내장 수술에 사용하는 트리판 블루가 배양된 섬유주세포의 생존에 미치는 영향을 알아보고자 하였다. 대상과 방법: 일차배양한 인체의 섬유주세포에 0.05%, 0.10%, 0.50%의 트리판 블루에 1분, 5분, 30분간 노출시켰으며, 상용의 0.06% 트리판 블루에도 노출시켰다. 세포의 생존은 MTT assay로 알아보았고, 세포고사의 유발을 알아보기 위하여 Annexin-propidium iodide 이중염색을 이용하여 유세포분석을 시행하였다. 결과: 트리판 블루는 농도와 노출시간에 비례하여 유의하게 세포의 생존을 감소시켰으며, 0.50%의 농도에 30분간 노출시킨 경우 유의하게 세포고사를 유발하였다(p<0.05). 상용의 트리판 블루는 5분 이상 노출시킨 경우 세포의 생존을 저하시켰으며 30분간 노출시킨 경우 세포고사를 유발하였다(p<0.05). 결론: 트리판 블루는 저농도에서도 섬유주세포에 장시간 노출시킬 경우 세포손상을 유발할 수 있으며 그 기전에는 세포고사가 관여한다. 따라서 백내장 수술 시 트리판 블루를 사용할 경우 가능한 한 단시간 사용하고 완전히 제거해야 할 것으로 생각된다.",강혜리(Hye Ri Kang),2017,https://www.riss.kr/link?id=A106259069
정상갑상샘기능 갑상샘눈병증 환자의 임상적 특징,"목적: 정상갑상샘기능 갑상샘눈병증 환자의 임상적인 특징을 갑상샘기능항진 환자와 비교하여 보고자 한다.
대상과 방법: 2015년 9월부터 2021년 1월까지 양산부산대학교병원에서 갑상샘눈병증을 진단받은 환자 중 갑상샘기능이 정상인 16명과 갑상샘항진증을 진단받은 80명, 총 96명을 대상으로 연령, 성별, 흡연 여부, 고혈압과 당뇨 병력, 경과 관찰 기간, 한 눈 침범 여부, 눈꺼풀 및 결막 소견, 눈꺼풀후퇴 및 내림지연 여부, 임상활동도 점수, modified NOSPECS 점수, 안구돌출도, Hess검사, 외안근 단면적, 스테로이드와 방사선 치료 여부, 혈중 유리 티록신, 갑상샘자극호르몬, 항티로글로불린항체, 항갑상샘과산화효소항체, 갑상샘자극호르몬수용체항체, 갑상샘자극 면역글로불린 농도를 조사하였다.
결과: 갑상샘항진군에 비해 정상갑상샘기능군의 한 눈 침범의 비율이 유의하게 높았으며, 결막충혈, 임상활동도 점수, modified NOSPECS의 연조직 점수, Hess검사 안구운동 제한, 하직근 최대 단면적, 정맥내 고용량 스테로이드 치료 여부, 혈중 유리 티록신, 항티로글로불린항체, 항갑상샘과산화효소항체, 갑상샘자극호르몬수용체항체 농도는 정상갑상샘기능군에서 유의하게 낮았다.
결론: 정상갑상샘기능 갑상샘눈병증 환자는 갑상샘기능항진군에 비해 한 눈을 잘 침범하고 임상활동도와 중증도가 낮았으며, 하직근비대와 안구운동 제한 및 고용량 스테로이드 치료 시행 비율이 적었다. 또한 혈중 유리 티록신, 항티로글로불린항체, 항갑상샘과산화효소항체, 갑상샘자극호르몬수용체항체의 농도가 더 낮은 특징이 있다.",김상윤,2022,https://www.riss.kr/link?id=A106259064
라식수술과 스마일수술 후 안압의 변화 및 그에 영향을 미치는 인자들,"목적: 라식수술과 스마일수술 후 안압 측정값의 변화 양상과 그에 영향을 미치는 인자들을 비교해보고자 하였다. 대상과 방법: 라식수술을 받은 117명, 234안과 스마일수술을 받은 122명, 244안을 대상으로 후향적으로 조사하였다. 각 군의 수술 전, 수술 후 1개월, 3개월, 6개월에 비접촉안압계로 측정한 안압과 이중샤임플러그 전안부분석기로 측정한 중심각막두께, 평균각막곡률, 편평각막곡률, 가파른각막곡률 등의 변화의 차이를 비교하였고, 단순선형회귀분석을 통해 수술 전후 안압 변화와 관련된 인자들의 관련성을 분석하였다. 결과: 술 후 6개월째 안압감소는 라식군에서 5.41 ± 2.28 mmHg, 스마일군에서 4.77 ± 2.38 mmHg로 스마일군에서 유의하게 적었고 (p=0.004), 안압이 라식군에서 수술 후 1개월부터 6개월간 유의미한 변화가 없었던 반면 스마일군에서 안압은 술 후 3개월째 12.07 ± 1.77 mmHg에서 6개월째 12.77 ± 1.89 mmHg로 유의미하게 상승하였다(p=0.002). 두 군 모두에서 안압감소량은 수술 전 구면렌즈 대응치, 수술 전 안압, 평균각막곡률 변화, 편평각막곡률 변화, 가파른각막곡률 변화, 중심각막두께 변화와 유의미한 연관성을 보였고, 두 군 모두에서 수술 전 안압이 술 후 안압감소량과 가장 높은 상관관계를 보였다(라식군 R2=0.414, 스마일군 R2=0.292). 결론: 라식수술과 스마일수술 후 안압은 술 전에 비하여 유의미하게 감소하였는데 그 정도는 라식군에서 더 높았으며, 두 수술 모두에서 술 전 안압이 술 후 안압감소에 가장 중요한 예측 인자였다.",김부기(Bu Ki Kim),2021,https://www.riss.kr/link?id=A108661079
철 결핍성 빈혈 환자에서 특발망막전막 제거 도중 발생한 대량 망막출혈,"목적: 철 결핍성 빈혈이 있는 특발망막전막 환자에서 망막전막 제거시 광범위한 망막출혈을 경험하였기에 이를 보고하고자 한다. 증례요약: 59세 여자 환자가 수개월 전부터 발생한 우안의 시력저하와 변형시를 주소로 내원하였다. 20년 전 위암으로 위아전절제술을 받아 만성 철 결핍성 빈혈이 있던 환자로 안과적 검사상 우안의 황반부 망막전막 진단하 유리체절제술을 시행하였다. 눈 속 집게를 이용하여 망막전막 제거 도중 상이측 분지망막동맥으로 추정되는 부위에서 광범위한 출혈이 발생하였고 지혈 후 별다른 합병증 없이 수술을 마무리하였다. 수술 후 2개월째 시력저하를 주소로 재내원하여 시행한 안저검사상 수술 시 발생한 출혈 부위를 기준으로 광범위한 황반부 견인막이 재발하였고, 이로 인한 시력저하로 2차 견인성 망막전막 제거 및 내경계막제거술을 시행하였다. 수술 후 현재 환자는 별다른 합병증 없이 경과 관찰 중이다. 결론: 만성 철 결핍성 빈혈 환자의 경우 정상인에 비해 망막혈관내피세포 손상 정도가 심하기 때문에 출혈 위험성이 높을 수 있다. 따라서 철 결핍성 빈혈을 앓고 있는 특발망막전막 환자의 경우 망막전막을 제거할 때 세심한 주의가 필요하다.",왕리령(Li Lyung Wang),2021,https://www.riss.kr/link?id=A107247163
크론병 환자에서 Infliximab 사용과 관련된 시신경염: 증례 보고 및 문헌 고찰,"목적: 크론병으로 infliximab 치료를 받는 환자에서 발생한 시신경염 1예를 문헌고찰과 함께 보고하고자 한다. 증례요약: 22세 남자 환자가 2-3주 전부터 좌안의 시야가 흐려지는 증상으로 내원하였다. 좌안의 최대교정시력이 0.4로 저하되어 있었고, 상대구심동공운동장애가 관찰되었으나, 안구운동 시의 통증과 동공부등은 없었다. 좌안의 색각이 저하되어 있었고, 시야검사상 좌안의 중심하측시야결손이 보였으나, 안저검사상 시신경유두 및 황반의 특이 소견은 없었다. 시신경병증의 원인 감별을 위해 시행한 안와 자기공명영상에서 좌측 시신경이 조영증강되었고, 그 외 다른 문제는 관찰되지 않았다. 환자는 크론병으로 종양괴사인자(tumor necrosis factor, TNF)-α 억제제 중 하나인 infliximab 600 mg을 2개월마다 주사치료 중이었고, 이와 연관된 구후시신경염으로 의심하에 고용량 스테로이드 정맥주사 및 경구복용을 하였고, 이 후 3개월째 시력 및 시야가 호전되었다. 결론: TNF-α 억제제의 사용이 시신경염을 유발할 수 있으므로, 시신경염 발생 시 환자의 약제 사용 여부에 대한 면밀한 병력 청취를 통해, 원인 감별 및 치료 방향 설정을 해야 할 것이다.",박수환(Su Hwan Park),2021,https://www.riss.kr/link?id=A108641128
중뇌주변부 뇌조의 지주막하출혈로 인한 시각로 손상,"목적: 시각로의 병변은 영상에서 미세한 변화만을 일으켜 놓치는 경우가 종종 보고되므로 세심한 관찰이 요구된다. 저자들은 중뇌주변부 뇌조의 지주막하출혈에 동반된 시각로 손상 1예를 경험하고 이를 보고하고자 한다. 증례요약: 26세 여자 환자가 1개월 전부터 인지한 우측 시야가 불편하다는 증상을 주소로 내원하였다. 과거력상 40일 전 교통사고로 인한 양측 전두엽의 외상성 경막하출혈로 입원 치료를 받았으며 퇴원 후 우측 시야장애를 인지하고 안과로 내원하였다. 시력은 양안1.0이며 우안에 구심동공운동장애가 있었다. 시야검사상 우측의 동명성 반맹이 있었고, 빛간섭단층촬영상 양안에서 좌측 황반부 신경절세포-내망상층의 두께가 얇아진 소견이 관찰되어 좌측 시각로의 병변을 의심하였다. 자기공명영상의 T2 강조영상에서 전두엽의 경막하출혈 외에는 시각 경로에 이상 소견이 발견되지 않았으나, 자화강조영상에서 왼쪽 중뇌주변부 뇌조에 미세한 지주막하출혈이 관찰되었으며 이로 인한 시각로의 손상으로 진단할 수 있었다. 결론: 저자들은 좌측 시각로 손상이 의심되는 26세 여자 환자에서 자기공명영상의 자화강조영상에서 중뇌주변부 뇌조의 지주막하출혈을 확인하고 이를 보고하는 바이다.",이승재(Seung Jae Lee),2021,https://www.riss.kr/link?id=A103066051
