
응급환자의 현황과 응급의료의 실태,"응급의료기관의 인력, 시설, 장비 등의 보강과 진료형태의 개선 및 전반적인 응급의료 체계 운영에 관한 사항의 결정에 도움이 되고자 전국의 87개 응급의료센터를 중심으로 2주간 환자조사를 하여 응급의료의 실태와 응급환자의 질병 형태를 조사하였다.
1. 조사대상병원의 현황
2. 응급진료의 일반적 특징
3. 응급의료센터 내 체류시간의 양상
4. 응급의료센터 내원환자의 질병, 손상의 유형",정구영,1997,https://www.riss.kr/link?id=A3080326
그룹 감각통합치료가 감각처리와 소운동 및 사회성에 미치는 영향,"목적: 본 연구는 감각통합에 장애가 있는 아동을 대상으로 감각처리와 소운동, 사회성 능력에 그룹 감각통합치료가 미치는 영향을 알아보았다.
연구방법: 연구대상은 만 4-7세의 감각통합에 장애가 있는 아동 3명이었다. 그룹 감각통합치료를 주 1회(40분씩), 총 21회가 실시하였다. 감각처리능력, 사회성, 소운동을 측정하기 위해 감각프로파일,사회성숙도검사, 한국판시지각발달검사, Bruininks-Oseretsky Test of Moteo Proficiency(BOTMP)를 사용하였다. 그룹 감각통합치료의 적용 전과 후의 결과는 윌콕슨 순위검정을 사용하여 분석하였다.
결과: 그룹 감각통합치료 전과 후의 감각프로파일, 사회성숙도검사, 한국판시지각발달검사, BOTMP의 평균점수에서 통계학적으로 유의한 차이가 없었다.
결론: 감각통합장애가 있는 아동을 대상으로 그룹 감각통합치료를 적용한 후 감각처리, 사회성, 그리고 소운동 능력을 알아보았다. 그 결과는 통계학적으로 유의하지 않앗다. 그러나 그룹 감각통합치료 전에 비해 후의 사회성과 소운동에서 평균점수가 향상되어 긍정적인 영향을 미치는 것으로 보여진다. 더 나은 연구를 위해 대상아동의 수, 치료의 회기를 늘리고 외적인 변인에 대한 통제가 필요하다.",홍은경,2009,https://www.riss.kr/link?id=A2057587
그룹 감각통합치료가 학령전기 발달지연 아동의 감각운동 및 행동 변화에 미치는 효과,"목적: 본 연구는 그룹 감각통합치료가 학령전기 발달지연 아동의 감각운동 및 행동 변화에 미치는 효과에 대하여 알아보았다.
연구방법: 연구대상은 만 3~5세의 발달지연 아동 5명이었고 실험기간은 2009년 6월에서 11월까지이었다. 그룹 감각통합치료는 주 1회(매 70분) 총 20회기를 실시하였다. 그룹 감각통합치료의 효과를 알아보기 위해 단일집단 사전-사후 설계(one group pretest-posttest design)를 사용하였다. 그룹 감각통합치료 사전/사후의 임상관찰, Behavior during testing의 차이는 윌콕슨 순위검정(Wilcoxon matched-pairs signed ranks test) 을 사용하여 분석하였다.
결과: 그룹 감각통합치료 전과후의 임상관찰(Z = -2.023, p = .043) 점수는 소폭 상승하였으나 통계적으로 유의하지 않았다. 행동 변화를 보기 위한 하위 카테고리인 사회성(Z = -2.121, p = .034), 주의집중(Z = -2.032, p = .042)과 Behavior during testing 총점(Z = -2.032, p = .042)에서 통계적으로 유의한 차이를 보였다.
결론: 본 연구는 그룹 감각통합치료가 감각운동 발달에 긍정적인 영향을 미치나 확실한 근거를 제시하기에는 미흡하며 사회성 및 주의집중과같은 행동 변화에는 효과가 있음을 제시하였다. 이는 개별적인 감각통합치료에 대한 연구는 많으나 그룹 감각통합치료의 효과에 대한 연구는 거의 없는 실정이므로 그룹치료에 대한 근거를 제시하였다는 것에 의의가 있다. 그러나 연구대상자의 수가 적. 고 다양한 내적·환경적 요소에 의해 영향을 받을 수 있으므로 연구결과를 일반화하기에는 어려움이 있다. 따라서 향후 연구에서는 대상 아동의 수를 고려하고 외적변인을 제한하며 보다 객관적인 자료 수집 방법을 사용해야 할 것으로 사료된다.",김진미,2009,https://www.riss.kr/link?id=A82712639
이동 보조기기를 이용하는 신체장애인의 삶의 만족도에 미치는 영향 : 심리적 요인과 환경적 요인을 중심으로,"목적 : 본 연구는 신체장애인을 대상으로 이동 보조기기 사용에 대한 심리적 요인과 환경적 요인이 삶의 만족도에 어떠한 영향을 주는지 분석하고자 한다.
연구방법 : 본 연구는 한국장애인개발원의 장애인삶 패널조사 데이터(2019)를 활용하여 이동 보조기기 이용하는 신체장애 인의 심리적 요인인 장애수용, 우울, 자아존중감과 환경적 요인인 활동제한, 주거환경, 일상생활의 의존성이 삶의 만족도 에 미치는 영향요인을 파악하기 위한 이차자료분석 연구이다. 신체장애인에 대한 일반적 특성은 기술통계와 교차분석을 하였고, 신체장애인의 이동 보조기기 이용 여부에 따른 집단 간의 비교를 위해서 독립표본 t-검정하였다. 신체장애인의 삶의 만족도와 장애수용, 우울, 자아존중감, 활동제한, 주거환경, 일상생활의 의존성 간의 상관관계를 분석하기 위해서 피 어슨 상관분석을 실시하였다. 이동 보조기기를 이용하는 신체장애인의 삶의 만족도에 영향을 주는 요인을 분석하기 위해 서 다중회귀분석을 실시하였다. 또한 현재 사용하고 있는 이동 보조기기의 만족도에 대한 백분율은 그래프로 제시하였다.
결과 :이동 보조기기 사용 여부에 따른 두 집단의 비교에서 심리적 요인, 환경적 요인, 삶의 만족도에서 유의한 차이를 확인하였다. 신체장애인의 삶의 만족도는 장애수용, 자아존중감, 주거환경과 양의 상관관계를 보였으며(p<.01), 우울, 활 동제한, 일상생활의 의존성과 음의 상관관계를 보였다(p<.01). 이동 보조기기를 이용하는 신체장애인의 삶의 만족도에 영 향을 주는 요인은 나이(ß=-.122, p<.001), 장애수용(ß=.263, p<.001), 우울(ß=-.288, p<.001), 활동제한(ß=-.181, p<.001), 주거환경(ß=.102, p<.01)으로 분석되었다.
결론 : 이동 보조기기를 이용하는 신체장애인의 삶의 만족도를 높이기 위해서는 기능에 맞는 이동 보조기기를 선택하고 이에 적응하기 위한 재활프로그램이 활용되어야 할 것이며, 정책적인 지원이 필요할 것이다.",황호성,2022,https://www.riss.kr/link?id=A76527250
안구운동프로그램이 경직형 뇌성마비 아동의 자세조절과 시지각 능력에 미치는 효과,"목적 : 자세조절과 시지각 능력은 일상생활 및 학습을 하는 데 있어 기초가 되고 이러 한 요소는 뇌성마비 아동을 치 료하는데 주된 목표가 된다. 따라서 본 연구를 통해 경직형 뇌성마비 아동에서 안구운동프로그램이 자세조절과 시 지각 능력에 미치는 영향을 알아보고자 한다. 연구방법 : 2010년 5월 1일부터 2010년 8월 31일까지 부산에 위치한 P복지관에 내원하는 만4세~8세 경직형 뇌 성마비 아동을 대상으로 하였다. 10명의 경직형 뇌성마비 아동을 무작위로 실험군과 대조군으로 각각 5명씩 배정 하였다. 실험군에게는 안구운동프로그램과 함께 일반적 작업치료를 제공하고 대조군에게는 일반적 작업치료를 시 행하였다. 안구운동 프로그램은 단속성안구운동, 이접안구운동, 추적안구운동, 전정안구운동 4가지로 구성되어 있 다. 활동 중재는 1회 40분씩 주 3회로 8주 동안 제공되었다. 중재 전？후에 대한 평가는 대동작기능평가(GMFM), 소아균형척도(PBS), 소아뻗기검사(PRT)와 한국판시지각발달검사(K-DTVP)를 사용하였다. 결과 : 안구운동프로그램을 수행한 실험군에서는 GMFM, PBS, PRT와 시각통합을 제외한 K-DTVP 모든 하위평 가항목에서 중재 전과 후의 점수가 통계적으로 유의한 차이가 있는 것으로 나타났으나(p<.05), 대조군에서는 PRT와 K-DTVP의 눈손협응과 공간위치를 제외하고는 통계적으로 유의한 차이를 보이지 않았다. 또한 두 집단 의 평가 점수의 변화량을 비교하였을 때 모든 평가항목에서 실험군이 대조군에 비해 유의한 차이를 보여 자세조절 과 시지각 기능 향상이 대조군보다 더 좋음을 나타냈다(p<.05). 결론 : 본 연구는 경직형 뇌성마비 아동에서 안구운동프로그램 중재가 자세조절 및 시지각능력 향상에 효과적임을 시사한다.",임애진,2011,https://www.riss.kr/link?id=A108314965
자폐범주성장애 아동의 모방능력 향상을 위한 근거기반 중재에 대한 체계적 고찰,"목적 : 본 연구는 자폐범주성장애(Autism Spectrum Disorder; ASD)아동의 모방기술 획득을 위한 중재방 법을 소개하고, 이차적 효과 분석을 통해 모방을 위한 중재를 제공하는 전문 인력으로서 작업치료사의 중요성과 작업치료 분야에서 연구의 필요성을 알리기 위하여 시행되었다. 연구방법 : 해외 전자 데이터베이스인 ProQuest, PubMed, MEDLINE과 Scopus 그리고 국내의 RISS, KISS, 국립중앙도서관을 사용하여 2006년부터 2016년까지의 논문을 검색하였다. 주요 검색용어는 “ASD AND Gesture imitation AND (Intervention OR Training)”를 사용하였다. 3차 분류를 통하여 최종적으로 13개의 연구를 분석대상으로 선정하였다. 결과 : 연구 결과 발달장애 특성상 단일대상설계를 이용한 연구가 많았고, 중재의 종류로는 상호모방훈련이 가장 많이 적용되었다. 광범위한 연령대에 중재가 적용되고 있었고, 이를 통한 모방기술의 향상이 아동 의 언어, 사회성기술, 문제행동, 놀이기술, 운동기술, 일상생활수행기술 등에 영향을 미치는 것으로 나타 났다. 결론 : 본 고찰을 통하여 ASD아동의 모방기술은 새로운 것을 학습할 때 선행요소이자 다른 발달영역에도 영향을 미친다는 것을 확인할 수 있었다. 추후에는 본 연구결과를 바탕으로 발달재활 전문가로서 작업치 료사가 직접 ASD아동에게 모방기술을 위한 중재전략을 적용하고 효과성을 입증하는 연구가 활발히 이 루어져야 할 것이다.",김미지,2017,https://www.riss.kr/link?id=A82650711
뇌손상 후 운동신경기능 회복 기전,"목적: 본 연구는 뇌손상환자에서 기능적 뇌 자기공명영상(functional magnetic resonance imaging, fMRI)을 이용한 대뇌운동피질 뇌지도화를 시행하여, 운동신경기능 회복 기전에 대한 기능적 뇌 자기공명영상의 유용성에 대하여 연구하였다.
방법: 신경학적 증상과 병력이 없는 성인 8명과 뇌손상환자 5인을 대상으로 하였다. 뇌손상환자 중 2명은 뇌종양환자이었으며 1명은 뇌출혈, 1명은 뇌경색, 1명은 뇌낭미충증환자이었다. 기능적 자기공명영상은 1.5T MR scanner로 Blood Oxygen Level-Dependent(BOLD) 기법을 적용하였다. 운동과제는 손가락을 1-2Hz의 주기로 쥐었다 펴기를 반복하도록 하였다.
결과: fMRI를 촬영한 결과 정상인 8인, 즉 총 16개의 손중 15개의 손과 환자 5인의 이환되지 않은 손운동시 반대측 일차 운동피질 꼭지(knob)를 중심으로 일차 감각운동피질(SM1)이 활성화되었다. 정상인 중 1인의 한 손에서 반대측 SM1과 동측 일차 운동피질(primary motor cortex, M1) 및 보조운동영역이 동시에 활성화되었다. 뇌손상환자의 이환측 손운동시 환자 1에서는 일차감각피질(primary sensory cortex, S1), 환자 2와 환자 3에서는 양측 SM1, 환자 4와 환자 5에서는 반대측 SM1이 활성화되었다. 환자 1에서는 손상된 M1의 운동신경기능이 S1으로 이전된 것으로 추정되며, 환자 4와 5에서는 손의 운동신경기능이 피질척수로에 의하여 유지되고 있는 것으로 추정되었다. 그러나 환자 2와 환자 3에서 발견된 동측 운동피질 활성화는 본래 정상적으로 존재하던 운동신경 경로인지 뇌손상 후에 발생한 운동신경기능 회복 경로인지 구분할 수는 없었다.
결론: fMRI을 통한 대뇌 운동피질 지도화는 뇌손상 후 병변 주위로의 재조직되는 회복 기전과 피질척수로에 의해 운동신경기능이 유지되고 있음을 입증하는데에 유용할 것으로 생각된다.",장성호,2001,https://www.riss.kr/link?id=A103021735
노인의 낙상 위험 요인과 예방을 위한 작업치료,"현재 우리나라는 고령화 사회에 속하며 향후 고령 사회 진입과 가족 단위의 변화로 인해 노인의 건강하고 독립적인 생활의 중요성이 더욱 증가하고 있다. 낙상은 노인의 조기사망, 신체적 손상, 움직임 감소(immobilization), 정신적 위축, 활동 참여 제한, 장기간의 장애 등을 유발하는 심각한 문제이다. 따라서 낙상의 예방은 노인 개인의 건강 유지와 독립적 활동을 통한 삶의 질 증진뿐 아니라 노인 낙상과 관련된 사회적 부양 및 비용을 감소시키는데 주요한 역할을 한다.
이에 본 연구의 목적은 이러한 낙상과 관련된 위험 요인과 이를 최소화하기위한 작업치료 방법을 검토하고자 한다. 낙상 위험 요인은 내적 요인과 외적 요인으로 구분된다. 연령 증가, 낙상 경험, 균형 손상, 근력 약화, 느린 보행 속도 등이 내적 요인에 포함된다. 이밖에도 연령과 관련된 생리적 변화와 다양한 신체 체계의 만성 질환이 낙상과 연관된다.
작업치료사는 낙상에 대한 외적 요인에 대한 접근으로서 건축적 장애를 해결하는 주거 환경 조절(modification)을 실시한다. 또한 노인은 근력 강화 운동, 유연성 훈련, 유산소 운동, 걷기 운동 등의 다양한 형태의 운동을 통해 근력과 균형 및 보행 속도를 증가시키는 낙상 방지 효과를 얻을 수 있다. 이밖에도 다양한 보조 기구 및 보호 장비를 활용하며 정서 및 인지 행동적 접근을 통해 낙상을 예방한다.
이처럼 낙상은 다양한 내적 및 외적 위험 요인에 영향을 받아 발생하므로 노인 낙상에 대한 예방은 포괄적인 접근이 필요하다. 또한 노인들의 건강과 독립적인 생활 유지 그리고 노인의 삶의 질 향상을 위해 각 노인의 개별적 낙상 위험 요인을 평가하고 이에 맞는 실질적 예방 관리를 실시하여야 한다.",김수경,2005,https://www.riss.kr/link?id=A40025653
연하장애를 가진 뇌성마비아동의 구강감각치료의 효과,"목적 : 연하장애를 가진 뇌성마비 아동의 구강기능에 대한 구강감각치료의 효과를 알아보고자하였다. 연구방법 : 연구 대상은 OO대학병원 재활의학과에 입원한 뇌성마비 아동 중에서 구강기능척도의 총점이 40점 이하인 18명의 아동이었다. 한 집단의 사전-사후 실험설계로 구강감각치료 전, 후의 구강기능척도의 변화를 비 교하였다. 구강감각치료 방법은 손가락으로 눌러주기, 얼음막대로 자극하기, 전동칫솔로 자극하기이며, 자극 횟수는 치료 매뉴얼에 따라 각 부위 별로 10회씩 시행하였다. 구강감각치료는 1회 당 30분씩, 주 2회씩 하여 8 주 동안 총 16회 실시하였다. 결과 : 구강감각치료는 뇌성마비 아동의 전반적인 구강기능을 향상시켰다. 특히, 구강준비단계에서 필요한 턱 과 입술과 혀의 움직임을 향상시켰고, 구강감각치료 후에 미국언어청각협회 연하척도의 유의한 변화가 있었다. 결론 : 본 연구를 통해 임상에서 뇌성마비아동에게 구강감각치료를 적용에 도움을 줄 수 있을 것이다. 후속 연 구에서는 뇌성마비의 마비 유형과 장애 유형을 고려해서 각 유형 간의 구강기능의 차이를 알아보는 연구가 필 요할 것이다.",송우진,2013,https://www.riss.kr/link?id=A75174228
발달장애 아동 작업치료에 있어서 지시따르기 훈련을 통한 작업참여도 향상 효과,"목적 : 본 연구는 발달장애 아동을 위한 작업치료에서 정적 강화를 통한 3단계 지시 따르기 훈련법이 작업참여도 증진에 미치는 영향을 알아보고자 한다. 또한 , 3단계 지시따르기 훈련 후 실시한 작업치료에서 정적 강화물의 사용 유무에 따 른 작업참여도의 변화를 비교하고자 한다. 연구방법 : 연구 대상자는 발달장애 아동 2명이었으며, 개별실험 연구방법 중 중 다기초선(multiple baseline across tasks)설계를 사용하였다. 연구의 진행은 1 단계 기초선에서 대상 아동들에게 기존의 작업치료 방법(작업치료Ⅰ)을 시행하 여 작업참여도를 측정하였다. 2단계에서는 정적 강화를 통한 3단계 지시따르기 훈련법을 사용하여 지시따르기 훈련을 실시하였다. 지시따르기 훈련 후 작업치 료(작업치료Ⅱ)를 시행하여 작업참여도를 측정하였다. 3단계에서는 작업치료를 실시할 때 아동에게 강화물을 제공하면서(작업치료Ⅲ) 작업참여도를 측정하였 다. 결과 : 대상자 1은 작업치료Ⅰ에 비해 지시따르기 훈련 후 실시한 작업치료Ⅱ에 서 작업참여도가 증가하였고, 강화물을 적용한 작업치료Ⅲ에서는 작업치료Ⅱ에 비해 작업참여도가 다소 감소하였다. 대상자 2는 작업치료Ⅰ에서와 지시따르기 훈련 후 실시한 작업치료Ⅱ에서 작업 참여도의 변화는 거의 나타나지 않았으나, 강화물을 적용한 작업치료 Ⅲ에서는 작업참여도가 증가하였다. 결론 : 작업치료 중재에 있어 치료 전에 지시따르기 훈련을 적용하거나 치료시 직접적인 강화물을 적용하는 것은 작업참여도를 향상 시키는데 긍정적인 영향 을 주었다.",조선영,2013,https://www.riss.kr/link?id=A99909098
