
기능적 음성장애 환자에서의 음성치료의 효과,"Background and Objectives : Patients with so-called 'functional voice disorders' who have structurally normal larynges and demonstrate muscle misuse in the larynx, and those with several interacting causes including habitual muscle tension, are probably better defined as having a 'muscle misuse voice disorder'. The purpose of this study was to analyze the voice and effectiveness of voice therapy in patients with functional voice disorders and to provide a guide for the treatment of functional voice disorder. Materials and Method : The records of 35 patients, presenting with functional voice disorder and receiving voice therapy during October, 2001 to September, 2002, were reviewed. Prior to voice therapy, the stroboscopic examination of their larynx, aerodynamic and acoustic analysis was done. The results of voice therapy were compared according to the patient's subjective, perceptual evaluation of voice, and maximal phonation time. Results : Patient's subjective, perceptual evaluation, and maximal phonation time showed superior results after voice therapy. Conclusion : The result of this study indicates that voice therapy is an effective treatment method of patients with functional voice disorder, especially muscular tension dysphonia.",정성민,2002,https://www.riss.kr/link?id=A100683949
미세먼지가 알레르기비염에 미치는 영향과 기전,"Health impacts of particulate matter (PM) have become a global concern. PM tends to affectpatients with allergic diseases, such as allergic rhinitis (AR), more severely. Many epidemio-logical studies have shown that PM increases outpatient clinic visits as well as the prevalenceand severity of AR, while decreasing the quality of life of AR patients. However, the exactmechanisms underlying the effects of PM on the development and exacerbation of AR are stillpoorly understood. Various mechanisms are involved in the effects of PM on AR, includingimmunological response, oxidative stress, epithelial barrier dysfunction, allergic sensitization,and epigenetic modification. This article reviews epidemiological and clinical studies on theeffects of PM on AR, and the mechanisms by which PM aggravates AR.",정한진,2023,https://www.riss.kr/link?id=A100683690
자기 조절 개념을 적용한 음성치료 기법이 발성장애 환자에게 미치는 효과,"Background and Objectives：The goal of this study is to present a strategy for improving the self-regulation (SR) ability and facilitating the change of vocal behavior by applying voice therapy using the SR concept to the patients with vocal cord nodule and muscle tension dysphonia. Materials and Method：The subjects were 80 patients and 80 patients who were diagnosed with muscle tension dysphonia and vocal nodules. As a control group, the results were compared among patients with the same dysphonia without using SR strategies. The concept of SR before voice therapy was explained to the patients, and the treatment was divided into three stages according to the goal of voice therapy. The treatment stages consist of 1) skill acquisition, 2) habit formation, and 3) habit changes. voice therapy was performed by applying SR strategies such as goal implementation intentions and a less routine behavior. Patient’s dropout rates were measured to compare the adherence of voice therapy. Results： Significant improvement was seen in all groups receiving voice therapy. However, in the group using the SR strategy, the voice analysis results showed a relatively low dropout rate of voice therapy. In the generalization confirmation stage, patients who applied SR concept showed better results. SR strategy did no longer be necessary to maintain newly adopted vocal behavior.
Conclusion：The results of this study show that SR is one of the cognitive factors that can have a significant impact on the outcome of voice therapy, and also has a positive impact on the acquisition and generalization of new skills. A better understanding of SR and the development of therapeutic strategies using it will play an important role in solving voice problems in clinical settings.",이창윤,2019,https://www.riss.kr/link?id=A101610712
갑상선암에서 표적치료항암제의 피부 관련 부작용,"Skin-related toxicity is one of the most important adverse events from multi-target tyrosine kinase inhibitor (MTKI) to treat radioiodine refractory thyroid cancer. As hand foot skin reaction can limit quality of life and therapeutic effectiveness, it is essential to cope with a variety of severity of skin-related toxicity induced by MTKI. Herein, we will discuss two representative cases of skin-related toxicities which were managed by discontinuation/ reduction of therapeutic doses of MTKI and were treated by proper medication in thyroid cancer patients with distant metastasis.",임동준,2018,https://www.riss.kr/link?id=A108486601
갑상선암 수술 환자의 교육 요구도의 변화: 2012년과 2020년 비교,"Background and Objectives: Given the major changes in spread of COVID-19 and the contribution of technologicalinnovation, the objective of the current study was to compare the educational needs of thyroid cancer patientsbetween 2012 and 2020. Materials and Methods: The subject of this study were 159 patients in 2012 and 149patients in 2020 who underwent thyroid cancer surgery. Data were collected from September 2020 to December2020. Their responses were compared with response for the 2012 survey. The survey contained 36 questionsregarding demographics and 5 areas of educational needs (Treatment plan after discharge, Management of thesymptom and the complication after surgery, Medication management, Postoperative wound and dietarymanagement, Daily life). Results: The most preferred teaching method for thyroid cancer surgery patients haschanged from small group education to self-study with videos. The Internet accounted for the largest proportionof source of information and the preferred educator for the patient were doctors and nurses in both 2012 and2020. ‘Current disease condition and surgical result’ was the highest ranked in both 2012 and 2020. Conclusion:It is necessary to develop and utilize an educational method using video centered on medical team includingdoctors and nurses.",이민진,2022,https://www.riss.kr/link?id=A106258283
빅데이터를 이용한 소아 중이염과 천식의 연관성 분석,"Background and Objectives Pediatric otitis media is closely related to upper respiratory illness and is one of the most common causes of hospital visiting and antibiotic prescription. Although there are many studies of asthma with other upper respiratory tract infections, few studies have investigated the relationship between asthma and otitis media. This study estimated whether pediatric otitis media is associated with the risk of asthma using the Korean National Health Insurance Service National Sample Cohort (NHIS-NSC 2002-2013) data.
Subjects and Method In using the NHIS-NSC 2002-2013 data, children diagnosed as otitis media or bronchial asthma in 2002 were excluded from children from 1 to 8 years old in 2003. The patients who were diagnosed and treated as otitis media (n=8506) and the comparison group (n=65886) were enrolled in 2003. During a 10-year follow-up period until December 2013, the incidence of asthma between two groups was analyzed and the result was adjusted for the impact of comorbidities such as atopic dermatitis, allergic rhinitis with multivariate linear regression analyses.
Results In 2003, 20.88% of first-year-old children were treated with otitis media. The prevalence of otitis media was maintained at 15% until age 4 and decreased rapidly after 5 years of age. Asthma incidence was reported higher in patients with otitis media compared to the comparison group, with an adjusted odds ratio of 1.196 [95% confidence interval (CI) 1.127-1.269] followed by patients with atopic dermatitis [hazard ratio (HR) 1.261, 95% CI 1.196-1.33], allergic rhinitis (HR 1.473, 95% CI 1.409-1.54).
Conclusion Pediatric otitis media appeared to be associated with an increased risk of developing bronchial asthma after adjusting for other risk factors.
Korean J Otorhinolaryngol-Head Neck Surg 2017;60(10):497-503",홍창의,2017,https://www.riss.kr/link?id=A105936789
코로나바이러스감염증-19 환자의 구강증상과 병리학적 기전,"Coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS- CoV-2) infection, is rapidly spreading worldwide. Oral manifestations of COVID-19, including sore throat, loss of taste, dry mouth, and ulceration have been widely reported. SARS-CoV-2 enters host cells using angiotensin- converting enzyme 2 (ACE2) and transmembrane protease serine 2 (TMPRSS2). Therefore, high levels of expression of ACE2 and TMPRSS2 may enhance SARS-CoV-2 invasion. ACE2 and TMPRSS2 were expressed in the taste bud and intermediate layer of the squamous epithelia of tongue papillae. Additionally, ACE2 and TMPRSS2 were co-expressed in the ductal epithelium and acinar cells of salivary glands and in the neuronal cell body of trigeminal ganglia. SARS-CoV-2 directly invades the oral taste buds, causing loss of taste. Additionally, the possibility of neuroinvasion innervation of taste bud cells cannot be excluded. SARS-CoV-2 spreads around the suprabasal areas of the oral squamous epithelia, and invades the trigeminal nerve, resulting in oral manifestations. SARS-CoV-2 can directly invade the parotid and submandibular glands, as well as minor salivary glands, through the duct orifice. This may lead to sialadenitis and salivary contamination.",박기철,2021,https://www.riss.kr/link?id=A106930929
인공장기를 이용한 구강·인두·식도의 재건: 연구의 경험과 한계,"The current treatments for esophageal diseases, such as carcinomas, trauma or congenitalmalformations, require surgical intervention, and esophageal reconstruction using redundantparts of the gastrointestinal tract. However, the use of gastrointestinal segments can cause varioussurgical morbidities and mortality because additional abdominal surgery may be requiredat the expense of other anatomic structures. Therefore, tissue engineering using various biomaterialor cell sources has emerged as an alternative strategy of biomimicking the nativeesophageal tissue that could be implanted as an artificial graft. Although tissue engineeringtechniques have promise as an effective regenerative strategy, no functional solution currentlyexists for esophageal reconstruction. Here, we present a review of the progress made in the fieldof regenerative medicine for esophageal reconstruction based on the personal experience.",정은재,2019,https://www.riss.kr/link?id=A108147198
갑상선안병증의 치료,"Graves’ ophthalmopathy (GO) is an autoimmune disease associated with orbital inflammation and fibrosis which can result in lid retraction, soft tissue swelling, and proptosis. Treatment should rely on a thorough assessment of the activity and severity of GO. Control of risk factors for GO progression and topical treatments for dry eye are recommended for all patients. In mild GO, a careful observation is usually sufficient. In moderate-to-severe and active GO, high-dose intravenous glucocorticoids can be considered an initial treatment. The most common schedule for intravenous glucocorticoids is a cumulative dose of 4.5 g of methylprednisolone, divided into 12 weekly infusions (6 weekly infusions of 0.5 g, followed by 6 weekly infusions of 0.25 g). Orbital radiation has been shown to be an effective secondary treatment in patients with active GO unresponsive to intravenous glucocorticoids. Rehabilitative surgery is needed in patients with GO when the disease is associated with a significant impact on quality of life or visual function after the disease has been inactive for at least 6 months.",이정규,2019,https://www.riss.kr/link?id=A104307522
발성장애 환자에서 주관적 음성검사와 객관적 음성검사의 연관성 연구,"Background and Objectives Voice evaluation is classified into subjective tests such as auditory perception and self-measurement, and objective tests such as acoustic and aerodynamic analysis. When evaluating dysphonia, subjective and objective test results do not always match.
The purpose of this study was to analyze the relationship between subjective and objective evaluation in patients with dysphonia and to identify meaningful parameters by disease.
Materials and Method The total of 322 patients who visited voice clinic from May 2017 to May 2018 were included in this study. Laryngeal lesions were identified using stroboscopy. Pearson correlation test was performed to analyse correlation between subjective tests including GRBAS scale and voice handicap index, and objective tests including jitter, shimmer, noise to harmonic ratio (NHR), cepstral peak prominence (CPP), maximal phonation time (MPT), mean flow rate, and subglottic pressure.
Results In vocal nodule and sulcus vocalis, among GRBAS system, grade and breathiness showed good correlation with CPP, and roughness showed good correlation with jitter or shimmer. In unilateral vocal cord paralysis (UVCP), grade and breathiness showed a very good correlation with CPP, and also good correlation with jitter, shimmer, NHR, and MPT. Also asthenia showed good correlation with CPP and MPT. Vocal polyp has a limited association with other diseases.
Conclusion In patients with dysphonia, grade and breathiness showed good correlation with CPP, jitter, and shimmer, and reflect the state of voice change well especially in UVCP, CPP, and MPT.",박정우,2019,https://www.riss.kr/link?id=A108044431
