
한국 노인의 우울증과 관련된 요인,"연구배경 : 현대의학의 발달로 인해 노인인구가 증가함에 따라 노인정신질환에서 흔히 볼 수 있는 우울증에 대한 관심이 높아지고 있다. 본 연구에서는 노인우울증과 관련이 있는 요인들을 분석하여 노인우울증의 올바른 이해와 적절한 치료 및 사회적 중재에 도움을 주고자 하였다.
방법 : 1999년 7월부터 10월까지 전국의 11개 종합병원 가정의학과 또는 재활의학과 노인병 클리닉에 내원한 60세 이상의 노인환자 302명을 대상으로 기 완성된 한국형 포괄적 노인평가 도구를 이용하여 노인우울증과 관련이 있다고 알려진 여러 변수들을 조사하였다. 대상자중 분석이 가능하고 심한 인지기능의 장애가 없는 203명의 환자들을 연구에 포함시켰으며 여러 변수들과 우울증과의 관련성을 보기 위해 1986년 Sheikh와 Yesavage가 개발한 단축형 노인우울척도를 사용하여 우울증이 있는 군과 우울증이 없는 군으로 나누어 chi-square test와 logistic regression analysis를 통해 각각의 변수들과의 관련성을 분석하였다. 통계 프로그램은 SAS 8.1/PC을 사용하였다.
결과 : 전체 203명중 우울증이 있는 노인은 120(59.1%)명으로 과반수이상을 차지하였고 이변량 분석상 우울증의 관련요인으로 교육수준이 낮은 경우, 배우자와 사별한 경우, 사회적 지지도가 낮은 경우, 운동을 하지 않는 경우, 영양 상태가 불량한 경우, 본인 스스로가 느끼는 건강상태가 나쁜 경우, 질병수가 3개 이상인 경우, 기본적 일상생활 수행능력의 장애를 보인 경우, 인지기능의 저하가 있는 경우였다. 다변량 분석 상 우울증의 관련요인으로 연령이 낮을 수록(p=0.001). 배우자와 사별한 경우(p=0.001), 사회적 지지도가 낮은 경우(p=0.004)이었다.
결론 : 우울증과 관련된 요인으로 연령, 사별유무, 사회적 지지도 등이 유의하였으나 연구의 제한점으로 인해 본 결과에 대한 다각적인 분석이 필요하리라 여겨진다.",정현주(Hyun Joo Chung),2001,https://www.riss.kr/link?id=A103097945
스포츠 손상에 대한 물리치료,"스포츠 손상 환자에게 물리치료를 하는 목적은 다음과 같다.
1) 부상당한 선수가 가능한한 빨리 자기종목에 복귀할 수 있도록 하기 위해서이다.
2) 부상당한 부위근육의 coordination과 mobility와 strength를 회복시켜 치유된 조직을 안전하게 보호하기 위해서이다.
3) 환자의 cardiovascular endurance와 전반적인 근육의 힘을 유지시키기 위해서이다.
4) Biomechanical abnormalities(근육의 불균형, 유연성의 결여)를 개선시키기 위해서이다.
5) 너무 빨리 운동 경기에 참여하려는 선수를 보호하고 조직에 손상을 줄 수 있는 비정상적인 기술을 교정하도록 하고 운동선수와 코치, 트레이너들과 협조관계를 유지하기 위해서이다.
6) 잘 개발된 물리치료 프로그램을 통해서 제2, 3의 부상을 방지하기 위해서이다.
7) 심리적으로 안정감을 주기 위해서이다.
8) 치료하지 않으므로 말미암아 장차 빨리 오게 될 퇴행성 질환을 방지하기 위해서이다.
9) 부상을 예방하는 방법을 제공해 주기 위해서이다.",최병옥,1994,https://www.riss.kr/link?id=A102039684
국내 반려동물 장례서비스 현황과 개선방안,"본 연구는 반려동물 화장 및 장례문화에 대한 인식과 문제점을 살피고, 개선방안을 제 언해보고자 하였다. 최근 수년간 반려가구의 수는 크게 증가하였으며, 이에 따라 죽음을 맞는 반려동물과 반려동물의 죽음을 경험하는 반려인의 수 모두 증가하는 추세이다. 반려 인의 대다수는 반려동물을 잃었을 때 장례서비스를 이용하는 것을 희망하지만, 여러 제반 사정들에 의해 실질적으로 반려동물 장례시설을 이용하는 비율은 장례서비스 이용 희망 비율을 하회한다. 반려동물 장례서비스는 반려동물 사체를 무단으로 유기 혹은 매립하여 환경을 해치는 반려인 혹은 쓰레기봉투에 담아 폐기하거나 동물병원에 사체 처리를 위탁 해야 하는 현행 규정에 거부감을 가지는 반려인에게 고려할 만한 대안이 될 수 있다. 또한 반려동물을 잃은 후에 반려인에게서 빈번히 발생하는 펫로스 증후군의 위험도를 낮춘다 는 점 역시 반려동물 장례서비스의 저변이 확대되어야 하는 이유이다. 현재 반려동물 장 례서비스의 실질 이용 비율이 낮은 수준에 머무는 이유로 꼽히는 시설 부족, 비용 부담, 낮은 이용접근성 등을 극복할 수 있는 대안으로 이동식 반려동물 장례서비스를 상정하여 이에 대한 잠재수요자를 대상으로 설문을 진행하였다. 그 결과, 74.7%의 응답자가 이동 식 장례서비스 이용 의향이 있다고 답하였고, 66.3%의 응답자가 이동식 장례서비스의 시 행 확대에 찬성하였다.",최영복,2023,https://www.riss.kr/link?id=A102039686
"코로나바이러스: 사스, 메르스 그리고 코비드-19","코로나바이러스는 본래 자연동물숙주에 한정된 엔주틱 감염으로 발견되었으나, 이후 일부 종들은 동물-인간 종의 장벽을 넘어 인간에게 주노틱 감염을 확립하기 위해 진행되었다. 이에 따라 이종 간 장벽의 점프로 인해 사스-코로나바이러스, 메르스-코로나바이러스 그리고 사스- 코로나바이러스2 등의 치명적인 인간 바이러스로 나타났다. 코로나바이러스에는 스파이크, 막, 외피 그리고 뉴클레오캡시드 단백질의 4가지 주요 단백질이 함유되어 있다. 코로나바이러스의 복제 주기는 세포 이입, 게놈 번역, 복제, 조립 그리고 방출로 이어진다. 이들은 2002년 중국 광동성 사스-코로나바이러스가 발병하기 전까지 인간에게 고병원성으로 여겨지지 않았다. 그러나 2002년 중증 급성 호흡기 증후군이 세계적으로 8,422명이 발병하고, 치사율이 11%에 이르는 유행병으로 발생했다. 메르스 코로나바이러스는 낙타 코로나바이러스와 연관성이 높다. 2019년 12월 중국 우한에서 발생한 발병으로 2019-nCoV에 감염된 환자의 군집이 확인되었으며, 곧 전 세계로 확산되었다. 2019-nCoV는 호흡기를 통해 전파된 후 심할 경우 폐렴도 유발할 수 있다. 이 바이러스의 확인에는 감염자의 상기호흡기 표본 검체에 기초한 분자진단법이 사용되었다. 이 리뷰에서는 우리는 바이러스의 구조와 유전적 구성뿐 아니라 생명주기, 진단과 잠재적 치료법을 검토하였다.",김은중 ( Eun-joong Kim ),2020,https://www.riss.kr/link?id=A105299238
국내 반려동물과의 상호작용이 인간에게 미치는 영향에 대한 연구 고찰,"현재 대한민국의 가족 규모가 축소됨에 따라 반려동물에 대한 관심 및 양육 가구 수가 급증하면서 반려동물과의 상호작용도 활발하게 이루어지고 있는 추세이다. 그러나 이러 한 현실과는 달리 국내에서는 인간-동물 상호작용(Human-Animal Interactions, HAI), 반려동물과 인간의 상호작용에 관한 연구가 많이 이루어지고 있지 않는 실정이다. 본 연 구에서는 반려동물과 인간의 상호작용에 관한 국내 연구들을 살펴보고 정리하여 관련 연 구에 필요한 자료를 제공하는데 목적이 있다.",이한나,2022,https://www.riss.kr/link?id=A108611724
병원 간호단위관리자의 핵심직무 - 핵심역량 매트릭스 개발,"연구목적: 본 연구의 목적은 병원 간호단위관리자의 핵심직무-핵심역량 매트릭스를 개발하고 확인된 핵심역량의 중요도-수행도의 수준을 확인하는 것이다. 연구방법: 7명의 간호단위관리자로 구성된 전문가 집단을 대상으로 핵심직무-핵심역량을 확인하였고, 도출된 핵심직무-핵심역량 매트릭스에 대한 전문가 검증 단계를 거쳤다. 간호단위관리자 핵심역량의 중요도-수행도의 수준 측정은 196명의 간호사를 대상으로 설문조사를 통해 확인하였다. 연구결과: 병원 간호단위관리자의 38개의 핵심직무와 5개 역량군, 37개의 핵심역량이 도출되었다. 5개의 역량군은 임상수행역량군, 인간관계역량군, 전문직 역량군, 리더십 역량군, 비즈니스 역량군이었다. 확인된 핵심직무와 핵심역량을 바탕으로 핵심직무-핵심역량 매트릭스를 개발하였다. 핵심역량에 대한 중요도-수행도 측정 결과는 중요도(3.50±.30)의 평균이 수행도(3.03±.34)의 평균보다 높게 나타났다. 결론: 병원 간호단위관리자의 핵심직무와 핵심역량의 도출은 간호관리자의 역량을 증진시키기 위한 프로그램을 개발하고 간호관리자의 역량을 평가하기 위한 기초자료를 제공할 수 있을 것이다.",이태화,2017,https://www.riss.kr/link?id=A105807729
한국 간호사의 회복탄력성과 관련된 변인의 메타분석,"목적: 한국 간호사들은 근무 환경 내에서 다양한 어려움에 직면하고 많은 스트레스 상황에 노출되어 있다고 알려져 있다. 그러나 간호사의 회복력은 이러한 어려움과 스트레스를 극복하는 것에 있어서 중요한 영향을 주는 요인이라고 알려져 있으며, 실제로 많은 요인들이 간호사의 회복력 정도에 영향을 준다고도 알려져 있다. 이에, 본 연구는 간호사의 회복력에 영향을 주는 요인들을 체계적 문헌고찰과 메타분석 방법을 통하여 체계적으로 리뷰하고 양적으로 합성하는 것을 목표로 하여 이를 통해 간호사의 회복력에 가장 큰 영향을 주는 요인들을 파악하고자 시행되었다. 방법: 관련 문헌의 검색을 위하여 외국 및 국내 학술 데이터베이스를 체계적으로 검색하였고, 이 결과 총 33개의 문헌들이 분석 대상으로 선정되었다. 결과: 결과적으로 한국 간호사의 회복탄력성에 영향을 미치는 보호변인은 큰 효과크기, 위험변인은 중간효과 크기로 나타났다. 보호변인의 직무변인군은 조직변인군보다 큰 효과크기를 보였고, 보호변인 중 공감만족이 간호사의 회복탄력성에 영향을 미치는 가장 큰 효과크기를 나타내었다. 위험변인의 개인변인군은 조직변인군 및 직무변인군과 비교할 때 가장 큰 효과크기를 나타내었고, 그 중 개인의 스트레스 반응이 간호사의 회복탄력성에 가장 크게 부적 영향을 미치는 요인으로 나타났다. 결론: 본 연구는 한국 간호사에게 적용가능한 중재개발을 위한 근거를 제공했다는 점에서 의의가 있다.",권혜경,2017,https://www.riss.kr/link?id=A106495725
외과계 중환자실 수술 후 환자의 섬망 예방 중재가 섬망발생에 미치는 효과,"목적: 섬망은 다양한 합병증을 초래하는 임상 증후군으로 예방이 섬망 발생을 최소화하는데 가장 효과적인 중재이다. 본 연구의 목적은 복합적 섬망 예방 중재를 개발하고 외과계 중환자실의 수술 후 환자에게 적용하여 섬망 발생에 미치는 효과를 검증하고자 한다. 연구방법: 본 연구는 비동등성 대조군 전후 시차 설계로 총 88명의 외과계 중환자실 환자가 연구에 참여했다. 실험군과 대조군 모두 각각 44명이었으며, 실험군은 섬망 사정과 섬망 예방 간호 중재가 포함된 복합적 섬망 예방 중재와 체크리스트가 함께 제공되었으며 대조군은 기존의 수술 후 간호가 제공되었다. 본 연구의 주요 효과 지표는 섬망 발생률이다. 결과: 실험군과 대조군의 일반적, 임상적 특성에는 유의한 차이가 없었다. 섬망 발생률은 실험군에서 19.2%, 대조군에서 38.6%로 나타났다(p<.05). 결론: 결과적으로 복합적인 섬망 예방 중재가 외과계 중환자실 수술 후 환자의 섬망 예방에 효과적임을 확인하였다.",심미영,2015,https://www.riss.kr/link?id=A108611731
일 상급종합병원의 전문간호사에 대한 환자만족도,"목적 : 환자만족도는 의료서비스 질에 대한 평가를 측정하는 중요한 지표이다. 본 연구의 목적은 La Monica-Oberst Patient Satisfaction Scale (LOPSS)을 사용하여 전문간호사의 간호를 받는환자를 대상으로 전문간호사에 대한 환자만족도를 파악하고자 하였다. 방법 : 일 종합병원에서 41명의 전문간호사의 업무수행과 중재방법을 경험한 입원 또는 외래 환자 263명을 대상으로 2012년 10월 22일부터 12월 31일까지 설문지를 통하여 시행하였다. 전문간호사에 대한 환자 만족도는 총 41문항의 LOPSS도구를 번역한 설문지를 이용하여 자료 수집하였다. SPSS/WIN 20.0프로그램을 이용하여 일반적인 특성을 기술통계를 사용하고 환자와 전문간호사의 특성에 따른 환자만족도는 independent t-test 와 one-way ANOVA를 이용하여 분석하였다. 결과 : 전문간호사에 대한 환자만족도는 총 195.93점이었으며, 하부 영역별로 좋은 인상영역 52.26점, 대인간 지지영역 61.75점, 불만족영역은 81.32점으로 나타났다. 환자만족도가 가장 높게 평가된 항목은 불만족영역의 ’전문간호사는 내게 반말로 얕보듯이 말한다’ 이었으며, 이 항목은 역코딩한 것으로 점수가 높을수록 만족도가 높은 것을 의미한다. 환자 특성에 따른 전문간호사에 대한 환자만족도는 연령과 주 간호제공자에 따라 유의한 차이가 나타났으며, 전문간호사의 특성에 따른 환자만족도는 전문간호사 경력에서 유의한 차이가 나타났다. 결론 : 본 연구는 다양한 분야의 전문간호사를 대상으로 환자만족도를 조사하였다. 전문간호사가제공하는 간호에 대한 높은 환자만족도는 전문간호사가 임상에서 의료서비스의 질향상에 기여하고 있음을 보여준다. 추후 전문간호사의 성과를 규명하기 위한 지속적인 노력이 필요하다.",최은주,2015,https://www.riss.kr/link?id=A108562590
동물매개치료프로그램이 노인의 우울과 자아존중감에 미치는 영향에 대한 연구 고찰,"최근 우리나라는 노인의 비중이 급속도로 증가하고 있으며, 급속한 경제성장과 더불어 사회구조의 변화로 인해 노인들이 가정과 사회에서 점점 소외되는 결과를 가져왔다. 사회 에서의 지위 저하, 노령화에 따른 신체적 변화, 경제 사정의 악화 등 다양한 문제에 직면 하면서 우울감 증가와 자아존중감 상실을 경험하기 쉬운 환경에 노출되어 있다. 이러한 문제는 삶의 질의 저하 또는 노인자살 증가 등과 같은 사회문제의 원인으로 두드러질 수 있어 노인들이 빠르게 변화하는 사회에 성공적으로 적응하는 해결방안이 시급한 실정이 다. 본 논문에서는 노인의 우울과 자아존중감에 대한 동물매개 치료프로그램의 효과성을 선행연구 탐색을 통해 분석하였다. 프로그램의 효과검증을 위한 검사도구로는우울척도검 사와 자아존중감척도를 사용하였다. 프로그램 종결 후 사전,사후 검사를 비교한 결과 동 물매개 치료프로그램이 노인의 우울 감소와 자아존중감 향상에 긍정적인 효과를 주는 것 임을 알 수 있었다. 우울과 자아존중감이 노인의 삶의 질에 큰 영향을 미치므로 빠르게 변화하는 사회 속에서 노인들이 심리적, 정서적으로 안정감을 가질 수 있도록 다양한 동 물매개치료의 개발과 도입이 필요할 것으로 보인다.",김소연,2023,https://www.riss.kr/link?id=A75015406
