
정신병적 우울증의 신경심리학적 양상,"본 연구는 24명의 비정신병적 우울증 환자, 25명의 정신병적 우울증 환자, 그리고 49명의 정신분열병 환자 총 98명을 대상으로 신경심리학적 양상을 비교하여, 정신병적 우울증이 비정신병적 우울증과는 다른 신경심리학적 이상이 있는지에 대하여 알아보았다.
신경심리학적 검사로써 숫자상징검사, 선로잇기검사 A형과 B형, 수지력검사, 시각지속수행검사, 공간기억검사 및 위스콘신 카드 분류검사 등을 시행하였다. 그 결과는 다음과 같다.
1) 숫자상징검사, 선로잇기검사 A형에서 비정신병적 우울증 환자군이 정신분열병 환자군보다 통계적으로 유의하게 높은 수행능력을 보였다.
2) 시각지속수행검사에서 비정신병적 우울증 환자군이 정신분열병 환자군보다 통계적으로 유의하게 높은 수행능력을 보였으며, 정신병적 우울증 환자군은 정신분열병 환자군과 유사하게 낮은 수행능력을 보였다.
3) 공간기억검사에서 정확한 반응의 비율은 정신분열병 환자군이 다른 두 군보다 통계적으로 유의하게 낮은 수행결과를 보였고, 정신병적 우울증 환자군은 비정신병적 우울증 환자군과 서로 비슷했다.
4) 위스콘신카드 분류검사에서 비정신병적 우울증 환자군은 정신병적 우울증 환자군과 정신분열병 환자군에 비해서 통계적으로 유의하게 높은 수행능력을 보였고, 정신병적 우울증 환자군과 정신분열병 환자군 사이에는 통계적으로 유의한 차이를 보이지 않았다.
결론적으로 정신병적 우울증의 신경심리학적 양상은 비정신병적 우울증과 다르며, 특히 전두엽의 기능부전을 의심할 수 있는 소견을 보였다.",김진세,1997,https://www.riss.kr/link?id=A2011097
한국판 세계보건기구 삶의 질 간편형 척도(WHOQOL-BREF)의 개발,"연구목적 :
본 연구는 한국판 세계보건기구 삶의 질 간편형 척도(이하 한국판 WHOQOL-BREF)를 개발하고, 한국판 WHOQOL과 비교하여 그 타당도 및 신뢰도를 검증하고자 하는 것이다.
방 법 :
WHO의 지침에 따라 개발된 한국판 세계보건기구 삶의 질 간편형 척도(WHOQOL-BREF)를 연세대의대부속 신촌 세브란스 병원에 내원한 일반 내과 환자 171명과 건강한 대조군 367명을 포함한 583명을 대상으로 평가하였다. 총 489명의 응답자가 최종적으로 연구대상이 되었다. 검사-재검사 신뢰도를 보기 위하여 3주 간격으로 113명에게 재검사를 시행하였다.
결 과 :
검사-재검사 신뢰도는 원척도인 WHOQOL과 WHOQOL-BREF두 개 척도 모두 모든 항목에서 유의하게(p<0.0001) 높았다. 원척도인 한국판 WHOQOL과 한국판 WHOQOL-BREF에서 영역(domain)별 점수의 차이는 매우 작았다(평균 0.49). 그리고 두가지 척도의 점수간에 유의한 상관관계가 있었다.(p<0.0001). 내적 일관성에 있어 Cronbach's α는 0.898(0.583∼0.777)이었으며 각 영역(domain)에서도 높은 일관성을 보였다. 변별타당동에서는 성별, 나이, 교육수준, 결혼여부, 질병의 유무에 따라 차이가 있었으며 특히 교육수준과 질병의 유무에 따른 차이가 유의하게 관찰되었다. Confirmatory factor analysis 결과 네 개의 영역구조가 적절하다는 것이 판명되었다.(Bentler의 comparative fit index : 0.859). 전반적인 삶의 질의 평가에 있어서 신체적 건강 영역이 가장 높게 공헌하였고 심리적 영역과 환경 영역이 그 다음으로 공헌하였다.
결 론 :
한국판 WHOQOL-BREF가 삶의 질을 측정하는 도구로써 원척도인 한국판 WHOQOL만큼 신뢰롭고 타당한 검사인 것으로 나타났다.",민성길,2000,https://www.riss.kr/link?id=A3002146
청소년의 고카페인 음료 섭취와 우울증상 및 자살의 관계,"연구목적 청소년의 고카페인 음료(에너지 드링크) 섭취가 급격히 증가하며 사회적인 이슈가 되고 있지만 정신과적인 영향에 대해서는 아직까지 자세히 밝혀지지 않았다. 본 연구에서는 청소년의 고카페인 음료 섭취와 우울증상, 자살생각, 자살계획 및 자살시도 간의 관계를 알아보고자 하였다. 방 법 2014년 수행된 제 10차 대한민국 청소년건강행태온라인 조사에서 자기기입식 설문을 통해 고카페인 음료섭취 유무 및 섭취 용량, 우울증상, 자살생각, 자살계획, 자살시도 경험을 평가하였다. 수집된 자료를 바탕으로 변인들의 관련성을 알아보기 위해 카이제곱 검정을 시행하였고, 우울증상과 자살생각, 자살계획, 자살시도의 위험요인을 파악하기 위해 나이, 성별, 학업성취도, 가족경제수준을 보정하여 다중 로지스틱 회귀분석을 실시하였다. 결 과 본 연구에서는 총 71,638명의 자료를 분석에 사용하였다. 최근 1주일 동안 고카페인 음료를 섭취한 적이 있는 청소년이 그렇지 않은 경우에 비해 우울증상(p<0.01), 자살생각(p<0.01), 자살계획(p<0.01), 자살시도(p<0.01) 경험이 통계적으로 유의하게 높았으며, 고카페인 음료 섭취 경험은 자살시도(O.R=1.99 ; 95% CI, 1.77-2.22)의 위험요인으로 나타났다. 청소년 카페인 일일 섭취권고량을 초과하는 고용량 섭취군이 저용량 섭취군에 비해 우울증상(p<0.01), 자살생각(p<0.01), 자살계획(p<0.01), 자살시도(p<0.01) 경험이 통계적으로 유의하게 높았으며, 고용량 카페인 섭취가 자살시도(O.R=4.05 ; 95% CI, 3.02-5.43)의 위험요인으로 확인되었다. 결 론 본 연구에서 청소년의 고카페인 음료 섭취는 우울증상, 자살생각, 자살계획, 자살시도 경험의 증가와 유의한 관련성이 있었으며, 일일섭취권고량을 초과하는 고용량 카페인 섭취는 자살 시도의 위험성을 높이는 요인임을 확인하였다. 본 연구의 결과는 고카페인 음료 섭취가 청소년의 심리적, 정신적 어려움과 관련될 수 있어 주의가 필요함을 강조한다.",안인영,2016,https://www.riss.kr/link?id=A103048817
대학생에서 스트레스가 수면에 미치는 영향,"목 적 : 스트레스가 단기간 불면의 흔한 원인으로 알려져 있고, 환자들은 스트레스로 인한 수면의 어려움을 흔히 호소한다. 그러나, 스트레스와 수면과의 관계에 대한 연구들은 일관되지 못한 결과를 보이고 있고, 국내에서는 체계적인 연구가 전무한 것이 현실이다. 또한, 스트레스에 대해서도 이전에는 주요 생활사건에 중점을 두었지만 1980년대 들어 사소한 생활사건에 대한 관심이 고조되었고, 이런 일상의 사소한 일들이 개인의 건강에 영향을 주는 중요한 스트레스 요인으로 작용한다고 제시되었다. 본 연구에서는 대학생들을 대상으로 사소한 생활사건이 수면에 미치는 영향을 보고자 하였다. 방 법 : 신체적, 정신적으로 건강한 남녀 대학생 자원자들을 대상으로 스트레스와 수면 등을 평가하는 자가평가지를 배부하였다. 대상자들의 평균적인 스트레스와 수면 상태를 알기 위해서, 일상 생활 스트레스 평가 척도와 매일 수면평가지를 3일 연속 측정하도록 하였다. 이외에 커피, 콜라 등의 카페인 사용량, 흡연, 음주, 우울과 불안의 정도 등도 조사하였다. 통계프로그램으로는 SPSS version 10.0을 사용하였고 기술분석, 피어슨 상관분석, 부분상관분석, 위계적 다중회귀분석 등을 하였다. 결 과 : 연구에 포함된 학생들은 총 202명으로, 남녀 각각 101명씩이었다. 스트레스는 비회복 수면양상의 증상들 (기상하기 어려움, 기상시 불쾌감, 못 잔 것 같은 느낌, 기상시 신체적인 불편감이나 통증, 주간 졸음과 우울감, 피곤함, 집중하기 어려움)에 통계적으로 유의한 영향을 미치는 것으로 나타났다. 반면, 총 PSQI 점수, 수면 시간이나 입면시간, 각성횟수, 낮잠의 횟수와 시간 등은 스트레스 점수로 설명되지 않았다. 스트레스 중에서는 개인적 능력에 대한 스트레스가 다른 유형의 스트레스에 비해 수면에 미치는 영향이 컸으며, 우울과 불안, 카페인과 같은 요소들이 수면에 부정적인 영향을 미친다는 결과를 보였다. 결 론 : 사소한 생활사건이 다른 수면의 요소들 보다 비회복 수면으로 인한 이차증상들에 크게 영향을 미친다는 것을 보여 주었다. 이는 사소한 생활사건이 각성(arousal)을 증가시켜 수면의 회복성을 저해한다고 유추할 수 있으며, 수면다원검사로 직접적인 관련을 확인할 수 있을 것이다.",강승걸,2002,https://www.riss.kr/link?id=A100664477
한글판 스트레스 자각척도의 신뢰도와 타당도 연구,"연구목적 : 스트레스 자각척도는 일상 생활에서 주관적으로 느끼는 스트레스의 정도를 평가하는 척도이다. 본 연구는 한글판 스트레스 자각척도의 신뢰도와 타당도를 평가하고 척도를 이용하여 종합병원에서 근무하는 여성들의 스트레스 정도를 측정하고자 하였다. 방 법 : 종합병원 근무 여성들을 대상으로 주사바늘 자상을 입은 전후로 한글판 스트레스 자각척도, 해밀턴 불안 척도, 벡 우울 척도를 실시하여 스트레스 및 불안, 우울 정도를 평가하였다. 내적 일치도와 검사-재검사 신뢰도를 통해 척도의 신뢰도를 평가하였으며, 타 척도와의 상관관계분석을 통해 공존 타당도를 평가하였다. 척도의 요인구조는 탐색적 요인분석을 시행하여 확인하였다. 결 과 : 연구 참여자 중 총 154명이 연구 절차를 완료하여 최종 분석에 포함되었으며, 이들의 스트레스 자각척도의 평균 점수는 20.69(${\pm}4.56$)점이었다. 한글판 스트레스 자각척도의 Cronbach's alpha는 0.819이었으며 검사-재검사 신뢰도는 0.66(p<0.01)이었다. 해밀턴 불안 척도 및 벡 우울 척도와 상관계수는 각각 0.49(p<0.01), 0.55(p<0.01)로 나타났다. 요인 분석 결과 한글판 스트레스 자각척도는 2가지 요인으로 이루어져 이었으며 각각 '스트레스와 관련된 요인', '스트레스의 조절과 관련된 요인'으로 명명하였다. 결 론 : 본 연구를 통해 한글판 스트레스 자각척도가 주관적으로 지각하는 스트레스 정도를 평가하는데 신뢰할 만하고 타당한 도구임을 확인할 수 있었다. 지각된 스트레스는 정신적, 신체적인 건강 상태 모두에 영향을 끼치는 것으로 알려져 있어 향후 스트레스 자각척도를 이용한 스트레스 평가 및 관리가 유용할 것으로 생각된다.",이종하,2012,https://www.riss.kr/link?id=A101693570
한국판 노인 우울 척도 단축형의 표준화 예비연구,"본 연구는 기백석과 이철원(1995)이 표준화한 한국판 노인 우울 척도(Geriatric Depression Scale Korea Version: GDS-K)의 단축형을 한국판 단축형 노인 우울 척도(Geriatric Depression Scale Short Form Korea Version: GDSSF-K)으로 명명하고, 이를 표준화하기 위한 예비 연구를 목적으로 하였다. 연구대상는 60세 이상의 노인 260명이었으며 이 중 노인 우울증 환자가 176명, 정상 노인이 84명이었다. GDSSF-K 의 신뢰도와 타당도를 검증하였고 요인구조를 확인하기 위하여 요인분석을 하였다. 그 결과 수정된 문항-총점간 상관의 중앙값은 r=0.65, 문항간 상관은 r=0.35, 반분신뢰도 상관계수의 평균은 0.85 및 Cronbach의 α계수는 0.88로 나타나서, 중등도 이상의 신뢰도가 있는 것으로 나타났다. 또한 GDSSF-K의 시각적 안정성을 말해주는 검사-재검사 신뢰도도 r=0.93으로 나타나 매우 높은 것으로 증명되었다. 타당도에서는 GDSSF-K의 평균점수를 기준으로 정상 노인 집단과 우울 노인 집단을 t검증한 결과 두 집단간에 유의한 차이가 있는 것으로 나타나 준거 관련 타당도가 높은 것으로 증명되었다. 구성타당도는 BDI와는 r=0.50, SDS와는 r=0.50으로 나타나 중등도 이상인 것으로 나타났다. GDSSF-K로 노인 우울증을 측정하는 경우 몇점을 기준으로 해야 하는지, 즉 절단점을 결정하기 위해서 민감도와 특이도를 분석한 결과 5점을 절단점으로 하는 경우 민감도가 42.3%, 특이도가 88.7%로 가장 적절한 것으로 생각된다. GDSSF-K의 요인구조를 확인하기 위하여 시행한 요인분석 결과, 2개의 요인이 추출되었으며 변량의 설명력은 57.6%였다. 요인 1은 '반 활력요인(anti-vitality factor)'으로 요인 2는 '우울요인(depression factor)'으로 명명하였다. 이러한 결과는 GDSSF-K가 한국 노인들의 우울증을 신뢰롭고 타당하게 측정할 수 있는 척도임을 증명하는 것으로 해석되었다.",기백석,1996,https://www.riss.kr/link?id=A1996655
스트레스반응척도의 개발,"연구목적:
본 연구의 목적은 4가지 스트레스반응 즉 감정적, 신체적, 인지적, 행동적 반응들이 포함된 스트레스 반응 척도를 개발하고자 하는데 있다.
방법:
일차로 성인 정상인 109명을 대상으로 스트레스반응척도 예비설문을 시행하여 75개 문항을 추출하였다. 2차로 이 문항들이 포함된 설문을 정상인 215명을 대상으로 실시하였다.
결과:
이 자료들을 요인분석한 결과 7개의 하위요인 즉 긴장, 공격성, 신체화, 분노, 우울, 피로, 좌절이 추출되었다. 상기 척도의 신뢰도는 정상인 62명에게 2주 간격으로 검사-재검사를 시행, 분석한 결과 7개 하위척도 점수와 척도 전체 점수 간의 상관관계수가 .69∼.96으로 모두 유의한 상관성을 보였다. 한편 내적 일치도는 7개 하위척도의 Cronbach's α가 .76∼.91, 척도 전체의 Cronbach's α가 .97이었다. 공존타당도는 global assessment of recent stress(GARS) scale, perceived stress questionnaire(PSQ), symptom checklist-90-R(SCL-90-R)의 전체지표 각각의 총점과 본 척도의 7개 하위척도의 점수 및 척도 전체점수 간의 상관성을 각각 비교한 결과 모두 유의하게 높은 것을 나타났다. 변별타당도는 환자군 242명(불안장애 71명, 우울장애 73명, 신체형장애 47명, 정신신체장애 51명)과 정상군 215명간에 척도의 총점과 7개의 하위척도 점수를 비교한 결과 공격성을 제외한 6개 하위척도 점수와 총점에서 각각
유의한 차이를 보였다. 환자군에서 우울장애군이 척도전체 점수가 가장 높고, 불안장애, 정신신체장애, 정상군보다 각각 전체 점수가 유의하게 높게 나타나 우울장애군이 이들 환자군 중에서 스트레스반응이 가장 현저하다는 것을 시사해 준다. 대상자들 중 여자가 남자보다, 소득수준이 낮을수록 척도 전체 점수가 유의하게 더 높았다.
결론:
이상의 결과들은 스트레스반응 척도가 신뢰도 및 타당도가 모두 유의한 수준으로 스트레스에 관련된 분야의 연구에 효과적으로 이용될 수 있는 도구임을 시사해 준다. 또한 우울장애군이 상기 다른 정신장애군에 비해 스트레스에 대한 감수성이 높다는 것을 반영해 준다.",고경봉,2000,https://www.riss.kr/link?id=A3009176
한국판 양성 및 음성증후군 척도(Positive and Negative Syndrome Scale)의 신뢰도와 타당도,"연구목적：
본 연구는 양성 및 음성 증후군 척도(Positive and Negative Syndrome Scale, PANSS)를 국어로 번역하여
우리 나라 환자들을 대상으로 신뢰도와 타당도를 검토함으로써 한국판 PANSS를 개발하는데 그 목적을 두
었다.
방 법：
11개 병원에서 DSM-Ⅳ를 기준으로 정신분열병 또는 정신분열형장애로 진단받고 입원 또는 외래 치료
중인 환자 101명을 대상으로 PANSS 평가를 실시하였다. 이중 38명에 대해서는 준거타당도를 확인하기 위
해 Scale for the Assessment of Positive Symptoms(SAPS)와 Scale for the Assessment of Negative
Symptoms(SANS) 평가를 병행하였다. 이들 자료를 분석하여 평가자간 신뢰도, 검사-재검사 신뢰도, 내적
일관성 신뢰도, 준거타당도, 변별타당도를 검토하였고 주축 분해법을 이용하여 요인분석을 실시하였다.
결 과：
평가자간 신뢰도는 양성증후군소척도 0.92, 음성증후군소척도 0.86으로 만족스러웠으나 일반정신병리소척
도는 0.78로 다소 낮았다. 검사-재검사 신뢰도는 세 가지 소척도가 각각 0.89, 0.95, 0.90으로 모두 시간적으
로 안정된 특질을 측정하는 것으로 나타났다. 내적 일관성 신뢰도는 양성증후군소척도 0.73, 음성증후군소척
도 0.84, 일반정신병리소척도 0.74로 모두 양호하였다. 교정된 항목-총점간 상관계수는 양성증후군과 음성증후
군의 경우 모든 항목이 0.30을 넘어서 내용상 일관성이 있었지만, 일반정신병리소척도의 일부 항목은 일관성이
없거나 다소 낮았다. 양성증후군소척도는 SAPS와 상관이 높고 SANS와는 상관이 낮았으며, 음성증후군소
척도는 SAPS와는 상관이 낮고 SANS와는 상관이 높아 준거타당도가 확인되었다. 양성증후군소척도와 음성
증후군소척도는 상관관계를 보이지 않아 양자간에 변별력이 있었다. 요인분석 결과, 인지증상·흥분·우울·양
성증상·음성증상의 다섯 요인 구조가 자료를 잘 설명하는 것으로 나타나 요인타당도가 확인되었다.
결 론：
본 연구를 통해 한국판 PANSS의 신뢰도와 타당도가 검증되어 국내 정신분열병 연구에 유익하게 사용할 수
있음이 확인되었다",이중서,2001,https://www.riss.kr/link?id=A105321768
국내 아동학대의 예방적 개입과 치료적 개입의 효과에 관한 메타분석,"본 연구는 아동학대의 예방적 개입과 치료적 개입에 관한 효과성을 메타분석을 통해 종합적으로 이해하는 데 목적이 있다. 데이터베이스 검색엔진을 통한 검색과 논문 분류기준을 통해 아동학대 예방 프로그램에 관한 논문 10편, 아동학대 치료 및 중재 프로그램에 관한 논문 19편이 최종 분류되었다. 이들 논문에서 각각 28개, 63개의 소연구가 도출되었으며 메타분석은 R프로그램을 사용하여 실시하였다. 분석결과, 아동학대 예방 프로그램의 전체 프로그램의 효과크기 값은 0.667로 중간 효과크기에 속하는 것으로 나타났다. 종속변인에 따른 효과크기는 아동학대 인식이 가장 높은 효과크기로 나타났으며, 다음으로 아동학대 행동 및 잠재성, 인성, 부정적 정서행동요인, 긍정적 정서행동요인 순으로 중상의 효과크기가 나타났다. 적용방법에 따른 효과크기는 운영시간과 운영회기 수에 따라 집단 간에 차이가 없는 것으로 나타났다. 다음으로 아동학대 치료 및 중재 프로그램의 전체 효과크기 값은 1.68로 나타나 큰 효과크기에 속하였다. 치료 및 중재 방법에 따른 효과크기는 인지행동치료, 미술치료, 게임놀이치료, 치료놀이, 현실요법, 놀이치료, 무용치료 순으로 효과가 높은 것으로 나타났다. 종속변인에 따른 효과크기는 집단 간에 차이는 없는 것으로 나타났다. 이와 같은 연구 결과에 기초하여, 아동학대의 예방 및 치료의 중요성을 환기시키고 향후 프로그램 수립 및 운용에 활용될 수 있는 기초자료를 제공하였다는데 의의가 있다.",한지현,2023,https://www.riss.kr/link?id=A100815145
병원 불안- 우울 척도에 관한 표준화 연구,"연구목적 :
저자들은 Zigmond등 (1983)이 개발한 병원 불안-우울 척도(Hospital Anxiety and Depression : HAD)를 한국어로 표준화하기 위한 목적으로 본 연구를 시행하였다.
방 법 :
연구대상은 불안장애 환자가 66명, 우울장애 환자가 74명, 정상대조군 189명이었다. HAD의 신뢰도와 타당도를 검증하였고, 한홍무 등(1986)이 표준화한 Beck의 BDI와 왕성근(1978)이 표준화한 Zung의 자기평정 불안척도와 그 상관관계를 비교하였다.
결 과 :
문항 - 총점간의 상관관계 중앙치는 불안 하부척도가 0.55, 우울 하부 척도가 0.47로 나타났고, Crohnbach의 α계수는 각각 0.89와 0.86으로 나타나서 중등도 이사의 신뢰도가 있는 것으로 나타났다. 타당도에서는 t검증 결과 불안 및 우울 집단이 정상 대조군과 유의한 차이가 있는 것으로 나타나 타당도가 높은 것으로 증명되었다. 구성 타당도는 우울 하부척도가 BDI와는 r=0.80, 불안 하부척도가 SAS와는 r=0.79로 나타나 중등도 이상인 것으로 판정되었다. HAD로 불안 및 우울을 측정하는 경우 우울 하부 척도가 절단점 8점인 경우 민감도 89.2%, 특이도 82.5%, 불안 하부척도가 절단점 8점인 경우 민감도 78.8%, 특이도 82.5%로 가장 적절하게 나타났다. HAD의 요인분석 결과 두 가지의 요인이 추출되었다. 요인 1이 설명하는 변량은 49.6%로, 요인 2가 설명하는 변량은 10.0%로 두 요인이 설명하는 변량은 59.6%였다. 두 가지 요인은 원래 척도인 불안(AI-7)과 우울(D1-7)의 하부척도와 잘 일치하였다. 그리고 불안과 우울 장애의 감별에서도 두 집단사이의 t검증 결과 우울 하부척도는 통계적으로 유의한 차이가 있는 것으로 나타났으나 불안 하부척도는 차이가 없었다.
결 론 :
이러한 결과로 HAD가 불안과 우울 장애를 타당성 있게 측정할 수 있는 척도로 증명되었다. 본 척도를 사용하여 일차진료의 및 비 정신과 분야에서의 불안과 우울의 이환 상태를 이용하고 짧은 시간에 숙달된 기술이 없이도 검사할 수 있을 것이다.",민경준,1999,https://www.riss.kr/link?id=A108639970
