
케모포트의 관리법,"악성종양의 빈도가 증가하면서 동반된 항암제 사용의 증가로 인해 반복적이면서 장기간 사용할 수 있는 안전한 정맥경로 확보가 필요하게 되었다. 이에 중심정맥을 통해 비교적 안정적으로 약물을 공급할 수 있는 케모포트(chemoport)의 사용이 증가하게 되었고, 사용빈도가 늘어나면서 관련된 부작용 또한 증가되어 관찰되고 있다. 중심정맥에 도관을 삽입을 한다는 침습적인 시술과 관련한 위험도 있겠지만, 발생되는 부작용 중에는 올바르지 못한 사용 및 관리로 인해 발생하는 부작용이 적지 않으며 이는 케모포트에 대한 정확한 사용 및 관리방법을 제대로 이해하지 못하였기 때문이다. 이런 문제점을 최소화하기 위해 케모포트에 대한 올바른 이해와 사용방법에 대해 알아보고 의료진에게 참고가 되었으면 하고, 이를 대로 시술을 받은 환자에 대한 교육을 강화해 올바른 케모포트 사용을 알리는 계기다 되었으면 한다.",박요한 ( Yo Han Park ),2011,https://www.riss.kr/link?id=A100131752
자궁경부암환자의 삶의 질에 영향을 미치는 치료관련 및 심리사회적 요인,"목 적: 본 연구의 목적은 자궁경부암 환자의 삶의 질에 영향을 미치는 치료관련요인과 심리사회적 요인을 파악하
기 위함이다. 대상 및 방법: 경기도 A 대학병원에서 자궁경부암 진단을 받고 치료 중이거나 추후관리 중인 환자 147명을 대상으로 삶의 질과 심리사회적 변수(기분장애, 삶의 성향, 사회적 지지)에 대해 설문조사하였다. 그리고 치료관련 변수로 암의 병기, 치료방법, 추후관리기간은 의무기록을 통해 조사하였고 증상 경험은 설문조사하였다. 결 과: 치료관련 변수들과 심리사회적 변수들은 자궁경부암 환자의 전체 삶의 질의 63.3%를 설명하였다(R2=0.633,F=16.969, p=.000). 암의 병기, 증상 경험, 기분장애정도, 사회적지지 중 가족지지, 그리고 삶의 성향은 자궁경부암환자의 삶의 질에 영향을 주는 유의한 요인이었으며 이 중 가족지지가 가장 영향력이 큰 변수였다.결 론: 자궁경부암 환자의 삶의 질을 증진시키기 위해서는 환자의 증상관리 뿐만 아니라 심리사회적 중재가 치료와 함께 병행되어야 하며 그 내용으로 기분조절, 사회적 지지, 삶에 대한 긍정적인 태도를 취하는 것이 포함되어야 한다.",전미선(Mi Son Chun),2005,https://www.riss.kr/link?id=A86946427
두경부암에서 면역회피 기전과 면역항암제 치료,두경부 편평상피세포암은 전세계적으로 6번째로 흔하며 예후가 불량한 암종이다. 면역 감시는 두경부암의 발생과 진행을 억제하는 중요한 기전으로 알려져 있다. 두경부암세포는 면역 감시를 T세포의 관용을 유도하거나 체크포인트를 통한 T세포 기능을 억제하는 등의 방법으로 회피할 수 있다. 한편 진행성 두경부암 임상연구에서 체크포인트 억제제는 명확한 항종양효과를 입증하였다. 이처럼 면역항암제가 중요한 암치료 방법으로 떠오르는 이때에 본 종설은 두경부암의 면회회피 기전 및 임상적용근거에 대한 최근 지식을 정리하였다.,장현(Hyun Chang),2017,https://www.riss.kr/link?id=A108167605
In-vitro와 Ex-vivo MTT Assay를 통한 직장암의 방사선치료 감수성 예측 가능성 검증,"목 적: 암환자의 방사선 치료 전 방사선에 대한 감수성을 미리 측정할 수 있다면 임상적으로 많은 도움이 될 것이 다. 본 연구는 전 임상 실험을 통하여 MTT assay가 세포집락 측정기법과 비교해서 방사선 감수성을 예측할 수 있 고, 직장암 환자의 조직에 사용할 수 있는지 가능성을 확인하고자 하였다. 대상 및 방법: 대장암 세포 주인 HCT-8, LoVo, CT-26, WiDr을 이용하여 세포집락 측정기법을 통해 세포생존곡선 및 2 Gy에서의 세포생존확률(SF2)을 구하였다. 세포 주 자체를 대상으로 MTT assay를 시행하는 실험(in vitro) 및 환자의 암 조직과 같은 상태를 만들기 위하여, 누드 마우스에 세포 주를 주입하여 암 조직을 형성한 후 in vitro와 같은 방식으로 MTT assay를 시행(ex vivo)하였다. 이 두 실험에 대한 흡광도 값에 따른 저해율(inhibition rate, %)을 구하였다. 결 과: SF2 및 세포생존곡선에 따르면 CT-26 및 LoVo가 HCT-8, WiDr에 비해 방사선에 민감하였다(p＜0.05). In vitro MTT assay 결과 WiDr, HCT-8, LoVo와 CT-26의 방사선 저해율이 각각 17.3%, 21%, 30%, 56.5%를 나타내었다. 또한 ex vivo MTT assay의 저해율은 HCT-8, WiDr, LoVo와 CT-26에서 각각 23.5%, 26%, 38%, 53%를 나타내었다. 통계적인 차이를 감안하였을 때 세포생존곡선을 통해 얻은 방사선 감수성의 결과와 동일한 순서를 가졌다.결 론: 4개의 세포 주의 방사선의 감수성의 순서가 세포집락 측정기법 및 in vitro와 ex vivo MTT assay 결과에서 거의 일치함을 보였다. 이는 직장암 환자에서 MTT assay를 통해 방사선 감수성을 예측할 수 있는 가능성을 제시하였다.",김지은(Ji Eun Kim),2008,https://www.riss.kr/link?id=A82296917
간암 환자에서 간절제술 시행 후 초기 회복기간 중 이용할 수 있는 적합한 영양상태 평가 지표,"목적 : 간절제술 후에는 간의 합성능력이 저하되고, 복수나 부종이 발생하게 된다. 본 연구에서는 이러한 상황에서 영양상태를 평가할 수 있는 적절한 지표를 검증하고자 하였다.
대상 및 방법 : 간세포암을 진단받고, 간절제술을 시행받은 65명의 환자를 대상으로 후향적으로 의무 기록을 분석하였다. 간절제 전 및 간절제 후 7일째 체중과 신체 체질량 지수, 혈액검사를 통해 영양 평가 지표를 측정하였다.
결과 : 65명의 환자중 남자는 52명, 여자는 13명으로 남녀 비는 4:1이었으며, 평균 연령은 56.2세였다. 수술 전 신체 체질량 지수는 저체중인 18.5 kg/m2 미만이 2명 (3.1%), 18.5-23kg/m2의 정상 범위가 22명(33.8%), 23-27.5 kg/m2의 과체중 상태가 19명(29.2%), 그리고 신체 체질량 지수 27.5 kg/m2 이상의 비만 상태가 22명(33.8%)였다. 수술 전 후의 영양 평가 항목의 변화를 살펴보면, 수술 후 림프구 수, 총 단백질량, 알부민, 혈액 요소 질소(BUN), 콜레스테롤, 프리알부민 수치가 유의하게 감소하였으며, 반면에 백혈구 세포수(5642±1831 vs. 7149±3069)와 CRP(2.98±4.78 vs. 25.69±22.23)는 눈에 띄게 증가하는 소견을 보였다(p=0.00, p=0.00). 수술 전과 후의 신체 체질량 지수와 체중은 통계학적으로 의미있는 변화는 보이지 않았다(p=1.91, p=8.23).
결론 : 간절제술 시행 후 영양 상태를 정확하게 평가하기 위해서, 염증 반응과 외부의 개입에 의한 영향 등을 고려하여, 쉽게 적용 할 수 있는 단일 영양 상태 평가 지표로는 프리알부민이 가장 적합할 것으로 사료된다.",김상화(Sang Hwa Kim),2012,https://www.riss.kr/link?id=A108144438
유방암 환자의 혈청 HER-2/neu 농도의 임상적 중요성 및 생존율과의 관련성,목적: HER-2/neu의 세포막 밖 리간드부분은 혈중내에서 쉽게 측정할 수 있다. 몇몇 보고에 의하면 혈청내의 HER-2/neu의 농도가 높은 경우 항암 화학요법에 대한 반응률이 낮은 것으로 알려져 있다. 그래서 본원의 환자를 대상으로 혈청내의 HER-2/neu의 농도의 임상적인 의미와 예후에 미치는 영향을 알아보고자 한다. 대상 및 방법: 2005년 1월부터 2006년 12월까지 유방암으로 진단 후 수술적 치료를 받은 환자 중 혈청 serum HER-2/neu가 측정되어 있는167명의 환자를 대상으로 후향적으로 조사하였다. 술 전 HER-2/neu의 농도가 15ng/ml를 기준으로 하여서 고농도군과 저농도군으로 나눴다. 양 군사이의 임상병리학적 인자는 교차분석을 통해서 비교하였으며 5년 무병생존율과 전체생존율은 Kaplan-Meier을 이용하여서 분석하였다. 결과: 평균연령은 54세였으며 평균종양의 크기는 3.2 cm이였다. 고농도군에서 병리학적으로도 HER-2/neu가 양성인 경우는 많았다..(p=0.035) 그리고 고농도군에서 에스트로젠 호르몬 수용체가 양성인 경우가 많았다.(p=0.046) 혈청의 HER-2/neu level이 무병생존율에 영향을 미쳤으며(p=0.001) 종양의 크기도 무병생존율에 영향을 미쳤다.(p=0.007) 결론: 혈청 HER-2/neu의 농도는 호르몬 수용체나 조직의 HER-2/neu의 농도와는 연관이 없었지만 무병생존율과는 연관이 있었다. 그러나 본 연구는 추적 기관이 짧아서 한계가 있다고 생각되며 향후 더 많은 수와 추적기간을 가지고 연구를 해야 할 것이다.,류동원 ( Dong Won Ryu ),2010,https://www.riss.kr/link?id=A103130196
국소 진행된 식도암에 대한 수술 전 동시병용 방사선-항암 화학요법,"목 적: 본 연구는 국소 진행된 식도암 환자들에 대하여 수술 전 동시병용 방사선-항암 화학요법을 적용한 치료 성
적과 예후인자에 대해 알아보고자 하였다. 대상 및 방법: 1998년 3월부터 2005년 5월까지 삼성서울병원에서 식도암으로 진단 받고 수술 전 동시병용 방사선 항암화학요법을 적용한 환자는 모두 68명이었다. 이들 중 원발병변이 흉곽 내 식도에 위치하고, 조직형이 편평상 피암이며 임상병기가 T3이상 또는 N1이상 또는 혈행성 원격전이 없이 절제 가능한 원격 림프절에 전이가 국한되어 있는 M1A/B병기이며 다른 내과적 질환이나 이차암이 없는 61명의 환자들에 대해 분석을 시행하였다. 방사선치료는 임상 검사 등으로 확인된 병변에 대하여 5주 동안 45 Gy를 조사하였고, 항암화학요법은 2 주기의 5-FU (1,000mg/m2/day, days 1-4 & 29-32)와 Cisplatin (60 mg/m2/day, days 1 & 29)을 방사선치료와 동시에 병용하였다. 수술은 방사선-항암화학요법 종료 후 4∼6주경에 계획하였으며 53명에 대해 Ivor-Lewis 술기와 2-영역 혹은 3-영역
림프절 적출술을 시행하였다. 결 과: 57명이 예정된 방사선-항암화학요법을 완료하였고(93.4%) 수술을 거부하거나 수술 전 방사선-항암화학요법 중 질병이 진행된 8명의 환자를 제외한 53명(86.8%)에서 식도 절제술을 시행하였는데, 이 중 49명(92.6%)에서 완전절제가 가능하였으며 38명(71.6%)에서 병기하강을 얻을 수 있었고, 17명(32.0%)에서 병리학적 완전 관해를 얻었다. 1명이 수술 후 호흡기 합병증으로, 1명이 방사선 병용 항암화학치료 연관 폐렴으로 사망하여 치료 연관 사망률은 3.2%였다. 전체 61명의 중앙 생존기간은 30개월, 2년 및 5년 생존율은 각각 59.0%와 38.0%였으며 수술을 시행 한 53명의 중앙 생존기간은 37개월, 2년 및 5년 생존율은 각각 61.6%와 40.1%였고, 중앙 무병 생존기간은 24개월, 2년 및 5년 무병생존율은 각각 53.3%와 41.8%였다. 전체 환자의 생존율에 영향을 미치는 예후인자는 수술 여부였으며 수술을 시행한 환자의 생존율이 단변량 분석(p=0.03)과 다변량 분석(p＜0.01)에서 수술을 시행하지 않은 환자의 생존율에 비해 높았다. 수술을 시행한 환자를 대상으로 한 단변량 분석 결과 수술 전 임상병기가 IV병기가 아닌 경우, 수술 후 병리학적 완전관해를 얻은 경우 유의하게 생존율과 무병생존율이 높았으나 다변량 분석에서 의미 있는 예후인자는 없었다. 수술을 시행한 53명 중 5명(9.4%)에서 국소재발이, 10명(18.8%)에서 국소재발및 원격전이가, 12명(22.6%)에서 원격전이가 발생하였다. 결 론: 국소 진행된 병기의 식도암에서 수술 전 동시병용 방사선-항암화학요법으로 양호한 병기 하강률, 장기 생존율을 얻을 수 있었고 원격 림프절 전이가 없는 경우, 수술 후 병리학적 완전관해를 얻은 경우에서 높은 장기 생존율을 보였다.",김해영(Haeyoung Kim),2007,https://www.riss.kr/link?id=A107696170
45세 이하의 유방암환자에서 조직미세배열법을 이용한 면역조직화학적 생체표지자의 역할,"목 적: 45세 이하의 유방암 환자의 종양조직의 파라핀 블록을 조직미세배열법(Tissue Microarray, TMA)으로 만들어 에스트로겐 수용체(ER), 프로게스테론 수용체(PR), HER-2, COX-2 및 Survivin 등 5가지의 생체표지자의 발현상태 와 상호관계, 환자의 치료 후 추적관찰 상태와 관련성을 분석하여 예후인자로서의 의의를 연구하는 데 있다. 대상 및 방법: 1994년 3월부터 2005년 8월까지 수술을 시행한 45세 이하의 유방암 환자 중에서 TMA 분석이 가능한 212명의 환자를 대상으로 하였다. 환자의 나이는 23세부터 45세까지로 중앙 나이가 39세이었으며 최소 추적관찰기간은 24개월, 중앙 추적 관찰기간은 60개월이었다. 45세 이하의 환자를 선택한 후 수술 조직표본을 찾아 HE염색된 슬라이드를 통해 암 부위를 표시한 후 TMA 장비를 통해 미세조직배열을 만들었다. 그리고 다섯 가지 생체표지자에 대한 면역조직화학 염색을 시행하였으며 병리전문의가 판독하였다. 그리고 이 결과와 환자들의 연령, 병기, 림프절 전이, 수술방법, 다양한 약물요법과 가족력 등 여러 가지 인자와 환자의 추적 관찰 결과를 입력하여 예후인자들을 분석하였다. 결 과: T 병기에 따른 환자 분포는 T1이 90명, T2가 101명으로 다수를 차지하였고 105명(49.5%)에서 액와 림프절의 전이가 있었다. 모든 환자의 5년 무병 생존율과 5년 생존율은 각각 82.3%, 90.4%이었으며 36명의 환자가 국소재발이나 원격전이가 추적 관찰기간에 발생하였고 20명은 암과 관련하여 사망하였다. ER, PR, HER-2, COX-2, 그리고 survivin의 양성 발현비율은 각각 38.2%, 45.3%, 25.9%, 41.5%와 43.4%이었으며 종양의 크기, 나이, 림프절 전이의 여부, 호르몬 수용체의 상태, 그리고 HER-2의 상태가 무병 생존기간에 대한 단변량 분석상 중요한 예후인자 이었으며 생존율에 미치는 영향은 종양의 크기, 림프절의 전이, 호르몬 수용체, 그리고 HER-2의 발현이었다. COX-2나 survivin은 예후인자로서의 역할을 찾을 수 없었으나 HER-2와 COX-2가 동시에 발현되는 경우에 예후가 나쁜 경향을 관찰할 수 있었다. 다변량 분석상 오직 T-병기와 림프절의 전이 여부만이 중요한 예후 인자이었고 ER은 경계의 의미가 있었다. 결 론: 45세 이하의 여성 유방암 환자에서 호르몬 수용체 상태와 HER-2는 예후인자이었고 COX-2와 survivin은 예후인자로서의 역할을 찾을 수 없었다.",김은석(Eun Seog Kim),2008,https://www.riss.kr/link?id=A82297014
항암제 함유 골시멘트에서 유리되는 아드리아마이신의 세포 독성,"목적 : 아드리아마이신 함유 골시멘트의 국소 항암제 치료로서의 가능성을 알아보고자 실험을 실시하였다. 대상 및 방법 : Palcos R, LVC, CMW 3, Simplex P의 4종류 골시멘트에 아드리아마이신 2.5mg, 5mg, 25mg의 각각 다른 농도로 균일하게 섞은 후, 원주형 또는 납작한 형의 모양에 따른 아드리아마이신 용출 차이, ddH2O, 0.45% 식염수, 0.9% 식염수, 3% 식염수 등의 주위 환경에 따른 아드리아마이신 용출 차이를 연구하였다. 또한 용출된 아드리아마이신의 세포 독성을 알아보고자, 골육종 세포주 Saos-2를 골시멘트 단독, 각기 다른 3종류의 아드리아마이신 농도를 함유한 골시멘트와 같이 37 C, 5% $CO_2$ 조건하에서 가습 배양기내에서 배양을 실시하여, MTT assay 방법으로 세포 생존율을 확인하였다. 결과 : 납작한 모양이 원주형보다 아드리아마이신 용출이 많았고, 3%, 0.9%, 0.45%의 식염수 순으로 아드리아마이신 용출이 줄어 들었으며, CMW 3, Simplex P가 Palacos R, LVC보다 아드리아마이신 용출이 많았으며, 아드리아마이신 농도가 2.5mg, 5mg, 25mg 순으로 세포 독성은 각각 95%, 98%, 99%이었다. 결론 : 적절한 용량의 아드리아마이신을 골시멘트에 섞는다면, 용출된 아드리아마이신이 세포 독성을 가져 국소 항암제 치료 수단으로 이용 가능성을 확인하였다.",장동욱,2001,https://www.riss.kr/link?id=A107304525
정위방사선치료 시 적분 생물학적 유효선량 및 방사선조사용적을 이용한 Total Arc Degree 의 최적화,"목 적 :정위방사선치료 시 정상 뇌 조직을 고선량의 방사선으로부터 최대한 보호하며 치료의 효율성을 높이기 위하여 치료 인자 중 콜리메이터의 크기와 arc 간 간격에 따른 이상적인 total arc degree (TAD) 값을 제시하고자 한다.
대상 및 방법 :XKnife-3 planning system을 사용하여 환자의 송과체 부위에 방사선 빔의 회전중심점을 위치시킨 후 12, 20, 30, 40, 50 그리고 60 mm 직경의 정위방사선치료용 원형 콜리메이터를 이용하여 각각의 콜리메이터 직경별로 TAD를 100, 200, 300, 400, 500, 600도, 그리고 arc 간 간격을 30도(6- arc system)와 45도(4- arc system)로 설정하여 방사선치료계획을 수립하였다. 치료계획을 통해 얻은 누적선량체적히스토그람을 이용하여 회전중심점 처방선량의 50% 이상 조사되는 정상 뇌의 용적(V50) 및 적분 생물학적 유효선량(integral biologically effective dose)을 이용하여 각각의 TAD에 따른 방사선치료계획을 비교하였다.
결 과 :TAD에 따른 V50의 변화는 arc 간 각도가 30도인 경우에는 콜리메이터 직경과 관계없이 TAD가 증가할수록 감소하는 양상을 보였으나, 45도의 arc 간 각도에서는 400도의 TAD까지는 감소하다가 400도 이상의 TAD에서 V50은 증가하거나 변화가 없었다. 적분 생물학적 유효선량 값의 변화는 arc 간 간격이 30도인 경우에는 콜리메이터의 직경에 관계없이 TAD가 증가함에 따라 미소하게 감소하는 양상을 보였다. arc 간 각도가 45도인 경우에는 콜리메이터 직경이 40 mm 이하에서는 TAD가 증가함에 따라 적분 생물학적 유효선량은 계속 감소하였으나, 50 mm와 60mm 직경의 콜리메이터에서는 TAD가 400도까지는 감소하다가 500도 이상의 TAD에서는 증가하였다.
결 론 :정위방사선치료 시 400도 정도의 TAD를 사용하는 것은 300도 이하 혹은 500도 이상의 TAD를 사용하는 것보다 치료 효과를 높이면서 치료계획과 치료 시 장비 및 인적 자원의 효율적인 운용을 기대할 수 있을 것으로 판단된다.",임도훈(Do Hoon Lim),2001,https://www.riss.kr/link?id=A107131578
