
"옴 진단 및 치료를 위한 임상진료지침: Part 1. 역학, 임상증상 및 진단","Scabies is a skin disease caused by the parasite Sarcoptes scabiei var. hominis, primarily transmitted via direct skin or sexual contact or, less commonly, via contact with infested fomites. In Korea, the incidence of scabies has decreased from approximately 50,000 people/yr in 2010 to approximately 30,000 people/yr in 2021. However, outbreaks have been consistently observed in residential facilities, such as nursing facilities, particularly among the older population. The clinical manifestations of scabies vary depending on a patient’s age, health status, number of mites, and transmission route. Typical clinical presentations of classic scabies include intense nocturnal pruritus and characteristic skin rashes (burrows and erythematous papules), with a predilection for the interdigital web spaces, inner wrists, periumbilical areas, axillae, and genital areas. Unlike classic scabies, older adults with immunodeficiency or neurological disorders exhibit hyperkeratotic scaly lesions or an atypical distribution with mild-to-non pruritus (crusted scabies). Diagnosis of scabies is based on clinical symptoms and results of diagnostic tests aimed at identifying the presence of the parasite. Although a close contact history and characteristic clinical findings are suggestive of scabies, confirmation of diagnosis requires detection of scabies mites, eggs, or scybala.
This can be achieved through light microscopy of skin samples, non-invasive dermoscopy, and other high-resolution in vivo imaging techniques.",박진,2023,https://www.riss.kr/link?id=A100320597
설문지를 통한 만성 두드러기의 임상과 원인에 대한 연구,"Background: Although urticaria is a common disorder that affects as many as 20% of all people at some time during their lifetime, the etiology of urticaria is still unknown in most cases. Objective: We attempted to analyze the clinical characteristics of chronic urticaria according to etiological aspects. Methods: The study was carried out on 230 patients with chronic urticaria, who visited our clinic with urticaria between March 2003 and February 2006. The diagnosis was made by detailed questionnaire and limited laboratory and provocation tests. Results: Of the 230 patients with chronic urticaria, 138 (60.0%) presented with idiopathic urticaria, 53 (23.1%) autoimmune urticaria, 33 (14.4%) physical urticaria and 6 (2.5%) another type. Chronic idiopathic urticaria was combined with physical components in 97 cases (42.2%), and cholinergic component was the most common form. Chronic idiopathic urticaria and autoimmune urticaria showed a higher score than physical urticaria in the severity of disease, but there was no significant difference in the duration of urticaria. Conclusion: Our data shows the clinical-etiological aspects and classification of chronic urticaria. Although the symptom severity of chronic idiopathic urticaria and autoimmune urticaria is higher than that of physical urticaria, our data is limited to predict the treatment response rate or the prognostic variables of chronic urticaria owing to the short follow-up period. Further studies will be needed to identify the natural course of chronic urticaria. (Korean J Dermatol 2007;45(6):560∼568)",권현조 ( Hyun Jo Kwon ),2007,https://www.riss.kr/link?id=A106180982
3차원 배양 인공피부를 활용한 마이크로바이옴 추출물의 선정 및 이를 함유한 에멀젼 제형의 피부주름개선 임상 평가,"Recently, along with the remarkable increase in interest in microbiome cosmetics, the application of microbiome extracts in the complex efficacy as anti-aging, brightening etc. has become very important. In this study, Bifidobacterium bifidum (B. bifidum), which has excellent anti-wrinkle efficacy among the microbiome, was selected through an in vitro test using cells and 3D human skin equivalents. And the anti-wrinkle efficacy of cosmetics containing B. bifidum was evaluated by clinical test. Thereafter, the cytotoxicity, anti-oxidation, anti-inflammatory and anti-wrinkle efficacy of the of the bifida fermented filtrate were tested. An emulsion containing bifida fermented filtrate at a concentration of 5% (v/v) with no cytotoxicity and excellent efficacy was prepared with the placebo emulsion. The clinical test was conducted on a total of 21 women at 2 weeks comparing the bifida emulsion and placebo emulsion. Wrinkles around the eyes were instrumentally evaluated using Antera 3D. The wrinkle reduction rate of the Bifida emulsion group compared with the placebo emulsion group differed by 5.6%. Overall, the selection of microbiome using 3D human skin equivalents and the efficacy study of cosmetics with the microbiome extracts would be actively studied to the development of microbiome cosmetics and skin microbiome mechanisms.",임준우,2023,https://www.riss.kr/link?id=A107799833
한국인 50세 이상 여성의 안면 피부 노화와 생활습관 간의 상관관계,"Background: Skin aging can be divided into intrinsic and extrinsic processes, and occur due to several factors. Although the interest in skin youthfulness is increasing globally, research on facial skin youthfulness and lifestyle is limited.
Objective: This study aimed to evaluate the association between facial skin youthfulness and biophysical facial skin parameters in Korean women over 50 years of age. We further investigated lifestyle factors that make people appear younger than their chronological age.
Methods: We surveyed the essential information and lifestyle of subjects by questionnaires, and measured the biophysical parameters of the facial skin. We then performed clinical facial assessments, and the values were compared with the chronologic age. The associations between age differences, biophysical parameters, and living habits were evaluated. Results: We identified a positive correlation between age and melanin index (r=0.245, p＜0.001) and erythema index (r=0.119, p=0.002). The melanin index was statistically significantly lower in the group without regular outdoor activities (144.66±43.24 vs. 137.00±55.48, p=0.043). The melanin index and erythema index were the significant differences that defined younger perceived age than chronological age. The perceived age was younger in the group who wore a hat when performing outdoor activities than the group who did not (3.70±1.84 vs. 3.40±1.94, p=0.034). Conclusion: To retain youthful skin, it is essential to reduce sun exposure, as this factor can affect the melanin and erythema indices by inducing photoaging. Therefore, avoiding the sun bia proper methods, such as wearing a hat and sunscreen during outdoor activities, is recommended to maintain skin youthfulness. (Korean J Dermatol 2022;60(4): 201∼208)",김승미,2022,https://www.riss.kr/link?id=A106181104
한국 청년의 자해에 대한 임상적 고찰,"A clinical observation of self-inflicted lesions was made during physical examination for conscription in Choongcheongnamdo from May to July, 1980. The result were as follows: 1) The prevalence of self-inflicted lesions was 8. 1% (579/7148). 2) The number of persons with criminal history was 68(ll.7%). 3) The educational level of self-injured was lower than that of non self-injured. 4) Most frequently used tools for self-inflicted lesions were cigarette(72%), knife(19. 9%), rnatch(14.7%) and grass(12.8%) in decreasing order of frequency and only one tool was used in 438 cases(75.6%). 5) The favorite site of self injury were the left forearm(89. 5%), right forearm (19.3%) and left upper arm (5.9%) 6) The average age of first injury was 16. 5 years. 7) The complications of self injury were found in 8. 8% of self-injured and they were hypertrophic scar, keloid, pyoderma and depigmentation. Some degree of hyperpigrnentation and hypopigmentation was found in most of cases. Tattoo was accompanied in 20. 7% of self-injured.",박경찬 (Kyoung Chan Park),1986,https://www.riss.kr/link?id=A106181166
보습제의 기제에 따른 피부 보습효과에 관한 연구,"We investigated on how the nature of vehicles influenced on the efficacy of mo isturizer s, cutaneous hydrat,ion, physical property and roughness. Hydration was measured with corneometer, physical property with fermometer, and mughness with image analyser. Used vehicles were as follows : hydrous gel, vater in oil(W/0) emulsion, oil in water(0/W) emulsion. I.Jsed moisturizers were as follows . glycerine, polypeptide and sodium lactat,e, hyaluronic acid-triethanolamine, sodium lactate, pvopylene glycol, The results are summarized as follows : 1. The increment of the hydration effect according to vehicles was in this order. C/ W emulsion, W/0 emulsion, hydrous gel(After 2 hours). 2. The increment of extensibility as physical property was correlated to the in crcment,
of hydration effcet(r=0.924). 3. It was shown that, the roughness was decreased after treatment of all mo isturizers except propylene glycol but, there was not significant st.atistically and alsa was no meaningful difference among the vehicles. 4. Among t,he moisturizers, glycerine was superior to other moisturizers on the hydration effect and extensihility. We conclude that 0/W emulsion was suitable vehicle on cutaneous hydration effect and hydration effect is proportion to the increment of
flexibility. (Kor J Devmatol 29(1): 8--17, 1991)",현경준(Kyeong Joon Hyeon),1991,https://www.riss.kr/link?id=A103332983
여드름 환자에서 휴대용 디지털 피부형광 진단기기의 임상적 유용성에 관한 연구,"Background: Propionibacterium acnes (P. acnes) is a gram positive anaerobic bacteria which plays a key role in the development of acne. Therefore, culture of P. acnes from the acne lesion can serve as an important clinical tool for selecting antibiotics and judging the therapeutic response. However the conventional cultural method is not easy to perform in clinical settings. Objective: The aim of this study was to investigate the clinical application of portable digital skin fluorescence imaging equipment in patients with acne. Methods: Total of 60 objects (33 males and 27 females) with facial acne were recruited. To estimate fluorescence color and size according to the acne lesion, digital fluorescence images were taken and analyzed with image analysis program. Also, we examined the species and the quantification of bacteria aerobically and anaerobically isolated from each kind of acne lesion. Results: Among the bacteria cultured, coagulase negative staphylococci (CNS) was the most common (57.7%), followed by P. acnes (46.1%). Noninflammatory lesions (comedones) showed statistically significant correlation with red fluorescence and inflammatory lesions (papules and pustules) with green fluorescence (p=0.004). The density of CNS and P. acnes were also significantly associated with fluorescence size (p=0.014, p=0.005). However, there was no statistical association between the strains of bacteria and the color of fluorescence (p=0.192). Conclusion: Since the size of fluorescence correlates well with P. acnes levels, we found the noninvasive technique of portable digital skin fluorescence imaging equipment to be useful in choosing adequate antibiotics and monitoring antibiotic therapy in acne vulgaris. (Korean J Dermatol 2008;46(7):889~895)",김영훈 ( Young Hoon Kim ),2008,https://www.riss.kr/link?id=A108729238
아토피피부염에서의 피부관리,"Background: Interplay of numerous constitutional and precipitating factors are involved in the development of atopic dermatitis (AD). Most of these etiologic factors are not controllable, but barrier dysfunction can be managed. Correction of barrier abnormalities has been accepted as a first-line therapy with effective anti-inflammatory therapy. Objective: We wished to establish standardized skin care guidelines for Korean patients who suffer from atopic dermatitis. Methods: The skin care guidelines were proposed by the Korean Atopic Dermatitis Association (KADA), with a particular emphasis for barrier dysfunction in AD from a review of more than 100 published studies and related documents in the clinical literature by a task force team (TFT) of the KADA. The TFT also evaluated the reliability of the studies based on scientific evidence and the size of the study populations. The TFT disregarded controversial findings and summarized all of the collected studies. Results: Skin care guidelines were proposed by the KADA, particularly for barrier dysfunction in AD. A warm bath for approximately 20 minutes was recommended once daily. Soap can be used two or three times per week and aggressive skin scrubbing should be avoided. A topical moisturizer should be applied at least twice a day. Immediate application of emollient is required after bathing. The donning of clothing made of cotton is recommended. Nails should be cut short to reduce skin damage caused by a skin scratch. Conclusion: Application of moisturizer immediately after appropriate bathing may be the most important treatment for skin care. A topical steroid should be used whenever AD develops. Nail care and proper clothing are also be helpful for the prevention of dermatitis aggravation. Proper ways to bathe, use of moisturizer and topical steroids and nail care and appropriate clothing were considered. (Korean J Dermatol 2009;47(5):531~538)",김문범 ( Moon Bum Kim ),2009,https://www.riss.kr/link?id=A106181103
살리실릭애씨드 및 카프릴로일살리실릭애씨드가 적용된 투명 클렌징 워터의 개발,"This study is about the development of transparent cleansing water with one of the beta-hydroxy acids (BHA), salicylic acid, and capryloyl salicylic acid, which is one of the lipo-hydroxy acids (LHA). Transparent appearance was stabilized by increasing the solubility of lipophilic salicylic acid and capryloyl salicylic acid in water using ethanol, polyol, and sodium hydroxide, and supplementing suspension and deposition using a double micelle structure of two types of PEG surfactants. Cleansing water applied with this technology was developed, and makeup removing ability and skin texture improvement ability were confirmed using an optical camera and an image analyzer. This solubilization technology is proposed as a new approach of LHA, which has been difficult to apply due to its low solubility in water, and is expected to help in the development of new chemical peeling products.",여혜림,2022,https://www.riss.kr/link?id=A75571862
The Study of Age-related Skin Pigmentation Changes in Korean Female,"Since facial skin pigmentation is one of the visual characteristics of skin aging, it is important to evaluate skin pigmentation in the cosmetics and aesthetic fields. Several groups have investigated and developed the image analysis methods for skin pigmentation and some of the groups reported the age-related changes of the number and size of facial pigmented spots. However, they didn’t show the changes of the number and size of pigment spots by defined size, and there is no report for Korean female regarding pigmentation. A total of 194 Korean females aged 20 ~ 79 (48.97 ± 17.11 years) were analyzed for the number, size, and intensity of pigmented spots using various filters such as large high-pass filter and median filter in their digital facial images. There were significant correlations between age and total pigmented spot number (No.), size, and intensity (I) (pearson’s correlation coefficient r = 0.688, r = 0.645, r = -0.563), and significant correlations were also observed between the number and intensity of pigmented spots of different sizes. According to the ANOVA results, there were significant differences in the percentage of spot size of 2 ~ 4 mm2 and > 20 mm2 between 20’s and 70’s. In other words, with aging, pigmentation increases in the facial skin, and the large increase in pigmentation is particularly noticeable in Korean women.",이명렬,2023,https://www.riss.kr/link?id=A106158918
