
심혈관계 질환에서 줄기세포 연구,"1 ""“Stemness”transcriptional profiling of embryonic and adultstem cells"" 298 : 597-600, 2002.",최승철,2004,https://www.riss.kr/link?id=A77005024
해부학용어와 고등학교 생물 교과서 용어의 비교,"고등학교에서 사용되는 생물 교과서의 용어와 대한해부학회에서 제정한 새 해부학용어 사이의 차이로 인해 대학에서 해부학을 배우는 학생 중 일부가 용어의 혼란을 느끼고 있으며 더 나아가 의료진과 환자 사이의 의사 소통에 지장이 초래될 가능성이 있다. 이에 저자들은 국내 고등학교 교육과정에서 사용되는 7가지 생물 교과서의 용어를 해부학용어 및 생물학용어(생물과학협회)와 비교하고 그 차이점을 분석하였다. 그 결과 교과서 생물용어와 해부학용어가 일치하는 비율은 50.3±2.7%에 불과했으며 교과서 생물용어와 생물학용어의 일치율은 89.8±1.6%로 유의하게 높음을 확인하였다. 교과서 생물용어가 해부학용어와 가장 큰 차이를 보이는 분야는 생식계통의 용어였다. 교과서 생물용어의 기타 특징으로는 사람이름용어 사용, 띄어쓰기 등이 있었으며 의학 분야에서의 용어 의미와 다르게 사용되는 경우도 확인되었다. 이상의 결과는 해부학용어 및 생물용어의 개선 및 통일을 위한 기초 자료로 이용될 수 있을 것이며, 이를 위해서는 관련 단체 간의 협조와 공동 작업이 필요할 것으로 사료된다.",박경한(Kyeong Han Park),2005,https://www.riss.kr/link?id=A75265999
김해공항 중국민항기 추락사고로 인한 집단사망자의 신원확인과 해부학,"신원확인은 대량재해를 수습하는 데 있어서 매우 중요한 과정 중의 하나로, 법의학자는 물론 숙련된 해부학자의 도움
이 절실히 요구되는 분야이다. 그러나 우리나라에서는 아직까지 재난의 수습이 체계적으로 이루어지지 못하고 있으며, 해부학분야의 전문인력도 국가적인 규모의 신원확인 업무에 적극적으로 투입되지 못하는 실정이다. 2002년 4월 15일, 부산 김해공항에 중국민항기가 추락하여 탑승자 166명 중 128명이 사망 또는 실종되는 사고가 발생하였다. 비행기 추락사고의 특성상 대부분의 시신은 심하게 훼손되거나 불에 타버려 전문가의 도움없이는 식별이 불가능하였기 때문에, 국립과학수사연구소를 주축으로한 신원확인단은 친분이 있는 몇 명의 해부학자들에게 조각난 인체조직의 선별 및 복원에 관한 자문을 요청하였다. 사후자료를 얻기 위해 해부와 방사선촬영으로 사망자들의 신체특징을 조사하였고, 유가족면담을 통해 이와 비교할 진료기록 등의 생전자료들을 수집하였다. 해부학을 비롯한 법의학, 법치학, 분자생물학 등 다양하게 동원된 전문분야의 지식과 신원확인단의 헌신적인 노력으로 26일만에 실종자 128명 중 126명의 신원이 확인되었다. 그러나 시설과 인력, 제도상의 문제점 및 정부의 지원부족 등으로 사고해결에 많은 어려움이 있었다. 이 논문에서는 해부학자들이 집단 사망자의 신원확인 과정에 적용한 방법과 그 결과 및 경험한 몇 가지 문제점에 대해 보고한다",한기환(Ki-Hwan Han),2003,https://www.riss.kr/link?id=A18659894
저칼륨혈증 신장에서 HCO₃- 조절에 관한 연구,"산-염기 평형장애나 전해질 불균형은 신요세관에서 HCO₃- 재흡수가 증가되거나 감소되는 것과 연관이 있다고 알려져 있다. 칼륨 제한시 대사성 알칼리증을 유발시킨다는 것은 연구자간에 일치하나 이와 관련된 Na+/H+ exchanger (NHE-3) 와 Na+/ HCO₃- cotransporter (NBC)에 대한 연구는 주로 기능적인 것에 국한되어 있고 또한 연구자 간에도 차이가 있다. 본 연구는 흰쥐 신장에서 칼륨 제한식이 시기에 따라 NHE-3와 NBC-1의 신장내 발현 및 분포의 변화를 Western 분석과 면역조직화학적 방법으로 관찰하였다. Western 분석 소견에서 NHE-3 단백은 83 KDa 정도이고 정상 식이군에서 상당량 발현되었으며 칼륨 제한 식이군에서 정상 식이군에 비해 유의한 증가를 보였다. NBC-1 단백은 110 KDa 정도이고 정상 식이군에 비해 칼륨 제한 식이군에서 증가하였으며 특히 칼륨 제한 식이 1주에서 유의한 증가를 보였다. 면역조직화학 소견에서 NHE-3 단백은 토리쪽세관 상피세포 중 S3 부위에서 강하게 발현되었고, S1, S2 부위에서는 중등도로 발현되었다. 면역반응성은 토리쪽 세관세포의 첨부세포막과 솔가장자리에서 관찰되었다. 칼륨 제한 식이군에서 면역반응 부위는 정상 식이군과 차이가 없었으나 면역반응성은 Western 분석 소견에서와 같이 현저히 증가하였다. NBC-1 단백은 토리쪽세관 S1, S2 부위에서는 강하게 발현되었으나, S3 부위에서는 발현되지 않았다. 면역반응성은 토리쪽세관세포의 기저외세포막에서 관찰되었다. 칼륨 제한 식이군에서 면역반응 부위는 정상 식이군과 차이가 없었으나 면역반응성은 Western 분석 소견에서와 같이 칼륨제한 식이 1주에서 현저히 증가하였다. 이상의 소견은 칼륨 제한시 신장 토리쪽세관에서 NHE-3와 NBC-1의 단백 발현 증가가 혈액내로 HCO₃- 의 재흡수를 항진시켜 대사성 알칼리증을 유지할 것으로 생각되었다.",김지혜(Ji Hye Kim),2004,https://www.riss.kr/link?id=A75265993
자발적으로 탈모된 생쥐 모델을 이용한 탈모관련 인자에 관한 연구,"탈모와 관련된 여러 가지 인자들을 밝히기 위하여 자발적으로 발생한 C57BL/6N 탈모 생쥐 모델 피부의 광학현미경적 구조와 면역조직화학기법을 사용하여 neuropeptide와 cytokine들의 변화를 관찰한 바 다음과 같은 결과를 얻었다.
원형탈모군과 전신탈모군에서는 피지샘이 매우 발달되어 있었고 피하층의 발달은 미약하여 피부가 얇아졌다.
Toluidin blue에 염색된 비만세포의 수는 원형탈모군에서는 19.4±2.5개로 휴지기의 생쥐군보다 증가하였고, 전신탈모군에서는 37.8±4.1개로 다른 군에 비하여 비만세포가 매우 증가하였다. CD4/CD8세포의 변화는 원형탈모군과 전신탈모군에서는 진피층과 피하층에서 강한 면역반응을 나타내었다. Substance P와 corticotropinreleasing factor (CRF)에 대한 면역반응은 원형탈모군과 전신탈모군에서는 줄기세포가 있는 부위에서 미약한 면역반응을 나타내었다. CRF-receptor와 CRF-binding protein에 대한 면역반응은 원형탈모군과 전신탈모군에서는 줄기세포와 팽출 (bulge) 부위에서 미약한 면역반응을 나타내었다. Protein kinase C-α에 대한 면역반응은 전신탈모군에서는 줄기세포와 모유두 그리고 팽출부위에서 약한 면역반응을 나타내었다. Stem cell factor에 대한 면역반응은 원형탈모군과 전신탈모군에서는 줄기세포, 팽출부위 및 모유두에서 미약한 면역반응을 나타내었다. 이상의 실험결과로 자발적으로 발생한 C57BL/6N 탈모생쥐 모델에서의 탈모현상은 피부조직내 비만세포와 CD4, CD8 세포의 증가와 줄기세포와 팽출 부위 및 모유두에서의 neuropeptide와 cytokine의 감소와 관계가 있을 것으로 사료된다.",김용익(Yong-Ick Kim),2005,https://www.riss.kr/link?id=A77005015
신경계에서의 Neuregulins의 기능과 신호전달 경로,"신경계통에서 중요한 역할을 하고 있는 Neuregulins (NRGs)이라는 단백질에 대한 최근의 연구성과들을 간략하게 고찰하고자 한다. NRGs는 신경세포의 초기운명결정, 분화, 이동, 신경전달물질 수용체들의 발현 및 연접(synapse)의 활성을 조절하고 위성세포(satellite cell), 신경집세포, 희소돌기아교세포(oligodendrocyte)의 생존에 중요한 역할을하는 등 신경계에서 다양한 역할을 수행하고 있다. NRGs과 상호작용하는 ErbB tyrosine kinase수용체는 ErbB2, ErbB3, ErbB4가 있으며, 이종- 또는 동종이합체를 형성하여 세포내 신호전달을 활성화 한다. 최근 NRG1과 그 수용체 중 하나인 ErbB4는 정신분열증의 후보 유전자(candidate gene)중 하나로 알려짐으로써 그 중요성이 더욱 강조되었다. 이 종설에서는 발생과정 및 성체에서의 NRGs의 기능과 신경계질환과의 관련성에 초점을 두어 고찰하기로 한다.",우란숙(Ran-Sook Woo),2008,https://www.riss.kr/link?id=A77004871
악성 종양을 지닌 환자의 복수에서의 염색체 분석,"암환자에서 생기는 복수는 환자의 예후와 밀접한 관계가 있으므로 원인 질환의 감별이 매우 중요하다. 통상적으로 세포 학적 검사에서 높은 확률로 암세포를 복수에서 검출할 수 있으나 매우 숙련된 판독력이 필요로 하며 위음성이 높게 나타날 수 있다. 국내에서는 아직까지 암환자의 복수에서 염색체 표본을 제작하여 암세포의 존재를 조사한 보고는 아직 없다. 본 연구에서는 9명의 암환자에서 발생한 복수를 직접법과 단기간 배양을 한 후 염색체를 분석하는 방법으로 암세포를 검출하는 실험을 하였으며, 그 결과를 세포학적 진단 결과와 서로 비교해 보았다. 세포학적 진단 결과를 얻을 수 있었던 5례에서는 암세포가 검출되지 않았으나, 이들의 복수에서 염색체 검사를 실시한 결과는 1례에서 암세포가 검출되었고 암세포가 존재하리라고 의심되는 경우가 1례로 나타났다. 그리고 세포학적 진단 결과를 얻을 수 없었던 4례에서는 세포유전학 분석 방법으로 3례의 복수에서 암세포를 검출할 수 있었다. 향후 많은 복수를 실험 대상으로 암세포를 검출하는데 세포유전학 검사를 실시하면 이미 가슴막액에서 실시한 서구의 결 과와 유사하게 세포학적 진단보다도 세포유전학 검사가 높은 감수성과 특이성을 보일 것으로 추정된다. 그리고 복수에서 암세포가 존재할 가능성이 높은 경우에는 세포학적 진단과 염색체 검사를 실시하면 세포유전학 방법이 종양세포의 양성 검출율을 높여 세포학 진단 결과를 보강해주는 역할을 할 것이며 그리고 복막생검과 같은 침입성 진단 방법을 사용할 필요성이 감소할 것이다.",류승완(Seung-Wan Ryu),1999,https://www.riss.kr/link?id=A77004966
인슐린의존성 당뇨병이 유도된 흰쥐의 신경망막에서 AII 무축삭세포의 연접이전 신경세포의 변화,"칼슘결합단백질인 parvalbumin은 신경망막에서 속핵층의 AII 및 넓은-수용영역 무축삭세포와 신경절세포층의 전위무축삭세포에서 발현되며, 당뇨병 상태에서 parvalbumin 발현은 AII 무축삭세포에서 저하되나, AII 무축삭세포와 전기연접을 형성하고 있는 원뿔이극세포에서 증가됨이 이미 보고되었다. 본 연구는 당뇨병 망막에서 AII 무축삭세포에서 parvalbumin 발현이 저하되는 원인을 규명하고자 AII 무축삭세포의 연접이전 신경세포들의 변화를 면역화학적 방법으로 추적하고자 하였다. 생후 8주 된 Sprague-Dawely계 흰쥐를 실험동물로 하여 streptozotocin의 정맥 내 주사로 당뇨병을 유발시켰으며, 300 mg/dL 이상의 혈당치를 나타낸 동물들을 각각 1, 4, 12 및 24주 경과시켜 사용하였다. 각 시기의 동물로부터 분리된 망막에 parvalbumin, protein kinase C (PKC)-α 및 tyrosine hydroxylase (TH) 항체를 사용한 면역조직화학법과 Western blot법을 시행하였다. 막대이극세포는 PKC-α에 면역 표지된 축삭종말을 주로 속얼기층의 5층으로 뻗고 있었다. 당뇨병 12주 및 24주 때 막대이극세포의 축삭은 짧아져 있었고 축삭종말은 다소 확장된 양상을 나타내었다. 당뇨병 때 PKC-α의 농도 변화는 크게 나타나지 않았다. TH 면역반응 신경세포는 속핵층의 무축삭세포로서 형태학적으로 두 종류로 구분되었다. 즉, 큰세포체와 길게 뻗은 일차 가지돌기를 지닌 세포 유형 (1형)과 작은 세포체와 가지돌기나무 (dendritic arborization)를 지닌 세포 유형(2형)이다. 속얼기층과 속핵층의 경계부위에 TH 면역반응 돌기들의 고리구조가 조밀하게 분포되어 있었다. 당뇨병 망막에서 1형 TH 무축삭세포의 면역반응성이 저하되어 나타났으나, 2형 무축삭세포의 반응성은 크게 변하지 않았다. 면역반응성의 저하와 더불어 TH 단백질의 농도 또한 당뇨병 시기 동안 저하되는 경향을 나타냈다. 이상의 결과로 망막의 TH 면역반응성 무축삭세포가 막대이극세포보다 당뇨병 상해에 대하여 더 민감한 반응을 보이며, 따라서 당뇨병 때 AII 무축삭세포에서의 parvalbumin 발현 저하가 주로 연접이전 도파민성 신경세포의 기능이상에 의한 것임을 유추할 수 있었다.",박효숙(Hyo-Suk Park),2007,https://www.riss.kr/link?id=A75265977
Dextran sulfate sodium으로 유발된 큰창자염에 대한 조직학적 연구,"큰창자염(대장염, colitis)은 큰창자 점막에 다발성 궤양을 동반한 원인 불명의 질환으로 과거에는 유럽 및 북미지역에 국한된 질환으로 알려졌으나 최근에는 우리나라에도 발생빈도가 점점 증가추세를 나타내고 있다. 큰창자염의 원인은 아직 잘 알려지지 않고 있으며 증상은 설사, 복통, 체중감소 등 여러 가지가 있다. 본 연구는 흰쥐에 5% dextran sulfate sodium (이하 DSS, MW; 4,000)을 5일 동안 음용시켜, 인위적으로 궤양성 큰창자염을 유발시킨 후 다시 7일 동안 생수를 음용시켜 재생과정에서의 큰창자상피의 조직학적인 변화를 살펴보았다. 본 연구의 실험군에서 심한 체중감소와 큰창자상피에서 창자샘의 짓무름, 표면상피세포의 탈락들을 관찰할 수 있었다. 그리고 창자샘의 감소로 인하여 창자샘에서 관찰되는 점액질도 감소하였다. 회복군에서는 설사가 줄고 체중이 증가하며 큰창자상피의 창자샘의 재생현상을 관찰할 수 있었다. 조직의 재생정도를 알 수있는 Ki 67 면역염색은 정상군에서 창자샘의 아래쪽 1/3에 국한되어 나타났으나 회복군에서는 재생되는 창자샘의 표면전층에서 강한 양성반응을 나타내었다. 그러므로 본 연구에서 사용된 DSS는 인위적인 궤양성 큰창자염을 연구하는데 유용하며 큰창자염의 회복시 창자샘의 왕성한 재생활동을 관찰할 수 있었다.",박인식(In-Sick Park),2006,https://www.riss.kr/link?id=A77005001
N-Acetyl-L-Cysteine에 의한 생쥐 골수유래 가지세포의 기능적 활성화 저해,"N-acetyl-L-cysteine (NAC)은 thiol기를 포함하는 화합물로서, glutathione (GSH)의 전구체로 작용하여 포유류 세포
내에서 항산화제로 작용한다. 또한 항염기능이 있으며 호산구나 B세포, 가지세포 (dendritic cell, DC)와 같은 면역세포
들에 여러 가지 영향을 미치는 것으로 알려져 있다. 특히 가지세포에 작용하여 활성화를 억제하거나 가지세포에 의한 Th2 반응 유도에 관여한다고 알려져 있다. 그러나 이들 연구는 세부적인 사항에 있어서 그 결과가 서로 상치하는바가 많으며, 또한 조절T세포의 관점에서는 연구된 바가 없다. 따라서 본 연구에서는 NAC 처리가 가지세포 활성화에 미치는 영향을 재확인하였고, NAC 처리된 가지세포의 T세포 활성 능력 저하, 또는 Th2 반응 유도 여부를 알아보았다. 활성화 시 가지세포에서 증가하는 활성산소기 (reactive oxygen species)는 NAC 처리로 낮아져서, NAC이 가지세포에 항산화작용을 나타냄을 확인하였다. NAC 처리로 가지세포에서 보조자극인자인 CD40과 CD86의 발현이 저해되었으며, 활성화 시 정상적으로 낮아지는 포식기능은 처리된 NAC의 농도에 비례하게 보존되었다. 활성화 시 분비되는 IL-6, IL-10, IL-12는 모두 감소하였다. 이러한 NAC-DC와 함께 배양한 T세포의 증식이나 Th1 cytokine인 IFN-γ, Th2 cytokine인 IL-5의 분비가 모두 저하되어 Th1/Th2의 편중 없이 가지세포의 T세포 자극능력이 전반적으로 감소하였음을 나타내었다. 또한 T세포 배양액에서 IL-10과 TGF-β의 농도 역시 NAC-DC로 자극된 경우에 현저히 줄어서, NAC-DC에 의한 T세포 증식 감소 등은 조절T세포 유도에 의한 것이 아니라 T세포 무반응이 유도된 때문임을 나타내 주었다.",정영주(Young-joo Jeong),2008,https://www.riss.kr/link?id=A77005109
